LGA_CODE_2021,M15_19_C_Own_chld_childr,M15_19_C_Oth_ch_chiln,M15_19_Ca_Ow_ch_ch_oth_ch_ch,M15_19_yr_C_for_Tot,M15_19_D_not_prov_ch_care,M15_19_U_ch_care_ns,M15_19_OS_vis,M15_19_yr_Tot,M20_24_C_Own_chld_childr,M20_24_C_Oth_ch_chiln,M20_24_Ca_Ow_ch_ch_oth_ch_ch,M20_24_yr_C_for_Tot,M20_24_D_not_prov_ch_care,M20_24_U_ch_care_ns,M20_24_OS_vis,M20_24_yr_Tot,M25_34_C_Own_chld_childr,M25_34_C_Oth_ch_chiln,M25_34_Ca_Ow_ch_ch_oth_ch_ch,M25_34_yr_C_for_Tot,M25_34_D_not_prov_ch_care,M25_34_U_ch_care_ns,M25_34_OS_vis,M25_34_yr_Tot,M35_44_C_Own_chld_childr,M35_44_C_Oth_ch_chiln,M35_44_Ca_Ow_ch_ch_oth_ch_ch,M35_44_yr_C_for_Tot,M35_44_D_not_prov_ch_care,M35_44_U_ch_care_ns,M35_44_OS_vis,M35_44_yr_Tot,M45_54_C_Own_chld_childr,M45_54_C_Oth_ch_chiln,M45_54_Ca_Ow_ch_ch_oth_ch_ch,M45_54_yr_C_for_Tot,M45_54_D_not_prov_ch_care,M45_54_U_ch_care_ns,M45_54_OS_vis,M45_54_yr_Tot,M55_64_C_Own_chld_childr,M55_64_C_Oth_ch_chiln,M55_64_Ca_Ow_ch_ch_oth_ch_ch,M55_64_yr_C_for_Tot,M55_64_D_not_prov_ch_care,M55_64_U_ch_care_ns,M55_64_OS_vis,M55_64_yr_Tot,M65_74_C_Own_chld_childr,M65_74_C_Oth_ch_chiln,M65_74_Ca_Ow_ch_ch_oth_ch_ch,M65_74_yr_C_for_Tot,M65_74_D_not_prov_ch_care,M65_74_U_ch_care_ns,M65_74_OS_vis,M65_74_yr_Tot,M75_84_C_Own_chld_childr,M75_84_C_Oth_ch_chiln,M75_84_Ca_Ow_ch_ch_oth_ch_ch,M75_84_yr_C_for_Tot,M75_84_D_not_prov_ch_care,M75_84_U_ch_care_ns,M75_84_OS_vis,M75_84_yr_Tot,M85ovr_C_Own_chld_childr,M85ovr_C_Oth_ch_chiln,M85ov_Ca_Ow_ch_ch_oth_ch_ch,M85ovr_C_for_Tot,M85ovr_D_not_prov_ch_care,M85ovr_U_ch_care_ns,M85ovr_OS_vis,M85ovr_Tot,MTot_C_Own_chld_childrn,MTot_C_Oth_ch_chiln,MTot_Ca_Ow_ch_ch_oth_ch_ch,MTot_C_for_Tot,MTot_D_not_prov_ch_care,MTot_U_ch_care_ns,MTot_OS_vis,MTot_Tot,F15_19_C_Own_chld_childr,F15_19_C_Oth_ch_chiln,F15_19_Ca_Ow_ch_ch_oth_ch_ch,F15_19_yr_C_for_Tot,F15_19_D_not_prov_ch_care,F15_19_U_ch_care_ns,F15_19_OS_vis,F15_19_yr_Tot,F20_24_C_Own_chld_childr,F20_24_C_Oth_ch_chiln,F20_24_Ca_Ow_ch_ch_oth_ch_ch,F20_24_yr_C_for_Tot,F20_24_D_not_prov_ch_care,F20_24_U_ch_care_ns,F20_24_OS_vis,F20_24_yr_Tot,F25_34_C_Own_chld_childr,F25_34_C_Oth_ch_chiln,F25_34_Ca_Ow_ch_ch_oth_ch_ch,F25_34_yr_C_for_Tot,F25_34_D_not_prov_ch_care,F25_34_U_ch_care_ns,F25_34_OS_vis,F25_34_yr_Tot,F35_44_C_Own_chld_childr,F35_44_C_Oth_ch_chiln,F35_44_Ca_Ow_ch_ch_oth_ch_ch,F35_44_yr_C_for_Tot,F35_44_D_not_prov_ch_care,F35_44_U_ch_care_ns,F35_44_OS_vis,F35_44_yr_Tot,F45_54_C_Own_chld_childr,F45_54_C_Oth_ch_chiln,F45_54_Ca_Ow_ch_ch_oth_ch_ch,F45_54_yr_C_for_Tot,F45_54_D_not_prov_ch_care,F45_54_U_ch_care_ns,F45_54_OS_vis,F45_54_yr_Tot,F55_64_C_Own_chld_childr,F55_64_C_Oth_ch_chiln,F55_64_Ca_Ow_ch_ch_oth_ch_ch,F55_64_yr_C_for_Tot,F55_64_D_not_prov_ch_care,F55_64_U_ch_care_ns,F55_64_OS_vis,F55_64_yr_Tot,F65_74_C_Own_chld_childr,F65_74_C_Oth_ch_chiln,F65_74_Ca_Ow_ch_ch_oth_ch_ch,F65_74_yr_C_for_Tot,F65_74_D_not_prov_ch_care,F65_74_U_ch_care_ns,F65_74_OS_vis,F65_74_yr_Tot,F75_84_C_Own_chld_childr,F75_84_C_Oth_ch_chiln,F75_84_Ca_Ow_ch_ch_oth_ch_ch,F75_84_yr_C_for_Tot,F75_84_D_not_prov_ch_care,F75_84_U_ch_care_ns,F75_84_OS_vis,F75_84_yr_Tot,F85ovr_C_Own_chld_childr,F85ovr_C_Oth_ch_chiln,F85ov_Ca_Ow_ch_ch_oth_ch_ch,F85ovr_C_for_Tot,F85ovr_D_not_prov_ch_care,F85ovr_U_ch_care_ns,F85ovr_OS_vis,F85ovr_Tot,FTot_C_Own_chld_childrn,FTot_C_Oth_ch_chiln,FTot_Ca_Ow_ch_ch_oth_ch_ch,FTot_C_for_Tot,FTot_D_not_prov_ch_care,FTot_U_ch_care_ns,FTot_OS_vis,FTot_Tot,P15_19_C_Own_chld_childr,P15_19_C_Oth_ch_chiln,P15_19_Ca_Ow_ch_ch_oth_ch_ch,P15_19_yr_C_for_Tot,P15_19_D_not_prov_ch_care,P15_19_U_ch_care_ns,P15_19_OS_vis,P15_19_yr_Tot,P20_24_C_Own_chld_childr,P20_24_C_Oth_ch_chiln,P20_24_Ca_Ow_ch_ch_oth_ch_ch,P20_24_yr_C_for_Tot,P20_24_D_not_prov_ch_care,P20_24_U_ch_care_ns,P20_24_OS_vis,P20_24_yr_Tot,P25_34_C_Own_chld_childr,P25_34_C_Oth_ch_chiln,P25_34_Ca_Ow_ch_ch_oth_ch_ch,P25_34_yr_C_for_Tot,P25_34_D_not_prov_ch_care,P25_34_U_ch_care_ns,P25_34_OS_vis,P25_34_yr_Tot,P35_44_C_Own_chld_childr,P35_44_C_Oth_ch_chiln,P35_44_Ca_Ow_ch_ch_oth_ch_ch,P35_44_yr_C_for_Tot,P35_44_D_not_prov_ch_care,P35_44_U_ch_care_ns,P35_44_OS_vis,P35_44_yr_Tot,P45_54_C_Own_chld_childr,P45_54_C_Oth_ch_chiln,P45_54_Ca_Ow_ch_ch_oth_ch_ch,P45_54_yr_C_for_Tot,P45_54_D_not_prov_ch_care,P45_54_U_ch_care_ns,P45_54_OS_vis,P45_54_yr_Tot
LGA50840,0,5,0,5,87,6,0,100,3,0,0,7,73,11,0,88,67,8,3,81,118,24,0,215,146,8,6,151,82,30,0,263,93,9,5,110,201,36,0,344,25,25,0,49,350,34,0,431,4,33,0,35,377,30,0,450,0,3,0,0,178,16,0,202,0,0,0,0,43,5,0,46,344,91,5,437,1512,186,0,2141,0,13,0,14,114,14,0,144,5,9,0,16,45,3,0,67,110,14,6,122,69,4,0,196,172,11,11,194,63,22,0,280,106,20,0,122,201,26,0,349,7,49,4,62,364,25,0,457,0,49,0,53,356,22,0,432,0,8,0,9,183,10,0,200,0,0,0,0,50,10,0,61,402,165,17,590,1445,137,3,2180,0,15,0,18,200,19,0,240,14,5,0,16,119,18,0,154,173,22,7,199,183,30,0,408,316,17,15,344,143,47,0,539,198,30,5,230,401,58,0,691
LGA50910,0,0,0,0,6,5,0,5,0,0,0,0,17,0,0,22,13,0,0,14,14,4,0,31,31,5,0,34,11,3,0,47,14,0,0,14,42,10,0,69,0,3,0,9,56,9,0,74,0,8,0,10,55,0,0,70,0,4,0,4,38,0,0,42,0,0,0,0,16,0,0,19,61,17,0,79,258,37,0,379,0,0,0,0,9,4,0,17,5,0,0,5,11,5,0,18,25,0,4,24,16,4,0,44,31,0,0,32,9,10,0,50,11,0,0,7,51,3,0,65,0,8,0,12,38,3,0,52,0,14,0,14,41,0,0,51,0,0,0,0,41,4,0,47,0,0,0,0,25,0,0,22,67,31,4,99,240,35,0,370,0,3,0,3,20,3,0,26,4,0,0,4,24,9,0,34,37,0,6,42,33,5,0,80,62,4,0,66,24,19,0,98,26,0,0,29,95,9,0,135
LGA50980,7,17,0,29,363,89,0,474,25,31,4,55,372,104,20,546,277,41,16,336,908,276,42,1554,660,30,39,731,578,242,8,1556,359,62,19,432,817,273,0,1526,58,78,0,138,1287,281,4,1705,11,114,0,122,1578,193,7,1901,6,23,0,29,518,97,0,646,0,0,0,0,57,18,0,72,1396,402,74,1869,6492,1563,73,9997,7,55,0,67,356,95,0,520,57,42,3,104,413,95,29,643,466,83,29,583,1087,366,56,2091,824,82,82,983,583,260,6,1835,312,99,21,433,884,240,3,1564,39,200,0,238,1497,279,0,2017,3,173,0,176,1354,196,6,1741,0,31,0,35,360,78,0,468,0,0,0,0,46,12,0,61,1707,760,138,2617,6586,1641,102,10945,14,76,0,88,717,181,0,996,83,68,7,157,786,202,41,1190,747,124,47,918,1997,639,94,3653,1481,114,119,1715,1162,505,11,3398,670,153,35,865,1703,515,8,3086
LGA51080,0,0,0,0,17,4,0,22,0,0,0,3,21,0,0,22,16,0,0,19,35,7,0,54,37,0,3,42,15,6,0,64,17,0,0,17,43,10,0,67,4,8,0,8,76,5,0,92,0,4,0,4,51,3,0,57,0,5,0,5,22,3,0,25,0,0,0,0,6,0,0,6,72,11,0,89,273,45,0,406,0,0,0,0,15,7,0,23,0,0,0,0,10,3,0,14,27,4,0,29,19,9,0,59,37,0,5,44,13,12,0,67,12,5,0,13,35,9,0,61,0,11,0,14,58,11,0,80,0,8,0,8,32,3,0,46,0,0,0,0,24,3,0,27,0,0,0,0,5,0,0,5,80,27,3,110,215,56,0,387,0,0,0,0,31,10,0,45,0,4,0,3,34,4,0,44,42,5,0,42,56,12,0,116,78,0,5,86,30,14,0,127,25,4,0,32,76,18,0,123
LGA51120,0,0,0,0,20,5,0,23,0,0,0,0,19,3,0,31,17,0,0,18,29,10,0,62,32,0,0,32,18,12,0,63,12,0,0,14,32,17,0,73,0,5,0,3,49,10,0,70,0,6,0,8,55,15,0,80,0,0,0,0,21,6,0,29,0,0,0,0,12,0,0,15,69,14,0,85,261,86,0,435,0,0,0,0,8,0,0,15,0,0,0,3,12,3,0,20,21,0,6,26,14,3,0,41,36,3,0,40,4,0,0,45,17,7,0,18,27,7,0,54,0,8,0,10,45,14,0,69,0,4,0,4,43,5,0,60,0,0,0,0,29,9,0,42,0,0,0,0,4,8,0,12,70,27,8,104,191,54,0,352,0,0,0,0,30,9,0,34,3,0,0,3,35,14,0,46,36,0,3,46,45,13,0,108,70,8,0,71,24,13,0,113,27,9,0,32,68,23,0,123
LGA51190,4,46,0,54,753,50,4,858,63,28,0,92,701,103,0,894,459,56,21,536,1240,357,5,2133,872,61,35,966,775,312,4,2052,535,60,16,612,1203,221,6,2039,104,179,4,286,1645,153,4,2087,17,217,0,241,1373,123,0,1735,10,39,0,51,841,61,0,951,0,3,0,3,285,51,0,344,2060,696,77,2831,8802,1429,23,13085,7,78,0,89,753,52,0,902,118,61,7,190,662,55,0,905,782,100,58,943,964,150,9,2057,1096,74,82,1257,626,118,5,2006,522,165,36,724,1363,125,3,2212,38,496,6,544,1580,104,4,2233,17,355,0,372,1442,92,4,1909,9,51,0,60,976,75,0,1115,0,6,0,7,504,105,0,621,2593,1396,195,4180,8868,876,25,13950,10,124,4,147,1501,105,6,1756,179,93,7,279,1363,155,3,1802,1240,155,81,1468,2200,503,10,4188,1970,137,117,2223,1402,426,9,4056,1053,230,48,1329,2570,350,9,4257
LGA51260,4,51,0,60,1046,75,0,1183,23,26,0,49,646,35,0,731,485,45,18,552,1102,141,12,1810,1273,37,44,1356,753,141,0,2251,913,59,27,1000,1326,145,5,2483,143,183,5,332,1919,159,6,2421,21,316,0,338,2072,145,0,2556,3,66,0,70,1205,97,4,1378,0,3,0,4,335,58,0,396,2875,785,93,3753,10420,997,31,15201,0,84,0,86,914,80,0,1087,43,42,4,92,530,43,0,665,816,83,65,970,915,141,12,2029,1807,86,115,2002,634,137,3,2782,933,148,52,1131,1608,123,4,2866,51,537,3,590,2093,173,7,2867,14,524,6,547,2060,165,5,2773,0,63,0,63,1283,126,0,1470,0,6,0,9,584,50,0,643,3662,1579,249,5492,10620,1040,32,17185,10,138,0,147,1960,159,0,2267,68,66,4,138,1177,77,0,1394,1304,135,77,1517,2014,283,23,3835,3074,120,160,3360,1394,279,5,5033,1849,205,79,2134,2934,265,13,5350
LGA51310,4,45,0,46,999,25,0,1070,7,17,0,20,682,11,0,723,151,31,7,190,1084,38,5,1316,1044,25,31,1106,554,32,0,1700,1081,27,30,1140,864,41,6,2053,213,100,4,318,1352,29,8,1704,13,285,0,300,878,34,5,1218,3,79,0,87,624,42,4,750,0,4,0,4,306,25,0,340,2518,619,76,3212,7349,281,31,10873,0,47,0,47,832,19,0,900,0,42,0,40,680,16,3,740,303,52,9,369,1003,46,3,1423,1361,64,103,1529,434,37,5,2002,1119,69,39,1225,975,37,5,2236,95,283,6,386,1378,41,4,1810,10,464,0,477,786,51,13,1323,10,121,0,128,698,49,4,876,3,11,0,10,550,57,4,620,2906,1141,160,4207,7333,353,34,11931,4,91,0,97,1835,38,3,1969,5,56,0,65,1361,31,4,1461,458,84,17,555,2095,88,10,2738,2408,91,136,2633,991,70,7,3699,2196,93,74,2370,1837,70,10,4289
LGA51330,12,113,3,121,2768,111,0,3008,43,101,0,142,3725,230,6,4106,1185,130,32,1349,5680,466,29,7527,3431,105,59,3596,2735,281,24,6636,2134,90,42,2266,3173,199,27,5655,348,336,7,691,3798,166,36,4686,79,715,7,792,2834,98,30,3760,12,172,0,188,1672,88,6,1953,0,9,0,15,562,50,8,626,7247,1767,152,9165,26948,1688,163,37958,11,214,6,224,2620,107,3,2952,112,173,10,294,3046,174,6,3524,2067,255,67,2386,4220,390,20,7011,4407,164,165,4740,2112,253,11,7115,1970,228,63,2255,3380,165,10,5808,181,1024,11,1222,3763,152,44,5182,63,1110,3,1177,2877,108,40,4203,10,192,0,201,1938,132,16,2286,0,13,0,14,848,84,4,946,8819,3365,317,12505,24803,1566,160,39032,25,324,6,348,5387,221,4,5960,157,273,7,436,6775,404,14,7635,3250,382,97,3733,9896,856,50,14539,7841,266,223,8332,4846,538,36,13751,4099,320,107,4519,6553,363,40,11465
LGA51400,0,29,0,31,606,41,0,685,19,14,4,42,377,16,0,434,293,20,6,316,432,33,4,786,634,18,21,674,318,46,0,1043,404,34,21,462,697,51,0,1209,66,103,0,166,849,34,0,1046,5,81,0,88,639,38,0,768,5,14,0,15,286,15,0,322,0,0,0,0,46,6,0,50,1435,316,48,1803,4253,287,3,6348,0,58,0,56,593,32,0,686,45,36,0,81,317,14,0,416,507,38,42,586,376,49,4,1022,817,40,68,925,313,51,0,1288,436,108,20,572,763,39,0,1373,22,232,0,262,804,41,4,1109,7,134,3,142,596,44,0,773,3,16,0,18,301,19,0,337,0,0,0,0,67,12,0,76,1844,654,135,2639,4126,309,6,7086,0,88,0,90,1197,81,0,1369,68,48,4,121,697,28,0,853,802,55,49,908,809,84,5,1805,1449,59,88,1598,633,97,0,2334,841,147,40,1033,1460,95,0,2583
LGA51470,0,0,0,0,4,5,0,12,0,0,0,0,9,0,0,10,9,0,0,9,13,0,0,26,16,3,0,21,27,12,0,54,3,0,0,3,29,10,0,41,0,9,0,5,39,0,0,47,0,4,0,4,50,10,0,60,0,0,0,0,17,5,0,23,0,0,0,0,3,0,0,3,31,9,0,37,198,42,6,276,0,0,0,0,3,4,0,5,0,0,0,4,15,0,0,16,12,3,0,15,13,0,4,34,15,0,0,19,10,9,0,37,0,0,0,0,25,0,0,25,0,8,0,8,38,8,0,47,0,3,0,3,30,4,0,39,0,0,0,0,10,11,0,19,0,0,0,0,0,0,0,0,31,13,0,49,145,36,4,232,0,0,0,0,9,8,0,17,0,0,0,5,21,0,0,30,19,3,0,20,22,3,5,59,31,3,0,34,34,20,0,90,3,0,0,3,49,12,0,65
LGA51540,0,6,0,9,88,39,0,140,6,8,0,16,104,39,16,179,90,6,11,110,255,98,36,489,181,10,10,194,151,77,14,432,96,11,5,110,321,84,7,519,16,36,0,50,540,73,6,662,9,51,0,57,701,81,0,840,0,4,0,9,291,40,0,343,0,0,0,3,44,0,0,50,405,127,26,557,2490,529,75,3658,5,10,0,22,84,21,0,121,22,5,0,28,123,37,9,204,141,13,21,169,211,80,20,478,218,14,16,240,128,58,0,434,70,31,10,112,285,69,3,464,6,78,0,86,529,70,0,686,3,70,0,72,594,62,0,729,5,13,0,15,219,29,0,257,0,0,0,0,31,13,0,46,452,240,42,737,2203,446,32,3419,7,21,0,33,169,57,0,269,26,16,5,42,229,83,29,381,232,15,29,272,465,182,52,967,393,17,20,429,279,138,17,868,169,41,11,219,598,155,7,984
LGA51610,0,5,0,5,35,6,0,42,0,0,0,3,21,0,0,28,24,0,0,25,27,4,0,56,38,0,0,40,32,12,0,86,36,0,0,38,69,23,0,126,11,12,0,19,96,15,0,127,0,4,0,4,78,5,0,94,0,0,0,0,39,3,0,42,0,0,0,0,5,0,0,8,109,18,4,133,406,75,0,607,0,3,0,3,37,9,0,45,0,0,0,0,18,4,0,21,33,0,4,39,25,4,0,66,50,5,3,62,24,21,0,102,30,8,4,34,66,21,0,126,4,27,0,33,77,9,0,127,0,6,0,6,78,3,0,91,0,0,0,0,20,0,0,23,0,0,0,0,3,0,0,3,120,52,11,182,350,74,0,609,0,10,0,10,68,16,0,94,6,0,0,4,40,8,0,47,58,0,4,59,51,6,0,116,89,5,7,107,53,33,0,192,65,8,4,74,138,41,0,253
LGA51680,0,12,0,12,166,22,0,205,4,0,0,7,121,14,0,140,64,7,7,79,129,14,5,224,168,10,9,178,120,13,3,310,128,11,0,138,247,33,0,419,20,37,0,57,377,37,0,468,3,36,0,41,250,24,0,320,0,6,0,3,138,14,0,160,0,0,0,0,27,6,0,31,387,123,12,517,1568,187,6,2281,0,12,0,12,156,27,0,201,10,7,0,14,86,0,0,105,114,4,11,136,106,16,4,256,213,13,17,240,86,20,0,347,115,32,9,159,279,22,0,460,12,104,0,113,317,28,0,466,4,53,0,56,228,25,0,307,0,5,0,5,113,14,0,140,0,0,0,0,34,8,0,43,471,236,36,741,1412,162,5,2323,0,25,0,25,324,54,0,407,12,8,0,20,206,15,0,245,182,13,14,210,233,30,4,477,380,16,25,420,206,30,3,661,246,44,12,300,527,60,0,883
LGA51710,0,0,0,0,20,7,0,26,0,0,0,0,21,38,0,63,22,0,0,29,90,164,0,282,37,0,0,37,49,86,0,181,31,0,0,31,72,67,0,172,8,8,0,17,93,24,0,142,0,9,0,5,110,23,0,137,0,3,0,3,21,5,0,28,0,0,0,0,4,0,0,4,98,21,3,123,486,413,3,1027,0,0,0,0,29,3,0,36,4,0,0,4,19,8,0,32,27,4,0,28,53,33,0,118,58,3,4,65,42,28,0,138,26,4,0,27,86,35,0,144,4,8,0,17,87,23,0,127,0,11,0,9,47,14,0,71,0,0,0,0,13,4,0,15,0,0,0,0,0,0,0,0,118,27,4,149,371,156,0,680,0,0,0,0,49,11,0,57,4,0,0,7,36,46,0,93,55,4,0,60,138,194,0,390,91,5,3,106,96,119,0,321,56,4,0,63,159,96,0,318
LGA51750,0,22,0,22,432,11,3,471,0,5,0,9,312,17,0,339,60,4,0,68,466,37,5,568,298,3,11,315,193,21,0,530,337,6,10,355,290,21,8,671,59,34,0,95,456,13,5,561,14,104,0,111,383,25,6,524,3,63,0,69,346,19,0,428,0,0,0,0,158,15,0,177,767,249,23,1038,3033,182,20,4278,0,21,0,21,342,25,0,388,7,10,0,19,326,19,0,361,81,36,4,123,437,32,5,592,410,23,23,452,160,21,3,635,356,20,17,395,350,24,4,773,41,100,0,143,510,18,0,669,9,213,0,224,368,22,6,620,5,88,0,94,435,28,0,555,0,0,0,6,301,33,0,343,906,516,45,1466,3229,229,20,4937,0,39,0,39,774,39,7,862,4,21,0,24,640,43,0,702,140,43,7,186,906,62,11,1162,703,24,35,767,351,44,9,1162,695,25,27,749,640,44,7,1447
LGA51820,10,160,3,177,2991,132,12,3312,78,117,0,195,3278,151,4,3629,1846,208,53,2107,5731,365,12,8220,4617,180,139,4931,3383,356,8,8680,2532,187,79,2795,4388,236,11,7431,420,521,8,947,4794,177,19,5933,74,715,3,786,3420,179,21,4406,16,157,0,177,1866,182,6,2219,4,9,0,13,569,108,0,691,9592,2254,282,12126,30422,1875,95,44520,17,243,3,263,2815,112,0,3196,175,238,10,424,3154,145,5,3726,3183,412,144,3745,4975,344,20,9079,5745,261,353,6357,2570,300,7,9232,2359,526,109,2992,4629,229,12,7864,187,1469,19,1677,4685,196,25,6589,48,1213,10,1269,3364,198,28,4856,15,181,0,195,2060,221,3,2477,0,12,0,8,890,209,0,1108,11736,4552,653,16937,29142,1956,103,48130,28,407,7,439,5808,246,17,6510,255,350,10,615,6431,292,10,7353,5031,628,199,5850,10707,708,27,17297,10361,441,492,11293,5959,652,16,17914,4888,712,184,5786,9016,466,24,15298
LGA51860,0,0,0,0,8,0,0,8,0,0,0,0,20,3,0,16,11,0,0,11,21,12,3,41,13,0,0,22,18,8,0,42,8,0,0,8,24,4,0,35,0,4,0,8,49,19,0,77,0,7,0,7,29,14,0,44,0,0,0,0,20,8,0,33,0,0,0,0,3,0,0,3,35,7,0,49,177,69,3,297,0,0,0,0,0,3,0,8,3,0,0,3,11,5,0,25,10,0,0,18,19,11,0,44,19,0,5,18,13,10,0,43,6,4,0,11,23,10,0,39,0,9,0,9,37,19,0,69,0,4,0,4,27,13,0,41,0,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,37,24,7,70,150,71,0,286,0,0,0,0,10,3,0,14,3,0,0,3,27,5,0,41,18,0,0,28,36,21,3,77,31,0,3,37,32,13,0,84,16,4,0,18,43,18,0,76
LGA51890,0,11,0,11,230,25,0,264,16,7,0,20,192,13,0,223,130,14,9,158,233,45,3,435,225,14,16,254,194,45,0,499,121,18,3,141,336,48,0,524,25,63,0,87,521,38,0,646,3,61,0,61,501,40,0,604,0,15,0,15,236,26,0,275,0,0,0,0,59,22,0,78,517,200,28,743,2500,305,8,3551,4,20,0,22,190,24,3,238,31,12,0,41,128,17,0,186,229,36,24,287,149,29,0,469,262,19,23,306,135,45,0,486,112,78,0,185,368,31,0,590,7,155,0,160,427,27,0,617,6,82,0,81,410,26,0,518,0,4,0,4,235,32,0,279,0,0,0,0,68,32,0,101,644,404,52,1098,2119,270,3,3494,4,26,0,31,420,48,3,503,46,17,0,65,315,29,0,406,359,54,37,450,381,72,3,910,494,33,33,559,333,94,0,989,223,92,3,326,705,83,0,1117
LGA51960,0,13,0,13,68,24,0,101,11,6,0,21,69,50,0,135,98,4,3,110,207,210,0,521,122,7,6,128,121,170,0,428,59,11,0,75,238,193,0,511,13,16,0,27,268,123,0,422,0,11,0,10,156,39,0,202,0,0,0,0,41,9,0,52,0,0,0,0,10,6,0,8,303,62,7,382,1178,825,3,2382,4,6,0,16,64,33,0,110,23,10,0,33,55,35,0,119,88,12,9,105,71,71,0,242,103,12,10,115,72,74,0,261,25,25,0,60,152,62,0,274,7,29,0,37,135,50,0,223,0,10,0,12,103,29,0,141,0,0,0,0,25,10,0,35,0,0,0,0,7,0,0,7,251,105,22,374,681,360,0,1412,4,16,0,23,127,55,0,204,29,19,3,47,123,84,0,260,183,15,12,210,270,283,0,765,223,12,11,244,194,248,0,691,89,41,6,135,391,257,0,783
LGA52030,0,0,0,0,12,0,0,11,3,0,0,8,9,3,0,22,15,0,0,14,18,10,0,45,21,0,0,25,20,3,0,44,3,0,0,3,36,10,0,56,4,13,0,12,99,16,0,132,0,5,0,5,96,13,0,113,0,0,0,4,53,5,0,60,0,0,0,0,6,5,0,15,55,19,0,74,346,74,0,496,0,0,0,0,9,6,0,11,8,0,0,8,6,6,0,14,22,3,4,29,12,0,0,45,25,0,0,27,11,11,0,46,7,0,0,11,33,7,0,51,0,15,0,15,73,11,0,96,0,17,0,17,79,9,0,99,0,0,0,0,34,10,0,44,0,0,0,0,9,7,0,11,63,36,3,104,261,61,0,422,0,0,0,0,20,4,0,22,9,0,0,9,16,9,0,32,42,3,4,43,32,14,0,87,47,0,0,52,28,10,0,92,18,0,0,16,76,22,0,109
LGA52100,0,0,0,0,18,0,0,18,0,0,0,0,28,0,0,30,13,0,0,16,33,0,0,48,36,0,0,40,15,3,0,63,13,0,0,19,39,3,0,61,3,3,0,4,55,4,0,68,0,3,0,8,66,8,0,80,0,0,0,0,24,0,0,26,0,0,0,0,19,3,0,15,69,14,0,83,300,30,0,409,0,3,0,3,0,0,0,8,3,0,0,4,15,0,0,15,19,9,4,25,24,4,0,58,35,7,3,40,13,0,0,57,14,3,0,17,31,0,0,55,0,11,0,11,52,4,0,69,0,5,0,4,59,9,0,67,0,0,0,0,35,4,0,39,0,0,0,0,22,6,0,21,70,38,8,112,249,29,0,388,0,6,0,6,18,5,0,26,3,0,0,4,42,0,0,47,31,8,4,43,63,4,0,109,67,8,3,78,29,7,0,116,30,3,0,36,69,6,0,113
LGA52170,0,9,0,9,259,6,0,283,0,5,0,5,210,6,0,224,34,11,0,49,326,10,4,390,214,6,9,226,139,22,3,392,267,10,6,283,210,14,3,508,70,33,0,102,402,12,7,524,8,109,0,115,298,10,3,429,6,47,0,50,206,23,0,279,0,0,0,0,75,18,0,87,588,237,14,842,2123,116,26,3100,0,16,0,16,248,8,0,274,0,10,0,10,210,4,0,229,65,29,0,103,330,9,5,446,273,13,20,308,103,19,5,430,295,18,13,322,240,14,6,582,34,85,0,120,390,13,6,526,5,176,0,186,261,16,0,463,0,48,0,48,196,22,0,262,0,0,0,0,94,27,0,126,674,412,36,1114,2074,133,19,3332,0,26,0,26,512,14,0,553,0,17,0,17,421,11,3,453,101,47,0,145,654,22,8,832,483,24,29,534,238,43,7,818,556,31,15,604,450,27,6,1089
LGA52240,0,0,0,0,15,6,0,20,6,0,0,3,14,0,0,23,15,0,0,15,29,3,0,47,38,0,0,35,16,3,0,58,19,3,5,23,50,14,0,83,6,4,0,9,79,6,0,98,3,7,0,11,57,5,0,72,0,0,0,0,35,6,0,40,0,0,0,0,7,0,0,4,77,13,0,95,308,47,0,447,0,0,0,0,10,4,0,19,3,4,0,5,13,0,0,22,17,6,0,25,14,4,0,41,39,4,3,49,20,9,0,74,11,6,3,16,45,6,0,66,0,10,0,10,55,9,0,78,0,7,0,7,43,11,0,62,0,0,0,0,28,5,0,37,0,0,0,0,6,3,0,4,78,32,6,115,226,50,0,396,0,0,0,0,26,10,0,35,6,3,0,14,23,3,0,41,36,6,0,36,43,10,0,87,79,4,6,86,37,10,0,133,29,12,4,42,97,17,0,156
LGA52310,0,0,0,0,7,0,0,11,0,0,0,3,15,5,0,20,5,0,0,5,28,0,3,41,21,0,0,21,16,3,0,37,17,4,0,19,42,4,0,65,8,5,0,11,60,4,0,75,0,5,0,5,72,8,0,86,0,3,0,3,25,5,0,39,0,0,0,0,10,0,0,10,52,15,0,68,279,37,3,379,0,0,0,0,7,7,0,10,4,0,0,4,17,0,0,21,18,0,0,24,18,7,0,40,20,0,0,23,9,3,0,34,13,6,0,25,38,8,0,70,4,8,0,14,62,8,0,81,0,3,0,3,52,4,0,54,0,0,0,0,19,4,0,26,0,0,0,0,3,0,0,8,59,23,0,85,228,34,0,346,0,0,0,0,15,3,0,21,0,0,0,4,37,5,0,41,30,0,0,26,44,9,3,78,39,0,0,36,23,8,0,72,32,9,0,37,83,12,0,128
