LGA_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
LGA50980,12,30,80,99,68,50,21,0,0,361,20,36,97,129,84,56,26,10,0,455,422,624,2291,2392,2087,1896,699,93,3,10498
LGA51080,3,0,0,3,0,0,0,0,0,9,0,0,3,3,4,0,4,0,0,12,11,24,77,100,89,109,39,11,0,464
LGA51120,0,0,0,5,3,7,0,0,0,10,0,0,3,4,0,5,0,0,0,15,12,30,75,86,89,78,34,4,0,406
LGA51190,30,79,110,106,123,101,31,3,0,582,34,46,118,114,103,81,39,4,3,544,905,1264,2857,2865,3141,2684,791,70,10,14588
LGA51260,52,70,130,144,173,102,46,3,0,721,51,54,91,148,149,108,48,17,6,672,1407,1114,2916,4086,4421,3474,1156,138,19,18727
LGA51310,19,49,54,69,79,67,35,11,0,371,30,49,92,121,141,98,37,8,4,578,893,1170,2336,3164,3676,2554,800,135,29,14743
LGA51330,69,221,411,343,326,243,90,25,0,1732,111,310,719,563,475,288,96,22,0,2581,2439,5429,11178,10755,8960,6405,1852,193,11,47222
LGA51400,26,36,74,81,100,59,11,0,0,388,26,32,45,82,67,59,10,10,0,330,708,662,1396,1918,2163,1497,348,36,0,8729
LGA51470,4,6,3,0,0,3,0,0,0,16,0,0,0,3,4,0,0,0,0,10,5,21,44,62,51,61,31,7,0,275
LGA51540,6,10,14,13,21,16,4,0,0,93,5,5,28,20,31,21,18,3,0,138,99,195,581,592,647,730,262,21,4,3137
LGA51610,3,4,9,7,9,8,0,0,0,37,0,0,5,0,4,7,0,0,0,15,44,35,96,140,189,162,53,14,0,720
LGA51680,10,16,25,33,16,22,3,0,0,127,9,12,22,29,37,26,9,5,0,144,168,185,354,522,707,647,147,28,3,2768
LGA51710,0,0,7,9,7,6,5,0,0,17,0,4,10,3,12,12,13,0,0,44,28,39,188,180,203,170,96,0,0,904
LGA51750,11,14,22,27,18,25,13,5,0,135,12,29,28,30,44,20,16,16,4,202,333,531,942,932,1158,842,378,118,9,5238
LGA51820,151,293,629,550,486,380,80,7,0,2583,142,297,733,770,618,361,134,13,5,3081,3314,5663,14165,14825,12484,8669,2176,187,8,61511
LGA51860,0,0,0,0,0,0,0,0,0,3,0,5,3,4,0,3,3,0,0,20,4,30,53,58,53,73,13,6,0,288
LGA51890,19,17,25,30,45,17,3,0,0,165,5,11,23,32,28,18,9,6,0,136,226,273,590,699,774,656,145,26,5,3402
LGA51960,3,0,7,4,6,7,0,0,0,33,3,5,5,0,16,18,0,0,0,60,70,119,391,359,437,331,78,9,0,1802
LGA52030,0,0,0,0,3,5,0,0,0,7,0,0,0,3,3,10,4,0,0,20,5,19,61,68,81,118,51,15,0,414
LGA52100,4,3,4,3,4,3,4,0,0,23,0,0,0,0,5,4,6,0,0,14,20,37,89,101,91,100,57,7,3,512
LGA52170,11,15,19,17,8,6,3,0,0,90,7,11,43,24,52,27,15,8,3,190,233,369,720,646,893,736,326,70,3,4000
LGA52240,0,0,0,0,0,0,0,0,0,10,0,0,5,3,6,0,5,0,0,24,11,30,63,99,110,106,62,8,5,494
LGA52310,0,0,0,0,3,0,0,0,0,11,3,0,0,0,0,4,0,4,0,16,12,30,52,45,95,103,44,16,0,395
LGA52380,0,0,0,0,0,6,4,0,0,11,0,0,11,3,3,6,0,4,0,19,6,30,90,62,85,72,15,5,0,361
LGA52450,0,5,0,6,3,5,3,0,0,17,7,4,5,0,3,0,4,0,0,27,64,42,110,114,109,94,41,10,0,589
LGA52520,0,0,6,5,0,5,0,0,0,26,3,3,6,12,4,4,3,0,0,33,19,51,126,153,110,146,59,17,5,676
LGA52590,0,5,9,5,14,5,0,0,0,50,4,5,19,11,11,13,11,6,0,72,65,92,313,295,344,403,159,38,3,1707
LGA52660,12,35,73,69,53,34,9,5,0,285,20,28,57,59,55,39,16,3,0,274,453,536,1380,1545,1439,1112,273,48,5,6793
LGA52730,7,3,16,20,22,12,0,0,0,88,9,0,12,18,29,22,10,5,0,98,163,78,310,540,605,617,235,55,5,2611
LGA52800,0,6,34,19,33,17,0,0,0,112,0,13,29,13,13,12,11,0,0,94,74,216,705,534,553,588,210,18,0,2899
LGA52870,12,3,15,19,19,10,9,0,0,91,10,5,16,21,30,25,6,8,0,127,166,150,346,517,632,614,227,48,5,2696
LGA52940,0,0,0,0,0,4,0,0,0,10,0,0,0,0,0,3,4,0,0,11,5,26,37,70,71,62,40,5,0,325
LGA53010,0,4,0,4,6,0,0,0,0,7,0,0,0,0,4,4,0,0,0,5,0,17,53,61,61,74,27,3,0,311
LGA53080,0,0,0,0,6,0,0,0,0,3,0,4,8,0,0,4,3,0,0,21,10,39,97,67,111,92,31,7,0,458
LGA53150,7,16,26,16,31,16,7,0,0,124,7,15,20,28,43,28,12,3,0,142,247,309,585,735,971,797,241,36,0,3932
LGA53220,4,16,79,50,40,20,0,0,0,202,5,16,38,24,21,22,0,0,0,125,168,715,3049,2840,2502,1647,254,15,0,11195
LGA53290,32,31,73,53,75,41,13,0,0,314,17,36,47,45,50,59,19,5,0,280,411,500,1164,1275,1448,1233,347,65,3,6470
LGA53360,11,3,18,16,22,12,4,0,0,97,4,21,52,32,22,34,10,4,0,170,129,223,714,641,600,565,158,21,5,3053
LGA53430,31,46,123,107,107,75,28,5,0,524,29,53,187,168,140,121,44,11,0,746,664,1324,3500,3554,3266,2864,932,118,8,16224
LGA53570,3,4,16,16,18,8,3,0,0,62,7,11,20,21,20,29,13,5,0,125,98,153,450,421,528,503,175,45,5,2387
LGA53640,0,0,4,0,4,0,0,0,0,15,6,9,9,5,4,7,0,0,0,27,17,40,137,112,115,107,70,8,0,609
LGA53710,0,4,4,7,5,3,0,0,0,27,0,0,0,4,0,3,0,0,0,10,16,27,49,87,87,99,46,9,4,428
LGA53780,123,285,566,600,491,351,113,11,0,2539,150,371,813,861,655,454,124,18,4,3446,3181,5726,12009,14342,11785,8022,2107,166,10,57349
LGA53800,67,92,164,150,130,114,38,12,0,769,56,62,127,127,145,108,50,8,4,675,1318,1410,3228,3471,3884,3224,932,119,14,17603
LGA53920,0,0,9,6,0,6,4,0,0,27,0,0,18,12,12,7,3,0,0,50,30,98,307,268,261,263,82,6,0,1311
LGA53990,40,44,115,81,95,70,21,0,0,464,41,49,110,107,89,69,33,4,3,502,960,922,2400,2942,2909,2229,584,67,11,13015
LGA54060,3,8,6,14,3,6,3,0,0,40,6,5,3,6,21,23,10,6,0,92,91,89,164,283,362,366,142,38,0,1529
LGA54130,0,0,0,0,0,4,0,0,0,9,0,0,0,0,4,4,0,0,0,8,12,45,98,137,116,129,62,3,0,594
LGA54170,172,349,607,671,650,544,195,18,0,3204,189,277,589,686,723,608,189,31,0,3285,5404,7108,13041,17548,18943,15185,4190,349,22,81796
LGA54200,81,148,280,272,255,228,70,8,0,1338,63,125,261,293,266,211,70,16,7,1303,1736,2411,4921,6323,6261,4897,1503,162,17,28235
LGA54280,56,89,165,152,140,79,21,0,0,708,52,66,157,141,136,103,35,3,0,688,890,1486,3746,3458,3165,2510,602,54,0,15901
LGA54310,30,35,123,120,86,35,15,0,0,441,32,61,167,176,123,78,16,0,0,653,606,845,3254,3637,2814,1676,327,18,0,13172
LGA54340,10,12,14,9,12,13,8,0,0,82,7,5,9,15,11,31,0,0,0,79,108,173,356,325,340,361,128,22,0,1814
LGA54410,0,0,0,0,0,5,0,0,0,6,5,0,0,0,0,4,3,0,0,23,27,29,69,81,102,120,31,13,0,467
LGA54480,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,9,4,17,51,66,62,43,19,8,0,262
LGA54550,0,0,8,4,0,4,4,0,0,22,3,6,5,5,8,11,13,0,0,52,32,64,138,197,177,226,93,21,3,950
LGA54620,0,0,0,3,0,4,0,0,0,6,4,0,0,4,0,5,5,0,4,21,16,54,133,126,141,146,56,18,7,691
LGA54690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,27,30,41,38,23,3,0,184
LGA54760,0,0,0,4,3,0,4,0,0,11,0,0,0,0,5,0,0,0,0,6,9,12,55,84,97,80,37,16,0,379
LGA54830,42,96,259,205,133,77,14,7,0,840,52,116,294,271,221,123,36,0,0,1114,1109,1959,5246,5470,4021,2387,490,38,4,20726
LGA54900,0,0,6,8,3,3,0,0,0,23,0,3,3,0,3,9,3,0,0,25,26,42,126,154,158,157,74,23,0,764
LGA54970,0,0,7,0,5,0,0,0,0,16,3,3,0,5,4,3,0,0,0,16,13,117,430,401,417,327,46,0,0,1753
LGA55040,0,6,9,6,0,0,0,0,0,29,0,3,4,10,9,0,0,0,0,28,28,130,457,384,308,231,44,5,0,1585
LGA55110,93,138,308,249,271,213,68,4,0,1356,107,138,289,295,306,226,92,26,7,1497,2405,3012,6117,6879,7646,6546,1669,184,14,34482
LGA55180,9,14,33,21,25,31,8,0,0,158,15,17,34,35,34,44,24,8,0,214,287,280,709,743,924,1012,394,74,9,4425
LGA55250,0,6,10,4,0,4,5,0,0,23,7,4,0,5,0,0,0,0,0,26,10,83,297,237,239,192,57,3,0,1120
LGA55320,109,164,326,336,317,267,116,12,0,1649,113,199,387,497,453,367,129,41,8,2195,3247,4725,8813,10864,11151,8623,2920,368,27,50737
LGA55390,0,0,7,3,0,6,0,0,0,19,0,5,0,0,0,0,0,0,0,3,11,70,181,166,158,111,21,3,0,721
LGA55460,5,11,16,18,11,3,3,0,0,68,0,5,6,0,8,17,3,3,0,50,92,112,278,258,296,280,96,19,3,1432
LGA55530,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,5,16,30,48,50,53,17,8,0,226
LGA55600,5,0,9,14,7,6,4,0,0,48,6,3,0,3,10,12,4,6,0,34,47,71,160,182,237,251,107,33,0,1079
LGA55670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,16,37,46,56,66,21,9,0,250
LGA55740,15,33,26,24,31,16,8,0,0,148,10,18,30,42,65,24,15,0,0,202,258,417,748,899,1038,682,294,56,0,4372
LGA55810,0,0,0,0,0,3,0,0,0,3,0,4,6,4,0,0,0,0,0,11,8,31,95,100,117,96,28,0,0,479
LGA55880,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,7,3,13,34,47,56,57,23,8,0,234
LGA55950,0,0,0,6,0,0,6,3,0,16,0,0,0,5,0,4,3,0,0,9,9,0,43,54,57,61,39,9,0,279
LGA56090,52,81,152,179,177,142,51,8,0,838,55,71,133,157,219,157,58,15,3,862,1199,1402,2671,3359,4194,3748,1081,147,6,17812
LGA56160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,18,9,9,0,0,69
LGA56230,34,26,71,54,56,56,17,0,0,314,16,30,51,56,61,53,16,12,0,301,534,585,1158,1340,1592,1340,400,61,7,7016
LGA56300,0,0,0,0,0,8,0,0,0,14,0,0,0,3,5,4,4,3,0,22,24,14,63,132,123,161,81,16,0,610
LGA56370,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,3,0,11,5,15,77,58,74,82,29,7,0,359
LGA56460,8,10,19,21,24,20,4,0,0,103,8,9,17,9,18,16,4,3,0,79,128,174,385,388,443,427,159,25,5,2136
LGA56580,19,29,43,39,45,42,29,0,0,238,21,34,55,92,121,84,35,15,4,460,666,1038,1478,2004,2595,1943,853,173,19,10762
LGA56620,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,21,47,53,63,58,19,4,0,276
LGA56730,10,25,30,38,35,35,12,0,0,203,13,17,33,34,42,37,16,7,0,203,287,358,709,791,985,965,328,33,3,4463
LGA56790,3,4,7,14,3,5,4,0,0,40,4,3,9,12,10,15,14,5,0,70,54,82,207,299,342,462,179,27,0,1658
LGA56860,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,4,13,12,9,19,28,10,0,0,99
LGA56930,4,0,4,3,0,0,0,0,0,16,0,6,4,0,9,8,5,0,0,27,69,78,87,84,161,143,81,19,7,717
LGA57000,0,5,0,0,0,0,0,0,0,5,0,0,6,0,3,0,0,0,0,12,10,36,117,124,114,110,26,13,0,539
LGA57080,21,63,156,85,51,39,16,7,0,443,15,119,272,160,108,88,22,9,0,782,623,2168,6498,3788,2181,1755,596,117,4,17733
LGA57140,0,0,0,3,0,5,0,0,0,12,0,4,0,0,0,0,0,0,0,11,21,27,46,58,69,96,39,10,0,375
LGA57210,4,11,9,11,15,17,9,0,0,78,5,7,13,20,25,25,10,0,0,106,125,131,315,375,519,491,233,42,0,2235
LGA57280,20,25,85,74,54,32,6,0,0,298,17,35,92,95,78,58,8,0,0,396,375,551,2450,2381,1727,1237,235,7,0,8971
LGA57350,0,0,0,0,6,6,0,0,0,7,0,0,0,0,0,0,0,0,0,4,7,6,49,47,59,76,30,9,0,290
LGA57420,0,5,3,9,5,9,4,0,0,25,3,0,15,11,6,8,5,0,3,49,31,100,341,263,306,279,69,13,9,1411
LGA57490,156,236,578,473,463,309,68,10,0,2298,175,276,651,647,594,431,99,15,6,2892,4186,5660,12888,13421,13203,9385,1838,134,11,60725
LGA57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,11,10,25,4,0,0,69
LGA57700,54,88,215,149,132,110,22,0,0,775,66,76,190,199,131,112,27,10,0,814,1041,1304,3636,3634,3070,2179,533,61,3,15470
LGA57770,0,0,17,3,8,11,4,0,0,43,0,0,11,4,8,7,4,0,0,37,27,60,254,207,218,322,69,13,0,1160
LGA57840,35,89,188,125,120,92,46,12,0,700,36,94,213,201,158,126,64,19,5,913,1099,2607,5260,4650,4180,3415,1315,198,12,22738
LGA57910,186,432,1251,1008,774,584,208,43,6,4480,167,487,1390,1289,954,596,226,66,10,5196,5004,10160,29807,27592,21939,15791,4867,621,45,115822
LGA57980,11,24,39,40,38,26,7,3,0,204,11,16,85,77,63,52,19,6,0,331,367,778,2180,1925,1721,1347,579,102,5,9004
LGA58050,169,401,936,783,658,447,128,12,0,3526,187,441,912,972,780,526,148,23,8,3991,4397,6943,17278,17575,14906,10719,2611,257,22,74710
LGA58190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,33,20,34,41,8,4,0,153
LGA58260,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,7,4,12,38,66,58,59,14,8,0,257
LGA58330,3,9,12,10,15,16,6,0,0,71,6,10,13,7,25,31,5,0,0,96,89,90,196,277,421,511,173,22,3,1781
LGA58400,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,10,27,8,26,32,18,7,0,128
LGA58470,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,4,9,25,26,41,14,0,0,117
LGA58510,27,90,215,141,110,81,33,4,0,688,15,79,251,195,140,84,27,4,3,808,784,2202,6111,4741,3356,2338,695,55,11,20285
LGA58540,0,3,0,4,6,8,0,0,0,15,0,0,4,0,5,10,0,0,0,11,15,21,50,74,77,107,37,13,0,385
LGA58570,16,65,193,160,97,97,38,3,0,670,20,75,259,186,127,67,34,0,0,765,656,1895,6662,5148,3729,2479,719,82,3,21381
LGA58610,4,3,4,8,11,5,0,0,0,37,0,0,8,8,11,5,0,0,0,25,36,37,118,131,136,153,67,8,0,684
LGA58680,0,0,0,3,0,0,0,0,0,9,0,0,0,0,3,0,4,0,0,5,11,15,27,35,57,52,26,8,0,234
LGA58760,238,528,1240,1083,954,601,130,20,0,4802,262,551,1128,1260,1043,639,144,29,4,5059,6422,9759,21784,24036,22228,14123,3101,270,22,101739
LGA58820,8,6,9,11,8,12,4,0,0,42,6,11,13,12,21,9,5,4,0,79,113,119,231,338,412,373,115,24,0,1724
LGA58890,0,0,0,0,6,0,0,0,0,5,0,0,3,0,0,5,0,0,0,3,7,25,39,52,90,87,49,16,3,365
LGA59030,0,0,3,3,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,9,5,14,28,41,43,57,8,0,0,203
LGA59100,0,0,0,0,0,4,0,0,0,5,0,0,0,4,0,0,0,6,0,13,12,15,45,51,58,76,30,14,4,299
LGA59170,0,0,5,0,0,3,0,0,0,12,0,0,0,0,0,9,3,0,0,18,18,27,79,118,97,114,54,15,0,520
LGA59250,0,0,0,3,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,5,4,51,177,140,137,85,13,3,0,613
LGA59310,3,4,6,3,6,4,0,0,0,28,7,5,6,3,3,8,3,0,0,35,30,41,107,131,120,128,70,14,0,638
LGA59320,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,6,14,35,30,38,56,19,0,0,208
LGA59330,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,5,0,0,6,3,17,37,27,36,42,27,6,0,208
LGA59340,7,13,30,43,36,30,6,0,0,164,12,14,50,30,41,37,14,3,0,196,138,280,1104,1014,965,881,272,27,0,4682
LGA59350,0,0,3,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,7,3,27,109,71,81,64,24,0,0,371
LGA59360,0,4,4,0,0,0,0,0,0,12,0,3,9,5,5,9,7,0,0,35,10,59,222,219,243,234,61,9,4,1056
LGA59370,9,0,4,10,8,13,3,0,0,44,0,4,6,4,16,23,10,4,0,70,65,62,186,261,274,384,147,23,9,1406
LGA59799,0,0,5,0,5,0,0,0,0,11,0,9,44,78,68,33,0,0,0,242,10,71,297,516,486,267,40,8,0,1697
