LGA_CODE_2021,Neg_Nil_Inc_Family_hholds,Neg_Nil_Inc_Non_fam_household,Neg_Nil_Inc_Tot,1_149_Family_hholds,1_149_NonFamHholds,1_149_Tot,150_299_Family_hholds,150_299_NonFamHholds,150_299_Tot,300_399_Family_hholds,300_399_NonFamHholds,300_399_Tot,400_499_Family_hholds,400_499_NonFamHholds,400_499_Tot,500_649_Family_hholds,500_649_NonFamHholds,500_649_Tot,650_799_Family_hholds,650_799_NonFamHholds,650_799_Tot,800_999_Family_hholds,800_999_NonFamHholds,800_999_Tot,1000_1249_Family_hholds,1000_1249_NonFamHholds,1000_1249_Tot,1250_1499_Family_hholds,1250_1499_NonFamHholds,1250_1499_Tot,1500_1749_Family_hholds,1500_1749_NonFamHholds,1500_1749_Tot,1750_1999_Family_hholds,1750_1999_NonFamHholds,1750_1999_Tot,2000_2499_Family_hholds,2000_2499_NonFamHholds,2000_2499_Tot,2500_2999_Family_hholds,2500_2999_NonFamHholds,2500_2999_Tot,3000_3499_Family_hholds,3000_3499_NonFamHholds,3000_3499_Tot,3500_3999_Family_hholds,3500_3999_NonFamHholds,3500_3999_Tot,4000orMore_Family_hholds,4000orMore_NonFamHholds,4000orMore_Tot,Part_Inc_st_Family_hholds,Part_Inc_st_NonFamHholds,Part_Inc_stated_Tot,All_Inc_NS_Family_hh,All_Inc_NS_NonFamily_hh,All_Inc_NS_Tot,Tot_Family_hholds,Tot_NonFamHholds,Tot_Tot
LGA52730,19,28,47,5,29,43,18,60,73,4,87,94,37,190,227,42,99,147,148,60,207,119,85,204,149,79,222,132,41,176,77,35,109,96,19,113,142,39,177,136,11,144,79,21,104,41,7,48,121,28,150,217,14,234,13,46,66,1594,978,2580
LGA52800,10,31,39,4,22,26,23,64,81,19,55,73,100,74,175,38,51,89,111,59,169,87,99,188,91,106,195,81,139,218,51,109,161,66,94,158,92,161,256,73,45,117,85,55,143,31,30,59,76,117,189,166,13,180,41,127,167,1241,1465,2704
LGA52870,20,24,46,14,20,38,7,19,24,10,51,53,50,137,189,34,66,103,135,54,191,112,61,170,122,57,180,134,37,178,80,24,107,82,21,103,171,37,212,148,4,150,113,7,120,72,0,68,164,11,168,195,14,202,25,32,52,1691,681,2370
LGA52940,0,0,0,0,0,0,0,7,7,0,5,5,3,29,35,4,7,10,16,8,25,11,13,23,20,9,33,12,10,23,6,8,14,10,6,16,23,9,31,16,0,15,5,4,7,0,0,0,15,5,16,26,0,26,6,8,15,176,124,297
LGA53010,7,3,3,0,0,4,0,3,4,0,3,4,0,14,13,0,10,6,10,0,13,7,4,18,19,14,30,8,5,13,15,5,13,15,0,15,12,7,21,14,0,12,3,0,8,3,0,3,11,4,18,16,0,20,8,5,10,162,83,241
LGA53080,7,8,7,0,0,0,0,18,18,0,10,10,9,40,47,6,13,18,13,15,35,13,23,31,4,17,18,12,7,15,3,11,11,0,17,21,8,18,29,6,3,13,5,3,12,4,0,4,5,8,11,25,0,29,9,22,24,127,217,340
LGA53150,17,33,48,8,13,21,0,35,34,4,45,49,20,106,125,28,86,116,61,63,125,53,60,107,81,63,143,113,73,186,72,58,128,76,43,116,179,90,269,131,8,144,159,23,190,118,0,120,731,56,787,184,19,204,13,22,33,2058,900,2955
LGA53220,5,27,31,0,5,6,4,19,21,3,30,34,19,27,40,14,15,29,35,50,83,34,71,103,44,76,112,41,96,136,48,84,131,47,89,132,91,205,294,124,25,150,113,88,205,104,12,122,306,108,412,125,19,141,13,83,96,1166,1124,2284
LGA53290,34,50,89,18,24,45,17,70,93,16,120,138,64,286,352,53,169,230,187,114,305,171,132,301,195,180,377,230,129,358,168,93,265,202,73,278,449,138,586,308,21,326,266,38,305,121,14,137,343,68,404,462,31,497,55,108,172,3389,1869,5255
LGA53360,10,42,47,0,15,15,0,18,18,6,31,35,10,78,84,11,68,73,23,118,143,34,120,153,39,148,189,36,147,183,34,69,107,40,96,137,92,149,243,83,72,153,50,80,130,44,37,78,92,161,249,133,43,176,9,82,97,744,1578,2321
LGA53430,67,171,236,26,77,95,50,216,267,43,392,431,118,723,843,124,405,525,353,298,652,326,348,667,384,382,762,393,349,746,323,270,599,377,286,658,815,531,1341,662,78,738,718,167,884,504,24,525,1988,334,2323,728,184,912,60,201,267,8042,5435,13473
LGA53570,18,32,55,12,15,24,11,27,37,14,50,60,36,121,156,33,63,91,122,40,157,92,62,153,78,49,131,103,49,154,63,36,100,97,41,137,156,49,202,108,7,117,65,19,83,47,0,46,113,14,129,220,11,233,37,53,89,1412,734,2146
LGA53640,3,0,8,0,0,9,0,7,10,3,7,4,10,15,27,9,5,13,12,12,28,13,11,22,23,23,41,28,21,44,12,5,16,13,6,19,43,15,54,31,0,29,25,3,26,11,0,11,32,4,42,37,0,37,7,4,12,312,146,455
LGA53710,0,5,9,0,0,0,0,4,5,3,8,17,3,36,38,0,19,22,22,15,35,15,14,31,15,9,25,20,6,29,17,9,20,23,0,23,28,3,32,17,0,17,12,0,13,7,0,7,22,0,20,35,0,35,9,5,13,253,138,391
LGA53780,355,401,759,113,108,228,141,361,500,198,748,946,522,1704,2221,641,1071,1714,1847,708,2561,1702,901,2600,2071,1090,3157,2436,804,3241,1955,682,2634,2005,508,2511,4380,744,5122,3224,109,3332,2498,164,2657,1446,43,1487,3208,198,3406,2938,237,3175,320,351,671,31996,10929,42926
LGA53800,109,151,259,42,59,103,67,200,264,57,361,418,178,750,930,210,496,705,643,360,1003,527,410,937,539,430,966,637,345,983,542,252,792,534,234,763,1222,371,1592,963,44,1002,799,99,900,488,17,507,1005,114,1117,1237,78,1314,119,225,349,9920,4988,14907
LGA53920,0,13,13,3,4,13,18,32,46,17,29,46,43,33,80,41,30,70,56,44,100,59,34,96,60,56,118,46,73,117,22,49,73,21,47,70,40,93,132,36,22,59,20,26,43,7,13,20,17,51,66,84,6,89,44,73,119,642,730,1367
LGA53990,78,69,145,34,22,56,38,66,100,47,167,216,147,429,583,149,225,376,473,160,629,373,184,557,462,184,650,496,155,652,360,140,495,452,114,565,997,224,1224,779,17,796,651,64,715,390,10,399,855,89,950,939,45,978,89,117,211,7815,2491,10302
LGA54060,11,29,45,0,8,5,7,16,25,12,48,58,28,95,125,33,79,112,88,47,133,65,46,111,53,53,108,62,30,101,51,26,77,39,35,77,104,28,130,67,11,80,53,12,64,40,0,45,74,28,105,152,6,158,24,58,81,973,653,1624
LGA54130,9,9,13,4,0,4,3,3,11,0,14,14,6,9,15,4,18,25,19,9,22,13,14,25,15,26,39,28,14,45,15,14,24,19,10,30,29,12,47,18,3,21,28,0,29,0,0,0,32,9,39,39,0,38,0,13,16,283,188,469
LGA54170,366,422,788,185,163,347,175,370,544,196,726,923,599,1767,2371,569,1293,1858,1836,865,2703,1793,955,2750,2319,1032,3353,2492,861,3352,1988,749,2738,2056,634,2687,4958,1066,6023,4385,133,4517,4304,294,4593,2999,50,3055,9665,336,10005,4347,245,4591,372,398,766,45607,12361,57966
LGA54200,143,183,327,78,78,151,66,162,225,78,314,397,233,780,1009,238,568,809,796,340,1140,700,420,1121,968,479,1445,1070,384,1449,789,314,1107,871,231,1107,1994,431,2424,1645,52,1698,1403,97,1498,946,9,957,2375,122,2501,1608,102,1712,159,221,381,16165,5290,21456
LGA54280,40,98,143,22,35,57,28,130,159,22,132,148,60,275,335,92,151,244,191,122,313,174,207,379,196,263,461,253,251,501,220,337,559,282,297,584,821,577,1399,759,49,809,795,167,967,524,35,559,1583,205,1788,720,87,809,111,314,423,6899,3726,10624
LGA54310,12,60,69,11,17,30,12,33,48,13,52,69,25,68,92,36,49,86,40,114,157,60,117,174,89,157,247,91,168,264,100,183,289,155,214,371,437,449,890,399,53,456,537,185,722,398,37,436,1750,315,2064,526,51,577,32,258,295,4741,2582,7319
LGA54340,11,13,19,9,6,19,3,14,16,6,29,32,27,74,101,26,54,77,81,41,128,72,52,123,63,54,115,75,33,108,58,36,97,76,16,89,120,36,156,99,5,106,54,9,60,27,0,27,62,7,71,106,11,119,11,25,33,983,502,1485
LGA54410,9,12,16,0,6,6,0,12,14,0,16,15,3,46,50,9,13,20,36,8,41,19,14,34,16,13,25,17,7,30,9,4,17,19,5,21,37,11,42,30,0,27,12,0,11,5,0,0,22,0,21,33,0,33,8,11,19,281,175,454
LGA54480,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,5,5,5,3,14,4,6,11,5,14,20,3,13,18,6,6,6,12,0,14,17,3,23,13,0,14,10,4,15,4,0,4,10,6,11,19,0,16,0,3,7,111,63,178
LGA54550,6,11,14,3,3,9,0,14,12,0,12,12,10,39,47,9,22,32,31,29,56,27,26,51,27,37,58,36,19,57,22,13,33,27,13,43,74,20,88,33,0,41,29,3,32,19,0,14,58,9,65,49,6,57,5,21,28,467,287,755
LGA54620,0,0,3,0,4,5,0,6,13,0,10,10,4,17,20,8,6,9,15,10,32,8,21,25,7,18,31,19,10,30,8,7,17,10,11,16,22,6,27,18,4,20,14,0,19,8,0,8,15,8,23,33,0,36,4,10,15,202,154,347
LGA54690,3,0,3,0,0,0,0,3,7,0,4,4,3,6,9,0,9,6,14,4,16,9,0,10,3,7,7,11,9,18,3,6,12,3,5,4,8,12,16,9,0,9,3,0,7,0,0,0,11,0,11,10,0,10,4,3,5,94,71,163
LGA54760,5,3,9,3,0,3,0,0,3,0,5,5,3,14,19,7,8,14,5,3,8,4,3,10,8,7,17,7,8,17,4,6,9,15,4,12,26,4,33,14,0,16,17,3,21,12,0,12,21,0,28,32,0,32,4,9,12,197,80,273
LGA54830,81,113,194,28,48,73,44,136,184,82,268,344,169,581,753,276,346,619,579,215,801,564,354,914,655,434,1084,790,357,1151,740,335,1076,764,225,990,1597,361,1958,1238,47,1286,956,71,1030,572,21,586,964,68,1033,1330,111,1445,107,157,261,11540,4250,15786
LGA54900,8,0,11,0,0,0,0,0,0,0,6,6,0,20,24,0,13,10,16,14,23,13,25,38,17,15,35,26,20,43,23,16,42,27,10,36,44,17,61,32,0,35,24,5,27,12,0,12,34,7,42,42,4,48,5,18,22,320,185,508
LGA54970,0,3,3,0,0,0,0,8,12,6,11,9,10,14,21,3,4,8,17,7,24,12,6,16,9,8,17,3,8,19,6,10,19,6,14,22,3,22,29,10,0,10,4,4,14,5,0,5,7,8,17,12,0,12,0,8,12,115,146,258
LGA55040,0,6,7,0,0,0,0,9,8,3,9,10,0,15,13,3,10,7,12,10,25,3,13,18,10,15,29,10,20,28,13,25,35,3,16,25,31,40,66,20,3,24,23,8,29,12,0,12,29,27,53,34,8,35,3,41,50,209,285,492
LGA55110,318,411,731,127,131,256,131,425,556,172,849,1016,519,2233,2754,701,1471,2173,2172,816,2985,1789,837,2630,1806,806,2616,1821,524,2345,1114,490,1605,1210,374,1583,2530,696,3229,1819,67,1886,1596,169,1765,941,32,974,2466,237,2706,3046,153,3194,330,476,804,24619,11191,35809
LGA55180,27,31,55,15,20,40,18,73,89,7,94,111,64,234,300,55,151,203,195,97,289,164,136,301,196,127,319,191,71,266,133,66,195,158,50,202,293,60,349,203,9,212,147,18,160,64,9,69,115,35,152,247,10,258,38,64,105,2322,1349,3675
LGA55250,7,9,10,0,4,7,5,5,10,7,11,15,6,15,21,6,10,9,14,20,29,7,11,16,12,23,36,9,20,26,9,7,20,11,18,30,18,29,53,7,0,7,9,8,17,3,6,7,4,14,20,26,0,26,11,29,45,170,236,402
LGA55320,295,378,673,174,164,332,139,359,496,112,629,748,418,1544,1963,366,1108,1474,1093,723,1812,1074,794,1871,1392,821,2220,1543,678,2226,1100,664,1766,1233,508,1739,2782,955,3740,2340,110,2455,2430,266,2691,1691,51,1738,7571,469,8041,2185,198,2382,203,289,499,28152,10707,38853
LGA55390,0,0,3,0,0,0,0,0,0,0,4,4,0,11,14,5,0,3,5,5,9,0,8,8,3,0,7,9,10,17,0,5,6,0,6,7,0,10,10,0,0,6,0,0,6,0,0,0,0,4,8,9,0,9,0,18,21,35,95,130
LGA55460,4,8,15,0,4,5,4,17,22,6,27,38,11,80,90,15,41,61,58,31,89,40,41,78,57,33,94,58,42,100,38,24,64,44,29,78,106,36,143,67,0,64,56,0,54,32,0,30,59,14,73,79,5,82,16,17,37,759,467,1225
LGA55530,0,4,4,0,0,0,0,0,0,0,3,3,0,14,14,0,0,8,6,6,10,8,3,6,8,12,21,6,5,9,8,3,5,10,6,9,17,9,25,4,0,6,9,6,13,0,0,4,10,12,22,13,0,13,4,28,30,101,114,210
LGA55600,10,10,22,0,0,3,6,7,17,0,15,15,20,48,66,12,19,41,41,28,64,29,29,55,33,29,64,41,13,57,26,23,50,29,22,45,64,26,89,60,0,60,45,11,57,21,0,22,43,8,48,69,3,72,6,25,34,545,327,873
LGA55670,0,3,0,0,0,0,3,3,7,0,4,4,0,14,17,0,7,8,10,8,12,11,10,18,10,8,11,14,12,27,14,8,15,6,9,16,21,8,26,6,0,7,8,0,10,8,0,8,12,3,12,13,0,13,5,16,25,134,117,251
LGA55740,27,47,74,15,18,36,8,64,66,11,87,101,29,176,201,31,122,151,40,88,136,67,99,170,86,104,194,88,95,182,76,71,149,87,39,126,154,112,263,125,14,144,164,25,193,88,4,90,942,80,1024,209,20,225,15,36,43,2247,1316,3567
LGA55810,4,4,9,0,3,3,0,0,4,0,4,3,3,10,14,3,8,8,8,15,20,3,5,9,4,12,18,6,7,18,0,3,6,3,12,13,9,16,25,7,0,7,0,9,12,0,0,0,3,13,20,6,3,12,0,27,25,71,143,216
LGA55880,0,9,7,0,4,3,0,0,0,0,7,5,0,12,15,6,0,5,11,5,6,3,5,9,0,8,14,12,9,19,3,3,10,9,0,13,8,9,19,11,0,11,6,3,11,0,0,5,15,0,14,20,0,20,0,0,3,115,74,186
LGA55950,6,0,6,0,0,0,0,0,5,6,3,5,4,17,17,8,9,7,4,4,10,4,9,16,11,9,18,7,11,15,11,3,13,7,3,16,19,5,26,12,0,13,8,0,8,9,0,10,7,7,17,17,0,17,6,3,5,148,84,238
LGA56090,75,120,193,30,38,72,63,118,184,33,211,245,151,574,721,164,315,476,527,209,739,459,234,689,592,250,845,640,203,848,417,189,605,562,132,695,1161,216,1376,988,26,1006,919,63,982,590,4,588,1729,78,1807,1273,56,1333,105,116,217,10489,3144,13631
LGA56160,0,0,0,0,0,0,0,3,3,0,3,4,0,0,0,0,0,0,0,3,5,0,4,4,0,0,3,0,5,10,3,3,6,0,4,8,5,9,11,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,9,4,28,45,71
LGA56230,58,60,118,22,30,53,23,68,98,35,147,189,105,370,481,119,239,358,451,127,579,293,141,437,330,123,451,323,80,400,217,77,298,237,55,294,492,126,615,405,13,417,327,34,370,179,7,189,495,54,549,690,33,728,77,92,169,4878,1894,6772
LGA56300,5,6,14,4,5,7,5,14,21,0,19,23,11,36,44,14,20,31,50,19,70,30,28,59,35,20,51,46,8,57,21,9,31,26,4,36,38,15,56,28,0,32,10,0,16,7,5,10,24,4,28,38,3,43,6,18,25,403,250,648
LGA56370,5,3,5,4,0,4,0,0,0,0,8,8,0,10,10,3,3,11,14,3,19,11,8,18,13,11,23,24,7,32,11,13,18,13,5,19,25,6,39,15,0,15,13,7,18,9,0,9,14,3,21,23,0,23,0,9,4,189,102,290
LGA56460,9,24,31,3,11,18,0,36,42,8,47,62,22,125,148,25,77,97,64,51,116,63,69,132,102,65,168,101,45,141,65,38,101,63,30,90,156,46,203,89,4,95,78,15,93,50,6,51,88,19,109,120,11,130,20,31,56,1143,746,1882
LGA56580,62,71,130,20,35,57,22,47,63,18,90,112,44,196,243,36,171,203,105,109,217,138,130,273,182,110,293,205,106,312,160,92,257,200,73,280,423,167,590,321,17,337,322,63,386,276,16,289,2816,202,3022,473,57,526,33,44,78,5865,1793,7656
