LGA_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
LGA51190,4,9,14,183,35,223,0,0,0,0,0,0,19,27,45,5151,4960,10112,448,485,936,47,5,56,35,4,34,95,35,131,88,33,125,153,182,331,6240,5771,12008,0,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,6,4,4,0,0,0,0,0,0,71,20,89,9,9,12,10,0,13,81,30,117,80,35,115,165,71,237,0,0,0,6,0,6,4,0,8,11,3,16,212,374,584,740,926,1662,54,21,77,7422,7162,14588
LGA51260,9,3,6,85,23,112,0,0,0,0,0,0,17,10,31,5843,6027,11871,426,471,894,90,0,91,18,0,18,148,55,200,165,44,208,208,198,409,6997,6836,13833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,12,10,17,4,3,8,8,0,10,25,11,32,83,22,105,103,38,147,0,0,0,10,0,10,3,0,10,12,3,20,710,1063,1769,1346,1496,2847,51,65,114,9223,9503,18727
LGA51310,160,139,305,431,325,752,0,0,0,0,0,0,40,30,70,4320,3906,8229,237,343,584,22,0,24,40,4,41,290,100,389,67,19,83,176,173,351,5782,5043,10824,40,52,92,0,0,0,0,0,0,27,15,41,7,3,18,11,4,16,87,81,159,0,0,0,0,0,0,22,17,41,13,18,24,7,7,15,43,43,83,38,33,69,167,152,323,16,22,33,7,0,14,5,0,5,24,21,52,913,1014,1930,599,988,1583,21,12,32,7513,7230,14743
LGA51330,496,550,1046,576,730,1307,0,0,3,0,0,4,107,104,211,17111,13358,30474,717,1364,2079,166,4,175,99,9,111,203,63,260,322,67,386,176,201,377,19990,16448,36435,660,574,1229,0,0,0,0,0,0,217,176,388,38,53,93,22,8,34,943,809,1750,0,0,0,0,0,0,44,45,85,29,89,120,28,27,51,100,158,254,167,120,285,1209,1081,2289,205,178,384,19,18,45,10,4,18,237,207,447,1459,1627,3094,2055,2712,4766,116,86,199,25062,22162,47222
LGA51400,0,3,3,65,17,92,0,0,0,0,0,0,8,5,10,3025,3034,6059,206,239,444,61,3,62,12,3,19,18,12,28,65,14,81,48,43,92,3520,3366,6888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,29,15,51,4,5,9,3,0,4,37,20,60,45,26,71,85,44,126,0,0,3,10,0,14,0,0,0,6,5,9,195,301,499,538,630,1163,26,15,41,4372,4356,8729
LGA51470,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,97,72,164,3,3,9,5,0,5,0,0,0,4,0,7,3,0,3,18,12,30,134,87,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,28,11,8,19,0,0,0,156,114,275
LGA51540,3,0,6,64,12,69,0,0,0,0,0,0,0,0,3,691,661,1356,54,95,154,24,4,34,14,0,12,25,23,45,31,6,37,128,175,303,1031,982,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,15,8,21,14,8,26,0,0,0,0,0,0,3,0,6,3,0,6,146,123,264,407,389,795,14,20,39,1614,1522,3137
LGA51610,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,240,225,466,9,13,24,5,0,5,0,0,0,0,0,0,9,4,20,18,9,28,293,252,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,42,82,48,52,97,0,0,0,373,345,720
LGA51680,0,0,0,11,0,8,0,0,0,0,0,0,0,0,0,917,853,1771,46,54,96,40,0,42,10,0,5,0,0,3,37,11,50,33,25,63,1083,952,2038,0,0,0,0,0,0,0,0,0,6,6,17,0,5,5,0,0,0,6,8,17,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,9,9,14,20,18,35,0,0,0,0,0,0,0,0,0,6,0,4,130,188,321,194,160,351,16,7,22,1444,1330,2768
LGA51710,0,0,0,31,43,79,0,0,0,0,0,0,0,0,0,348,224,572,22,40,64,3,0,3,10,3,15,3,0,4,8,8,8,13,14,26,444,334,782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,5,0,5,6,0,5,7,5,10,0,0,0,0,0,0,0,0,0,0,0,0,9,14,27,32,43,75,7,6,8,508,400,904
LGA51750,183,121,308,101,102,201,0,0,0,0,0,0,6,10,16,1417,1371,2791,85,127,209,9,0,9,21,4,24,93,27,122,13,10,29,88,74,163,2009,1857,3859,24,26,48,0,0,0,0,0,0,6,9,15,0,11,7,0,0,5,33,40,72,0,0,0,0,0,0,0,4,4,0,3,3,0,0,4,0,8,11,18,12,32,49,63,112,3,0,8,0,0,0,0,0,4,5,3,9,343,348,694,217,324,537,14,10,20,2630,2604,5238
LGA51820,874,815,1682,334,337,673,12,3,21,3,0,3,101,74,174,21325,19132,40459,1113,1460,2568,280,7,284,134,15,150,179,67,242,460,125,582,230,278,509,25043,22302,47340,430,428,861,0,0,0,0,0,0,382,345,721,49,79,127,38,11,45,891,862,1758,0,0,5,3,0,3,37,37,68,31,30,63,19,20,39,90,90,178,222,147,372,1202,1095,2298,164,171,339,8,10,21,13,0,14,186,189,370,1750,2541,4289,2958,4055,7013,117,74,193,31253,30261,61511
LGA51860,0,0,0,0,3,4,16,12,19,0,0,0,0,0,0,45,18,60,0,9,9,0,0,0,19,5,26,11,3,16,4,5,7,15,19,38,103,77,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,28,0,0,0,0,0,0,0,0,0,0,0,0,9,20,28,13,3,15,24,23,49,0,0,0,4,9,13,0,0,0,6,9,15,8,4,12,20,14,39,3,0,3,162,126,288
LGA51890,0,0,0,55,16,67,0,0,0,0,0,0,0,6,6,1194,1099,2296,121,94,219,19,0,19,0,0,4,7,4,8,19,8,27,37,36,68,1460,1254,2716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,16,0,0,0,0,0,0,8,8,17,17,6,21,26,11,33,0,0,0,0,0,0,0,0,0,3,0,3,36,70,107,282,244,524,15,7,25,1817,1584,3402
LGA51960,0,0,0,139,33,166,0,0,0,0,0,0,5,0,5,598,395,991,128,36,173,18,5,21,0,0,6,3,0,3,77,8,84,35,50,85,999,528,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,15,0,0,0,7,4,8,15,7,24,28,4,34,50,14,62,0,0,0,10,0,15,0,0,0,13,0,18,11,11,21,99,64,161,5,6,17,1181,617,1802
LGA52030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,81,205,5,12,15,11,0,11,0,0,0,0,0,0,8,6,8,21,19,35,167,114,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,34,42,72,22,29,51,6,0,0,235,181,414
LGA52100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,138,307,3,7,10,9,0,9,0,0,0,3,0,9,5,0,9,20,27,47,211,175,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,56,39,91,9,14,25,0,4,6,279,232,512
LGA52170,132,105,237,36,31,71,0,0,0,0,0,0,0,3,3,1238,1010,2251,47,89,130,5,0,5,14,0,14,64,19,83,11,3,14,39,37,84,1582,1304,2887,13,4,16,0,0,0,0,0,0,4,12,13,0,0,0,8,0,8,24,19,41,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,4,5,8,5,18,37,24,59,6,0,8,0,0,0,0,0,0,8,0,13,296,333,622,152,243,392,15,8,22,2076,1925,4000
LGA52240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,105,272,3,17,21,8,0,9,0,0,0,0,0,0,11,0,11,15,23,40,207,144,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,43,94,21,22,40,4,3,13,282,215,494
LGA52310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,124,250,0,4,5,4,0,4,0,0,0,0,0,0,6,0,10,15,6,24,148,143,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,52,14,25,40,8,0,8,206,189,395
LGA52380,0,0,0,63,4,70,0,0,0,0,0,0,0,0,0,86,17,107,41,5,50,7,0,7,0,0,0,0,0,0,40,5,49,16,14,31,262,48,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,12,8,3,12,0,0,0,0,0,0,0,0,3,0,0,3,0,5,5,12,15,30,3,0,4,289,72,361
LGA52450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215,148,368,11,14,23,10,0,10,0,0,0,0,0,0,7,0,12,23,6,26,271,176,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,4,0,4,4,0,4,37,35,72,23,36,64,3,4,4,339,248,589
LGA52520,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,260,161,421,17,15,28,7,0,7,0,0,0,7,0,7,10,0,14,46,28,73,344,209,553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,13,11,3,13,0,0,0,0,0,0,0,0,0,0,0,0,28,40,64,21,27,46,4,0,7,402,278,676
LGA52590,0,5,5,16,9,22,0,0,0,0,0,0,0,0,0,501,411,916,52,39,90,23,3,23,0,6,4,11,4,18,29,12,44,53,35,92,687,516,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,5,0,3,16,3,17,19,3,22,0,0,0,3,0,3,0,0,5,5,0,5,91,121,215,125,119,246,13,9,17,937,772,1707
LGA52660,0,0,0,64,13,80,0,0,0,0,0,0,3,5,10,2474,2284,4758,200,152,352,44,0,46,15,3,20,15,0,18,37,8,40,44,38,77,2900,2500,5403,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,37,10,48,3,0,3,4,0,4,41,10,50,38,21,59,85,25,116,0,0,0,11,0,11,0,0,0,11,0,11,117,198,316,426,500,928,11,13,29,3551,3239,6793
LGA52730,0,0,0,10,4,9,0,0,0,0,0,0,0,0,0,709,735,1451,45,58,102,12,0,17,3,0,7,13,11,22,18,5,30,67,62,135,882,877,1761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,3,0,3,8,0,11,9,4,14,0,0,0,0,0,0,0,0,0,3,0,3,212,215,423,173,207,377,16,15,35,1285,1319,2611
LGA52800,6,0,6,65,36,104,0,0,0,0,0,0,0,0,0,610,528,1145,107,98,205,15,3,19,4,0,4,12,13,24,82,37,116,246,327,568,1148,1041,2193,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,3,19,7,26,29,9,40,0,0,0,0,0,0,0,0,3,3,0,3,58,64,121,246,252,500,24,22,53,1506,1397,2899
LGA52870,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,849,771,1620,72,62,138,18,5,21,4,0,4,3,0,8,32,0,33,57,49,108,1052,887,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,5,17,6,21,20,6,32,0,0,0,0,0,0,0,0,0,3,0,3,145,164,309,187,191,384,12,15,30,1423,1276,2696
LGA52940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,77,176,7,0,10,8,0,9,0,0,0,0,0,0,6,4,11,19,13,24,139,95,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,25,26,52,12,19,30,4,0,3,182,139,325
LGA53010,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,97,66,158,0,3,9,4,0,4,4,0,4,4,0,4,6,0,6,19,13,28,125,83,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,33,78,3,17,21,0,0,0,177,140,311
