LGA_CODE_2021,F_Inad_desc_Ns_15_19,F_Inad_desc_Ns_20_24,F_Inad_desc_Ns_25_34,F_Inad_desc_Ns_35_44,F_Inad_desc_Ns_45_54,F_Inad_desc_Ns_55_64,F_Inad_desc_Ns_65_74,F_Inad_desc_Ns_75_84,F_Inad_desc_Ns_85_yr_over,F_Inad_desc_Ns_Tot,F_Tot_15_19_yr,F_Tot_20_24_yr,F_Tot_25_34_yr,F_Tot_35_44_yr,F_Tot_45_54_yr,F_Tot_55_64_yr,F_Tot_65_74_yr,F_Tot_75_84_yr,F_Tot_85_yr_over,F_Tot_Tot,P_Agr_fstry_fsh_15_19,P_Agr_fstry_fsh_20_24,P_Agr_fstry_fsh_25_34,P_Agr_fstry_fsh_35_44,P_Agr_fstry_fsh_45_54,P_Agr_fstry_fsh_55_64,P_Agr_fstry_fsh_65_74,P_Agr_fstry_fsh_75_84,P_Agr_fstry_fsh_85_yr_over,P_Agr_fstry_fsh_Tot,P_Min_15_19_yr,P_Min_20_24_yr,P_Min_25_34_yr,P_Min_35_44_yr,P_Min_45_54_yr,P_Min_55_64_yr,P_Min_65_74_yr,P_Min_75_84_yr,P_Min_85_yr_over,P_Min_Tot,P_Manf_15_19_yr,P_Manf_20_24_yr,P_Manf_25_34_yr,P_Manf_35_44_yr,P_Manf_45_54_yr,P_Manf_55_64_yr,P_Manf_65_74_yr,P_Manf_75_84_yr,P_Manf_85_yr_over,P_Manf_Tot,P_Elec_gas_wtr_wst_sv_15_19,P_Elec_gas_wtr_wst_sv_20_24,P_Elec_gas_wtr_wst_sv_25_34,P_Elec_gas_wtr_wst_sv_35_44,P_Elec_gas_wtr_wst_sv_45_54,P_Elec_gas_wtr_wst_sv_55_64,P_Elec_gas_wtr_wst_sv_65_74,P_Elec_gas_wtr_wst_sv_75_84,P_Elec_gas_wtr_wst_sv_85_ov,P_Elec_gas_wtr_wst_sv_Tot,P_Con_15_19_yr,P_Con_20_24_yr,P_Con_25_34_yr,P_Con_35_44_yr,P_Con_45_54_yr,P_Con_55_64_yr,P_Con_65_74_yr,P_Con_75_84_yr,P_Con_85_yr_over,P_Con_Tot,P_Whl_trd_15_19_yr,P_Whl_trd_20_24_yr,P_Whl_trd_25_34_yr,P_Whl_trd_35_44_yr,P_Whl_trd_45_54_yr,P_Whl_trd_55_64_yr,P_Whl_trd_65_74_yr,P_Whl_trd_75_84_yr,P_Whl_trd_85_yr_over,P_Whl_trd_Tot,P_Re_trd_15_19_yr,P_Re_trd_20_24_yr,P_Re_trd_25_34_yr,P_Re_trd_35_44_yr,P_Re_trd_45_54_yr,P_Re_trd_55_64_yr,P_Re_trd_65_74_yr,P_Re_trd_75_84_yr,P_Re_trd_85_yr_over,P_Re_trd_Tot,P_Acc_food_svc_15_19,P_Acc_food_svc_20_24,P_Acc_food_svc_25_34,P_Acc_food_svc_35_44,P_Acc_food_svc_45_54,P_Acc_food_svc_55_64,P_Acc_food_svc_65_74,P_Acc_food_svc_75_84,P_Acc_food_svc_85_yr_over,P_Acc_food_svc_Tot,P_Trp_pos_wh_15_19,P_Trp_pos_wh_20_24,P_Trp_pos_wh_25_34,P_Trp_pos_wh_35_44,P_Trp_pos_wh_45_54,P_Trp_pos_wh_55_64,P_Trp_pos_wh_65_74,P_Trp_pos_wh_75_84,P_Trp_pos_wh_85_yr_over,P_Trp_pos_wh_Tot,P_In_med_tcom_15_19,P_In_med_tcom_20_24,P_In_med_tcom_25_34,P_In_med_tcom_35_44,P_In_med_tcom_45_54,P_In_med_tcom_55_64,P_In_med_tcom_65_74,P_In_med_tcom_75_84,P_In_med_tcom_85_yr_over,P_In_med_tcom_Tot,P_Fin_in_svc_15_19,P_Fin_in_svc_20_24,P_Fin_in_svc_25_34,P_Fin_in_svc_35_44,P_Fin_in_svc_45_54,P_Fin_in_svc_55_64,P_Fin_in_svc_65_74,P_Fin_in_svc_75_84,P_Fin_in_svc_85_yr_over,P_Fin_in_svc_Tot,P_Rnt_hrg_rea_est_serv_15_19,P_Rnt_hrg_rea_est_serv_20_24,P_Rnt_hrg_rea_est_serv_25_34,P_Rnt_hrg_rea_est_serv_35_44,P_Rnt_hrg_rea_est_serv_45_54,P_Rnt_hrg_rea_est_serv_55_64,P_Rnt_hrg_rea_est_serv_65_74,P_Rnt_hrg_rea_est_serv_75_84,P_Rnt_hrg_rea_est_serv_85_ov,P_Rnt_hrg_rea_est_serv_Tot,P_Prof_sc_tech_serv_15_19,P_Prof_sc_tech_serv_20_24,P_Prof_sc_tech_serv_25_34,P_Prof_sc_tech_serv_35_44,P_Prof_sc_tech_serv_45_54,P_Prof_sc_tech_serv_55_64,P_Prof_sc_tech_serv_65_74,P_Prof_sc_tech_serv_75_84,P_Prof_sc_tech_serv_85_over,P_Prof_sc_tech_serv_Tot,P_Adm_sup_serv_15_19,P_Adm_sup_serv_20_24,P_Adm_sup_serv_25_34,P_Adm_sup_serv_35_44,P_Adm_sup_serv_45_54,P_Adm_sup_serv_55_64,P_Adm_sup_serv_65_74,P_Adm_sup_serv_75_84,P_Adm_sup_serv_85_over,P_Adm_sup_serv_Tot,P_PubAd_saf_15_19,P_PubAd_saf_20_24,P_PubAd_saf_25_34,P_PubAd_saf_35_44,P_PubAd_saf_45_54,P_PubAd_saf_55_64,P_PubAd_saf_65_74,P_PubAd_saf_75_84,P_PubAd_saf_85_yr_over,P_PubAd_saf_Tot,P_Ed_trng_15_19,P_Ed_trng_20_24,P_Ed_trng_25_34,P_Ed_trng_35_44,P_Ed_trng_45_54,P_Ed_trng_55_64,P_Ed_trng_65_74,P_Ed_trng_75_84,P_Ed_trng_85_yr_over,P_Ed_trng_Tot,P_Hlth_cre_socia_assist_15_19,P_Hlth_cre_socia_assist_20_24,P_Hlth_cre_socia_assist_25_34,P_Hlth_cre_socia_assist_35_44,P_Hlth_cre_socia_assist_45_54,P_Hlth_cre_socia_assist_55_64,P_Hlth_cre_socia_assist_65_74,P_Hlth_cre_socia_assist_75_84,P_Hlth_cre_socia_assist_85_ov,P_Hlth_cre_socia_assist_Tot,P_Arts_rec_svc_15_19,P_Arts_rec_svc_20_24,P_Arts_rec_svc_25_34,P_Arts_rec_svc_35_44,P_Arts_rec_svc_45_54,P_Arts_rec_svc_55_64,P_Arts_rec_svc_65_74,P_Arts_rec_svc_75_84,P_Arts_rec_svc_85_yr_over,P_Arts_rec_svc_Tot
LGA50840,3,0,0,7,0,8,6,0,0,29,65,45,136,200,265,275,80,15,0,1086,5,8,23,24,41,47,48,22,3,220,4,25,70,101,84,88,11,0,0,386,8,13,17,6,28,21,6,0,0,95,0,0,5,17,12,13,0,0,0,47,8,15,33,22,39,54,15,0,0,183,5,0,4,3,5,13,8,0,0,37,18,14,28,28,37,38,10,0,0,173,33,13,20,13,25,31,11,0,0,146,0,0,0,5,15,18,4,0,0,52,0,0,0,0,3,3,0,0,0,6,0,0,0,5,3,7,0,0,0,21,0,0,4,5,9,9,4,0,0,25,0,0,10,22,16,15,10,4,0,81,5,3,13,13,10,16,8,4,0,66,0,0,18,24,38,22,4,0,0,104,3,6,15,46,63,56,16,0,0,200,5,9,21,51,75,84,26,3,0,282,0,0,0,3,3,6,5,0,0,22
LGA50910,0,0,5,0,0,0,0,0,0,7,4,9,30,32,44,36,16,0,0,172,3,9,15,32,38,35,17,3,0,151,0,0,0,3,3,0,0,0,0,6,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,0,0,0,15,0,0,3,5,5,0,0,0,0,12,0,0,4,4,5,5,5,0,0,25,3,0,5,5,0,0,6,0,0,12,0,0,0,3,5,6,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,10,0,0,0,0,0,0,5,0,0,7,0,0,0,0,12,9,0,0,0,22,0,0,7,10,11,12,5,0,0,39,0,6,5,11,4,6,3,0,0,41,0,0,0,0,0,0,0,0,0,0
LGA50980,8,16,43,54,30,21,6,8,0,192,234,345,1293,1273,1055,976,289,31,0,5493,12,63,92,53,56,96,85,13,0,471,3,10,87,95,71,51,21,0,0,339,7,16,32,43,44,46,17,5,0,207,0,0,19,47,40,22,3,0,0,137,18,42,151,188,188,149,68,4,0,801,8,4,25,22,27,36,13,3,0,139,126,61,127,129,140,176,62,8,0,832,100,82,310,139,112,105,48,9,0,903,13,34,145,147,128,122,39,5,0,631,7,5,19,27,26,14,9,0,0,93,0,3,29,36,40,30,10,4,0,163,0,14,30,34,34,36,23,13,0,178,10,14,77,98,93,86,35,10,0,417,19,19,62,73,80,68,27,0,0,353,4,23,171,236,213,164,28,0,0,849,18,49,241,324,260,224,50,0,0,1164,31,101,457,428,348,329,77,4,0,1780,10,10,45,37,39,31,23,4,0,212
LGA51080,0,0,4,3,0,0,0,0,0,10,3,12,38,47,40,50,14,4,0,201,8,11,40,47,49,56,24,6,0,240,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,4,4,3,3,6,6,0,0,27,0,5,4,0,0,3,0,0,0,9,0,0,0,3,3,5,0,0,0,15,0,0,0,0,3,0,0,5,0,6,0,0,0,3,3,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,9,4,7,5,4,0,0,30,0,7,9,11,3,15,0,0,0,36,0,0,3,10,5,7,3,0,0,39,0,0,0,0,0,0,0,0,0,0
LGA51120,0,0,0,0,0,0,0,0,0,9,0,13,30,36,43,36,11,6,0,168,0,8,23,22,34,25,16,5,0,135,0,0,0,3,0,5,0,0,0,5,0,0,5,0,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,5,4,10,12,6,7,0,0,0,41,0,0,0,4,4,3,4,0,0,10,0,6,0,0,5,7,0,0,0,14,0,0,4,4,4,3,0,0,0,17,0,0,0,6,0,5,4,0,0,20,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,3,6,9,8,0,0,0,31,0,0,6,10,8,5,0,0,0,35,0,8,5,6,5,5,0,0,0,31,0,0,0,0,0,0,0,0,0,0
LGA51190,12,21,36,39,37,31,13,0,0,193,476,635,1360,1385,1634,1317,336,22,3,7162,7,21,41,25,24,29,23,3,0,187,7,62,155,177,206,131,27,0,0,766,50,117,257,303,270,194,44,4,0,1248,3,19,49,51,60,78,8,0,0,261,61,158,327,363,314,295,76,7,0,1599,9,25,41,54,81,48,23,3,0,276,215,182,302,255,259,231,61,8,0,1504,344,134,205,168,144,84,26,0,0,1099,15,39,84,87,125,167,59,9,0,589,19,16,32,19,18,12,4,0,0,121,3,11,41,44,56,35,10,0,0,207,4,11,38,40,47,44,20,4,4,202,4,20,112,129,103,94,49,4,0,523,6,31,64,89,102,90,32,0,0,425,13,41,139,126,190,155,37,6,0,705,20,49,180,229,362,300,79,6,0,1232,53,193,521,457,520,484,130,10,0,2357,15,20,31,16,28,19,9,0,0,145
LGA51260,24,25,36,64,68,47,21,9,0,301,691,530,1463,2157,2343,1764,491,51,5,9503,33,47,96,129,138,173,111,34,9,759,9,30,173,297,298,141,22,0,0,979,64,68,188,271,228,191,68,10,0,1091,0,0,22,45,54,44,8,0,0,174,103,169,401,495,482,335,99,4,0,2091,8,8,41,57,79,61,24,0,0,280,344,174,283,320,377,371,113,12,0,1986,540,210,364,416,311,251,84,10,0,2187,19,19,52,76,140,136,77,5,0,514,13,6,9,21,25,13,4,0,0,97,0,5,41,68,88,68,22,0,0,292,5,24,49,66,88,60,39,6,0,336,6,20,116,192,245,168,81,14,0,833,28,45,130,186,210,155,48,7,0,806,16,15,95,165,218,154,44,0,0,711,36,36,187,391,459,325,77,6,0,1520,38,103,398,564,614,581,127,8,0,2437,42,15,47,49,46,38,12,0,0,251
LGA51310,12,16,38,45,58,41,17,5,0,230,446,593,1186,1600,1813,1195,330,50,4,7230,0,0,7,7,12,15,8,9,0,60,0,25,155,356,342,153,28,0,0,1058,39,29,60,81,75,70,33,9,0,394,0,4,17,50,31,26,4,0,0,129,23,58,146,187,206,162,58,5,0,849,12,18,33,85,72,68,6,3,0,298,234,186,117,125,146,99,55,5,0,963,276,142,138,75,76,36,13,4,0,767,14,24,46,63,75,45,21,5,0,293,6,23,36,38,44,32,0,0,0,174,7,32,117,141,191,118,21,6,6,633,0,18,46,60,85,64,30,10,4,316,13,144,379,581,617,391,105,26,3,2260,21,22,52,76,69,58,17,0,0,328,8,25,115,168,208,150,40,4,0,721,66,93,204,256,423,343,113,18,0,1512,48,169,466,585,726,523,164,15,5,2705,71,49,48,52,65,39,12,6,0,339
LGA51330,51,120,257,223,155,100,28,9,0,938,1283,2536,5050,5097,4275,3086,769,70,4,22162,4,15,59,57,41,28,22,4,0,224,14,108,467,637,456,260,45,4,0,1985,82,174,503,547,542,430,116,5,0,2397,12,31,91,162,109,86,16,0,0,508,78,286,765,782,610,424,133,10,0,3090,32,102,284,335,277,213,69,3,4,1319,585,924,1029,659,530,433,126,9,0,4296,909,915,973,566,307,270,66,4,0,4013,46,286,804,560,524,439,120,14,0,2790,21,61,103,103,75,37,11,0,0,407,5,45,229,315,206,150,54,13,0,1025,9,44,117,125,133,100,36,6,0,569,40,338,995,1136,783,423,148,15,0,3874,37,215,489,403,295,197,57,9,0,1703,34,198,520,664,618,515,124,9,0,2695,133,334,736,931,1048,809,225,23,0,4247,97,665,1669,1710,1527,990,266,11,0,6942,112,163,192,154,82,96,35,0,0,837
LGA51400,8,5,14,32,19,21,0,0,0,114,379,308,694,1008,1110,706,137,11,0,4356,28,20,49,47,69,72,48,14,0,337,10,30,95,151,168,109,22,0,0,576,34,64,116,145,186,103,17,0,0,657,4,16,23,39,45,29,5,0,0,155,44,98,194,197,215,142,31,0,0,928,13,11,30,33,28,21,3,5,0,148,163,83,142,152,148,92,19,4,0,808,251,50,43,60,52,29,10,0,0,493,4,17,40,66,95,94,25,4,0,340,7,4,11,11,3,3,0,0,0,40,0,8,18,21,30,21,3,0,0,96,3,6,13,20,6,24,3,0,0,80,9,21,49,69,77,38,23,0,0,286,10,14,41,58,67,44,11,0,0,241,3,30,57,127,145,83,7,0,0,454,21,15,96,196,275,175,43,0,0,816,34,92,243,358,360,283,49,0,0,1426,26,13,24,17,19,18,6,0,0,130
LGA51470,0,0,0,0,0,0,0,0,0,5,4,14,20,21,19,31,9,0,0,114,0,4,11,11,11,21,7,4,0,64,0,0,5,9,5,5,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,7,4,0,5,0,0,25,0,3,6,0,0,6,4,0,0,10,0,3,8,0,0,3,4,0,0,17,0,0,0,7,0,3,0,0,0,13,0,0,0,0,5,4,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,3,9,7,3,4,0,0,27,0,0,6,7,7,8,0,0,0,26,0,0,5,4,3,7,5,0,0,16,0,0,0,0,0,0,0,0,0,0
LGA51540,0,4,7,14,10,8,9,0,0,55,56,111,287,301,301,355,106,10,0,1522,15,17,63,76,106,112,76,11,0,476,6,6,37,36,41,37,15,0,0,179,4,3,14,15,11,18,11,0,0,69,0,0,16,6,14,9,3,0,0,53,13,17,41,45,52,59,21,0,0,246,0,4,4,6,5,8,4,0,0,34,28,25,33,43,44,60,11,0,0,255,6,30,49,41,33,51,9,0,0,231,0,6,27,23,29,51,11,0,0,160,0,0,4,0,0,5,0,0,0,12,0,0,8,10,9,5,0,0,0,30,3,4,3,5,0,4,0,0,0,23,0,3,17,21,20,16,12,0,0,96,0,6,43,20,33,28,3,0,0,135,7,12,50,66,53,57,13,0,0,263,3,9,42,53,61,53,13,0,0,238,9,18,74,63,71,105,26,0,0,369,0,0,7,6,8,11,5,0,0,41
LGA51610,0,0,0,0,4,3,0,0,0,6,23,16,45,67,89,70,24,7,0,345,8,0,14,28,26,34,18,11,0,142,0,4,8,7,13,6,3,0,0,43,4,0,6,9,4,5,4,0,0,23,0,0,0,0,0,0,0,0,0,7,0,4,11,17,10,14,4,0,0,60,0,5,3,0,8,3,0,0,0,18,11,9,9,6,9,7,0,0,0,49,7,3,0,4,3,0,3,0,0,24,3,4,4,6,12,17,4,0,0,46,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,9,0,0,3,5,8,0,4,0,0,28,0,0,0,8,6,4,0,0,0,19,0,0,3,4,8,11,4,0,0,36,0,0,14,21,16,14,5,0,0,75,4,0,13,12,23,18,7,0,0,75,0,0,0,0,0,0,0,0,0,3
LGA51680,5,5,4,9,16,11,3,7,0,56,100,80,177,260,358,287,57,11,0,1330,13,8,33,29,45,54,36,13,5,241,3,8,39,64,78,43,8,0,0,249,12,13,20,28,37,44,9,0,0,168,0,0,0,4,10,18,0,0,0,38,16,25,56,79,84,81,21,0,0,354,5,6,17,16,31,23,3,0,0,95,43,25,17,17,39,39,7,0,0,190,23,10,7,8,13,18,3,0,0,83,0,6,9,15,41,46,8,0,0,132,0,0,4,5,3,0,0,0,0,7,0,0,5,11,11,10,3,0,0,42,0,0,0,8,6,11,0,0,0,27,4,6,18,30,36,25,7,0,0,124,9,6,4,10,21,15,5,0,0,72,4,7,15,33,62,59,3,0,0,179,10,15,22,39,73,57,8,0,0,219,10,16,33,45,74,61,10,0,0,249,10,4,5,8,6,7,0,0,0,39
LGA51710,0,0,0,0,0,3,0,0,0,14,22,16,76,92,103,67,26,0,0,400,0,0,0,0,0,0,0,0,0,7,3,0,11,23,30,21,9,0,0,101,0,0,0,6,4,4,0,0,0,8,0,0,3,7,0,5,6,0,0,22,0,6,20,10,19,14,4,0,0,79,0,0,4,4,0,0,0,0,0,11,0,0,5,3,8,7,0,0,0,26,5,0,4,6,6,5,9,0,0,34,0,4,16,5,9,7,5,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,3,0,0,4,0,0,0,3,4,12,0,0,0,20,4,0,4,14,10,15,3,0,0,52,3,19,74,73,72,40,21,0,0,302,0,0,17,9,17,7,7,0,0,53,0,0,7,12,0,11,8,0,0,39,12,4,5,4,4,4,0,0,0,30
LGA51750,9,12,19,15,16,4,7,11,0,90,166,289,469,475,596,415,151,44,0,2604,6,0,7,7,9,5,4,5,0,48,0,3,74,94,96,53,10,5,0,338,9,9,16,21,32,14,13,3,0,123,0,0,5,11,17,7,0,0,0,41,10,22,51,46,61,50,10,6,0,254,4,10,12,13,30,11,3,3,0,90,86,80,55,39,70,53,27,8,0,410,98,85,45,25,24,18,8,3,0,302,3,12,11,17,34,20,0,0,0,97,0,0,17,10,5,9,6,0,0,50,0,11,31,53,51,38,14,3,0,203,5,7,24,30,40,18,19,5,0,143,9,73,164,171,189,134,63,28,4,820,11,14,20,18,22,20,11,3,0,115,0,8,44,51,56,43,22,4,0,229,34,54,86,102,128,108,40,9,0,571,13,72,194,158,205,174,85,15,0,926,19,20,29,19,26,13,3,0,0,131
LGA51820,61,114,282,261,214,143,46,3,0,1129,1736,2900,7078,7177,6169,4202,920,73,4,30261,12,30,63,102,85,58,36,16,0,393,27,165,861,942,694,365,65,0,0,3122,146,327,858,1041,1059,708,140,14,0,4293,17,31,157,190,164,110,24,3,0,694,172,445,1440,1532,1108,781,178,6,0,5655,47,117,337,440,423,307,69,8,0,1746,853,983,1063,856,819,698,175,17,0,5466,1133,689,672,486,344,207,60,0,0,3586,64,180,589,632,717,592,166,8,0,2956,18,36,101,98,79,44,10,0,0,388,12,51,343,452,308,146,44,3,0,1368,10,61,179,198,168,107,56,3,0,787,35,303,1199,1385,779,408,115,13,0,4238,40,168,387,375,378,316,77,11,0,1757,35,189,857,983,823,601,133,16,0,3636,123,359,1217,1406,1451,948,258,9,0,5776,139,817,2279,2168,1835,1433,311,18,0,9002,150,133,212,219,147,95,27,4,0,979
LGA51860,0,4,0,0,0,0,0,0,0,10,4,20,27,22,23,29,6,0,0,126,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,11,0,4,3,4,4,3,0,0,0,32,0,0,0,0,4,0,0,0,0,6,0,0,5,3,0,0,0,0,0,18,5,0,4,9,3,0,0,0,0,25,0,3,7,3,4,12,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,0,0,0,3,3,0,0,0,0,14,0,5,4,8,11,11,0,0,0,43,0,0,10,4,3,13,0,0,0,29,0,0,4,7,10,6,3,0,0,32,0,0,0,0,0,0,0,0,0,6
LGA51890,4,0,3,15,18,8,0,0,0,48,112,110,276,330,390,288,63,7,0,1584,4,0,3,10,5,15,11,4,4,62,13,47,105,111,151,118,17,0,0,561,7,24,56,68,66,29,5,0,0,248,9,23,34,64,57,46,8,0,0,234,21,22,62,51,56,57,7,0,0,280,0,0,4,12,4,0,3,0,0,26,41,32,43,49,66,67,7,0,0,304,85,33,56,31,24,31,10,0,0,265,0,5,9,20,23,33,15,0,0,100,0,0,0,0,0,0,0,0,0,8,0,6,5,10,4,5,0,0,0,28,0,6,6,4,3,0,0,0,0,15,4,6,17,16,9,11,3,0,0,68,3,7,21,18,20,17,10,3,0,96,3,7,13,24,55,42,13,0,0,160,4,8,41,66,86,57,11,4,0,280,8,18,58,83,78,83,19,5,0,352,0,4,4,7,7,8,3,0,0,29
LGA51960,0,0,8,0,11,8,0,0,0,25,34,53,108,131,162,95,29,0,0,617,0,0,0,0,7,0,0,0,0,7,21,63,244,214,241,152,15,0,0,950,3,11,13,13,16,6,4,0,0,71,0,0,4,0,0,6,0,0,0,14,0,12,12,14,17,20,9,0,0,88,0,4,6,5,5,0,0,0,0,16,19,4,3,18,21,12,7,0,0,95,13,3,11,12,12,10,3,0,0,73,4,0,6,10,8,21,8,0,0,59,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,9,6,0,0,0,0,26,0,9,5,3,5,3,0,0,0,29,0,3,4,4,12,4,4,0,0,33,3,5,18,11,25,24,3,0,0,89,0,3,25,19,21,29,8,0,0,103,0,7,13,9,20,9,8,0,0,63,0,0,0,4,0,0,0,0,0,3
LGA52030,0,0,0,0,0,3,0,0,0,6,0,4,30,31,40,44,29,4,0,181,0,4,25,27,21,40,22,11,0,146,0,5,5,3,6,11,4,0,0,24,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,4,4,3,14,0,0,0,30,0,3,0,3,6,0,0,0,0,11,0,0,8,0,9,4,0,0,0,23,0,0,5,3,5,8,4,0,0,26,0,0,0,0,7,3,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,4,0,4,0,0,8,0,0,3,3,12,5,0,0,0,33,0,0,9,4,7,5,4,0,0,29,0,0,0,3,7,5,0,0,0,11,0,0,0,0,0,0,0,0,0,0
LGA52100,0,0,0,0,0,0,0,0,0,6,9,13,48,46,39,43,26,3,0,232,0,9,26,31,34,41,28,4,0,180,6,0,0,6,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,4,3,6,7,5,3,0,0,28,3,3,12,3,4,4,5,0,0,36,4,6,5,4,6,10,0,0,0,35,4,0,12,0,4,0,0,0,0,26,0,3,9,5,5,7,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,11,0,0,0,0,4,0,0,0,0,3,0,6,5,7,6,3,3,0,0,30,0,0,7,10,3,8,3,0,0,33,0,0,7,7,11,13,0,0,0,41,0,0,0,0,0,0,0,0,0,0
LGA52170,4,10,13,11,24,6,7,5,0,73,127,190,376,309,442,333,123,24,0,1925,0,6,13,6,10,10,18,9,0,79,0,15,49,58,74,41,17,0,0,255,5,12,24,22,19,26,13,5,0,119,0,4,4,3,6,12,5,0,0,27,11,17,35,42,34,34,13,4,0,193,4,0,9,10,22,15,4,3,0,60,49,63,25,37,52,31,12,0,0,276,75,59,31,16,19,11,3,0,0,228,4,10,12,13,21,19,9,0,0,88,0,5,13,11,5,3,10,0,0,54,4,3,40,40,66,42,24,0,0,221,6,9,14,37,40,36,18,10,0,178,8,34,103,120,145,110,64,11,0,595,7,7,16,11,12,11,3,0,0,63,0,8,36,24,35,34,10,0,0,150,24,25,59,31,83,88,32,3,0,345,8,48,155,113,164,166,53,8,0,714,14,14,18,12,10,3,7,0,0,83
LGA52240,0,0,4,0,3,0,0,0,0,11,5,13,25,54,42,43,24,0,0,215,8,18,34,55,45,56,44,5,5,267,0,0,0,0,0,0,0,0,0,11,0,3,7,4,15,8,0,0,0,40,0,0,0,0,0,0,0,0,0,5,0,0,3,7,3,9,0,0,0,16,0,0,0,6,0,0,0,0,0,7,3,0,0,0,7,0,0,0,0,12,0,0,0,7,0,0,0,0,0,4,0,0,3,6,3,7,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,4,0,0,0,0,10,7,0,0,0,17,0,0,5,9,8,9,0,0,0,30,0,0,0,3,3,6,0,0,0,16,0,5,0,0,0,0,0,0,0,3
LGA52310,0,0,0,0,0,0,0,0,0,8,9,15,27,23,48,50,19,5,0,189,0,8,21,6,31,18,15,10,0,114,0,3,0,4,6,0,0,0,0,8,0,5,0,0,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,4,0,0,0,21,0,3,0,0,0,6,0,0,0,9,0,3,0,9,13,9,5,0,0,40,3,0,0,5,7,5,5,0,0,21,0,0,3,3,5,10,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,4,6,13,0,0,0,29,0,0,6,4,15,7,0,0,0,34,0,0,0,4,16,16,4,0,0,45,0,0,0,0,0,0,0,0,0,0
LGA52380,0,0,0,0,4,0,0,0,0,10,0,7,12,7,18,14,0,0,0,72,0,0,0,0,0,0,0,0,0,4,3,17,67,32,54,32,4,0,0,214,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,4,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,10,9,3,0,0,0,28,0,0,0,3,3,6,3,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,0,0,0,0,0,7,0,5,3,3,0,4,0,0,0,17,0,0,0,3,0,0,0,0,0,5,0,0,0,0,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
