LGA_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85_yr_over_M,Age_85_yr_over_F,Age_85_yr_over_P,OS_vis_M,OS_vis_F,OS_vis_P,Count_pers_occ_private_dwgs_M,Count_pers_occ_private_dwgs_F,Count_pers_occ_private_dwgs_P,Count_persons_other_dwgs_M,Count_persons_other_dwgs_F,Count_persons_other_dwgs_P,Indig_persons_Aboriginal_M,Indig_persons_Aboriginal_F,Indig_persons_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_pe_Bo_Abor_Trs_St_Is_M,Indig_pe_Bo_Abor_Trs_St_Is_F,Indig_pe_Bo_Abor_Trs_St_Is_P,Indigenous_persons_Tot_M,Indigenous_persons_Tot_F,Indigenous_persons_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_per_att_educ_inst_0_4_M,Age_per_att_educ_inst_0_4_F,Age_per_att_educ_inst_0_4_P,Age_per_att_educ_inst_5_14_M,Age_per_att_educ_inst_5_14_F,Age_per_att_educ_inst_5_14_P,Age_per_att_educ_inst_15_19_M,Age_per_att_educ_inst_15_19_F,Age_per_att_educ_inst_15_19_P,Age_per_att_educ_inst_20_24_M,Age_per_att_educ_inst_20_24_F,Age_per_att_educ_inst_20_24_P,Age_per_att_educ_inst_25ov_M,Age_per_att_educ_inst_25ov_F,Age_per_att_educ_inst_25ov_P,Hi_yr_sch_com_Yr_12_equiv_M,Hi_yr_sch_com_Yr_12_equiv_F,Hi_yr_sch_com_Yr_12_equiv_P,Hi_yr_sch_com_Yr_11_equiv_M,Hi_yr_sch_com_Yr_11_equiv_F,Hi_yr_sch_com_Yr_11_equiv_P,Hi_yr_sch_com_Yr_10_equiv_M,Hi_yr_sch_com_Yr_10_equiv_F,Hi_yr_sch_com_Yr_10_equiv_P,Hi_yr_sch_comp_Yr_9_equiv_M,Hi_yr_sch_comp_Yr_9_equiv_F,Hi_yr_sch_comp_Yr_9_equiv_P,Hi_yr_sch_comp_Yr_8_below_M,Hi_yr_sch_comp_Yr_8_below_F,Hi_yr_sch_comp_Yr_8_below_P,Hi_yr_sc_co_Di_not_go_to_sc_M,Hi_yr_sc_co_Di_not_go_to_sc_F,Hi_yr_sc_co_Di_not_go_to_sc_P
LGA50840,2593,2585,5177,115,105,217,336,304,642,100,144,240,88,67,154,215,196,408,263,280,539,344,349,691,431,457,889,450,432,880,202,200,403,46,61,105,0,3,9,2424,2536,4954,171,55,222,43,36,83,0,0,0,0,0,0,43,36,83,1794,1819,3618,565,575,1149,2294,2330,4626,90,97,189,2256,2306,4560,31,35,64,311,279,588,66,100,161,12,18,28,32,81,115,884,1046,1931,239,245,485,637,548,1185,103,107,213,61,61,118,0,4,0
LGA50910,454,448,909,36,22,61,46,53,99,5,17,26,22,18,34,31,44,80,47,50,98,69,65,135,74,52,126,70,51,121,42,47,86,19,22,41,0,0,0,437,415,851,22,33,59,36,49,81,0,0,0,0,0,0,36,48,89,356,350,708,50,51,104,389,373,762,17,29,45,390,380,768,9,7,11,37,50,83,0,7,12,0,0,5,4,11,12,139,134,271,31,33,65,117,120,236,21,29,48,29,14,45,0,0,4
LGA50980,12373,13201,25576,725,695,1422,1650,1561,3215,474,520,996,546,643,1190,1554,2091,3653,1556,1835,3398,1526,1564,3086,1705,2017,3727,1901,1741,3644,646,468,1116,72,61,138,79,102,181,10681,11287,21966,1697,1917,3612,2299,2394,4692,19,26,43,92,104,193,2412,2517,4934,8809,9124,17933,1811,2191,3999,9467,9930,19397,1043,1320,2368,9992,10480,20473,145,130,276,1370,1300,2668,233,281,515,61,125,182,191,479,668,4260,5445,9705,1038,1149,2180,2311,2041,4347,494,351,853,292,185,475,52,36,83
LGA51080,515,498,1017,34,30,61,75,85,159,22,23,45,22,14,44,54,59,116,64,67,127,67,61,123,92,80,177,57,46,98,25,27,55,6,5,14,0,0,0,515,498,1017,0,0,0,56,78,135,0,0,0,0,0,0,56,78,135,414,377,793,46,49,94,446,420,864,16,19,37,454,415,875,6,6,11,65,70,135,6,17,25,4,5,8,0,18,17,158,186,344,44,35,77,107,79,186,24,15,42,25,14,37,4,0,7
LGA51120,522,438,968,31,30,54,63,63,122,23,15,34,31,20,46,62,41,108,63,45,113,73,54,123,70,69,137,80,60,136,29,42,64,15,12,23,0,0,0,451,427,881,65,14,84,19,15,34,0,0,0,0,0,0,19,15,39,383,336,717,46,47,96,408,360,766,25,18,42,417,369,781,8,0,12,59,54,114,11,7,17,0,0,4,3,10,17,159,156,310,31,28,60,114,81,195,21,21,45,16,13,27,0,0,0
LGA51190,15889,16576,32469,852,834,1681,1949,1796,3743,858,902,1756,894,905,1802,2133,2057,4188,2052,2006,4056,2039,2212,4257,2087,2233,4318,1735,1909,3640,951,1115,2065,344,621,957,27,24,52,14792,16067,30857,1096,518,1609,658,670,1331,5,4,17,19,21,38,686,693,1380,11836,12221,24061,3130,3412,6544,13067,14080,27149,1331,1549,2883,13276,14314,27589,228,199,429,1796,1657,3453,558,594,1150,130,202,333,278,623,906,5146,6204,11354,1483,1634,3118,4054,3795,7855,819,775,1596,455,508,962,81,52,135
LGA51260,19140,20991,40131,1056,1059,2114,2882,2751,5633,1183,1087,2267,731,665,1394,1810,2029,3835,2251,2782,5033,2483,2866,5350,2421,2867,5282,2556,2773,5336,1378,1470,2847,396,643,1036,40,38,74,18395,20122,38519,749,871,1615,407,382,785,3,12,14,9,3,16,417,391,815,14441,15503,29945,3593,4278,7870,17059,18612,35675,962,1189,2156,16968,18470,35438,287,288,572,2710,2562,5272,820,775,1592,127,169,296,282,791,1075,7153,8845,16003,1757,1859,3618,3889,4105,7997,820,718,1539,435,435,873,69,43,111
LGA51310,13805,14677,28483,742,678,1421,2195,2070,4264,1070,900,1969,723,740,1461,1316,1423,2738,1700,2002,3699,2053,2236,4289,1704,1810,3518,1218,1323,2540,750,876,1626,340,620,959,34,34,65,13477,14134,27608,333,546,879,60,54,120,0,5,5,0,0,0,65,58,127,9336,9755,19087,4189,4564,8746,11614,11979,23597,1881,2312,4192,12372,12961,25332,274,241,520,2151,2021,4171,969,839,1810,423,465,885,412,627,1039,8499,9118,17615,611,621,1227,957,1255,2208,347,322,668,110,166,275,18,34,53
LGA51330,46981,47429,94408,2757,2543,5294,6264,5853,12120,3008,2952,5960,4106,3524,7635,7527,7011,14539,6636,7115,13751,5655,5808,11465,4686,5182,9868,3760,4203,7963,1953,2286,4240,626,946,1579,181,161,342,46632,47046,93671,353,384,738,570,643,1214,22,10,29,19,25,39,601,675,1279,21548,21397,42953,23761,24410,48173,24968,25004,49965,20100,20551,40646,34464,34944,69409,766,720,1488,6031,5605,11633,2513,2591,5104,2245,2000,4236,2342,2998,5339,25938,26358,52292,2702,2705,5408,4988,5313,10297,1289,1314,2601,950,1147,2091,300,432,729
LGA51400,8408,9054,17459,519,531,1044,1534,1441,2982,685,686,1369,434,416,853,786,1022,1805,1043,1288,2334,1209,1373,2583,1046,1109,2156,768,773,1538,322,337,659,50,76,132,3,6,9,8374,9016,17382,32,38,70,227,260,489,0,0,0,3,7,12,234,272,505,6234,6673,12915,1846,2033,3875,7347,7861,15210,745,853,1595,7475,8028,15501,141,151,290,1450,1368,2821,485,490,972,82,105,190,154,396,549,2805,3775,6579,826,853,1678,1866,1673,3541,406,310,721,140,123,263,13,18,30
LGA51470,306,269,575,15,14,25,19,26,43,12,5,17,10,16,30,26,34,59,54,37,90,41,25,65,47,47,97,60,39,93,23,19,47,3,0,4,6,4,5,300,257,553,10,9,17,12,13,21,0,0,0,0,0,0,12,13,21,215,175,391,43,41,85,249,212,464,16,9,22,241,200,441,3,5,6,11,20,33,3,0,5,0,4,4,4,6,6,96,99,199,25,20,42,80,59,135,24,8,28,14,4,20,0,0,0
LGA51540,4298,3972,8266,225,189,413,414,363,775,140,121,269,179,204,381,489,478,967,432,434,868,519,464,984,662,686,1347,840,729,1571,343,257,593,50,46,98,75,32,109,3864,3637,7500,434,336,768,380,461,836,3,0,6,0,6,12,386,466,857,2802,2605,5405,801,797,1595,3252,3028,6287,361,382,739,3383,3159,6538,54,53,104,328,293,622,56,48,106,14,19,26,48,78,130,1249,1382,2630,366,352,717,949,835,1787,249,173,423,187,125,309,19,22,46
LGA51610,770,760,1533,34,35,69,126,118,247,42,45,94,28,21,47,56,66,116,86,102,192,126,126,253,127,127,250,94,91,189,42,23,66,8,3,9,0,0,0,770,760,1533,0,0,0,36,37,68,0,0,0,0,0,0,36,37,68,572,552,1127,107,104,210,658,639,1295,17,20,34,658,641,1295,3,8,14,104,93,200,33,33,67,0,0,3,8,20,30,222,289,512,89,80,170,166,129,294,39,18,55,24,11,34,0,0,4
LGA51680,2846,2874,5719,154,141,297,412,409,819,205,201,407,140,105,245,224,256,477,310,347,661,419,460,883,468,466,931,320,307,625,160,140,298,31,43,74,6,5,8,2783,2818,5604,64,54,113,88,89,174,0,0,0,0,0,4,88,89,176,1969,1920,3891,628,727,1356,2510,2557,5070,135,126,263,2489,2535,5023,31,30,63,379,381,763,148,141,285,32,39,66,23,88,118,843,1095,1937,299,284,574,709,601,1313,162,107,267,62,38,104,0,5,6
LGA51710,1174,814,1987,43,39,84,108,93,202,26,36,57,63,32,93,282,118,390,181,138,321,172,144,318,142,127,268,137,71,205,28,15,42,4,0,4,3,0,5,630,564,1188,548,253,797,3,4,7,0,0,0,0,0,0,3,4,7,418,346,765,531,284,807,355,284,638,399,366,765,625,492,1120,13,12,25,88,79,173,11,21,38,7,6,14,25,21,46,336,327,662,48,41,86,129,91,214,18,14,37,55,30,86,11,20,28
LGA51750,5223,5764,10991,231,192,427,718,632,1355,471,388,862,339,361,702,568,592,1162,530,635,1162,671,773,1447,561,669,1234,524,620,1139,428,555,991,177,343,518,26,19,44,4866,5525,10390,363,242,605,48,26,81,0,4,4,0,4,4,48,34,86,3360,3655,7014,1619,1840,3452,4384,4718,9102,617,784,1402,4506,4903,9412,79,80,163,682,602,1286,427,344,771,206,212,419,196,278,477,3339,3774,7117,230,267,500,332,465,793,106,117,221,38,40,83,3,5,6
LGA51820,56306,59270,115575,4119,3732,7848,7675,7402,15074,3312,3196,6510,3629,3726,7353,8220,9079,17297,8680,9232,17914,7431,7864,15298,5933,6589,12527,4406,4856,9260,2219,2477,4697,691,1108,1797,101,106,213,55914,58683,114592,390,585,979,1058,1092,2147,18,9,31,23,24,40,1099,1125,2221,35473,36385,71864,18852,20909,39761,42367,43594,85960,11778,13497,25274,48249,50501,98751,1236,1107,2337,7313,7079,14387,2485,2547,5031,1269,1556,2819,1674,2975,4654,25695,29560,55255,4474,4283,8757,8881,8464,17349,1877,1830,3705,1315,1488,2798,257,336,601
LGA51860,366,348,708,15,15,31,53,44,98,8,8,14,16,25,41,41,44,77,42,43,84,35,39,76,77,69,143,44,41,89,33,14,42,3,0,10,3,0,3,307,291,596,57,50,111,3,0,5,3,0,4,0,0,0,6,0,7,242,234,471,47,35,81,101,87,187,185,189,370,282,272,552,4,4,3,46,36,76,3,0,3,0,3,3,9,8,22,97,125,219,20,11,30,42,27,68,11,3,15,15,7,19,36,39,73
LGA51890,4376,4219,8589,256,203,466,565,518,1084,264,238,503,223,186,406,435,469,910,499,486,989,524,590,1117,646,617,1261,604,518,1124,275,279,548,78,101,179,8,3,3,4208,4146,8350,169,76,238,196,170,361,4,0,4,5,6,9,200,170,373,3520,3421,6937,513,513,1021,3898,3782,7680,130,127,257,3862,3779,7639,45,59,107,508,466,976,175,147,322,14,30,46,40,115,158,929,1185,2112,552,500,1047,1247,1140,2389,284,224,516,185,119,305,16,10,25
LGA51960,2737,1753,4488,122,110,237,231,221,453,101,110,204,135,119,260,521,242,765,428,261,691,511,274,783,422,223,645,202,141,339,52,35,88,8,7,14,3,0,3,1696,1561,3263,1035,185,1222,152,166,326,3,0,0,0,3,6,156,173,332,1388,992,2383,438,312,752,1713,1202,2917,127,117,242,1609,1126,2732,17,23,39,165,166,335,43,44,85,8,11,20,43,45,86,605,428,1029,221,160,383,526,339,869,108,72,180,69,35,98,3,0,11
LGA52030,568,483,1052,31,30,63,39,35,75,11,11,22,22,14,32,45,45,87,44,46,92,56,51,109,132,96,224,113,99,214,60,44,103,15,11,23,0,0,0,565,487,1050,0,0,4,15,18,28,0,0,0,0,0,0,15,18,28,433,359,792,56,67,124,480,412,897,8,9,20,468,410,876,7,5,12,42,31,71,10,8,16,0,0,0,3,8,16,169,157,325,34,49,83,167,123,292,34,26,62,17,12,28,0,0,0
LGA52100,482,485,965,23,37,60,50,60,108,18,8,26,30,15,47,48,58,109,63,57,116,61,55,113,68,69,134,80,67,152,26,39,68,15,21,38,0,0,4,466,461,925,20,20,39,9,16,28,0,0,0,0,0,0,9,19,25,411,391,800,43,59,108,446,429,875,7,18,25,430,430,863,3,9,16,38,54,100,5,5,10,0,4,4,3,14,17,191,174,372,44,49,94,112,101,213,28,12,42,19,14,32,0,0,0
LGA52170,3774,3925,7689,200,161,358,470,428,893,283,274,553,224,229,453,390,446,832,392,430,818,508,582,1089,524,526,1049,429,463,890,279,262,541,87,126,211,27,24,51,3733,3859,7593,42,58,101,10,16,28,0,0,0,0,0,0,10,16,28,2736,2796,5533,898,977,1873,3431,3492,6921,197,280,471,3399,3497,6893,61,61,119,448,407,858,258,257,515,130,132,264,103,169,271,2481,2618,5096,156,174,332,207,284,496,77,71,145,24,27,52,3,0,5
LGA52240,558,488,1043,36,24,61,65,71,138,20,19,35,23,22,41,47,41,87,58,74,133,83,66,156,98,78,173,72,62,135,40,37,78,4,4,12,0,0,0,545,487,1029,8,9,13,10,18,31,0,0,0,0,0,0,12,18,30,409,341,756,87,90,174,470,413,884,27,19,46,461,407,870,7,4,15,63,64,122,8,10,15,3,0,3,0,11,15,159,175,335,42,50,93,120,90,214,34,10,48,29,8,37,9,0,11
LGA52310,450,412,862,19,18,34,53,52,107,11,10,21,20,21,41,41,40,78,37,34,72,65,70,128,75,81,161,86,54,138,39,26,60,10,8,12,3,0,3,448,410,856,3,0,8,8,7,13,0,0,0,0,0,0,8,7,13,344,303,648,60,70,128,404,366,764,6,15,24,385,353,733,3,3,10,41,47,88,5,5,13,0,4,4,3,7,13,127,155,287,42,41,76,110,89,201,41,19,59,18,3,20,0,0,4
LGA52380,403,156,560,0,5,5,0,4,4,5,4,8,19,13,34,84,20,103,55,15,74,78,23,96,73,36,110,53,37,89,19,9,29,0,0,0,3,0,3,154,125,273,254,35,285,15,0,17,0,0,0,0,0,0,13,0,17,270,97,362,106,41,147,341,121,461,34,12,51,339,111,454,0,0,0,0,0,0,0,0,0,3,0,5,10,5,8,164,67,236,44,14,67,109,40,148,27,9,30,14,5,18,0,0,0
LGA52450,694,625,1318,38,48,81,87,96,178,126,71,200,26,27,55,82,65,149,65,80,147,73,68,138,83,69,153,66,69,136,33,22,62,14,10,24,0,0,0,588,582,1171,105,45,149,24,14,39,0,0,3,0,0,0,23,20,45,569,474,1042,83,99,185,622,539,1160,36,38,83,621,538,1162,5,11,20,78,81,158,94,53,153,7,3,6,7,20,27,228,197,422,92,68,166,152,141,290,31,25,62,27,9,42,0,0,3
LGA52520,731,657,1392,44,62,105,93,102,185,26,18,41,36,33,68,87,79,169,109,97,206,90,66,151,136,86,219,82,51,131,27,43,74,11,22,32,0,0,0,697,634,1324,39,23,64,40,37,76,0,0,0,0,0,0,40,35,80,486,443,930,132,115,240,549,495,1047,68,61,129,548,507,1057,7,11,19,76,82,154,18,8,26,6,0,10,0,14,21,286,243,521,50,37,90,116,114,225,25,10,32,23,18,41,0,0,5
LGA52590,1988,1684,3671,92,81,172,189,122,311,59,55,110,74,58,138,221,209,433,232,195,425,267,204,476,333,308,645,349,297,641,138,123,263,30,41,70,22,9,26,1660,1550,3211,332,133,467,46,48,95,0,0,3,0,0,0,48,47,93,1406,1210,2620,281,275,554,1612,1434,3042,89,71,162,1591,1395,2984,27,18,38,171,113,280,21,28,52,6,11,15,22,29,52,580,633,1216,185,161,343,483,392,871,121,85,201,55,33,94,3,8,10
LGA52660,6879,7228,14107,479,468,947,1058,983,2036,420,406,820,355,322,675,842,907,1755,875,970,1842,833,935,1768,802,860,1662,705,675,1379,366,489,855,152,206,358,9,9,17,6809,7111,13922,72,117,186,195,210,407,0,0,0,9,9,17,206,219,423,5394,5620,11019,1144,1258,2405,6122,6402,12519,427,485,912,6146,6461,12610,128,122,256,999,919,1924,279,282,560,67,64,136,105,266,371,2052,2658,4710,708,737,1445,1702,1578,3286,363,287,652,177,174,353,23,16,33
LGA52730,3061,3281,6336,167,152,319,398,383,778,208,194,405,61,64,118,187,251,434,320,402,727,377,445,824,491,532,1025,496,513,1006,283,254,538,70,89,160,5,7,4,2914,3138,6044,149,144,291,37,48,82,0,4,4,0,0,0,37,53,90,2090,2195,4284,664,767,1425,2640,2796,5438,91,159,250,2609,2800,5409,38,37,74,346,332,682,157,147,305,16,14,26,47,134,182,1215,1485,2698,227,246,477,590,552,1138,132,107,240,50,49,99,0,3,7
LGA52800,4765,4521,9279,297,280,569,605,582,1188,233,246,483,331,336,668,798,759,1557,616,590,1207,611,552,1161,640,623,1263,518,426,942,107,97,198,10,21,34,15,26,42,3917,4054,7970,848,464,1311,2115,2051,4171,5,10,9,25,39,69,2147,2101,4244,3523,3334,6867,467,434,896,2470,2323,4792,1235,1284,2514,3638,3535,7173,69,51,126,475,443,918,65,73,135,15,17,34,64,95,155,1196,1343,2538,441,467,912,988,769,1756,248,174,424,208,139,350,63,54,115
LGA52870,2930,3036,5964,150,158,308,379,341,724,182,137,320,125,93,222,222,273,497,308,354,662,387,416,801,443,512,952,465,444,908,221,227,454,48,77,120,7,20,31,2869,2960,5830,62,74,134,69,72,138,3,0,5,4,5,7,72,81,152,2206,2244,4440,522,598,1126,2606,2698,5310,141,163,302,2584,2672,5263,28,36,68,341,321,668,112,94,206,13,18,27,21,92,113,850,1181,2034,283,292,578,781,662,1445,194,125,319,95,77,176,15,11,26
