LGA_CODE_2021,Tot_Mgr,Tot_Pfn,Tot_Tch_trwk,Tot_Co_Pswk,Tot_Cl_Adwk,Tot_Sal,Tot_MchOp,Tot_Lab,Tot_Inad_ns,Tot_To
LGA52940,128,24,30,31,27,7,32,41,0,325
LGA53010,126,32,29,29,31,11,19,41,10,311
LGA53080,53,87,83,33,33,18,74,59,5,458
LGA53150,746,1472,316,398,399,296,74,176,46,3932
LGA53220,773,1385,3498,429,522,165,3125,1141,149,11195
LGA53290,1134,842,981,570,713,513,738,821,151,6470
LGA53360,489,544,523,373,376,213,151,328,66,3053
LGA53430,2436,6026,1802,1898,1497,935,506,882,233,16224
LGA53570,460,209,324,145,233,115,253,589,61,2387
LGA53640,206,44,88,25,48,24,63,99,12,609
LGA53710,128,43,57,32,47,17,45,47,8,428
LGA53780,4767,9639,9520,7250,7375,4891,5982,6819,1098,57349
LGA53800,1872,3018,2884,2399,2031,1627,1506,1997,268,17603
LGA53920,185,338,139,232,103,46,104,117,53,1311
LGA53990,1254,1785,2525,1436,1441,1013,1438,1889,236,13015
LGA54060,256,197,271,149,150,123,138,207,45,1529
LGA54130,236,57,72,32,46,20,45,83,8,594
LGA54170,11155,20699,12199,9455,11544,6761,3307,5517,1160,81796
LGA54200,3374,5324,4769,3112,4114,2185,2531,2339,484,28235
LGA54280,1475,2393,3508,1431,1691,997,2680,1458,282,15901
LGA54310,1379,2032,3467,1082,1356,610,1564,1416,273,13172
LGA54340,242,216,279,182,182,138,100,441,40,1814
LGA54410,102,55,62,58,36,24,47,77,11,467
LGA54480,127,15,14,12,15,4,34,41,4,262
LGA54550,321,94,105,56,72,44,85,170,16,950
LGA54620,182,71,128,44,49,20,122,71,12,691
LGA54690,69,10,16,16,19,5,26,24,3,184
LGA54760,166,40,31,22,24,15,32,54,6,379
LGA54830,1628,3100,3709,2786,2587,1764,2313,2493,344,20726
LGA54900,300,64,80,40,57,37,76,89,18,764
LGA54970,127,261,480,52,79,7,613,114,16,1753
LGA55040,157,203,367,64,97,26,475,178,17,1585
LGA55110,3325,5076,6234,5024,3644,3385,3482,3698,602,34482
LGA55180,888,521,568,439,412,323,375,822,71,4425
LGA55250,137,164,270,65,57,28,273,115,16,1120
LGA55320,7722,16856,5133,4980,6734,4090,1646,2845,729,50737
LGA55390,55,102,202,20,21,0,241,72,3,721
LGA55460,249,190,234,155,146,114,170,151,35,1432
LGA55530,92,19,19,17,15,10,29,26,3,226
LGA55600,263,122,147,109,108,61,117,144,18,1079
LGA55670,92,32,17,18,23,12,22,31,3,250
LGA55740,819,1694,265,481,418,312,92,228,66,4372
LGA55810,48,61,115,18,32,11,141,45,13,479
LGA55880,113,14,25,12,14,3,21,32,3,234
LGA55950,104,31,36,16,19,12,29,23,7,279
LGA56090,2265,3783,2975,2049,2336,1427,1271,1366,338,17812
LGA56160,18,13,14,4,0,0,0,14,4,69
LGA56230,752,761,1431,855,694,607,944,836,131,7016
LGA56300,145,90,77,62,52,28,45,107,10,610
LGA56370,146,34,38,20,23,19,27,55,5,359
LGA56460,338,362,306,276,219,156,155,283,36,2136
LGA56580,2010,4922,494,947,1058,665,151,369,156,10762
LGA56620,49,103,9,45,18,8,9,23,5,276
LGA56730,558,582,712,567,522,409,434,586,91,4463
LGA56790,361,222,203,172,150,103,150,261,35,1658
LGA56860,40,9,8,9,10,3,8,11,0,99
LGA56930,181,274,31,72,70,52,8,16,18,717
LGA57000,121,51,115,18,28,9,146,48,4,539
LGA57080,2478,6347,1700,2242,1868,1043,645,1149,269,17733
LGA57140,102,41,49,37,31,23,22,55,4,375
LGA57210,510,259,277,202,208,139,187,389,56,2235
LGA57280,836,1309,2267,684,930,433,1362,914,231,8971
LGA57350,102,24,30,34,20,17,22,37,0,290
LGA57420,219,130,339,67,95,38,298,183,43,1411
LGA57490,5841,8759,11508,9012,7161,5337,5514,6471,1117,60725
LGA57630,12,16,11,4,5,0,9,18,5,69
LGA57700,1646,1978,3055,1870,2168,1203,1742,1479,329,15470
LGA57770,187,177,190,132,124,58,115,147,28,1160
LGA57840,3466,8423,1923,2343,2700,1653,699,1183,349,22738
LGA57910,15062,32926,13839,13614,14182,9238,5545,9560,1859,115822
LGA57980,1399,4371,476,749,868,533,151,359,117,9004
LGA58050,7552,11208,12564,10118,10199,6672,7240,7764,1395,74710
LGA58190,63,11,7,13,17,5,10,21,0,153
LGA58260,84,24,32,24,19,4,26,25,11,257
LGA58330,251,262,301,209,220,120,204,172,33,1781
LGA58400,49,7,15,15,9,3,15,10,0,128
LGA58470,27,31,6,8,7,0,10,15,0,117
LGA58510,2625,6291,2365,2414,2414,1342,1008,1519,310,20285
LGA58540,147,28,44,21,25,19,38,59,9,385
LGA58570,3350,8518,1901,2172,2315,1286,532,1029,277,21381
LGA58610,150,71,92,68,64,48,59,116,13,684
LGA58680,81,15,22,11,14,3,44,32,5,234
LGA58760,10567,16836,17445,13813,13712,9319,7507,10753,1788,101739
LGA58820,191,154,399,173,150,103,261,245,48,1724
LGA58890,190,29,30,16,21,11,27,47,0,365
LGA59030,57,14,43,0,16,10,49,21,5,203
LGA59100,127,19,36,16,17,13,22,42,4,299
LGA59170,191,53,56,27,43,23,55,77,10,520
LGA59250,64,101,156,24,34,3,156,77,10,613
LGA59310,158,63,97,47,63,49,68,87,10,638
LGA59320,87,14,22,11,18,13,17,22,0,208
LGA59330,73,25,25,12,27,5,15,31,0,208
LGA59340,739,1026,682,579,513,206,353,497,95,4682
LGA59350,42,55,98,15,27,0,114,25,0,371
LGA59360,166,69,235,38,62,15,313,131,22,1056
LGA59370,243,199,216,168,156,110,127,160,23,1406
LGA59799,96,324,627,58,45,6,172,344,23,1697
