LGA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
LGA55880,194,167,364,111,59,170,15,35,53,3,8,8,6,0,13,132,104,240,42,44,95,3.7,3.8,3.8,68.5,63.3,66.1,66,60.8,63.6,6,0,4,0,8,7,9,20,29,13,16,27,33,29,63,7,0,8,4,4,6,45,32,72,185,164,348,27,24,45,147,115,263,51,50,99
LGA55950,245,235,482,134,40,179,19,56,71,8,22,28,0,3,4,164,118,287,49,87,139,1.8,1.7,1.8,67.2,50.4,59.1,66,49.6,58,0,0,3,0,6,10,9,32,40,10,11,23,65,21,86,0,4,5,3,4,7,64,36,103,223,219,439,34,25,56,161,147,304,84,80,161
LGA56090,15900,15321,31226,6574,3795,10372,1871,4406,6279,607,559,1162,452,385,842,9504,9153,18651,5908,5603,11510,4.8,4.2,4.5,59.8,59.7,59.7,56.9,57.2,57.1,510,603,1112,269,521,789,1624,2553,4179,1243,1787,3029,4293,2109,6401,192,289,476,223,420,638,4704,2814,7515,14886,15628,30512,1796,1978,3780,11051,11580,22628,4791,5288,10079
LGA56160,68,71,136,33,23,51,3,6,10,3,0,7,0,4,4,36,32,68,24,33,53,2.6,5.9,4.2,56.7,49.3,52.9,55.2,46.4,50.7,5,4,4,3,6,8,8,16,20,6,8,14,12,9,22,0,0,0,0,4,4,17,11,28,60,68,126,10,9,24,40,46,92,24,27,54
LGA56230,6699,7249,13943,2582,1380,3959,713,1787,2506,295,253,547,259,236,494,3854,3656,7512,2420,3142,5562,6.7,6.5,6.6,57.5,50.5,53.8,53.7,47.2,50.3,69,80,151,33,124,159,287,584,874,385,644,1031,2074,1212,3292,106,181,288,99,184,287,2285,1581,3865,6615,6968,13581,1111,1231,2344,4449,4645,9097,2851,3151,6006
LGA56300,685,662,1347,200,106,305,97,164,257,25,22,45,13,13,27,333,309,642,265,265,528,4.5,4.9,4.7,49.2,46.7,48,47,44.4,45.7,10,22,29,10,28,38,59,82,138,52,76,127,173,71,238,5,8,14,12,10,18,186,93,276,594,552,1150,86,93,173,426,400,823,230,226,454
LGA56370,331,289,617,179,77,253,22,69,92,8,8,9,10,4,9,210,163,375,58,87,149,3.3,2.5,3,63.9,55.2,59.8,61.7,53.8,58.1,0,3,8,0,4,10,13,50,59,9,19,29,58,24,81,3,3,5,4,3,4,61,33,88,297,277,571,33,35,61,218,202,423,90,88,179
LGA56460,1956,2004,3961,810,501,1310,230,472,703,62,59,126,72,50,121,1171,1085,2251,574,707,1282,6,4.7,5.4,59.9,54.1,56.9,56.3,51.6,53.9,23,31,53,30,44,69,144,257,409,92,187,280,456,260,717,22,44,65,16,35,51,495,342,835,1736,1814,3550,354,358,709,1244,1264,2513,751,804,1547
LGA56580,8649,9254,17904,3903,2054,5958,1570,2784,4355,193,252,443,223,188,410,5896,5273,11174,2504,3681,6183,3.8,3.6,3.7,68.2,57,62.4,65.6,55,60.1,1676,1302,2976,294,533,829,2959,3132,6090,546,861,1409,543,323,864,39,51,87,57,160,215,637,528,1168,8945,9228,18171,1560,1552,3116,5869,6197,12063,4211,4138,8351
LGA56620,557,588,1151,89,87,176,26,56,79,9,14,22,48,30,80,177,181,352,309,344,654,26,17.6,21.7,30.9,30.9,30.9,22.9,25.5,24.2,0,10,11,3,13,13,25,27,55,5,11,22,41,19,59,0,6,8,4,9,12,46,30,76,553,590,1142,73,81,152,492,525,1013,104,113,216
LGA56730,4528,4550,9077,1658,1043,2700,437,1039,1484,146,128,277,163,131,288,2407,2343,4749,1694,1794,3490,6.7,5.5,6.1,53.1,51.5,52.3,49.6,48.7,49.2,67,77,147,39,83,124,217,399,614,203,362,567,1083,586,1664,62,142,203,66,86,155,1213,812,2026,4012,4262,8275,667,709,1381,2819,2950,5764,1597,1779,3383
LGA56790,1953,1837,3785,520,258,779,207,343,549,183,154,336,38,21,65,944,781,1722,744,818,1566,4.3,2.8,3.7,48.4,42.4,45.5,46.3,41.2,43.8,30,45,79,14,34,50,135,215,345,96,157,255,525,196,719,16,23,42,29,38,64,566,258,826,1669,1538,3204,249,258,508,1289,1186,2478,562,542,1105
LGA56860,109,103,217,37,28,63,7,15,23,3,3,10,3,0,6,49,52,102,27,31,60,5.7,7.7,6.7,48.6,48.6,48.6,45.9,44.9,45.4,0,0,0,0,0,0,3,7,13,3,7,13,23,7,30,0,0,0,0,5,4,25,19,42,84,84,173,12,9,19,59,59,114,37,31,71
