LGA_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
LGA50080,15094,16157,31252,6023,3511,9532,2163,4606,6771,552,539,1092,406,297,712,9144,8958,18101,5073,6380,11453,4.5,3.4,3.9,60.6,55.5,57.9,57.9,53.6,55.7,345,432,779,190,439,631,1261,2320,3582,1128,1785,2910,4102,2402,6503,290,447,735,209,389,606,4602,3242,7838,14412,15449,29861,2590,2831,5420,9568,10102,19665,6560,7358,13918
LGA50210,33884,36333,70226,17299,9424,26726,4362,9796,14155,1148,1380,2530,1472,1520,2994,24278,22117,46404,8003,12558,20562,6.1,6.9,6.5,71.7,60.9,66.1,67.3,56.7,61.8,1421,1582,3000,422,826,1251,3894,5878,9772,2991,3848,6838,8779,5532,14308,567,816,1390,440,769,1211,9788,7119,16903,37070,38604,75678,5372,5765,11133,23244,23784,47028,15979,17561,33544
LGA50250,9528,4149,13677,4799,1417,6211,420,536,959,589,330,919,65,54,115,5867,2340,8203,708,889,1601,1.1,2.3,1.4,61.6,56.3,60,60.9,55,59.1,199,115,309,63,81,144,600,572,1172,599,385,984,2869,579,3447,102,84,183,67,75,143,3037,732,3772,5757,2933,8688,1563,966,2526,3352,1466,4821,3683,2190,5872
LGA50280,6289,6759,13047,2603,1413,4016,1147,2350,3494,324,312,637,133,113,242,4211,4187,8389,1561,2080,3639,3.2,2.7,2.9,66.9,61.9,64.3,64.8,60.3,62.4,212,261,478,118,242,356,885,1427,2309,542,843,1387,1667,834,2502,86,117,205,103,163,263,1856,1119,2971,5984,6282,12268,1283,1358,2642,3762,3883,7646,3071,3385,6460
LGA50350,6055,6686,12739,2864,1942,4805,908,1805,2715,156,213,372,216,191,412,4151,4156,8304,1603,2246,3846,5.3,4.7,5,68.5,62.2,65.2,64.9,59.2,61.9,305,368,676,134,275,412,896,1343,2243,532,663,1194,1472,785,2254,93,121,209,68,157,229,1627,1064,2690,6149,6618,12774,916,964,1879,4130,4484,8619,2491,2717,5213
LGA50420,27752,29088,56847,13302,8542,21841,4305,7859,12164,816,1010,1829,1040,941,1976,19464,18347,37811,7135,9666,16803,5.3,5.1,5.2,70.1,63.1,66.5,66.4,59.8,63,1673,1994,3672,586,1056,1645,5356,6389,11745,2703,2999,5703,5467,2910,8374,307,463,775,350,645,993,6127,4022,10145,27230,27984,55219,4521,4748,9267,17548,18120,35675,12477,13005,25483
LGA50490,17719,17350,35062,8471,5255,13729,2597,4179,6775,669,614,1283,713,601,1315,12445,10648,23097,4008,5625,9637,5.7,5.7,5.7,70.3,61.4,65.9,66.2,57.9,62.1,1051,1006,2054,236,462,702,2788,3463,6256,1714,1830,3544,3685,1875,5555,273,291,571,226,333,553,4181,2496,6682,16050,15751,31800,3376,3394,6766,9248,9152,18404,9153,9005,18155
LGA50560,706,700,1406,214,109,326,71,150,217,31,33,65,25,17,44,339,307,648,274,309,584,7.4,6.2,6.8,47.7,44.1,45.9,44.2,41.3,42.8,5,9,17,8,10,15,44,80,123,42,65,108,155,72,233,10,12,17,11,16,25,168,96,266,619,623,1246,70,72,140,475,466,940,185,210,396
LGA50630,951,681,1631,523,183,708,91,129,224,81,51,134,18,15,38,714,385,1099,180,236,418,2.5,4.4,3.2,75,56.6,67.4,73.1,54.1,65.2,11,8,28,8,11,18,75,81,157,53,59,118,321,92,415,11,23,39,11,12,31,348,125,482,875,608,1485,188,158,348,565,402,965,446,325,771
LGA50770,704,719,1423,315,163,474,73,177,249,39,18,58,12,19,36,436,383,823,191,258,451,3,6,4.4,62.4,53.6,57.9,60.5,50.3,55.4,3,8,12,6,14,16,45,109,159,35,75,107,166,97,261,8,12,17,8,26,36,187,136,317,695,694,1386,80,94,175,524,491,1016,204,253,461
LGA50840,2137,2173,4313,852,400,1252,244,612,853,96,75,171,58,32,90,1254,1119,2367,713,914,1630,4.5,2.9,3.8,58.5,51.5,55,55.9,50,52.9,63,39,102,15,60,78,191,286,476,150,282,426,650,335,987,37,55,89,40,47,92,727,436,1165,1954,1949,3904,398,445,845,1326,1351,2676,918,951,1873
LGA50910,379,371,749,157,78,237,35,82,114,18,15,31,16,13,22,221,189,410,118,157,272,5.4,5.9,5.6,58.7,50.3,54.5,55.6,47.3,51.5,0,12,7,4,10,15,22,42,61,16,24,34,74,51,127,6,5,9,5,7,8,81,66,145,360,352,710,40,53,96,256,248,507,115,136,249
LGA50980,9921,10840,20761,3287,2777,6062,876,1775,2650,842,949,1783,242,217,459,5248,5709,10956,3255,3574,6833,4.6,3.8,4.2,52.9,52.7,52.8,50.4,50.7,50.6,313,461,776,147,402,545,1101,1918,3019,787,1117,1906,2472,1065,3528,105,218,321,159,216,372,2730,1496,4229,8488,8834,17328,1881,2328,4210,5602,5687,11289,4194,4888,9085
LGA51080,406,387,790,212,85,292,38,105,141,12,14,27,13,10,22,277,215,489,96,122,218,5.1,5.2,5.2,67.3,55.1,61.4,63.9,52.2,58.2,0,11,10,0,8,5,24,60,83,20,31,51,79,43,121,3,10,10,15,4,14,94,55,149,420,387,805,42,44,91,316,288,602,115,116,235
LGA51120,435,352,788,203,84,287,30,80,104,9,9,14,8,5,15,247,171,421,94,123,222,3.2,4,3.6,57.2,49.3,53.6,55.3,47.3,51.7,0,0,3,3,15,16,21,42,59,14,32,45,103,41,147,7,8,14,5,5,15,113,60,175,366,331,700,57,47,98,286,241,527,118,106,222
LGA51190,13063,13927,26990,5460,3148,8615,1521,3577,5099,432,436,875,463,414,872,7880,7574,15456,4365,5541,9903,5.9,5.4,5.7,60.3,54.4,57.3,56.8,51.4,54,336,327,668,163,345,505,1130,1819,2948,836,1257,2093,3608,2285,5888,240,362,603,161,322,480,4006,2968,6973,11741,12757,24491,2479,2662,5139,7781,8354,16136,5665,6353,12021
LGA51260,15166,17155,32320,6178,3521,9698,2376,5326,7696,676,659,1334,325,287,616,9552,9791,19337,4710,6407,11117,3.4,2.9,3.2,63,57.1,59.8,60.8,55.4,57.9,374,431,807,184,525,713,1633,2761,4390,1293,1976,3266,4401,2418,6815,223,370,598,227,456,685,4857,3244,8099,14870,16262,31133,2949,3288,6239,9540,10256,19795,7356,8369,15726
LGA51310,10837,11898,22737,5404,3111,8513,1845,3711,5557,273,405,678,299,289,583,7807,7522,15331,2787,4063,6854,3.8,3.9,3.8,72,63.2,67.4,69.3,60.8,64.8,1753,1454,3211,363,680,1047,3592,4057,7648,904,1195,2102,1004,520,1523,58,105,165,103,220,325,1167,851,2014,11433,12090,23524,1909,2082,3995,7557,7981,15541,5177,5582,10763
LGA51330,37796,38875,76671,16984,9818,26803,6947,11177,18131,1128,1163,2295,1543,1437,2976,26605,23600,50200,9747,13914,23657,5.8,6.1,5.9,70.4,60.7,65.5,66.3,57,61.6,3661,3466,7124,694,1249,1945,8218,9435,17652,3653,3990,7642,6196,3282,9476,488,545,1030,424,706,1130,7101,4530,11639,37620,38549,76165,7117,6794,13908,23089,24325,47416,19282,18853,38134
LGA51400,6346,7077,13419,3320,1845,5162,752,2230,2986,304,280,584,171,192,370,4546,4549,9095,1550,2247,3798,3.8,4.3,4,71.7,64.3,67.8,68.9,61.5,65,155,188,348,69,212,280,614,1133,1743,499,699,1200,2034,1279,3310,102,206,313,84,191,280,2219,1682,3899,6842,7272,14111,1154,1311,2469,4564,4795,9362,2983,3357,6340
LGA51470,275,228,506,134,53,187,19,51,72,9,4,13,7,6,14,163,119,289,69,73,143,4.2,5,4.5,60,53.3,57,57.5,50.7,54.4,4,7,11,3,3,6,10,20,33,19,24,36,80,20,98,8,11,14,0,5,4,87,36,122,218,189,406,35,29,67,150,119,269,93,86,184
LGA51540,3583,3384,6973,995,742,1735,276,471,745,349,305,653,83,53,139,1697,1581,3277,1364,1370,2733,5,3.5,4.3,47.4,46.6,47,45.1,45,45,73,74,144,36,73,113,285,436,722,235,303,537,879,341,1218,50,63,109,53,76,131,987,478,1462,3027,2865,5889,523,501,1024,2175,1997,4170,1200,1222,2422
LGA51610,608,609,1211,282,164,454,59,154,212,32,30,57,22,12,31,397,353,754,143,177,321,5.3,2.8,4.1,65.3,59,62.2,61.8,57.4,59.6,3,6,16,4,15,18,33,83,119,39,72,113,177,87,257,3,7,13,10,20,32,195,109,303,586,569,1152,77,75,151,416,392,809,215,222,433
LGA51680,2278,2318,4591,1100,600,1700,225,631,859,121,95,212,58,52,109,1502,1377,2879,623,787,1411,3.9,3.8,3.8,65.9,59.4,62.7,63.4,57.2,60.3,24,45,70,15,47,62,125,262,390,169,268,428,752,355,1102,26,60,87,32,64,93,808,476,1283,2245,2280,4522,361,372,738,1656,1653,3307,830,891,1715
LGA51710,1025,680,1699,411,244,649,67,130,194,33,25,52,3,6,12,513,404,918,311,115,428,1,1.7,1.3,50.2,59.7,54,49.7,58.7,53.3,21,26,45,15,21,33,53,91,144,51,60,109,190,64,258,20,19,37,6,11,12,213,99,313,617,518,1141,125,115,237,442,384,833,254,217,469
LGA51750,4254,4920,9173,1778,1199,2976,756,1255,2010,96,151,248,126,129,254,2753,2734,5485,1336,1975,3308,4.5,4.7,4.6,64.7,55.5,59.8,61.8,52.9,57,688,594,1278,139,287,426,1455,1631,3087,322,499,817,289,153,445,14,26,45,22,97,124,332,280,609,4047,4396,8445,912,1052,1966,2359,2655,5011,2387,2632,5023
LGA51820,44427,48036,92459,23693,13920,37612,6022,14565,20588,1533,1771,3310,1610,1505,3118,32860,31763,64625,9923,14587,24509,4.9,4.7,4.8,74,66.1,69.9,70.3,63,66.5,2239,2405,4644,697,1551,2252,6492,9603,16097,3891,5225,9116,11605,6100,17707,634,882,1523,633,1062,1696,12874,8047,20921,45764,47976,93739,7639,8453,16091,29463,30804,60266,20580,22528,43108
LGA51860,292,286,577,105,75,182,44,42,88,12,7,18,7,6,5,168,135,301,61,87,153,1.8,3.8,2.7,56.3,46.3,51.4,55.3,44.6,50,8,11,16,0,5,9,18,27,51,13,15,23,60,22,86,3,7,17,0,0,0,69,33,98,254,231,484,34,38,64,207,180,392,63,70,132
LGA51890,3541,3487,7032,1362,606,1967,302,865,1165,155,124,275,161,122,286,1977,1711,3681,1273,1510,2778,8.1,7.2,7.7,55.7,49,52.4,51.2,45.5,48.4,20,28,40,15,49,65,100,225,329,136,247,382,1179,643,1821,53,96,151,62,78,136,1296,814,2114,3460,3341,6799,532,560,1093,2599,2426,5027,1167,1258,2424
LGA51960,2378,1412,3792,948,365,1311,125,208,331,108,49,160,50,36,85,1228,660,1887,333,399,730,4.1,5.5,4.6,51.7,46.4,49.7,49.6,43.8,47.5,35,14,48,11,20,25,83,78,164,76,83,152,549,151,703,28,32,64,18,21,39,595,207,802,1426,1018,2449,382,274,655,940,628,1573,777,584,1364
LGA52030,496,422,918,180,74,254,36,92,122,17,17,38,17,10,21,246,196,435,179,172,354,5.7,5.7,5.7,49.8,45.6,47.9,47,43,45.1,6,3,6,0,15,14,17,47,68,25,33,56,127,43,170,7,9,14,15,9,24,141,71,212,430,360,793,50,65,112,330,267,597,131,137,265
LGA52100,405,387,794,236,111,354,38,104,142,12,12,25,9,3,12,292,238,527,97,125,221,3.1,2.1,2.7,71.6,60.6,66.2,69.4,59.3,64.4,4,5,8,0,13,11,17,54,75,18,48,61,102,46,147,15,13,23,4,13,20,119,71,186,379,375,755,64,62,130,298,269,565,128,140,274
LGA52170,3080,3314,6396,1416,809,2225,578,994,1571,88,116,204,82,69,150,2163,1991,4156,815,1207,2020,3.9,3.4,3.7,70.2,60,64.9,67.4,58,62.5,491,374,866,72,176,251,1107,1264,2371,218,306,521,200,94,301,15,25,38,27,67,97,247,188,437,3016,3125,6139,575,625,1204,1888,2007,3892,1531,1601,3135
LGA52240,447,396,849,227,86,309,30,113,147,23,15,36,13,7,16,293,219,508,110,128,240,3.1,2.7,2.9,64.7,55.4,60.4,62.7,53.9,58.6,0,0,7,0,9,9,23,39,66,23,34,64,90,65,156,13,7,21,3,7,17,107,76,189,439,374,815,46,56,104,320,261,580,140,150,288
LGA52310,375,346,721,148,85,236,40,92,133,14,13,24,8,3,16,214,193,414,132,116,248,4.2,2.6,3.4,56.9,56.7,56.8,54.5,55.2,54.8,0,7,11,0,4,9,22,39,62,37,24,61,91,45,134,0,15,14,3,13,10,96,69,159,376,337,711,27,39,65,288,255,541,99,107,206
LGA52380,400,155,554,224,39,265,29,9,40,36,17,55,4,0,4,297,74,369,74,63,135,1.7,2.8,1.9,74.2,47.7,66.9,72.9,46.4,65.6,12,0,16,0,0,0,28,18,45,35,21,54,132,20,158,3,3,9,0,3,4,142,29,170,304,107,414,71,26,95,196,64,266,166,64,232
LGA52450,568,492,1058,263,93,354,48,134,190,28,21,48,15,17,30,356,262,616,183,189,375,4.7,5,4.8,63,53.4,58.6,60,50.7,55.7,3,3,14,5,5,11,28,45,71,17,23,46,141,64,205,13,8,23,13,4,20,163,79,243,547,483,1033,97,82,181,384,323,709,226,210,434
LGA52520,599,498,1098,346,131,478,43,132,176,13,12,25,10,0,10,409,277,686,87,142,231,2,0.7,1.5,68.3,55.8,62.6,66.9,55.4,61.7,4,11,20,5,9,8,36,69,108,25,39,61,110,37,143,5,13,18,5,7,12,117,55,174,540,480,1023,73,63,138,375,312,691,198,191,388
LGA52590,1685,1481,3163,661,348,1012,192,345,538,81,78,162,43,27,76,983,797,1776,456,525,981,4.6,3.4,4,58.2,54,56.2,55.5,52.1,53.9,27,25,49,16,26,43,105,185,284,117,159,278,439,170,611,21,22,39,26,36,62,488,228,717,1397,1211,2605,284,283,566,923,779,1703,664,636,1303
LGA52660,5332,5772,11102,2708,1279,3990,604,1753,2354,240,207,450,163,156,317,3714,3397,7107,1344,2083,3428,4.3,4.6,4.4,69.6,58.8,64,66.6,56.2,61.2,58,74,130,47,114,156,345,675,1022,353,545,900,1780,1090,2870,100,182,282,74,145,218,1956,1417,3373,5561,5832,11397,882,950,1837,3852,3940,7792,2183,2467,4652
LGA52730,2491,2736,5230,756,450,1204,437,760,1201,97,113,204,57,44,99,1347,1361,2707,890,1104,1992,4.2,3.1,3.7,54,49.7,51.8,51.7,48.2,49.9,124,133,255,46,107,156,337,503,838,209,360,571,594,296,888,31,51,81,36,59,89,653,405,1061,2254,2443,4697,445,480,921,1508,1588,3091,1069,1203,2275
LGA52800,3850,3633,7482,1013,816,1836,228,312,537,266,265,533,76,66,141,1579,1465,3047,1611,1546,3152,4.9,4.5,4.7,41.1,40.3,40.7,39.1,38.4,38.8,80,126,206,48,89,140,261,451,706,191,204,402,727,295,1020,38,94,139,46,68,112,814,453,1266,3150,3037,6186,627,624,1245,2200,2070,4260,1312,1353,2665
LGA52870,2393,2512,4908,1020,495,1516,274,664,944,120,120,238,68,49,121,1491,1322,2816,747,1065,1814,4.6,3.6,4.2,62.3,52.7,57.4,59.4,50.8,55,52,63,114,26,73,102,171,347,521,190,258,448,690,362,1050,34,62,98,31,65,94,762,488,1248,2339,2415,4753,365,408,773,1679,1698,3378,903,997,1894
LGA52940,285,259,542,149,54,203,32,74,105,10,11,17,8,4,10,188,142,335,67,92,160,3.7,4.1,3.9,67.5,56.2,62.1,65,53.8,59.7,0,3,3,3,3,7,13,29,46,19,30,46,63,20,89,6,4,9,6,4,9,75,29,108,299,269,565,31,27,57,224,206,433,79,76,157
LGA53010,304,240,547,147,55,201,21,71,95,10,16,17,10,3,12,186,140,327,42,64,107,4.8,2.2,3.7,61.1,57.7,59.6,58.2,56.4,57.4,4,4,4,0,4,4,20,39,58,11,17,28,49,22,80,4,3,10,5,4,8,56,36,95,255,226,481,24,24,44,198,167,362,70,62,132
LGA53080,580,382,964,223,117,332,39,38,71,31,19,52,10,4,21,297,182,474,142,125,268,4.1,3.9,4,50.9,46.7,49.3,48.9,44.9,47.3,11,11,21,6,14,24,52,31,86,30,24,55,120,36,155,3,9,11,0,10,12,126,51,179,396,262,660,68,64,139,272,179,455,187,136,326
LGA53150,2935,3304,6243,1350,866,2223,488,1051,1533,71,105,175,101,79,181,2012,2098,4106,818,1091,1913,5,3.7,4.3,68.4,63.5,65.8,65,61.2,63,312,312,626,111,209,322,782,973,1754,270,313,588,395,206,598,31,36,64,45,78,125,471,314,782,2951,3227,6173,492,598,1089,2002,2172,4175,1249,1485,2732
LGA53220,14280,4766,19053,7136,2010,9147,603,459,1064,697,283,981,118,100,218,8558,2851,11407,698,812,1517,1.4,3.5,1.9,59.9,59.8,59.9,59.1,57.7,58.8,284,132,412,87,68,154,892,532,1427,721,394,1110,3968,666,4638,174,118,286,103,69,179,4245,852,5102,7891,3129,11020,2060,1167,3230,4770,1661,6430,4868,2422,7289
LGA53290,5597,5542,11133,2719,1341,4059,520,1450,1962,233,212,439,108,81,184,3573,3079,6654,1379,1927,3306,3,2.6,2.8,63.8,55.6,59.7,61.9,54.2,58.1,75,85,155,40,124,157,341,685,1018,291,476,769,1492,754,2244,78,145,221,55,104,160,1624,1001,2629,5134,5138,10271,959,954,1913,3501,3444,6949,2256,2336,4595
LGA53360,2852,2768,5615,886,581,1472,245,534,780,431,372,806,45,31,73,1608,1515,3127,1070,1087,2159,2.7,1.8,2.3,56.5,54.8,55.7,54.9,53.9,54.4,90,107,194,38,88,126,328,540,865,268,304,570,945,350,1293,22,55,75,48,70,118,1014,469,1486,2526,2382,4904,528,566,1095,1802,1669,3469,1146,1177,2320
LGA53430,13004,13976,26979,5542,3631,9168,2067,4058,6122,442,492,928,478,370,849,8527,8549,17074,3472,4576,8048,5.6,4.4,5,65.6,61.2,63.3,61.9,58.5,60.1,1325,1434,2761,363,725,1089,2733,3800,6528,1194,1344,2537,2140,1001,3143,129,164,294,183,250,432,2446,1415,3865,11694,12457,24153,2341,2637,4977,7207,7713,14923,6097,6740,12834
LGA53570,2340,2226,4565,844,498,1340,279,530,806,149,86,234,55,33,88,1322,1151,2474,839,914,1751,4.2,2.8,3.6,56.7,51.6,54.2,54.3,50.1,52.3,36,45,79,7,50,55,115,234,353,146,203,347,672,233,906,24,41,63,33,54,83,722,328,1055,2055,1944,4002,427,434,860,1514,1417,2934,864,858,1718
LGA53640,513,437,954,296,113,407,57,114,169,13,19,35,8,12,20,374,261,630,100,139,239,2.4,4.2,3.2,72.4,59.3,66.4,70.6,56.8,64.2,4,4,9,4,4,13,45,63,104,24,33,61,108,52,161,4,3,10,3,9,10,120,64,187,505,443,950,76,54,128,346,288,640,191,168,357
LGA53710,391,385,776,180,77,255,36,108,147,14,14,24,8,14,20,240,210,444,107,135,238,3.8,4.8,4.3,60.7,53.9,57.3,58.4,51.3,54.9,5,8,9,3,3,7,23,33,57,7,30,35,76,65,142,3,13,15,4,8,6,85,82,164,377,370,750,32,38,61,294,298,596,87,90,181
LGA53780,48592,49484,98071,22508,12037,34547,6998,12693,19685,1588,1523,3112,2189,2074,4259,33287,28323,61606,13013,18947,31963,6.6,7.3,6.9,68.5,57.2,62.8,64,53,58.5,2331,2403,4732,506,967,1468,5888,8097,13985,4120,4687,8804,10722,6058,16774,700,971,1668,596,1060,1658,12020,8083,20102,50575,51628,102209,7031,7135,14163,34011,34441,68447,19973,20787,40759
LGA53800,15192,16245,31434,6444,3926,10369,1792,4251,6053,598,584,1178,564,442,1006,9405,9205,18601,4386,5647,10037,6,4.8,5.4,61.9,56.6,59.2,58.2,53.9,56,267,316,583,143,392,539,908,1936,2845,938,1527,2466,4332,2394,6721,298,487,787,188,334,524,4820,3211,8030,14482,15279,29763,2554,2830,5387,9745,10096,19841,6296,7031,13333
LGA53920,1960,1919,3883,461,342,804,105,148,258,121,135,256,161,101,266,850,726,1574,782,938,1716,19,14,16.7,43.2,37.9,40.6,35,32.5,33.8,57,64,118,27,45,76,128,210,343,89,87,174,332,154,491,31,34,65,25,34,59,393,218,612,1808,1780,3590,282,323,605,1312,1312,2620,621,642,1265
LGA53990,10470,11113,21586,5206,2612,7817,1138,3198,4333,443,427,870,311,306,620,7095,6546,13636,2899,4162,7056,4.4,4.7,4.5,67.8,58.9,63.2,64.8,56.1,60.3,153,189,346,95,257,349,754,1387,2138,672,1068,1738,3426,2075,5506,194,322,510,156,264,420,3773,2663,6437,11063,11280,22338,1766,1945,3710,7418,7546,14968,4613,4999,9604
LGA54060,1671,1654,3328,547,300,853,157,365,524,87,66,159,36,32,62,829,765,1589,614,718,1336,4.1,3.7,3.9,49.3,46.2,47.8,47.3,44.5,45.9,24,19,43,10,32,47,94,153,252,85,153,238,448,186,636,27,39,61,17,22,39,494,249,743,1452,1503,2961,207,221,424,1077,1084,2157,529,585,1110
LGA54130,483,420,900,263,122,385,51,119,173,19,16,37,6,8,15,340,264,608,97,111,212,1.8,2.6,2.1,71,63.7,67.6,69.7,62.1,66.1,6,8,11,3,11,11,30,73,104,27,34,65,117,57,175,9,7,16,3,11,12,127,77,201,437,373,811,99,104,205,288,230,514,210,220,429
LGA54170,60889,65224,126111,30510,16744,47256,9114,21187,30303,1868,2370,4242,2142,1709,3850,43635,42013,85646,15668,21564,37231,4.9,4.1,4.5,71.7,64.4,67.9,68.1,61.8,64.9,3394,3062,6453,1278,2572,3842,10196,13861,24064,6352,7815,14174,15863,7377,23239,663,987,1646,856,1802,2662,17385,10163,27546,64914,67807,132719,8644,9189,17829,46443,48422,94862,23418,25005,48426
LGA54200,22142,23697,45834,10880,6104,16981,3000,6623,9620,775,859,1634,740,644,1386,15392,14234,29621,5973,8617,14588,4.8,4.5,4.7,69.5,60,64.6,66.2,57.3,61.6,823,850,1669,331,654,986,2590,3882,6473,1961,2676,4637,6268,3207,9478,315,484,802,323,585,909,6909,4278,11187,23690,24571,48262,2993,3304,6297,17240,17891,35130,8006,8655,16660
LGA54280,13179,10992,24174,7481,4088,11572,987,2406,3396,515,426,940,311,226,542,9291,7149,16441,2015,2642,4661,3.3,3.2,3.3,70.5,65,68,68.2,63,65.8,365,337,694,103,228,326,963,1368,2332,597,855,1455,3876,1526,5404,188,284,474,147,209,355,4208,2019,6238,11093,9918,21018,2833,2501,5337,6837,5856,12692,6160,5685,11844
LGA54310,13313,8585,21901,6622,2983,9605,801,1705,2502,637,430,1065,189,175,364,8254,5290,13542,1458,1835,3292,2.3,3.3,2.7,62,61.6,61.8,60.6,59.5,60.2,281,267,550,109,247,362,902,1283,2183,829,786,1612,3920,1188,5114,172,225,397,123,151,278,4215,1565,5785,9228,6953,16179,2656,2341,4997,4814,3305,8121,6275,5306,11582
LGA54340,1678,1593,3273,743,378,1120,197,370,568,68,58,122,55,47,98,1063,850,1910,430,581,1010,5,5.3,5.1,63.2,53.5,58.5,60,50.7,55.5,18,25,45,10,29,42,78,138,220,62,99,158,350,180,532,34,45,78,27,30,57,417,253,667,1537,1488,3018,258,262,519,1088,1019,2102,602,617,1219
LGA54410,482,477,964,192,92,283,45,114,153,11,19,30,17,3,18,262,229,490,160,201,363,6.1,1.3,3.9,54.3,47,50.7,51,46.3,48.7,3,13,14,0,6,6,17,49,66,23,23,41,100,58,161,4,9,12,3,15,10,110,73,183,427,429,854,49,41,97,336,340,681,111,109,225
