LGA_CODE_2021,Neg_Nil_Inc_CF_no_chldren,Neg_Nil_Inc_CFwith_chldren,Neg_Nil_Inc_OnePF,Neg_Nil_Inc_Oth_family,Neg_Nil_Inc_Total,1_149_CF_no_chldren,1_149_CFwith_chldren,1_149_One_PF,1_149_Oth_family,1_149_Total,150_299_CF_no_chldren,150_299_CFwith_chldren,150_299_OnePF,150_299_Oth_family,150_299_Total,300_399_CF_no_chldren,300_399_CFwith_chldren,300_399_OnePF,300_399_Oth_family,300_399_Total,400_499_CF_no_chldren,400_499_CFwith_chldren,400_499_OnePF,400_499_Oth_family,400_499_Total,500_649_CF_no_chldren,500_649_CFwith_chldren,500_649_OnePF,500_649_Oth_family,500_649_Total,650_799_CF_no_chldren,650_799_CFwith_chldren,650_799_OnePF,650_799_Oth_family,650_799_Total,800_999_CF_no_chldren,800_999_CFwith_chldren,800_999_OnePF,800_999_Oth_family,800_999_Total,1000_1249_CF_no_chldren,1000_1249_CFwith_chldren,1000_1249_OnePF,1000_1249_Oth_family,1000_1249_Total,1250_1499_CF_no_chldren,1250_1499_CFwith_chldren,1250_1499_OnePF,1250_1499_Oth_family,1250_1499_Total,1500_1749_CF_no_chldren,1500_1749_CFwith_chldren,1500_1749_OnePF,1500_1749_Oth_family,1500_1749_Total,1750_1999_CF_no_chldren,1750_1999_CFwith_chldren,1750_1999_OnePF,1750_1999_Oth_family,1750_1999_Total,2000_2499_CF_no_chldren,2000_2499_CFwith_chldren,2000_2499_OnePF,2000_2499_Oth_family,2000_2499_Total,2500_2999_CF_no_chldren,2500_2999_CFwith_chldren,2500_2999_OnePF,2500_2999_Oth_family,2500_2999_Total,3000_3499_CF_no_chldren,3000_3499_CFwith_chldren,3000_3499_OnePF,3000_3499_Oth_family,3000_3499_Total,3500_3999_CF_no_chldren,3500_3999_CFwith_chldren,3500_3999_OnePF,3500_3999_Oth_family,3500_3999_Total,4000orMore_CF_no_chldren,4000orMore_CFwith_chldren,4000orMore_OnePF,4000orMore_Oth_family,4000orMore_Total,Part_IncStated_CF_no_chldren,Part_IncStated_CFwith_chldren,Part_IncStated_OnePF,Part_IncStated_Oth_family,Part_IncStated_Total,All_Inc_NS_CF_no_chldren,All_Inc_NS_CFwith_chldren,All_Inc_NS_OnePF,All_Inc_NS_Oth_family,All_Inc_NS_Total,Total_CF_no_chldren,Total_CFwith_chldren,Total_OnePF,Total_Oth_family,Total_Total
LGA50840,16,4,0,0,20,10,0,0,0,14,5,0,0,0,10,7,3,4,0,15,38,0,11,0,48,25,0,10,0,37,107,4,12,0,133,74,12,21,0,98,77,15,20,0,112,65,30,18,0,111,31,27,9,0,64,48,25,5,0,77,90,78,4,0,173,49,65,3,0,116,40,57,0,0,95,25,26,0,0,43,38,53,0,0,89,53,90,23,0,168,12,3,3,0,16,798,486,152,12,1448
LGA50910,3,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,6,9,0,0,0,11,4,0,3,0,10,14,0,0,0,18,9,0,0,0,13,11,4,3,0,23,6,5,3,0,17,9,8,0,0,13,7,6,0,0,14,15,10,0,0,23,9,9,0,0,11,6,8,0,0,12,3,0,0,0,10,12,13,0,0,18,5,22,3,0,25,3,0,0,0,8,125,84,19,6,230
LGA50980,19,7,8,4,33,3,6,6,0,23,0,0,35,5,44,3,0,50,0,51,23,18,37,0,76,14,17,55,3,89,62,37,60,3,155,35,25,67,6,129,54,38,65,10,174,53,49,58,3,169,40,41,45,0,130,44,67,40,6,153,166,187,81,4,431,174,181,21,3,376,146,212,19,0,376,98,140,4,3,246,166,335,22,3,527,172,255,86,6,524,31,25,44,0,103,1298,1634,798,74,3805
LGA51080,0,0,0,0,3,0,4,0,0,3,0,0,0,0,5,0,0,0,0,3,0,0,0,0,3,0,0,3,0,3,16,0,0,0,14,7,3,7,4,19,11,6,5,0,20,11,9,4,0,25,5,4,5,0,8,7,0,4,0,15,16,15,4,0,35,13,12,0,0,21,9,3,0,0,18,0,8,0,0,9,12,16,0,0,27,8,16,9,0,31,6,7,3,0,15,128,107,44,4,277
LGA51120,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,3,0,3,23,0,0,0,27,5,4,0,0,11,4,0,0,0,8,10,4,0,0,16,6,7,8,0,21,3,3,0,0,10,6,22,0,0,27,13,4,0,0,19,12,3,0,0,15,4,5,0,0,9,15,11,0,0,24,13,21,3,0,30,0,3,0,0,3,112,94,22,5,229
LGA51190,63,7,23,0,88,22,0,3,0,27,23,5,25,0,49,15,3,59,0,77,98,11,78,8,199,87,20,183,7,292,458,45,178,13,686,293,57,215,14,584,290,119,220,12,639,329,156,166,20,668,190,159,105,19,466,237,198,90,9,537,427,391,135,13,965,296,352,56,6,710,230,311,30,3,577,117,191,13,0,316,280,412,29,5,720,252,387,133,8,792,39,18,18,6,78,3736,2834,1760,138,8470
LGA51260,71,20,19,0,106,49,3,9,0,53,33,0,17,0,58,27,0,30,5,61,137,7,65,0,220,101,17,108,4,231,577,46,178,4,796,383,60,195,11,644,515,127,211,11,860,514,218,143,6,879,264,241,93,7,607,302,239,73,7,620,576,592,119,9,1287,375,548,47,0,972,251,455,25,3,730,152,265,7,0,419,371,666,24,5,1061,399,788,135,3,1326,76,37,17,0,128,5171,4315,1497,82,11067
LGA51310,47,12,18,0,70,18,8,6,0,33,11,5,8,4,29,6,0,14,0,14,53,0,11,3,72,33,0,25,6,68,103,11,31,0,151,109,17,49,14,188,168,27,53,6,254,200,47,59,11,316,107,35,52,4,204,146,75,46,10,268,249,189,85,13,541,210,228,48,10,493,217,275,42,7,540,149,241,9,3,404,840,2521,109,12,3480,169,362,70,0,599,20,23,0,0,46,2851,4088,740,99,7774
LGA51330,268,54,82,11,416,91,19,24,4,146,68,34,50,6,162,51,37,66,3,162,227,61,132,18,442,186,90,179,18,473,858,163,222,29,1269,584,270,297,39,1183,699,489,372,58,1612,753,676,294,61,1783,492,677,232,39,1443,527,741,203,43,1514,1047,1730,361,86,3229,720,1401,170,40,2336,521,1357,126,30,2039,277,903,43,13,1243,695,2587,127,26,3438,495,1263,288,16,2070,93,41,42,7,182,8669,12600,3307,557,25130
LGA51400,30,0,3,0,44,18,4,7,0,24,14,3,11,0,32,6,0,18,0,24,42,8,36,0,92,31,8,61,0,106,196,19,61,0,277,112,33,59,4,210,139,40,87,0,264,145,101,77,4,326,93,99,64,4,259,100,102,52,0,253,237,347,80,8,674,170,319,25,3,517,137,272,17,0,433,57,181,11,3,245,178,405,11,0,598,157,428,72,0,659,28,20,9,0,54,1903,2395,761,36,5093
LGA51470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,6,0,0,0,4,3,5,3,0,7,10,0,0,0,10,4,3,0,0,12,0,3,0,0,8,14,3,0,0,12,5,4,0,0,13,5,3,0,0,8,4,0,0,0,6,4,0,0,0,0,5,0,0,0,6,9,15,0,0,22,0,0,0,0,0,83,45,13,0,135
LGA51540,6,0,0,0,8,9,0,0,0,9,0,3,10,0,10,4,0,8,0,15,15,7,11,0,33,4,4,18,5,32,55,8,25,0,87,23,14,20,0,60,27,14,21,0,65,45,13,19,0,82,23,19,9,0,48,37,23,12,0,75,56,58,15,0,131,43,51,9,0,107,36,44,3,6,86,20,25,0,0,45,44,48,4,3,96,43,63,18,0,125,15,3,8,0,28,511,408,219,22,1151
LGA51610,0,0,0,0,8,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,6,0,0,0,6,3,0,8,0,12,17,0,0,0,18,15,0,5,0,16,20,3,0,0,24,21,3,0,0,25,7,8,0,0,15,14,9,3,0,22,20,23,0,0,40,30,21,0,0,57,16,15,0,0,38,6,18,0,0,19,13,36,0,0,54,20,34,4,0,60,7,3,0,0,10,213,179,37,5,426
LGA51680,16,3,0,0,24,4,0,3,0,9,6,3,0,0,13,0,0,4,0,9,25,0,0,0,29,9,0,15,0,20,79,0,4,0,90,60,9,17,4,84,57,15,15,0,93,52,32,9,0,92,28,28,9,0,69,39,36,10,0,85,83,76,18,0,172,61,89,12,0,158,61,85,5,4,150,26,64,0,0,97,72,136,10,0,218,66,153,19,0,241,14,3,5,0,21,760,738,165,6,1669
LGA51710,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,3,0,6,0,9,3,0,0,0,3,5,3,3,0,15,3,8,4,0,14,11,6,3,0,22,5,7,3,0,20,9,20,5,0,37,10,18,0,0,34,11,22,3,0,39,5,11,0,0,17,24,31,0,0,51,13,21,0,0,35,0,0,0,0,4,116,149,34,0,295
LGA51750,13,9,12,0,31,9,3,3,0,22,3,3,5,0,12,4,0,7,0,9,13,0,15,0,28,13,3,13,0,31,37,6,13,0,59,45,6,26,3,81,48,8,25,8,93,78,18,44,4,149,55,17,24,9,105,68,20,33,7,124,116,59,43,0,221,115,56,26,0,189,79,77,26,6,185,53,75,3,3,140,345,723,45,3,1119,68,114,33,0,216,9,3,3,0,17,1186,1210,399,45,2839
LGA51820,233,41,61,5,345,85,15,38,7,142,75,13,59,6,153,58,18,115,4,192,252,31,193,12,488,199,44,308,23,578,1017,134,350,28,1531,690,188,497,38,1413,694,378,538,36,1649,793,585,463,56,1902,576,639,416,37,1659,648,756,325,27,1758,1498,2182,566,72,4318,1232,2031,247,41,3547,1020,1878,177,21,3092,631,1318,80,15,2046,1203,3393,151,25,4773,812,1732,392,14,2955,115,82,53,6,259,11831,15467,5028,484,32804
LGA51860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,14,3,0,0,14,4,4,0,0,6,9,10,0,0,19,10,4,0,0,19,4,0,0,0,5,5,3,0,0,12,10,14,0,0,20,4,7,0,0,10,0,0,0,0,9,0,4,0,0,4,3,3,0,0,10,3,14,0,0,19,0,0,0,0,0,69,77,7,0,154
LGA51890,17,4,3,0,24,0,0,0,0,5,3,0,5,0,12,10,0,15,0,28,46,0,33,0,78,31,7,43,0,78,183,23,29,3,237,74,24,48,5,154,81,39,38,0,158,99,42,41,7,187,46,44,15,3,109,61,54,13,0,124,88,102,32,0,224,68,108,19,0,202,64,92,6,0,162,25,55,0,0,80,41,105,8,0,159,68,132,28,0,239,25,7,10,4,42,1047,831,390,32,2292
LGA51960,4,0,0,0,9,3,0,0,0,3,0,0,0,0,4,0,0,6,0,7,15,4,7,0,25,6,0,12,3,19,21,3,16,3,41,10,3,15,0,36,11,12,10,0,31,12,10,9,0,33,18,8,4,0,28,12,15,10,0,30,43,39,8,0,96,18,31,5,0,55,23,41,0,0,63,11,15,8,0,34,60,58,12,0,128,38,37,13,0,89,12,3,6,0,21,318,286,130,15,753
LGA52030,9,6,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,0,0,0,13,3,0,3,0,9,25,0,4,0,30,29,0,0,0,34,11,0,0,0,16,20,3,0,0,18,3,7,0,0,13,5,3,0,0,6,17,12,0,0,31,9,14,0,0,18,9,3,0,0,13,4,0,0,0,7,16,0,0,0,20,14,13,8,0,33,6,0,0,0,12,188,69,21,3,279
LGA52100,3,0,0,0,4,3,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,0,6,17,0,3,0,18,15,3,0,0,15,9,0,0,0,12,16,4,4,0,23,7,6,0,0,14,8,5,0,0,11,24,15,0,0,34,18,13,0,0,33,8,8,0,0,15,3,7,0,0,12,12,10,0,0,23,10,22,0,0,33,3,0,0,0,3,148,99,17,3,269
LGA52170,10,0,8,0,24,8,0,4,0,11,7,0,0,4,7,0,0,0,0,5,10,4,3,0,17,8,8,4,3,20,24,3,9,0,29,27,3,17,0,48,37,0,5,6,50,38,3,11,0,54,20,10,10,0,41,42,7,11,0,65,69,32,33,5,135,68,44,9,0,123,70,43,14,0,126,53,39,5,0,99,348,638,54,3,1042,64,106,26,0,186,12,4,0,0,14,915,942,217,25,2102
LGA52240,3,0,0,0,4,0,0,0,0,0,0,4,0,0,4,3,0,0,0,5,7,0,0,0,12,0,3,0,0,6,22,0,5,0,26,14,0,4,0,15,13,10,0,0,19,14,5,0,0,20,4,9,0,0,16,7,7,0,0,21,15,14,0,3,35,6,13,0,0,15,5,3,0,0,10,3,4,0,0,16,11,15,0,0,26,6,20,4,0,33,3,0,0,0,6,134,113,21,7,272
LGA52310,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,0,0,0,7,7,5,0,0,13,0,0,0,0,8,18,0,4,0,15,10,0,3,0,18,13,9,0,0,24,13,0,3,0,21,0,5,0,0,13,10,10,0,0,23,15,4,0,0,19,10,9,0,0,23,10,7,0,0,13,0,0,0,0,0,6,6,0,0,12,18,24,0,0,44,0,0,3,0,0,143,82,29,3,249
LGA52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,4,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,18,3,3,0,24
LGA52450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,6,12,0,3,0,15,18,6,0,0,21,8,3,5,0,17,8,8,8,0,27,8,9,0,0,15,14,11,0,0,28,15,21,3,0,47,13,15,0,0,26,3,16,0,0,17,3,9,0,0,8,7,16,0,0,23,12,24,3,0,44,4,3,0,0,9,123,145,27,3,305
LGA52520,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,5,0,3,0,10,9,5,0,0,10,6,3,3,0,19,10,7,0,0,21,12,7,0,0,20,8,6,0,0,16,9,11,5,0,20,25,21,0,0,41,19,14,0,0,34,10,15,0,0,28,6,8,0,0,16,10,24,0,0,36,8,25,0,0,37,5,0,0,0,3,140,150,26,3,314
LGA52590,15,0,3,0,18,6,0,0,0,6,5,0,0,0,7,8,3,0,0,13,16,0,6,0,22,10,0,4,0,17,72,3,8,0,83,34,3,3,3,49,32,5,7,0,47,53,11,10,0,79,22,13,4,0,37,29,18,0,0,53,58,39,8,0,97,44,25,0,0,70,24,29,0,0,64,15,14,0,0,30,27,33,0,0,62,49,60,16,0,128,7,3,0,0,15,528,266,81,7,883
LGA52660,18,0,9,0,32,11,3,0,0,16,5,0,4,0,14,9,0,16,0,21,53,0,16,5,69,29,6,44,0,76,225,12,55,0,287,130,27,75,0,227,120,42,82,6,252,150,73,47,9,270,67,102,37,3,209,91,100,27,4,221,228,264,56,4,548,143,255,19,6,416,123,218,9,5,360,55,116,5,0,184,122,247,14,0,383,131,279,47,0,456,18,10,13,0,42,1719,1754,573,37,4080
LGA52730,21,0,0,0,17,10,0,0,0,6,4,0,10,0,19,7,0,4,0,8,31,0,11,0,43,19,5,27,0,52,127,3,22,0,150,76,28,20,0,117,94,29,29,0,148,73,35,18,0,129,28,41,16,0,80,52,42,4,0,96,69,59,11,0,142,53,82,5,0,141,29,45,4,0,78,21,21,0,0,39,40,70,0,0,112,88,94,31,0,209,17,3,0,0,19,837,561,214,4,1613
LGA52800,0,3,6,0,13,3,0,0,0,5,3,5,39,0,51,0,0,36,0,38,51,54,50,13,164,9,19,28,3,59,35,59,52,15,159,20,50,25,7,96,21,35,30,6,95,23,20,15,5,68,12,14,18,5,41,22,23,14,6,57,43,40,11,0,95,45,27,4,0,74,46,34,9,0,83,18,14,0,0,32,44,24,0,0,69,51,80,35,4,159,12,23,10,8,48,450,527,373,69,1424
LGA52870,18,0,0,0,26,16,0,0,0,18,3,0,3,0,10,4,0,5,0,7,36,0,14,0,60,19,4,22,0,45,114,9,19,3,147,87,12,21,3,125,70,28,19,3,124,85,34,16,0,135,44,30,13,3,88,41,37,3,0,81,75,82,16,0,176,60,81,3,0,144,56,51,3,0,113,32,35,4,0,67,68,87,0,0,152,70,105,21,0,196,14,0,3,0,25,917,603,195,18,1726
LGA52940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,0,6,14,3,5,0,21,7,0,0,0,11,9,0,3,0,21,10,6,0,0,10,5,0,0,0,4,3,0,0,0,5,13,11,0,0,20,10,9,0,0,19,0,0,0,0,3,0,7,0,0,3,4,4,0,0,9,3,23,4,0,28,9,0,3,0,5,92,70,23,0,178
LGA53010,5,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,12,4,4,3,0,9,10,7,0,0,15,8,8,0,0,10,8,6,0,0,10,6,3,0,0,19,11,5,0,0,13,4,7,0,0,14,4,0,0,0,5,0,0,0,0,0,7,6,0,0,12,5,12,0,0,18,4,0,0,0,7,88,65,5,0,161
LGA53080,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,4,0,8,11,4,4,0,19,7,0,6,0,16,5,0,0,0,5,10,0,0,0,8,0,3,0,0,6,0,0,0,0,7,6,5,0,0,7,5,3,0,0,7,4,4,0,0,4,0,0,0,0,3,6,0,0,0,3,12,9,3,0,24,0,0,4,0,11,63,27,29,5,127
LGA53150,15,0,4,0,18,8,0,0,0,8,5,0,0,0,3,0,0,4,0,6,9,0,6,0,20,13,0,15,0,29,42,0,21,0,64,29,3,19,6,56,53,9,21,4,87,79,13,24,0,118,35,16,21,0,74,47,14,19,0,81,80,66,26,3,178,57,68,15,0,136,69,81,13,0,160,35,69,0,3,109,182,522,21,0,723,52,112,23,0,188,4,4,0,0,9,812,987,259,19,2075
LGA53220,0,0,6,0,9,0,0,0,0,0,0,0,12,0,14,0,0,14,0,18,25,13,20,3,65,3,13,13,0,29,15,25,18,4,64,14,16,5,0,35,13,15,18,0,46,5,16,6,4,33,5,17,14,0,43,13,14,15,6,43,17,53,14,4,86,53,69,7,0,131,48,68,3,0,118,50,57,3,0,102,102,184,8,0,297,34,82,9,0,121,6,3,5,0,20,405,643,195,24,1264
LGA53290,24,12,12,0,43,11,3,5,0,20,3,4,10,0,22,0,4,18,0,21,25,7,37,0,71,20,14,32,6,65,153,12,35,3,200,98,16,58,3,179,115,41,42,6,201,123,73,41,10,242,73,81,24,4,177,98,86,22,0,213,212,202,44,4,466,135,151,16,7,307,107,147,11,0,264,44,74,5,0,117,142,176,11,0,327,147,260,55,0,462,30,19,13,0,58,1550,1364,482,50,3441
LGA53360,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,10,0,8,0,0,3,0,10,19,3,4,0,25,20,8,7,0,32,24,5,12,0,45,23,20,3,0,40,18,17,6,0,35,23,21,3,0,45,46,41,10,0,99,42,46,3,0,95,27,28,0,4,58,20,20,3,0,39,32,41,5,0,72,48,69,14,0,134,7,0,0,0,15,365,311,71,5,758
LGA53430,40,6,23,0,69,20,0,6,0,26,19,4,25,4,56,11,7,32,0,49,64,8,49,0,122,36,16,81,6,136,247,34,76,15,369,186,33,112,11,345,215,58,120,16,407,206,87,105,13,405,144,75,111,6,341,188,112,78,7,386,412,300,128,10,850,292,309,54,9,668,315,337,59,6,716,219,253,18,0,488,750,1094,83,4,1923,272,326,100,10,718,26,18,14,3,61,3665,3076,1276,112,8131
LGA53570,19,0,0,0,24,10,0,0,0,10,9,0,4,0,16,3,0,4,0,9,32,5,11,0,42,18,0,11,3,30,115,8,10,0,134,67,7,21,0,99,61,13,14,3,84,70,28,18,0,114,42,23,12,0,72,50,35,10,0,99,82,66,7,0,160,42,57,0,3,104,18,39,0,0,58,13,31,0,5,44,50,43,3,0,101,81,122,15,3,218,22,6,10,6,45,812,482,149,22,1459
LGA53640,0,0,0,0,3,0,0,4,0,3,0,0,0,0,0,0,0,5,0,3,3,0,0,0,8,3,0,0,0,10,11,0,0,0,13,0,12,3,0,13,14,5,6,0,24,11,16,3,0,30,0,8,3,0,10,6,5,0,0,17,23,23,3,0,47,12,11,0,0,27,12,9,0,0,24,5,9,0,0,11,11,17,0,0,32,10,29,0,0,37,7,0,0,0,7,137,145,25,3,319
LGA53710,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,4,0,4,0,0,3,0,4,19,0,3,0,24,10,6,5,0,14,8,0,3,0,10,10,11,7,0,22,7,7,3,0,15,20,11,0,0,27,14,12,0,0,26,14,8,0,0,14,5,4,0,0,13,0,4,0,0,10,7,13,0,0,21,10,19,3,0,35,8,0,0,0,5,129,93,30,6,253
LGA53780,346,65,117,15,553,85,20,28,8,141,58,34,80,8,178,65,28,160,3,262,249,96,269,22,629,210,142,415,15,777,1270,308,454,24,2056,804,489,544,56,1895,816,838,563,53,2271,903,1078,562,73,2613,578,1083,354,37,2056,612,1119,320,39,2090,1294,2572,530,91,4485,854,2010,239,55,3154,605,1634,168,25,2431,321,976,65,10,1376,472,2296,108,23,2892,654,1837,381,27,2903,150,117,86,8,363,10339,16749,5425,599,33116
