ILOC_CODE_2021,Tot_20_24_PD_GD_GCL_M,Tot_20_24_BDL_M,Tot_20_24_ADip_DipL_M,Tot_20_24_Ct_III_IV_M,Tot_20_24_Ct_I_II_M,Tot_20_24_CL_nfd_M,Tot_20_24_LoE_NS_M,Tot_20_24_Tot_M,Tot_25_34_PD_GD_GCL_M,Tot_25_34_BDL_M,Tot_25_34_ADip_DipL_M,Tot_25_34_Ct_III_IV_M,Tot_25_34_Ct_I_II_M,Tot_25_34_CL_nfd_M,Tot_25_34_LoE_NS_M,Tot_25_34_Tot_M,Tot_35_44_PD_GD_GCL_M,Tot_35_44_BDL_M,Tot_35_44_ADip_DipL_M,Tot_35_44_Ct_III_IV_M,Tot_35_44_Ct_I_II_M,Tot_35_44_CL_nfd_M,Tot_35_44_LoE_NS_M,Tot_35_44_Tot_M,Tot_45_54_PD_GD_GCL_M,Tot_45_54_BDL_M,Tot_45_54_ADip_DipL_M,Tot_45_54_Ct_III_IV_M,Tot_45_54_Ct_I_II_M,Tot_45_54_CL_nfd_M,Tot_45_54_LoE_NS_M,Tot_45_54_Tot_M,Tot_55_64_PD_GD_GCL_M,Tot_55_64_BDL_M,Tot_55_64_ADip_DipL_M,Tot_55_64_Ct_III_IV_M,Tot_55_64_Ct_I_II_M,Tot_55_64_CL_nfd_M,Tot_55_64_LoE_NS_M,Tot_55_64_Tot_M,Tot_65ov_PtgdDe_GdDp_GdCt_M,Tot_65ov_BDL_M,Tot_65ov_ADip_DipL_M,Tot_65ov_Ct_III_IV_M,Tot_65ov_Ct_I_II_M,Tot_65ov_CL_nfd_M,Tot_65ov_LoE_NS_M,Tot_65ov_Tot_M,Tot_Tot_PD_GD_GCL_M,Tot_Tot_BDL_M,Tot_Tot_ADip_DipL_M,Tot_Tot_Ct_III_IV_M,Tot_Tot_Ct_I_II_M,Tot_tot_CL_nfd_M,Tot_Tot_LoE_NS_M,Tot_Tot_Tot_M,Ind_15_19_PD_GD_GCL_F,Ind_15_19_BDL_F,Ind_15_19_ADip_DipL_F,Ind_15_19_Ct_III_IV_F,Ind_15_19_Ct_I_II_F,Ind_15_19_CL_nfd_F,Ind_15_19_LoE_NS_F,Ind_15_19_Tot_F,Ind_20_24_PD_GD_GCL_F,Ind_20_24_BDL_F,Ind_20_24_ADip_DipL_F,Ind_20_24_Ct_III_IV_F,Ind_20_24_Ct_I_II_F,Ind_20_24_CL_nfd_F,Ind_20_24_LoE_NS_F,Ind_20_24_Tot_F,Ind_25_34_PD_GD_GCL_F,Ind_25_34_BDL_F,Ind_25_34_ADip_DipL_F,Ind_25_34_Ct_III_IV_F,Ind_25_34_Ct_I_II_F,Ind_25_34_CL_nfd_F,Ind_25_34_LoE_NS_F,Ind_25_34_Tot_F,Ind_35_44_PD_GD_GCL_F,Ind_35_44_BDL_F,Ind_35_44_ADip_DipL_F,Ind_35_44_Ct_III_IV_F,Ind_35_44_Ct_I_II_F,Ind_35_44_CL_nfd_F,Ind_35_44_LoE_NS_F,Ind_35_44_Tot_F,Ind_45_54_PD_GD_GCL_F,Ind_45_54_BDL_F,Ind_45_54_ADip_DipL_F,Ind_45_54_Ct_III_IV_F,Ind_45_54_Ct_I_II_F,Ind_45_54_CL_nfd_F,Ind_45_54_LoE_NS_F,Ind_45_54_Tot_F,Ind_55_64_PD_GD_GCL_F,Ind_55_64_BDL_F,Ind_55_64_ADip_DipL_F,Ind_55_64_Ct_III_IV_F,Ind_55_64_Ct_I_II_F,Ind_55_64_CL_nfd_F,Ind_55_64_LoE_NS_F,Ind_55_64_Tot_F,Ind_65ov_PtgdDe_GdDp_GdCt_F,Ind_65ov_BDL_F,Ind_65ov_ADip_DipL_F,Ind_65ov_Ct_III_IV_F,Ind_65ov_Ct_I_II_F,Ind_65ov_CL_nfd_F,Ind_65ov_LoE_NS_F,Ind_65ov_Tot_F,Ind_Tot_PD_GD_GCL_F,Ind_Tot_BDL_F,Ind_Tot_ADip_DipL_F,Ind_Tot_Ct_III_IV_F,Ind_Tot_Ct_I_II_F,Ind_tot_CL_nfd_F,Ind_Tot_LoE_NS_F,Ind_Tot_Tot_F,NonI_15_19_PD_GD_GCL_F,NonI_15_19_BDL_F,NonI_15_19_ADip_DipL_F,NonI_15_19_Ct_III_IV_F,NonI_15_19_Ct_I_II_F,NonI_15_19_CL_nfd_F,NonI_15_19_LoE_NS_F,NonI_15_19_Tot_F,NonI_20_24_PD_GD_GCL_F,NonI_20_24_BDL_F,NonI_20_24_ADip_DipL_F,NonI_20_24_Ct_III_IV_F,NonI_20_24_Ct_I_II_F,NonI_20_24_CL_nfd_F,NonI_20_24_LoE_NS_F,NonI_20_24_Tot_F,NonI_25_34_PD_GD_GCL_F,NonI_25_34_BDL_F,NonI_25_34_ADip_DipL_F,NonI_25_34_Ct_III_IV_F,NonI_25_34_Ct_I_II_F,NonI_25_34_CL_nfd_F,NonI_25_34_LoE_NS_F,NonI_25_34_Tot_F,NonI_35_44_PD_GD_GCL_F,NonI_35_44_BDL_F,NonI_35_44_ADip_DipL_F,NonI_35_44_Ct_III_IV_F,NonI_35_44_Ct_I_II_F,NonI_35_44_CL_nfd_F,NonI_35_44_LoE_NS_F,NonI_35_44_Tot_F,NonI_45_54_PD_GD_GCL_F,NonI_45_54_BDL_F,NonI_45_54_ADip_DipL_F,NonI_45_54_Ct_III_IV_F,NonI_45_54_Ct_I_II_F,NonI_45_54_CL_nfd_F,NonI_45_54_LoE_NS_F,NonI_45_54_Tot_F,NonI_55_64_PD_GD_GCL_F,NonI_55_64_BDL_F,NonI_55_64_ADip_DipL_F,NonI_55_64_Ct_III_IV_F,NonI_55_64_Ct_I_II_F,NonI_55_64_CL_nfd_F,NonI_55_64_LoE_NS_F,NonI_55_64_Tot_F,NonI_65ov_PtgdDe_GdDp_GdCt_F,NonI_65ov_BDL_F,NonI_65ov_ADip_DipL_F,NonI_65ov_Ct_III_IV_F,NonI_65ov_Ct_I_II_F,NonI_65ov_CL_nfd_F,NonI_65ov_LoE_NS_F,NonI_65ov_Tot_F,NonI_Tot_PD_GD_GCL_F,NonI_Tot_BDL_F,NonI_Tot_ADip_DipL_F,NonI_Tot_Ct_III_IV_F,NonI_Tot_Ct_I_II_F,NonI_tot_CL_nfd_F,NonI_Tot_LoE_NS_F,NonI_Tot_Tot_F,IS_NS_15_19_PD_GD_GCL_F,IS_NS_15_19_BDL_F,IS_NS_15_19_ADip_DipL_F,IS_NS_15_19_Ct_III_IV_F,IS_NS_15_19_Ct_I_II_F,IS_NS_15_19_CL_nfd_F,IS_NS_15_19_LoE_NS_F,IS_NS_15_19_Tot_F,IS_NS_20_24_PD_GD_GCL_F,IS_NS_20_24_BDL_F,IS_NS_20_24_ADip_DipL_F,IS_NS_20_24_Ct_III_IV_F,IS_NS_20_24_Ct_I_II_F,IS_NS_20_24_CL_nfd_F,IS_NS_20_24_LoE_NS_F,IS_NS_20_24_Tot_F
ILOC50200102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,5,0,0,0,5,0,0,0,5,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50200201,0,0,0,7,0,0,21,30,0,3,0,32,0,0,56,98,5,3,0,16,0,0,32,55,0,5,7,20,0,0,30,55,0,3,5,10,0,0,13,33,0,5,0,17,0,0,28,48,3,22,17,97,6,0,179,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8,4,4,4,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,8,0,3,0,3,0,17,0,0,3,3,0,0,0,11,5,0,0,8,0,0,0,15,0,4,3,4,0,0,3,17,0,6,0,4,0,3,0,18,6,20,15,27,3,3,7,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
ILOC50200202,0,0,0,3,0,0,12,15,0,0,0,10,0,0,26,34,0,0,4,3,0,0,26,36,4,5,3,5,0,0,38,53,0,0,0,15,0,0,21,39,0,0,0,11,0,0,28,40,5,11,9,48,3,0,145,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,9,0,0,0,17,0,0,0,0,0,0,0,8,0,5,4,4,0,0,0,17,0,3,4,4,0,0,3,18,9,16,9,15,8,0,10,61,0,0,0,0,0,0,11,11,0,0,0,0,0,0,10,10
ILOC50200301,0,3,0,11,0,0,9,23,0,5,0,35,4,0,15,58,0,4,4,34,0,0,19,72,5,10,9,45,3,3,31,103,0,8,7,42,7,3,24,94,3,9,18,33,0,6,44,109,11,39,33,206,12,9,142,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,8,0,0,0,3,3,0,3,13,0,0,0,9,0,0,0,10,4,21,4,18,3,0,0,44,0,24,12,21,3,3,5,64,3,28,15,23,4,4,6,80,9,19,17,17,0,10,6,71,6,16,18,8,0,0,19,63,17,104,66,93,15,21,33,351,0,0,0,0,0,0,13,13,0,0,0,0,0,0,6,6
ILOC50200302,0,0,0,4,0,0,0,7,0,0,3,0,0,0,4,19,0,0,3,8,0,0,8,21,0,0,4,6,0,0,11,17,0,6,5,8,0,0,6,15,0,3,4,7,0,0,10,28,5,9,20,30,4,0,45,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,8,3,5,5,5,0,0,0,12,3,10,0,6,0,0,0,20,0,10,0,8,0,0,0,18,3,0,0,0,0,0,0,5,0,6,5,0,0,0,0,15,11,30,11,19,3,0,3,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
ILOC50200303,0,0,0,14,0,0,11,32,0,9,4,38,0,0,23,78,0,9,7,47,0,0,35,95,0,16,12,63,0,0,41,141,7,15,12,87,6,6,42,165,6,16,22,131,0,10,86,273,13,66,62,388,10,19,241,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,8,0,0,3,17,0,0,0,0,5,0,0,4,0,0,0,8,0,0,0,14,3,16,6,29,4,0,7,60,13,19,15,22,3,0,9,81,12,25,20,25,0,5,11,96,12,23,29,33,4,6,9,112,8,26,31,29,4,12,28,132,45,112,103,140,20,15,63,499,0,0,0,0,0,0,10,10,0,0,0,0,0,0,9,9
ILOC50200401,0,3,11,73,16,0,35,138,11,39,25,189,15,4,111,383,19,30,20,152,10,11,107,339,20,34,30,159,7,5,73,316,19,33,46,174,7,8,84,374,23,25,37,208,7,15,101,417,81,158,163,969,76,47,559,2049,0,0,0,0,3,0,4,8,0,0,4,13,3,0,8,31,3,0,5,23,4,0,4,38,0,6,7,18,0,0,3,35,0,4,3,12,0,0,4,35,0,4,7,6,3,0,7,32,3,0,5,4,0,0,4,18,10,11,38,71,21,3,38,188,0,0,4,12,3,0,0,28,0,26,18,52,28,4,3,136,20,69,46,91,23,3,7,261,29,70,47,96,23,8,8,280,23,53,54,82,12,16,6,247,18,42,57,88,8,19,27,258,6,41,48,43,10,16,79,241,98,301,281,461,112,60,132,1447,0,0,0,0,0,0,25,25,0,0,0,0,0,0,36,38
ILOC50200402,0,0,0,53,9,5,18,93,3,25,25,263,13,4,59,396,14,32,32,234,4,10,70,405,23,43,39,241,10,4,76,443,12,29,43,176,8,10,72,348,7,26,56,130,3,12,63,296,59,167,201,1116,60,48,386,2037,0,0,0,0,5,0,0,6,0,3,0,4,0,0,0,13,0,0,4,7,4,3,0,22,0,4,0,10,0,6,0,25,0,0,6,8,3,0,0,21,0,4,3,9,0,5,8,23,0,0,4,0,0,0,3,9,6,15,19,39,19,10,13,119,0,0,4,16,9,0,3,28,0,15,8,49,18,8,5,106,36,105,69,130,25,12,9,382,36,103,62,106,17,13,12,356,40,92,89,119,15,24,24,404,18,42,63,82,5,11,18,243,14,27,46,30,6,11,36,173,138,386,331,538,94,88,116,1689,0,0,0,0,0,0,20,20,0,0,0,0,0,0,17,17
ILOC50200403,3,7,8,61,24,3,30,123,7,34,22,173,7,0,50,296,14,44,47,146,11,5,60,322,20,34,50,191,0,14,89,405,18,20,53,201,7,3,71,376,9,31,43,194,3,16,93,383,76,167,212,980,67,36,417,1963,0,0,0,0,5,0,4,5,0,0,0,7,5,0,0,8,0,0,3,3,9,0,3,19,0,0,3,10,5,0,5,28,0,0,8,7,0,0,0,21,0,3,0,4,0,0,0,12,0,3,3,0,0,0,5,15,0,17,16,37,18,0,24,111,0,0,5,12,15,3,8,42,6,22,21,37,17,4,3,114,29,67,31,78,14,5,10,237,47,81,50,93,9,6,12,295,31,87,76,111,13,8,14,344,19,56,57,80,7,10,20,246,19,56,73,48,4,20,92,306,154,376,312,463,73,51,157,1583,0,0,0,0,0,0,12,12,0,0,0,0,0,0,13,13
ILOC50200404,4,9,5,89,20,3,18,145,29,67,38,286,20,8,82,522,48,105,88,255,13,9,74,592,39,96,78,241,9,9,86,557,30,56,78,201,7,19,70,460,22,55,66,221,3,16,150,534,169,388,349,1324,84,59,508,2888,0,0,0,0,7,0,12,13,0,0,0,3,5,0,0,9,0,0,8,15,4,0,3,27,0,5,0,12,3,0,3,24,0,0,3,13,5,0,0,15,0,3,6,9,6,0,0,25,0,0,3,0,0,0,11,13,0,16,19,43,17,0,29,128,0,0,0,24,22,4,3,56,4,43,24,48,26,3,3,157,63,188,86,155,23,9,10,524,80,178,106,150,14,17,12,562,65,173,80,147,23,33,22,550,47,79,91,95,16,15,27,367,28,66,78,81,8,25,142,431,289,725,474,704,126,104,219,2644,0,0,0,0,0,0,15,15,0,0,0,0,0,0,20,20
ILOC50200501,0,5,5,42,4,0,30,88,6,28,10,99,4,3,70,213,6,29,19,129,4,7,87,286,11,33,31,146,7,6,93,318,10,26,42,180,7,5,132,390,16,19,50,242,7,21,194,542,47,131,156,835,39,45,633,1892,0,0,0,0,3,0,4,4,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,3,0,0,3,7,0,5,0,10,0,3,0,4,0,0,0,9,3,3,0,5,0,0,0,8,0,0,0,0,0,0,4,7,3,5,6,18,7,5,12,46,0,0,0,8,8,0,6,23,5,4,7,26,7,3,0,54,16,49,19,64,13,3,8,162,23,79,29,61,16,3,7,224,16,56,63,67,8,3,6,227,27,30,52,59,11,14,22,215,22,46,68,47,16,21,94,312,101,274,242,338,74,51,149,1223,0,0,0,0,0,0,29,29,0,0,0,0,0,0,13,13
ILOC50200601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50200602,0,4,0,10,0,0,25,40,4,15,6,39,0,0,53,128,3,0,3,21,0,0,33,67,0,0,5,12,0,0,34,54,0,0,4,25,0,0,21,54,0,0,4,5,0,0,19,28,13,24,26,119,9,4,193,374,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,15,0,0,0,3,4,0,7,17,0,0,0,0,0,0,3,7,0,0,0,0,0,0,10,9,0,0,3,6,0,0,4,14,0,0,3,0,0,0,5,7,0,5,3,9,7,0,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,4,3,0,0,0,40,0,4,0,3,0,0,3,9,0,5,6,3,0,0,0,11,0,7,9,0,0,0,0,11,0,0,0,0,0,0,0,3,6,37,13,19,3,0,0,82,0,0,0,0,0,0,3,3,0,0,0,0,0,0,6,6
ILOC50200701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50200702,0,4,0,10,3,0,0,19,3,23,12,32,0,0,10,83,5,23,11,37,0,4,21,87,4,6,11,32,0,0,18,63,0,9,14,40,3,0,21,82,0,8,11,33,0,3,25,74,12,64,51,178,11,5,101,421,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,8,0,0,0,3,0,0,0,6,3,6,4,7,4,0,0,30,13,35,16,14,0,8,5,85,3,22,11,11,0,0,0,55,8,15,6,11,3,3,4,42,0,14,5,10,0,5,4,32,11,9,11,3,0,0,9,45,33,101,50,63,12,9,27,298,0,0,0,0,0,0,7,7,0,0,0,0,0,0,6,6
ILOC50300101,0,10,0,83,17,4,43,157,12,53,19,249,20,7,73,423,23,42,42,221,6,3,70,412,18,58,46,189,4,5,92,415,18,42,37,205,5,6,83,396,13,53,60,174,0,9,160,473,83,251,207,1146,58,46,575,2364,0,0,0,0,5,0,0,4,0,0,0,0,4,0,0,8,0,3,0,6,0,0,0,19,0,0,5,4,3,0,0,14,0,4,4,5,3,0,3,17,0,0,0,6,0,0,4,8,0,0,0,5,0,0,0,5,0,5,8,28,14,5,15,70,0,0,0,18,12,3,6,37,0,25,12,63,18,3,3,122,30,136,56,122,21,5,13,386,34,110,64,108,17,14,18,361,38,89,62,109,7,22,16,346,24,59,79,83,7,22,27,297,20,79,83,49,16,15,124,385,151,493,356,552,103,79,200,1934,0,0,0,0,0,0,24,24,0,0,0,0,0,0,25,23
ILOC50300102,0,5,7,38,10,0,30,80,8,34,17,120,12,0,43,229,7,35,23,120,3,0,40,224,11,34,29,126,3,0,88,295,7,19,26,113,0,9,66,234,10,14,39,83,0,5,82,231,37,145,144,602,26,16,357,1319,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,10,0,0,3,0,0,0,0,8,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,4,5,10,6,0,7,31,0,0,0,7,6,0,6,27,0,7,8,25,3,0,3,44,9,75,32,61,14,7,0,200,19,75,28,63,10,4,6,200,16,52,51,62,10,10,12,216,13,32,45,28,9,13,23,147,11,27,34,23,5,10,44,148,73,281,190,258,50,45,95,985,0,0,0,0,0,0,8,8,0,0,0,0,0,0,7,7
ILOC50300201,0,0,0,5,4,0,4,6,0,3,0,6,0,0,9,17,0,0,0,17,0,0,11,34,0,4,6,18,3,0,14,38,3,0,5,15,0,0,18,42,0,4,0,20,0,0,15,45,8,9,7,68,4,5,79,183,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,4,0,6,10,20,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,4,5,0,6,0,0,0,0,9,0,0,4,6,0,3,0,12,0,3,0,6,0,0,3,17,3,3,3,12,0,0,5,24,0,0,3,0,0,0,0,9,8,15,17,23,6,6,7,83,0,0,0,0,0,0,5,5,0,0,0,0,0,0,3,3
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,4,3,0,0,0,16,27,0,9,9,21,0,0,53,90,3,3,3,20,0,0,32,68,0,0,0,15,0,0,30,54,0,0,7,9,0,0,25,38,0,0,0,4,0,0,6,11,9,24,20,78,7,0,159,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,8,0,6,3,0,0,0,0,11,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,5,17,4,7,0,0,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300204,0,0,0,13,0,0,23,41,0,7,3,65,6,0,50,132,3,9,0,36,0,0,47,95,3,7,3,60,3,0,54,134,0,4,6,59,0,3,36,112,0,0,0,27,0,5,34,77,12,32,18,271,14,7,252,607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,17,0,0,0,4,3,0,0,12,0,7,4,11,5,0,0,22,9,11,9,26,3,0,7,62,5,8,16,32,7,3,6,80,0,7,14,16,0,3,17,51,4,7,6,13,0,0,3,37,0,3,0,8,0,0,6,20,19,45,46,106,21,14,36,285,0,0,0,0,0,0,25,25,0,0,0,0,0,0,26,26
ILOC50300205,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300206,0,0,0,0,0,0,0,5,0,3,3,3,0,0,6,21,0,0,0,0,0,0,0,3,0,3,0,5,0,0,18,24,0,5,7,6,0,0,7,25,0,3,3,13,0,0,17,36,4,10,10,38,0,0,59,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,0,5,0,0,0,9,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,7,0,3,0,11,0,0,5,20,0,0,3,6,0,0,3,14,8,9,11,17,0,5,9,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300301,15,53,11,257,70,12,141,556,116,266,95,902,38,22,297,1744,118,233,155,815,18,27,276,1655,81,146,118,741,14,30,246,1380,46,98,115,580,9,23,237,1102,21,60,53,346,3,16,254,759,401,852,550,3676,191,138,1541,7352,0,0,0,4,3,0,10,20,0,0,0,15,6,0,5,29,0,5,4,19,9,0,12,55,0,9,6,25,7,4,11,55,3,13,8,13,0,4,19,55,0,3,5,11,0,0,13,32,0,8,0,3,0,0,32,41,8,33,24,91,23,9,103,283,0,0,3,51,48,4,12,115,15,108,37,156,69,10,20,421,158,435,182,411,59,42,62,1349,170,363,208,327,34,30,41,1184,89,203,187,257,31,51,72,882,70,122,141,153,13,39,70,616,16,57,59,52,0,24,125,338,524,1301,821,1410,259,202,397,4902,0,0,0,0,0,0,56,56,0,0,0,0,0,0,78,86
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
