ILOC_CODE_2021,Co_LTHC_1ms_LTHC_twoc_In_ns_P,Co_LTHC_1ms_LTHC_twoc_Tot_M,Co_LTHC_1ms_LTHC_twoc_Tot_F,Co_LTHC_1ms_LTHC_twoc_Tot_P,Co_LTHC_1ms_LTHC_3oMc_Ind_M,Co_LTHC_1ms_LTHC_3oMc_Ind_F,Co_LTHC_1ms_LTHC_3oMc_Ind_P,Co_LTHC_1ms_LTHC_3oMc_NoInd_M,Co_LTHC_1ms_LTHC_3oMc_NoInd_F,Co_LTHC_1ms_LTHC_3oMc_NoInd_P,Co_LTHC_1ms_LTHC_3oMc_In_ns_M,Co_LTHC_1ms_LTHC_3oMc_In_ns_F,Co_LTHC_1ms_LTHC_3oMc_In_ns_P,Co_LTHC_1ms_LTHC_3oMc_Tot_M,Co_LTHC_1ms_LTHC_3oMc_Tot_F,Co_LTHC_1ms_LTHC_3oMc_Tot_P,Co_LTHC_1ms_LTHC_Tot_Ind_M,Co_LTHC_1ms_LTHC_Tot_Ind_F,Co_LTHC_1ms_LTHC_Tot_Ind_P,Co_LTHC_1ms_LTHC_Tot_NoInd_M,Co_LTHC_1ms_LTHC_Tot_NoInd_F,Co_LTHC_1ms_LTHC_Tot_NoInd_P,Co_LTHC_1ms_LTHC_Tot_In_ns_M,Co_LTHC_1ms_LTHC_Tot_In_ns_F,Co_LTHC_1ms_LTHC_Tot_In_ns_P,Co_LTHC_1ms_LTHC_Tot_Tot_M,Co_LTHC_1ms_LTHC_Tot_Tot_F,Co_LTHC_1ms_LTHC_Tot_Tot_P,Co_LTHC_Ns_Ind_M,Co_LTHC_Ns_Ind_F,Co_LTHC_Ns_Ind_P,Co_LTHC_Ns_NoInd_M,Co_LTHC_Ns_NoInd_F,Co_LTHC_Ns_NoInd_P,Co_LTHC_Ns_In_ns_M,Co_LTHC_Ns_In_ns_F,Co_LTHC_Ns_In_ns_P,Co_LTHC_Ns_Tot_M,Co_LTHC_Ns_Tot_F,Co_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_Tot_p_M,Tot_p_In_Tot_p_F,Tot_p_In_Tot_p_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P
ILOC50300205,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,37,35,73,0,0,0,0,0,0,37,40,77
ILOC50300206,3,22,20,44,0,0,0,17,11,30,0,0,0,16,14,31,14,18,33,76,70,149,3,8,8,100,94,186,11,4,19,15,4,14,42,38,84,69,54,119,53,44,96,201,166,359,50,51,99,294,259,555
ILOC50300301,12,474,695,1163,24,41,63,240,280,516,0,3,7,269,324,592,223,249,475,2695,2928,5626,26,17,42,2947,3199,6140,293,159,450,594,493,1088,1378,1086,2469,2267,1740,4007,1196,1032,2228,12621,11633,24257,1446,1133,2581,15266,13802,29064
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
ILOC50300401,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,3,12,15,0,0,0,0,0,0,3,4,10,3,4,10,27,37,62,0,0,0,3,4,10,33,40,69
ILOC50300402,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,13,11,21,0,0,0,0,0,0,13,14,23,3,0,6,0,0,0,3,7,10,3,3,8,63,51,117,4,0,4,3,7,10,68,57,133
ILOC50300403,0,4,7,9,0,0,0,0,0,0,0,0,0,0,0,0,3,18,24,0,0,0,0,0,0,9,18,24,0,9,9,0,0,0,0,4,5,0,7,9,55,52,112,5,4,7,0,4,5,57,62,124
ILOC50300405,0,3,0,0,3,0,5,0,0,0,0,0,0,3,0,5,12,11,22,0,0,0,0,0,0,12,11,19,0,0,0,0,0,0,6,3,13,6,8,14,43,32,79,0,0,0,6,3,13,50,44,94
ILOC50300406,0,0,3,9,0,3,3,0,0,0,0,0,0,0,3,3,8,14,19,0,0,0,0,0,0,8,14,21,11,11,16,0,0,0,5,11,17,16,17,35,59,85,136,5,7,10,5,11,17,66,99,162
ILOC50300407,0,0,4,6,5,8,11,0,0,0,0,0,0,5,8,11,7,22,30,0,0,5,0,0,0,13,18,33,3,4,9,0,0,0,6,0,4,4,4,8,50,50,97,5,10,16,6,0,4,59,51,117
ILOC50300408,0,5,6,8,0,5,4,0,0,0,0,0,0,0,4,9,16,23,37,3,0,7,0,0,0,22,24,42,8,12,17,0,0,0,10,3,12,15,15,32,79,83,158,7,8,18,10,3,12,90,96,185
ILOC50300409,0,11,17,32,3,13,11,8,8,12,0,0,0,8,23,29,30,35,65,74,42,117,0,0,4,109,79,189,3,0,7,23,5,23,346,89,435,369,100,464,95,92,184,389,153,536,349,96,446,835,336,1169
ILOC50300410,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,8,8,14,0,3,3,0,0,0,8,8,18,0,6,5,0,0,0,15,7,21,15,8,21,43,57,95,6,6,16,15,7,21,66,63,134
ILOC50300501,0,11,12,24,0,0,4,7,6,12,0,0,0,15,10,17,12,12,27,53,46,95,0,0,4,70,59,126,0,3,0,18,8,27,69,33,104,91,42,133,46,65,111,194,150,342,80,34,111,310,255,567
ILOC50300502,0,21,21,35,0,0,0,3,3,7,0,0,0,3,3,9,14,8,23,106,51,160,0,0,0,126,61,183,0,5,4,25,17,39,408,115,526,430,139,569,61,45,110,570,280,851,408,115,526,1040,450,1480
ILOC50300503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,3,3,6,0,0,0,3,16,15,0,0,0,0,0,0,0,0,0,0,0,0,22,26,47,4,11,11,0,0,0,25,35,64
ILOC50300601,0,9,16,22,0,4,4,0,0,0,0,0,0,0,4,4,24,33,52,7,8,20,0,0,0,26,43,73,20,22,39,0,0,3,9,5,18,31,26,58,206,225,431,37,30,61,9,8,16,247,264,511
ILOC50300701,0,9,10,26,13,20,28,0,0,0,0,0,0,13,18,31,26,27,56,27,18,43,0,0,0,54,45,97,5,0,8,11,3,7,117,39,161,130,45,177,63,73,141,162,75,236,117,39,161,345,189,535
ILOC50400101,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,9,11,19,10,14,29,0,0,0,25,24,45,19,12,32,7,4,4,14,13,25,31,30,65,75,59,138,83,60,145,13,13,27,171,139,306
ILOC50400102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,3,5,9,4,10,13,0,0,0,4,8,12,7,18,23,19,26,43,5,4,8,4,8,12,21,36,63
ILOC50400103,0,4,3,4,0,4,6,0,0,0,0,0,0,3,4,9,21,27,52,4,6,6,0,0,0,28,29,61,17,25,37,0,0,0,13,10,24,31,26,64,205,198,409,12,14,29,13,10,24,233,223,457
ILOC50400201,0,9,9,19,0,0,3,0,0,0,0,0,0,3,0,6,33,34,63,3,3,10,0,0,0,37,38,69,53,63,112,0,0,3,4,0,4,58,65,125,226,205,430,12,23,37,4,0,4,244,229,472
ILOC50400202,0,6,3,9,0,4,0,0,0,0,0,0,0,0,4,0,6,11,16,6,12,18,0,0,0,14,20,33,3,3,8,3,4,5,26,20,46,34,29,59,38,36,70,42,28,68,26,20,48,103,84,191
ILOC50400203,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,13,23,0,0,0,0,0,0,7,13,19,3,9,9,0,0,0,6,4,5,7,14,14,50,72,126,4,3,9,6,4,5,63,78,141
ILOC50400204,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,9,10,23,0,0,3,0,0,0,5,14,28,24,23,49,0,0,0,0,0,0,28,27,55,85,95,178,11,11,15,0,3,3,93,103,202
ILOC50400205,0,0,11,10,0,5,5,0,0,0,0,0,0,0,5,5,8,21,24,0,0,0,0,0,0,8,22,25,7,8,9,0,0,0,0,0,4,5,3,14,58,51,111,0,5,4,5,0,5,61,57,120
ILOC50400301,0,12,18,29,3,0,7,0,0,3,0,0,0,5,5,7,42,69,108,30,25,54,0,3,4,71,97,168,39,50,90,3,3,9,76,65,145,122,119,240,337,404,745,144,134,283,94,81,171,576,619,1193
ILOC50400302,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,14,27,0,0,0,0,0,0,12,11,26,18,15,36,0,0,0,0,6,6,27,17,44,122,128,253,0,0,0,6,8,19,128,140,271
ILOC50400303,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,0,0,0,3,8,8,13,16,31,0,0,0,0,0,0,12,16,32,64,73,136,0,0,0,0,0,0,67,73,140
ILOC50400401,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,15,21,37,12,4,14,0,0,0,23,30,50,43,29,70,4,0,3,6,12,21,49,40,98,182,165,349,32,13,50,10,8,22,233,194,421
ILOC50400501,0,4,8,16,0,0,3,0,0,0,0,0,0,0,0,3,35,41,70,0,0,0,0,0,0,35,41,69,19,12,27,0,0,0,13,14,22,32,24,51,163,176,343,10,15,23,13,14,22,184,198,388
ILOC50400601,0,56,77,130,4,13,15,12,17,26,0,0,0,14,28,41,73,122,191,255,286,546,3,5,8,329,411,748,66,57,128,41,36,84,341,360,703,449,458,912,522,622,1149,1313,1332,2648,360,385,745,2201,2344,4539
ILOC50400602,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,4,10,5,17,0,0,0,0,0,0,10,5,17,5,6,13,0,0,0,4,8,15,11,16,23,55,60,114,0,0,0,4,8,15,58,72,130
ILOC50400603,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,9,15,0,0,0,0,0,0,10,9,15,0,0,0,0,0,0,4,0,4,0,0,3,28,26,60,0,0,0,4,0,4,33,26,60
ILOC50400701,0,18,9,31,0,0,5,7,7,9,0,0,3,7,5,11,12,10,21,70,70,138,0,0,3,88,79,169,16,23,39,12,4,13,98,86,189,133,113,241,78,76,152,320,339,656,108,93,201,505,502,1010
ILOC50400702,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,6,14,17,10,9,15,0,0,0,14,21,36,4,5,6,3,0,5,34,21,58,45,29,71,40,42,73,68,32,96,33,24,61,141,92,234
ILOC50400801,0,10,15,32,3,10,11,6,0,6,0,0,0,8,10,16,42,42,87,35,25,60,0,0,0,73,65,145,37,26,57,4,3,13,53,47,104,96,80,168,209,234,448,113,80,201,53,50,104,377,365,745
ILOC50500101,18,455,750,1202,17,19,38,276,462,741,3,6,12,303,486,789,128,163,287,1994,2640,4633,14,39,59,2137,2842,4980,43,32,75,256,267,519,511,459,968,807,760,1569,406,426,828,5552,5942,11494,549,511,1066,6502,6885,13382
ILOC50500102,11,904,1279,2190,3,18,26,368,438,805,5,0,5,372,461,832,102,131,231,5127,6107,11230,23,18,44,5242,6256,11502,31,15,45,861,800,1665,933,660,1592,1824,1479,3304,409,454,865,25524,26252,51773,993,720,1715,26924,27426,54351
ILOC50500103,5,319,448,772,6,8,16,173,223,400,5,3,4,179,233,413,45,64,113,1444,1776,3222,12,22,32,1504,1861,3363,15,19,32,253,252,499,319,298,615,589,563,1148,194,197,392,4718,4827,9543,332,332,667,5251,5351,10604
ILOC50500104,0,265,364,628,4,12,14,94,150,248,0,0,0,99,163,260,50,67,117,1221,1523,2746,8,4,12,1279,1596,2872,20,17,35,203,179,382,335,274,604,556,464,1027,235,234,470,5110,5188,10301,354,283,638,5693,5709,11409
ILOC50500105,0,173,220,395,5,10,13,77,125,209,0,0,0,82,136,218,39,40,81,654,775,1428,0,4,5,697,816,1511,7,8,15,92,71,170,113,122,237,218,201,418,122,114,235,1985,1977,3961,122,125,244,2224,2215,4442
ILOC50500201,9,431,599,1030,3,7,13,195,278,475,0,5,4,197,298,491,57,73,130,2040,2630,4672,8,19,25,2108,2718,4828,21,13,35,289,271,563,418,318,733,726,602,1328,205,196,399,7151,7586,14740,443,350,796,7797,8135,15932
ILOC50500301,11,767,1064,1833,0,9,11,418,497,908,0,0,0,415,509,923,60,91,146,4018,4680,8696,14,21,31,4093,4786,8878,21,18,34,520,527,1049,592,448,1038,1135,989,2124,259,277,537,15376,15619,31000,641,492,1133,16283,16396,32673
ILOC50500302,5,782,1054,1833,10,19,24,350,470,821,0,0,0,356,490,849,67,94,163,4031,5054,9084,15,15,33,4114,5171,9284,16,14,30,519,488,1010,784,652,1437,1320,1153,2474,251,258,504,15942,16492,32429,826,692,1518,17012,17439,34457
ILOC50500401,3,364,464,833,6,15,17,180,274,455,0,0,0,184,287,477,62,89,149,1695,2034,3729,10,7,15,1759,2132,3892,30,6,38,295,341,638,529,397,931,854,750,1607,246,239,484,6884,6746,13626,552,421,971,7677,7405,15082
ILOC50500402,4,179,269,444,4,8,8,102,150,247,0,0,0,108,156,263,45,49,97,928,1125,2049,4,6,13,978,1178,2163,4,5,10,149,142,283,294,259,552,445,408,857,128,140,272,3976,4025,8002,308,279,585,4419,4442,8864
ILOC50500403,4,138,221,361,0,3,3,71,93,164,0,5,4,73,95,170,17,25,38,726,920,1646,4,7,12,743,953,1694,0,0,0,120,115,235,177,152,322,300,264,561,54,61,115,3449,3484,6935,185,163,349,3688,3710,7397
ILOC50500404,10,236,277,513,7,15,26,92,135,228,0,0,0,101,154,252,32,70,98,1118,1293,2412,11,4,15,1162,1365,2531,15,7,24,149,132,277,317,243,558,485,379,861,120,137,255,5149,4883,10029,345,267,611,5614,5282,10897
ILOC50500501,8,1026,1309,2334,3,9,13,460,554,1017,0,8,8,469,570,1039,53,63,119,5316,6057,11369,23,30,46,5385,6155,11541,13,14,32,668,748,1417,555,436,993,1240,1204,2442,188,190,378,22683,23604,46283,610,502,1106,23480,24290,47767
ILOC50500502,10,555,776,1334,18,16,35,273,376,652,0,7,8,298,399,694,104,148,254,3077,3707,6783,18,24,42,3198,3881,7079,24,27,51,553,495,1048,1030,822,1855,1612,1341,2952,361,426,784,17893,16875,34767,1078,872,1954,19333,18174,37503
ILOC50500503,3,203,219,415,0,0,0,88,89,177,0,0,0,89,93,180,7,10,17,1097,1203,2303,7,5,11,1116,1221,2332,0,0,3,159,144,306,119,62,182,276,209,494,33,41,76,4791,5006,9799,135,72,210,4965,5119,10083
ILOC50500601,8,598,803,1410,0,5,7,244,345,588,0,0,0,244,349,595,70,90,157,3163,3739,6904,8,19,25,3243,3846,7089,19,13,39,488,480,973,526,409,930,1038,902,1941,286,281,564,13486,13884,27372,566,446,1016,14332,14616,28953
ILOC50500602,7,541,734,1277,0,7,8,281,374,651,0,4,8,285,385,665,57,60,110,2864,3435,6299,19,18,35,2936,3510,6445,7,9,20,409,432,846,829,464,1293,1251,908,2159,189,182,372,11129,11506,22635,871,497,1367,12185,12181,24370
ILOC50500603,6,736,1101,1838,6,13,22,305,418,715,4,0,7,310,432,746,98,114,214,4496,5539,10034,20,27,46,4613,5683,10295,33,22,49,729,732,1457,714,532,1243,1468,1283,2754,400,395,794,21115,21765,42879,760,587,1342,22269,22745,45011
ILOC50500604,8,157,222,376,3,3,6,74,122,198,0,0,0,78,126,206,25,32,62,733,975,1707,8,15,20,763,1024,1791,4,4,5,109,93,200,156,123,282,273,223,495,81,91,174,2531,2673,5203,175,151,321,2784,2918,5698
ILOC50500605,6,296,472,766,3,9,15,148,176,324,0,0,4,159,190,346,47,55,106,1543,1926,3467,15,11,20,1596,1996,3590,21,9,32,223,207,426,419,344,762,655,562,1221,180,163,343,5562,6017,11585,438,362,800,6181,6549,12730
ILOC50500701,14,982,1234,2216,12,19,26,463,525,987,3,5,5,478,549,1022,98,114,206,4913,5892,10806,20,32,54,5034,6030,11069,25,14,44,716,762,1478,1082,864,1947,1824,1638,3463,301,321,621,17777,19273,37051,1144,930,2077,19226,20515,39744
ILOC50500801,4,170,210,382,3,8,6,82,101,179,0,0,5,84,109,192,39,42,77,846,967,1810,5,9,6,882,1010,1894,13,8,26,153,128,277,241,200,439,406,336,746,117,118,230,4322,4080,8402,252,211,457,4684,4405,9092
ILOC50500802,3,537,705,1245,0,0,0,233,293,525,3,0,4,236,292,532,26,42,70,3222,3711,6934,8,6,16,3260,3763,7023,342,99,439,1172,644,1814,507,357,865,2018,1101,3116,462,248,713,17725,17901,35620,544,388,933,18728,18536,37265
ILOC50500803,12,550,843,1389,17,16,30,309,465,766,0,0,0,324,475,798,119,133,252,2701,3344,6043,17,19,36,2830,3499,6326,31,33,65,428,428,854,549,526,1077,1014,985,1997,385,426,819,9499,9669,19172,594,566,1157,10477,10664,21146
ILOC50500804,0,203,299,502,0,0,3,83,128,210,0,0,4,91,131,219,34,47,81,1065,1267,2327,7,4,11,1102,1319,2422,18,15,25,157,156,315,152,134,286,335,300,630,151,133,284,4169,4242,8406,182,148,324,4500,4519,9021
ILOC50500805,3,121,162,284,0,8,12,58,79,141,0,0,0,65,93,155,27,43,68,658,700,1364,3,6,5,690,750,1437,17,27,43,104,111,220,141,113,256,264,253,516,117,125,245,2694,2475,5172,149,119,271,2967,2719,5684
ILOC50500806,4,139,144,282,3,7,7,59,106,163,0,0,0,63,113,175,25,34,60,617,695,1320,0,4,6,646,729,1381,3,9,12,106,93,195,150,148,295,268,241,504,61,83,144,2583,2452,5035,163,163,323,2806,2697,5505
ILOC50500807,4,355,468,824,7,18,27,182,258,441,0,5,5,193,284,470,58,103,154,1673,1994,3666,11,16,26,1742,2104,3844,12,8,19,333,353,679,415,334,752,762,697,1457,209,244,454,6929,6809,13735,445,365,816,7590,7410,15005
ILOC50500808,6,619,764,1386,3,16,21,278,348,626,3,0,3,285,366,649,72,116,184,2923,3429,6348,19,11,34,3014,3557,6568,14,11,22,391,384,776,443,388,827,845,781,1625,266,293,562,10978,11222,22200,480,418,905,11726,11935,23665
ILOC50500901,8,1264,1574,2839,12,9,23,477,611,1087,3,0,4,490,624,1115,83,69,152,6599,7676,14279,23,24,48,6707,7770,14478,16,14,29,966,979,1943,1015,699,1711,1988,1689,3685,283,237,516,26678,27035,53710,1092,783,1879,28046,28052,56100
