ILOC_CODE_2021,Indigenous_Aboriginal_M,Indigenous_Aboriginal_F,Indigenous_Aboriginal_P,Indigenous_Torres_Strait_Is_M,Indigenous_Torres_Strait_Is_F,Indigenous_Torres_Strait_Is_P,Indig_Bth_Abor_Torr_Strt_Is_M,Indig_Bth_Abor_Torr_Strt_Is_F,Indig_Bth_Abor_Torr_Strt_Is_P,Indigenous_TotM,Indigenous_TotF,Indigenous_TotP,Non_Indig_M,Non_Indig_F,Non_Indig_P,Indigenous_status_nsM,Indigenous_status_nsF,Indigenous_status_nsP,Tot_M,Tot_F,Tot_P
ILOC50200303,92,89,179,0,0,0,0,0,0,88,94,184,1376,1238,2611,234,192,431,1708,1522,3227
ILOC50200401,598,692,1290,6,0,7,5,5,15,609,700,1310,3304,3414,6715,551,537,1091,4462,4648,9114
ILOC50200402,459,387,846,0,4,4,16,4,20,481,400,873,3805,3725,7528,355,312,663,4634,4429,9067
ILOC50200403,354,401,761,4,0,8,0,0,4,358,408,768,3345,3471,6817,360,323,682,4065,4202,8263
ILOC50200404,364,395,759,3,6,7,8,5,14,372,407,779,5060,5496,10556,438,380,816,5876,6279,12152
ILOC50200501,159,194,353,5,3,5,0,0,5,168,196,361,3176,2955,6135,602,463,1061,3945,3611,7554
ILOC50200601,11,16,28,0,0,0,0,0,0,11,16,28,17,13,27,4,0,3,29,32,65
ILOC50200602,200,217,412,0,0,0,0,0,5,197,221,420,324,144,469,164,91,250,689,449,1141
ILOC50200701,31,36,64,0,0,0,0,0,0,35,32,70,5,3,3,0,0,0,35,34,77
ILOC50200702,93,50,138,0,0,0,0,0,0,93,50,138,575,590,1167,100,90,192,762,736,1495
ILOC50300101,254,246,504,8,4,5,3,0,5,264,248,516,4409,4568,8976,523,476,996,5198,5290,10485
ILOC50300102,82,82,166,0,3,8,0,0,0,82,91,168,2478,2231,4704,334,265,605,2897,2585,5479
ILOC50300201,41,66,107,0,0,0,0,0,0,44,65,111,283,210,498,80,81,159,407,360,763
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,12,0,15,0,0,0,0,0,0,12,0,15,226,82,315,156,42,196,397,131,529
ILOC50300204,56,69,122,3,0,5,0,5,3,59,71,128,936,861,1796,292,252,544,1284,1178,2470
ILOC50300205,37,35,73,0,0,0,0,0,0,37,35,73,0,0,0,0,0,0,37,40,77
ILOC50300206,47,37,90,0,0,0,0,4,4,53,44,96,201,166,359,50,51,99,294,259,555
ILOC50300301,1134,983,2115,25,17,43,36,34,67,1196,1032,2228,12621,11633,24257,1446,1133,2581,15266,13802,29064
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
ILOC50300401,24,37,58,0,0,0,0,0,0,27,37,62,0,0,0,3,4,10,33,40,69
ILOC50300402,63,51,117,0,0,0,0,0,0,63,51,117,4,0,4,3,7,10,68,57,133
ILOC50300403,55,52,112,0,0,0,0,0,0,55,52,112,5,4,7,0,4,5,57,62,124
ILOC50300405,43,32,79,0,0,0,0,0,0,43,32,79,0,0,0,6,3,13,50,44,94
ILOC50300406,59,85,136,0,0,0,0,0,0,59,85,136,5,7,10,5,11,17,66,99,162
ILOC50300407,50,50,97,0,0,0,0,0,0,50,50,97,5,10,16,6,0,4,59,51,117
ILOC50300408,79,83,158,0,0,0,0,0,0,79,83,158,7,8,18,10,3,12,90,96,185
ILOC50300409,95,93,180,0,0,0,0,0,3,95,92,184,389,153,536,349,96,446,835,336,1169
ILOC50300410,43,57,95,0,0,0,0,0,0,43,57,95,6,6,16,15,7,21,66,63,134
ILOC50300501,43,66,109,0,0,0,0,3,4,46,65,111,194,150,342,80,34,111,310,255,567
ILOC50300502,57,46,100,3,0,9,0,0,0,61,45,110,570,280,851,408,115,526,1040,450,1480
ILOC50300503,22,26,47,0,0,0,0,0,0,22,26,47,4,11,11,0,0,0,25,35,64
ILOC50300601,206,225,431,0,0,0,0,0,0,206,225,431,37,30,61,9,8,16,247,264,511
ILOC50300701,63,73,137,0,0,0,0,0,0,63,73,141,162,75,236,117,39,161,345,189,535
ILOC50400101,74,59,135,0,0,0,0,0,0,75,59,138,83,60,145,13,13,27,171,139,306
ILOC50400102,19,26,43,0,0,0,0,0,0,19,26,43,5,4,8,4,8,12,21,36,63
ILOC50400103,204,198,405,0,0,0,0,0,0,205,198,409,12,14,29,13,10,24,233,223,457
ILOC50400201,226,205,430,0,0,0,0,0,0,226,205,430,12,23,37,4,0,4,244,229,472
ILOC50400202,38,36,70,0,0,0,0,0,0,38,36,70,42,28,68,26,20,48,103,84,191
ILOC50400203,50,72,125,0,0,0,0,0,0,50,72,126,4,3,9,6,4,5,63,78,141
ILOC50400204,85,95,178,0,0,0,0,0,0,85,95,178,11,11,15,0,3,3,93,103,202
ILOC50400205,58,51,111,0,0,0,0,0,0,58,51,111,0,5,4,5,0,5,61,57,120
ILOC50400301,334,397,732,0,0,0,4,6,7,337,404,745,144,134,283,94,81,171,576,619,1193
ILOC50400302,122,132,249,0,0,0,0,0,0,122,128,253,0,0,0,6,8,19,128,140,271
ILOC50400303,64,73,136,0,0,0,0,0,0,64,73,136,0,0,0,0,0,0,67,73,140
ILOC50400401,182,169,349,0,0,0,0,0,0,182,165,349,32,13,50,10,8,22,233,194,421
ILOC50400501,163,176,341,0,0,0,0,0,0,163,176,343,10,15,23,13,14,22,184,198,388
ILOC50400601,497,599,1095,7,4,14,17,16,36,522,622,1149,1313,1332,2648,360,385,745,2201,2344,4539
ILOC50400602,55,60,114,0,0,0,0,0,0,55,60,114,0,0,0,4,8,15,58,72,130
ILOC50400603,28,26,55,0,0,0,0,0,0,28,26,60,0,0,0,4,0,4,33,26,60
ILOC50400701,78,76,152,0,0,0,0,0,0,78,76,152,320,339,656,108,93,201,505,502,1010
ILOC50400702,37,42,72,0,0,0,0,0,0,40,42,73,68,32,96,33,24,61,141,92,234
ILOC50400801,212,234,445,0,0,0,0,0,0,209,234,448,113,80,201,53,50,104,377,365,745
ILOC50500101,389,401,789,5,6,16,11,16,26,406,426,828,5552,5942,11494,549,511,1066,6502,6885,13382
ILOC50500102,397,434,832,7,6,12,5,10,10,409,454,865,25524,26252,51773,993,720,1715,26924,27426,54351
ILOC50500103,186,193,380,3,0,7,7,0,3,194,197,392,4718,4827,9543,332,332,667,5251,5351,10604
ILOC50500104,231,229,459,0,0,0,4,0,10,235,234,470,5110,5188,10301,354,283,638,5693,5709,11409
ILOC50500105,116,109,226,7,5,6,0,3,8,122,114,235,1985,1977,3961,122,125,244,2224,2215,4442
ILOC50500201,199,183,383,0,4,12,0,9,7,205,196,399,7151,7586,14740,443,350,796,7797,8135,15932
ILOC50500301,245,254,498,14,11,19,10,9,19,259,277,537,15376,15619,31000,641,492,1133,16283,16396,32673
ILOC50500302,225,242,464,9,3,12,19,11,28,251,258,504,15942,16492,32429,826,692,1518,17012,17439,34457
ILOC50500401,231,232,461,6,8,12,7,4,8,246,239,484,6884,6746,13626,552,421,971,7677,7405,15082
ILOC50500402,117,132,250,3,6,12,3,5,4,128,140,272,3976,4025,8002,308,279,585,4419,4442,8864
ILOC50500403,52,61,112,5,0,5,0,0,0,54,61,115,3449,3484,6935,185,163,349,3688,3710,7397
ILOC50500404,113,132,243,0,4,10,3,0,0,120,137,255,5149,4883,10029,345,267,611,5614,5282,10897
ILOC50500501,175,177,356,3,0,7,3,5,11,188,190,378,22683,23604,46283,610,502,1106,23480,24290,47767
ILOC50500502,335,400,735,10,7,17,10,18,32,361,426,784,17893,16875,34767,1078,872,1954,19333,18174,37503
ILOC50500503,33,36,72,0,0,3,0,0,0,33,41,76,4791,5006,9799,135,72,210,4965,5119,10083
ILOC50500601,282,276,554,9,0,12,0,4,3,286,281,564,13486,13884,27372,566,446,1016,14332,14616,28953
ILOC50500602,178,175,349,9,0,13,3,4,6,189,182,372,11129,11506,22635,871,497,1367,12185,12181,24370
ILOC50500603,380,378,761,8,3,7,17,6,22,400,395,794,21115,21765,42879,760,587,1342,22269,22745,45011
ILOC50500604,77,88,168,0,0,0,5,0,6,81,91,174,2531,2673,5203,175,151,321,2784,2918,5698
ILOC50500605,175,158,337,0,0,0,4,0,9,180,163,343,5562,6017,11585,438,362,800,6181,6549,12730
ILOC50500701,290,305,591,10,7,18,6,12,11,301,321,621,17777,19273,37051,1144,930,2077,19226,20515,39744
ILOC50500801,108,121,225,9,0,9,4,0,4,117,118,230,4322,4080,8402,252,211,457,4684,4405,9092
ILOC50500802,451,240,690,0,0,3,11,11,20,462,248,713,17725,17901,35620,544,388,933,18728,18536,37265
ILOC50500803,374,417,790,3,0,3,10,10,17,385,426,819,9499,9669,19172,594,566,1157,10477,10664,21146
ILOC50500804,139,125,262,9,3,14,3,3,5,151,133,284,4169,4242,8406,182,148,324,4500,4519,9021
ILOC50500805,113,117,228,5,0,6,3,8,10,117,125,245,2694,2475,5172,149,119,271,2967,2719,5684
ILOC50500806,61,83,144,0,0,0,0,0,0,61,83,144,2583,2452,5035,163,163,323,2806,2697,5505
ILOC50500807,203,238,441,3,7,13,3,6,3,209,244,454,6929,6809,13735,445,365,816,7590,7410,15005
ILOC50500808,263,289,556,0,4,7,0,0,3,266,293,562,10978,11222,22200,480,418,905,11726,11935,23665
ILOC50500901,248,209,456,18,16,34,13,17,26,283,237,516,26678,27035,53710,1092,783,1879,28046,28052,56100
ILOC50500902,402,433,827,19,11,21,9,4,12,420,447,869,49204,51185,100393,1524,1121,2646,51149,52753,103909
ILOC50501001,229,227,451,0,6,4,9,0,6,232,228,464,5936,6005,11942,323,238,565,6495,6478,12968
ILOC50501002,192,207,398,6,0,5,4,3,10,199,213,414,5534,5747,11281,292,211,502,6029,6169,12198
ILOC50501003,215,234,454,10,6,15,0,0,11,229,246,471,15754,16281,32037,601,484,1086,16582,17012,33594
ILOC50501101,454,460,911,8,7,11,15,11,25,474,475,953,8316,8289,16602,632,525,1165,9425,9295,18721
ILOC50501102,744,258,1005,15,8,15,31,7,41,782,276,1060,12716,12423,25135,556,389,948,14059,13084,27148
ILOC50501201,233,227,459,5,5,11,7,15,20,246,243,493,27076,30078,57149,944,841,1786,28268,31167,59435
ILOC50501202,189,220,413,0,5,13,8,4,8,194,238,428,21711,23178,44891,753,629,1373,22656,24040,46697
ILOC50501301,843,273,1109,15,0,16,31,0,35,888,273,1166,15774,15004,30780,751,537,1291,17414,15824,33235
ILOC50501302,212,217,423,0,0,5,0,0,0,212,217,430,3414,3628,7046,228,181,411,3856,4032,7889
ILOC50501401,260,271,524,7,3,16,4,5,13,278,282,558,27025,26168,53191,2330,1609,3939,29633,28055,57688
ILOC50501402,274,307,581,9,8,19,0,8,13,290,325,609,42658,45629,88285,1731,1616,3346,44674,47572,92244
ILOC50501501,736,794,1534,7,14,13,28,29,55,773,834,1605,20235,21039,41271,1359,1021,2386,22369,22899,45263
ILOC50501502,247,232,478,18,22,40,14,6,23,281,266,544,12452,13098,25551,900,680,1579,13633,14044,27673
ILOC50501503,665,693,1363,13,16,27,22,18,39,702,727,1432,28130,29675,57807,1645,1087,2734,30481,31487,61967
ILOC50501601,442,419,864,13,14,26,18,14,36,472,448,920,14864,15128,29997,770,557,1326,16103,16138,32242
ILOC50501701,306,283,595,3,11,13,12,10,25,327,308,631,19831,20814,40640,863,835,1696,21022,21954,42973
ILOC50501702,322,315,639,11,6,16,8,0,5,342,320,664,17205,17489,34697,1087,866,1956,18634,18683,37317
ILOC50501801,328,298,628,3,3,6,5,3,4,339,307,642,37452,40435,77887,1681,1424,3105,39469,42167,81636
ILOC50501802,301,300,605,10,6,16,9,3,12,320,313,635,24048,25617,49669,993,874,1869,25364,26807,52170
ILOC50501803,198,210,412,7,7,16,6,5,12,215,222,443,8704,8685,17387,683,564,1248,9606,9472,19078
ILOC50501804,408,527,935,10,10,20,16,15,25,431,555,984,39876,42850,82724,2010,1879,3896,42320,45286,87603
ILOC50501901,200,210,408,0,4,3,4,8,13,205,218,423,9334,9442,18775,357,301,657,9897,9960,19855
ILOC50501902,406,431,839,6,16,21,12,23,32,427,467,892,9943,9825,19764,502,413,911,10872,10701,21573
ILOC50501903,39,55,99,0,0,0,0,0,0,44,55,103,855,775,1629,68,68,139,966,896,1861
ILOC50501904,634,784,1423,19,15,38,22,20,40,676,818,1497,24717,25303,50016,1192,796,1983,26586,26917,53503
ILOC50501905,441,408,851,20,14,37,7,10,15,467,433,901,12354,13119,25470,653,546,1201,13473,14091,27568
ILOC50501906,132,88,216,3,0,3,4,0,6,138,88,224,4014,4092,8108,179,131,309,4326,4319,8645
ILOC50501907,105,121,229,3,0,6,0,0,0,114,120,232,2316,2505,4818,264,216,478,2691,2844,5532
ILOC50501908,225,236,458,6,8,10,0,8,9,237,244,476,2967,2965,5930,236,215,450,3437,3424,6859
ILOC50501909,208,201,413,0,4,7,3,0,0,215,210,424,3142,3197,6336,146,115,262,3505,3519,7019
ILOC50502001,923,1033,1950,26,30,58,29,24,50,973,1086,2061,57523,59550,117069,2246,1655,3901,60745,62290,123036
ILOC50502101,879,914,1793,31,32,60,23,29,55,935,971,1910,38905,41385,80286,2242,1664,3903,42079,44020,86103
ILOC50600102,131,130,264,0,0,0,0,4,3,136,134,269,7,10,17,3,4,3,147,146,289
ILOC50600103,77,90,171,0,0,0,0,0,0,77,90,171,8,4,14,0,0,0,86,94,180
ILOC50600104,32,41,75,0,0,0,0,0,0,32,41,75,0,3,6,0,0,0,37,43,83
ILOC50600105,50,38,93,0,0,0,0,0,0,50,38,93,42,28,73,14,7,19,107,79,179
ILOC50600106,251,257,508,16,12,28,11,8,15,275,279,556,1655,1519,3171,261,246,506,2191,2047,4239
ILOC50600107,47,46,90,0,0,0,0,0,0,47,46,90,27,17,45,8,0,6,76,66,147
ILOC50600108,48,50,99,0,0,0,0,0,0,48,50,99,10,7,21,0,0,0,60,55,117
ILOC50600109,63,47,110,0,0,0,0,0,0,63,47,110,7,4,13,0,0,0,69,57,126
ILOC50600110,36,44,87,0,0,0,0,0,0,36,44,87,3,4,9,0,0,0,43,52,90
ILOC50600111,133,49,185,4,0,7,3,0,7,145,50,195,1860,518,2384,1430,301,1735,3442,873,4312
ILOC50600112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600201,192,116,308,8,4,9,9,11,20,203,131,337,2480,1854,4333,560,251,810,3243,2238,5482
ILOC50600202,52,69,121,0,0,0,0,0,0,52,69,121,278,260,538,74,75,157,406,406,813
ILOC50600203,61,41,105,9,0,6,0,0,0,66,45,114,504,417,916,188,98,287,756,562,1319
ILOC50600204,137,136,273,6,9,17,6,7,8,145,151,300,1151,1040,2185,207,179,391,1503,1367,2874
ILOC50600301,667,700,1365,37,32,65,56,41,96,755,773,1530,6820,6167,12984,1405,1096,2500,8976,8036,17013
ILOC50600401,24,23,53,0,0,0,0,0,0,24,23,53,0,0,3,0,0,0,29,29,59
ILOC50600402,48,44,101,0,0,0,3,0,4,52,49,101,90,75,169,34,23,58,177,152,327
ILOC50600403,144,134,282,11,3,19,8,6,13,163,142,306,1767,1629,3394,290,258,546,2226,2027,4249
ILOC50600404,1055,1133,2190,66,49,113,75,81,153,1190,1266,2454,3693,3303,6993,919,681,1594,5801,5249,11046
ILOC50600405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600501,195,47,236,0,0,0,8,0,8,201,47,249,144,113,257,19,16,39,369,172,543
ILOC50600502,31,24,52,0,0,0,3,0,0,37,21,60,801,575,1377,358,135,493,1193,736,1929
ILOC50600503,52,48,102,0,0,0,0,0,0,52,50,101,13,19,35,3,0,3,68,73,139
ILOC50600504,182,185,366,0,0,0,4,3,7,185,187,374,72,68,142,20,24,49,278,279,558
ILOC50600505,143,111,250,23,11,36,0,0,0,165,126,291,759,602,1358,223,147,374,1149,871,2016
ILOC50700101,350,361,707,0,6,7,4,4,10,357,364,723,7189,8322,15517,410,425,835,7952,9117,17068
ILOC50700102,439,292,730,6,8,9,9,4,12,451,300,755,10039,9868,19908,586,449,1034,11076,10616,21691
ILOC50700201,346,321,665,9,5,7,3,4,8,355,329,679,8278,7583,15857,1001,875,1877,9634,8782,18413
ILOC50700202,17,20,40,0,0,3,0,0,0,22,24,40,373,382,753,41,36,76,433,444,869
ILOC50700203,52,35,78,0,0,0,0,0,0,50,35,85,462,462,926,73,61,136,584,554,1138
ILOC50700204,30,32,64,0,0,0,0,0,0,30,32,64,176,216,387,69,63,134,276,305,582
ILOC50700205,45,62,105,0,0,0,0,0,0,42,65,108,1026,1067,2095,110,83,198,1185,1214,2399
ILOC50700301,167,205,374,6,5,6,0,6,3,176,210,386,7466,8069,15535,464,397,857,8093,8679,16775
ILOC50700302,74,108,180,0,0,3,3,0,3,77,108,183,1854,1932,3790,77,59,132,2010,2096,4106
ILOC50700303,169,90,251,0,0,0,11,7,11,176,95,269,1911,1584,3497,109,89,201,2199,1766,3972
ILOC50700304,155,150,315,0,0,4,0,0,0,163,155,315,2066,2360,4426,196,218,417,2422,2732,5155
ILOC50700305,114,129,235,0,0,0,8,3,9,113,129,244,1220,1269,2489,131,119,246,1464,1515,2979
ILOC50700401,404,372,765,3,5,15,9,3,16,418,383,797,18108,19456,37565,1170,1011,2181,19696,20852,40544
ILOC50700501,117,116,232,0,0,0,0,0,0,120,116,232,2067,1977,4042,337,273,612,2529,2367,4893
ILOC50700502,56,42,102,0,0,0,0,0,4,55,45,100,1375,1114,2483,267,147,415,1702,1305,3005
ILOC50700601,401,399,798,3,4,10,7,5,7,410,408,815,13097,13304,26403,775,576,1354,14285,14286,28567
ILOC50700701,51,74,118,0,0,0,0,0,0,51,71,125,1086,1014,2098,126,120,252,1265,1206,2468
ILOC50700702,70,78,149,0,0,0,4,4,7,72,82,158,1922,1695,3619,255,216,474,2253,1996,4249
ILOC50700703,47,55,104,0,0,0,0,0,0,47,55,104,456,417,873,31,30,60,534,502,1037
ILOC50700801,65,58,126,3,3,5,0,0,0,77,62,134,1339,1139,2483,128,118,246,1542,1320,2862
ILOC50700802,114,145,260,0,0,0,0,0,0,115,145,261,1780,1649,3432,173,178,362,2074,1976,4053
ILOC50700901,1282,1370,2654,30,31,66,22,31,55,1341,1431,2771,42773,46793,89565,2830,2216,5040,46942,50439,97378
ILOC50701001,115,133,247,0,5,3,0,3,3,120,140,256,5175,5192,10364,566,506,1075,5855,5837,11695
ILOC50701002,144,136,286,9,11,20,0,0,0,153,152,302,4083,4055,8132,343,316,659,4574,4522,9093
ILOC50701101,222,204,424,0,4,3,6,4,12,230,212,435,7110,6767,13877,796,558,1353,8131,7537,15668
ILOC50701102,135,156,288,0,0,5,0,0,4,137,157,294,885,858,1742,133,119,252,1153,1133,2292
ILOC50701201,38,34,74,3,0,3,0,0,0,43,36,83,1055,1008,2067,123,110,230,1215,1156,2376
ILOC50701202,161,155,314,5,3,9,0,0,0,166,153,325,4511,4733,9247,359,333,688,5042,5219,10263
ILOC50701203,85,71,159,0,0,0,0,0,0,85,71,159,1878,1927,3800,159,122,280,2114,2120,4234
ILOC50701301,172,183,362,3,5,5,4,0,4,177,188,366,1922,1796,3715,228,196,425,2325,2182,4512
ILOC50701302,176,178,355,3,0,8,0,5,7,179,184,367,3984,3935,7921,480,460,944,4645,4589,9231
ILOC50701401,269,278,549,0,0,6,5,5,8,273,288,557,2625,2812,5441,353,327,679,3254,3424,6679
ILOC50701501,105,110,215,4,6,13,0,0,0,113,114,231,7532,7676,15210,732,613,1347,8385,8403,16787
ILOC50701502,83,67,149,0,0,3,0,0,0,83,73,153,3794,3875,7672,415,369,785,4292,4315,8606
ILOC50701503,430,478,908,3,5,5,11,16,23,440,498,937,14894,15540,30438,880,698,1577,16216,16740,32958
ILOC50701504,190,170,364,4,0,4,5,0,11,200,178,374,3936,3881,7823,324,287,615,4468,4347,8812
ILOC50701505,68,72,138,3,0,5,4,8,10,75,79,153,2753,2859,5612,218,173,391,3039,3112,6155
ILOC50800101,387,427,815,5,5,9,6,19,26,397,447,844,571,530,1101,346,401,746,1313,1379,2691
ILOC50800102,44,35,77,0,0,0,0,0,0,44,35,77,0,0,0,3,0,8,47,37,84
ILOC50800103,109,110,221,0,0,0,0,7,4,108,117,226,0,0,0,3,4,4,110,125,234
ILOC50800301,140,144,283,0,0,0,0,5,0,143,143,289,8,8,12,3,0,3,150,157,308
ILOC50800302,20,16,37,0,0,0,0,0,0,20,16,37,0,0,0,0,0,0,16,22,38
ILOC50800303,73,69,144,0,0,0,0,0,0,73,68,148,19,7,27,8,0,7,96,84,179
ILOC50800304,38,42,81,0,0,0,0,0,0,38,42,81,0,0,0,0,0,0,38,42,81
ILOC50800305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800306,74,87,164,0,0,0,4,3,9,78,92,167,3,3,3,0,0,0,81,96,177
ILOC50800307,112,108,219,0,0,0,0,0,0,112,108,219,8,7,12,3,0,3,117,109,231
ILOC50800308,62,51,111,0,0,0,0,0,0,62,51,111,0,4,6,0,0,0,66,58,117
ILOC50800501,65,60,119,0,0,0,0,0,0,65,60,119,4,9,10,7,15,24,77,79,153
ILOC50800502,85,128,213,0,0,0,3,3,6,84,131,219,157,156,315,23,38,65,275,328,600
ILOC50800503,15,25,45,0,0,0,0,0,0,15,25,45,3,9,9,5,4,6,27,33,66
ILOC50800504,115,93,206,0,0,0,0,0,4,111,98,209,0,0,0,10,13,20,124,107,231
ILOC50800505,94,94,180,0,0,0,0,0,0,94,94,180,4,3,8,3,0,3,97,93,191
ILOC50800506,203,212,416,0,0,0,0,0,0,203,212,416,9,11,20,0,0,0,212,227,434
ILOC50800601,19,10,30,0,0,0,0,0,0,19,10,30,4,4,0,0,0,0,19,17,35
ILOC50800602,20,26,52,0,0,0,0,0,0,23,32,50,9,15,22,5,3,8,40,44,90
ILOC50800603,196,196,393,0,0,0,0,0,0,196,196,397,0,4,6,10,3,10,206,204,412
ILOC50800604,211,66,277,0,0,0,7,4,13,222,70,287,116,99,220,59,46,101,396,211,609
ILOC50800605,40,39,79,0,0,0,0,0,0,40,39,79,0,0,0,0,0,0,40,38,82
ILOC59499494,786,677,1464,11,0,11,13,5,19,819,683,1495,3052,2281,5333,778,450,1228,4639,3416,8055
ILOC59799797,7,3,9,0,0,0,0,0,0,7,3,9,256,32,293,193,19,218,455,58,514
