ILOC_CODE_2021,ty_ur_Non_pri_dw_Ind_M,ty_ur_Non_pri_dw_Ind_F,ty_ur_Non_pri_dw_Ind_P,ty_ur_Non_pri_dw_NonInd_M,ty_ur_Non_pri_dw_NonInd_F,ty_ur_Non_pri_dw_NonInd_P,ty_ur_Non_pri_dw_IndSt_nsM,ty_ur_Non_pri_dw_IndSt_nsF,ty_ur_Non_pri_dw_IndSt_nsP,tpe_ur_Non_pvte_dwg_TotM,tpe_ur_Non_pvte_dwg_TotF,tpe_ur_Non_pvte_dwg_TotP
ILOC50300301,170,44,213,283,159,432,101,72,168,553,269,824
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300401,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300402,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300403,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300405,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300406,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300407,3,11,17,0,0,0,0,0,0,3,11,17
ILOC50300408,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300409,14,5,17,268,61,328,301,64,369,587,127,713
ILOC50300410,0,0,0,4,0,4,10,0,12,11,5,16
ILOC50300501,0,0,0,34,8,43,54,3,59,88,13,106
ILOC50300502,14,0,14,332,60,392,345,66,416,693,131,818
ILOC50300503,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300601,6,0,6,0,0,0,0,0,0,5,0,5
ILOC50300701,0,0,0,100,25,122,97,24,113,191,42,236
ILOC50400101,3,0,3,44,31,74,5,0,8,47,31,82
ILOC50400102,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50400103,0,0,0,0,5,4,0,0,0,5,5,8
ILOC50400201,0,0,0,0,4,4,0,0,0,0,4,4
ILOC50400202,7,11,25,26,15,43,19,5,22,48,36,86
ILOC50400203,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50400204,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50400205,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50400301,6,0,8,19,11,30,30,18,44,65,26,89
ILOC50400302,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50400303,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50400401,4,0,4,19,0,19,0,0,0,16,0,22
ILOC50400501,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50400601,18,21,37,57,60,117,22,26,51,100,104,207
ILOC50400602,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50400603,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50400701,0,0,3,24,6,37,15,10,27,46,18,64
ILOC50400702,0,0,0,33,10,46,20,7,23,56,16,70
ILOC50400801,0,0,0,16,0,16,22,3,29,38,8,41
ILOC50500101,0,3,3,69,105,171,6,4,16,73,119,187
ILOC50500102,0,0,0,4,10,14,0,8,9,6,15,23
ILOC50500103,0,0,0,58,72,122,4,4,3,58,71,130
ILOC50500104,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50500105,0,0,0,9,31,37,0,0,0,9,30,35
ILOC50500201,4,0,0,39,63,105,0,0,4,45,64,107
ILOC50500301,0,0,0,89,149,239,7,10,17,101,157,251
ILOC50500302,0,4,9,87,170,258,61,77,140,147,249,399
ILOC50500401,9,0,9,145,247,395,19,5,26,176,260,431
ILOC50500402,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50500403,0,11,11,0,0,0,0,9,9,0,14,14
ILOC50500404,3,3,7,36,28,63,20,9,33,61,41,102
ILOC50500501,0,6,6,102,195,301,4,10,8,108,204,309
ILOC50500502,9,4,18,139,117,250,6,6,19,158,132,287
ILOC50500503,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50500601,0,0,0,3,5,7,5,0,5,10,5,11
ILOC50500602,20,6,31,346,266,613,292,80,371,662,354,1013
ILOC50500603,8,10,8,100,202,306,4,5,8,111,210,320
ILOC50500604,0,0,0,11,17,26,0,13,11,10,28,38
ILOC50500605,0,0,0,18,3,23,63,69,132,75,73,154
ILOC50500701,11,6,21,366,396,760,159,97,249,531,492,1027
ILOC50500801,0,0,0,0,0,8,0,0,0,0,4,3
ILOC50500802,334,94,423,710,246,956,5,9,9,1042,342,1387
ILOC50500803,3,4,4,91,177,268,9,7,18,99,187,288
ILOC50500804,0,0,0,8,12,19,0,3,0,14,13,23
ILOC50500805,3,12,18,3,0,4,7,0,7,12,11,23
ILOC50500806,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50500807,4,0,0,77,108,184,7,7,8,82,110,195
ILOC50500808,0,0,0,5,0,8,4,3,5,6,4,13
ILOC50500901,13,4,14,205,273,480,43,53,96,258,331,587
ILOC50500902,0,5,5,106,280,389,15,30,50,129,314,440
ILOC50501001,0,0,0,22,39,63,0,0,0,22,39,63
ILOC50501002,0,0,0,88,74,161,3,6,10,93,75,170
ILOC50501003,16,33,49,112,153,276,13,28,42,142,218,359
ILOC50501101,9,7,11,58,96,158,0,3,5,66,107,179
ILOC50501102,494,0,495,728,6,735,0,0,0,1220,4,1227
ILOC50501201,0,0,0,128,380,504,35,49,83,160,433,591
ILOC50501202,12,20,29,261,602,866,85,106,192,356,727,1086
ILOC50501301,597,3,600,1314,102,1418,13,16,29,1926,127,2047
ILOC50501302,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50501401,39,44,87,1562,1448,3008,515,295,818,2123,1788,3910
ILOC50501402,69,72,142,865,1081,1943,224,154,378,1158,1307,2467
ILOC50501501,9,9,19,97,157,247,16,29,39,114,195,313
ILOC50501502,0,0,4,111,211,323,71,49,120,183,254,438
ILOC50501503,0,0,0,0,0,3,0,0,0,0,0,3
ILOC50501601,53,0,53,339,39,381,5,4,14,402,46,444
ILOC50501701,72,29,106,595,580,1177,49,65,112,718,679,1393
ILOC50501702,22,38,59,489,680,1172,61,50,115,574,766,1345
ILOC50501801,25,5,31,552,765,1320,84,79,168,661,856,1518
ILOC50501802,4,13,20,350,499,845,40,48,83,392,555,947
ILOC50501803,0,0,0,0,0,0,11,5,13,11,5,13
ILOC50501804,5,3,11,303,575,870,15,16,31,317,596,909
ILOC50501901,0,0,0,8,0,5,0,0,0,4,4,4
ILOC50501902,3,3,9,6,3,7,0,0,0,8,3,11
ILOC50501903,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50501904,18,145,160,186,170,357,16,5,18,217,323,540
ILOC50501905,0,0,0,39,146,190,3,7,12,47,157,199
ILOC50501906,19,9,29,172,149,322,8,0,10,199,160,355
ILOC50501907,5,4,6,110,169,276,10,7,18,123,183,297
ILOC50501908,0,0,0,13,6,20,3,0,3,11,12,21
ILOC50501909,0,0,3,0,0,0,0,4,4,3,5,7
ILOC50502001,9,10,13,199,386,583,5,9,16,212,406,618
ILOC50502101,9,8,10,162,318,484,5,16,20,178,338,512
ILOC50600102,3,4,3,0,0,3,0,0,5,8,5,9
ILOC50600103,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600104,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600105,0,0,0,5,3,7,4,0,6,10,4,11
ILOC50600106,0,0,0,46,16,61,21,3,30,72,23,94
ILOC50600107,0,0,0,9,0,12,0,0,0,11,0,10
ILOC50600108,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600109,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600110,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600111,122,37,156,1785,470,2252,1408,300,1711,3312,802,4113
ILOC50600112,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600201,78,33,109,925,380,1308,361,99,466,1363,509,1874
ILOC50600202,0,0,0,8,10,16,11,17,27,17,26,43
ILOC50600203,6,7,11,90,37,126,114,44,153,208,85,297
ILOC50600204,0,0,3,29,17,43,23,7,32,56,26,80
ILOC50600301,14,9,19,190,41,228,186,27,216,388,81,462
ILOC50600401,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600402,0,0,0,12,3,14,3,6,8,13,5,21
ILOC50600403,0,0,0,32,36,68,58,38,97,89,74,162
ILOC50600404,19,29,49,123,25,148,173,30,210,319,81,400
ILOC50600405,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600501,159,14,172,31,5,36,0,0,0,193,14,207
ILOC50600502,6,0,8,191,39,225,291,65,352,490,102,593
ILOC50600503,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600504,9,9,15,3,4,5,0,0,0,17,7,22
ILOC50600505,7,0,8,80,16,103,65,10,78,160,29,192
ILOC50700101,9,8,9,217,324,539,14,14,28,239,347,582
ILOC50700102,137,3,137,211,25,232,36,14,48,382,42,423
ILOC50700201,3,3,7,408,69,473,13,11,21,426,81,505
ILOC50700202,0,0,0,5,4,12,0,0,0,7,4,10
ILOC50700203,3,3,7,20,18,40,0,0,3,21,26,48
ILOC50700204,0,0,0,3,10,12,3,4,6,3,12,16
ILOC50700205,0,0,0,12,38,52,0,0,4,18,38,56
ILOC50700301,3,4,11,122,160,285,18,27,39,143,189,329
ILOC50700302,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50700303,109,0,109,414,19,431,5,0,6,522,18,540
ILOC50700304,0,0,0,24,65,91,5,8,9,22,75,97
ILOC50700305,0,0,0,0,0,0,0,0,0,0,0,3
ILOC50700401,6,3,8,171,261,431,22,27,43,191,293,488
ILOC50700501,0,3,3,32,46,77,25,17,43,62,63,126
ILOC50700502,4,0,7,154,43,195,102,16,118,262,58,321
ILOC50700601,6,5,11,55,65,121,15,3,19,71,75,143
ILOC50700701,0,6,6,20,36,60,0,0,0,27,42,68
ILOC50700702,3,3,3,42,24,65,22,6,29,63,34,98
ILOC50700703,0,0,0,3,0,3,0,0,0,3,0,3
ILOC50700801,0,0,0,12,14,21,0,0,0,8,15,22
ILOC50700802,0,0,0,8,14,26,0,7,7,10,17,29
ILOC50700901,19,23,44,257,517,774,31,42,72,308,583,889
ILOC50701001,10,0,10,144,92,238,0,14,12,155,102,257
ILOC50701002,3,3,9,69,77,144,15,8,20,82,82,171
ILOC50701101,38,30,65,117,85,207,67,24,90,218,140,359
ILOC50701102,3,0,5,33,37,62,5,0,9,42,33,76
ILOC50701201,3,0,5,29,21,53,0,0,0,34,20,57
ILOC50701202,0,0,0,27,41,69,0,0,0,27,41,64
ILOC50701203,0,0,0,39,32,67,18,8,26,60,37,93
ILOC50701301,0,0,0,16,29,40,4,0,9,20,31,57
ILOC50701302,3,3,10,106,109,218,14,11,20,118,126,250
ILOC50701401,6,3,11,50,50,102,23,21,45,79,78,154
ILOC50701501,0,0,0,79,74,157,11,5,22,92,86,179
ILOC50701502,0,0,0,56,33,92,14,8,21,71,45,116
ILOC50701503,0,0,3,40,70,107,28,49,82,74,129,197
ILOC50701504,0,6,8,28,42,66,5,0,3,31,51,81
ILOC50701505,0,0,0,32,45,78,5,7,11,38,47,86
ILOC50800101,17,32,52,32,17,51,10,3,13,60,53,110
ILOC50800102,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800103,4,0,4,0,0,0,0,0,0,4,0,4
ILOC50800301,0,0,0,0,0,5,0,0,0,0,0,5
ILOC50800302,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800303,0,0,0,3,0,4,0,0,0,3,0,4
ILOC50800304,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800305,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800306,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800307,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800308,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800501,10,7,20,0,0,0,5,0,5,16,7,24
ILOC50800502,0,7,9,30,18,42,9,10,23,43,38,72
ILOC50800503,0,0,0,0,0,3,0,0,0,0,0,3
ILOC50800504,0,3,4,0,0,0,0,0,0,5,3,6
ILOC50800505,0,0,0,0,0,0,3,0,3,0,0,0
ILOC50800506,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800601,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800602,0,0,0,0,0,10,5,0,3,3,3,11
ILOC50800603,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50800604,173,32,203,33,26,55,40,24,63,244,80,322
ILOC50800605,0,0,0,0,0,0,0,0,0,0,0,0
ILOC59499494,0,0,0,0,0,0,0,0,0,0,0,0
ILOC59799797,0,0,0,0,0,0,0,0,0,0,0,0
