ILOC_CODE_2021,Emp_Worked_FT_A_15_24_y_M,Emp_Worked_FT_A_25_34_y_M,Emp_Worked_FT_A_35_44_y_M,Emp_Worked_FT_A_45_54_y_M,Emp_Worked_FT_A_55_64_y_M,Emp_Worked_FT_A_65_and_over_M,Emp_Worked_FT_Tot_M,Emp_Worked_PT_A_15_24_y_M,Emp_Worked_PT_A_25_34_y_M,Emp_Worked_PT_A_35_44_y_M,Emp_Worked_PT_A_45_54_y_M,Emp_Worked_PT_A_55_64_y_M,Emp_Worked_PT_A_65_and_over_M,Emp_Worked_PT_Tot_M,EAfW_A_15_24_y_M,EAfW_A_25_34_y_M,EAfW_A_35_44_y_M,EAfW_A_45_54_y_M,EAfW_A_55_64_y_M,EAfW_A_65_over_M,EAfW_Tot_M,Emp_Tot_Age_15_24_y_M,Emp_Tot_Age_25_34_y_M,Emp_Tot_Age_35_44_y_M,Emp_Tot_Age_45_54_y_M,Emp_Tot_Age_55_64_y_M,Emp_Tot_A_65_over_M,Emp_Tot_Tot_M,Unemp_A_15_24_y_M,Unemp_A_25_34_y_M,Unemp_A_35_44_y_M,Unemp_A_45_54_y_M,Unemp_A_55_64_y_M,Unemp_A_65_over_M,Unemp_Tot_M,Tot_LF_Ag_15_24_y_M,Tot_LF_Ag_25_34_y_M,Tot_LF_Ag_35_44_y_M,Tot_LF_Ag_45_54_y_M,Tot_LF_Ag_55_64_y_M,Tot_LF_Ag_65_and_over_M,Tot_LF_Tot_M,Not_in_LF_Age_15_24_y_M,Not_in_LF_Age_25_34_y_M,Not_in_LF_Age_35_44_y_M,Not_in_LF_Age_45_54_y_M,Not_in_LF_Age_55_64_y_M,Not_in_LF_A_65and_over_M,Not_In_LF_Tot_M,LF_stat_NS_A_15_24_y_M,LF_stat_NS_A_25_34_y_M,LF_stat_NS_A_35_44_y_M,LF_stat_NS_A_45_54_y_M,LF_stat_NS_A_55_64_y_M,LF_stat_NS_A_65and_over_M,LF_status_NS_Tot_M,Tot_Age_15_24_y_M,Tot_Age_25_34_y_M,Tot_Age_35_44_y_M,Tot_Age_45_54_y_M,Tot_Age_55_64_y_M,Tot_A_65_and_over_M,Tot_Tot_M,Emp_Worked_FT_A_15_24_y_F,Emp_Worked_FT_A_25_34_y_F,Emp_Worked_FT_A_35_44_y_F,Emp_Worked_FT_A_45_54_y_F,Emp_Worked_FT_A_55_64_y_F,Emp_Worked_FT_A_65_and_over_F,Emp_Worked_FT_Tot_F,Emp_Worked_PT_A_15_24_y_F,Emp_Worked_PT_A_25_34_y_F,Emp_Worked_PT_A_35_44_y_F,Emp_Worked_PT_A_45_54_y_F,Emp_Worked_PT_A_55_64_y_F,Emp_Worked_PT_A_65_and_over_F,Emp_Worked_PT_Tot_F,EAfW_A_15_24_y_F,EAfW_A_25_34_y_F,EAfW_A_35_44_y_F,EAfW_A_45_54_y_F,EAfW_A_55_64_y_F,EAfW_A_65_over_F,EAfW_Tot_F,Emp_Tot_Age_15_24_y_F,Emp_Tot_Age_25_34_y_F,Emp_Tot_Age_35_44_y_F,Emp_Tot_Age_45_54_y_F,Emp_Tot_Age_55_64_y_F,Emp_Tot_A_65_over_F,Emp_Tot_Tot_F,Unemp_A_15_24_y_F,Unemp_A_25_34_y_F,Unemp_A_35_44_y_F,Unemp_A_45_54_y_F,Unemp_A_55_64_y_F,Unemp_A_65_over_F,Unemp_Tot_F,Tot_LF_Ag_15_24_y_F,Tot_LF_Ag_25_34_y_F,Tot_LF_Ag_35_44_y_F,Tot_LF_Ag_45_54_y_F,Tot_LF_Ag_55_64_y_F,Tot_LF_Ag_65_and_over_F,Tot_LF_Tot_F,Not_in_LF_Age_15_24_y_F,Not_in_LF_Age_25_34_y_F,Not_in_LF_Age_35_44_y_F,Not_in_LF_Age_45_54_y_F,Not_in_LF_Age_55_64_y_F,Not_in_LF_A_65and_over_F,Not_In_LF_Tot_F,LF_stat_NS_A_15_24_y_F,LF_stat_NS_A_25_34_y_F,LF_stat_NS_A_35_44_y_F,LF_stat_NS_A_45_54_y_F,LF_stat_NS_A_55_64_y_F,LF_stat_NS_A_65and_over_F,LF_status_NS_Tot_F,Tot_Age_15_24_y_F,Tot_Age_25_34_y_F,Tot_Age_35_44_y_F,Tot_Age_45_54_y_F,Tot_Age_55_64_y_F,Tot_A_65_and_over_F,Tot_Tot_F,Emp_Worked_FT_A_15_24_y_P,Emp_Worked_FT_A_25_34_y_P,Emp_Worked_FT_A_35_44_y_P,Emp_Worked_FT_A_45_54_y_P,Emp_Worked_FT_A_55_64_y_P,Emp_Worked_FT_A_65_and_over_P,Emp_Worked_FT_Tot_P,Emp_Worked_PT_A_15_24_y_P,Emp_Worked_PT_A_25_34_y_P,Emp_Worked_PT_A_35_44_y_P,Emp_Worked_PT_A_45_54_y_P,Emp_Worked_PT_A_55_64_y_P,Emp_Worked_PT_A_65_and_over_P,Emp_Worked_PT_Tot_P,EAfW_A_15_24_y_P,EAfW_A_25_34_y_P,EAfW_A_35_44_y_P,EAfW_A_45_54_y_P,EAfW_A_55_64_y_P,EAfW_A_65_over_P,EAfW_Tot_P,Emp_Tot_Age_15_24_y_P,Emp_Tot_Age_25_34_y_P,Emp_Tot_Age_35_44_y_P,Emp_Tot_Age_45_54_y_P,Emp_Tot_Age_55_64_y_P,Emp_Tot_A_65_over_P,Emp_Tot_Tot_P,Unemp_A_15_24_y_P,Unemp_A_25_34_y_P,Unemp_A_35_44_y_P,Unemp_A_45_54_y_P,Unemp_A_55_64_y_P,Unemp_A_65_over_P,Unemp_Tot_P,Tot_LF_Ag_15_24_y_P,Tot_LF_Ag_25_34_y_P,Tot_LF_Ag_35_44_y_P,Tot_LF_Ag_45_54_y_P,Tot_LF_Ag_55_64_y_P,Tot_LF_Ag_65_and_over_P,Tot_LF_Tot_P,Not_in_LF_Age_15_24_y_P,Not_in_LF_Age_25_34_y_P,Not_in_LF_Age_35_44_y_P,Not_in_LF_Age_45_54_y_P,Not_in_LF_Age_55_64_y_P,Not_in_LF_A_65and_over_P,Not_In_LF_Tot_P,LF_stat_NS_A_15_24_y_P,LF_stat_NS_A_25_34_y_P,LF_stat_NS_A_35_44_y_P,LF_stat_NS_A_45_54_y_P,LF_stat_NS_A_55_64_y_P,LF_stat_NS_A_65and_over_P,LF_status_NS_Tot_P,Tot_Age_15_24_y_P,Tot_Age_25_34_y_P,Tot_Age_35_44_y_P,Tot_Age_45_54_y_P,Tot_Age_55_64_y_P,Tot_A_65_and_over_P,Tot_Tot_P
ILOC50200102,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,6,3,5,0,0,0,0,14,5,5,0,4,3,7,31,0,0,0,0,0,0,0,12,10,3,3,6,4,39,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,3,0,4,3,0,0,0,7,9,8,5,13,4,0,41,0,0,0,0,0,0,0,7,10,4,19,4,3,51,0,0,0,0,0,0,7,0,0,3,0,0,0,5,0,0,0,0,0,0,0,4,4,3,0,0,0,8,0,5,0,0,0,0,15,5,3,3,3,0,0,25,16,18,3,21,8,10,69,0,0,0,0,0,0,0,17,22,10,20,12,5,94
ILOC50200201,0,4,0,10,3,0,18,0,0,0,6,0,0,3,0,3,0,0,0,0,6,3,3,0,10,3,0,24,0,6,0,0,0,0,6,3,7,0,10,3,0,27,3,4,4,6,0,3,24,0,0,0,0,0,0,4,10,10,3,17,3,3,51,0,3,0,3,0,0,6,0,0,0,4,0,0,5,0,0,0,0,0,0,0,3,3,0,7,0,0,16,0,0,0,0,0,0,4,3,5,0,6,0,0,15,5,6,0,3,3,5,21,0,0,0,0,0,0,0,5,7,0,13,6,5,40,0,8,0,15,3,0,24,4,0,0,9,3,0,10,0,3,0,0,0,0,6,0,5,3,20,6,0,37,0,3,0,0,0,0,8,0,8,3,20,6,0,47,8,9,4,9,4,3,40,0,0,0,0,0,0,4,12,22,5,32,8,9,85
ILOC50200202,0,0,0,0,0,0,8,4,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,4,0,13,0,0,0,0,0,0,0,4,0,0,0,4,0,9,0,3,0,0,0,4,16,0,0,0,0,0,0,0,0,8,0,0,3,4,19,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,4,5,0,9,0,0,0,0,0,0,0,0,0,5,4,5,0,9,0,0,6,0,0,0,9,0,0,0,0,0,0,0,3,0,9,7,4,0,20,0,0,3,0,4,0,9,4,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,7,4,4,0,23,0,0,0,0,0,0,0,0,0,7,4,4,0,21,3,3,6,0,8,6,21,0,0,0,0,0,0,0,8,8,9,8,9,6,47
ILOC50200301,0,3,0,5,0,0,10,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,5,4,0,16,0,0,0,0,0,0,0,0,3,0,5,4,0,16,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,3,0,5,4,3,17,0,0,0,5,0,0,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,0,0,13,0,0,0,0,0,0,0,3,3,0,5,0,0,13,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,9,0,8,3,0,23,4,4,0,7,4,0,20,0,5,0,0,0,0,9,0,0,0,0,0,0,0,4,4,6,4,3,0,28,0,0,0,0,0,0,0,4,4,3,4,3,0,25,3,0,0,4,4,0,16,0,0,0,0,0,0,0,7,7,3,8,6,3,38
ILOC50200302,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,6,3,0,0,3,3,0,13,0,6,4,0,6,8,20,0,0,0,0,0,0,0,5,8,4,3,6,5,31,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,3,3,0,10,4,3,0,5,5,6,24,0,0,0,0,0,0,0,8,3,3,7,9,6,37,0,0,0,0,4,0,5,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,9,0,14,3,0,0,0,0,0,8,4,0,0,6,9,0,19,7,4,5,9,5,10,47,0,0,0,0,0,0,0,15,8,9,11,12,11,73
ILOC50200303,0,6,4,0,5,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,5,0,16,3,0,0,0,0,0,12,4,11,4,3,5,0,29,12,3,0,6,9,10,35,0,0,0,0,0,0,0,14,13,6,12,10,6,57,0,0,0,0,0,0,6,3,4,4,0,0,0,9,0,0,0,0,0,0,0,4,3,7,3,6,3,23,0,0,0,0,0,0,0,4,5,7,3,6,3,20,9,4,4,3,4,10,32,0,0,0,0,0,0,0,11,6,8,7,9,14,54,3,9,0,0,3,0,24,3,3,7,0,0,0,17,0,0,0,5,0,0,3,6,12,3,3,4,3,39,3,8,0,5,0,0,14,8,14,3,7,4,3,49,14,3,9,13,12,14,67,4,0,0,0,0,0,6,27,18,19,22,12,20,121
ILOC50200401,11,19,20,9,10,0,62,9,7,9,3,8,0,31,5,10,0,0,0,0,15,23,33,23,16,19,5,115,24,10,15,9,4,0,60,48,43,35,27,22,5,174,65,22,28,25,29,25,186,4,0,5,0,0,0,20,114,67,68,55,47,34,381,12,10,13,13,6,0,58,19,13,12,14,9,0,73,3,3,4,0,0,0,18,40,31,33,31,18,0,149,16,5,3,4,6,0,40,54,39,34,39,17,0,186,62,51,37,36,36,45,270,4,4,3,6,5,3,28,124,95,73,75,64,54,483,20,31,30,25,13,5,123,31,21,19,22,15,0,107,9,13,3,4,0,0,33,62,65,52,48,33,7,268,36,19,19,15,9,0,98,99,82,71,60,39,7,362,124,70,62,62,64,73,458,12,8,10,8,5,5,43,234,162,138,127,109,89,862
ILOC50200402,12,24,14,23,11,0,81,5,3,3,6,0,0,17,0,3,5,5,0,0,13,22,25,19,34,14,0,109,5,4,3,0,5,0,22,26,31,23,31,14,0,125,49,54,49,25,10,13,205,0,0,0,0,0,5,5,69,88,72,62,26,13,334,9,15,15,10,15,5,58,17,7,10,9,9,4,60,0,3,3,3,4,0,11,24,21,26,26,25,6,132,7,4,6,0,0,0,17,33,26,31,28,25,6,145,33,20,10,11,17,23,108,0,0,0,0,0,0,5,65,48,44,36,40,29,269,19,36,25,36,24,5,139,22,11,13,15,12,4,74,3,4,7,6,8,0,29,43,51,41,55,39,6,245,12,10,6,6,5,0,33,60,58,49,60,41,6,277,82,72,60,37,24,33,309,0,0,3,0,3,6,13,134,138,113,98,70,46,602
ILOC50200403,7,15,14,12,9,0,58,5,5,0,3,0,3,21,3,3,3,0,0,0,6,23,22,16,11,10,3,88,11,8,3,3,0,0,25,32,26,21,13,11,3,110,34,17,3,20,15,20,101,9,3,5,0,0,6,24,68,51,27,35,24,28,235,9,5,16,10,7,0,52,20,11,13,11,9,0,63,0,0,4,0,0,0,9,28,17,32,18,18,0,116,3,0,0,0,0,0,13,31,15,32,23,18,0,128,34,34,14,15,19,20,139,0,0,3,0,4,3,19,73,54,47,39,42,29,284,20,23,28,18,12,5,111,26,16,12,13,9,5,80,5,3,4,0,0,0,14,49,41,46,36,29,6,204,11,6,4,9,3,0,34,59,42,57,44,28,11,241,69,48,13,32,30,39,238,9,3,9,5,6,8,41,140,103,77,74,66,56,517
ILOC50200404,13,24,18,12,11,3,82,16,0,0,4,4,4,27,3,3,3,4,0,0,10,32,24,19,15,18,4,121,5,7,0,0,0,0,19,38,34,19,21,14,4,139,30,8,8,8,8,25,94,0,0,0,0,0,4,11,69,40,33,35,30,31,235,5,9,16,11,10,0,53,12,6,15,5,0,0,48,5,5,0,4,0,0,11,23,23,24,17,17,0,108,4,5,5,3,6,5,21,32,28,30,24,15,4,133,36,17,17,15,16,34,134,4,0,0,0,3,0,13,74,44,44,38,35,41,281,22,29,35,21,19,3,134,28,15,12,11,5,4,68,7,5,3,8,3,0,28,55,49,48,39,25,4,231,13,13,5,10,7,5,37,65,62,51,41,39,8,267,62,21,26,26,26,53,222,10,0,0,5,5,9,26,142,88,83,73,67,68,518
ILOC50200501,6,7,12,7,7,0,42,3,0,0,0,9,0,11,0,5,5,0,0,0,8,13,7,15,7,15,0,63,10,5,0,0,0,0,13,20,10,15,7,15,0,72,15,3,5,8,4,9,41,0,0,0,0,0,0,9,33,17,20,14,23,17,125,3,0,6,0,4,0,12,5,0,8,6,9,4,32,0,0,0,0,3,0,3,12,4,10,8,10,5,54,0,0,4,0,0,0,12,10,8,18,10,14,3,60,23,12,7,4,11,15,75,0,0,0,0,0,3,4,39,17,20,13,27,20,138,8,6,18,10,8,0,59,9,4,4,6,15,4,39,0,3,5,0,3,0,13,25,16,29,19,29,4,109,12,0,4,0,4,0,23,33,18,33,21,31,3,138,33,15,10,11,22,27,120,0,0,0,0,0,8,10,69,37,45,25,52,38,264
ILOC50200601,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,7,3,0,0,0,0,0,7,0,0,0,0,0,0,0,3,4,8,0,0,0,15
ILOC50200602,0,4,3,3,7,0,23,3,0,0,0,0,0,3,0,0,0,4,6,0,7,3,6,3,8,11,0,32,3,4,0,0,3,0,11,11,9,3,8,13,0,37,21,13,7,6,6,6,74,7,9,0,3,0,3,21,39,30,18,14,28,10,136,0,7,4,9,5,0,22,3,0,0,4,3,0,11,9,0,0,0,0,0,8,7,3,7,6,7,4,40,4,6,0,0,0,4,14,14,6,7,6,4,7,53,33,15,20,13,9,11,94,4,5,3,7,5,0,28,52,29,22,27,24,20,167,3,6,6,10,11,5,39,3,0,0,4,3,0,12,8,0,0,4,6,0,12,17,10,7,13,18,3,71,6,3,0,0,5,0,24,22,15,7,13,25,4,89,56,29,30,17,21,19,169,11,12,3,11,6,4,49,86,59,41,38,47,27,303
ILOC50200701,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,5,0,0,13,5,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,3,9,5,0,19,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,10,0,5,0,0,0,13,0,0,0,0,0,0,0,10,3,5,0,4,0,23,0,0,0,0,4,0,3,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,4,3,3,0,0,16,9,5,4,4,5,0,28,0,0,0,0,0,0,0,9,9,4,8,10,3,46
ILOC50200702,0,3,5,12,4,3,26,0,0,0,0,0,0,6,0,4,0,0,0,0,7,0,9,0,12,10,5,38,0,0,0,0,0,0,0,0,9,0,10,10,5,43,0,0,0,5,8,6,26,0,0,0,5,0,0,5,0,9,6,19,20,11,66,0,0,0,0,3,0,4,7,0,0,5,3,0,15,0,0,0,0,0,0,0,5,0,6,4,4,0,17,0,0,0,0,0,0,0,5,0,6,4,4,0,17,6,3,0,0,0,4,18,0,0,0,0,0,0,0,12,6,0,10,7,7,41,0,3,0,9,11,3,29,6,0,4,5,3,0,19,0,4,0,0,3,0,9,6,6,3,14,18,5,55,0,0,0,0,0,0,0,6,6,3,18,14,5,62,7,3,3,4,7,11,40,0,0,0,5,0,0,6,13,12,13,23,27,17,104
ILOC50300101,6,7,8,6,9,0,33,0,3,0,0,5,0,12,0,0,3,0,0,0,6,10,10,13,6,8,0,58,10,4,0,0,3,0,13,22,10,12,11,12,0,69,30,6,4,6,7,21,73,0,4,0,0,0,0,13,59,23,20,11,19,24,157,8,4,3,6,3,0,31,6,12,12,12,0,0,43,8,0,0,0,0,0,11,17,19,14,18,10,0,85,4,0,0,0,0,0,8,24,18,11,21,10,0,93,30,15,9,7,9,16,81,0,0,0,0,0,0,0,52,38,26,27,24,15,178,14,8,9,15,15,0,68,8,18,9,12,7,0,59,4,0,6,0,3,0,20,30,31,28,27,19,0,142,13,4,0,4,3,0,23,45,31,27,30,22,0,168,61,20,15,14,20,34,161,4,4,0,0,0,0,13,112,56,40,47,45,38,336
ILOC50300102,5,3,8,3,5,0,22,0,5,3,0,4,0,7,4,0,0,0,0,0,7,6,4,13,7,5,0,37,0,0,0,0,0,0,0,6,5,13,7,5,0,44,4,0,0,0,6,0,14,3,0,0,0,0,3,8,12,5,11,10,12,7,59,5,0,3,4,0,5,15,0,4,0,0,0,3,16,0,0,0,3,0,0,6,5,4,10,9,4,3,32,0,0,0,0,0,0,4,3,4,7,9,4,3,32,9,3,0,5,4,3,24,4,0,0,0,0,0,4,11,7,8,13,9,9,61,9,8,14,8,5,5,40,0,3,4,0,6,3,23,4,0,8,3,5,0,10,10,12,16,21,13,8,72,0,0,0,0,0,0,3,9,10,21,21,15,8,77,8,3,4,5,4,6,35,3,0,0,0,0,3,10,26,15,21,24,22,18,123
ILOC50300201,0,6,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,3,3,0,14,0,0,0,4,0,0,10,0,0,0,9,3,0,15,0,0,0,3,0,6,13,0,0,0,0,0,0,3,0,4,0,12,4,10,30,0,0,0,0,0,0,9,0,0,0,0,5,0,4,0,0,0,0,0,0,3,0,0,9,5,5,0,18,4,0,0,0,0,0,9,4,4,9,0,3,0,20,5,0,0,0,4,7,24,4,0,0,0,0,0,3,10,5,11,4,6,9,53,0,4,0,4,0,0,11,0,0,5,3,5,5,12,0,0,0,0,0,0,3,0,4,7,5,4,4,23,5,0,0,0,4,0,13,6,4,10,8,5,4,40,5,6,0,9,5,18,39,3,5,0,0,0,0,8,13,9,13,11,15,19,85
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,12,0,0,0,0,0,0,0,4,0,5,0,0,0,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,5,0,0,0,15
ILOC50300204,3,6,0,5,4,0,12,0,0,3,0,0,0,7,0,0,0,0,0,0,3,4,6,0,5,4,0,23,0,0,0,0,0,0,0,5,8,0,3,4,0,27,0,5,0,0,6,5,11,0,0,0,0,0,0,0,10,13,0,6,7,4,41,6,0,6,3,0,0,15,3,0,0,0,4,0,7,0,0,0,0,0,0,0,14,0,6,5,4,0,22,0,0,0,0,0,0,0,12,0,3,5,4,0,24,12,5,5,0,0,0,26,0,0,0,0,0,0,0,27,6,10,5,4,4,56,7,6,6,7,4,0,27,9,0,3,0,0,3,15,0,0,0,0,0,0,4,17,8,8,11,7,3,46,0,0,0,0,0,0,9,16,10,12,8,7,3,54,15,7,5,3,5,10,36,0,0,0,0,0,0,0,37,19,11,12,9,6,94
ILOC50300205,0,5,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,3,0,0,3,0,13,0,0,0,0,0,0,0,0,3,0,0,3,0,12,9,9,0,0,0,0,17,0,0,0,0,0,0,0,10,8,0,0,0,0,26,0,5,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,5,0,0,0,0,0,0,0,0,5,0,7,0,0,7,3,3,5,0,0,0,16,0,0,0,0,0,0,0,4,6,3,7,0,0,19,0,5,0,3,0,0,11,0,0,0,3,0,0,5,0,0,0,0,0,0,7,4,5,0,3,3,0,15,0,0,0,0,0,0,3,3,5,0,3,3,0,20,10,11,0,0,4,0,32,0,0,0,0,0,0,0,16,13,3,3,8,4,51
ILOC50300206,0,0,0,0,0,0,4,0,4,0,0,0,0,3,0,0,0,0,0,0,6,4,4,0,4,0,0,15,0,6,0,0,0,0,4,0,5,0,4,0,0,14,3,3,0,4,3,9,15,0,0,0,0,0,0,5,3,6,0,7,7,9,37,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,12,0,0,0,0,0,0,3,4,6,0,0,0,0,13,8,0,5,3,3,4,21,0,0,0,0,0,0,0,8,8,4,4,6,4,37,0,0,0,5,0,0,9,0,4,0,0,0,0,3,0,0,0,0,3,0,5,6,6,0,6,5,0,22,0,5,0,0,0,0,10,8,11,0,6,5,0,30,9,3,8,3,6,9,40,0,0,0,0,0,0,3,14,12,3,14,9,9,74
ILOC50300301,49,76,44,41,30,6,255,17,12,3,9,4,0,47,11,8,3,4,7,0,34,78,95,58,52,41,4,339,15,19,15,9,3,0,57,92,115,68,62,46,4,390,93,87,54,56,37,33,356,18,9,11,6,3,6,57,205,212,136,124,83,47,810,26,42,34,30,16,0,153,26,14,26,15,8,0,88,3,7,0,11,0,4,31,59,59,62,54,26,6,271,8,9,8,3,8,0,33,69,68,70,64,34,8,300,87,61,45,41,40,53,332,8,9,11,14,6,9,62,161,136,128,112,87,69,698,77,116,79,74,50,4,405,40,27,27,20,16,3,138,16,18,7,16,11,3,66,133,159,118,111,71,13,608,26,20,19,17,6,0,87,156,182,132,125,76,10,695,184,142,104,95,76,89,688,28,19,27,19,13,16,124,370,348,262,240,171,115,1502
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300401,0,0,3,0,3,0,7,4,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,3,0,11,0,0,0,0,0,0,0,4,0,3,0,3,0,14,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,5,0,6,0,19,0,0,0,0,0,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,7,4,4,0,0,17,0,0,0,0,0,0,0,3,7,5,0,0,0,24,0,0,4,0,5,0,6,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,4,5,3,4,0,17,0,0,0,0,0,0,0,0,5,5,3,4,0,20,3,10,6,4,6,3,20,0,0,0,0,0,0,0,4,11,11,4,12,3,42
ILOC50300402,0,0,0,0,0,0,3,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,7,0,0,7,10,5,9,13,3,5,35,3,0,0,0,0,0,4,15,8,10,16,3,5,49,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,11,0,0,0,0,0,0,0,0,0,0,5,0,0,11,7,10,8,9,0,3,31,0,0,0,0,0,0,0,7,13,7,13,4,3,43,0,0,0,0,0,0,3,0,0,0,8,0,0,14,0,0,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,16,19,17,13,17,5,10,71,3,0,0,0,0,0,4,19,22,13,31,3,10,93
