ILOC_CODE_2021,Ty_LTHC_Arth_Ind_M,Ty_LTHC_Arth_Ind_F,Ty_LTHC_Arth_Ind_P,Ty_LTHC_Arth_NoInd_M,Ty_LTHC_Arth_NoInd_F,Ty_LTHC_Arth_NoInd_P,Ty_LTHC_Arth_In_ns_M,Ty_LTHC_Arth_In_ns_F,Ty_LTHC_Arth_In_ns_P,Ty_LTHC_Arth_Tot_M,Ty_LTHC_Arth_Tot_F,Ty_LTHC_Arth_Tot_P,Ty_LTHC_Asth_Ind_M,Ty_LTHC_Asth_Ind_F,Ty_LTHC_Asth_Ind_P,Ty_LTHC_Asth_NoInd_M,Ty_LTHC_Asth_NoInd_F,Ty_LTHC_Asth_NoInd_P,Ty_LTHC_Asth_In_ns_M,Ty_LTHC_Asth_In_ns_F,Ty_LTHC_Asth_In_ns_P,Ty_LTHC_Asth_Tot_M,Ty_LTHC_Asth_Tot_F,Ty_LTHC_Asth_Tot_P,Ty_LTHC_Canc_Ind_M,Ty_LTHC_Canc_Ind_F,Ty_LTHC_Canc_Ind_P,Ty_LTHC_Canc_NoInd_M,Ty_LTHC_Canc_NoInd_F,Ty_LTHC_Canc_NoInd_P,Ty_LTHC_Canc_In_ns_M,Ty_LTHC_Canc_In_ns_F,Ty_LTHC_Canc_In_ns_P,Ty_LTHC_Canc_Tot_M,Ty_LTHC_Canc_Tot_F,Ty_LTHC_Canc_Tot_P,Ty_LTHC_Dem_Ind_M,Ty_LTHC_Dem_Ind_F,Ty_LTHC_Dem_Ind_P,Ty_LTHC_Dem_NoInd_M,Ty_LTHC_Dem_NoInd_F,Ty_LTHC_Dem_NoInd_P,Ty_LTHC_Dem_In_ns_M,Ty_LTHC_Dem_In_ns_F,Ty_LTHC_Dem_In_ns_P,Ty_LTHC_Dem_Tot_M,Ty_LTHC_Dem_Tot_F,Ty_LTHC_Dem_Tot_P,Ty_LTHC_Diab_Ind_M,Ty_LTHC_Diab_Ind_F,Ty_LTHC_Diab_Ind_P,Ty_LTHC_Diab_NoInd_M,Ty_LTHC_Diab_NoInd_F,Ty_LTHC_Diab_NoInd_P,Ty_LTHC_Diab_In_ns_M,Ty_LTHC_Diab_In_ns_F,Ty_LTHC_Diab_In_ns_P,Ty_LTHC_Diab_Tot_M,Ty_LTHC_Diab_Tot_F,Ty_LTHC_Diab_Tot_P,Ty_LTHC_Heart_Dis_Ind_M,Ty_LTHC_Heart_Dis_Ind_F,Ty_LTHC_Heart_Dis_Ind_P,Ty_LTHC_Heart_Dis_NoInd_M,Ty_LTHC_Heart_Dis_NoInd_F,Ty_LTHC_Heart_Dis_NoInd_P,Ty_LTHC_Heart_Dis_In_ns_M,Ty_LTHC_Heart_Dis_In_ns_F,Ty_LTHC_Heart_Dis_In_ns_P,Ty_LTHC_Heart_Dis_Tot_M,Ty_LTHC_Heart_Dis_Tot_F,Ty_LTHC_Heart_Dis_Tot_P,Ty_LTHC_Kid_Dis_Ind_M,Ty_LTHC_Kid_Dis_Ind_F,Ty_LTHC_Kid_Dis_Ind_P,Ty_LTHC_Kid_Dis_NoInd_M,Ty_LTHC_Kid_Dis_NoInd_F,Ty_LTHC_Kid_Dis_NoInd_P,Ty_LTHC_Kid_Dis_In_ns_M,Ty_LTHC_Kid_Dis_In_ns_F,Ty_LTHC_Kid_Dis_In_ns_P,Ty_LTHC_Kid_Dis_Tot_M,Ty_LTHC_Kid_Dis_Tot_F,Ty_LTHC_Kid_Dis_Tot_P,Ty_LTHC_Lung_Con_Ind_M,Ty_LTHC_Lung_Con_Ind_F,Ty_LTHC_Lung_Con_Ind_P,Ty_LTHC_Lung_Con_NoInd_M,Ty_LTHC_Lung_Con_NoInd_F,Ty_LTHC_Lung_Con_NoInd_P,Ty_LTHC_Lung_Con_In_ns_M,Ty_LTHC_Lung_Con_In_ns_F,Ty_LTHC_Lung_Con_In_ns_P,Ty_LTHC_Lung_Con_Tot_M,Ty_LTHC_Lung_Con_Tot_F,Ty_LTHC_Lung_Con_Tot_P,Ty_LTHC_MHC_Ind_M,Ty_LTHC_MHC_Ind_F,Ty_LTHC_MHC_Ind_P,Ty_LTHC_MHC_NoInd_M,Ty_LTHC_MHC_NoInd_F,Ty_LTHC_MHC_NoInd_P,Ty_LTHC_MHC_In_ns_M,Ty_LTHC_MHC_In_ns_F,Ty_LTHC_MHC_In_ns_P,Ty_LTHC_MHC_Tot_M,Ty_LTHC_MHC_Tot_F,Ty_LTHC_MHC_Tot_P,Ty_LTHC_Stroke_Ind_M,Ty_LTHC_Stroke_Ind_F,Ty_LTHC_Stroke_Ind_P,Ty_LTHC_Stroke_NoInd_M,Ty_LTHC_Stroke_NoInd_F,Ty_LTHC_Stroke_NoInd_P,Ty_LTHC_Stroke_In_ns_M,Ty_LTHC_Stroke_In_ns_F,Ty_LTHC_Stroke_In_ns_P,Ty_LTHC_Stroke_Tot_M,Ty_LTHC_Stroke_Tot_F,Ty_LTHC_Stroke_Tot_P,Ty_LTHC_oth_LTHC_Ind_M,Ty_LTHC_oth_LTHC_Ind_F,Ty_LTHC_oth_LTHC_Ind_P,Ty_LTHC_oth_LTHC_NoInd_M,Ty_LTHC_oth_LTHC_NoInd_F,Ty_LTHC_oth_LTHC_NoInd_P,Ty_LTHC_oth_LTHC_In_ns_M,Ty_LTHC_oth_LTHC_In_ns_F,Ty_LTHC_oth_LTHC_In_ns_P,Ty_LTHC_oth_LTHC_Tot_M,Ty_LTHC_oth_LTHC_Tot_F,Ty_LTHC_oth_LTHC_Tot_P,Ty_LTHC_no_LTHC_Ind_M,Ty_LTHC_no_LTHC_Ind_F,Ty_LTHC_no_LTHC_Ind_P,Ty_LTHC_no_LTHC_NoInd_M,Ty_LTHC_no_LTHC_NoInd_F,Ty_LTHC_no_LTHC_NoInd_P,Ty_LTHC_no_LTHC_In_ns_M,Ty_LTHC_no_LTHC_In_ns_F,Ty_LTHC_no_LTHC_In_ns_P,Ty_LTHC_no_LTHC_Tot_M,Ty_LTHC_no_LTHC_Tot_F,Ty_LTHC_no_LTHC_Tot_P,Ty_LTHC_Ns_Ind_M,Ty_LTHC_Ns_Ind_F,Ty_LTHC_Ns_Ind_P,Ty_LTHC_Ns_NoInd_M,Ty_LTHC_Ns_NoInd_F,Ty_LTHC_Ns_NoInd_P,Ty_LTHC_Ns_In_ns_M,Ty_LTHC_Ns_In_ns_F,Ty_LTHC_Ns_In_ns_P,Ty_LTHC_Ns_Tot_M,Ty_LTHC_Ns_Tot_F,Ty_LTHC_Ns_Tot_P,Tot_p_Ind_M,Tot_p_Ind_F,Tot_p_Ind_P,Tot_p_NoInd_M,Tot_p_NoInd_F,Tot_p_NoInd_P,Tot_p_In_ns_M,Tot_p_In_ns_F,Tot_p_In_ns_P,Tot_p_Tot_M,Tot_p_Tot_F,Tot_p_Tot_P,Co_LTHC_no_SC_Ind_M,Co_LTHC_no_SC_Ind_F,Co_LTHC_no_SC_Ind_P,Co_LTHC_no_SC_NoInd_M,Co_LTHC_no_SC_NoInd_F,Co_LTHC_no_SC_NoInd_P,Co_LTHC_no_SC_In_ns_M,Co_LTHC_no_SC_In_ns_F,Co_LTHC_no_SC_In_ns_P,Co_LTHC_no_SC_Tot_M,Co_LTHC_no_SC_Tot_F,Co_LTHC_no_SC_Tot_P,Co_LTHC_1ms_LTHC_onec_Ind_M,Co_LTHC_1ms_LTHC_onec_Ind_F,Co_LTHC_1ms_LTHC_onec_Ind_P,Co_LTHC_1ms_LTHC_onec_NoInd_M,Co_LTHC_1ms_LTHC_onec_NoInd_F,Co_LTHC_1ms_LTHC_onec_NoInd_P,Co_LTHC_1ms_LTHC_onec_In_ns_M,Co_LTHC_1ms_LTHC_onec_In_ns_F,Co_LTHC_1ms_LTHC_onec_In_ns_P,Co_LTHC_1ms_LTHC_onec_Tot_M,Co_LTHC_1ms_LTHC_onec_Tot_F,Co_LTHC_1ms_LTHC_onec_Tot_P,Co_LTHC_1ms_LTHC_twoc_Ind_M,Co_LTHC_1ms_LTHC_twoc_Ind_F,Co_LTHC_1ms_LTHC_twoc_Ind_P,Co_LTHC_1ms_LTHC_twoc_NoInd_M,Co_LTHC_1ms_LTHC_twoc_NoInd_F,Co_LTHC_1ms_LTHC_twoc_NoInd_P,Co_LTHC_1ms_LTHC_twoc_In_ns_M,Co_LTHC_1ms_LTHC_twoc_In_ns_F
ILOC50200102,0,3,9,0,0,0,0,0,0,0,9,10,0,8,13,0,0,0,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,14,0,0,0,0,0,0,5,11,14,9,5,16,0,0,0,0,0,0,9,6,13,3,4,5,0,0,0,0,0,0,3,4,5,0,3,3,0,0,0,0,0,0,0,3,3,0,4,3,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,14,17,30,0,0,0,0,0,0,14,17,30,33,34,70,0,0,0,0,0,0,33,34,70,11,11,20,0,0,0,0,0,4,11,14,24,62,73,139,0,0,0,0,0,4,66,78,142,37,38,80,0,0,0,0,0,0,37,38,80,6,9,13,0,0,0,0,0,0,6,9,13,0,3,3,0,0,0,0,0
ILOC50200201,6,3,6,18,16,34,0,0,0,22,18,38,10,7,11,10,14,22,0,0,0,20,16,37,0,0,7,3,8,9,0,0,0,6,7,17,0,0,0,0,0,4,0,0,0,0,0,4,4,12,15,25,7,30,0,0,0,29,17,45,0,0,3,18,3,22,0,0,0,24,3,26,0,3,3,0,0,3,0,0,0,0,0,7,3,0,3,9,4,10,0,0,0,11,4,15,4,4,10,21,14,35,0,0,0,24,16,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,26,0,0,0,21,10,27,44,32,75,177,87,266,0,0,0,219,120,341,11,10,17,15,7,24,164,55,222,187,72,257,67,55,123,273,149,421,161,57,217,507,260,767,42,32,78,189,92,283,0,0,0,231,123,362,11,3,15,50,36,86,0,0,0,57,39,99,0,9,12,19,8,24,0,0
ILOC50200202,6,4,8,12,12,30,0,0,0,18,14,32,0,0,4,7,17,21,0,0,0,9,18,29,0,0,3,3,8,14,0,0,0,8,8,15,0,0,0,0,0,0,0,0,0,0,0,5,11,0,11,10,8,16,0,0,0,17,8,25,6,0,8,9,0,13,0,0,0,11,4,20,4,5,5,4,4,7,0,0,0,6,0,13,0,5,9,3,6,11,0,0,0,4,10,20,3,4,6,14,23,34,0,0,0,18,23,37,0,0,0,0,4,4,0,0,0,4,6,9,3,0,5,8,7,20,0,0,0,13,9,24,11,20,33,95,70,166,0,5,5,112,91,199,0,4,4,9,0,10,178,135,315,183,143,322,28,28,58,155,124,279,178,135,315,363,290,653,16,19,38,97,71,177,0,5,5,117,99,213,8,4,16,33,26,62,0,0,0,45,31,75,0,0,0,11,15,23,0,0
ILOC50200301,0,0,0,68,100,164,0,0,0,68,104,171,0,0,0,70,71,143,0,0,0,71,71,144,0,0,0,32,40,71,0,0,0,32,40,71,0,0,0,3,3,8,0,0,0,3,3,8,0,0,4,53,42,94,0,0,0,51,46,102,0,0,3,45,27,76,0,0,0,46,30,78,0,0,0,10,9,19,0,0,0,15,11,21,0,4,4,27,10,42,0,0,0,27,12,41,0,3,3,59,68,127,0,0,0,60,72,130,0,0,0,10,7,14,0,0,0,10,7,14,4,0,3,47,52,95,0,0,0,48,53,96,22,12,31,505,452,960,10,9,15,535,477,1005,5,3,4,38,30,70,134,125,257,180,154,339,29,26,54,809,762,1568,143,128,272,982,916,1897,21,16,33,528,475,1001,10,9,15,559,499,1051,5,3,7,168,174,342,0,0,0,176,176,350,0,0,0,34,58,97,0,0
ILOC50200302,4,0,3,18,17,33,0,0,0,23,15,38,5,3,8,15,15,32,0,0,0,16,17,37,0,0,0,5,0,9,0,0,0,5,6,9,0,0,0,0,0,4,0,0,0,0,4,4,4,7,17,19,6,25,0,0,0,22,16,35,0,4,6,7,8,19,0,0,0,7,7,23,0,0,4,0,0,3,0,0,0,0,3,5,0,0,0,0,3,5,0,0,0,0,9,9,3,4,6,11,13,28,0,0,0,17,15,31,0,0,0,7,0,7,0,0,0,7,0,4,3,0,3,17,14,35,0,0,0,25,14,38,30,28,62,121,101,229,3,0,3,155,134,293,5,10,11,5,5,8,45,49,99,53,62,117,46,49,95,191,158,352,48,50,100,292,265,553,32,28,65,132,114,248,5,0,5,172,144,317,4,9,13,33,23,59,0,0,0,39,33,72,0,3,3,19,8,29,0,0
ILOC50200303,4,8,8,157,197,356,5,3,6,166,204,368,7,8,14,103,104,205,0,0,0,107,114,222,0,0,0,62,41,102,3,0,5,68,46,111,0,0,0,11,8,21,0,0,0,11,10,20,6,10,13,115,53,167,3,0,3,123,67,190,3,3,12,96,48,145,3,0,0,106,52,159,0,3,3,17,19,35,0,0,0,21,22,37,0,0,3,32,39,75,0,0,0,37,40,80,7,9,15,97,100,200,0,0,4,107,110,215,0,0,0,27,14,39,0,0,0,25,14,38,5,11,16,92,105,193,0,0,0,100,115,213,57,48,105,787,706,1493,14,11,20,856,766,1623,8,10,20,67,74,139,216,177,392,291,255,549,88,94,184,1376,1238,2611,234,192,431,1708,1522,3227,62,53,114,838,756,1592,14,11,20,914,814,1733,13,17,31,311,277,589,0,5,6,330,299,628,3,6,11,96,80,172,0,3
ILOC50200401,22,42,67,317,499,821,3,4,16,347,552,902,61,104,165,297,406,704,6,9,13,360,515,882,8,7,13,132,139,275,0,0,4,144,152,292,0,0,3,23,20,44,0,0,0,26,24,50,62,66,126,282,242,521,3,0,8,342,310,650,26,31,55,228,148,379,3,0,5,260,184,438,13,19,33,58,47,111,0,0,0,74,67,143,10,23,28,115,100,213,0,4,4,129,128,254,44,95,138,337,482,816,0,9,6,380,582,965,3,6,15,50,36,88,0,0,0,58,44,104,46,54,100,262,326,582,0,3,3,311,380,687,360,401,756,1840,1803,3641,11,15,28,2210,2213,4429,55,62,111,142,156,303,524,501,1024,722,721,1441,609,700,1310,3304,3414,6715,551,537,1091,4462,4648,9114,392,415,807,1980,1927,3903,11,15,28,2387,2355,4744,126,125,247,755,834,1586,11,9,24,888,969,1856,21,60,80,260,300,555,0,4
ILOC50200402,6,29,38,241,358,598,0,3,5,253,395,647,31,47,79,271,369,639,0,3,5,306,414,721,5,5,9,116,109,219,0,0,0,122,113,233,5,0,3,13,14,31,0,0,0,21,20,35,40,41,74,187,120,303,7,0,3,222,163,385,15,13,28,159,83,238,0,0,3,176,98,271,6,7,8,39,29,70,0,0,0,43,38,77,0,8,6,62,52,115,0,0,0,65,59,124,18,40,58,236,367,603,3,0,7,255,413,663,4,6,9,31,27,56,0,0,0,36,32,66,21,25,50,247,327,574,0,0,6,273,357,636,207,236,439,2470,2289,4763,13,14,19,2689,2532,5223,165,29,196,219,158,378,335,289,622,718,478,1200,481,400,873,3805,3725,7528,355,312,663,4634,4429,9067,218,244,467,2619,2478,5090,12,12,30,2850,2733,5583,76,74,149,713,793,1501,5,5,8,785,873,1661,13,35,48,178,208,387,0,0
ILOC50200403,18,30,51,276,421,692,3,6,8,295,459,753,36,50,92,263,348,607,0,0,4,297,398,697,4,10,13,147,118,271,0,0,3,150,134,288,4,0,4,39,57,92,0,0,6,46,63,103,31,36,66,222,190,408,0,0,0,250,227,480,16,23,38,195,146,345,3,5,8,217,171,390,5,10,15,38,42,75,0,0,0,46,52,94,13,11,19,79,61,139,0,0,5,90,75,165,29,41,75,276,427,699,7,4,11,308,474,782,4,6,9,34,44,78,0,0,0,32,51,85,21,23,47,212,310,523,7,5,7,242,343,582,201,225,430,2071,1997,4066,10,5,12,2288,2223,4507,46,42,96,139,133,277,341,303,643,529,488,1008,358,408,768,3345,3471,6817,360,323,682,4065,4202,8263,217,237,447,2176,2122,4297,13,7,21,2407,2365,4770,64,82,143,683,795,1479,6,5,9,752,883,1633,25,20,43,223,257,481,5,3
ILOC50200404,16,29,41,338,623,955,3,0,5,353,646,1002,37,59,100,409,542,950,6,10,12,453,608,1064,13,12,22,188,192,381,0,0,0,200,201,407,6,8,15,71,93,160,0,0,0,76,101,181,36,49,82,283,257,539,0,0,5,321,305,629,24,20,40,272,191,461,7,0,6,300,208,510,4,7,16,69,67,135,0,0,0,76,73,154,3,12,16,106,115,226,3,3,6,114,127,243,28,42,74,405,648,1047,3,0,3,438,690,1125,6,7,12,44,57,103,0,0,3,48,65,109,34,36,69,384,488,877,7,6,10,426,535,960,224,218,444,3232,3285,6517,17,19,35,3481,3523,6998,21,35,62,193,232,425,406,347,753,624,619,1240,372,407,779,5060,5496,10556,438,380,816,5876,6279,12152,248,230,480,3434,3494,6928,18,17,41,3699,3744,7448,68,84,153,972,1146,2117,8,8,13,1045,1234,2286,17,22,41,292,383,677,4,3
ILOC50200501,8,21,32,335,423,764,4,3,10,356,448,806,14,24,39,224,276,498,3,0,3,240,300,537,5,6,8,149,120,270,4,0,0,151,122,278,0,0,4,29,8,43,0,0,0,35,12,47,19,23,39,251,154,400,3,3,6,274,169,451,11,19,31,222,108,330,4,0,4,237,126,365,5,12,10,48,32,80,0,0,0,53,39,91,4,4,6,102,86,186,0,4,4,106,89,198,5,28,28,226,262,485,0,0,4,229,289,519,0,0,0,47,30,78,0,0,3,48,36,82,3,15,22,194,233,423,0,0,3,200,245,447,117,109,223,1891,1736,3621,16,16,30,2023,1858,3880,6,9,19,139,119,256,575,432,1006,717,565,1281,168,196,361,3176,2955,6135,602,463,1061,3945,3611,7554,123,115,234,1970,1831,3799,16,16,30,2108,1963,4072,22,30,55,712,647,1361,4,11,18,744,692,1428,7,22,32,220,246,469,8,0
ILOC50200601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,24,12,12,25,0,0,0,28,22,49,0,0,0,0,0,0,4,0,3,4,3,4,11,16,28,17,13,27,4,0,3,29,32,65,8,14,24,12,12,25,0,0,0,28,22,49,3,0,3,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0
ILOC50200602,5,13,12,17,10,23,0,0,0,22,24,43,5,19,25,17,10,29,0,0,0,25,31,56,5,0,4,5,3,15,0,0,0,13,7,16,3,0,3,4,0,4,0,0,0,3,0,5,16,31,43,18,10,30,0,0,0,29,35,70,15,13,33,17,3,17,0,0,0,37,11,45,3,3,5,6,0,6,0,0,0,5,4,11,6,10,10,8,5,10,0,0,0,8,6,22,7,13,20,18,18,34,0,0,0,21,29,53,3,6,8,0,0,0,0,0,0,5,6,6,8,11,18,12,12,24,0,0,0,24,19,40,125,123,250,241,100,338,5,6,9,375,220,600,27,36,63,9,0,9,154,80,237,194,118,312,197,221,420,324,144,469,164,91,250,689,449,1141,128,124,258,248,100,349,5,6,9,389,231,622,25,40,63,52,26,75,0,3,0,78,68,147,10,12,17,9,10,22,0,0
ILOC50200701,0,0,0,0,0,0,0,0,0,0,0,4,0,5,7,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,5,0,6,4,0,7,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,18,45,0,3,3,0,0,0,26,21,49,8,3,12,0,0,0,0,0,0,8,7,12,35,32,70,5,3,3,0,0,0,35,34,77,21,18,45,0,3,3,0,0,0,26,21,49,8,5,8,0,0,0,0,0,0,8,6,14,0,0,6,0,0,0,0,0
ILOC50200702,9,4,9,38,44,84,0,0,4,45,51,94,7,10,21,28,35,66,0,0,0,35,46,84,6,6,6,20,20,46,0,0,0,26,23,50,0,0,0,0,0,0,0,0,0,0,0,3,13,0,15,29,15,45,0,0,0,44,16,61,13,0,12,32,9,40,0,0,0,42,10,54,0,0,0,9,0,7,0,0,0,4,0,6,0,0,5,9,3,17,0,0,0,10,8,20,10,0,19,26,50,79,0,0,0,36,53,98,0,0,0,5,10,11,0,0,0,5,10,11,5,0,13,22,32,57,0,0,0,35,38,68,47,28,79,389,407,795,5,3,7,441,443,880,4,5,5,29,32,61,95,89,182,132,122,258,93,50,138,575,590,1167,100,90,192,762,736,1495,45,28,81,410,416,828,4,3,8,461,453,913,21,6,32,101,107,208,0,0,0,122,116,241,4,7,11,23,24,40,0,0
ILOC50300101,3,20,28,344,559,903,3,12,16,352,589,945,17,23,40,384,480,870,5,4,8,405,515,922,5,5,10,160,145,304,5,6,9,165,151,318,0,0,3,31,52,86,0,0,0,34,56,88,15,20,35,272,222,496,3,0,9,290,242,540,11,8,15,265,174,436,0,5,3,274,184,457,0,3,9,49,42,88,0,0,0,51,45,93,5,5,11,92,107,197,0,0,0,102,107,208,19,27,47,304,466,770,5,3,6,327,495,822,0,0,0,50,39,87,0,0,0,50,38,91,15,12,25,261,329,591,4,0,4,277,344,618,171,150,321,2786,2776,5559,23,26,51,2982,2955,5931,29,20,48,168,137,304,482,429,912,677,584,1264,264,248,516,4409,4568,8976,523,476,996,5198,5290,10485,174,153,329,2908,2906,5811,23,26,51,3115,3085,6197,48,51,102,922,1011,1931,8,11,23,972,1081,2053,8,12,21,285,343,623,0,3
ILOC50300102,6,13,20,172,202,374,4,0,5,177,219,394,7,11,15,173,178,354,0,0,0,176,191,371,4,0,4,75,76,147,0,0,0,78,80,157,0,0,0,7,5,16,0,0,0,7,5,16,3,3,4,123,66,187,0,0,0,124,73,197,4,9,4,121,65,186,3,0,0,123,69,200,0,3,3,23,4,30,0,0,0,23,9,35,0,5,5,55,42,98,0,0,0,55,42,103,12,7,15,148,205,350,0,0,0,156,216,374,0,0,0,27,8,38,0,0,0,27,9,36,7,11,9,131,158,284,0,0,3,137,167,304,47,55,99,1682,1466,3141,12,14,23,1735,1530,3267,8,8,20,88,68,153,318,250,566,412,323,740,82,91,168,2478,2231,4704,334,265,605,2897,2585,5479,48,60,102,1756,1542,3303,12,17,20,1817,1614,3427,13,20,32,456,448,908,6,4,11,477,469,949,5,3,7,118,108,228,0,0
ILOC50300201,3,6,7,29,34,66,0,0,0,30,40,71,4,3,8,21,23,40,0,0,0,26,28,47,0,4,3,15,3,23,0,0,0,11,5,21,0,0,0,0,0,0,0,0,0,0,0,0,13,3,15,22,21,42,0,0,0,36,26,60,6,5,6,20,5,31,0,0,0,25,14,39,3,3,3,4,0,10,0,0,0,6,4,15,0,0,0,17,3,27,0,0,0,15,3,25,3,0,4,24,20,50,0,0,0,31,25,52,0,0,3,3,0,6,0,0,0,6,3,4,0,6,10,21,20,41,0,0,0,21,30,54,21,36,61,159,123,284,10,9,16,188,172,360,7,5,16,14,6,20,65,67,138,91,80,172,44,65,111,283,210,498,80,81,159,407,360,763,21,42,62,166,132,296,10,9,16,197,181,378,11,9,21,61,49,112,0,0,0,75,60,139,3,7,12,28,17,40,0,0
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,0,0,13,9,22,0,0,0,14,9,20,0,0,0,11,7,18,0,0,0,18,4,21,0,0,0,4,4,3,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,15,0,13,0,0,0,8,0,12,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,0,0,7,3,3,0,0,0,10,7,13,0,0,0,10,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,21,0,0,0,14,4,20,11,0,15,164,60,220,0,0,0,179,60,234,0,0,0,7,4,10,152,42,199,158,47,208,12,0,15,226,82,315,156,42,196,397,131,529,11,0,15,173,61,233,3,0,3,185,61,250,0,0,0,46,12,59,0,0,0,46,16,58,0,0,0,8,4,16,0,0
ILOC50300204,5,5,8,64,83,143,0,0,0,67,87,155,0,12,14,83,98,182,0,0,0,88,113,198,0,0,0,18,14,27,0,0,3,20,12,36,0,0,0,0,5,4,0,0,0,0,5,4,4,10,14,57,40,99,4,0,4,62,52,114,5,0,0,42,15,60,4,0,4,46,16,63,0,0,0,3,10,12,0,0,0,3,11,14,0,0,3,21,23,50,0,0,4,26,29,57,10,11,14,64,118,189,0,0,0,76,125,204,0,0,0,10,4,11,0,0,0,10,3,13,8,4,4,46,65,113,0,0,5,54,71,123,40,49,84,613,524,1141,4,3,9,661,577,1236,0,0,0,33,28,60,281,241,523,318,270,589,59,71,128,936,861,1796,292,252,544,1284,1178,2470,41,49,86,644,553,1200,3,3,12,691,607,1300,6,14,23,188,190,372,3,3,3,198,204,403,0,5,4,55,65,116,0,0
ILOC50300205,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,35,22,58,0,0,0,0,0,0,35,24,62,0,0,0,0,0,0,0,0,0,0,0,0,37,35,73,0,0,0,0,0,0,37,40,77,35,27,60,0,0,0,0,0,0,35,26,63,0,9,8,0,0,0,0,0,0,0,9,8,0,6,6,0,0,0,0,0
ILOC50300206,0,0,4,27,31,55,0,3,0,29,34,62,4,8,15,21,15,37,0,5,5,23,32,52,0,0,0,8,11,19,0,0,0,8,10,23,0,0,0,0,0,0,0,0,0,0,0,3,6,4,11,17,18,34,0,0,0,23,22,49,0,0,4,23,8,28,0,0,0,22,11,34,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,17,6,27,0,3,3,17,8,29,6,0,4,30,17,46,0,0,0,28,20,56,0,0,0,7,4,9,0,0,0,7,4,9,5,0,5,18,13,28,0,3,3,21,20,40,18,21,37,94,86,177,3,4,5,122,103,226,11,4,19,15,4,14,42,38,84,69,54,119,53,44,96,201,166,359,50,51,99,294,259,555,22,20,45,106,88,192,3,4,5,135,109,248,7,18,26,41,42,85,3,5,5,58,57,120,4,0,4,19,16,37,0,3
