ILOC_CODE_2021,Med_ag_pe_In_pe,Me_ag_ps_N_In_ps,Med_age_psns_Tot,Me_p_in_wk_In_pe,Me_ps_in_wk_No_In_pe,Med_psnl_inc_wk_Tot,Me_hh_in_wk_Hh_In_pe,Me_hh_in_wk_No_Ot_hh,Med_hhd_inc_wk_Tot,Me_mo_re_mt_Hh_In_pe,Me_mo_re_mt_Ot_hh,Med_mort_repay_mth_Tot,Me_re_wk_Hh_Ind_psns,Me_re_wk_No_Oth_hh,Med_rent_wk_Tot,Av_N_p_pe_be_Hh_w_In_p,Av_Nu_ps_pe_be_Ot_hh,Avg_Nu_psns_per_bed_Tot,Av_hh_si_Hh_wi_Ind_psns,Avg_hh_si_Othr_hhd,Avg_household_size_Tot,P_d_n_x_b_Hh_w_In_p,P_d_n_x_b_No_Oth_hh,P_d_n_x_b_Tot
ILOC50200102,27,48,27,238,575,240,468,0,468,0,0,0,65,0,65,1.3,0,1.3,3.3,0,3.3,20.5,0,20.5
ILOC50200201,31,46,44,627,1178,1052,1593,1062,1187,446,800,650,139,75,138,1.1,0.6,0.7,3.3,1.6,2,15.8,0.7,3.7
ILOC50200202,36,43,42,582,968,863,1281,1187,1204,2063,542,542,176,170,175,0.8,0.8,0.8,2.7,1.9,2.1,9.1,0.9,2.3
ILOC50200301,32,48,47,593,781,773,1937,1591,1612,1582,1560,1571,280,250,260,1,0.8,0.8,2.8,2.5,2.5,6.7,1.1,1.4
ILOC50200302,34,43,42,395,837,689,675,1375,1259,867,433,600,130,190,150,1.1,0.7,0.8,3.1,2.3,2.5,11.4,1.4,3.3
ILOC50200303,25,55,53,418,621,607,1187,1100,1110,1600,1300,1300,225,250,250,1.1,0.7,0.7,3.3,2.1,2.2,14.1,1.2,2
ILOC50200401,23,43,40,466,670,635,958,1180,1152,1112,1300,1300,220,225,220,1,0.7,0.7,3,2.1,2.2,13.4,1.9,3.5
ILOC50200402,27,38,37,575,898,875,1860,1996,1981,1733,1747,1733,300,310,310,0.9,0.7,0.8,3.5,2.6,2.7,5.9,1,1.5
ILOC50200403,24,44,43,461,815,782,1235,1525,1497,1517,1517,1517,240,260,250,1,0.7,0.7,3.1,2.3,2.4,14.5,1,2.3
ILOC50200404,23,41,39,533,895,873,1446,1785,1764,1625,1600,1600,285,290,290,0.9,0.7,0.7,3.1,2.4,2.5,4.9,1,1.2
ILOC50200501,28,51,50,473,709,692,1305,1238,1244,1200,1300,1300,200,220,220,0.9,0.7,0.7,2.8,2.2,2.2,6.1,1.3,1.6
ILOC50200601,14,42,34,575,1125,1028,1375,1312,1325,0,0,0,120,125,120,1.4,0.9,1,3.8,1.9,2.4,40,0,11.1
ILOC50200602,25,39,34,374,1486,1008,985,1696,1221,912,565,650,100,120,110,1.1,0.7,0.9,3,1.8,2.4,15.9,1.6,8.8
ILOC50200701,20,51,22,378,2333,417,1125,2374,1218,0,0,0,69,0,69,1.2,0.4,1.1,3.7,1,3.3,22.2,0,19
ILOC50200702,40,41,41,476,832,811,1041,1225,1205,1083,1387,1387,235,200,200,0.8,0.9,0.9,2.3,2.1,2.1,2.8,4.3,4.1
ILOC50300101,20,43,41,458,800,782,1269,1466,1452,1343,1560,1560,250,270,270,1,0.7,0.7,3.1,2.3,2.3,6.6,1.4,1.7
ILOC50300102,31,42,42,725,926,919,1781,1718,1722,1105,1390,1352,192,250,250,1,0.8,0.8,2.9,2.5,2.5,2.4,1.5,1.5
ILOC50300201,38,50,49,458,847,771,924,1424,1302,953,924,927,207,250,250,0.9,0.7,0.7,2.6,2,2.1,6.3,2.2,2.9
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,29,38,38,1875,1830,1831,900,1812,1687,0,1560,1560,90,160,160,0.6,0.6,0.6,2.5,2,2,0,0,0
ILOC50300204,23,36,35,486,1030,984,1875,2150,2129,842,1000,985,180,200,200,0.8,0.7,0.8,2.6,2.4,2.4,4.5,1.9,2.1
ILOC50300205,21,56,21,510,575,509,1031,0,1031,0,0,0,228,0,228,1.4,0,1.4,3.3,0,3.3,14.3,0,14.3
ILOC50300206,29,54,52,432,592,529,739,779,771,759,510,600,150,150,150,1,0.6,0.7,2.7,1.7,1.8,10,0.5,2.1
ILOC50300301,25,35,34,592,1242,1204,1764,2357,2325,1517,1600,1600,280,310,300,1,0.8,0.8,3.2,2.5,2.6,9,1.8,2.4
ILOC50300302,61,63,62,225,2749,2500,225,2250,1399,0,0,0,0,0,0,0.3,1,0.7,1,1,1,0,0,0
ILOC50300401,28,39,30,354,350,354,739,0,739,0,0,0,57,0,57,0.9,0,0.9,3.2,0,3.2,15,0,15
ILOC50300402,32,41,34,335,2166,350,1312,2124,1416,0,0,0,85,0,85,1.3,0.6,1.2,4.1,1.3,3.8,28.6,0,25
ILOC50300403,23,33,25,372,2125,384,1125,3624,1187,0,0,0,65,0,65,1.6,0.5,1.4,4.7,1.8,4.2,27.3,0,23.1
ILOC50300405,20,17,19,328,2500,332,599,2250,624,0,0,0,85,0,85,1,0.3,1,3,1,3,20.8,0,20
ILOC50300406,24,48,25,306,1416,316,749,2187,875,0,0,0,73,48,70,1.3,0.5,1.1,4,1.4,3.6,27.3,0,22.5
ILOC50300407,37,56,39,316,1625,342,900,1999,1125,0,0,0,75,0,75,1.2,0.7,1.1,3.5,1.3,2.9,20.8,0,15.6
ILOC50300408,30,38,33,280,1708,305,706,2374,900,0,0,0,70,0,70,1.5,0.4,1.3,4.4,1.4,3.9,44.1,0,36.6
ILOC50300409,32,40,39,283,1961,1761,733,1800,1292,390,570,413,90,160,110,1.1,0.7,0.9,3,1.8,2.3,16.7,1.1,6.6
ILOC50300410,37,54,44,315,1625,372,514,1562,619,0,0,0,70,0,70,1,0.5,0.9,2.9,1,2.5,25,0,19.4
ILOC50300501,31,42,39,358,1173,914,966,1579,1442,916,650,683,111,173,167,1.2,0.9,0.9,3.4,2.1,2.3,30.6,3,8.8
ILOC50300502,28,34,34,971,1861,1816,1458,2196,2134,1517,459,520,156,50,50,1,0.9,0.9,3.3,2.4,2.5,10.3,2.4,3.6
ILOC50300503,33,58,41,352,1625,380,1024,2062,1354,0,0,0,13,0,13,1.1,0.7,0.9,3.3,1.4,2.4,11.1,0,5.9
ILOC50300601,26,37,28,386,1660,429,1350,2036,1581,0,0,0,65,25,63,1.3,0.7,1.2,4.1,1.5,3.5,41.2,5.7,31.8
ILOC50300701,29,35,35,247,1717,1196,700,1481,1109,0,0,0,113,150,118,1.3,0.7,1,3.4,1.7,2.4,27.8,0,11.4
ILOC50400101,27,38,33,344,1132,804,739,1375,922,0,0,0,90,105,90,1.5,1.1,1.3,3.4,1.7,2.6,27.5,5.4,16.9
ILOC50400102,20,30,24,225,1874,288,762,2999,1187,0,0,0,85,0,85,1.3,0.9,1.1,3.8,1.8,3.2,30,0,21.4
ILOC50400103,24,50,26,302,1406,325,1187,1708,1281,373,0,373,90,0,90,1.8,0.3,1.8,4.8,1,4.2,53.2,0,44.6
ILOC50400201,27,36,28,296,1458,312,1014,1625,1212,0,0,0,60,38,60,1.7,1,1.5,5,1.4,4.2,49.4,4.5,39.6
ILOC50400202,25,37,35,450,1192,818,833,1187,939,0,0,0,35,450,35,1.3,0.8,1.1,3,1.7,2.3,31.3,0,14.7
ILOC50400203,21,30,23,256,1406,265,924,2750,1017,0,0,0,75,0,75,1.5,0.6,1.4,4.5,1.5,4.1,47.8,0,40.7
ILOC50400204,23,56,25,257,1416,278,662,1875,749,0,0,0,68,50,60,1.2,1,1.2,3.9,1.8,3.5,20,0,16.7
ILOC50400205,25,48,25,250,1624,257,525,2750,599,0,0,0,75,0,75,1.4,0.8,1.3,3.6,1.7,3.4,30,0,27.3
ILOC50400301,26,38,32,396,1479,634,955,1975,1392,1430,2000,1600,135,138,135,1.2,0.7,1,3.2,1.8,2.6,21.5,4.1,14.7
ILOC50400302,27,37,27,315,350,316,824,0,824,0,0,0,75,0,75,1.5,0,1.5,3.9,3,3.9,40.4,0,38.3
ILOC50400303,18,52,18,258,350,260,665,0,665,0,0,0,135,0,135,1.5,0,1.5,4.5,0,4.5,41.4,0,41.4
ILOC50400401,25,45,30,301,1292,340,671,2187,758,0,2167,2167,70,40,66,1.4,0.9,1.4,3.6,1.8,3.3,26.7,5.9,23.4
ILOC50400501,23,57,27,296,1812,315,918,2399,1031,0,0,0,75,192,75,1.5,0.5,1.3,4.4,1.4,4,41.7,0,35.3
ILOC50400601,24,35,33,582,1309,1169,1416,2240,2059,1950,1800,1821,255,300,280,1.2,0.9,1,3.3,2.3,2.6,18.4,3.1,7.3
ILOC50400602,27,33,28,242,0,242,931,0,931,0,0,0,75,0,75,1.7,0,1.7,5,0,5,54.5,0,54.5
ILOC50400603,30,56,33,330,0,330,575,0,575,0,0,0,110,0,110,1.3,0,1.3,4,0,4,28.6,0,28.6
ILOC50400701,31,42,40,417,1293,1150,1312,2419,2282,2000,2773,2676,75,400,250,1.2,1,1.1,3.2,2.7,2.8,16.3,7.1,8.7
ILOC50400702,25,38,36,249,1454,1053,450,2125,1031,0,0,0,45,600,45,1.2,1.3,1.3,3.4,2.1,2.8,12.5,8.3,10.4
ILOC50400801,30,41,36,410,1205,564,914,1687,1125,1653,1023,1387,159,190,168,1.2,0.8,1,3.1,2,2.7,16.4,0,10.7
ILOC50500101,21,40,38,494,562,558,1166,1009,1019,1300,1280,1298,275,265,270,1,0.7,0.7,3.3,2.1,2.2,10.8,2.2,2.8
ILOC50500102,18,34,34,762,977,974,2108,2215,2213,2000,2000,2000,380,400,400,0.9,0.8,0.8,3.4,3,3,6.8,1.6,1.7
ILOC50500103,26,41,40,563,687,681,1538,1347,1354,1560,1500,1500,300,290,290,1,0.7,0.7,3.1,2.4,2.4,8.9,1.9,2.2
ILOC50500104,17,32,31,558,782,775,1485,1748,1739,1562,1600,1600,320,330,330,1,0.8,0.8,3.7,3,3,9,2.6,2.9
ILOC50500105,24,38,37,474,617,610,1333,1276,1279,1500,1300,1300,275,288,280,0.9,0.7,0.7,3.3,2.5,2.6,7.1,3.4,3.6
ILOC50500201,23,40,40,534,883,872,1597,1742,1738,1958,1800,1801,300,330,330,1,0.7,0.7,3.2,2.3,2.4,10.6,1.6,1.8
ILOC50500301,22,40,39,577,741,739,1640,1615,1615,1840,1759,1766,340,350,350,0.9,0.7,0.7,3.2,2.5,2.5,8.1,2.1,2.2
ILOC50500302,28,38,37,701,1022,1017,1473,1861,1852,1904,2000,2000,290,320,315,0.9,0.8,0.8,2.4,2.2,2.2,7,1.9,2
ILOC50500401,28,39,38,586,887,879,1491,1670,1666,2167,1740,1754,300,350,350,1,0.7,0.8,2.8,2.3,2.3,9.5,2.3,2.6
ILOC50500402,22,35,34,575,819,812,1424,1523,1520,1863,1700,1700,300,340,340,0.9,0.8,0.8,2.8,2.4,2.4,6.5,3.5,3.6
ILOC50500403,21,36,36,680,800,797,1550,1598,1597,1743,1733,1733,300,350,350,0.9,0.8,0.8,2.7,2.5,2.5,7.7,3.2,3.3
ILOC50500404,31,34,34,597,1020,1015,1461,1729,1723,1656,1765,1760,305,350,350,0.9,0.9,0.9,2.3,2.1,2.1,5.8,2.9,3
ILOC50500501,22,40,40,488,761,760,1520,1920,1916,1600,1950,1950,350,380,380,0.9,0.8,0.8,3.2,2.8,2.8,6.7,1.7,1.7
ILOC50500502,22,31,31,482,771,766,1198,1668,1657,1696,1700,1700,310,350,350,0.9,0.8,0.8,2.9,2.6,2.6,8.4,4.3,4.4
ILOC50500503,22,41,41,674,813,812,2687,2322,2326,1480,2000,2000,455,450,450,0.9,0.8,0.8,3.9,3.1,3.1,8.6,1.5,1.6
ILOC50500601,20,36,36,667,958,953,1819,2119,2114,1800,1950,1950,350,380,380,1,0.7,0.7,3.5,2.7,2.7,9.6,1.2,1.4
ILOC50500602,25,41,41,877,874,874,1704,1816,1814,1900,2000,2000,365,360,360,0.9,0.7,0.7,3.1,2.4,2.5,5.2,1.5,1.6
ILOC50500603,21,34,34,734,989,986,2053,2228,2225,2000,1950,1950,400,400,400,0.9,0.8,0.8,3.4,2.8,2.8,7.2,1.3,1.5
ILOC50500604,25,37,37,433,784,772,1075,1387,1378,1733,1600,1600,300,300,300,0.9,0.7,0.7,2.7,2.1,2.1,12.7,1.9,2.3
ILOC50500605,24,40,40,444,823,815,1218,1495,1489,1733,1733,1733,300,335,330,1,0.8,0.8,2.8,2.2,2.2,8.5,1.6,1.8
ILOC50500701,27,43,43,518,995,987,1439,1963,1954,2167,2167,2167,288,380,380,1,0.8,0.8,2.7,2.2,2.3,8.6,1.6,1.8
ILOC50500801,24,34,34,645,801,796,1674,1667,1667,1742,1733,1733,330,340,340,0.9,0.8,0.8,3.2,2.7,2.7,10.3,4.3,4.4
ILOC50500802,29,35,35,792,862,861,2125,2299,2297,2275,2000,2000,440,420,420,0.9,0.8,0.8,3.5,3.2,3.2,3,2,2
ILOC50500803,22,38,38,478,641,635,1286,1252,1254,1517,1500,1500,288,290,290,0.9,0.8,0.8,3.1,2.5,2.5,6.6,3.3,3.5
ILOC50500804,20,35,35,588,771,767,1640,1791,1785,1733,1669,1670,330,350,350,0.9,0.8,0.8,3.5,2.9,2.9,7.5,2.2,2.4
ILOC50500805,23,36,35,505,691,683,1158,1446,1433,1300,1517,1517,320,300,300,0.9,0.8,0.8,3.3,2.7,2.7,6.5,4,4.1
ILOC50500806,29,36,36,469,604,599,1020,1330,1318,1519,1500,1500,263,300,300,0.9,0.8,0.8,2.9,2.7,2.7,10.6,4.9,5.1
ILOC50500807,26,37,36,493,674,669,1437,1407,1407,1625,1560,1560,290,300,300,1,0.8,0.8,3.1,2.7,2.7,9.9,4.1,4.3
ILOC50500808,22,39,38,502,687,682,1528,1572,1571,1733,1625,1625,320,330,330,1,0.7,0.8,3.5,2.7,2.7,10.5,2.6,2.9
ILOC50500901,21,41,41,753,906,905,2307,2180,2182,1925,2015,2004,400,390,390,0.9,0.7,0.7,3.3,2.7,2.7,4.6,0.9,1
ILOC50500902,24,42,42,854,907,907,2295,2153,2155,2167,2100,2100,400,420,415,0.9,0.7,0.7,3.1,2.7,2.7,4.5,0.5,0.6
ILOC50501001,22,39,38,531,823,816,1485,1637,1633,1636,1733,1733,350,350,350,0.9,0.7,0.7,3.1,2.5,2.5,7.9,1.6,1.8
ILOC50501002,22,38,38,755,841,839,1865,1753,1758,1820,1733,1733,370,380,380,0.9,0.7,0.7,3.3,2.5,2.5,6.1,1.4,1.6
ILOC50501003,19,43,43,719,843,842,2416,2031,2038,2167,2000,2000,400,380,381,0.9,0.7,0.7,3.4,2.7,2.7,4,1.2,1.2
ILOC50501101,22,39,38,466,624,617,1262,1261,1261,1300,1334,1322,277,270,270,0.9,0.7,0.7,3.2,2.4,2.4,11.1,2.7,3.1
ILOC50501102,27,32,31,808,974,972,1855,2137,2131,1943,1888,1889,350,360,360,0.9,0.8,0.8,3.3,3,3,4.4,1.9,2
ILOC50501201,25,42,42,691,1010,1007,2217,2154,2155,2465,2383,2383,360,400,400,0.9,0.7,0.7,2.9,2.5,2.5,5.1,0.9,0.9
ILOC50501202,23,42,42,481,799,796,1550,2045,2039,2200,2167,2167,300,400,400,0.9,0.7,0.7,3,2.7,2.7,8.2,1,1
ILOC50501301,30,44,43,742,847,845,2476,2016,2025,2100,2000,2000,390,380,380,0.9,0.7,0.7,3.6,2.6,2.7,4.3,1,1.1
ILOC50501302,21,45,44,583,726,720,1452,1400,1403,2014,1612,1647,310,320,320,1,0.7,0.7,3.5,2.3,2.4,5.7,1.4,1.6
ILOC50501401,30,35,35,911,1161,1159,1916,2107,2105,2167,2137,2142,400,400,400,1,0.9,0.9,2,2,2,4.4,3,3
ILOC50501402,21,42,42,543,1176,1172,2078,2528,2519,3467,3033,3033,400,440,440,1,0.8,0.8,2.7,2.5,2.5,4.1,1.5,1.6
ILOC50501501,20,39,38,563,703,699,1704,1558,1564,1517,1517,1517,310,320,320,0.9,0.7,0.7,3.5,2.6,2.6,5.6,1.3,1.5
ILOC50501502,26,48,48,534,679,677,1335,1219,1222,1551,1600,1600,300,300,300,0.9,0.7,0.7,2.7,2.1,2.1,4.1,1.2,1.3
ILOC50501503,18,32,32,848,940,938,2216,2154,2156,2000,1912,1922,370,360,360,0.9,0.8,0.8,3.5,2.9,3,2.9,1,1
ILOC50501601,18,34,34,902,909,909,2187,2092,2096,2000,1959,1971,400,375,380,0.9,0.8,0.8,3.6,3,3,2.9,1.4,1.5
ILOC50501701,22,40,39,510,1017,1010,1600,2009,2004,2167,2200,2200,300,360,360,0.9,0.8,0.8,2.7,2.2,2.2,7.3,1.2,1.3
ILOC50501702,29,36,36,635,992,986,1614,1853,1846,2167,2000,2000,333,350,350,0.9,0.8,0.8,2.5,2.2,2.2,6,2.4,2.5
ILOC50501801,27,39,39,833,1091,1090,2212,2231,2231,2167,2232,2232,350,410,410,0.9,0.8,0.8,2.7,2.4,2.4,4.8,1,1
ILOC50501802,28,41,41,558,825,822,1494,1733,1728,1792,2000,2000,318,330,330,0.9,0.8,0.8,2.7,2.4,2.4,5.4,2.3,2.3
ILOC50501803,24,34,34,570,756,752,1303,1402,1399,1980,1550,1560,300,320,320,0.9,0.8,0.8,2.9,2.4,2.4,10.1,3.3,3.5
ILOC50501804,27,37,36,643,909,906,1276,1664,1658,1800,1778,1779,300,325,325,0.9,0.8,0.8,2.4,2.2,2.2,6.8,2.6,2.7
ILOC50501901,20,38,38,768,715,716,1637,1721,1719,1715,1733,1733,315,350,350,1,0.8,0.8,3.5,2.8,2.9,10.9,2.7,2.9
ILOC50501902,20,37,36,501,689,681,1375,1531,1524,1733,1600,1600,310,325,320,1,0.8,0.8,3.5,2.7,2.8,10,3.1,3.4
ILOC50501903,23,40,39,408,710,698,1199,1259,1255,1300,1346,1343,250,300,300,1,0.7,0.7,3.2,2.1,2.2,8.9,1.5,1.9
ILOC50501904,24,33,33,952,993,993,2174,2144,2145,2058,2000,2000,370,370,370,0.9,0.8,0.8,3.3,2.9,2.9,4.8,1.8,1.9
ILOC50501905,18,34,34,655,843,839,2004,1966,1967,1993,1845,1851,350,360,360,1,0.8,0.8,3.5,2.9,3,9.8,2.1,2.4
ILOC50501906,26,40,40,687,978,972,2416,2067,2075,2134,2100,2100,345,360,360,0.9,0.7,0.7,3,2.4,2.5,4.9,1.1,1.2
ILOC50501907,29,41,40,530,771,763,1009,1254,1237,1322,1500,1500,300,300,300,0.9,0.7,0.7,2.3,1.9,1.9,9.2,1.9,2.3
ILOC50501908,25,37,36,509,712,700,1214,1286,1280,1950,1560,1574,280,300,300,1,0.7,0.8,3,2.3,2.3,12.5,3.2,3.9
ILOC50501909,18,37,36,631,835,827,1662,1815,1802,1733,1716,1723,320,330,330,1,0.7,0.7,3.7,2.7,2.7,6.3,1.4,1.7
ILOC50502001,21,36,36,545,814,810,1722,1930,1925,1950,1900,1900,320,370,365,0.9,0.8,0.8,3.4,2.9,2.9,8.7,2.3,2.4
ILOC50502101,18,35,35,569,832,827,1643,1856,1850,1800,1863,1863,350,350,350,0.9,0.7,0.7,3.5,2.7,2.7,6.9,1.3,1.5
ILOC50600102,20,41,21,258,1958,268,759,2166,837,0,0,0,80,400,80,1.5,0.5,1.3,4.8,1.4,4.2,34,0,28.3
ILOC50600103,29,40,31,220,1718,232,974,1875,1350,0,0,0,50,0,50,2,0.5,1.7,6,1.3,5,72,0,56.3
ILOC50600104,24,54,28,232,1125,243,933,2624,1124,0,0,0,30,150,30,1.7,0.8,1.5,5.8,1.5,5.2,58.3,0,50
ILOC50600105,31,53,42,277,1062,458,749,1171,1102,0,0,0,103,86,100,1.4,1,1.1,3.3,1.5,2.2,29.2,4.9,13.8
ILOC50600106,20,32,31,1375,1657,1624,2821,3027,2995,1192,932,1032,110,110,110,1,0.8,0.9,3.3,2.6,2.7,2.6,1.5,1.7
ILOC50600107,27,59,38,240,1233,296,1312,1416,1357,0,0,0,40,0,40,1.7,0.6,1.1,4.9,1.4,2.9,56.3,0,24.3
ILOC50600108,26,24,26,233,1874,245,966,2250,1083,0,0,0,30,45,30,1.8,1,1.7,5.1,3.2,4.7,52.6,0,41.7
ILOC50600109,28,38,31,243,1649,260,880,1999,1083,0,0,0,50,125,50,1.7,0.7,1.4,4.9,1.3,3.9,59.1,0,43.3
ILOC50600110,24,30,24,245,1416,256,1083,2249,1312,0,0,0,100,0,100,1.6,0.5,1.4,5.6,1.8,4.7,57.1,0,44.4
ILOC50600111,37,38,38,1955,2285,2264,962,1125,1089,0,1700,1700,80,130,80,1.5,1,1.1,3.9,1.8,2.1,33.3,8.2,12.1
ILOC50600112,0,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
ILOC50600201,29,36,36,919,1295,1278,778,1985,1909,2384,2080,2100,100,280,265,1.1,0.9,0.9,2.7,2.5,2.5,11.3,4.4,4.9
ILOC50600202,36,35,35,524,1513,1392,2062,2704,2596,500,1950,1825,100,350,240,0.8,0.8,0.8,2.4,2.5,2.5,3.6,1,1.6
ILOC50600203,26,35,35,1604,2008,1969,3200,3216,3215,1563,0,1563,31,29,30,0.9,0.8,0.8,3,2.4,2.5,2.2,0.3,0.6
ILOC50600204,22,32,31,1321,1806,1768,3014,3174,3150,5800,1083,1200,42,48,48,1,0.9,0.9,3.3,2.9,2.9,6.5,1.3,2
ILOC50600301,22,33,32,910,1615,1570,2491,3255,3194,2000,1950,1972,257,340,320,0.9,0.8,0.9,3.1,2.7,2.8,5.9,1.8,2.2
ILOC50600401,30,59,31,237,1875,249,489,1499,575,0,0,0,75,0,75,0.9,0.4,0.8,3.1,1,2.9,5.9,0,5.3
ILOC50600402,28,37,34,362,1674,1105,850,3374,2457,2370,2534,2470,88,850,120,1.4,0.9,1.1,3,2.9,2.9,18.9,4.3,10.8
ILOC50600403,29,34,34,1213,1885,1841,3026,3452,3403,1411,1890,1833,150,220,210,0.9,0.9,0.9,2.7,2.5,2.5,2.8,2,2.1
ILOC50600404,25,33,32,631,1558,1415,2021,2821,2586,1517,1333,1387,161,255,240,1,0.9,0.9,3.1,2.6,2.7,9.1,2.6,4.2
ILOC50600405,62,0,62,350,0,350,350,0,350,0,0,0,0,0,0,0.5,0,0.5,1,0,1,0,0,0
ILOC50600501,33,42,36,283,1511,1066,725,2416,1833,0,1875,1875,35,430,150,1.1,0.8,0.9,2.9,2.3,2.4,11.5,4.2,5.8
ILOC50600502,29,37,37,1531,1886,1870,3125,3572,3547,2886,2383,2383,490,490,490,1.1,0.9,0.9,3.3,2.9,2.9,4.8,2.1,2.2
ILOC50600503,25,27,25,283,949,320,1125,1125,1125,1360,2000,1680,175,350,200,1.4,0.7,1.1,4.4,2.4,3.7,23.8,0,15.6
ILOC50600504,35,43,37,324,1062,394,888,2222,1089,1500,1272,1500,157,200,161,1.1,0.8,1,3.1,2.2,2.8,20,3.7,14.8
ILOC50600505,22,32,31,1287,1741,1680,2750,3458,3374,847,834,834,125,115,115,0.9,0.9,0.9,3.2,2.9,2.9,3.9,1.5,2
ILOC50700101,24,48,47,398,691,677,1029,1189,1180,1365,1387,1387,268,300,300,1,0.7,0.7,2.9,2.1,2.1,7.8,1.3,1.6
ILOC50700102,27,44,43,569,739,736,1515,1531,1530,1717,1647,1647,310,320,320,0.9,0.7,0.8,3.3,2.5,2.6,5.1,1.6,1.7
ILOC50700201,26,48,48,528,719,710,1403,1359,1361,1221,1408,1400,200,220,216,1,0.7,0.7,3.1,2.3,2.4,7.1,1.6,1.8
ILOC50700202,49,60,60,519,492,492,1249,863,866,1300,897,953,260,200,200,0.8,0.7,0.7,2.6,1.9,1.9,0,1.9,1.8
ILOC50700203,44,52,52,356,615,586,769,1110,1078,867,867,867,135,165,160,0.9,0.7,0.7,2.3,2.2,2.2,5.4,1.5,1.8
ILOC50700204,26,62,59,359,561,518,850,982,969,1300,758,758,180,117,130,1.1,0.6,0.6,3.4,1.9,2,22.2,0.5,2.5
ILOC50700205,27,57,56,483,559,554,1093,1007,1011,1400,1322,1348,231,265,260,0.9,0.7,0.7,2.7,2.1,2.1,10.6,1.4,1.8
ILOC50700301,27,47,46,606,790,786,1586,1405,1409,1524,1523,1523,320,300,300,0.9,0.7,0.7,2.8,2.1,2.1,4.3,1,1.1
ILOC50700302,19,39,38,476,819,807,1286,1715,1694,1647,1550,1560,286,350,340,0.9,0.7,0.7,3.5,2.6,2.6,11.6,2,2.5
ILOC50700303,31,39,38,599,726,720,1531,1509,1510,1244,1480,1473,320,320,320,0.9,0.7,0.7,3,2.5,2.5,4.1,1.3,1.5
ILOC50700304,22,42,40,482,599,592,1220,998,1018,1226,1265,1261,280,270,270,0.9,0.7,0.7,2.9,2,2.1,5.8,2.4,2.6
ILOC50700305,22,41,39,446,566,552,1037,979,983,1246,1300,1300,249,235,240,1,0.7,0.7,2.9,2.1,2.2,10.7,2,2.7
ILOC50700401,19,45,45,573,754,751,1456,1458,1458,1820,1750,1755,350,370,369,1,0.7,0.7,3.3,2.4,2.5,6.9,1.1,1.3
ILOC50700501,22,44,43,512,813,796,1190,1402,1387,1083,910,927,190,200,200,0.9,0.7,0.7,2.9,2.3,2.3,7.3,0.8,1.2
ILOC50700502,32,48,47,462,873,853,966,1299,1286,650,768,719,125,140,133,0.8,0.7,0.7,2.5,2.1,2.1,7.8,0.6,0.9
