ILOC_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
ILOC50200201,6,25,28,3,0,5,0,0,0,3,0,3,0,0,0,6,0,8,9,36,49,5,44,49,5,8,15,0,16,16,19,104,129,38,154,190
ILOC50200202,3,22,24,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,3,30,33,12,40,49,0,4,4,0,0,0,15,74,86,22,110,128
ILOC50200301,0,84,79,0,4,4,0,4,0,0,0,0,0,0,0,0,8,4,10,169,182,11,183,195,0,106,106,0,28,28,21,486,511,32,619,648
ILOC50200302,13,18,27,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,7,42,49,8,44,55,0,26,26,0,6,6,15,118,136,35,144,180
ILOC50200303,13,127,140,3,15,19,3,0,9,0,0,0,0,0,4,6,15,32,19,282,305,18,431,451,0,169,168,0,25,25,37,907,949,72,1122,1191
ILOC50200401,119,362,478,48,52,101,11,0,13,0,4,4,6,0,6,65,56,124,145,928,1074,103,1174,1274,18,303,324,0,38,40,266,2443,2712,500,2994,3497
ILOC50200402,43,265,314,11,24,34,7,5,6,3,0,3,0,0,0,21,29,43,83,610,692,65,939,1006,41,642,684,8,56,65,197,2247,2447,284,2699,2982
ILOC50200403,64,247,308,27,26,55,10,3,10,0,0,0,0,0,0,37,29,65,65,728,795,72,1046,1119,20,572,592,5,57,60,162,2403,2566,297,2811,3100
ILOC50200404,58,347,397,6,36,36,4,8,7,8,0,3,0,0,0,18,44,46,112,1144,1253,69,1492,1560,33,846,883,0,71,71,214,3553,3767,311,4133,4443
ILOC50200501,26,237,263,11,28,38,0,4,6,0,0,0,3,0,3,14,32,47,47,590,640,50,997,1053,14,486,498,3,76,77,114,2149,2268,163,2610,2778
ILOC50200601,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,0,0,0,4,4,0,0,0,0,12,10,3,13,18
ILOC50200602,35,20,62,10,0,14,10,0,10,0,0,0,0,0,0,20,0,24,33,27,61,25,47,65,8,17,22,0,11,7,66,102,155,132,129,260
ILOC50200701,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,10,0,10,0,4,0,0,0,0,0,0,0,10,4,10,17,0,24
ILOC50200702,17,123,138,0,11,11,0,5,5,0,0,4,0,4,3,0,20,23,18,93,107,28,104,134,0,41,43,0,12,14,46,250,298,72,439,509
ILOC50300101,53,454,502,6,44,48,6,6,14,0,0,0,0,0,0,12,50,62,58,1002,1062,53,1341,1391,17,593,611,0,79,80,128,3015,3144,210,3722,3934
ILOC50300102,18,200,218,0,22,24,0,5,5,0,0,0,0,0,0,0,27,29,26,432,461,17,614,632,9,272,283,0,64,63,52,1382,1439,85,1761,1843
ILOC50300201,15,35,50,3,5,5,0,0,0,0,0,0,0,0,0,3,5,5,8,57,62,16,88,102,4,25,30,0,5,5,28,175,199,46,233,276
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,12,12,0,4,6,0,3,3,0,24,26,4,53,58
ILOC50300204,10,85,102,3,13,13,0,5,0,0,0,0,0,0,0,3,18,13,23,215,235,21,304,325,6,71,79,0,0,0,50,590,639,67,737,802
ILOC50300205,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,10,0,10,0,0,0,0,0,0,0,0,0,10,0,10,18,0,18
ILOC50300206,8,20,24,3,0,5,0,0,0,0,0,0,0,0,0,3,0,5,8,52,61,7,74,83,3,21,25,0,9,9,18,156,178,36,200,239
ILOC50300301,158,1276,1435,50,140,190,8,23,36,4,4,7,0,0,0,62,167,233,214,2613,2826,187,3170,3359,60,1304,1361,8,158,165,469,7245,7711,777,9195,9974
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ILOC50300401,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,0,3,5,0,5,0,0,0,15,0,15,21,0,21
ILOC50300402,4,0,4,5,0,5,0,0,0,0,0,0,6,0,6,11,0,11,0,3,7,6,0,10,0,0,0,0,0,0,6,3,17,27,0,31
ILOC50300403,8,0,8,4,0,4,0,0,0,0,0,0,4,0,4,8,0,8,3,0,3,4,3,6,0,0,0,0,0,0,7,3,9,23,3,29
ILOC50300405,5,0,5,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,6,0,6,11,0,9,0,0,0,0,0,0,17,0,15,20,0,27
ILOC50300406,8,0,8,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,6,4,7,3,8,8,0,0,0,0,0,0,9,12,15,33,10,37
ILOC50300407,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,6,0,3,0,0,0,0,0,0,10,3,11,25,8,33
ILOC50300408,9,0,9,8,0,8,0,0,0,3,0,3,3,0,3,14,0,14,8,0,9,4,8,10,0,0,0,0,0,0,12,8,19,35,10,41
ILOC50300409,6,13,26,7,0,3,0,0,0,0,0,0,6,0,6,13,0,9,14,25,34,11,22,26,4,21,20,0,7,7,29,75,87,47,93,137
ILOC50300410,0,0,3,3,0,3,0,0,0,6,0,6,0,0,0,9,0,9,3,3,6,16,3,14,4,0,4,0,0,0,23,6,24,30,8,37
ILOC50300501,9,31,38,6,7,13,0,0,4,4,0,4,0,0,0,10,7,21,8,28,33,7,37,40,0,11,15,0,3,3,15,79,91,34,134,170
ILOC50300502,4,24,26,4,5,5,0,0,0,0,0,0,0,0,0,4,5,5,9,60,68,4,51,58,3,7,7,0,0,4,16,118,137,28,163,196
ILOC50300503,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,0,0,0,0,0,5,6,7,4,16
ILOC50300601,16,4,23,23,5,23,15,0,15,0,0,0,4,0,4,42,5,42,27,16,44,13,11,24,0,0,0,0,0,0,40,27,68,98,34,129
ILOC50300701,9,13,17,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,10,12,24,4,14,18,0,4,4,0,0,3,14,30,49,39,49,84
ILOC50400101,13,20,32,3,0,9,0,0,0,3,0,3,0,0,0,6,0,12,4,3,7,9,5,11,0,0,3,0,0,0,13,8,21,38,39,75
ILOC50400102,3,5,4,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,5,0,5,3,0,3,0,0,0,0,0,0,8,0,8,13,0,13
ILOC50400103,23,0,23,16,0,16,12,0,12,6,0,6,7,0,7,41,0,41,9,0,9,0,3,3,0,0,0,0,0,0,9,3,12,77,19,94
ILOC50400201,15,12,32,10,0,12,15,0,15,4,0,4,9,0,9,38,0,40,12,4,20,3,0,3,4,0,8,0,0,0,19,4,31,79,21,100
ILOC50400202,4,5,12,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,7,3,6,0,3,7,0,0,0,0,0,0,7,6,13,18,16,34
ILOC50400203,0,0,0,5,0,5,5,0,5,3,0,3,0,0,0,13,0,13,5,0,9,3,0,3,0,0,0,0,0,0,8,0,12,23,7,23
ILOC50400204,12,5,16,7,0,7,3,0,3,0,0,0,0,0,0,10,0,10,11,0,13,5,0,8,0,0,0,0,0,0,16,0,21,47,9,55
ILOC50400205,10,0,11,9,0,9,6,0,6,0,0,0,0,0,0,15,0,15,10,0,10,6,0,5,0,0,0,0,0,0,16,0,15,31,5,33
ILOC50400301,57,18,78,26,5,36,10,0,10,5,0,5,7,0,7,48,5,58,74,48,119,20,36,53,6,8,16,0,0,3,100,92,191,227,147,375
ILOC50400302,15,0,15,8,0,8,9,0,9,4,0,4,3,0,3,24,0,24,11,0,11,5,0,5,0,0,0,0,0,0,16,0,16,59,0,56
ILOC50400303,8,0,8,8,0,8,0,0,0,6,0,6,0,0,0,14,0,14,6,0,6,4,0,4,0,0,0,0,0,0,10,0,10,32,0,32
ILOC50400401,27,4,32,11,0,12,8,0,8,4,0,4,0,0,0,23,0,24,17,3,19,8,4,13,6,0,4,0,0,0,31,7,36,90,15,106
ILOC50400501,16,0,18,17,0,17,8,0,8,3,0,3,0,0,0,28,0,28,12,4,12,9,7,14,6,0,10,0,0,0,27,11,36,68,14,85
ILOC50400601,100,194,294,48,23,67,14,8,20,3,0,7,3,0,3,68,31,97,99,286,384,54,295,349,14,96,111,5,8,5,172,685,849,367,993,1361
ILOC50400602,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,19,0,19
ILOC50400603,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,14,0,14
ILOC50400701,15,55,69,3,12,17,0,0,6,4,0,4,0,0,0,7,12,27,8,55,63,8,41,54,3,34,34,0,6,10,19,136,161,52,226,271
ILOC50400702,5,6,14,0,3,7,0,0,0,0,0,0,0,0,0,0,3,7,0,0,4,3,0,6,0,0,0,0,4,4,3,4,14,21,23,48
ILOC50400801,39,19,54,12,0,12,5,0,5,6,0,6,0,0,0,23,0,23,43,29,71,25,25,49,3,3,3,0,0,0,71,57,123,142,78,226
ILOC50500101,88,727,815,27,90,122,10,14,26,0,3,5,0,3,3,37,110,156,111,1567,1686,57,2078,2137,10,341,354,0,35,36,178,4021,4213,331,5144,5471
ILOC50500102,56,1536,1589,26,235,259,4,31,36,0,5,5,0,0,4,30,271,304,119,4879,4993,98,6380,6483,53,3208,3256,3,343,348,273,14810,15080,381,17388,17770
ILOC50500103,46,466,509,11,67,81,0,3,11,0,0,0,0,0,4,11,70,96,52,1037,1086,46,1519,1568,12,553,561,0,79,76,110,3188,3291,193,3907,4102
ILOC50500104,39,410,447,8,69,83,3,13,15,0,6,4,0,0,3,11,88,105,53,889,946,43,1205,1249,15,636,651,0,34,34,111,2764,2880,179,3412,3591
ILOC50500105,25,188,208,9,41,47,0,8,8,4,0,4,0,0,0,13,49,59,28,387,417,27,639,665,7,164,176,0,14,18,62,1204,1276,94,1524,1616
ILOC50500201,42,773,815,13,85,99,4,6,13,0,3,3,0,0,0,17,94,115,62,2003,2063,34,2277,2312,8,688,693,0,82,81,104,5050,5149,176,6164,6350
ILOC50500301,51,1304,1356,17,203,214,6,46,49,0,8,8,0,5,3,23,262,274,79,3367,3452,56,4596,4652,14,1941,1957,0,237,238,149,10141,10299,244,12242,12493
ILOC50500302,81,2653,2737,18,248,260,4,26,36,0,4,4,0,0,0,22,278,300,101,5471,5572,46,4283,4334,17,1102,1118,0,78,78,164,10934,11102,284,14440,14730
ILOC50500401,62,851,911,15,110,123,3,13,20,0,0,3,0,0,4,18,123,150,67,1711,1777,52,1986,2037,6,680,686,0,56,56,125,4433,4556,220,5656,5881
ILOC50500402,46,604,648,6,100,100,6,13,15,0,4,4,0,0,0,12,117,119,41,1049,1092,35,1011,1042,6,256,268,0,26,28,82,2342,2430,136,3260,3402
ILOC50500403,5,467,472,5,81,85,0,3,3,0,4,4,0,0,0,5,88,92,23,861,886,11,988,1001,3,253,255,0,22,20,37,2124,2162,53,2807,2861
ILOC50500404,41,1285,1327,6,126,132,0,9,14,0,0,0,0,0,0,6,135,146,43,1699,1746,26,1153,1178,5,253,258,0,20,20,74,3125,3202,139,4739,4873
ILOC50500501,38,1921,1956,10,239,248,0,32,31,0,7,10,0,3,3,10,281,292,57,4703,4761,58,5628,5685,15,2814,2830,5,397,394,135,13542,13670,194,16382,16576
ILOC50500502,88,2372,2458,22,435,454,4,98,104,5,19,24,0,3,7,31,555,589,105,4064,4167,84,3979,4061,12,1269,1283,4,197,200,205,9509,9711,357,13124,13481
ILOC50500503,11,205,215,0,33,41,0,9,9,0,3,3,0,0,0,0,45,53,9,735,743,4,991,992,3,914,919,0,130,136,16,2770,2790,36,3184,3216
ILOC50500601,48,950,993,14,107,125,3,12,13,0,0,0,0,0,0,17,119,138,74,2642,2712,57,3628,3681,22,2056,2073,0,154,151,153,8480,8617,235,10003,10238
ILOC50500602,22,962,986,9,99,108,0,30,33,0,6,6,0,0,0,9,135,147,54,2510,2564,46,3152,3205,21,1569,1591,4,169,172,125,7400,7532,173,8878,9049
ILOC50500603,66,1536,1605,19,173,194,6,21,27,0,4,3,0,0,0,25,198,224,108,4440,4545,88,5300,5388,35,2859,2892,0,193,195,231,12792,13020,348,15224,15568
ILOC50500604,17,395,417,8,41,52,0,4,3,0,3,4,0,0,0,8,48,59,20,761,782,24,959,978,5,128,131,0,9,9,49,1857,1900,78,2434,2515
ILOC50500605,43,918,958,10,74,79,0,9,12,0,0,3,0,0,0,10,83,94,64,1790,1850,30,1747,1776,3,401,403,0,36,36,97,3974,4065,163,5264,5427
ILOC50500701,122,3205,3329,20,227,247,3,24,28,3,3,6,0,0,0,26,254,281,91,5707,5793,48,4502,4543,10,1182,1195,0,168,170,149,11559,11701,325,15736,16062
ILOC50500801,18,498,519,4,105,113,3,20,26,0,4,4,0,3,3,7,132,146,24,923,945,27,1060,1083,8,343,353,0,28,31,59,2354,2412,98,3141,3242
ILOC50500802,13,1052,1068,0,166,169,0,50,50,0,4,4,0,3,3,0,223,226,41,3250,3290,40,3668,3703,15,2133,2148,3,141,143,99,9192,9284,133,10959,11092
ILOC50500803,78,1090,1169,11,197,211,3,32,39,3,17,19,0,0,0,17,246,269,106,2235,2338,87,2786,2878,26,772,800,5,64,69,224,5857,6085,365,7513,7877
ILOC50500804,19,321,342,6,50,57,3,12,14,0,8,8,0,0,0,9,70,79,39,721,761,31,1000,1031,9,580,590,3,45,40,82,2346,2422,118,2867,2992
ILOC50500805,14,238,256,4,47,53,4,22,25,0,4,4,0,0,0,8,73,82,27,504,534,24,669,693,3,267,271,0,25,25,54,1465,1523,96,1876,1966
ILOC50500806,13,307,323,3,75,80,0,18,21,0,0,6,0,0,0,3,93,107,16,579,597,21,607,630,0,159,163,0,21,21,37,1366,1411,64,1853,1914
ILOC50500807,48,794,844,11,152,166,4,36,45,0,10,13,0,0,4,15,198,228,53,1375,1427,40,1740,1779,20,572,590,0,54,54,113,3741,3850,195,5001,5193
ILOC50500808,49,896,945,23,165,183,3,38,41,0,9,15,0,5,3,26,217,242,68,2125,2194,62,2833,2894,15,1612,1625,0,159,161,145,6729,6874,251,8154,8401
ILOC50500901,37,1648,1686,7,152,161,0,27,30,0,5,3,0,0,0,7,184,194,78,4795,4872,84,6700,6781,25,4763,4796,3,555,558,190,16813,17007,258,19600,19860
ILOC50500902,59,2553,2611,14,171,189,6,29,33,0,5,3,0,0,0,20,205,225,129,9310,9443,125,13913,14042,64,8502,8566,15,1059,1071,333,32784,33122,445,37214,37658
ILOC50501001,49,448,498,16,59,75,3,12,13,0,5,5,0,0,0,19,76,93,57,1219,1283,45,1894,1938,22,827,853,0,77,77,124,4017,4151,204,4774,4977
ILOC50501002,34,353,384,8,49,57,0,9,9,0,0,0,0,0,0,8,58,66,61,1124,1190,40,1695,1735,22,846,868,3,63,67,126,3728,3860,176,4392,4571
ILOC50501003,22,944,967,5,108,115,0,24,21,0,4,4,0,0,0,5,136,140,65,2915,2988,58,3953,4013,30,2591,2619,6,480,487,159,9939,10107,201,11498,11700
ILOC50501101,98,895,989,30,137,170,10,35,41,0,8,10,0,0,0,40,180,221,120,1975,2095,87,2450,2529,30,849,877,0,63,66,237,5337,5567,406,6771,7182
ILOC50501102,38,817,851,9,126,134,0,26,29,0,3,6,0,0,0,9,155,169,74,2344,2413,83,2915,2996,27,1472,1497,3,110,117,187,6841,7023,250,8234,8487
ILOC50501201,64,2654,2715,9,177,186,4,15,18,0,7,9,0,0,0,13,199,213,86,7438,7527,68,7931,8004,21,3048,3072,7,501,505,182,18918,19108,279,22600,22877
ILOC50501202,44,1445,1488,14,130,142,5,24,20,0,3,3,0,0,0,19,157,165,61,4413,4473,46,5230,5271,14,3914,3930,5,567,569,126,14124,14243,194,16377,16578
ILOC50501301,44,958,1004,13,89,99,0,20,21,0,3,3,0,0,0,13,112,123,75,2648,2726,74,3883,3960,21,2407,2424,0,349,355,170,9287,9465,252,10909,11164
ILOC50501302,44,321,368,8,36,48,4,3,3,0,0,0,0,0,0,12,39,51,52,665,718,46,1142,1189,11,594,604,0,99,99,109,2500,2610,175,2980,3158
ILOC50501401,132,8192,8321,14,655,669,0,70,70,0,7,9,0,0,0,14,732,748,122,9510,9636,32,4322,4354,3,700,704,4,99,106,161,14631,14800,322,24426,24747
ILOC50501402,93,6650,6744,6,490,505,0,30,29,0,6,6,0,0,0,6,526,540,88,11149,11236,42,9603,9649,13,4028,4041,3,1022,1026,146,25802,25952,269,34431,34701
ILOC50501501,134,1195,1337,31,167,195,6,24,33,0,11,11,0,5,3,37,207,242,188,3467,3651,167,5633,5797,86,3962,4050,11,249,260,452,13311,13758,680,15543,16226
ILOC50501502,42,1270,1313,8,118,129,5,23,20,0,0,0,0,0,0,13,141,149,121,3448,3571,71,4160,4225,29,1943,1973,0,166,165,221,9717,9934,295,11689,11981
ILOC50501503,77,1439,1516,13,158,172,0,25,28,4,6,3,0,0,0,17,189,203,212,5573,5783,207,6694,6905,100,4261,4357,6,290,296,525,16818,17341,653,19567,20223
ILOC50501601,54,837,889,4,106,109,0,29,32,0,4,4,0,0,0,4,139,145,119,2414,2538,116,3372,3486,51,2329,2382,6,230,232,292,8345,8638,384,9852,10232
ILOC50501701,71,2668,2737,16,185,199,3,22,25,0,3,3,0,0,0,19,210,227,87,6435,6523,48,5378,5421,12,1654,1666,0,315,315,147,13782,13925,258,17271,17530
ILOC50501702,102,3392,3496,17,331,341,8,28,32,0,6,6,0,4,4,25,369,383,119,5125,5252,64,4685,4748,14,908,921,6,113,123,203,10831,11044,356,15174,15527
ILOC50501801,81,3920,4000,8,281,288,5,25,30,4,5,3,0,0,0,17,311,321,111,10694,10806,77,10767,10844,13,3574,3586,7,433,439,208,25468,25675,331,31144,31474
ILOC50501802,87,3395,3481,18,373,385,7,64,70,0,15,15,0,5,5,25,457,475,116,6645,6764,71,6141,6214,19,2251,2267,0,397,397,206,15434,15642,331,20069,20400
ILOC50501803,60,1176,1241,15,181,195,3,40,46,0,9,14,0,0,0,18,230,255,59,2083,2145,42,2623,2662,7,542,547,0,55,55,108,5303,5409,205,7083,7292
ILOC50501804,181,6257,6440,32,838,863,6,92,100,0,10,10,0,9,8,38,949,981,191,12895,13088,101,11866,11959,18,2617,2633,4,312,317,314,27690,27997,558,36197,36752
ILOC50501901,32,735,762,13,126,139,4,35,38,0,10,10,0,0,0,17,171,187,39,1623,1660,43,2170,2210,20,1385,1404,0,162,165,102,5340,5439,164,6532,6695
ILOC50501902,81,912,993,23,161,186,12,36,46,5,15,16,0,3,3,40,215,251,95,1883,1979,71,2532,2603,21,1119,1139,5,86,92,192,5620,5813,336,7096,7434
ILOC50501903,20,130,148,3,8,13,5,0,5,0,0,0,0,0,0,8,8,18,17,246,268,0,263,258,5,44,45,0,3,4,22,556,575,45,745,798
ILOC50501904,76,1651,1725,18,231,249,8,50,58,8,9,14,0,8,9,34,298,330,185,4713,4895,171,6191,6367,86,3077,3162,8,321,331,450,14302,14755,603,17056,17659
ILOC50501905,63,854,917,28,142,170,6,27,39,0,4,6,0,0,0,34,173,215,101,2627,2726,88,2844,2935,41,1488,1526,3,68,72,233,7027,7259,365,8507,8872
ILOC50501906,23,329,347,3,30,34,0,9,9,0,0,0,0,0,0,3,39,43,40,887,928,25,1188,1213,7,501,513,0,35,41,72,2611,2695,101,3118,3221
ILOC50501907,35,455,498,13,37,45,5,7,12,0,0,0,0,0,0,18,44,57,48,848,895,17,733,751,0,117,120,0,16,16,65,1714,1782,130,2339,2465
ILOC50501908,57,404,459,18,65,81,6,10,19,3,3,4,0,0,0,27,78,104,54,826,877,43,889,931,17,202,223,0,12,14,114,1929,2045,202,2554,2752
ILOC50501909,40,201,235,6,32,37,0,0,4,0,0,0,0,0,0,6,32,41,40,556,596,34,850,877,22,557,579,0,33,29,96,1996,2081,159,2343,2496
ILOC50502001,171,3896,4065,53,690,746,19,164,179,3,31,39,3,19,29,78,904,993,277,11200,11475,253,14454,14707,79,7457,7538,6,565,573,615,33676,34293,930,40427,41359
ILOC50502101,152,2416,2571,42,318,361,8,49,61,4,8,9,0,0,5,54,375,436,250,8263,8514,213,10701,10916,78,5379,5459,5,375,387,546,24718,25276,807,29092,29898
ILOC50600102,23,0,23,4,0,4,7,0,7,0,0,0,4,0,4,15,0,15,6,3,16,3,3,7,0,0,0,0,0,0,9,6,23,50,8,58
ILOC50600103,0,0,0,4,0,4,6,0,6,0,0,0,4,0,4,14,0,14,0,3,4,0,0,7,0,0,0,0,0,0,0,3,11,24,5,33
ILOC50600104,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,8,0,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,15,0,18
ILOC50600105,3,13,24,0,0,4,0,0,0,7,0,7,5,0,5,12,0,16,10,9,16,4,5,14,4,0,0,0,0,0,18,14,30,24,39,64
ILOC50600106,36,152,193,4,16,18,0,0,0,0,0,0,0,0,0,4,16,18,83,437,519,49,336,387,6,79,92,0,12,12,138,864,1010,198,1107,1305
ILOC50600107,0,4,8,5,0,5,0,0,0,0,0,0,4,0,4,9,0,9,3,0,4,4,8,8,0,4,4,0,0,0,7,12,16,18,25,35
ILOC50600108,5,0,3,3,0,3,6,0,6,4,0,4,4,0,4,17,0,17,5,0,10,0,0,3,0,0,0,0,0,0,5,0,13,17,3,28
ILOC50600109,5,0,8,6,0,6,3,0,3,0,0,0,3,0,3,12,0,12,7,0,8,0,0,3,0,0,0,0,0,0,7,0,11,26,6,33
ILOC50600110,3,0,3,3,0,3,7,0,7,0,0,0,0,0,0,10,0,10,0,3,3,3,0,3,0,0,0,0,0,0,3,3,6,17,4,17
ILOC50600111,0,19,25,4,3,5,0,0,3,0,0,0,0,0,0,4,3,8,0,4,5,0,0,0,0,7,9,0,4,4,0,15,18,11,52,58
ILOC50600112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600201,30,271,297,10,37,43,0,11,12,7,0,7,0,3,6,17,51,68,25,288,312,16,344,362,4,114,120,0,15,15,45,761,809,94,1190,1290
ILOC50600202,9,23,33,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,16,77,93,11,63,71,12,22,36,0,0,0,39,162,200,57,200,254
ILOC50600203,7,22,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,95,110,18,137,157,0,8,11,0,0,0,33,240,278,46,292,338
ILOC50600204,23,131,157,8,9,12,0,0,0,0,6,6,0,0,0,8,15,18,26,255,284,30,229,260,8,25,32,0,3,4,64,512,580,105,692,797
ILOC50600301,118,623,744,24,76,96,3,3,10,7,0,6,0,0,0,34,79,112,174,1417,1596,159,1480,1638,38,575,611,5,51,54,376,3523,3899,577,4486,5062
ILOC50600401,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,8,0,3,0,0,0,0,0,0,11,0,8,17,0,21
ILOC50600402,7,4,13,4,0,3,5,0,5,0,0,7,0,0,0,9,0,15,4,10,15,6,18,23,3,10,11,5,3,4,18,41,53,40,47,84
