ILOC_CODE_2021,Negative_Nil_income_M,Negative_Nil_income_F,Negative_Nil_income_P,1_149_M,1_149_F,1_149_P,150_299_M,150_299_F,150_299_P,300_399_M,300_399_F,300_399_P,400_499_M,400_499_F,400_499_P,500_649_M,500_649_F,500_649_P,650_799_M,650_799_F,650_799_P,800_999_M,800_999_F,800_999_P,1000_1249_M,1000_1249_F,1000_1249_P,1250_1499_M,1250_1499_F,1250_1499_P,1500_1749_M,1500_1749_F,1500_1749_P,1750_1999_M,1750_1999_F,1750_1999_P,2000_or_more_M,2000_or_more_F,2000_or_more_P,Personal_income_nsM,Personal_income_nsF,Personal_income_nsP,Tot_M,Tot_F,Tot_P
ILOC50500801,7,4,8,3,0,0,8,4,13,7,13,17,4,9,11,4,17,25,7,8,14,4,3,11,9,6,16,8,0,12,6,8,12,5,0,3,8,0,12,4,7,4,80,82,163
ILOC50500802,11,13,32,3,6,9,0,9,13,6,5,8,0,6,4,3,5,10,0,9,8,6,3,11,0,9,11,6,7,14,13,3,18,0,3,3,19,10,30,333,91,423,408,193,600
ILOC50500803,19,32,51,11,13,25,27,21,51,34,33,72,7,37,49,16,28,48,9,19,23,22,10,38,20,18,40,12,12,20,13,10,20,10,5,13,18,6,25,12,18,32,236,276,512
ILOC50500804,19,16,30,0,0,0,4,4,11,9,12,20,4,4,8,5,9,18,5,4,11,9,6,17,13,4,14,6,3,10,9,3,10,0,4,3,12,0,12,3,5,10,94,80,171
ILOC50500805,10,15,24,0,0,3,5,8,15,6,11,19,5,11,17,0,10,16,6,10,9,7,6,8,3,0,4,0,7,11,0,4,5,0,0,3,8,0,3,10,0,18,65,88,160
ILOC50500806,0,4,4,4,4,6,7,9,12,9,4,13,4,8,13,5,8,14,0,0,0,5,0,8,0,6,4,0,0,3,0,8,8,0,0,0,0,0,3,3,0,4,43,57,96
ILOC50500807,10,15,31,6,9,15,20,15,39,10,23,36,14,24,31,12,11,23,6,10,20,11,8,24,8,16,25,6,7,13,7,12,18,9,3,8,7,5,11,10,7,15,141,166,307
ILOC50500808,21,31,53,7,12,19,19,24,38,14,18,36,9,22,32,18,24,37,13,5,20,8,7,13,16,17,34,15,12,23,4,11,13,7,5,14,13,3,19,6,0,9,171,196,369
ILOC50500901,30,26,53,5,3,9,8,16,26,12,6,23,9,7,20,8,11,24,8,10,17,3,11,17,16,14,25,16,6,22,11,9,21,10,4,17,37,17,51,8,3,12,180,142,325
ILOC50500902,26,37,58,13,10,27,13,24,41,12,22,40,17,24,44,11,18,29,12,15,29,15,17,34,27,28,60,25,25,48,13,12,25,23,13,33,62,30,90,7,12,18,281,288,570
ILOC50501001,23,13,42,8,5,9,17,19,33,16,19,37,8,13,19,10,9,17,7,8,18,10,9,18,11,16,27,7,13,16,5,7,18,8,7,15,19,0,23,5,3,4,148,152,296
ILOC50501002,13,21,38,8,5,9,8,10,17,6,8,13,10,12,23,4,13,14,5,15,16,8,11,15,12,14,24,9,11,24,12,8,19,3,0,8,16,12,30,7,7,13,120,146,261
ILOC50501003,19,47,60,5,7,11,14,8,14,3,14,21,8,5,13,6,11,15,5,11,10,11,13,26,16,9,23,10,7,15,4,6,12,9,3,8,26,19,52,8,4,12,139,163,299
ILOC50501101,45,46,84,11,22,30,29,37,61,32,44,81,26,30,56,20,33,51,10,26,36,21,26,47,20,21,38,20,16,31,19,9,30,9,8,12,20,10,26,16,11,30,291,331,619
ILOC50501102,32,21,53,10,9,12,8,15,21,16,15,27,6,10,15,8,9,19,8,17,20,10,16,22,13,23,33,16,21,33,14,10,31,16,0,22,25,4,32,494,0,501,656,175,833
ILOC50501201,19,12,29,13,11,19,17,16,38,15,17,27,8,22,27,11,12,28,9,8,21,9,9,19,16,3,22,6,3,10,10,13,24,8,10,21,41,20,60,6,4,12,182,158,343
ILOC50501202,18,15,37,4,11,14,12,18,39,19,23,43,7,9,23,9,19,29,3,7,13,3,4,15,14,10,20,3,8,15,9,7,14,5,10,11,17,16,26,5,19,28,133,183,316
ILOC50501301,23,29,54,10,12,20,7,19,27,15,20,33,10,13,19,6,8,12,12,18,25,11,8,15,9,17,23,17,4,23,21,13,36,10,9,19,35,19,51,598,4,601,780,188,972
ILOC50501302,23,20,38,3,5,4,18,12,27,8,7,18,9,13,20,6,12,18,3,8,15,11,10,16,9,14,24,4,10,15,10,4,14,11,3,10,10,7,19,11,3,14,135,125,258
ILOC50501401,23,12,37,9,12,15,20,11,28,17,28,46,10,23,29,8,25,34,12,13,22,18,18,34,14,15,34,9,19,29,18,19,34,10,12,22,66,38,101,8,9,12,235,239,474
ILOC50501402,32,39,68,21,23,44,19,6,24,13,21,36,10,24,28,16,15,32,8,16,22,7,9,18,12,16,29,7,11,20,5,10,15,12,11,22,41,28,67,7,7,14,212,228,440
ILOC50501501,62,79,141,20,30,48,42,36,74,44,54,92,22,40,62,19,52,76,16,40,52,25,45,67,30,41,70,25,17,32,29,20,51,21,3,27,73,26,97,31,33,61,457,500,954
ILOC50501502,14,14,26,10,16,25,23,19,42,17,20,39,15,23,38,6,12,27,9,20,28,14,8,17,19,18,32,11,10,16,10,8,16,9,0,9,28,10,41,9,7,15,183,181,371
ILOC50501503,42,63,109,12,22,30,22,30,43,14,27,41,17,27,48,15,41,58,16,38,60,16,45,61,30,40,67,32,43,71,30,20,52,22,9,33,107,29,135,15,10,21,389,430,824
ILOC50501601,20,40,54,10,17,29,11,12,20,7,15,27,10,13,19,9,19,27,17,17,34,11,23,33,19,29,46,15,26,40,23,17,41,9,10,20,38,19,59,63,3,69,263,262,523
ILOC50501701,46,24,70,12,16,24,20,21,39,16,20,31,10,19,27,16,17,33,6,9,20,11,18,20,4,7,16,8,9,21,5,12,24,9,0,9,46,22,59,21,22,40,222,222,446
ILOC50501702,20,23,42,4,5,10,31,24,56,27,28,47,18,20,32,25,25,49,14,14,26,19,18,36,17,18,29,13,16,25,11,22,34,15,11,21,35,24,61,18,32,46,265,262,525
ILOC50501801,29,18,46,15,4,15,13,20,34,16,15,29,14,28,36,18,23,32,3,17,22,5,22,27,11,17,36,8,13,18,8,22,31,13,4,19,74,31,105,3,4,7,226,233,459
ILOC50501802,35,32,67,10,9,17,15,22,40,21,34,51,18,28,41,8,19,32,11,15,21,15,13,24,15,9,31,19,21,35,14,18,29,6,3,9,45,21,66,8,6,17,236,255,489
ILOC50501803,11,10,23,4,0,9,11,12,32,13,15,30,17,19,40,13,16,29,4,17,19,7,13,22,6,18,24,10,13,26,4,5,16,5,4,13,8,8,17,12,9,18,138,164,304
ILOC50501804,27,27,57,10,9,22,29,34,59,35,47,76,19,48,68,21,38,57,10,32,45,22,35,58,20,28,47,17,26,40,10,27,42,11,15,25,53,25,80,17,23,35,301,418,723
ILOC50501901,14,22,40,0,7,11,10,11,21,10,11,18,6,4,13,6,12,10,5,10,19,15,11,30,13,15,25,12,14,24,8,5,13,0,3,8,16,7,24,4,4,10,116,145,264
ILOC50501902,39,32,72,5,15,22,18,48,63,29,22,50,13,34,44,20,41,60,18,31,49,14,4,19,13,16,29,21,11,27,17,15,27,8,9,15,13,10,24,17,14,27,244,293,534
ILOC50501903,10,5,14,0,0,0,0,4,4,12,0,9,3,0,4,0,0,0,0,4,9,0,3,7,4,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,32,36,71
ILOC50501904,47,59,104,6,21,25,22,36,56,30,29,58,15,22,35,14,41,52,17,26,37,24,31,51,47,39,84,38,38,81,19,20,48,25,28,56,89,32,122,11,135,148,402,551,956
ILOC50501905,46,37,81,7,14,19,25,21,48,22,17,43,13,27,33,7,21,33,14,21,33,8,21,31,22,17,41,22,17,34,20,5,20,19,11,35,54,12,65,8,9,18,275,256,536
ILOC50501906,24,12,30,3,3,7,8,3,7,4,8,13,5,3,9,5,0,8,7,3,11,0,5,9,3,8,9,6,0,11,0,3,8,5,5,9,26,5,33,0,4,5,100,70,167
ILOC50501907,4,6,14,7,3,4,4,12,14,8,18,30,3,14,16,0,9,12,7,7,9,6,6,11,7,3,14,6,6,10,4,4,5,0,0,5,8,5,13,4,4,12,84,101,176
ILOC50501908,18,17,39,9,7,16,17,18,35,15,19,32,16,18,30,4,19,25,9,16,23,3,11,15,18,16,28,8,3,11,9,9,18,3,9,14,12,9,19,21,13,27,151,169,329
ILOC50501909,14,28,44,9,7,9,6,7,6,9,9,17,0,11,20,7,14,25,3,6,11,9,14,18,15,10,24,8,8,12,12,12,21,10,3,9,14,3,22,7,5,9,110,135,246
ILOC50502001,80,103,186,33,35,64,71,57,126,48,72,123,29,80,107,33,73,106,34,65,98,31,47,76,44,45,94,35,32,63,38,33,67,24,14,45,74,30,108,18,19,42,600,703,1301
ILOC50502101,83,75,160,20,32,53,30,37,72,45,68,112,35,66,96,35,77,103,20,52,70,37,42,77,35,45,83,26,30,56,29,26,51,26,9,37,85,25,109,15,17,29,514,590,1101
ILOC50600102,10,7,19,0,0,0,50,36,89,8,27,34,0,9,9,3,11,9,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,92,164
ILOC50600103,9,6,14,11,11,17,36,35,70,9,15,18,0,0,0,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,60,72,134
ILOC50600104,3,0,3,0,0,0,26,19,41,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,25,52
ILOC50600105,3,3,8,0,0,0,14,8,25,7,0,9,3,4,3,0,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,39,30,64
