ILOC_CODE_2021,Neg_nil_inc_Hh_with_Ind_psns,Neg_nil_inc_Other_households,Neg_nil_inc_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_more_Hh_with_Indig_psn,2000_more_Other_households,2000_more_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
ILOC50300410,0,0,0,0,0,0,4,0,4,7,0,7,3,0,3,6,0,6,0,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,4,5,0,0,0,0,0,0,23,8,32
ILOC50300501,0,3,3,5,0,5,5,5,10,8,4,9,6,15,18,9,5,11,0,9,6,0,10,6,0,20,20,0,14,14,3,5,12,0,5,12,0,23,23,5,14,16,0,6,6,41,138,171
ILOC50300502,0,4,4,0,0,0,0,0,0,4,0,3,0,8,17,0,10,10,0,7,6,3,8,11,3,16,18,0,22,21,0,24,24,0,13,13,3,41,46,3,17,21,0,3,3,16,173,197
ILOC50300503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,0,0,4,3,10
ILOC50300601,0,0,0,0,0,0,5,0,5,13,0,13,19,0,19,26,0,26,17,0,17,11,0,8,0,0,5,0,0,0,3,8,9,0,4,4,0,8,15,6,0,12,0,3,3,100,23,136
ILOC50300701,0,0,4,3,0,5,11,0,9,5,0,10,0,4,5,0,0,0,0,3,3,3,7,7,3,8,11,0,3,5,0,0,0,0,5,5,0,8,8,0,3,5,0,6,9,25,47,86
ILOC50400101,0,4,4,0,0,0,8,0,15,3,0,3,13,6,12,0,6,4,0,6,5,3,4,5,0,0,0,0,3,5,0,5,6,0,3,3,0,9,9,0,4,4,0,5,5,27,55,80
ILOC50400102,0,0,0,0,0,0,4,0,4,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
ILOC50400103,0,6,6,0,0,0,12,0,12,18,0,18,9,0,9,11,0,11,5,0,5,4,0,6,0,0,4,0,0,0,0,3,8,0,3,3,0,4,6,14,0,14,0,0,0,73,16,102
ILOC50400201,0,0,0,0,0,0,10,0,10,24,0,24,11,0,11,11,0,11,0,0,0,6,0,4,0,0,0,0,10,10,0,3,3,0,0,0,0,3,3,4,3,8,5,0,5,71,19,89
ILOC50400202,0,0,0,0,0,0,0,0,0,6,0,8,5,0,5,3,0,5,0,0,0,0,0,0,0,6,6,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,14,13,31
ILOC50400203,0,0,0,0,0,0,14,0,14,5,0,5,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,26
ILOC50400204,0,0,0,0,0,0,17,0,21,11,0,11,5,0,5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,8,0,8,44,4,52
ILOC50400205,0,0,0,0,0,0,9,0,9,6,0,6,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19
ILOC50400301,0,0,5,7,4,10,34,0,34,22,3,24,26,0,32,20,6,24,17,3,21,11,4,12,19,12,25,10,17,25,8,18,27,6,31,34,5,41,42,26,12,37,15,6,22,226,157,374
ILOC50400302,0,0,0,3,0,3,9,0,9,13,0,13,4,0,4,11,0,11,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,8,0,9,3,5,0,59,5,57
ILOC50400303,0,0,0,11,0,11,6,0,6,10,0,10,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,33,0,33
ILOC50400401,0,0,0,9,0,9,16,0,16,14,0,14,8,0,8,8,0,12,4,4,6,3,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,9,6,9,0,9,16,0,16,87,13,104
ILOC50400501,0,0,0,7,0,7,13,0,13,19,0,19,9,0,9,14,0,14,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,9,0,0,0,0,0,0,66,8,78
ILOC50400601,8,10,16,6,3,14,19,5,30,23,20,37,31,21,50,43,28,66,25,35,64,37,54,91,29,107,139,33,119,150,15,122,134,20,114,136,27,211,241,38,109,149,21,36,54,375,994,1371
ILOC50400602,0,0,0,0,0,0,4,0,4,3,0,3,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,23,0,23
ILOC50400603,0,0,0,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,11,0,11
ILOC50400701,0,7,7,0,4,0,5,7,11,4,0,4,0,4,9,7,12,10,9,12,13,8,11,17,4,22,24,0,24,26,0,18,26,0,18,21,5,64,68,3,27,34,6,4,7,51,234,277
ILOC50400702,0,0,0,4,0,4,0,0,0,8,0,8,4,0,5,0,0,0,0,0,0,3,4,4,0,4,4,0,5,5,0,3,3,0,5,5,0,4,4,5,0,6,0,0,0,24,25,48
ILOC50400801,6,0,9,0,0,0,15,0,17,23,9,31,15,5,23,13,8,24,7,0,9,8,4,13,10,7,18,5,9,12,3,10,14,0,9,11,8,9,17,19,6,25,9,3,11,141,79,234
ILOC50500101,4,95,103,4,41,43,29,187,214,35,359,390,45,808,856,31,694,727,37,482,517,38,596,635,27,561,588,14,324,343,10,223,233,5,137,146,10,167,177,28,306,333,7,164,171,324,5144,5476
ILOC50500102,7,203,214,0,72,73,18,241,254,30,388,420,13,873,890,25,1062,1092,32,1179,1209,26,1738,1766,45,2298,2348,35,1924,1964,26,1708,1734,21,1377,1398,50,2709,2757,36,1463,1499,5,156,161,369,17391,17779
ILOC50500103,6,67,72,0,30,30,7,96,105,12,218,226,12,444,454,26,391,418,21,332,358,11,419,434,11,439,458,12,321,335,15,280,301,5,189,190,15,316,335,19,285,300,6,70,78,178,3897,4094
ILOC50500104,8,37,48,0,18,17,11,61,69,9,117,127,24,251,275,22,288,301,16,333,349,23,434,466,15,533,550,12,348,360,9,259,263,5,188,192,16,215,226,17,287,309,3,35,38,190,3404,3590
ILOC50500105,0,30,34,0,10,15,7,54,62,11,87,98,10,191,204,9,165,171,5,168,179,13,171,185,8,193,202,5,120,128,3,82,90,4,44,46,3,71,82,11,92,105,3,31,32,92,1509,1633
ILOC50500201,0,88,88,3,43,46,19,121,134,12,240,252,20,590,606,11,512,521,14,424,441,18,523,539,20,633,651,6,539,543,18,513,528,6,458,464,20,1024,1043,13,377,388,5,91,94,185,6176,6338
ILOC50500301,5,255,263,7,92,94,14,272,283,16,498,514,24,1280,1305,23,1063,1090,21,963,987,20,1187,1215,25,1374,1397,10,1106,1120,13,920,933,7,757,765,36,1498,1525,18,798,815,3,171,173,242,12234,12479
ILOC50500302,9,229,238,9,104,109,22,268,295,14,541,556,13,1134,1147,27,991,1010,18,787,798,19,1157,1179,37,1427,1464,15,1255,1273,18,1126,1140,21,1175,1194,42,3231,3274,29,832,863,7,183,184,300,14440,14724
ILOC50500401,3,107,114,6,48,45,22,152,168,13,236,250,13,520,532,22,412,432,9,331,341,17,480,492,24,622,645,19,508,528,10,476,485,10,373,386,28,912,939,21,399,422,8,83,93,225,5659,5872
ILOC50500402,3,67,70,4,18,24,11,93,103,9,140,148,16,320,337,9,264,274,8,251,258,7,319,323,20,406,424,10,325,334,7,254,255,13,199,212,11,323,338,5,239,245,4,45,50,137,3263,3395
ILOC50500403,0,57,58,0,27,27,0,62,63,3,114,120,0,277,276,9,228,228,5,209,215,8,282,293,4,325,329,6,268,274,3,223,225,3,181,184,5,337,341,5,176,182,0,46,46,51,2812,2861
ILOC50500404,4,73,82,3,31,35,13,97,111,7,164,175,7,344,350,10,311,314,7,256,264,8,367,376,14,547,555,8,477,484,9,446,456,7,366,370,20,894,918,15,294,306,4,59,64,136,4726,4860
ILOC50500501,5,280,282,0,163,164,11,356,366,13,583,600,21,1319,1338,17,1297,1314,16,1277,1290,17,1572,1587,13,1934,1951,9,1547,1557,14,1291,1310,9,1033,1043,19,2452,2475,19,1133,1153,3,140,144,186,16377,16574
ILOC50500502,6,267,274,3,143,143,31,362,389,35,548,577,44,1110,1152,24,1082,1105,27,980,1012,28,1417,1443,25,1636,1658,22,1294,1318,12,1069,1077,26,721,743,27,1314,1346,39,998,1032,11,182,195,360,13123,13464
ILOC50500503,0,63,63,0,27,27,0,51,51,0,94,92,3,159,166,3,201,203,4,201,207,0,295,296,5,363,363,6,307,306,3,290,291,0,241,243,9,571,578,4,300,305,0,23,23,37,3186,3214
ILOC50500601,0,115,115,3,63,63,14,157,175,15,267,283,19,691,707,22,580,597,17,651,665,26,887,919,26,1248,1278,15,1086,1101,13,940,952,10,780,789,35,1619,1651,19,800,816,0,123,125,234,10007,10236
ILOC50500602,0,174,180,0,63,62,8,182,191,8,330,333,9,818,828,18,624,640,13,590,598,14,727,744,24,1001,1029,12,765,781,9,715,726,9,618,628,28,1546,1574,17,609,626,4,118,124,173,8880,9064
ILOC50500603,3,175,180,9,75,84,20,225,245,18,337,354,16,776,796,23,910,931,26,872,894,32,1320,1353,34,1861,1901,32,1700,1731,26,1539,1560,21,1365,1388,53,2721,2773,42,1222,1259,9,133,135,364,15231,15584
ILOC50500604,0,35,40,0,15,15,12,84,95,6,133,136,9,292,300,7,220,224,6,145,152,4,233,240,10,280,292,6,237,243,5,181,181,4,164,166,9,238,249,6,127,132,0,45,47,84,2429,2512
ILOC50500605,6,94,105,5,42,48,13,132,144,15,280,299,16,548,560,11,439,451,9,326,338,12,468,476,15,520,532,9,437,441,5,396,404,6,359,365,17,752,768,11,379,394,10,88,96,160,5260,5421
ILOC50500701,6,276,279,7,122,130,38,352,390,19,584,604,29,1236,1263,24,1018,1039,19,893,912,17,1106,1122,20,1323,1345,34,1242,1280,14,1098,1115,11,1088,1097,47,4101,4152,27,1086,1117,14,204,214,326,15729,16059
ILOC50500801,3,64,63,0,21,21,3,78,84,8,114,123,9,282,287,10,248,258,3,270,273,12,316,326,12,423,433,12,324,337,5,265,278,0,182,181,3,294,300,4,227,228,0,45,45,84,3153,3237
ILOC50500802,0,156,156,0,65,65,3,180,182,5,273,280,4,545,553,10,720,731,13,741,758,15,1065,1080,13,1402,1414,16,1180,1197,12,1015,1027,6,853,858,9,1705,1719,23,953,979,0,102,102,129,10955,11101
ILOC50500803,8,138,144,7,52,58,28,239,270,30,458,497,42,974,1013,31,903,938,30,691,726,35,836,872,42,921,963,25,590,618,12,444,456,16,290,301,16,357,366,28,475,501,16,143,155,366,7511,7878
ILOC50500804,3,48,46,0,24,24,8,65,70,7,110,121,9,220,226,12,242,257,12,247,255,8,344,348,20,397,414,14,278,294,5,232,233,3,178,180,7,245,255,9,213,222,0,34,39,117,2877,2984
ILOC50500805,5,20,25,0,9,9,7,68,72,3,88,91,10,183,195,10,197,213,9,173,185,7,218,227,7,242,251,4,160,169,0,124,127,0,86,90,6,117,121,12,144,157,0,31,39,80,1860,1971
ILOC50500806,0,40,40,6,21,20,7,62,69,11,97,103,6,239,242,5,199,206,3,202,203,15,219,231,3,217,224,3,160,155,0,99,103,4,70,71,3,93,98,10,103,114,0,40,43,76,1861,1922
ILOC50500807,3,96,104,9,43,50,10,135,149,15,254,269,16,555,576,21,539,560,11,462,470,15,569,582,27,617,646,12,437,452,7,272,281,6,195,202,12,348,360,17,394,414,0,80,84,181,4996,5199
ILOC50500808,4,163,175,3,56,57,11,221,226,11,365,378,31,823,854,23,799,817,20,713,732,22,922,949,24,1025,1053,22,747,773,6,571,575,10,444,458,15,663,681,29,539,564,3,113,120,234,8164,8412
ILOC50500901,5,270,269,0,112,116,11,300,311,4,538,547,11,1178,1187,22,1242,1267,17,1216,1235,19,1629,1652,27,2100,2128,22,1948,1970,15,1818,1839,23,1491,1517,46,3789,3834,33,1723,1752,4,229,232,259,19583,19856
ILOC50500902,7,500,503,5,272,273,20,581,598,17,1053,1065,20,2520,2535,24,2642,2663,32,2440,2470,38,3072,3113,54,3872,3931,41,3394,3432,28,3148,3171,40,2947,2987,81,7554,7645,34,2799,2835,3,426,433,444,37220,37654
ILOC50501001,0,69,67,0,44,48,14,94,109,14,175,191,18,427,447,13,394,410,18,365,386,24,473,501,17,595,613,16,473,492,9,384,393,10,266,274,24,535,557,16,395,413,0,75,77,193,4764,4978
ILOC50501002,5,80,85,0,27,33,12,79,92,3,137,145,10,352,362,12,371,383,17,325,341,17,444,464,18,518,540,14,430,443,16,382,400,6,288,290,21,534,553,18,359,374,4,66,70,173,4392,4575
ILOC50501003,3,161,167,4,90,88,6,212,220,3,355,354,12,843,855,16,859,870,15,801,818,18,1088,1107,24,1262,1289,16,1066,1080,25,945,966,0,744,754,40,2012,2047,20,894,915,0,163,160,202,11495,11690
ILOC50501101,9,112,118,6,53,63,29,242,269,37,378,414,53,876,935,58,748,802,27,581,607,36,727,763,35,779,813,25,528,553,24,415,436,11,282,292,23,402,425,31,511,541,6,129,140,410,6763,7171
ILOC50501102,3,70,78,8,36,36,9,100,112,16,190,201,13,372,383,18,495,512,17,534,551,27,829,850,22,1166,1186,26,957,988,29,848,875,11,631,642,29,1065,1100,23,877,905,0,71,78,251,8241,8497
ILOC50501201,5,391,397,3,202,201,17,393,405,25,643,667,15,1512,1525,8,1428,1440,11,1323,1338,17,1639,1652,19,2031,2051,21,1858,1876,26,1726,1756,10,1678,1688,66,6165,6238,23,1353,1377,3,260,264,269,22602,22875
ILOC50501202,4,274,280,7,171,182,19,343,359,17,586,605,19,1238,1257,18,1255,1273,9,1052,1062,13,1413,1423,25,1627,1654,17,1418,1438,13,1348,1357,14,1195,1208,26,3177,3201,6,1072,1078,0,197,204,207,16366,16581
ILOC50501301,6,155,155,0,57,59,7,200,211,12,318,324,16,855,869,13,751,766,15,737,754,20,942,958,27,1129,1152,28,967,987,28,874,897,18,768,788,33,1906,1934,46,1097,1146,0,160,160,269,10916,11160
ILOC50501302,4,48,51,6,25,29,11,73,85,13,124,133,16,359,376,17,306,326,15,230,242,10,306,323,17,322,337,8,241,250,16,205,225,8,155,162,11,306,323,13,211,235,6,68,76,171,2979,3173
ILOC50501401,11,549,562,5,153,153,16,393,406,19,709,725,8,1134,1144,24,1186,1213,6,1109,1116,20,1562,1580,33,2150,2184,32,2019,2051,24,2046,2064,18,2012,2031,89,7797,7884,19,1375,1389,3,229,232,327,24423,24734
ILOC50501402,4,597,599,5,293,298,11,534,537,10,937,946,10,1645,1649,18,1786,1801,19,1586,1605,16,2089,2108,27,2567,2594,23,2246,2262,18,2236,2259,15,2345,2362,67,13063,13138,16,2160,2174,5,360,366,264,34444,34698
ILOC50501501,6,252,258,6,112,114,43,354,399,47,666,710,49,1594,1645,56,1485,1544,63,1231,1293,83,1495,1572,68,1821,1884,49,1354,1397,30,1135,1162,32,805,836,57,1527,1584,79,1482,1560,23,252,273,691,15565,16231
ILOC50501502,0,208,207,0,93,95,18,286,307,20,635,658,31,1541,1573,28,1282,1306,27,918,944,20,1054,1075,36,1147,1186,15,839,858,13,766,785,18,583,602,22,1244,1268,24,824,851,10,260,267,282,11680,11982
ILOC50501503,6,212,216,4,90,95,10,307,315,36,452,492,42,1083,1124,48,1176,1231,40,1257,1300,46,1733,1778,71,2416,2485,75,2061,2139,51,1758,1801,45,1454,1502,87,2960,3048,86,2403,2489,8,213,218,655,19575,20233
ILOC50501601,3,114,116,0,59,59,10,168,173,7,260,270,17,550,567,26,641,662,32,713,746,50,956,1003,46,1207,1254,34,1066,1094,40,850,889,22,701,720,44,1357,1396,52,1079,1134,4,127,135,387,9848,10218
ILOC50501701,9,370,377,0,163,164,25,337,356,25,535,550,17,1062,1076,11,1143,1155,9,891,902,22,1260,1273,24,1586,1607,8,1371,1381,15,1323,1337,10,1267,1276,52,4780,4838,23,998,1018,8,193,203,258,17279,17513
ILOC50501702,9,294,296,0,108,106,19,295,314,19,544,571,31,1049,1081,39,1136,1171,22,871,895,32,1239,1269,42,1507,1546,17,1278,1294,20,1219,1239,27,1142,1167,55,3393,3450,20,908,927,11,190,198,363,15173,15524
