ILOC_CODE_2021,NsQ_Cer_III_IV_IndSt_nsP,NsQ_Cer_III_IV_TotM,NsQ_Cer_III_IV_TotF,NsQ_Cer_III_IV_TotP,NsQ_Cer_I_II_Ind_M,NsQ_Cer_I_II_Ind_F,NsQ_Cer_I_II_Ind_P,NsQ_Cer_I_II_No_In_M,NsQ_Cer_I_II_No_In_F,NsQ_Cer_I_II_No_In_P,NsQ_Cer_I_II_Ind_s_nsM,NsQ_Cer_I_II_Ind_s_nsF,NsQ_Cer_I_II_Ind_s_nsP,NsQ_Cer_I_II_TotM,NsQ_Cer_I_II_TotF,NsQ_Cer_I_II_TotP,Mig_Sme_add_1_yr_ago_Indig_M,Mig_Sme_add_1_yr_ago_Indig_F,Mig_Sme_add_1_yr_ago_Indig_P,Mig_Sme_add_1_yr_ago_No_Ind_M,Mig_Sme_add_1_yr_ago_No_Ind_F,Mig_Sme_add_1_yr_ago_No_Ind_P,Mig_sa_ad_1_yr_ag_IndSt_nsM,Mig_sa_ad_1_yr_ag_IndSt_nsF,Mig_sa_ad_1_yr_ag_IndSt_nsP,Mig_Sme_add_1_yr_ago_TotM,Mig_Sme_add_1_yr_ago_TotF,Mig_Sme_add_1_yr_ago_TotP,Mig_Diff_add_1_yr_ago_Indig_M,Mig_Diff_add_1_yr_ago_Indig_F,Mig_Diff_add_1_yr_ago_Indig_P,Mig_Diff_ad_1_yr_ago_No_Ind_M,Mig_Diff_ad_1_yr_ago_No_Ind_F,Mig_Diff_ad_1_yr_ago_No_Ind_P,Mig_Dif_ad_1_yr_ag_In_st_nsM,Mig_Dif_ad_1_yr_ag_In_st_nsF,Mig_Dif_ad_1_yr_ag_In_st_nsP,Mig_Diff_add_1_yr_ago_TotM,Mig_Diff_add_1_yr_ago_TotF,Mig_Diff_add_1_yr_ago_TotP,Mig_Sme_add_5_ago_Indig_M,Mig_Sme_add_5_ago_Indig_F,Mig_Sme_add_5_ago_Indig_P,Mig_Sme_ad_5_ago_No_Ind_M,Mig_Sme_ad_5_ago_No_Ind_F,Mig_Sme_ad_5_ago_No_Ind_P,Mig_sa_ad_5_ag_In_st_nsM,Mig_sa_ad_5_ag_In_st_nsF,Mig_sa_ad_5_ag_In_st_nsP,Mig_Sme_add_5_ago_TotM,Mig_Sme_add_5_ago_TotF,Mig_Sme_add_5_ago_TotP,Mig_Diff_add_5_ago_Ind_M,Mig_Diff_add_5_ago_Ind_F,Mig_Diff_add_5_ago_Ind_P,Mig_Diff_ad_5_ag_No_Ind_M,Mig_Diff_ad_5_ag_No_Ind_F,Mig_Diff_ad_5_ag_No_Ind_P,Mi_Dif_ad_5_ag_In_st_nsM,Mi_Dif_ad_5_ag_In_st_nsF,Mi_Dif_ad_5_ag_In_st_nsP,Mig_Diff_add_5_ago_TotM,Mig_Diff_add_5_ago_TotF,Mig_Diff_add_5_ago_TotP
ILOC50200102,0,4,6,8,0,0,3,0,0,0,0,0,0,0,0,3,61,68,130,0,0,0,0,0,0,61,68,126,0,4,7,0,0,0,0,0,0,0,4,7,43,52,96,0,0,0,0,0,0,43,52,96,14,10,22,0,0,0,0,0,0,14,11,23
ILOC50200201,0,97,32,125,0,4,5,3,3,6,0,0,0,6,5,9,54,42,96,217,121,334,0,0,0,270,160,430,14,14,23,52,26,80,0,0,0,70,38,108,49,35,84,138,69,211,0,0,0,194,106,298,15,10,24,119,67,191,0,0,0,135,79,219
ILOC50200202,0,48,21,68,0,0,0,3,8,12,0,0,0,3,8,12,26,20,52,120,98,213,0,5,5,143,118,264,5,0,7,27,22,53,0,0,0,34,27,60,21,14,36,77,51,129,0,0,0,100,69,169,8,6,14,59,57,122,0,5,5,68,67,139
ILOC50200301,3,206,96,305,4,0,6,11,15,25,0,0,0,12,17,29,25,20,42,702,670,1371,6,8,17,732,692,1425,4,5,11,93,77,174,0,0,0,95,81,181,15,15,30,543,502,1049,3,5,10,560,524,1087,8,7,20,217,216,433,0,0,3,232,224,457
ILOC50200302,0,30,22,55,0,0,0,0,3,5,0,0,0,4,3,5,41,45,86,157,134,293,0,0,4,206,182,383,5,3,8,23,20,48,0,0,0,27,24,58,30,32,64,124,105,227,0,0,0,151,131,287,9,12,20,54,46,101,3,0,4,68,59,125
ILOC50200303,0,388,146,535,0,0,0,10,20,32,0,0,0,10,17,30,69,74,142,1149,1020,2171,19,16,35,1231,1111,2346,18,13,37,185,177,367,0,0,6,208,197,402,48,59,102,895,778,1674,14,13,26,952,849,1800,32,28,57,394,373,770,0,7,3,427,403,833
ILOC50200401,10,969,544,1507,11,21,35,66,112,175,0,0,0,76,133,210,472,527,995,2750,2840,5593,19,30,46,3243,3397,6633,93,134,226,486,494,977,8,5,7,587,625,1214,266,283,549,1937,1967,3903,12,15,31,2218,2266,4490,234,303,542,1154,1217,2372,14,12,22,1400,1539,2939
ILOC50200402,6,1116,574,1694,7,19,27,56,94,146,0,0,0,60,114,177,279,315,596,3169,3096,6269,14,16,33,3465,3433,6895,45,63,104,488,536,1024,8,4,13,539,605,1144,154,167,320,2145,2088,4233,15,17,33,2312,2266,4579,138,179,317,1306,1355,2654,7,7,13,1450,1534,2986
ILOC50200403,11,980,500,1479,8,18,26,61,73,140,0,0,0,67,93,164,276,326,605,2799,2886,5690,24,16,42,3105,3236,6335,48,50,91,469,522,995,0,4,4,515,567,1088,145,185,324,1943,1958,3903,20,13,27,2107,2156,4256,143,144,289,1182,1309,2488,0,12,12,1328,1465,2794
ILOC50200404,3,1324,746,2075,4,17,26,83,126,210,0,0,0,84,150,232,296,301,597,4149,4476,8623,30,24,50,4474,4803,9274,57,84,142,804,886,1689,4,4,6,865,974,1838,158,145,304,2737,2956,5693,27,19,41,2917,3116,6041,152,200,359,1924,2128,4051,10,9,12,2084,2336,4422
ILOC50200501,5,835,355,1194,0,7,3,40,74,112,0,0,0,39,79,119,116,150,262,2695,2478,5178,22,23,46,2834,2654,5481,41,34,74,381,387,776,4,3,9,425,425,852,75,93,164,2012,1784,3797,15,19,35,2108,1890,3995,73,77,151,932,968,1901,3,3,7,1009,1051,2058
ILOC50200601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,19,11,8,22,0,0,0,16,18,39,7,3,7,0,5,0,0,0,0,7,7,14,0,3,7,3,3,7,0,0,0,5,8,14,14,10,20,7,10,16,0,0,0,17,19,37
ILOC50200602,3,119,25,141,0,7,7,9,3,6,0,0,0,9,6,14,144,148,291,230,98,329,6,5,13,379,251,635,24,33,55,86,42,128,0,0,0,108,74,184,89,90,175,139,55,191,6,5,13,234,149,383,51,75,128,168,80,249,0,0,0,215,154,370
ILOC50200701,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,32,26,56,0,0,0,0,0,0,32,26,56,8,6,11,5,3,3,0,0,0,8,6,20,17,12,31,0,0,3,0,0,0,17,18,33,13,14,31,4,0,5,0,0,0,13,13,30
ILOC50200702,3,178,71,249,0,0,0,9,12,17,0,0,0,11,12,19,70,33,104,422,416,843,10,8,15,505,461,961,12,8,23,125,150,282,0,0,0,138,164,299,41,17,60,238,226,467,7,3,7,285,247,537,30,19,52,291,314,602,0,0,0,324,336,658
ILOC50300101,11,1146,587,1727,0,14,12,56,103,156,0,0,0,58,115,178,200,186,384,3600,3747,7344,31,39,67,3823,3979,7802,53,54,104,683,698,1384,11,0,12,743,753,1496,101,103,207,2457,2491,4951,20,34,53,2579,2628,5205,105,115,217,1618,1749,3364,14,9,25,1742,1870,3609
ILOC50300102,4,602,275,871,3,6,3,26,50,77,0,0,0,26,53,83,55,61,116,2027,1800,3832,16,11,30,2092,1873,3968,26,20,48,389,362,752,0,0,4,415,387,796,33,31,64,1388,1212,2593,13,9,22,1431,1247,2680,26,44,70,887,808,1695,5,5,10,917,858,1774
ILOC50300201,0,68,37,102,0,0,0,3,6,10,0,0,0,4,6,13,28,39,65,224,165,397,7,7,17,265,209,476,12,19,34,45,41,82,0,0,0,54,59,122,16,23,43,164,115,280,6,3,6,188,141,328,19,32,59,91,78,172,0,6,10,114,120,234
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,78,7,85,0,0,0,7,0,7,0,0,0,7,0,7,7,0,7,159,56,215,3,0,3,165,56,227,4,0,3,61,24,85,0,0,0,64,27,94,9,0,9,86,41,132,3,0,3,95,41,140,7,0,9,131,43,171,0,0,0,134,43,174
ILOC50300204,4,271,113,386,0,0,0,14,21,34,0,0,0,14,23,37,33,43,81,711,675,1389,9,3,16,760,724,1485,16,28,39,197,158,352,0,0,0,214,188,397,17,14,39,491,419,904,10,3,14,509,439,950,25,47,69,365,361,721,4,3,9,388,409,797
ILOC50300205,0,5,4,8,0,0,0,0,0,0,0,0,0,0,0,0,22,22,50,0,0,0,0,0,0,22,23,48,11,10,18,0,0,0,0,0,0,11,10,18,15,9,25,0,0,0,0,0,0,15,9,26,14,15,34,0,0,0,0,0,0,14,15,34
ILOC50300206,0,38,20,64,0,0,0,0,0,6,0,0,0,0,4,5,40,27,67,155,133,285,7,8,17,197,165,367,9,13,22,31,30,61,0,0,0,36,43,82,26,19,45,115,92,208,4,4,11,141,121,260,14,17,37,65,65,125,0,0,3,83,82,167
ILOC50300301,20,3676,1500,5176,24,23,44,169,259,427,0,0,3,191,282,472,718,751,1469,9779,9069,18845,64,42,107,10561,9867,20424,222,187,411,2467,2263,4727,5,8,9,2696,2459,5153,407,396,806,6015,5402,11412,41,33,74,6459,5831,12292,417,431,847,5414,5154,10569,15,18,32,5852,5599,11452
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300401,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,23,33,52,0,0,0,0,0,0,26,33,52,0,6,3,0,0,0,0,0,0,0,6,3,14,28,42,0,0,0,0,0,0,16,28,45,0,3,8,0,0,0,0,0,0,0,3,8
ILOC50300402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,51,111,0,0,3,0,0,0,62,55,114,3,5,3,6,0,6,0,0,0,3,5,9,59,46,102,0,0,3,0,0,0,55,52,108,0,3,5,3,0,3,0,0,0,8,3,9
ILOC50300403,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,51,46,100,3,0,4,0,0,0,58,48,102,0,6,12,0,0,6,0,0,0,5,6,13,47,47,92,0,0,0,0,0,0,47,47,92,3,5,7,5,4,7,0,0,0,8,7,14
ILOC50300405,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,37,30,66,0,0,0,0,0,0,37,30,66,0,3,5,0,0,0,0,0,0,0,5,9,23,19,41,0,0,0,0,0,0,23,19,41,9,13,19,0,0,0,0,0,0,9,12,21
ILOC50300406,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,46,69,116,3,4,5,0,0,0,46,69,117,8,14,23,4,4,6,0,0,0,9,18,25,50,60,106,0,0,0,0,0,0,49,60,108,0,20,22,4,7,9,0,0,0,5,25,33
ILOC50300407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,38,85,5,4,11,0,0,0,45,48,96,4,6,10,3,0,6,0,0,0,9,9,17,35,27,70,3,0,7,0,0,0,40,31,71,11,12,26,6,3,11,0,0,0,18,16,32
ILOC50300408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,75,144,7,8,7,0,0,0,75,83,154,6,0,11,4,4,4,0,0,0,7,5,16,66,70,134,0,0,0,0,0,0,67,70,137,10,3,11,6,8,16,0,0,0,10,13,25
ILOC50300409,0,127,36,161,0,0,3,8,4,12,0,0,0,5,10,14,76,64,138,294,95,387,5,4,6,367,168,529,18,21,45,94,47,138,5,0,0,116,70,182,49,31,78,189,55,242,0,0,0,231,91,323,40,51,92,183,87,271,0,5,3,229,140,374
ILOC50300410,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,32,51,89,3,3,7,0,0,0,39,56,96,5,3,8,3,0,7,0,0,0,6,3,14,37,46,82,3,0,3,0,0,0,41,46,88,6,0,4,4,6,14,0,0,0,15,7,20
ILOC50300501,0,59,23,80,0,0,0,0,5,3,0,0,0,0,8,10,36,51,85,134,113,246,4,3,6,172,167,343,6,8,8,46,33,83,0,0,0,52,44,94,30,36,66,73,62,134,3,3,3,104,100,209,8,16,24,92,82,171,0,0,0,96,96,192
ILOC50300502,0,199,36,230,0,0,0,22,9,27,0,0,0,23,9,26,42,29,69,419,188,606,0,0,0,456,217,679,17,20,37,145,85,231,0,0,0,166,107,267,27,23,50,218,90,306,0,0,0,241,107,352,27,21,47,312,161,471,0,0,0,340,181,527
ILOC50300503,0,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,22,22,47,3,4,7,0,0,0,25,31,55,0,0,0,3,4,9,0,0,0,3,4,9,21,27,40,3,0,4,0,0,0,23,25,47,0,0,0,3,6,9,0,0,0,3,6,9
ILOC50300601,0,12,3,19,0,4,4,0,0,0,0,0,0,0,4,4,182,199,380,25,18,49,0,0,0,207,222,423,20,18,40,6,6,15,0,0,0,25,24,51,165,197,362,11,6,25,0,0,0,175,203,383,18,8,25,15,20,37,0,0,0,38,32,70
ILOC50300701,0,62,16,79,0,0,0,4,4,3,0,0,0,4,3,4,54,69,124,116,53,173,0,0,0,174,116,294,10,3,15,43,20,60,0,0,0,52,22,74,48,49,96,69,19,88,0,0,0,112,69,181,14,17,25,88,40,131,0,0,0,105,59,160
ILOC50400101,0,39,14,52,0,5,3,0,0,3,0,0,0,4,6,9,61,49,109,45,25,68,3,0,3,106,78,184,12,8,20,35,31,67,0,0,0,49,40,86,42,36,76,28,16,41,0,0,0,71,50,123,22,15,33,44,39,86,3,0,3,68,58,124
ILOC50400102,0,6,0,8,3,0,6,0,0,0,0,0,0,3,0,6,19,26,43,5,8,5,0,0,0,14,27,46,0,0,0,0,0,0,0,0,0,0,0,0,11,18,31,0,0,0,0,0,0,11,18,31,0,3,5,5,4,8,0,0,0,3,10,15
ILOC50400103,0,29,12,49,7,4,13,0,0,0,0,0,0,7,4,13,195,184,377,5,7,18,0,0,0,205,194,391,13,20,26,6,4,13,0,0,0,14,19,39,119,127,249,7,0,7,0,0,0,125,132,259,49,51,100,6,13,18,0,0,0,60,60,118
ILOC50400201,0,12,3,18,0,3,4,0,0,0,0,0,0,0,3,4,207,181,385,10,13,28,0,0,0,216,195,413,18,16,36,5,9,12,0,0,0,24,23,43,166,151,319,5,4,5,0,0,0,168,155,325,37,29,63,10,19,31,0,0,0,45,47,93
ILOC50400202,0,16,10,28,0,0,0,0,0,0,0,0,0,0,0,4,28,21,47,30,18,47,0,0,0,57,38,99,10,12,22,6,11,18,0,0,0,17,23,38,24,14,34,12,6,15,0,0,0,33,21,50,11,19,27,23,22,47,0,0,0,32,36,77
ILOC50400203,0,6,4,7,0,4,3,0,0,0,0,0,0,0,4,3,47,66,113,3,0,7,0,0,0,49,70,119,6,5,11,0,0,0,0,0,0,6,3,9,33,62,93,0,0,0,0,0,0,33,62,93,11,3,19,0,5,5,0,0,0,20,11,27
ILOC50400204,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,67,76,147,4,10,12,0,0,0,68,86,152,8,7,15,0,0,9,0,0,0,9,6,19,44,56,101,0,0,0,0,0,0,44,56,101,14,14,27,6,7,16,0,0,0,17,20,45
ILOC50400205,0,0,0,8,8,0,3,0,0,0,0,0,0,8,0,3,39,44,81,0,0,0,0,0,0,39,44,85,15,13,26,0,0,3,0,0,0,19,13,32,20,33,56,0,0,0,0,0,0,20,33,56,23,20,43,0,5,4,0,0,0,27,18,48
ILOC50400301,3,64,55,121,0,4,3,3,0,5,0,0,0,6,3,9,282,352,632,86,75,162,8,10,11,380,433,808,29,33,64,47,53,104,3,4,10,85,95,177,225,262,491,38,28,69,3,6,6,266,297,565,60,80,143,93,101,198,6,4,11,163,191,355
ILOC50400302,0,10,8,16,3,3,4,0,0,0,0,0,0,3,3,6,110,117,224,0,0,0,0,0,0,108,117,224,13,11,20,0,0,0,0,0,0,13,11,24,87,104,197,0,0,0,0,0,0,90,104,194,12,13,26,0,0,0,0,0,0,12,11,25
ILOC50400303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,69,124,0,0,0,0,0,0,56,69,126,8,3,7,0,0,0,0,0,0,8,3,7,43,64,112,0,0,0,0,0,0,49,64,110,3,0,10,0,0,0,0,0,0,3,0,10
ILOC50400401,0,32,18,48,3,8,8,0,0,0,0,0,0,3,8,7,143,125,271,28,12,36,0,0,0,171,140,312,6,14,26,4,3,7,0,0,0,15,22,30,110,90,202,14,9,21,0,0,0,127,98,224,28,32,67,20,9,30,0,0,0,49,47,96
ILOC50400501,0,3,5,12,0,3,6,0,0,0,0,0,0,0,3,6,150,166,311,5,3,14,0,0,0,154,171,327,3,10,12,5,9,9,0,0,0,13,17,26,117,146,270,4,0,3,0,0,0,124,153,272,9,14,26,6,12,17,0,0,0,22,23,47
ILOC50400601,0,395,194,591,5,16,24,8,18,28,0,0,0,12,34,49,378,463,848,944,908,1846,14,17,39,1343,1389,2729,85,113,197,320,394,710,5,6,13,410,513,922,179,222,396,470,437,904,7,9,16,657,669,1325,232,297,526,710,794,1504,10,11,23,952,1102,2056
ILOC50400602,0,3,4,3,0,3,3,0,0,0,0,0,0,0,3,3,51,50,100,0,0,0,0,0,0,51,50,100,5,7,8,0,0,0,0,0,0,5,7,8,38,41,82,0,0,0,0,0,0,38,41,82,5,12,22,0,0,0,0,0,0,5,12,22
ILOC50400603,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,23,26,54,0,0,0,0,0,0,23,26,54,0,0,0,0,0,0,0,0,0,0,0,0,17,22,41,0,0,0,0,0,0,17,22,41,10,5,13,0,0,0,0,0,0,10,5,13
ILOC50400701,0,116,36,153,0,0,0,3,3,3,0,0,0,3,4,7,62,65,127,241,269,520,10,5,13,314,343,655,7,5,15,72,56,131,0,0,0,86,67,148,49,57,108,178,179,354,3,5,8,232,240,474,10,9,22,127,125,260,3,4,6,151,139,287
ILOC50400702,0,22,3,30,5,0,0,0,0,0,0,0,0,6,0,4,29,32,58,42,13,59,5,0,3,77,50,122,3,4,11,17,11,29,0,0,0,24,21,45,24,33,59,26,9,32,5,0,3,52,42,93,4,4,10,33,16,49,0,0,0,39,21,60
ILOC50400801,0,46,28,75,6,12,8,6,0,4,0,0,0,9,10,16,172,198,368,81,54,133,0,0,0,250,255,506,21,31,51,32,21,56,0,4,4,58,55,107,107,117,224,43,33,76,0,0,0,150,154,299,73,89,157,60,44,105,0,4,4,133,132,267
ILOC50500101,13,1265,929,2199,7,14,21,104,147,252,0,4,4,107,164,275,319,340,658,4605,4879,9478,38,47,88,4963,5259,10221,48,63,115,743,867,1614,0,0,9,800,936,1736,154,154,310,3004,3081,6086,32,38,65,3178,3277,6456,161,193,353,1998,2328,4325,9,10,24,2170,2527,4698
ILOC50500102,12,5113,2910,8020,6,10,14,284,387,675,0,0,0,289,394,685,313,344,660,21752,22354,44109,62,63,125,22127,22761,44889,78,87,163,3237,3353,6588,7,12,17,3323,3443,6766,139,176,313,13019,13164,26190,40,44,88,13199,13386,26586,208,207,420,9989,10704,20692,22,21,42,10216,10934,21149
ILOC50500103,7,1193,708,1906,0,4,7,76,93,171,0,0,0,82,102,180,165,158,321,4034,4124,8159,18,31,49,4221,4311,8533,20,33,53,571,594,1162,3,3,9,598,633,1228,102,87,183,2860,2903,5762,18,25,39,2976,3007,5990,65,87,154,1505,1599,3100,4,6,13,1573,1690,3270
ILOC50500104,5,1082,734,1818,4,3,3,79,116,191,0,0,0,82,117,197,185,194,377,4478,4549,9023,19,16,29,4675,4757,9435,38,31,70,526,546,1077,3,5,5,568,580,1148,111,116,226,2958,2938,5893,11,12,24,3080,3065,6146,79,84,160,1674,1789,3465,5,6,9,1759,1878,3636
ILOC50500105,0,469,330,795,6,6,10,25,39,70,0,0,0,31,51,78,99,89,187,1753,1735,3486,10,4,12,1858,1825,3681,20,23,42,186,208,391,0,0,0,208,227,437,66,44,113,1247,1222,2469,8,4,14,1320,1270,2593,37,48,88,578,610,1184,0,0,0,621,657,1275
ILOC50500201,9,1515,790,2304,4,8,10,87,106,198,0,4,4,89,118,212,160,147,305,6102,6527,12626,23,34,61,6285,6703,12988,35,39,72,903,928,1827,3,0,4,943,974,1909,100,79,183,4087,4426,8518,18,24,47,4207,4536,8743,76,89,162,2495,2653,5150,11,11,19,2573,2753,5325
ILOC50500301,3,2983,1478,4454,4,5,6,156,232,390,0,0,0,161,237,397,188,217,406,13178,13448,26626,47,39,83,13412,13708,27119,61,49,107,1899,1868,3763,0,4,7,1961,1917,3877,104,102,210,8835,9098,17934,35,31,70,8979,9232,18213,116,142,259,5467,5478,10948,9,12,18,5591,5630,11218
ILOC50500302,15,2510,1404,3911,4,4,10,138,209,341,0,0,0,147,211,360,188,184,369,13172,13500,26675,43,41,88,13401,13731,27128,48,68,118,2438,2641,5080,9,4,9,2496,2710,5205,95,99,194,8066,8317,16381,35,36,68,8188,8451,16642,123,130,254,6691,7050,13749,13,12,17,6831,7192,14020
ILOC50500401,3,1354,684,2042,10,8,18,89,98,185,0,0,0,102,108,206,185,183,375,5572,5418,10992,20,19,38,5776,5622,11395,36,40,80,1082,1066,2150,0,3,0,1125,1107,2233,94,95,191,3494,3408,6899,12,15,30,3596,3517,7110,114,109,222,2875,2749,5621,4,6,15,2990,2866,5859
ILOC50500402,3,798,418,1210,3,9,7,59,71,126,0,0,0,63,79,135,106,110,225,3210,3246,6461,20,21,40,3338,3385,6721,19,19,40,669,680,1350,0,0,0,689,702,1393,55,60,112,1839,1854,3696,9,13,22,1904,1926,3828,59,69,125,1839,1854,3692,8,8,12,1901,1932,3834
