ILOC_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
ILOC50200402,0,31,24,52,146,15,169,80,26,110,324,282,611,553,330,881,282,167,447,983,1026,2012,331,286,619,1595,1481,3074
ILOC50200403,0,25,36,58,33,23,56,30,32,62,326,296,621,388,352,740,150,153,301,685,794,1484,328,298,629,1170,1243,2411
ILOC50200404,0,42,56,99,16,20,38,39,53,99,402,334,730,462,411,867,153,161,320,1262,1414,2676,410,343,754,1828,1920,3745
ILOC50200501,0,13,23,32,10,9,20,56,47,106,563,425,989,621,481,1111,44,67,116,520,567,1093,565,430,994,1131,1065,2200
ILOC50200601,0,0,0,0,0,0,0,0,0,0,4,0,3,4,5,10,12,8,22,0,4,4,4,0,3,10,17,28
ILOC50200602,0,3,0,3,17,33,55,4,0,5,151,76,227,176,108,283,64,73,133,19,17,38,151,77,231,238,175,403
ILOC50200701,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,5,11,15,24,0,3,3,0,0,0,11,15,26
ILOC50200702,0,4,0,8,3,0,6,15,17,34,89,84,178,112,105,220,23,12,35,92,104,197,89,87,182,205,205,411
ILOC50300101,0,19,27,41,13,5,20,78,79,152,478,415,884,559,493,1052,102,90,192,947,1065,2009,487,420,903,1538,1573,3110
ILOC50300102,0,8,22,25,13,4,11,31,27,65,311,243,556,351,276,631,30,31,60,503,534,1033,315,252,566,847,811,1656
ILOC50300201,0,0,4,4,9,8,12,3,9,15,70,69,140,84,83,158,12,18,31,34,32,72,72,76,148,120,131,252
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,0,0,0,0,0,0,7,0,5,149,40,194,152,42,199,0,0,0,15,13,28,147,40,191,170,58,227
ILOC50300204,0,3,8,16,0,0,0,16,12,26,268,237,505,280,248,533,11,18,31,211,223,435,269,236,509,488,482,969
ILOC50300205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,23,0,0,0,0,0,0,13,10,23
ILOC50300206,0,0,3,3,8,5,5,9,6,15,47,37,83,57,46,106,8,9,20,29,20,52,45,36,88,83,67,155
ILOC50300301,0,106,124,237,244,106,345,193,143,337,1334,1061,2392,1770,1302,3073,554,414,968,3114,3135,6253,1346,1068,2408,5010,4624,9632
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300401,0,0,0,0,5,0,4,0,0,0,3,4,10,10,5,10,8,12,18,0,0,0,3,4,10,10,12,22
ILOC50300402,0,0,0,0,0,0,0,0,0,0,3,7,10,5,3,13,16,12,30,0,0,0,3,7,10,15,15,35
ILOC50300403,0,0,0,0,0,0,0,0,0,0,0,4,5,4,3,6,18,19,41,0,0,0,0,4,5,24,18,45
ILOC50300405,0,0,0,0,0,0,0,0,0,0,6,3,13,8,6,18,22,10,23,0,0,0,6,3,13,24,18,39
ILOC50300406,0,0,0,0,9,7,13,0,0,0,5,11,17,13,17,31,16,30,48,0,0,0,5,11,17,28,32,63
ILOC50300407,0,0,0,0,6,4,8,0,0,0,6,0,4,9,4,9,12,8,18,0,0,0,6,0,4,14,13,29
ILOC50300408,0,0,0,0,3,0,7,0,0,0,10,3,12,6,10,17,29,19,49,0,3,4,10,3,12,36,29,63
ILOC50300409,0,0,0,4,0,0,3,4,4,8,339,89,435,353,92,445,29,18,44,36,17,50,343,89,433,405,130,531
ILOC50300410,0,0,0,0,0,4,5,0,0,0,15,7,21,15,10,21,7,15,23,0,0,0,15,7,21,22,21,37
ILOC50300501,0,0,0,5,0,6,10,3,0,4,74,33,107,79,44,118,11,17,28,26,29,61,74,33,107,114,75,189
ILOC50300502,0,4,0,7,0,0,0,21,6,24,396,112,513,413,125,541,19,21,39,97,64,163,396,112,513,510,195,709
ILOC50300503,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,9,8,10,0,0,0,0,0,0,7,8,10
ILOC50300601,0,0,0,0,5,3,13,0,0,0,9,12,15,10,14,23,49,38,88,3,5,8,9,12,15,62,54,116
ILOC50300701,0,6,4,8,4,4,5,4,0,6,117,43,157,125,47,174,22,24,43,18,16,35,117,43,157,162,86,241
ILOC50400101,0,0,0,0,0,0,0,0,0,0,9,13,20,12,16,28,20,13,33,4,5,11,9,13,20,36,29,64
ILOC50400102,0,0,0,0,0,0,0,0,0,0,4,8,12,4,8,12,3,13,17,0,0,0,4,8,12,12,28,37
ILOC50400103,0,0,0,0,0,0,0,0,0,0,13,10,24,12,10,25,42,46,91,3,0,3,13,10,24,58,55,116
ILOC50400201,0,0,0,5,12,17,30,0,0,3,3,0,5,17,16,30,65,49,115,5,3,8,3,0,5,71,54,124
ILOC50400202,0,0,0,0,3,3,4,0,0,0,27,20,49,28,23,49,18,7,25,0,5,4,27,20,49,42,35,79
ILOC50400203,0,0,0,0,4,0,5,0,0,0,6,4,5,3,3,11,15,16,34,0,5,3,6,4,5,23,20,42
ILOC50400204,0,0,0,0,14,17,31,0,0,0,0,0,0,18,19,31,33,39,68,0,0,0,0,0,0,32,41,73
ILOC50400205,0,0,0,0,0,3,3,0,0,0,0,0,4,5,3,9,9,12,26,0,0,0,0,0,4,15,11,26
ILOC50400301,0,0,0,0,27,33,58,0,5,7,72,66,142,109,101,207,121,110,231,12,18,35,78,69,151,212,199,411
ILOC50400302,0,0,0,0,9,3,17,0,0,0,7,7,11,17,9,30,38,40,71,0,0,0,7,4,12,39,45,84
ILOC50400303,0,0,0,0,9,11,17,0,0,0,0,0,0,8,11,17,22,27,47,0,0,0,0,0,0,19,27,47
ILOC50400401,0,0,0,0,43,35,71,0,0,0,12,12,19,49,42,94,92,67,160,3,0,7,12,12,19,110,79,181
ILOC50400501,0,0,0,0,7,8,20,0,0,0,13,14,22,17,21,42,39,49,84,0,0,4,13,14,22,49,60,112
ILOC50400601,0,13,14,21,46,38,84,14,16,25,325,350,674,390,397,786,209,216,424,277,279,561,333,356,687,817,856,1673
ILOC50400602,0,0,0,0,0,7,13,0,0,0,3,8,15,10,17,26,8,13,29,0,0,0,3,8,15,18,28,46
ILOC50400603,0,0,0,0,5,0,5,0,0,0,4,0,4,4,0,9,11,7,18,0,0,0,4,0,4,14,7,23
ILOC50400701,0,4,0,3,11,11,26,0,4,5,100,84,184,115,98,213,18,23,43,55,89,141,98,84,186,175,201,374
ILOC50400702,0,0,0,0,0,0,3,3,0,9,30,24,52,42,27,69,14,11,29,13,3,11,35,24,57,59,44,98
ILOC50400801,0,0,0,0,20,9,34,3,0,3,52,44,97,78,63,137,74,66,139,13,13,25,52,44,97,141,130,263
ILOC50500101,0,60,90,154,14,21,33,132,152,285,487,442,931,631,614,1249,151,155,302,1236,1368,2601,496,443,938,1877,1962,3842
ILOC50500102,4,235,367,599,9,5,16,203,207,413,912,643,1548,1122,849,1977,177,213,387,7533,7938,15470,926,648,1578,8634,8799,17430
ILOC50500103,0,38,50,85,4,7,13,77,99,179,311,294,604,393,402,796,76,77,160,1106,1209,2314,310,292,605,1493,1581,3075
ILOC50500104,0,43,79,114,12,4,13,65,45,110,324,256,583,401,308,706,101,103,208,1581,1633,3214,329,259,588,2016,1994,4007
ILOC50500105,0,19,32,52,7,3,5,30,23,53,115,116,225,145,143,289,40,49,89,449,534,987,111,115,230,606,696,1300
ILOC50500201,0,67,78,137,8,10,19,72,65,140,411,312,717,485,387,873,85,68,152,1699,1765,3465,410,313,730,2198,2144,4345
ILOC50500301,0,172,175,350,4,4,10,179,161,341,577,444,1019,758,609,1368,98,96,192,3725,3639,7364,585,448,1037,4408,4180,8593
ILOC50500302,0,145,213,360,5,12,21,113,126,237,770,641,1408,888,771,1665,88,79,167,3805,4084,7894,779,646,1425,4665,4810,9479
ILOC50500401,0,79,86,168,17,10,24,136,179,314,520,385,906,677,569,1245,85,75,160,1573,1717,3291,528,396,916,2183,2178,4367
ILOC50500402,0,52,51,106,8,8,10,47,56,105,291,243,539,340,314,654,44,53,100,987,1075,2064,295,248,543,1326,1384,2707
ILOC50500403,0,38,58,95,0,0,3,36,43,80,170,141,316,210,184,394,19,30,46,926,953,1875,172,146,313,1115,1126,2238
ILOC50500404,0,74,71,147,0,0,3,40,41,83,316,233,541,356,273,629,32,36,72,1132,1188,2316,320,233,555,1484,1458,2948
ILOC50500501,0,171,210,381,9,0,9,163,218,383,537,425,962,704,646,1351,70,74,146,7166,7191,14355,548,443,992,7788,7702,15490
ILOC50500502,0,303,348,653,13,15,29,252,209,456,992,798,1792,1262,1023,2280,140,180,320,5535,5396,10928,1014,811,1823,6688,6383,13069
ILOC50500503,0,46,53,98,0,0,0,39,32,66,117,66,181,154,99,251,19,18,43,1388,1503,2890,122,67,190,1530,1590,3120
ILOC50500601,0,107,151,258,4,6,4,105,103,201,518,400,920,623,507,1123,113,119,231,3617,3798,7417,523,414,939,4250,4333,8585
ILOC50500602,0,81,119,198,3,0,7,108,101,207,822,455,1274,931,554,1487,60,51,104,2446,2717,5155,827,457,1286,3328,3225,6544
ILOC50500603,0,180,213,386,12,6,16,159,157,312,697,510,1207,870,672,1532,163,160,322,6008,6441,12451,707,519,1230,6879,7127,14001
ILOC50500604,0,20,36,55,0,0,0,37,40,72,159,125,280,198,169,361,34,39,70,564,685,1244,156,125,284,752,846,1600
ILOC50500605,0,46,63,112,9,13,20,49,74,117,407,339,744,471,423,894,79,55,140,1170,1429,2602,409,341,751,1663,1826,3486
ILOC50500701,0,133,189,325,15,4,17,203,250,450,1051,841,1899,1268,1096,2372,113,123,233,4085,4851,8936,1070,852,1916,5271,5820,11091
ILOC50500801,0,47,71,122,0,4,6,57,51,110,233,194,426,287,249,542,38,37,79,1189,1160,2352,233,194,426,1457,1397,2856
ILOC50500802,0,176,193,370,336,91,422,779,243,1028,499,343,848,1612,685,2300,390,162,549,6161,5868,12034,508,353,861,7060,6383,13445
ILOC50500803,6,114,125,240,18,12,27,197,225,426,531,512,1043,742,749,1496,143,159,298,2414,2604,5014,546,516,1068,3098,3279,6377
ILOC50500804,0,51,65,116,0,0,3,36,38,74,151,125,276,192,165,354,58,51,105,1174,1205,2382,156,129,287,1393,1387,2776
ILOC50500805,0,25,31,53,10,14,24,30,40,73,137,113,249,181,164,343,43,49,95,707,699,1408,139,113,251,892,862,1755
ILOC50500806,0,39,52,92,0,0,3,44,38,84,149,141,283,190,180,372,21,23,44,763,742,1512,150,142,299,941,912,1849
ILOC50500807,0,61,91,149,13,4,15,152,180,327,398,322,724,563,507,1065,71,73,144,1855,2067,3910,406,329,734,2334,2461,4798
ILOC50500808,0,127,141,263,8,3,9,142,119,257,421,374,796,577,493,1070,105,109,218,2903,3116,6017,435,383,819,3443,3608,7055
ILOC50500901,4,221,280,496,4,0,3,192,210,402,995,669,1669,1187,887,2077,117,103,218,7266,7418,14680,1015,697,1714,8392,8218,16610
ILOC50500902,6,324,475,803,6,7,12,288,353,643,1354,946,2297,1651,1306,2957,159,175,335,13173,13514,26687,1393,982,2370,14721,14670,29391
ILOC50501001,0,59,72,132,12,18,27,53,53,103,301,219,517,364,286,649,93,97,190,1341,1442,2783,303,220,520,1738,1759,3498
ILOC50501002,5,38,51,94,7,10,19,52,54,104,258,189,448,322,250,565,88,75,159,1311,1414,2727,263,197,459,1661,1680,3342
ILOC50501003,0,99,136,242,5,4,11,160,171,330,536,427,963,702,597,1301,104,130,236,4287,4403,8693,552,437,991,4949,4968,9915
ILOC50501101,0,80,110,191,13,10,25,105,108,214,572,467,1036,685,590,1273,195,180,377,1982,2082,4060,580,483,1056,2755,2739,5499
ILOC50501102,3,128,188,321,497,0,497,821,92,916,506,344,855,1826,443,2264,610,113,723,4279,3785,8065,513,356,865,5400,4252,9656
ILOC50501201,0,147,234,382,10,14,24,182,178,359,841,728,1576,1038,921,1960,92,104,191,7594,8048,15643,854,744,1600,8544,8890,17437
ILOC50501202,0,162,228,389,5,19,23,201,277,476,672,537,1209,878,833,1709,80,100,184,6080,6368,12450,684,549,1236,6857,7016,13870
ILOC50501301,0,91,169,255,596,5,601,1409,160,1573,678,472,1150,2682,637,3321,706,119,822,4840,3770,8610,684,492,1177,6235,4372,10605
ILOC50501302,0,29,47,75,8,5,7,47,54,103,199,159,354,252,214,469,77,89,170,706,762,1465,205,154,364,987,1008,2000
ILOC50501401,3,353,454,809,13,0,13,198,180,370,2251,1544,3802,2462,1725,4187,103,102,205,6382,6996,13377,2260,1558,3818,8739,8652,17395
ILOC50501402,0,276,381,653,4,8,8,370,429,800,1575,1452,3031,1950,1888,3841,148,168,315,13331,13763,27096,1601,1483,3087,15081,15419,30503
ILOC50501501,0,174,228,404,28,32,58,252,274,530,1230,892,2124,1513,1195,2710,326,365,696,5072,5521,10595,1247,905,2151,6649,6795,13448
ILOC50501502,0,86,131,212,11,6,12,231,313,550,823,600,1423,1063,920,1982,101,102,203,2530,2799,5327,831,615,1441,3469,3513,6976
ILOC50501503,3,265,375,637,3,6,14,185,222,411,1499,972,2470,1689,1199,2896,312,319,631,8775,9484,18262,1523,995,2520,10612,10800,21409
ILOC50501601,0,122,172,291,61,0,65,414,133,548,686,489,1174,1163,631,1796,242,184,422,4341,4314,8658,710,498,1209,5287,5001,10292
ILOC50501701,0,156,194,351,16,10,32,228,300,528,800,755,1554,1045,1066,2110,172,130,304,5582,5427,11007,809,769,1580,6566,6323,12894
ILOC50501702,0,209,246,462,19,31,49,306,516,827,1015,789,1805,1342,1336,2682,126,116,240,4436,5004,9439,1017,794,1812,5573,5919,11489
ILOC50501801,5,248,400,647,10,7,23,257,317,578,1550,1266,2813,1817,1591,3406,126,115,238,9978,10541,20521,1576,1288,2868,11681,11938,23621
ILOC50501802,6,212,296,508,6,15,22,283,289,572,900,764,1664,1190,1067,2256,116,105,224,6318,6788,13105,912,788,1700,7346,7682,15031
ILOC50501803,3,113,141,249,7,11,14,131,123,254,616,509,1129,755,648,1400,78,64,147,2361,2453,4821,628,522,1144,3063,3047,6111
ILOC50501804,8,429,616,1048,14,10,25,340,424,765,1833,1695,3536,2190,2130,4318,121,175,296,9675,10850,20520,1861,1718,3580,11655,12744,24393
ILOC50501901,0,71,126,191,3,0,3,96,130,229,326,265,586,421,399,820,87,89,178,2462,2586,5046,333,264,600,2883,2941,5823
ILOC50501902,0,96,131,232,20,29,46,117,147,266,432,369,804,570,541,1114,184,190,374,2766,2685,5455,447,379,823,3401,3256,6651
ILOC50501903,0,4,5,12,0,0,5,11,10,26,66,58,121,85,71,152,20,27,41,158,181,340,67,57,126,244,262,506
ILOC50501904,0,271,340,606,20,143,170,217,332,550,1092,704,1797,1328,1185,2513,268,427,694,6764,7300,14058,1109,723,1833,8137,8445,16583
ILOC50501905,0,119,168,285,6,5,17,125,147,272,603,488,1085,732,640,1371,204,203,409,3916,4110,8029,613,495,1105,4732,4807,9539
ILOC50501906,0,24,36,65,0,6,5,37,37,80,161,121,283,201,159,363,53,25,77,1028,978,2004,169,119,288,1242,1132,2375
ILOC50501907,0,11,27,47,4,7,7,62,109,169,253,196,447,317,305,621,26,32,55,443,599,1043,255,200,453,721,828,1545
ILOC50501908,0,30,45,71,12,10,17,44,42,90,223,182,408,275,231,509,86,74,166,688,688,1372,224,195,417,994,956,1951
ILOC50501909,0,30,43,74,3,5,9,35,17,53,127,91,219,164,114,276,90,92,185,828,820,1647,135,96,224,1055,1006,2064
ILOC50502001,0,519,754,1279,34,32,63,703,735,1432,2026,1444,3471,2763,2208,4972,373,440,809,16506,17584,34094,2061,1492,3556,18948,19513,38458
ILOC50502101,3,357,545,905,14,13,32,351,419,772,2032,1476,3511,2400,1913,4313,439,423,862,11084,11818,22903,2074,1506,3580,13595,13751,27346
ILOC50600102,0,0,0,0,0,0,0,0,0,0,3,4,3,6,6,7,49,39,91,0,0,0,3,4,3,50,45,93
ILOC50600103,0,0,0,0,7,6,14,0,0,0,0,0,0,7,6,14,18,22,38,0,0,0,0,0,0,18,22,38
ILOC50600104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,18,0,0,0,0,0,0,5,9,17
ILOC50600105,0,0,0,0,0,0,0,0,3,5,11,7,15,13,10,19,13,13,25,3,10,11,11,7,15,27,25,50
ILOC50600106,0,3,25,35,10,17,21,12,11,28,236,222,463,259,250,509,101,110,211,407,420,831,239,232,470,751,761,1510
ILOC50600107,0,0,0,0,0,0,0,0,0,3,8,0,6,10,8,11,7,9,14,7,7,9,8,0,6,13,16,32
ILOC50600108,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,13,11,17,0,8,7,0,0,0,11,13,28
ILOC50600109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,34,0,0,0,0,0,0,25,10,39
ILOC50600110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,17,0,0,0,0,0,0,9,12,17
ILOC50600111,0,7,8,14,7,0,7,35,13,49,1417,300,1717,1460,311,1768,9,0,9,130,81,209,1420,300,1718,1557,380,1939
ILOC50600112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600201,0,17,18,31,11,4,17,49,36,80,530,229,756,597,268,859,44,34,76,401,390,796,539,233,773,980,666,1647
ILOC50600202,0,3,4,4,5,0,7,4,3,7,69,76,145,82,86,166,13,17,34,60,67,131,69,76,145,145,157,303
ILOC50600203,0,4,7,5,0,0,0,3,6,3,179,94,274,188,94,282,19,15,37,103,121,223,179,94,275,301,232,535
ILOC50600204,0,8,6,18,0,3,3,13,12,24,197,167,355,205,174,386,53,66,118,335,311,640,198,165,360,584,542,1124
ILOC50600301,0,41,73,112,29,28,62,56,47,101,1318,1038,2354,1403,1114,2521,280,295,575,1820,1900,3721,1329,1046,2371,3434,3241,6673
ILOC50600401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,15,0,0,0,0,0,0,11,15,19
ILOC50600402,0,0,0,0,0,0,0,0,0,0,32,23,60,32,26,59,13,19,29,16,22,42,32,23,60,66,64,129
ILOC50600403,3,20,32,54,3,5,7,13,13,32,272,247,521,296,268,561,54,50,102,412,455,871,275,246,526,744,756,1501
ILOC50600404,0,40,53,92,72,84,151,57,43,91,865,633,1498,991,763,1753,419,450,862,861,944,1812,868,641,1512,2148,2034,4185
ILOC50600405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50600501,0,0,0,0,161,14,172,32,3,35,19,18,36,210,31,246,169,19,186,50,21,77,19,18,36,238,59,297
ILOC50600502,0,6,6,6,0,0,0,6,15,23,355,135,485,365,148,510,16,7,22,188,177,364,355,135,485,554,319,865
ILOC50600503,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,8,14,9,26,0,5,12,3,0,3,17,15,35
ILOC50600504,0,0,0,0,4,7,8,0,0,4,21,18,40,30,24,53,43,32,74,17,16,26,21,24,45,77,69,147
ILOC50600505,0,3,10,11,3,4,10,5,6,8,212,138,345,223,147,372,53,40,101,214,193,406,212,138,352,484,374,861
ILOC50700101,0,54,60,113,25,21,43,122,151,274,357,358,712,502,532,1033,129,128,258,1541,1790,3329,364,361,723,2029,2277,4312
ILOC50700102,0,76,108,181,144,21,165,303,107,412,524,381,906,971,506,1480,249,129,381,2527,2415,4943,539,391,931,3311,2942,6257
ILOC50700201,0,38,49,88,14,15,25,460,110,569,913,778,1696,1388,898,2291,138,125,262,1830,1628,3452,934,806,1741,2898,2562,5452
ILOC50700202,0,5,12,9,0,0,0,5,9,21,38,30,70,45,43,90,4,5,4,52,64,113,37,30,70,94,95,187
ILOC50700203,0,3,0,0,0,0,3,3,9,14,59,50,108,66,61,123,10,7,14,69,83,152,62,52,110,141,134,277
ILOC50700204,0,0,5,5,0,4,5,3,9,10,67,64,128,73,71,140,11,6,17,14,32,52,67,64,128,93,104,195
ILOC50700205,0,6,5,10,0,0,0,23,21,45,98,76,173,123,98,224,16,27,39,167,172,335,105,74,181,282,274,557
ILOC50700301,0,43,63,106,4,0,12,96,113,203,422,343,760,516,458,974,58,63,119,1509,1639,3153,424,353,774,1993,2057,4049
ILOC50700302,0,11,22,38,3,5,6,20,27,44,66,48,116,91,86,174,41,41,84,420,471,889,72,51,127,536,567,1097
ILOC50700303,0,14,10,20,105,0,108,423,20,442,90,77,169,625,94,718,124,31,154,770,408,1179,93,83,172,987,518,1505
ILOC50700304,0,15,28,39,11,10,14,30,47,74,175,201,375,213,254,465,62,58,121,400,480,873,179,200,377,638,733,1367
ILOC50700305,0,14,19,30,7,3,10,28,23,53,123,100,220,151,123,277,38,39,74,270,284,552,122,106,225,430,429,854
ILOC50700401,0,104,178,286,9,12,19,223,218,437,1046,870,1919,1277,1099,2374,163,168,331,4273,4572,8845,1070,898,1961,5503,5645,11146
ILOC50700501,0,5,9,12,9,9,18,29,38,63,314,252,559,347,296,646,42,54,98,414,428,849,315,254,569,777,733,1509
ILOC50700502,0,5,4,11,5,7,9,31,18,48,250,138,384,279,160,438,16,13,29,198,194,398,251,142,390,461,349,809
ILOC50700601,0,102,96,197,6,11,13,154,131,281,689,490,1184,847,630,1478,169,161,327,3292,3377,6672,703,508,1214,4169,4048,8216
ILOC50700701,0,6,3,15,3,0,9,13,9,26,113,105,222,135,114,252,24,20,44,155,194,345,118,109,220,291,321,608
ILOC50700702,0,3,15,16,0,0,0,33,20,47,239,202,445,273,220,494,29,24,56,325,386,705,239,202,445,592,615,1205
ILOC50700703,0,3,7,7,0,0,0,0,8,7,22,24,49,25,31,59,12,20,34,67,59,128,27,27,52,105,105,216
ILOC50700801,0,7,5,15,0,3,5,16,17,37,122,108,230,143,125,263,23,23,46,249,249,498,123,112,236,394,384,779
ILOC50700802,0,4,8,14,14,26,43,39,25,68,158,158,313,206,216,420,42,76,114,334,390,720,157,165,324,535,632,1163
ILOC50700901,0,305,472,779,38,34,69,686,806,1495,2531,1928,4461,3251,2772,6024,545,593,1139,9517,10861,20380,2569,1976,4552,12634,13431,26071
ILOC50701001,0,29,43,75,8,5,10,176,104,277,489,451,934,667,561,1226,52,59,111,1180,1161,2334,512,466,979,1741,1683,3425
ILOC50701002,0,18,32,53,0,3,8,48,47,99,310,287,594,365,337,697,56,68,123,787,782,1572,309,293,607,1160,1138,2294
ILOC50701101,0,29,51,79,5,3,9,112,118,234,679,478,1157,803,597,1401,101,85,183,1313,1418,2724,710,500,1205,2117,1999,4120
ILOC50701102,0,0,6,9,4,8,12,15,12,31,118,114,230,141,138,280,43,54,94,167,197,366,123,116,234,338,363,702
ILOC50701201,0,7,10,22,0,0,0,13,11,28,111,85,196,124,105,228,11,14,23,224,234,455,111,96,203,345,338,686
ILOC50701202,0,11,37,45,10,9,10,96,74,170,316,293,613,420,372,790,61,66,133,1042,1194,2233,324,304,627,1434,1565,2991
ILOC50701203,0,4,13,13,3,0,3,55,65,120,140,102,241,198,172,370,35,27,61,377,460,838,140,103,243,548,592,1139
ILOC50701301,0,7,22,25,10,12,24,61,46,102,198,161,356,264,218,483,61,61,121,405,415,822,202,170,368,665,648,1315
ILOC50701302,0,10,24,33,11,6,20,79,98,178,421,410,832,513,513,1028,62,73,131,799,890,1683,426,413,845,1284,1372,2658
ILOC50701401,0,15,31,42,13,13,30,38,36,74,325,302,628,377,350,725,105,103,218,567,627,1189,332,304,634,1009,1033,2039
ILOC50701501,0,48,75,124,4,6,12,101,116,219,661,537,1200,766,658,1425,38,41,84,1763,1919,3686,681,546,1236,2489,2511,5003
ILOC50701502,0,25,24,47,3,0,3,51,54,107,368,328,690,424,384,803,20,26,48,709,801,1512,379,339,713,1107,1169,2275
ILOC50701503,0,90,154,246,13,8,23,180,181,362,822,623,1437,1016,809,1821,195,214,410,3933,4183,8116,827,625,1457,4957,5023,9980
ILOC50701504,0,23,38,62,4,4,9,93,99,193,297,255,547,390,353,750,63,78,142,832,840,1677,299,261,559,1200,1175,2377
ILOC50701505,0,8,21,33,4,0,3,36,32,72,188,139,326,225,173,402,20,29,53,529,576,1101,194,146,335,743,751,1493
ILOC50800101,0,4,5,7,16,24,40,11,16,22,326,382,711,353,422,775,125,121,247,94,86,181,326,383,714,544,596,1136
