ILOC_CODE_2021,Neg_Nil_inc_Hh_with_Ind_psns,Neg_Nil_inc_Other_households,Neg_Nil_income_Tot_hhlds,1_149_Hhd_with_Indig_psns,1_149_Other_households,1_149_Tot_hhlds,150_299_Hhd_with_Indig_psns,150_299_Other_households,150_299_Tot_hhlds,300_399_Hhd_with_Indig_psns,300_399_Other_households,300_399_Tot_hhlds,400_499_Hhd_with_Indig_psns,400_499_Other_households,400_499_Tot_hhlds,500_649_Hhd_with_Indig_psns,500_649_Other_households,500_649_Tot_hhlds,650_799_Hhd_with_Indig_psns,650_799_Other_households,650_799_Tot_hhlds,800_999_Hh_with_Indig_psn,800_999_Other_households,800_999_Tot_hhlds,1000_1249_Hh_with_Indig_psn,1000_1249_Other_households,1000_1249_Tot_hhlds,1250_1499_Hh_with_Indig_psn,1250_1499_Other_households,1250_1499_Tot_hhlds,1500_1749_Hh_with_Indig_psn,1500_1749_Other_households,1500_1749_Tot_hhlds,1750_1999_Hh_with_Indig_psn,1750_1999_Other_households,1750_1999_Tot_hhlds,2000_2499_Hh_with_Indig_psn,2000_2499_Other_households,2000_2499_Tot_hhlds,2500_2999_Hh_with_Indig_psn,2500_2999_Other_households,2500_2999_Tot_hhlds,3000_3499_Hh_with_Indig_psn,3000_3499_Other_households,3000_3499_Tot_hhlds,3500_more_Hh_with_Indig_psn,3500_more_stated_Other_hhds,3500_more_stated_Tot_hhlds,Part_inc_st_Hh_with_Indig_psn,Partial_inc_stated_Other_hhds,Partial_inc_stated_Tot_hhlds,All_inc_ns_Hh_with_Ind_psns,All_income_ns_Other_household,All_inc_NS_Tot_hhlds,Tot_Household_with_Indig_psns,Tot_Other_households,Tot_Tot_hhlds
ILOC50200403,10,52,55,4,17,23,8,56,60,11,54,64,22,197,222,13,128,140,21,201,223,22,166,183,21,205,220,18,179,191,22,152,172,14,134,145,20,309,327,20,211,234,7,159,168,26,318,339,33,235,268,12,48,59,297,2811,3100
ILOC50200404,4,56,64,0,21,26,6,56,62,18,94,115,21,219,241,8,179,189,19,241,264,30,217,247,16,259,276,15,265,282,14,215,226,23,210,234,39,518,559,18,320,340,16,296,314,24,550,572,32,340,364,3,66,71,311,4133,4443
ILOC50200501,3,72,72,3,18,21,5,37,46,5,96,96,15,220,232,9,150,159,9,192,197,14,189,198,10,174,187,19,175,191,17,128,144,9,116,124,19,247,263,0,119,125,7,106,109,6,238,246,24,248,272,3,88,92,163,2610,2778
ILOC50200601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,9,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,18
ILOC50200602,5,3,6,0,0,0,9,0,7,8,5,13,4,7,21,3,6,8,11,8,20,9,4,14,16,7,17,8,6,10,8,9,18,9,5,10,12,23,32,3,4,7,0,8,8,6,14,17,12,9,24,24,10,31,132,129,260
ILOC50200701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,24
ILOC50200702,7,15,19,0,0,0,7,5,7,0,14,15,8,38,47,3,15,16,0,38,43,11,29,44,3,34,34,6,31,32,6,15,18,3,26,27,9,46,49,5,22,24,0,16,21,4,28,32,7,43,45,5,21,23,72,439,509
ILOC50300101,6,53,55,4,34,42,5,53,64,8,98,110,9,291,302,4,187,196,16,226,239,15,230,241,20,258,278,19,250,266,14,182,192,7,211,211,20,426,439,8,225,238,15,213,231,11,361,372,30,326,358,8,95,100,210,3722,3934
ILOC50300102,0,37,40,0,9,9,0,20,20,0,44,44,6,97,98,0,58,62,9,87,96,6,87,92,3,112,114,4,117,120,5,104,112,5,103,106,7,204,215,8,112,123,4,117,123,17,213,229,9,193,200,9,47,49,85,1761,1843
ILOC50300201,0,3,3,0,0,0,0,3,3,0,11,12,9,26,34,0,6,9,5,12,16,3,19,21,3,8,13,3,11,12,9,10,17,3,15,16,3,24,30,3,20,19,0,6,6,0,21,25,7,23,28,4,7,10,46,233,276
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,5,0,5,5,0,0,0,0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,7,7,0,8,6,0,0,0,4,53,58
ILOC50300204,0,15,15,0,4,9,0,9,8,7,20,21,4,42,44,6,23,29,3,37,42,4,19,25,7,32,35,0,31,34,0,32,29,4,30,33,11,107,121,0,42,42,3,65,68,13,142,156,3,66,74,0,22,26,67,737,802
ILOC50300205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,5,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,18,0,18
ILOC50300206,0,7,5,0,0,0,3,7,8,0,9,9,5,35,39,0,10,18,5,22,25,0,17,22,0,7,14,6,6,11,0,9,9,0,7,7,0,12,11,3,8,9,0,5,3,0,12,12,8,15,21,3,17,18,36,200,239
ILOC50300301,21,115,132,6,48,50,23,70,98,26,112,140,29,300,326,24,207,231,42,261,306,36,318,351,40,406,443,33,444,480,50,466,517,39,507,537,71,1255,1328,51,745,801,47,886,934,124,2157,2279,68,734,801,51,170,218,777,9195,9974
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ILOC50300401,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21
ILOC50300402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,4,0,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,27,0,31
ILOC50300403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,0,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,0,5,0,0,0,23,3,29
ILOC50300405,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,27
ILOC50300406,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,4,0,0,0,3,0,3,5,0,5,3,0,3,0,0,4,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,33,10,37
ILOC50300407,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,0,4,4,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,25,8,33
ILOC50300408,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7,0,7,8,0,8,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,12,0,0,0,35,10,41
ILOC50300409,0,3,3,0,0,0,4,0,9,0,0,3,11,6,18,0,0,0,6,0,13,0,5,8,0,4,6,0,3,3,5,3,10,0,7,12,0,8,13,3,6,4,0,10,9,0,14,14,4,5,6,0,8,6,47,93,137
ILOC50300410,0,0,0,0,0,0,5,0,5,0,0,0,7,0,7,3,0,3,0,0,0,0,0,0,3,0,3,0,4,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8,37
ILOC50300501,0,3,3,0,0,0,3,0,10,5,5,6,0,6,7,0,4,4,8,11,12,3,3,11,6,9,11,3,9,11,0,11,11,0,5,8,5,17,17,0,9,5,3,4,11,0,15,14,5,14,16,0,6,6,34,134,170
ILOC50300502,0,4,4,0,0,0,0,0,0,3,0,3,6,6,12,0,7,5,0,3,3,0,4,4,3,9,9,3,10,15,0,13,15,0,3,9,0,25,25,0,13,14,4,15,18,0,35,38,3,17,21,0,3,3,28,163,196
ILOC50300503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,6,8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,4,16
ILOC50300601,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,9,0,9,10,0,11,9,0,9,6,0,13,17,5,22,9,4,13,8,5,12,0,0,0,0,10,10,0,0,6,6,0,12,0,3,3,98,34,129
ILOC50300701,0,0,4,0,0,0,4,0,7,5,0,5,9,4,8,0,0,5,8,0,6,0,3,9,9,3,6,3,6,9,4,0,3,0,3,3,0,4,6,0,3,3,0,3,3,0,3,3,0,3,5,0,6,9,39,49,84
ILOC50400101,0,4,4,0,0,0,6,0,3,10,0,10,4,6,9,3,0,3,3,4,10,3,5,7,4,3,6,3,0,7,0,5,5,0,3,0,5,4,10,0,0,0,0,5,5,0,5,3,0,4,4,0,5,5,38,39,75
ILOC50400102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13
ILOC50400103,0,6,6,0,0,0,4,0,4,4,0,4,0,0,0,10,0,10,3,0,3,5,0,7,14,0,13,5,0,6,3,3,7,3,3,3,7,4,13,4,0,4,0,0,0,0,0,0,14,0,14,0,0,0,77,19,94
ILOC50400201,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,4,18,0,17,5,0,6,9,0,10,6,8,16,6,3,10,3,6,3,0,3,4,7,0,9,0,0,3,0,0,0,4,3,8,5,0,5,79,21,100
ILOC50400202,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,7,0,0,0,3,0,3,0,5,4,4,0,3,0,6,6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,18,16,34
ILOC50400203,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,5,0,5,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,7,23
ILOC50400204,0,0,0,0,0,0,3,0,3,3,0,3,3,0,3,8,0,8,3,0,3,3,0,3,3,0,3,0,4,4,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,47,9,55
ILOC50400205,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,5,33
ILOC50400301,0,0,5,3,0,3,13,0,14,9,3,16,23,0,18,10,9,17,11,5,12,24,0,30,20,9,31,14,4,21,8,12,24,11,18,30,17,25,43,4,14,17,0,15,17,0,17,22,26,12,37,15,6,22,227,147,375
ILOC50400302,0,0,0,0,0,0,5,0,5,0,0,0,6,0,6,3,0,3,3,0,3,4,0,4,0,0,0,3,0,3,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4,8,0,9,3,5,0,59,0,56
ILOC50400303,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,32,0,32
ILOC50400401,0,0,0,0,0,0,3,0,3,13,0,13,11,0,8,7,0,11,7,4,8,6,0,6,4,0,4,10,0,6,0,0,0,0,0,5,0,6,4,0,0,5,0,3,3,0,0,4,9,0,9,16,0,16,90,15,106
ILOC50400501,0,0,0,0,0,0,7,0,7,10,0,10,0,0,0,6,0,6,7,0,7,13,0,13,11,0,16,5,0,5,8,0,8,3,0,3,3,3,6,0,3,3,0,0,4,0,3,4,0,0,0,0,0,0,68,14,85
ILOC50400601,8,10,16,5,3,9,10,3,10,10,10,25,15,10,32,18,21,34,15,18,33,21,21,46,30,50,77,43,59,98,14,73,84,15,73,90,31,136,168,19,100,126,16,94,117,36,157,191,38,109,149,21,36,54,367,993,1361
ILOC50400602,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,3,0,0,0,7,0,7,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,19,0,19
ILOC50400603,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,14,0,14
ILOC50400701,0,7,7,0,4,0,0,0,0,0,3,6,6,3,10,0,4,4,0,3,3,3,4,8,8,4,12,0,12,11,0,11,13,4,10,13,6,29,40,3,14,16,0,20,20,3,59,59,3,27,34,6,4,7,52,226,271
ILOC50400702,0,0,0,4,0,4,0,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,7,0,5,4,0,4,4,0,0,3,0,0,0,0,0,0,0,5,5,0,3,3,0,0,0,5,0,6,0,0,0,21,23,48
ILOC50400801,6,0,9,0,0,0,7,0,9,10,4,16,5,0,11,8,5,14,14,3,21,10,3,14,13,5,13,7,6,12,6,8,10,5,5,7,10,13,24,3,6,5,0,8,11,9,9,12,19,6,25,9,3,11,142,78,226
ILOC50500101,4,95,103,3,32,33,11,87,103,8,220,230,22,558,584,25,415,439,33,445,476,25,461,480,35,474,506,23,475,498,19,318,341,13,252,264,37,385,419,12,217,226,16,94,111,16,133,156,28,306,333,7,164,171,331,5144,5471
ILOC50500102,7,203,214,0,64,64,5,112,117,8,175,181,13,434,446,15,373,388,13,609,624,11,696,703,30,966,993,15,1099,1115,13,1003,1012,20,1103,1128,50,2440,2490,45,1714,1760,19,1645,1666,66,3128,3199,36,1463,1499,5,156,161,381,17388,17770
ILOC50500103,6,67,72,0,28,28,0,60,62,0,129,127,5,275,281,15,212,221,14,275,283,17,304,319,19,308,325,11,300,312,11,243,257,12,211,224,30,376,402,13,216,222,9,213,225,15,330,348,19,285,300,6,70,78,193,3907,4102
ILOC50500104,8,37,48,0,9,13,4,21,28,0,38,42,5,98,105,10,105,115,11,176,194,10,176,189,10,272,283,16,299,321,6,295,303,9,257,267,18,495,510,18,320,340,11,218,229,16,250,267,17,287,309,3,35,38,179,3412,3591
ILOC50500105,0,30,34,0,9,8,0,26,33,0,41,47,0,111,111,5,57,59,11,111,121,8,125,133,6,173,181,7,140,143,6,98,111,4,96,100,13,164,179,7,91,100,5,55,55,3,64,66,11,92,105,3,31,32,94,1524,1616
ILOC50500201,0,88,88,0,42,42,8,71,81,3,172,178,12,405,416,9,273,279,11,343,354,8,346,355,16,407,420,15,391,402,13,321,330,7,303,309,22,723,739,17,461,473,16,405,421,18,948,967,13,377,388,5,91,94,176,6164,6350
ILOC50500301,5,255,263,0,81,85,4,142,148,3,256,264,12,771,780,6,492,502,22,784,807,10,751,764,18,868,884,15,920,932,17,703,717,15,670,682,26,1420,1448,15,875,891,16,809,827,31,1491,1520,18,798,815,3,171,173,244,12242,12493
ILOC50500302,9,229,238,4,96,96,15,194,205,7,378,389,13,838,855,13,600,612,22,685,706,16,779,797,18,879,901,23,944,963,17,744,762,20,771,793,17,1583,1601,23,931,954,15,1019,1034,31,2755,2786,29,832,863,7,183,184,284,14440,14730
ILOC50500401,3,107,114,0,38,38,5,87,93,10,159,173,9,375,383,9,209,219,5,265,279,12,331,342,16,383,400,13,405,423,11,333,338,12,309,313,23,654,678,13,371,387,10,357,365,30,792,823,21,399,422,8,83,93,220,5656,5881
ILOC50500402,3,67,70,3,11,12,4,39,47,7,103,111,8,209,214,10,132,141,15,182,194,5,217,220,5,260,271,9,251,254,12,209,219,8,184,188,16,372,390,7,240,253,5,176,183,18,324,347,5,239,245,4,45,50,136,3260,3402
ILOC50500403,0,57,58,0,23,23,0,32,32,6,75,76,3,184,181,0,93,94,4,149,154,0,167,168,3,196,198,8,240,251,7,210,216,5,170,171,3,354,359,3,172,175,3,174,176,6,292,301,5,176,182,0,46,46,53,2807,2861
ILOC50500404,4,73,82,0,29,31,6,63,67,4,140,146,7,255,267,5,173,176,3,196,203,6,261,262,8,338,342,15,364,377,11,328,333,7,260,270,14,649,662,8,300,307,3,303,307,22,651,667,15,294,306,4,59,64,139,4739,4873
ILOC50500501,5,280,282,0,126,130,3,201,207,7,313,322,9,802,807,10,596,604,12,854,866,12,843,860,20,1069,1081,10,1070,1088,3,858,860,14,787,797,17,1782,1801,9,1236,1243,6,1196,1206,35,3093,3121,19,1133,1153,3,140,144,194,16382,16576
ILOC50500502,6,267,274,0,102,105,13,195,202,17,339,353,27,731,753,18,485,506,26,635,661,23,746,769,29,942,971,23,979,1008,12,817,828,17,813,832,27,1611,1637,24,993,1019,15,837,855,32,1448,1477,39,998,1032,11,182,195,357,13124,13481
ILOC50500503,0,63,63,0,19,19,0,22,22,0,35,38,0,77,76,0,58,58,0,119,119,0,135,137,0,166,167,0,173,176,3,167,170,0,159,169,0,339,343,5,283,288,0,263,263,18,761,775,4,300,305,0,23,23,36,3184,3216
ILOC50500601,0,115,115,0,53,56,0,87,89,5,149,152,12,420,428,9,255,266,11,426,439,16,435,450,16,549,565,21,608,634,16,570,582,10,564,568,32,1295,1322,21,938,964,14,854,873,35,1759,1794,19,800,816,0,123,125,235,10003,10238
ILOC50500602,0,174,180,0,55,55,5,129,129,3,185,189,6,512,512,7,338,343,7,536,543,8,469,478,16,563,584,12,534,546,14,470,480,13,451,456,13,943,962,13,626,642,7,572,585,31,1594,1623,17,609,626,4,118,124,173,8878,9049
ILOC50500603,3,175,180,9,60,64,6,107,111,0,174,180,15,434,452,10,351,361,12,560,574,17,643,651,18,856,876,25,952,972,17,841,862,23,862,881,45,1999,2039,30,1426,1451,26,1407,1429,63,3021,3084,42,1222,1259,9,133,135,348,15224,15568
ILOC50500604,0,35,40,0,14,14,3,56,61,4,97,99,11,219,230,7,128,134,4,127,135,3,170,169,6,185,189,3,179,187,3,147,150,4,143,146,3,288,290,7,160,163,0,121,126,14,187,195,6,127,132,0,45,47,78,2434,2515
ILOC50500605,6,94,105,3,39,43,7,78,80,9,189,201,14,380,392,12,257,265,12,303,313,6,351,356,10,358,370,9,348,354,12,313,327,8,250,257,23,584,604,5,346,353,0,305,308,17,596,607,11,379,394,10,88,96,163,5264,5427
ILOC50500701,6,276,279,5,102,117,21,247,269,20,430,445,20,938,951,13,619,631,13,753,770,24,742,766,9,884,896,25,885,909,10,703,711,14,748,758,30,1548,1577,12,858,871,17,1050,1063,54,3658,3710,27,1086,1117,14,204,214,325,15736,16062
ILOC50500801,3,64,63,0,13,13,0,37,38,4,62,71,4,155,155,0,100,106,8,187,197,3,183,187,6,235,243,14,243,255,3,231,236,0,178,182,19,395,411,11,274,286,7,186,192,6,326,334,4,227,228,0,45,45,98,3141,3242
ILOC50500802,0,156,156,0,48,48,4,54,54,0,93,97,0,274,270,4,260,265,0,404,402,3,420,423,7,533,533,7,657,670,5,584,596,10,621,632,23,1414,1435,10,1086,1095,6,1003,1008,19,2299,2316,23,953,979,0,102,102,133,10959,11092
ILOC50500803,8,138,144,0,37,41,7,122,130,15,275,290,13,611,631,25,471,498,28,556,583,29,572,602,20,658,685,29,612,643,18,529,544,14,413,431,40,791,827,35,441,471,10,286,297,18,387,403,28,475,501,16,143,155,365,7513,7877
ILOC50500804,3,48,46,0,14,14,0,25,24,3,49,52,3,108,116,10,89,100,10,178,187,3,151,152,5,204,214,6,230,240,8,190,197,6,178,181,17,405,420,12,244,258,9,200,205,15,311,326,9,213,222,0,34,39,118,2867,2992
ILOC50500805,5,20,25,0,9,9,0,24,30,0,52,55,4,87,94,7,86,95,6,128,138,10,133,141,13,166,178,8,171,181,3,134,139,0,121,120,3,196,202,0,130,131,4,90,96,9,141,155,12,144,157,0,31,39,96,1876,1966
ILOC50500806,0,40,40,6,16,16,0,36,36,5,37,43,10,133,142,3,73,82,6,134,142,4,134,137,6,201,209,4,159,161,5,110,115,0,112,114,0,213,216,0,124,131,5,68,73,3,117,118,10,103,114,0,40,43,64,1853,1914
ILOC50500807,3,96,104,6,30,35,7,62,73,8,135,142,6,339,349,9,228,236,16,332,339,11,360,371,16,422,435,6,413,421,10,305,313,11,290,301,24,540,565,13,334,343,12,250,262,18,390,402,17,394,414,0,80,84,195,5001,5193
ILOC50500808,4,163,175,4,44,40,6,100,107,3,186,193,3,433,443,11,312,324,13,544,561,14,557,565,21,626,652,23,644,661,20,471,493,15,529,534,26,1000,1028,18,593,614,10,507,515,26,787,815,29,539,564,3,113,120,251,8154,8401
ILOC50500901,5,270,269,0,99,99,0,141,141,4,312,311,3,709,714,8,582,592,13,872,880,10,914,915,15,1086,1102,13,1131,1142,8,996,1004,16,954,968,25,2110,2137,26,1543,1568,22,1604,1623,61,4332,4386,33,1723,1752,4,229,232,258,19600,19860
