ILOC_CODE_2021,M_Y12_equivalent_Indigenous,M_Y12_equivalent_Non_Indig,M_Y12_equiv_IndigStat_ns,M_Y12_equivalent_Tot,M_Y11_equivalent_Indigenous,M_Y11_equiv_Non_Indig,M_Y11_equiv_IndigStat_ns,M_Y11_equivalent_Tot,M_Y10_equivalent_Indigenous,M_Y10_equiv_Non_Indig,M_Y10_equiv_IndigStat_ns,M_Y10_equivalent_Tot,M_Y9_equivalent_Indigenous,M_Y9_equiv_Non_Indig,M_Y9_equiv_IndigStat_ns,M_Y9_equivalent_Tot,M_Y8_below_Indigenous,M_Y8_below_Non_Indig,M_Y8_below_IndigStat_ns,M_Y8_below_Tot,M_Did_not_go_to_school_Indig,M_Did_not_go_to_sch_Non_Indig,M_Di_no_go_to_sch_IndSt_ns,M_Did_not_go_to_school_Tot,M_Highest_yr_school_ns_Indig,M_Highest_yr_sch_ns_Non_Indig,M_Highe_yr_sch_ns_IndSt_ns,M_Highest_yr_school_ns_Tot,M_Tot_Indigenous,M_Tot_Non_Indigenous,M_Tot_IndigStat_ns,M_Tot_Tot,F_Y12_equivalent_Indigenous,F_Y12_equivalent_Non_Indig,F_Y12_equiv_IndigStat_ns,F_Y12_equivalent_Tot,F_Y11_equivalent_Indigenous,F_Y11_equiv_Non_Indig,F_Y11_equiv_IndigStat_ns,F_Y11_equivalent_Tot,F_Y10_equivalent_Indigenous,F_Y10_equiv_Non_Indig,F_Y10_equiv_IndigStat_ns,F_Y10_equivalent_Tot,F_Y9_equivalent_Indigenous,F_Y9_equiv_Non_Indig,F_Y9_equiv_IndigStat_ns,F_Y9_equivalent_Tot,F_Y8_below_Indigenous,F_Y8_below_Non_Indig,F_Y8_below_IndigStat_ns,F_Y8_below_Tot,F_Did_not_go_to_school_Indig,F_Did_not_go_to_sch_Non_Indig,F_Di_no_go_to_sch_IndSt_ns,F_Did_not_go_to_school_Tot,F_Highest_yr_school_ns_Indig,F_Highest_yr_sch_ns_Non_Indig,F_Highe_yr_sch_ns_IndSt_ns,F_Highest_yr_school_ns_Tot,F_Tot_Indigenous,F_Tot_Non_Indigenous,F_Tot_IndigStat_ns,F_Tot_Tot,P_Y12_equivalent_Indigenous,P_Y12_equivalent_Non_Indig,P_Y12_equiv_IndigStat_ns,P_Y12_equivalent_Tot,P_Y11_equivalent_Indigenous,P_Y11_equiv_Non_Indig,P_Y11_equiv_IndigStat_ns,P_Y11_equivalent_Tot,P_Y10_equivalent_Indigenous,P_Y10_equiv_Non_Indig,P_Y10_equiv_IndigStat_ns,P_Y10_equivalent_Tot,P_Y9_equivalent_Indigenous,P_Y9_equiv_Non_Indig,P_Y9_equiv_IndigStat_ns,P_Y9_equivalent_Tot,P_Y8_below_Indigenous,P_Y8_below_Non_Indig,P_Y8_below_IndigStat_ns,P_Y8_below_Tot,P_Did_not_go_to_school_Indig,P_Did_not_go_to_sch_Non_Indig,P_Di_no_go_to_sch_IndSt_ns,P_Did_not_go_to_school_Tot,P_Highest_yr_school_ns_Indig,P_Highest_yr_sch_ns_Non_Indig,P_Highe_yr_sch_ns_IndSt_ns,P_Highest_yr_school_ns_Tot,P_Tot_Indigenous,P_Tot_Non_Indigenous,P_Tot_IndigStat_ns,P_Tot_Tot
ILOC50200102,8,0,0,8,7,0,0,7,9,0,0,9,8,0,0,8,5,0,0,5,0,0,0,0,4,0,0,6,42,0,0,41,4,0,0,0,8,0,0,8,18,0,0,18,6,0,0,6,6,0,0,6,0,0,0,0,11,0,0,11,51,0,0,51,13,0,0,15,9,0,0,9,29,0,0,29,17,0,0,17,13,0,0,13,0,0,0,0,9,0,4,12,92,0,4,91
ILOC50200201,8,129,0,135,8,33,0,40,22,68,0,88,8,21,0,24,3,11,0,13,0,0,0,4,0,9,159,170,50,265,159,477,13,70,0,83,3,24,0,24,11,33,0,50,4,5,0,6,0,3,0,9,0,0,0,0,0,4,45,56,38,142,45,226,18,199,0,212,17,52,0,66,35,97,0,137,12,25,0,36,3,18,0,19,0,0,0,4,0,15,209,225,85,409,209,701
ILOC50200202,6,59,0,62,0,17,0,17,7,29,0,42,3,11,0,18,5,4,0,6,0,0,0,3,0,11,141,151,22,131,141,297,8,53,0,63,0,16,0,20,5,23,0,28,0,11,0,11,0,0,0,0,0,0,0,0,3,0,102,111,20,108,106,233,12,107,0,126,0,33,0,35,12,50,0,69,3,28,0,27,5,8,0,15,0,0,0,0,3,15,239,258,42,243,245,525
ILOC50200301,6,246,3,257,3,95,0,99,3,232,0,239,3,52,4,54,6,23,0,26,0,0,0,0,0,12,104,121,15,658,113,786,3,330,0,338,7,92,0,95,8,139,0,145,0,19,0,19,0,17,0,22,0,0,0,0,0,11,98,109,22,601,103,731,10,576,3,589,11,189,0,200,11,369,4,384,10,70,4,77,0,34,0,41,0,0,0,0,7,22,206,231,35,1262,218,1518
ILOC50200302,4,60,0,65,3,19,0,22,11,41,3,53,13,16,0,23,3,14,0,14,0,0,0,0,4,5,37,46,33,159,34,224,9,68,0,70,4,13,0,16,8,29,0,43,0,9,0,11,4,11,0,13,0,0,0,0,3,0,34,39,37,125,32,199,11,127,0,140,11,32,0,39,21,73,5,100,10,25,0,35,5,26,0,32,0,0,0,0,6,8,68,78,65,285,72,424
ILOC50200303,15,412,4,439,9,120,0,125,23,438,6,462,6,88,0,92,4,66,0,70,0,10,0,10,0,27,184,213,56,1159,195,1412,14,471,13,491,11,131,0,145,22,323,0,345,3,58,3,65,3,44,0,51,0,5,0,5,0,24,148,174,52,1062,164,1277,28,885,15,928,16,253,0,268,39,755,10,807,14,145,3,162,8,114,0,122,0,16,0,16,4,54,337,394,111,2220,366,2692
ILOC50200401,96,1025,5,1120,47,339,0,395,108,888,4,1003,39,182,0,218,23,177,4,204,5,19,0,21,25,74,399,499,339,2708,421,3468,116,1239,6,1371,92,358,3,449,142,828,8,979,45,152,6,203,18,143,9,167,8,26,0,31,31,66,370,465,455,2806,398,3669,219,2264,16,2490,142,695,5,844,252,1715,16,1979,87,337,8,425,47,319,13,370,12,46,0,56,52,138,773,962,798,5513,827,7137
ILOC50200402,75,1078,4,1156,29,442,0,471,168,992,4,1173,13,158,0,173,18,91,0,106,11,12,0,20,11,51,270,333,318,2822,286,3426,72,1440,11,1524,54,409,0,462,82,725,0,813,19,107,0,133,5,56,0,63,3,8,0,10,7,41,234,279,244,2795,246,3285,148,2522,13,2680,82,849,0,932,250,1722,5,1978,37,267,0,307,21,145,3,173,11,15,0,29,18,91,506,612,562,5615,529,6710
ILOC50200403,67,1087,6,1158,25,366,0,395,63,852,4,916,25,177,0,199,15,143,0,156,0,18,0,18,24,51,284,355,215,2692,291,3206,88,1367,4,1461,39,387,6,431,91,724,9,816,15,142,0,161,11,112,0,121,0,15,0,14,20,52,228,304,267,2796,248,3310,150,2458,9,2624,65,757,5,830,147,1574,16,1737,40,317,3,361,26,248,0,275,4,34,0,38,43,106,511,660,478,5494,537,6512
ILOC50200404,61,1864,4,1933,29,499,4,534,78,1060,3,1150,9,179,4,196,10,140,0,158,10,21,0,31,11,56,345,413,213,3818,367,4405,94,2343,6,2448,41,548,3,593,68,962,3,1043,5,175,0,187,16,130,7,147,7,35,0,40,24,83,283,391,258,4287,302,4851,160,4209,13,4379,75,1053,3,1125,150,2028,7,2189,20,356,0,382,25,276,7,307,18,51,0,70,34,139,631,801,474,8108,673,9255
ILOC50200501,30,1010,4,1050,16,320,0,337,36,880,11,919,11,203,3,221,11,137,4,151,0,5,0,3,6,82,483,577,115,2634,512,3254,47,1112,7,1167,18,325,5,347,50,726,8,780,9,134,0,142,7,78,4,87,0,10,0,10,6,63,362,428,136,2445,381,2954,79,2124,10,2211,34,645,9,683,85,1601,15,1706,17,337,3,360,16,218,6,242,0,9,0,14,15,143,846,1006,248,5079,885,6214
ILOC50200601,0,5,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,13,4,14,4,9,0,10,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,18,0,13,0,19,3,0,0,3,3,4,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,10,21,3,40
ILOC50200602,17,142,3,166,12,41,0,54,42,97,4,142,12,15,0,21,23,9,0,34,0,6,0,6,23,5,147,179,131,316,150,597,43,73,0,120,20,20,0,43,49,28,0,76,10,9,0,16,16,0,0,16,3,0,0,3,27,0,72,100,158,133,77,369,53,224,7,280,39,59,0,97,93,122,4,222,16,19,0,40,38,12,0,52,3,6,0,5,49,8,217,277,288,443,234,963
ILOC50200701,4,5,0,9,3,0,0,3,9,0,0,9,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,19,5,0,25,6,3,0,9,5,0,0,5,12,0,0,12,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,28,12,3,0,15,5,0,0,5,16,0,0,16,4,0,0,4,8,0,0,8,0,0,0,0,0,0,0,0,41,3,0,46
ILOC50200702,7,223,0,236,8,52,0,65,22,156,0,184,11,25,0,32,10,18,0,25,0,0,0,0,11,5,76,89,66,486,79,635,9,294,0,306,7,48,0,60,13,119,0,133,4,19,0,23,0,15,0,15,0,0,0,0,0,9,77,80,35,503,74,609,18,520,3,541,16,102,3,123,34,278,0,315,14,42,0,52,10,28,0,40,0,4,0,4,9,13,151,177,100,990,156,1246
ILOC50300101,32,1446,8,1489,20,450,8,476,51,1086,3,1144,12,213,4,231,11,151,0,164,0,9,0,9,8,108,384,505,140,3466,407,4014,60,1817,17,1900,33,506,5,548,41,853,7,906,8,196,0,207,8,137,0,146,0,12,0,11,5,91,328,434,161,3620,366,4150,96,3266,23,3388,47,959,11,1023,93,1938,14,2047,21,411,4,435,15,290,6,311,0,22,0,24,15,202,719,935,300,7085,778,8160
ILOC50300102,15,866,3,883,13,248,0,254,16,597,7,617,6,112,5,125,5,65,0,70,0,0,0,0,6,50,271,330,57,1938,283,2277,19,957,4,980,14,226,0,235,15,378,3,397,4,75,0,82,0,37,0,38,0,4,0,0,4,33,198,237,55,1707,207,1968,38,1823,4,1860,20,469,3,493,32,969,13,1015,14,192,5,204,4,103,0,104,0,5,0,10,10,84,470,562,113,3646,490,4242
ILOC50300201,9,67,0,74,0,24,0,29,7,101,0,108,6,26,0,30,5,19,0,29,3,0,0,4,7,7,61,68,31,244,66,342,9,77,3,87,16,30,0,40,10,57,0,64,7,14,0,25,3,3,0,5,0,0,0,0,9,0,52,65,52,180,57,290,17,143,0,160,15,52,5,68,19,159,6,173,10,35,0,45,8,21,0,33,0,0,0,7,10,14,112,137,79,425,127,631
ILOC50300202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILOC50300203,0,110,0,120,4,25,0,27,0,59,0,60,0,9,0,9,0,4,0,3,0,0,0,0,0,7,147,160,12,217,149,380,0,42,0,43,0,11,0,11,0,15,0,15,0,0,0,0,0,3,0,3,0,0,0,0,0,6,37,43,0,70,37,111,5,153,0,162,4,34,0,38,0,72,0,73,0,11,0,11,0,5,0,9,0,0,0,0,0,12,185,197,15,287,189,489
ILOC50300204,10,245,0,252,6,108,0,116,13,252,4,269,3,57,0,56,7,23,3,34,0,3,0,3,3,17,224,242,36,702,235,972,12,270,0,287,7,94,0,99,22,212,0,233,5,32,0,39,0,18,0,18,0,3,0,3,4,14,192,213,50,645,202,895,24,513,0,536,19,204,0,219,35,462,3,504,3,86,0,93,7,47,3,50,0,9,0,9,3,28,424,456,89,1349,436,1867
ILOC50300205,0,0,0,0,7,0,0,7,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,22,0,0,22,8,0,0,8,5,0,0,5,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,22,11,0,0,11,9,0,0,9,9,0,0,11,8,0,0,8,5,0,0,5,0,0,0,0,7,0,0,7,42,0,0,47
ILOC50300206,6,56,0,62,0,22,0,23,20,55,0,75,5,24,0,24,3,18,4,22,0,0,0,0,3,8,38,49,37,173,42,255,6,54,0,62,8,16,0,22,13,64,3,78,0,16,0,18,0,8,4,8,0,0,0,0,0,0,34,45,37,153,41,230,12,107,0,121,12,37,0,41,32,115,5,146,6,36,0,45,4,23,4,31,0,0,0,0,11,11,74,96,73,327,81,483
ILOC50300301,196,4433,14,4651,79,1298,12,1396,284,2897,19,3201,53,461,3,519,54,229,0,286,22,47,0,72,76,233,1106,1412,777,9594,1155,11528,172,4943,12,5134,92,1016,0,1117,214,2045,13,2270,45,304,8,354,32,227,3,260,8,34,3,46,84,190,856,1130,650,8761,896,10303,374,9386,31,9784,172,2316,19,2505,505,4938,31,5474,99,769,7,874,86,455,4,541,34,76,3,113,161,419,1960,2539,1425,18353,2050,21834
ILOC50300302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ILOC50300401,0,0,0,0,5,0,0,5,9,0,0,9,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,5,19,0,5,22,5,0,0,5,6,0,0,6,8,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,4,29,0,4,31,7,0,0,7,11,0,0,11,13,0,0,13,0,0,0,0,9,0,0,9,0,0,0,0,0,0,5,5,42,0,5,48
ILOC50300402,6,3,0,10,13,0,0,8,12,0,0,15,4,0,0,4,5,0,0,5,0,0,0,0,5,0,3,6,44,4,3,50,6,0,0,6,7,0,0,7,8,0,0,10,3,0,0,3,9,0,0,9,0,0,0,0,9,0,0,10,41,0,0,49,12,4,0,12,24,0,0,24,25,3,0,22,7,0,0,7,9,0,0,9,0,0,0,0,10,0,4,15,85,4,4,96
ILOC50300403,8,0,0,12,7,0,0,7,11,0,0,11,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,35,5,0,38,6,0,0,6,3,0,0,3,14,0,0,15,5,0,0,5,8,0,0,8,0,0,0,0,0,0,4,8,32,4,4,36,15,6,0,21,10,0,0,10,23,0,0,21,4,0,0,7,11,0,0,11,0,0,0,0,0,0,5,5,63,7,5,77
ILOC50300405,0,0,0,0,8,0,0,8,9,0,0,9,6,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,22,0,6,27,4,0,0,4,4,0,0,4,5,0,0,5,4,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,22,0,3,26,8,0,0,7,14,0,0,14,15,0,0,15,6,0,0,6,0,0,0,0,0,0,0,0,0,0,9,9,44,0,9,53
ILOC50300406,14,0,0,16,6,0,0,6,11,0,0,9,0,0,0,0,8,0,0,9,0,0,0,0,6,0,5,13,36,5,5,45,19,3,0,21,5,0,0,5,16,3,0,15,4,0,0,4,5,0,0,5,0,0,0,0,5,0,11,13,57,7,11,71,32,7,0,36,11,0,0,11,22,4,0,31,3,0,0,0,14,0,0,14,0,0,0,0,10,0,17,22,92,10,17,119
ILOC50300407,5,9,0,10,12,0,0,12,0,0,0,0,3,0,0,3,3,0,0,3,3,0,0,3,8,0,6,12,41,5,6,52,0,3,0,7,13,0,0,12,8,0,0,7,4,0,0,4,5,0,0,5,9,0,0,9,8,0,0,10,43,7,0,49,8,10,0,12,27,0,0,23,9,0,0,12,10,0,0,10,6,0,0,6,9,0,0,9,14,0,4,20,82,12,4,96
ILOC50300408,9,0,0,12,10,0,0,10,19,3,0,21,9,0,0,3,3,0,0,3,0,0,0,0,0,0,10,3,47,3,10,59,6,3,0,10,7,0,0,7,23,0,0,26,0,0,0,0,13,0,0,13,0,0,0,0,6,0,3,13,57,8,3,71,15,6,0,20,17,0,0,21,43,3,0,43,10,0,0,10,20,0,0,20,0,0,0,0,8,0,12,19,101,12,12,127
ILOC50300409,14,190,0,210,13,58,0,72,35,81,0,117,0,13,0,19,4,9,0,16,0,5,0,5,3,7,338,353,72,377,338,782,18,83,0,104,9,24,0,30,33,21,0,56,7,0,0,11,7,0,0,8,0,0,0,0,0,4,85,89,66,140,86,295,33,276,0,312,16,84,0,104,63,107,0,175,10,16,0,26,13,7,0,21,0,5,0,6,3,13,419,442,144,512,429,1079
ILOC50300410,4,3,0,9,3,0,0,0,10,0,0,14,3,0,0,3,3,0,0,3,3,0,0,3,7,0,15,21,30,6,15,56,3,6,0,4,0,0,0,0,11,0,0,12,0,0,0,0,8,0,0,8,3,0,0,3,11,0,7,13,43,6,7,52,3,12,0,15,6,5,0,6,23,4,0,22,8,0,0,8,13,0,0,13,5,0,0,5,19,0,21,40,75,16,21,105
ILOC50300501,11,67,0,80,5,26,0,28,11,32,0,39,0,21,5,21,5,9,0,7,0,4,0,5,0,5,73,80,30,164,75,269,7,68,0,78,7,11,0,14,15,35,0,42,6,5,0,14,15,8,0,21,0,0,0,0,5,8,29,39,46,132,31,210,15,139,0,151,12,34,0,45,25,66,0,89,3,26,5,35,19,13,0,27,0,3,0,3,4,9,101,119,79,294,106,475
ILOC50300502,13,260,0,273,3,61,0,69,23,135,0,158,3,18,0,23,0,3,0,6,0,6,0,6,0,20,386,400,42,502,386,930,6,117,0,127,4,32,0,35,12,51,0,67,0,0,0,5,0,4,0,4,0,0,0,0,0,0,104,110,25,217,104,345,22,379,0,398,6,95,0,103,29,187,0,220,7,18,0,24,0,11,0,13,0,6,0,6,0,18,486,510,74,718,486,1277
ILOC50300503,0,0,0,3,0,0,0,0,6,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,16,3,4,0,6,3,0,0,9,6,0,0,3,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,20,11,0,30,0,9,0,12,9,0,0,11,8,4,0,13,0,3,0,3,6,0,0,6,4,0,0,4,0,0,0,0,31,11,0,50
ILOC50300601,19,21,0,36,21,0,0,21,49,4,0,56,28,0,0,31,29,0,0,25,0,0,0,0,7,0,7,15,144,31,7,189,24,18,0,42,28,3,0,29,59,0,0,65,23,0,0,26,25,0,0,25,9,0,0,9,10,0,8,22,176,25,9,211,39,39,0,76,48,3,0,50,108,8,0,116,51,0,0,57,54,0,0,54,12,0,0,12,19,0,16,35,321,55,16,395
ILOC50300701,12,77,0,90,3,20,0,19,15,36,0,59,0,9,0,10,5,9,0,8,0,0,0,0,8,3,108,116,44,149,104,305,9,34,0,42,0,3,0,4,29,7,0,34,4,0,0,3,10,0,0,12,0,0,0,0,4,7,35,38,53,58,35,143,21,106,0,128,0,23,0,29,47,42,0,93,3,9,0,16,15,10,0,23,0,0,0,0,7,10,137,158,98,214,142,447
ILOC50400101,9,38,0,52,8,10,0,16,13,11,0,30,4,6,0,14,8,0,0,10,4,0,0,4,3,0,12,18,46,71,9,135,10,44,0,51,6,7,0,10,16,3,0,26,5,0,0,3,4,0,0,4,0,0,0,0,0,0,13,13,40,59,13,111,16,86,0,100,12,10,0,23,36,24,0,57,8,6,0,17,14,0,0,12,4,0,0,4,3,0,24,28,88,131,23,245
ILOC50400102,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,5,5,10,5,5,15,3,4,0,8,3,0,0,3,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,11,4,3,25,9,5,0,19,4,0,0,8,7,0,0,7,0,0,0,0,3,0,0,3,5,0,0,5,0,0,4,4,27,7,4,39
ILOC50400103,20,12,0,31,18,0,0,22,50,4,0,50,11,0,0,11,18,0,0,21,8,0,0,8,8,0,13,21,142,12,13,171,25,14,0,35,27,0,0,28,47,0,0,47,7,0,0,7,14,0,0,14,9,0,0,9,11,0,9,15,143,14,9,157,42,19,0,65,51,3,0,49,98,0,0,99,19,0,0,19,33,0,0,34,18,0,0,18,21,0,21,40,284,29,21,332
