POW_SA2_CODE_2021,P_75ov_EWFT,P_75ov_EWPT,P_75ov_EAFW,P_75ov_EHW_NS,P_75ov_Tot,P_Tot_EWFT,P_Tot_EWPT,P_Tot_EAFW,P_Tot_EHW_NS,P_Tot_Tot
505021092,4,23,0,0,31,1287,1608,96,44,3037
505021093,8,29,0,0,43,4606,2422,272,105,7403
505021094,4,17,0,0,17,562,813,54,26,1457
505021095,4,18,0,0,21,830,803,61,22,1714
505021096,6,29,3,0,38,1410,1571,96,37,3110
505021097,0,24,4,0,34,1465,1679,116,64,3318
505021301,3,18,0,4,22,1881,1967,169,81,4101
505021302,3,16,0,0,25,763,837,47,29,1680
505031098,0,0,0,0,7,662,691,47,23,1424
505031099,0,4,0,0,0,1627,1994,142,79,3838
505031100,0,8,0,0,9,1974,1448,128,53,3606
505031101,0,6,0,0,11,1496,1884,139,50,3568
505031102,4,3,0,0,3,568,680,38,25,1316
505031104,0,7,0,0,3,403,504,33,17,965
505031105,0,15,0,0,18,1475,1663,121,66,3318
505031106,0,0,0,0,0,84,20,3,3,110
505031107,3,6,0,0,10,865,720,62,32,1686
505031255,0,3,0,0,0,843,750,62,30,1686
505031256,0,4,0,0,11,575,303,21,27,937
505031257,0,4,0,0,3,190,227,18,15,443
505031258,0,4,0,0,4,704,765,73,29,1569
505031303,4,11,4,0,14,1678,976,76,45,2770
505031304,0,5,0,0,5,503,504,40,20,1070
505031305,23,53,0,6,83,13914,5003,533,265,19722
505031306,0,14,0,0,20,1950,2018,169,60,4193
506011110,5,14,0,0,17,3147,2926,283,104,6464
506011111,0,0,0,0,0,0,0,0,0,0
506011112,0,6,0,0,7,412,325,29,13,781
506011114,5,13,0,0,21,1941,1492,120,66,3623
506011115,5,8,0,0,12,1265,1097,178,55,2592
506011116,7,15,0,0,25,451,554,33,15,1051
506011117,0,3,0,0,3,396,526,38,20,972
506011307,0,5,0,0,4,853,935,64,23,1876
506011308,5,3,0,0,8,2604,1058,108,66,3832
506021118,24,45,5,0,74,10006,3999,637,220,14863
506021119,11,21,0,0,37,3119,2797,179,104,6200
506021120,9,19,5,0,34,6140,1145,273,141,7690
506021121,3,3,3,3,14,10412,3377,989,287,15057
506021123,13,30,0,3,53,8085,5596,580,216,14480
506021309,0,7,0,0,13,1322,1697,99,57,3174
506021310,0,10,0,0,7,523,394,26,16,959
506021311,3,4,0,4,13,2792,1098,126,68,4083
506031124,14,37,0,3,61,7920,4758,499,190,13362
506031125,3,6,0,3,17,625,942,59,38,1655
506031126,12,23,5,4,49,12586,3270,416,262,16535
506031127,11,35,5,0,46,5104,4837,353,197,10488
506031128,0,9,0,0,12,749,1153,61,34,1998
506031129,3,30,0,0,33,671,1117,54,22,1871
506031130,19,43,5,8,65,15827,3082,624,323,19853
506031131,9,31,0,0,41,2216,2429,121,64,4837
506041132,5,13,0,0,24,2913,1530,131,91,4665
506041133,0,20,4,0,26,2474,1629,191,71,4362
506041134,3,9,0,0,11,1540,1655,136,60,3393
506041135,4,16,0,0,18,1014,1097,69,39,2219
506041136,8,33,0,0,47,6463,2893,343,169,9872
506041137,0,19,0,0,18,1294,1692,98,50,3134
506051138,8,17,0,5,30,5534,2020,231,138,7918
506051139,3,6,0,3,11,1302,979,56,49,2390
506051140,8,29,0,0,40,1513,1736,142,40,3434
506051141,15,27,0,0,37,1330,1156,108,46,2642
506061142,0,10,0,0,11,1419,1625,115,71,3230
506061143,6,8,0,0,19,1344,630,85,37,2089
506061144,7,23,0,0,29,596,385,64,30,1080
506071145,5,19,0,3,23,1719,1575,118,44,3460
506071146,3,12,0,0,14,1151,1423,93,47,2713
506071147,13,57,5,3,80,4591,3221,331,103,8248
507011148,5,6,5,0,15,1207,1251,81,45,2580
507011150,22,19,0,3,41,8069,2112,286,159,10631
507011151,0,0,0,0,0,13,8,0,0,18
507011152,0,5,0,0,5,620,482,50,13,1170
507011153,0,11,0,0,11,312,439,33,12,793
507011154,9,11,0,0,17,1007,981,64,36,2088
507011155,5,5,0,0,11,5835,598,172,84,6690
507011158,0,8,0,0,5,449,387,26,13,875
507011159,0,17,0,0,24,3369,2320,204,85,5978
507011160,3,9,0,0,16,984,1246,75,38,2345
507011161,0,6,0,0,6,1349,2143,157,56,3705
507011163,0,0,0,0,4,779,491,36,18,1327
507011259,3,5,0,0,10,1260,893,83,32,2271
507011260,15,12,0,0,28,6489,2110,350,139,9089
507021164,0,16,0,0,20,1033,1024,70,30,2159
507021165,29,79,9,0,121,10575,7100,859,249,18789
507021166,5,29,0,0,31,2147,2208,176,57,4589
507021167,3,17,0,0,31,2999,1371,153,63,4586
507031169,0,0,0,0,4,727,708,58,32,1520
507031170,0,3,0,0,3,618,621,62,28,1319
507031172,0,0,0,0,4,1054,288,68,28,1432
507031173,5,8,3,0,19,7578,902,344,134,8958
507031174,4,8,0,0,5,958,1113,106,37,2219
507031261,0,6,0,6,6,1379,546,125,42,2088
507041175,9,42,0,4,52,3037,1941,204,76,5265
507041176,4,6,0,0,4,302,306,25,8,639
507041177,4,18,0,0,29,1925,1770,125,55,3877
507041178,9,36,8,4,49,3363,3611,260,111,7348
507041179,4,14,0,0,17,914,1118,61,38,2129
507041180,0,9,0,0,9,725,818,59,13,1609
507041181,11,42,0,9,56,3531,3025,199,88,6840
507041182,7,27,0,0,35,8883,5803,949,190,15827
507041183,0,3,0,0,3,367,479,35,12,895
507041184,0,8,0,0,8,266,425,18,4,709
507051186,6,7,0,0,4,1061,1052,171,35,2322
507051187,3,7,0,0,8,1442,1434,108,57,3039
507051188,8,36,4,4,48,10174,4816,666,241,15901
507051189,0,0,0,0,0,12,8,0,0,26
507051190,0,13,0,0,18,702,871,78,26,1673
507051191,0,8,0,0,13,1052,1307,110,45,2517
507051192,0,3,0,0,5,565,764,63,28,1420
507051193,0,0,0,0,5,732,1236,88,33,2082
507051312,0,0,0,0,7,1041,1770,127,58,2994
507051313,0,4,0,0,4,1258,1039,85,40,2419
507051314,0,10,0,0,9,192,204,15,12,419
509011225,15,42,7,3,73,5412,4692,533,153,10788
509011226,11,35,4,5,61,657,428,57,36,1186
509011227,3,0,0,0,3,279,256,23,12,568
509011228,13,28,3,0,50,911,971,111,51,2037
509011229,8,16,0,5,22,992,379,67,20,1459
509011230,14,19,6,0,33,1225,671,101,46,2049
509011231,27,17,8,3,47,1174,517,105,51,1848
509011232,0,9,5,0,15,462,271,65,11,816
509011233,6,13,0,4,22,1816,869,138,59,2891
509011234,13,31,4,7,53,1300,685,103,52,2143
509011235,0,0,0,0,0,0,0,0,0,0
509021236,16,17,5,0,38,920,515,73,39,1549
509021237,15,20,5,0,37,880,445,68,24,1416
509021238,14,30,0,10,47,1057,534,66,30,1687
509021239,24,55,5,6,83,2340,1225,200,90,3855
509021240,12,13,0,8,34,1473,641,104,46,2271
509021241,25,35,4,3,72,1470,653,82,42,2244
509021242,17,21,0,3,36,1632,371,150,52,2202
509021243,12,17,0,0,36,2974,1549,215,94,4828
509021244,12,6,0,0,26,453,358,29,20,871
509021245,14,16,3,3,42,833,589,87,45,1554
509031246,19,21,3,3,43,911,453,70,24,1464
509031247,42,31,0,5,79,1707,591,138,49,2485
509031248,4,16,3,0,21,2248,412,298,82,3039
509031249,7,14,0,0,23,1247,786,102,43,2182
509031250,28,35,4,0,66,1159,566,106,32,1859
510011262,10,15,0,0,28,4903,1925,359,177,7364
510011263,4,6,0,0,13,1833,479,138,79,2523
510011264,0,0,3,0,5,775,211,83,48,1119
510011265,13,8,0,0,24,2551,715,183,83,3529
510011266,0,3,0,0,3,444,148,23,15,632
510021267,15,0,5,0,21,11204,955,1634,346,14131
510021268,4,0,0,0,4,2841,509,436,57,3840
510021269,4,0,0,0,0,5172,756,688,169,6787
510021270,6,0,0,0,0,1918,794,210,83,3008
510031271,9,8,0,0,20,10453,1233,1726,322,13727
510031272,0,10,0,0,5,5300,1786,474,110,7675
510031273,0,3,0,0,5,4914,705,686,123,6426
511011274,13,22,4,3,43,3020,1651,297,109,5078
511011275,26,20,0,4,50,1922,549,177,69,2712
511021276,6,10,0,3,18,1401,553,103,61,2122
511021277,10,4,0,0,10,1665,723,122,76,2587
511031278,5,0,0,0,9,1379,386,82,36,1886
511031279,6,19,0,0,34,6870,2454,441,199,9959
511031280,0,0,0,0,6,807,327,60,20,1213
511031281,0,0,0,0,0,75,19,0,6,99
511031282,9,7,4,0,19,3958,540,348,130,4975
511031283,7,4,0,0,11,5996,640,816,188,7641
511031284,0,0,0,0,0,722,70,67,25,878
511041285,21,44,4,9,71,7168,4448,589,178,12372
511041286,0,8,0,0,14,1696,568,118,45,2414
511041287,0,3,0,0,13,315,329,37,7,683
511041288,0,10,0,0,5,361,458,29,10,863
511041289,9,16,0,4,31,541,429,55,35,1062
511041290,9,7,0,3,16,3790,408,500,138,4835
511041291,28,12,0,0,50,1636,470,155,44,2298
511041292,25,34,8,4,63,1244,702,101,41,2089
597979799,0,0,0,0,0,1046,77,235,27,1386
599999499,81,326,76,36,516,31634,23168,4409,1359,60566
