POW_SA2_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
502011028,6,230,0,237,3,126,0,131,0,22,0,22,11,376,0,392,12,350,0,362,13,464,3,481,0,49,0,50,22,870,3,893,21,580,0,603,19,594,3,610,0,72,0,78,40,1246,3,1288
502011029,38,2233,4,2278,12,464,4,477,0,188,0,190,52,2880,12,2946,17,810,5,835,18,972,0,995,4,122,0,124,42,1904,6,1950,56,3045,9,3111,32,1435,4,1471,6,307,0,314,96,4784,20,4894
503011030,0,341,0,340,0,267,0,266,0,23,0,22,6,626,0,633,0,253,0,254,8,494,0,497,0,38,0,38,3,781,0,792,6,589,0,591,3,761,0,770,0,58,0,63,9,1410,0,1422
503011031,9,1306,0,1309,11,897,0,909,0,73,0,77,13,2280,0,2300,4,1410,5,1422,7,2272,4,2284,4,196,0,198,19,3876,14,3902,8,2717,4,2736,20,3171,9,3197,0,272,0,275,31,6156,18,6200
503011032,5,677,0,680,0,457,0,462,0,48,0,45,10,1181,0,1193,4,602,0,601,6,1000,0,1005,0,75,0,72,7,1677,0,1684,6,1276,0,1282,8,1455,0,1467,0,120,0,121,15,2852,0,2871
503011033,3,399,0,400,5,325,0,330,0,29,0,32,11,755,0,762,0,341,0,347,0,775,0,780,0,47,0,48,4,1158,4,1172,6,738,0,748,9,1095,0,1106,0,81,0,80,14,1918,4,1937
503011034,3,751,0,756,0,567,3,578,0,64,0,64,11,1385,3,1392,4,1029,0,1035,0,1252,0,1261,0,108,0,113,13,2395,0,2406,12,1780,0,1789,8,1824,3,1828,0,169,0,172,19,3774,3,3798
503011035,26,5799,7,5826,17,2214,7,2239,0,381,3,384,48,8391,12,8451,84,8066,8,8160,56,7541,17,7621,12,1241,0,1255,154,16849,31,17037,112,13860,18,13987,71,9763,24,9860,20,1617,4,1639,201,25240,47,25487
503011036,20,1695,4,1724,8,666,0,672,3,128,0,132,35,2485,5,2528,9,1062,3,1070,0,1104,5,1110,0,140,0,142,11,2300,6,2318,32,2757,5,2790,10,1769,5,1779,5,265,0,274,50,4788,11,4847
503021037,0,182,0,190,3,61,0,63,0,9,0,9,3,257,0,260,8,188,0,195,5,147,0,149,0,19,0,19,8,355,0,359,13,373,0,383,4,210,0,217,0,25,0,25,16,612,0,627
503021038,43,3304,6,3348,11,862,0,874,3,149,0,149,58,4308,6,4372,27,2529,4,2567,16,2169,9,2196,0,275,0,279,49,4979,13,5041,73,5832,13,5914,36,3028,9,3070,7,424,0,429,107,9288,17,9413
503021039,7,1363,8,1376,10,914,0,927,0,109,0,114,19,2388,4,2413,20,1649,3,1673,16,2441,3,2459,4,210,0,207,37,4300,3,4345,33,3013,5,3050,21,3354,3,3384,9,320,0,322,54,6688,10,6758
503021040,3,826,4,830,3,475,0,483,0,66,0,67,9,1358,4,1371,5,776,0,776,10,1109,0,1117,0,95,0,95,11,1971,0,1985,6,1595,4,1601,14,1587,0,1602,0,155,0,154,21,3335,8,3359
503021042,47,6794,14,6849,14,2099,4,2119,12,354,7,373,72,9245,18,9336,59,6086,8,6158,30,5640,6,5674,11,688,3,700,104,12420,15,12537,105,12884,23,13009,44,7737,9,7796,23,1046,6,1077,172,21667,33,21876
503021043,19,2565,0,2584,7,1003,3,1011,4,151,0,152,27,3719,7,3752,25,2934,3,2964,17,3578,12,3609,0,402,0,409,45,6917,11,6976,44,5495,8,5549,24,4585,15,4622,5,556,0,561,71,10637,18,10729
503021295,152,7458,11,7620,24,1230,10,1259,18,530,0,545,190,9216,15,9424,169,5273,8,5447,51,2580,4,2634,19,553,4,574,236,8401,14,8658,319,12728,22,13067,76,3810,10,3895,35,1081,3,1115,430,17615,33,18079
503021296,44,3564,6,3611,10,1108,4,1123,6,229,0,237,60,4905,11,4974,53,2590,8,2657,28,2148,3,2175,7,256,0,263,84,4994,8,5096,97,6156,7,6271,35,3261,8,3302,11,485,3,500,145,9902,18,10067
503021297,509,57518,81,58114,93,8134,19,8241,82,3381,15,3479,681,69031,115,69831,573,38809,50,39431,209,19799,29,20035,102,4378,13,4497,882,62990,92,63964,1080,96330,138,97545,303,27932,44,28280,187,7765,25,7972,1563,132020,206,133799
504011044,37,3080,9,3118,10,713,0,725,0,127,0,132,43,3924,10,3978,12,1111,0,1123,12,1183,4,1199,8,118,0,124,29,2412,9,2444,44,4185,10,4241,18,1893,7,1922,7,246,6,257,70,6329,17,6420
504011045,62,3961,6,4029,17,1089,0,1102,6,202,5,213,82,5247,13,5344,12,1460,4,1478,24,1718,6,1741,4,185,4,190,37,3358,7,3411,75,5422,17,5507,40,2807,3,2847,9,387,3,400,121,8609,23,8752
504011046,12,908,0,921,0,444,0,446,3,79,0,80,20,1427,3,1447,13,562,0,579,9,810,3,821,0,77,0,77,19,1444,3,1468,27,1469,0,1499,12,1253,3,1265,3,152,0,158,39,2875,3,2919
504011047,19,1955,4,1980,10,1191,4,1204,6,132,4,139,32,3277,9,3324,23,1664,9,1690,32,2588,4,2624,7,232,0,242,60,4481,9,4550,38,3616,14,3665,41,3777,9,3829,13,367,4,375,87,7760,24,7876
504011048,0,235,0,235,0,204,0,204,0,30,0,29,5,469,3,475,0,219,0,220,0,458,0,460,0,37,0,36,8,716,0,724,4,452,0,457,5,666,0,670,0,70,0,69,7,1186,3,1195
504021049,4,528,0,535,0,79,0,79,0,43,0,44,9,643,0,657,12,306,0,319,0,136,4,138,0,43,0,43,10,482,4,499,16,838,0,854,0,219,4,221,0,82,0,79,22,1130,5,1152
504021050,0,239,3,240,0,160,3,162,0,16,0,14,0,410,10,422,0,206,0,212,0,403,0,404,0,23,0,20,3,637,5,637,0,448,3,455,0,563,4,568,0,36,4,38,3,1044,11,1062
504021051,0,137,0,142,0,75,0,81,0,9,0,9,7,227,0,233,0,91,0,97,3,213,0,214,0,15,0,15,6,322,0,327,0,232,0,238,8,286,0,294,0,25,0,28,8,546,0,560
504021052,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,0,0,0,0,0,7,0,7,0,4,0,4,0,4,0,4,0,0,0,0,0,12,0,12
504021053,11,756,0,764,11,483,4,494,0,65,0,69,19,1297,5,1329,4,640,0,650,8,1089,6,1099,0,91,0,97,15,1824,5,1843,19,1398,0,1412,22,1570,4,1593,6,154,3,160,37,3123,6,3167
504021054,27,1571,4,1612,12,465,0,478,3,111,0,112,44,2147,7,2197,15,690,0,712,18,873,0,890,5,91,0,93,44,1653,0,1700,48,2264,8,2317,32,1337,0,1369,9,201,0,208,91,3796,11,3897
504031055,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,4,0,4,0,4,0,3,0,5,0,0,0,0,0,8,0,10
504031056,6,660,0,671,3,361,0,364,0,54,0,57,7,1077,0,1094,3,518,3,524,8,834,0,844,0,62,0,66,17,1413,5,1433,16,1176,3,1199,13,1197,0,1209,3,116,0,122,30,2491,3,2525
504031057,3,576,0,581,9,495,3,515,5,64,0,68,22,1133,5,1158,13,606,0,621,13,852,0,867,9,93,0,97,35,1551,0,1591,20,1181,0,1203,24,1349,6,1383,11,159,0,169,60,2687,7,2750
504031058,13,1047,6,1060,4,221,0,228,0,74,0,75,18,1343,6,1364,7,423,4,426,5,399,0,401,0,48,0,52,10,868,4,884,20,1466,9,1495,7,617,0,630,3,127,0,125,28,2205,10,2248
504031060,0,131,0,131,0,76,0,78,0,8,0,8,0,208,0,210,0,82,0,82,6,146,0,149,0,8,0,8,6,239,0,237,0,215,0,215,3,215,0,225,0,16,0,16,3,450,0,453
504031061,80,5098,7,5188,11,587,0,597,12,278,3,290,96,5957,14,6075,25,1152,6,1176,0,406,0,406,0,103,0,102,25,1660,6,1691,103,6246,11,6361,9,989,0,1002,10,378,3,394,124,7624,16,7762
504031062,5,460,0,466,3,255,0,261,0,40,0,39,3,763,3,768,12,386,0,397,15,560,0,573,0,56,0,56,29,1000,0,1032,16,849,0,865,14,815,0,836,0,90,0,99,30,1758,0,1797
504031063,77,9836,23,9934,24,1951,8,1981,6,445,0,455,111,12231,32,12373,25,2528,4,2555,18,1954,4,1972,7,232,0,243,49,4719,7,4773,102,12362,26,12488,41,3900,8,3953,20,682,0,705,159,16953,38,17146
504031064,0,15,0,15,0,0,0,0,0,5,0,5,0,21,0,21,0,4,0,4,3,0,0,0,0,0,0,0,3,6,0,7,0,19,0,19,3,0,0,6,0,5,0,5,3,25,0,22
504031065,18,930,0,952,6,258,0,260,0,41,0,43,24,1230,0,1262,5,561,0,570,9,615,0,627,3,76,0,76,16,1251,0,1272,24,1490,0,1518,16,875,0,893,0,117,0,123,47,2483,3,2531
504031066,78,4621,10,4712,39,1772,0,1813,13,346,3,362,133,6739,22,6888,92,4289,6,4386,97,4830,9,4935,17,634,3,652,204,9751,27,9976,173,8908,13,9101,133,6597,16,6747,31,980,5,1017,336,16488,40,16867
504031067,3,133,0,132,0,56,0,60,0,13,0,13,4,206,0,205,4,113,0,123,4,169,0,176,0,19,0,19,13,304,0,319,11,244,0,253,9,228,0,229,0,30,0,30,16,509,0,524
504031068,10,519,3,532,0,192,5,200,0,42,0,41,11,754,4,774,3,269,0,274,5,418,0,424,0,40,0,39,5,730,6,737,16,789,3,806,6,610,8,622,0,77,4,81,16,1480,11,1506
504031069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504031298,10,316,3,324,6,202,0,209,0,43,0,41,15,556,4,578,0,439,0,446,15,628,0,639,0,61,0,61,20,1124,0,1145,14,748,3,765,17,829,5,848,0,97,0,104,25,1678,3,1716
504031299,5,330,0,335,4,240,3,243,0,27,0,29,12,592,4,606,9,196,0,207,3,317,0,324,0,19,0,19,12,535,0,550,12,527,0,538,10,554,3,570,0,46,0,51,23,1128,4,1157
504031300,14,710,0,725,12,558,0,569,3,61,0,64,23,1331,3,1357,17,1107,0,1125,29,1747,4,1780,0,173,0,176,47,3032,4,3076,28,1817,0,1848,41,2303,4,2343,4,240,0,239,71,4363,4,4434
505011070,9,491,0,497,3,381,0,380,0,40,0,40,7,912,0,916,3,438,5,442,0,818,4,827,0,79,0,84,10,1335,10,1353,8,927,5,940,7,1201,4,1206,0,120,0,122,15,2250,10,2270
505011071,0,487,0,491,0,411,0,412,0,40,0,40,0,937,0,945,3,504,0,510,5,981,0,988,0,79,0,79,7,1567,4,1578,0,993,5,996,7,1395,0,1399,0,124,0,124,13,2504,4,2519
505011072,5,687,0,689,6,468,3,474,0,52,0,52,8,1206,3,1212,3,705,0,706,4,1359,5,1374,0,118,0,118,10,2183,5,2199,8,1388,0,1398,8,1823,9,1843,0,172,0,172,16,3387,11,3414
505011073,7,868,0,875,11,675,0,688,3,71,0,78,18,1619,0,1635,12,766,3,781,14,1420,7,1442,0,114,0,114,22,2304,9,2332,14,1636,3,1652,20,2100,5,2122,3,184,0,189,44,3919,6,3971
505011074,0,283,0,291,5,171,0,176,0,24,0,24,4,483,3,492,0,200,0,205,0,383,4,385,0,29,0,31,3,614,6,621,6,490,0,492,0,554,3,561,0,55,0,57,6,1098,3,1113
505011075,7,897,0,911,6,809,0,816,0,89,0,90,8,1799,4,1811,3,881,0,884,14,1992,0,2012,0,140,0,140,19,3011,5,3033,7,1782,4,1794,19,2807,0,2826,0,225,0,230,30,4813,8,4849
505011076,0,281,0,286,0,141,0,141,0,16,0,16,0,437,0,439,0,113,0,111,0,247,0,250,0,16,0,16,0,375,0,376,0,392,0,395,0,395,0,392,0,31,0,31,0,816,0,821
505011077,38,4688,7,4739,18,2144,11,2175,3,302,5,310,63,7133,18,7218,38,5477,10,5529,53,7143,16,7205,7,769,4,787,100,13388,26,13518,81,10160,16,10259,73,9289,20,9381,9,1074,9,1091,163,20527,51,20738
505011078,5,368,0,375,0,262,0,266,0,40,0,40,7,667,0,674,0,528,0,529,3,965,0,971,0,99,0,104,10,1590,0,1600,9,894,0,896,7,1227,6,1236,0,137,0,139,13,2255,4,2276
505011079,4,356,0,362,0,219,0,219,0,30,0,28,7,607,0,608,3,200,0,199,0,487,0,488,0,21,0,21,6,705,0,708,5,559,0,559,0,704,0,709,0,52,0,46,11,1311,0,1317
505011080,0,352,0,360,0,185,0,190,0,13,0,14,0,554,3,561,0,382,0,391,0,572,4,572,0,40,0,43,3,1002,4,1002,4,742,0,748,0,760,4,765,0,52,0,55,3,1554,4,1562
505011081,4,307,0,317,0,146,0,149,0,25,0,25,6,482,5,490,12,542,0,550,6,595,0,603,0,55,0,53,21,1184,0,1207,22,852,0,868,6,738,3,749,0,77,0,78,24,1665,3,1695
505011082,0,378,0,378,0,226,0,224,0,27,0,27,0,626,0,623,0,304,0,310,0,511,0,512,0,43,0,44,3,860,0,865,0,682,0,680,4,737,0,738,0,73,0,71,5,1487,0,1493
505011083,3,319,0,319,0,263,0,263,0,33,0,33,9,612,0,619,0,329,0,329,0,602,3,598,0,45,0,41,0,973,3,981,3,650,0,654,0,857,4,869,0,79,0,76,10,1585,4,1599
505021084,53,6113,7,6170,16,1265,0,1281,8,321,8,338,70,7697,19,7787,25,2473,4,2505,20,2137,8,2162,3,271,5,279,48,4888,15,4948,72,8580,16,8675,36,3406,5,3446,13,601,8,613,121,12586,29,12733
505021085,11,461,0,474,4,288,0,291,0,50,0,52,15,803,0,823,8,491,0,498,19,654,3,668,0,65,0,69,30,1206,4,1242,22,951,6,974,21,938,3,961,4,121,0,122,42,2011,3,2059
505021087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,7,0,7,0,5,0,5,0,0,0,0,0,10,0,10
505021088,4,813,3,818,4,858,5,863,0,82,3,86,10,1749,4,1767,3,787,0,797,11,1631,8,1650,0,130,0,132,14,2551,5,2576,7,1599,4,1610,15,2488,6,2510,0,212,3,216,22,4303,16,4343
505021089,6,1495,0,1504,0,827,0,826,3,106,0,110,10,2426,6,2447,10,1416,9,1428,17,2541,6,2557,0,214,4,218,31,4167,11,4211,18,2911,10,2935,17,3361,12,3391,8,325,3,332,40,6595,20,6659
505021090,0,424,0,426,6,301,0,311,0,35,0,34,9,759,4,774,4,389,0,393,10,597,0,606,0,53,0,53,14,1045,5,1054,7,816,0,821,15,896,8,920,0,85,0,90,20,1800,6,1831
505021091,84,11058,14,11158,24,2184,6,2217,14,534,9,546,120,13774,27,13923,48,5903,3,5953,33,4003,9,4045,8,597,0,612,93,10504,15,10610,136,16958,17,17114,54,6188,10,6257,25,1129,9,1158,214,24279,39,24529
505021092,0,710,4,719,4,551,0,556,0,57,0,55,6,1322,3,1329,0,564,4,572,5,1045,0,1049,0,88,0,82,8,1699,5,1711,5,1279,4,1287,9,1600,6,1608,0,137,0,142,15,3017,9,3037
505021093,24,2764,6,2796,6,719,0,731,3,142,0,149,30,3632,12,3678,15,1794,0,1811,5,1686,7,1693,0,227,5,226,20,3700,6,3730,38,4555,8,4606,9,2408,6,2422,6,371,3,378,53,7332,21,7403
505021094,4,302,0,301,0,281,0,281,0,36,0,36,4,615,0,621,3,263,0,260,0,532,0,535,0,45,0,47,4,831,0,838,5,562,0,562,0,807,0,813,0,78,0,79,7,1444,0,1457
505021095,8,418,0,431,0,297,0,298,0,29,0,29,12,746,4,759,5,397,0,406,0,494,0,500,0,62,0,58,4,950,0,964,12,819,0,830,0,792,3,803,0,85,0,87,17,1695,0,1714
505021096,4,702,0,706,6,489,0,500,0,53,0,53,5,1247,4,1252,3,698,4,704,0,1068,3,1073,0,80,0,80,5,1848,3,1856,7,1398,5,1410,9,1565,0,1571,0,137,0,137,14,3092,7,3110
505021097,0,641,0,642,0,474,0,479,4,62,3,69,9,1179,3,1186,3,815,0,817,13,1185,0,1201,0,110,0,110,17,2108,3,2133,9,1454,0,1465,12,1663,0,1679,0,170,3,179,26,3283,6,3318
505021301,15,748,0,763,6,526,0,540,0,75,0,76,21,1354,5,1375,31,1081,0,1118,22,1404,6,1431,10,164,5,170,65,2650,10,2720,44,1836,4,1881,34,1925,3,1967,10,242,0,249,88,4001,13,4101
505021302,0,388,3,397,0,293,0,291,0,27,0,32,5,717,3,718,4,367,4,372,6,538,0,545,0,41,0,45,9,951,4,963,4,759,3,763,7,833,0,837,3,77,0,79,14,1666,5,1680
505031098,0,315,0,314,5,240,0,247,0,24,0,24,4,576,0,577,5,342,0,348,9,440,0,448,0,47,0,50,14,824,0,840,9,651,0,662,10,677,0,691,0,73,0,69,17,1403,0,1424
505031099,6,763,0,773,8,530,0,538,0,85,0,88,12,1377,0,1396,7,846,3,855,20,1436,6,1458,8,128,0,133,31,2403,10,2445,16,1607,3,1627,29,1967,6,1994,5,210,0,220,47,3784,10,3838
505031100,14,1293,3,1312,0,464,0,468,0,95,0,93,18,1857,3,1880,7,650,0,659,5,973,0,978,3,92,0,89,12,1712,0,1731,20,1941,3,1974,5,1443,0,1448,4,181,0,184,30,3565,5,3606
505031101,8,817,0,821,4,508,0,520,0,74,0,82,16,1404,0,1422,7,668,0,678,13,1346,0,1359,0,106,0,109,18,2123,0,2147,14,1486,0,1496,16,1862,3,1884,3,182,0,189,30,3528,4,3568
505031102,4,266,0,266,9,223,0,228,0,24,0,25,5,510,0,514,9,300,0,306,3,447,0,453,3,35,0,40,14,782,0,797,10,562,0,568,11,668,0,680,4,62,0,66,19,1289,0,1316
505031104,5,178,0,183,0,111,0,112,0,23,0,23,3,311,0,315,4,219,0,220,4,388,0,392,0,33,0,33,3,638,0,646,4,399,0,403,9,497,0,504,0,53,0,53,10,947,5,965
505031105,12,726,5,740,7,513,4,523,0,67,0,70,19,1306,9,1335,3,729,0,733,8,1129,0,1138,0,114,0,114,10,1966,4,1984,15,1458,3,1475,19,1640,5,1663,0,180,0,178,33,3277,8,3318
505031106,0,72,0,77,0,4,0,4,0,6,0,6,0,84,0,85,0,8,0,8,0,13,0,13,0,0,0,0,0,23,0,23,0,83,0,84,0,20,0,20,0,4,0,4,0,107,0,110
505031107,4,521,0,530,0,221,0,221,0,40,0,41,3,784,0,792,4,325,5,338,0,499,0,503,5,54,0,57,12,883,7,896,7,850,3,865,0,723,0,720,5,92,0,96,13,1663,5,1686
505031255,0,427,5,433,4,214,0,217,0,20,0,20,7,665,5,676,4,413,0,416,5,532,3,539,0,67,0,63,9,1005,3,1017,4,837,5,843,5,749,3,750,0,84,0,91,13,1672,7,1686
505031256,4,374,4,376,0,123,0,127,0,30,0,35,3,528,8,534,0,196,0,201,0,177,0,180,0,17,0,18,0,399,0,403,4,571,3,575,0,305,0,303,0,49,0,54,6,922,7,937
505031257,0,98,0,99,0,57,0,60,0,11,0,11,3,162,0,170,0,94,0,93,4,166,0,164,0,20,0,17,3,274,0,277,3,186,0,190,4,220,0,227,0,26,0,27,10,433,0,443
505031258,0,363,0,367,5,195,0,198,0,38,0,37,4,591,4,601,9,328,0,336,10,558,5,571,0,64,0,63,17,946,5,972,10,694,0,704,19,749,3,765,0,102,3,103,25,1545,5,1569
