POW_SA2_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
506061144,0,11,10,0,6,7,0,4,0,35,6,10,7,7,14,9,0,3,13,59,64,178,130,84,132,231,62,171,30,1080
506071145,0,29,23,7,20,22,6,10,0,116,0,23,8,10,10,28,5,12,15,116,118,674,570,327,589,568,181,386,44,3460
506071146,0,13,9,0,5,10,5,9,0,60,0,21,9,10,6,12,3,10,31,106,93,687,471,268,453,340,114,244,47,2713
506071147,8,61,43,23,54,39,6,26,0,265,10,42,40,19,48,60,10,32,55,308,331,1355,1171,695,1647,1565,452,932,103,8248
507011148,3,38,21,12,6,9,4,10,0,109,7,19,10,5,20,10,0,14,19,105,81,553,438,263,408,378,145,270,45,2580
507011150,16,40,44,33,103,132,57,106,0,520,32,80,60,57,234,312,89,164,83,1104,286,876,716,514,2181,2842,972,2071,159,10631
507011151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,5,9,0,3,0,18
507011152,0,24,11,0,10,3,0,4,0,59,6,7,3,0,5,3,7,11,7,47,50,230,156,92,190,236,63,137,13,1170
507011153,3,12,11,0,3,6,0,0,4,35,0,4,6,3,0,10,0,0,5,37,33,186,160,92,106,123,26,61,12,793
507011154,8,22,26,11,30,29,6,19,0,146,4,25,11,8,16,23,8,14,15,122,64,435,347,199,325,343,121,215,36,2088
507011155,0,7,0,9,25,25,9,24,0,99,23,25,29,23,137,161,51,115,33,599,172,181,216,210,1119,2357,702,1658,84,6690
507011158,0,0,0,0,3,3,0,4,0,24,0,8,5,10,18,7,0,8,4,49,26,160,132,93,163,152,42,92,13,875
507011159,6,56,41,31,40,33,19,29,0,256,7,50,33,18,74,71,17,54,50,371,204,1061,789,469,1086,1194,367,718,85,5978
507011160,0,20,18,12,9,16,0,11,0,85,9,13,13,5,6,21,0,3,17,75,75,594,434,214,403,317,92,165,38,2345
507011161,8,45,29,28,29,22,4,8,5,174,3,21,18,11,23,11,6,6,23,119,157,1049,719,379,610,406,119,214,56,3705
507011163,3,21,12,10,14,23,7,12,0,105,0,14,10,9,16,18,7,12,15,95,36,223,168,102,218,274,92,200,18,1327
507011259,5,27,14,13,13,3,0,9,3,80,3,13,3,3,14,22,4,12,16,91,83,435,289,163,338,435,156,329,32,2271
507011260,9,29,22,15,53,61,23,57,3,255,4,46,41,29,126,138,36,76,77,575,350,844,743,523,2023,2365,696,1411,139,9089
507021164,3,29,24,18,25,31,3,14,0,149,0,15,9,10,11,10,3,9,11,84,70,494,317,218,345,362,94,231,30,2159
507021165,16,113,64,44,93,75,34,46,0,484,31,118,88,62,111,190,24,94,104,827,859,2973,2495,1638,3813,3658,1119,1989,249,18789
507021166,3,48,35,23,43,60,20,27,3,261,6,42,25,19,37,51,10,15,27,230,176,975,740,489,714,726,252,464,57,4589
507021167,8,23,20,17,44,67,16,30,3,225,8,47,57,25,75,91,31,42,27,405,153,570,514,286,949,1040,334,673,63,4586
