POW_SA2_CODE_2021,P_Pakistan_E,P_Pakistan_OM_IE,P_Pakistan_OM_UIE,P_Pakistan_CFW,P_Pakistan_ES_NS,P_Pakistan_Tot,P_Philippines_E,P_Philippines_OM_IE,P_Philippines_OM_UIE,P_Philippines_CFW,P_Philippines_ES_NS,P_Philippines_Tot,P_Poland_E,P_Poland_OM_IE,P_Poland_OM_UIE,P_Poland_CFW,P_Poland_ES_NS,P_Poland_Tot,P_Singapore_E,P_Singapore_OM_IE,P_Singapore_OM_UIE,P_Singapore_CFW,P_Singapore_ES_NS,P_Singapore_Tot,P_SthAfrica_E,P_SthAfrica_OM_IE,P_SthAfrica_OM_UIE,P_SthAfrica_CFW,P_SthAfrica_ES_NS,P_SthAfrica_Tot,P_SriLanka_E,P_SriLanka_OM_IE,P_SriLanka_OM_UIE,P_SriLanka_CFW,P_SriLanka_ES_NS,P_SriLanka_Tot,P_Taiwan_E,P_Taiwan_OM_IE,P_Taiwan_OM_UIE,P_Taiwan_CFW,P_Taiwan_ES_NS,P_Taiwan_Tot,P_Thailand_E,P_Thailand_OM_IE,P_Thailand_OM_UIE,P_Thailand_CFW,P_Thailand_ES_NS,P_Thailand_Tot,P_UK_E,P_UK_OM_IE,P_UK_OM_UIE,P_UK_CFW,P_UK_ES_NS,P_UK_Tot,P_USA_E,P_USA_OM_IE,P_USA_OM_UIE,P_USA_CFW,P_USA_ES_NS,P_USA_Tot,P_Vietnam_E,P_Vietnam_OM_IE,P_Vietnam_OM_UIE,P_Vietnam_CFW,P_Vietnam_ES_NS,P_Vietnam_Tot,P_Elsewhere_E,P_Elsewhere_OM_IE,P_Elsewhere_OM_UIE,P_Elsewhere_CFW,P_Elsewhere_ES_NS,P_Elsewhere_Tot,P_COB_NS_E,P_COB_NS_OM_IE,P_COB_NS_OM_UIE,P_COB_NS_CFW,P_COB_NS_ES_NS,P_COB_NS_Tot,P_Tot_E,P_Tot_OM_IE,P_Tot_OM_UIE,P_Tot_CFW,P_Tot_ES_NS,P_Tot_Tot
507031174,0,3,0,0,0,4,83,0,0,0,0,87,3,0,0,0,0,3,10,0,0,0,0,9,48,4,0,0,0,51,10,0,0,0,0,7,6,0,0,0,0,6,4,0,6,0,0,10,202,3,13,3,0,222,3,0,0,0,0,6,16,0,4,5,0,20,76,3,9,4,0,88,5,0,0,0,0,8,1979,71,133,22,3,2219
507031261,8,0,0,0,0,12,50,0,5,0,3,59,6,0,0,0,0,6,17,0,0,0,0,13,31,4,4,0,0,38,5,0,0,0,0,11,6,0,0,0,0,6,49,0,0,0,0,55,267,16,24,3,0,306,8,0,0,0,0,8,11,0,6,0,0,23,66,8,10,0,0,86,11,0,0,0,0,9,1735,107,205,27,14,2088
507041175,8,0,0,0,0,8,85,0,0,0,0,89,14,0,3,0,0,14,51,12,3,0,0,66,120,16,14,0,0,146,19,3,0,0,0,24,6,0,0,0,0,9,32,3,0,0,0,34,352,35,43,3,0,431,18,3,0,0,0,20,22,0,3,0,0,30,280,39,29,4,0,347,7,0,0,0,0,6,4236,526,407,79,14,5265
507041176,0,0,0,0,0,0,24,0,0,0,0,25,0,0,0,0,0,0,11,3,0,0,0,14,12,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,0,0,3,57,0,4,0,0,66,0,0,0,0,0,0,4,0,0,0,0,4,39,0,0,0,0,45,0,0,0,0,0,0,521,46,59,11,0,639
507041177,10,0,0,0,0,17,112,0,4,0,5,118,11,0,0,0,0,8,20,6,3,0,0,27,54,0,4,0,0,56,16,0,3,0,0,15,12,0,0,0,0,12,14,0,0,0,0,16,243,37,41,5,0,337,10,0,0,0,0,14,24,6,8,0,0,34,288,16,23,7,0,335,4,0,0,0,0,7,3093,307,401,55,25,3877
507041178,16,0,0,0,0,18,169,0,0,0,0,174,12,3,0,0,0,18,83,7,5,0,0,101,120,20,14,0,0,155,38,0,3,0,0,47,20,0,3,0,0,23,27,4,0,0,0,32,483,55,54,9,0,598,25,0,0,0,0,25,58,3,4,0,0,73,366,41,35,4,0,455,21,0,0,0,0,27,6143,591,491,92,28,7348
507041179,0,0,0,0,0,3,56,0,0,0,0,56,4,0,0,0,0,5,25,0,0,0,0,24,34,3,4,0,0,35,13,0,0,0,0,15,6,4,0,0,0,11,9,0,0,0,0,9,149,3,17,4,0,168,14,0,0,0,0,14,9,0,3,0,0,12,117,18,5,0,3,146,5,0,0,0,3,7,1817,139,141,21,10,2129
507041180,3,0,0,0,0,5,13,0,0,0,0,13,0,0,0,0,0,0,24,5,3,0,0,35,37,3,7,0,0,48,16,0,3,0,0,22,5,0,0,0,0,6,4,0,0,0,0,13,101,17,33,7,0,154,6,0,0,0,0,5,13,0,3,0,0,18,57,10,10,0,0,76,0,0,0,0,0,0,1173,171,232,30,12,1609
507041181,19,0,0,0,0,19,159,0,0,0,0,163,14,0,4,0,0,14,60,5,6,3,0,78,94,13,11,0,0,123,31,0,5,0,0,35,16,0,0,0,0,23,39,0,4,3,0,47,469,56,77,10,6,616,17,9,0,0,0,26,26,0,4,0,0,31,333,26,35,5,4,402,11,0,0,0,0,18,5538,578,587,107,26,6840
507041182,57,0,4,0,0,59,502,0,7,3,4,516,38,0,0,0,0,43,241,3,10,0,0,256,371,12,13,0,0,398,104,7,0,0,0,106,30,4,0,0,0,36,56,0,3,0,0,57,1590,51,45,4,4,1690,93,0,0,0,0,92,55,0,3,0,0,63,1065,23,28,3,8,1128,28,0,0,0,0,32,14971,339,407,63,56,15827
507041183,0,0,0,0,0,0,33,0,0,0,0,31,0,0,5,0,0,0,3,0,0,0,0,3,12,0,0,0,0,18,4,0,3,0,0,6,3,0,0,0,0,3,3,0,0,0,0,3,53,10,10,3,0,72,0,0,0,0,0,0,4,4,0,0,0,5,62,3,11,0,0,79,0,0,0,0,0,5,683,68,125,14,4,895
507041184,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,5,6,0,0,0,11,8,5,0,0,0,13,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,26,8,4,0,0,42,0,0,0,0,0,0,3,0,0,0,0,7,23,0,9,0,0,38,0,0,0,0,0,3,452,84,137,32,8,709
507051186,5,0,0,0,0,5,56,0,0,0,0,61,3,0,0,0,0,5,16,0,0,0,0,15,50,0,0,0,0,55,15,0,0,0,0,15,4,0,0,0,0,4,15,0,0,0,0,18,481,3,13,4,5,503,7,0,0,0,0,4,9,0,0,0,0,10,125,0,5,0,0,137,6,0,0,0,0,9,2168,37,98,15,5,2322
507051187,0,0,0,0,0,6,31,3,0,0,0,32,3,0,0,0,0,6,5,0,0,0,0,10,52,8,3,0,0,71,0,0,0,0,0,0,7,0,0,0,0,7,11,0,0,0,0,9,376,47,82,8,0,513,6,0,4,0,0,8,5,0,0,0,0,3,74,11,12,0,0,104,7,0,0,0,0,12,2460,217,312,37,13,3039
507051188,18,0,0,0,0,18,308,5,9,0,3,323,26,0,0,0,0,27,50,5,4,0,0,59,315,19,6,6,0,345,27,0,0,0,0,36,18,8,0,0,0,27,46,0,3,0,0,58,1948,88,121,20,8,2185,43,8,0,0,0,51,45,5,10,0,3,63,500,14,29,10,3,562,57,0,0,0,0,62,14531,593,614,103,64,15901
507051189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,26
