POW_SA2_CODE_2021,Tot_Bf_91,Tot_91_95,Tot_96_00,Tot_01_05,Tot_06_10,Tot_11_15,Tot_16_20,Tot_2021,Tot_NS,Tot_Tot
506041137,356,78,109,131,334,277,160,0,15,1463
506051138,704,147,201,295,858,621,372,11,39,3245
506051139,230,39,44,78,186,162,109,3,8,846
506051140,441,50,84,111,195,159,73,0,21,1137
506051141,335,41,47,90,150,118,81,6,11,884
506061142,238,40,76,106,290,220,95,5,11,1077
506061143,179,44,36,67,122,109,89,0,12,658
506061144,137,14,19,36,47,45,22,3,6,333
506071145,299,69,87,155,307,305,274,0,10,1503
506071146,255,47,87,105,277,231,238,5,12,1257
506071147,900,190,237,347,660,569,447,0,29,3377
507011148,233,62,77,124,267,272,114,4,5,1156
507011150,1069,210,261,393,990,923,514,6,64,4432
507011151,0,0,0,0,5,3,0,0,0,4
507011152,147,16,37,25,68,69,40,3,4,402
507011153,83,18,32,31,56,39,33,0,7,286
507011154,218,44,59,71,192,164,108,0,15,874
507011155,551,132,150,286,820,649,262,11,37,2897
507011158,78,12,19,30,81,94,71,0,6,387
507011159,502,123,153,223,492,444,241,4,26,2212
507011160,242,53,79,80,208,199,136,0,14,1005
507011161,247,57,104,149,399,333,200,3,16,1519
507011163,130,24,23,47,112,106,42,0,6,490
507011259,199,47,54,90,188,159,94,0,16,849
507011260,839,212,272,419,1052,858,486,9,48,4186
507021164,206,35,58,67,145,141,84,0,6,746
507021165,1878,416,491,766,1378,1259,950,28,94,7257
507021166,460,98,110,131,349,280,227,3,16,1673
507021167,408,81,107,168,348,389,213,4,18,1747
507031169,106,26,50,55,206,143,62,0,3,647
507031170,166,17,31,46,115,132,35,0,14,553
507031172,122,21,42,42,140,97,44,0,7,521
507031173,1057,201,232,366,807,629,252,8,47,3603
507031174,179,27,36,75,212,186,91,7,14,833
507031261,232,55,60,65,274,195,67,0,10,961
507041175,547,108,167,260,473,356,258,3,19,2182
507041176,93,26,29,26,46,57,36,0,0,313
507041177,379,67,96,152,386,314,262,7,16,1676
507041178,695,157,237,319,619,524,359,5,29,2950
507041179,229,71,73,117,225,164,108,0,11,990
507041180,189,38,62,96,121,85,66,0,4,663
507041181,689,124,205,279,484,466,355,3,33,2639
507041182,1673,418,582,889,1703,1493,726,35,79,7606
507041183,97,11,30,35,87,63,56,0,3,386
507041184,98,18,31,44,52,38,34,0,0,320
507051186,265,59,79,134,340,180,57,3,6,1126
507051187,295,42,84,115,250,195,62,0,11,1058
507051188,1437,266,369,557,1252,1054,490,23,75,5529
507051189,0,0,0,0,0,7,0,0,0,8
507051190,208,39,50,65,143,105,58,0,3,668
507051191,195,31,54,101,278,208,58,0,9,946
507051192,144,30,29,50,152,115,52,0,9,569
507051193,166,33,50,67,201,173,57,4,7,751
507051312,193,40,37,101,355,284,156,5,4,1176
507051313,197,37,59,106,232,210,70,0,21,929
507051314,33,8,4,13,29,30,8,0,4,136
509011225,871,121,146,202,455,331,221,9,37,2394
509011226,124,15,14,17,25,16,12,0,11,227
509011227,47,3,4,10,15,17,5,0,3,109
509011228,264,21,34,50,52,36,42,0,21,515
509011229,52,7,12,10,45,41,42,0,3,220
509011230,117,14,26,36,121,78,89,36,20,526
509011231,85,12,23,27,28,41,56,3,13,288
509011232,80,9,6,16,16,13,12,0,0,152
509011233,223,17,30,46,85,64,41,0,17,513
509011234,174,20,33,65,132,57,65,6,18,573
509011235,0,0,0,0,0,0,0,0,0,0
509021236,151,19,37,40,78,64,35,3,11,441
509021237,67,11,10,18,21,47,48,0,6,242
509021238,78,7,17,15,31,29,23,0,6,208
509021239,330,31,55,94,156,138,343,81,42,1255
509021240,93,13,29,40,53,72,41,0,9,347
509021241,105,14,33,49,55,90,66,3,11,427
509021242,154,20,39,60,112,89,57,0,15,549
509021243,375,68,57,94,228,223,87,3,19,1161
509021244,97,9,7,21,23,21,6,0,6,187
509021245,127,21,22,21,40,31,29,0,11,313
509031246,79,11,20,15,35,34,29,0,10,223
509031247,109,16,21,39,57,67,59,0,16,385
509031248,221,41,55,67,139,111,33,0,24,694
509031249,146,22,21,26,81,80,70,15,12,476
509031250,97,16,16,20,31,42,57,3,12,288
510011262,427,73,87,135,346,349,412,10,45,1887
510011263,128,21,37,45,110,103,139,6,5,599
510011264,65,14,14,20,35,42,55,5,0,256
510011265,208,46,49,50,132,144,205,31,20,872
510011266,28,4,9,3,16,13,68,0,3,149
510021267,987,240,381,470,1092,922,470,18,103,4680
510021268,271,55,106,104,332,260,180,13,20,1340
510021269,415,81,134,221,505,439,267,12,32,2108
510021270,195,32,51,77,250,251,184,8,21,1068
510031271,1048,220,321,434,1016,879,431,15,77,4443
510031272,445,102,134,208,565,551,387,11,56,2463
510031273,442,82,137,179,492,384,185,12,38,1954
511011274,298,37,72,94,157,126,95,3,20,902
511011275,151,17,48,53,126,120,111,0,21,655
511021276,214,20,34,47,71,90,137,5,25,645
511021277,155,22,35,39,81,87,220,7,21,667
511031278,118,31,33,41,124,117,77,5,13,559
511031279,476,108,178,295,768,758,635,26,43,3286
511031280,87,14,24,50,81,97,49,0,8,411
511031281,6,0,7,6,5,10,7,0,0,37
511031282,315,58,110,158,415,334,192,6,39,1630
511031283,548,121,207,254,618,442,306,13,51,2553
511031284,50,16,17,33,72,60,35,0,4,286
511041285,629,94,153,198,528,496,295,16,38,2445
511041286,142,22,29,48,105,97,31,0,12,489
511041287,50,7,9,9,18,23,15,0,0,132
511041288,43,7,13,22,41,27,14,0,3,160
511041289,60,8,16,9,29,16,16,0,0,154
511041290,325,80,130,157,328,236,217,10,50,1529
511041291,116,18,29,48,81,80,41,4,14,436
511041292,113,8,19,27,50,31,29,0,8,286
597979799,116,31,45,56,97,76,47,0,14,480
599999499,6105,1200,1702,2320,4460,3800,2728,65,414,22790
