POW_SA2_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
510011265,8,3,9,343,281,25,17,3,0,325,314,26,18,3,3,360,271,27,25,4,4,322,243,21,18,4,4,294,103,7,13,3,3,129,28,7,6,0,0,48,14,3,3,3,0,24,3127,190,141,48,27,3529
510011266,0,4,0,42,28,0,0,0,0,40,63,7,4,0,0,69,47,7,3,0,0,65,42,3,4,4,0,52,21,0,3,4,4,34,0,0,0,7,0,5,0,0,0,0,0,3,550,32,18,22,7,632
510021267,6,6,3,1738,1664,15,16,5,8,1705,1532,20,12,4,9,1572,1238,15,11,5,5,1269,770,10,9,0,6,791,259,4,0,3,0,272,33,4,6,0,5,49,12,3,0,0,0,21,13845,119,90,22,58,14131
510021268,3,0,5,453,377,3,6,0,8,390,389,12,3,0,0,404,303,6,0,0,0,312,216,4,0,4,5,234,76,0,0,0,0,79,14,0,3,0,0,14,4,0,0,0,0,4,3704,59,45,9,18,3840
510021269,13,3,6,791,680,26,18,3,0,725,605,32,19,0,3,669,527,23,10,6,5,569,383,15,9,7,0,407,126,12,4,0,5,145,23,6,0,0,0,35,3,0,0,0,0,0,6394,213,118,25,35,6787
510021270,12,4,5,312,252,13,17,0,0,280,245,11,8,5,3,272,249,17,12,0,3,280,153,8,8,3,0,168,66,8,6,0,0,77,21,0,0,0,0,21,0,0,0,0,0,0,2769,104,109,12,22,3008
510031271,16,4,4,1675,1642,13,20,0,4,1682,1557,23,9,4,7,1601,1295,19,17,5,7,1344,818,14,15,0,0,850,264,10,4,0,4,282,42,4,5,0,0,51,10,0,5,5,4,20,13330,165,153,30,51,13727
510031272,19,4,4,880,788,44,27,6,8,874,602,41,25,4,7,678,502,43,18,0,3,569,317,22,13,0,4,360,121,9,12,6,0,139,38,5,4,6,0,45,6,0,0,0,0,5,7044,307,237,55,29,7675
510031273,12,3,5,884,795,16,4,0,0,818,718,15,7,0,3,742,536,17,3,0,7,566,361,17,5,0,0,375,105,8,0,0,0,117,20,0,0,0,0,21,4,0,0,0,0,5,6222,100,59,12,29,6426
511011274,37,6,3,476,433,41,65,10,10,556,433,54,51,9,14,563,408,59,66,17,11,555,294,40,50,10,15,412,140,20,23,7,5,197,26,11,17,13,0,69,9,7,6,9,4,43,4116,350,427,99,80,5078
