SA2_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
501021011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5
501021012,0,0,0,50,13,63,0,0,0,0,0,0,3,5,9,2070,1915,3991,178,154,334,31,0,31,6,0,10,14,0,16,30,7,43,25,24,44,2409,2128,4532,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,37,8,45,3,0,3,4,0,4,42,8,51,42,15,57,87,21,113,0,0,0,4,0,4,0,0,0,4,0,4,61,134,192,346,415,761,9,9,11,2913,2702,5616
501021014,0,0,0,30,6,34,0,0,0,0,0,0,11,0,8,1510,1290,2801,133,129,268,35,3,40,12,0,12,11,3,13,43,31,74,58,49,106,1842,1515,3361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,14,0,0,0,0,0,0,15,4,13,20,13,32,31,18,52,0,0,0,0,0,0,0,0,0,0,0,0,155,152,306,240,244,478,22,13,36,2290,1947,4232
501021015,0,0,0,28,10,35,4,0,4,0,0,0,7,6,6,1171,1131,2302,96,110,198,17,0,16,14,0,11,22,11,30,12,9,20,27,30,57,1387,1299,2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,26,0,0,0,3,0,0,17,13,30,23,5,32,44,18,60,0,0,0,0,0,0,0,0,0,0,0,0,31,79,112,177,225,400,9,10,17,1657,1623,3280
501021016,0,0,0,39,0,36,0,0,0,0,0,0,0,0,0,573,530,1104,50,27,77,25,3,21,6,0,6,0,0,0,19,8,24,18,27,46,726,591,1320,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,5,3,3,4,9,8,8,17,0,0,0,0,0,0,0,0,0,0,0,0,54,66,119,139,103,240,22,13,32,946,774,1724
501021251,0,3,3,37,17,48,0,0,0,0,0,0,8,5,10,1709,1685,3399,125,170,294,10,0,6,7,0,9,11,5,15,31,8,39,8,15,19,1948,1902,3847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,22,12,28,4,5,9,3,0,3,25,13,38,32,11,44,61,25,87,0,0,3,0,0,3,0,0,0,3,5,3,73,119,190,292,359,645,9,4,17,2387,2412,4800
501021252,0,0,0,19,3,23,0,0,0,0,0,0,0,0,0,511,517,1029,30,30,61,18,0,18,4,0,4,3,0,3,14,0,14,15,7,27,619,561,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,6,3,6,4,3,9,16,7,23,0,0,0,0,0,0,0,0,0,0,0,0,37,63,100,89,101,192,4,3,8,763,727,1496
501021253,0,10,10,108,13,123,0,0,0,0,0,0,9,8,18,2173,2050,4219,169,191,360,17,0,18,13,5,20,40,14,54,36,13,51,93,129,217,2667,2420,5085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,26,10,40,3,6,10,0,0,0,34,12,49,24,13,36,66,33,95,0,0,0,0,0,4,0,0,0,0,0,5,129,208,334,304,372,677,22,4,28,3183,3042,6218
501021254,0,0,0,34,3,38,0,0,0,0,0,0,3,6,4,716,682,1395,76,64,146,8,0,4,3,0,3,18,3,20,13,4,15,13,6,16,880,772,1651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,3,3,4,0,0,4,12,3,19,18,3,17,30,11,40,0,0,0,0,0,0,5,0,5,5,0,3,16,30,48,104,112,219,14,3,14,1044,930,1977
501031017,0,0,0,47,9,56,0,0,0,0,0,0,0,0,0,924,856,1776,53,63,118,31,0,29,10,3,11,0,0,0,22,10,30,68,53,124,1152,998,2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,14,12,25,23,8,34,0,0,0,0,0,0,0,0,0,0,0,0,245,239,483,186,192,379,18,14,27,1620,1444,3066
501031018,0,0,0,14,0,14,0,0,0,0,0,0,0,0,0,849,771,1620,72,62,138,18,5,21,4,0,4,3,0,8,32,0,33,57,49,108,1052,887,1945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,5,17,6,21,20,6,32,0,0,0,0,0,0,0,0,0,3,0,3,145,164,309,187,191,384,12,15,30,1423,1276,2696
501031019,0,0,0,11,4,17,0,0,0,0,0,0,0,0,0,942,843,1788,83,75,155,25,0,25,8,0,8,10,4,15,9,3,11,48,39,89,1142,965,2108,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,11,6,8,13,0,0,0,0,0,0,0,0,0,0,0,0,63,78,139,106,128,237,14,4,22,1336,1183,2518
501031020,0,0,0,17,7,25,0,0,0,0,0,0,0,0,5,663,624,1286,60,72,133,11,0,11,11,3,14,16,6,20,24,5,32,111,91,196,916,810,1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,17,5,16,17,5,21,0,0,0,0,0,0,0,0,0,5,0,5,201,192,394,152,185,344,23,12,38,1314,1208,2521
502011021,13,15,31,41,23,65,0,0,0,0,0,0,0,0,0,921,981,1897,68,81,148,23,0,23,0,0,0,3,0,4,58,8,66,10,12,21,1138,1118,2256,4,3,7,0,0,0,0,0,0,9,11,24,0,0,0,0,0,0,13,17,32,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,3,0,7,31,6,39,56,28,79,3,8,8,0,0,5,0,0,0,3,5,11,112,161,279,321,269,594,5,12,21,1637,1602,3240
502011022,19,29,49,31,14,46,0,0,0,0,0,0,0,0,3,1092,1233,2327,79,66,153,25,0,28,4,0,4,6,3,13,72,14,82,9,18,26,1342,1383,2724,8,4,11,0,0,0,0,0,0,15,12,28,4,0,4,0,0,0,30,17,45,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,9,3,5,22,9,26,56,29,82,10,8,11,0,0,4,5,0,5,14,7,19,106,185,296,320,288,611,18,3,19,1860,1894,3756
502011023,30,23,52,30,14,41,0,0,0,0,0,0,3,4,8,1054,1089,2145,84,73,157,18,0,26,10,0,10,5,4,11,43,10,52,27,13,39,1313,1226,2542,13,14,23,0,0,0,0,0,0,8,8,17,5,5,8,0,0,0,26,26,48,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,9,0,10,22,7,25,51,29,83,5,7,9,0,0,0,4,0,4,10,11,17,48,115,155,248,269,518,13,7,17,1677,1654,3329
502011024,51,58,107,60,28,89,0,0,0,0,0,0,8,5,14,2380,2533,4904,158,177,335,36,5,37,7,0,13,13,0,25,107,28,128,26,25,56,2855,2858,5711,24,14,37,0,0,0,0,0,0,35,30,66,5,7,7,0,0,0,63,48,107,0,0,0,0,0,0,6,0,10,3,8,13,0,3,3,12,17,28,33,11,45,113,72,185,12,14,28,3,5,7,0,0,0,16,17,34,195,341,538,663,606,1264,24,11,36,3864,3904,7769
502011025,32,48,88,23,40,64,0,0,0,0,0,0,11,11,19,1061,1000,2061,68,118,186,11,0,11,8,0,11,12,9,21,46,17,61,53,60,117,1337,1302,2637,24,19,40,0,0,0,0,0,0,3,0,10,0,4,3,6,0,6,35,28,62,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,8,6,15,19,11,33,60,45,102,10,12,21,0,0,0,0,0,0,10,12,21,73,118,192,255,259,517,20,22,41,1758,1754,3516
502011026,11,13,18,18,6,20,0,0,0,0,0,0,0,0,0,766,779,1540,46,57,101,30,0,36,5,0,5,0,6,6,46,15,64,7,12,18,929,880,1808,3,0,3,0,0,0,0,0,0,7,9,21,0,0,0,0,0,0,14,9,29,0,0,0,0,0,0,3,0,3,0,3,3,3,0,3,8,3,12,11,6,20,30,21,54,3,4,8,0,0,0,0,0,0,3,4,8,61,109,170,227,188,419,5,4,8,1260,1212,2470
502011027,60,74,138,74,37,106,0,0,0,0,0,0,13,6,17,2922,3018,5934,205,236,440,58,0,58,11,4,11,14,3,18,148,35,179,22,27,52,3522,3438,6959,19,17,37,0,0,0,0,0,0,46,36,85,4,8,11,3,0,4,72,64,133,0,0,0,0,0,0,6,0,7,0,9,10,6,6,9,15,18,27,41,22,67,131,95,228,19,12,33,4,0,4,0,3,0,21,14,41,205,382,588,749,758,1502,18,12,28,4646,4702,9348
502011028,42,35,78,17,11,34,0,0,0,0,0,0,9,8,11,1160,1213,2370,103,137,244,23,0,24,0,0,3,7,5,17,53,13,70,17,16,39,1440,1445,2885,3,16,23,0,0,0,0,0,0,9,12,19,6,6,7,0,0,0,20,24,47,0,0,0,0,0,0,5,0,8,0,4,4,0,0,3,3,6,12,15,7,21,40,39,82,8,9,20,5,0,3,0,0,0,15,11,26,85,131,222,276,273,544,13,14,33,1874,1917,3786
502011029,11,5,15,22,6,33,0,0,0,0,0,0,0,0,0,1219,1227,2442,90,92,183,35,3,43,4,0,4,3,3,6,48,21,69,34,37,71,1473,1400,2872,0,0,4,0,0,0,0,0,0,5,12,19,0,0,0,0,0,0,12,10,24,0,0,0,0,0,0,0,4,4,5,0,5,0,0,0,3,5,10,23,10,33,39,21,62,12,4,13,0,0,0,0,0,0,12,4,13,140,162,297,360,314,667,15,8,25,2032,1908,3939
503011030,7,8,17,50,25,73,0,0,0,0,0,0,0,0,5,1081,893,1975,52,57,106,0,0,5,7,3,14,49,3,54,4,0,6,16,14,31,1273,1013,2282,3,4,12,0,0,0,0,0,0,9,4,13,3,0,3,0,0,0,24,7,30,0,0,0,0,0,0,5,3,7,0,6,6,0,0,0,7,9,14,9,9,11,35,24,58,0,0,0,3,0,3,0,0,0,0,0,7,250,251,510,110,192,300,9,4,12,1678,1483,3167
503011031,161,117,278,79,90,175,0,0,0,0,0,0,6,12,9,1123,1093,2218,64,101,168,5,0,5,14,4,19,74,28,96,14,10,22,70,63,132,1607,1520,3135,23,19,40,0,0,0,0,0,0,7,8,7,0,11,7,0,0,5,29,38,64,0,0,0,0,0,0,0,3,3,0,3,3,0,0,4,0,6,6,18,9,21,43,52,97,0,0,3,0,0,0,0,0,4,3,0,7,278,281,556,177,262,443,11,10,17,2116,2131,4254
503011032,129,99,225,36,26,69,0,0,0,0,0,0,0,3,3,1211,996,2203,47,87,128,5,0,5,14,0,14,63,19,86,11,3,14,42,38,78,1547,1280,2822,13,4,16,0,0,0,0,0,0,5,12,13,0,0,0,8,0,8,26,19,44,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,5,4,5,8,5,18,35,24,56,6,0,8,0,0,0,0,0,0,8,0,13,283,320,606,147,233,377,15,8,22,2028,1875,3906
503011033,18,12,27,162,91,253,0,0,0,0,0,0,12,9,17,1336,1211,2544,74,99,174,3,0,3,14,0,15,83,28,115,17,4,18,31,28,59,1747,1485,3228,5,6,14,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,8,11,18,0,0,0,0,0,0,4,9,10,9,4,12,3,0,6,11,14,28,15,8,19,38,32,66,3,0,3,0,0,4,4,4,3,6,3,9,272,301,572,163,292,452,3,7,6,2227,2110,4337
503011034,173,111,288,59,38,97,0,0,0,0,0,0,12,0,14,1499,1370,2868,70,110,181,3,0,4,19,0,19,55,8,65,23,9,36,51,99,148,1968,1748,3720,10,16,31,0,4,5,0,0,0,16,10,30,0,0,0,9,3,9,33,40,72,0,0,0,0,0,0,0,8,5,0,0,0,4,0,4,3,8,14,16,8,28,57,54,109,8,9,17,3,0,3,0,0,0,10,9,19,352,359,711,198,318,511,3,3,12,2593,2499,5090
503011035,30,26,54,377,330,705,5,0,5,0,0,0,15,18,38,2545,2089,4630,168,251,421,6,0,6,25,7,30,180,74,259,34,16,45,266,291,563,3652,3099,6749,36,35,69,0,0,0,0,0,0,3,8,15,0,3,0,0,0,0,39,45,83,0,0,0,0,0,0,13,15,29,9,12,22,13,3,18,37,29,67,35,13,48,108,93,202,7,12,18,10,8,14,0,5,5,14,17,34,561,625,1180,421,668,1090,29,28,55,4787,4530,9310
503011036,78,56,133,113,55,166,0,0,0,0,0,0,5,4,8,1375,1269,2641,76,108,186,7,0,7,10,3,13,89,21,107,12,6,20,76,31,103,1845,1548,3395,10,5,14,0,0,0,0,0,0,8,8,21,3,3,6,0,0,0,19,23,41,0,0,0,0,0,0,5,8,8,0,3,3,0,0,4,9,11,18,13,7,28,44,42,83,3,0,7,0,0,0,5,0,5,6,0,10,329,312,638,184,275,461,7,3,13,2414,2185,4597
503021037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,10,11,17
503021038,122,99,223,254,201,456,0,0,0,0,0,0,21,11,31,1799,1795,3596,95,176,267,14,0,14,21,6,21,145,42,184,41,8,44,94,108,201,2596,2448,5047,38,48,89,0,0,0,0,0,0,3,3,9,4,8,11,8,0,8,60,60,122,0,0,0,0,0,0,0,6,7,3,9,6,3,3,7,8,15,28,15,22,40,86,105,191,4,5,11,0,0,0,0,0,0,9,5,14,347,381,730,270,477,748,14,7,20,3318,3433,6752
503021039,70,74,140,563,475,1034,0,0,0,0,0,0,23,31,60,2553,2438,4987,131,268,402,16,0,16,26,10,39,142,30,171,56,20,69,112,131,244,3685,3477,7169,51,62,110,0,0,0,0,0,0,5,7,9,3,3,4,5,3,13,66,78,143,0,0,0,0,0,0,9,7,17,10,16,24,16,14,34,35,37,75,26,19,53,126,142,267,11,12,21,0,7,10,0,0,0,14,15,32,506,526,1033,416,696,1117,10,17,26,4763,4878,9639
503021040,12,11,20,322,288,609,0,0,0,0,0,0,25,23,47,1494,1401,2892,70,114,184,14,0,14,20,8,29,78,34,109,22,12,36,84,83,168,2140,1973,4109,16,35,45,0,0,0,0,0,0,5,5,7,0,0,3,6,0,6,29,37,61,0,0,0,0,0,0,0,6,12,3,6,7,3,3,7,10,14,25,16,8,26,52,65,119,5,5,8,5,0,6,0,0,0,12,9,18,300,308,606,226,384,611,9,12,23,2736,2745,5484
503021042,285,236,523,380,331,710,0,0,0,0,0,0,35,39,77,1961,2090,4054,152,242,398,3,0,3,37,9,48,196,98,292,44,22,63,323,347,672,3424,3414,6837,62,60,115,0,0,0,0,0,0,7,5,8,5,7,9,13,8,19,86,73,164,0,0,0,0,0,0,5,7,9,7,10,11,12,4,19,20,20,41,33,26,67,147,125,270,5,8,11,0,4,3,0,0,0,9,10,21,567,576,1142,333,515,857,10,14,21,4489,4664,9148
503021043,196,221,418,264,328,593,0,0,0,0,0,0,49,48,93,3068,2620,5686,159,343,503,20,0,20,25,0,33,191,77,267,66,23,93,144,159,303,4185,3822,8006,73,127,203,0,0,0,0,0,0,24,9,31,4,3,9,11,11,17,110,152,259,0,0,0,0,0,0,15,14,26,5,14,19,9,12,16,23,36,63,28,30,56,160,220,381,30,35,61,9,5,14,8,0,6,36,47,85,440,528,970,447,707,1154,16,7,25,5289,5336,10622
