SAL_CODE_2021,OneMeth_Train_M,OneMeth_Train_F,OneMeth_Train_P,OneMeth_Bus_M,OneMeth_Bus_F,OneMeth_Bus_P,OneMeth_Ferry_M,OneMeth_Ferry_F,OneMeth_Ferry_P,OneMeth_Tram_lt_rail_M,OneMeth_Tram_lt_rail_F,OneMeth_Tram_lt_rail_P,OneMeth_Taxi_rs_serv_M,OneMeth_Taxi_rs_serv_F,OneMeth_Taxi_rs_serv_P,OneMeth_Car_as_driver_M,OneMeth_Car_as_driver_F,OneMeth_Car_as_driver_P,OneMeth_Car_as_passenger_M,OneMeth_Car_as_passenger_F,OneMeth_Car_as_passenger_P,OneMeth_Truck_M,OneMeth_Truck_F,OneMeth_Truck_P,OneMeth_Motorbike_scooter_M,OneMeth_Motorbike_scooter_F,OneMeth_Motorbike_scooter_P,OneMeth_Bicycle_M,OneMeth_Bicycle_F,OneMeth_Bicycle_P,OneMeth_Other_M,OneMeth_Other_F,OneMeth_Other_P,OneMeth_Walked_only_M,OneMeth_Walked_only_F,OneMeth_Walked_only_P,OneMeth_Tot_OneMeth_M,OneMeth_Tot_OneMeth_F,OneMeth_Tot_OneMeth_P,TwoMeth_Train_Bus_M,TwoMeth_Train_Bus_F,TwoMeth_Train_Bus_P,TwoMeth_Train_Ferry_M,TwoMeth_Train_Ferry_F,TwoMeth_Train_Ferry_P,TwoMeth_Trn_Trm_lt_rl_M,TwoMeth_Trn_Trm_lt_rl_F,TwoMeth_Trn_Trm_lt_rl_P,TwoMeth_Train_Car_as_drvr_M,TwoMeth_Train_Car_as_drvr_F,TwoMeth_Train_Car_as_drvr_P,TwoMeth_Trn_Car_as_pass_M,TwoMeth_Trn_Car_as_pass_F,TwoMeth_Trn_Car_as_pass_P,TwoMeth_Train_Other_M,TwoMeth_Train_Other_F,TwoMeth_Train_Other_P,TwoMeth_Train_Tot_M,TwoMeth_Train_Tot_F,TwoMeth_Train_Tot_P,TwoMeth_Bus_Ferry_M,TwoMeth_Bus_Ferry_F,TwoMeth_Bus_Ferry_P,TwoMeth_Bus_Trm_lt_rl_M,TwoMeth_Bus_Trm_lt_rl_F,TwoMeth_Bus_Trm_lt_rl_P,TwoMeth_Bus_Car_as_driver_M,TwoMeth_Bus_Car_as_driver_F,TwoMeth_Bus_Car_as_driver_P,TwoMeth_Bus_Car_as_pass_M,TwoMeth_Bus_Car_as_pass_F,TwoMeth_Bus_Car_as_pass_P,TwoMeth_Bus_Other_M,TwoMeth_Bus_Other_F,TwoMeth_Bus_Other_P,TwoMeth_Bus_Tot_M,TwoMeth_Bus_Tot_F,TwoMeth_Bus_Tot_P,TwoMeth_Other_TwoMeth_M,TwoMeth_Other_TwoMeth_F,TwoMeth_Other_TwoMeth_P,TwoMeth_Tot_TwoMeth_M,TwoMeth_Tot_TwoMeth_F,TwoMeth_Tot_TwoMeth_P,ThreeMeth_Trn_2_othr_mthd_M,ThreeMeth_Trn_2_othr_mthd_F,ThreeMeth_Trn_2_othr_mthd_P,ThreMth_Bu_2_ot_met_exc_tra_M,ThreMth_Bu_2_ot_met_exc_tra_F,ThreMth_Bu_2_ot_met_exc_tra_P,ThreeMeth_Oth_ThreeMeth_M,ThreeMeth_Oth_ThreeMeth_F,ThreeMeth_Oth_ThreeMeth_P,ThreeMeth_Tot_ThreeMeth_M,ThreeMeth_Tot_ThreeMeth_F,ThreeMeth_Tot_ThreeMeth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Meth_travel_to_work_NS_M,Meth_travel_to_work_NS_F,Meth_travel_to_work_NS_P,Tot_M,Tot_F,Tot_P
SAL50011,103,113,220,16,4,21,0,0,0,0,0,0,0,3,8,1565,1584,3155,106,116,224,26,0,26,9,0,9,4,0,5,75,14,89,20,21,36,1925,1864,3790,37,38,77,0,0,0,0,0,0,38,21,63,5,6,10,3,0,5,90,71,163,0,0,0,0,0,0,0,6,8,4,0,0,7,0,8,5,6,11,26,8,37,125,88,211,16,23,35,0,0,6,0,0,0,19,21,40,125,244,371,354,396,747,6,3,9,2552,2617,5166
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,7,3,13
SAL50013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,96,200,16,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,111,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,8,8,29,28,54,0,0,0,155,136,292
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,23,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,17,0,4,6,0,0,0,31,25,56
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,9,0,8
SAL50016,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,95,104,196,0,5,10,3,0,3,0,0,0,0,0,0,4,0,4,3,0,3,115,110,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,32,24,17,39,0,0,0,158,149,305
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,11,0,6,6,0,0,0,26,14,47
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7
SAL50019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,26,72,3,0,7,4,0,4,0,0,0,0,0,0,0,0,0,6,6,4,62,28,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,20,8,3,11,0,3,3,77,47,128
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,3,0,0,0,11,11,23
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,13,10,30,118,97,216,0,0,0,0,0,0,5,0,7,1151,951,2100,43,102,146,7,0,7,7,0,7,30,8,40,15,6,23,27,26,59,1417,1205,2625,30,35,58,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,35,38,65,0,0,0,0,0,0,0,0,4,0,6,3,3,6,4,3,8,9,3,4,5,36,51,88,0,3,6,4,0,4,0,0,0,3,3,10,208,242,452,121,217,346,3,4,6,1803,1720,3521
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,10,0,0,4,0,0,0,0,0,0,0,0,0,5,0,5,5,0,4,17,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,16,14,33
SAL50024,6,6,16,82,58,145,0,0,0,0,0,0,6,4,8,683,652,1336,32,60,95,9,0,9,3,0,3,28,10,33,9,5,16,18,22,41,869,820,1686,17,29,43,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,21,29,54,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,8,5,9,4,0,8,35,35,69,0,4,0,0,0,0,0,0,0,5,4,4,139,135,276,88,177,267,0,4,4,1137,1165,2303
SAL50025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,106,204,3,4,14,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,116,110,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,10,9,22,21,17,43,0,0,6,152,148,297
SAL50026,72,74,144,19,14,31,0,0,0,0,0,0,15,9,21,1725,1388,3108,140,112,248,22,4,25,10,0,10,14,0,17,49,18,65,35,39,71,2091,1647,3738,16,42,50,0,0,0,0,0,0,6,11,18,0,3,6,4,3,7,24,60,81,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,3,20,9,35,51,69,126,9,12,20,0,0,3,0,0,0,11,15,27,67,78,148,231,301,529,22,16,43,2469,2129,4602
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,12,10,19
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,9,8,10
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,16,0,0,0,0,0,0,25,14,44
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,18,0,0,0,0,0,0,25,12,39
SAL50031,4,5,18,51,25,82,0,0,0,0,0,0,3,6,11,544,468,1017,39,46,83,9,0,9,4,0,7,4,0,4,33,8,43,7,17,17,698,581,1278,0,0,4,0,0,0,0,0,0,5,0,11,0,0,0,0,0,0,8,5,15,0,0,0,0,0,0,0,3,3,0,4,4,7,4,8,5,9,14,7,0,5,25,11,34,0,0,0,6,0,6,0,0,0,6,0,3,82,80,166,116,88,202,3,3,5,927,762,1688
SAL50032,17,10,28,7,8,13,0,0,0,0,0,0,0,4,3,450,421,871,26,22,50,7,0,7,0,0,0,0,0,0,12,5,12,5,0,4,527,466,993,8,3,18,0,0,0,0,0,0,10,10,21,0,0,0,0,0,0,26,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,10,35,14,48,0,0,3,0,0,0,0,0,0,3,0,3,32,55,82,68,89,154,4,0,5,656,628,1293
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,21,16,34,7,3,12,0,0,0,0,0,0,0,0,0,189,184,374,18,22,38,0,0,0,0,0,0,8,4,3,6,0,8,0,0,4,252,232,484,0,6,9,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,7,13,0,0,3,0,0,0,0,0,0,0,0,3,30,19,54,46,50,100,0,0,0,342,316,654
SAL50035,3,0,5,71,49,115,0,0,0,0,0,0,5,0,9,1083,1030,2112,48,68,110,7,0,9,6,0,10,30,0,33,21,3,27,4,21,29,1283,1185,2472,25,14,31,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,26,16,40,0,0,0,0,0,0,9,7,8,3,3,3,0,0,0,5,4,15,3,11,15,41,29,68,0,0,0,0,0,0,0,0,0,0,6,3,162,211,373,148,219,368,0,9,7,1639,1649,3290
SAL50036,116,105,223,21,18,38,0,0,0,0,0,0,0,4,4,1732,1593,3328,113,121,236,22,0,22,11,0,10,10,0,9,32,7,40,11,22,32,2080,1870,3948,37,43,84,0,0,0,0,0,0,24,23,47,3,9,17,0,3,0,64,80,147,0,0,0,0,0,0,6,0,6,0,4,3,5,0,4,9,7,10,13,5,19,89,88,180,19,19,34,0,0,5,3,0,3,24,18,40,126,223,355,254,362,615,6,4,11,2581,2573,5149
SAL50037,91,69,161,10,4,17,0,0,0,0,0,0,3,0,0,1120,1055,2170,66,77,142,5,0,5,0,0,0,8,0,7,28,12,32,3,13,19,1326,1240,2560,24,34,58,0,0,0,0,0,0,37,28,64,5,5,7,5,0,5,68,63,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,15,81,75,156,13,12,27,0,0,0,0,0,0,13,13,26,129,167,297,153,265,422,4,0,4,1713,1754,3470
SAL50038,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,144,156,299,7,11,24,9,0,9,0,0,0,0,4,8,7,0,7,6,16,25,185,188,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,25,35,63,38,41,79,0,9,10,254,269,521
SAL50039,7,0,7,100,28,129,0,0,0,0,0,0,4,12,10,2562,2529,5091,208,200,406,31,0,31,15,0,12,27,5,28,44,11,53,34,26,58,3024,2811,5837,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,55,4,59,5,8,8,4,0,4,69,6,76,31,14,46,95,25,125,0,0,0,3,0,3,3,0,3,5,4,10,87,192,272,485,527,1014,15,7,22,3717,3562,7279
SAL50040,19,14,35,35,19,57,0,0,0,0,0,0,8,13,19,2642,2559,5202,135,166,302,27,0,27,15,0,17,9,5,13,94,21,113,16,25,43,3002,2816,5814,25,23,40,0,0,0,0,0,0,31,45,80,0,0,6,0,0,0,52,68,124,0,0,0,0,0,0,5,4,3,3,4,10,0,4,9,13,8,24,33,23,55,97,101,197,13,10,18,0,0,3,0,0,0,12,7,24,140,265,406,409,485,890,16,16,25,3676,3686,7361
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,9
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,8,12,23
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,6,14
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,11,14,24
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,6,6,11
