SAL_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Prim_Other_Non_Govt_M,Prim_Other_Non_Govt_F,Prim_Other_Non_Govt_P,Primary_Tot_M,Primary_Tot_F,Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_Ed_Ft_15_24_yr_M,Tert_Voc_Ed_Ft_15_24_yr_F,Tert_Voc_Ed_Ft_15_24_yr_P,Tert_Voc_Ed_Ft_25_yr_over_M,Tert_Voc_Ed_Ft_25_yr_over_F,Tert_Voc_Ed_Ft_25_yr_over_P,Tert_Voc_Ed_Pt_15_24_yr_M,Tert_Voc_Ed_Pt_15_24_yr_F,Tert_Voc_Ed_Pt_15_24_yr_P,Tert_Voc_Ed_Pt_25_yr_over_M,Tert_Voc_Ed_Pt_25_yr_over_F,Tert_Voc_Ed_Pt_25_yr_over_P,Tert_Voc_Ed_Ft_Pt_st_ns_M,Tert_Voc_Ed_Ft_Pt_st_ns_F,Tert_Voc_Ed_Ft_Pt_st_ns_P,Tert_Voc_Ed_Tot_M,Tert_Voc_Ed_Tot_F,Tert_Voc_Ed_Tot_P,Tert_Uni_oth_edu_Ft_15_24_M,Tert_Uni_oth_edu_Ft_15_24_F,Tert_Uni_oth_edu_Ft_15_24_P,Tert_Uni_oth_edu_Ft_25ov_M,Tert_Uni_oth_edu_Ft_25ov_F,Tert_Uni_oth_edu_Ft_25ov_P,Tert_Uni_oth_edu_Pt_15_24_M,Tert_Uni_oth_edu_Pt_15_24_F,Tert_Uni_oth_edu_Pt_15_24_P,Tert_Uni_oth_edu_Pt_25ov_M,Tert_Uni_oth_edu_Pt_25ov_F,Tert_Uni_oth_edu_Pt_25ov_P,Tert_Uni_oth_edu_F_Pt_st_ns_M,Tert_Uni_oth_edu_F_Pt_st_ns_F,Tert_Uni_oth_edu_F_Pt_st_ns_P,Tert_Uni_oth_edu_Tot_M,Tert_Uni_oth_edu_Tot_F,Tert_Uni_oth_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Oth_type_Edu_inst_Ftime_stu_M,Oth_type_Edu_inst_Ftime_stu_F,Oth_type_Edu_inst_Ftime_stu_P,Oth_type_Edu_inst_Ptime_stu_M,Oth_type_Edu_inst_Ptime_stu_F,Oth_type_Edu_inst_Ptime_stu_P,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_M,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_F,Ot_ty_Ed_ins_F_Pt_Stu_st_ns_P,Oth_type_educ_institut_Tot_M,Oth_type_educ_institut_Tot_F,Oth_type_educ_institut_Tot_P,Type_educ_institution_ns_M,Type_educ_institution_ns_F,Type_educ_institution_ns_P,OS_visitors_M,OS_visitors_F,OS_visitors_P,Tot_M,Tot_F,Tot_P
SAL50011,139,124,262,435,475,910,38,51,93,117,121,233,587,651,1235,204,211,411,50,48,101,89,80,169,334,342,675,16,21,40,18,27,44,35,14,54,30,78,116,0,0,3,104,148,251,49,87,142,36,59,96,14,15,33,48,84,130,0,0,0,152,248,397,255,391,649,14,18,31,29,68,100,0,0,0,45,87,134,127,149,278,6,9,14,1500,1753,3247
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
SAL50013,0,5,7,22,17,36,3,0,9,0,5,0,32,19,51,24,15,34,0,0,6,0,5,3,29,19,44,3,3,8,0,0,0,3,0,7,3,6,10,0,0,0,9,8,23,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,3,8,17,17,27,0,0,0,4,0,4,0,0,0,4,0,7,8,4,16,0,0,0,83,69,149
SAL50014,0,0,0,10,0,10,0,0,0,0,0,0,10,0,10,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,17,0,0,0,24,11,35
SAL50015,0,0,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL50016,11,4,12,22,10,34,11,7,15,3,7,14,29,25,55,10,17,28,10,6,12,10,7,10,24,30,56,0,0,0,0,0,0,5,0,5,0,0,3,0,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,6,10,6,12,0,0,0,0,3,3,0,0,0,0,3,6,10,12,26,0,0,0,88,85,172
SAL50017,0,0,0,5,4,4,0,0,0,0,0,0,7,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,4,6,14
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,3,0,7,10,9,14,0,0,5,0,0,4,12,12,23,5,3,10,4,0,4,0,0,3,10,3,16,0,0,4,0,0,0,0,0,0,0,3,3,0,0,0,0,4,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,3,9,12,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,0,0,0,45,37,75
SAL50020,0,0,0,3,0,5,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,3,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,9,9,15
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,63,46,107,226,208,433,37,54,92,37,50,85,306,308,611,103,100,203,55,63,117,80,68,150,238,233,470,11,14,17,7,12,22,15,10,17,12,34,49,0,0,0,39,72,110,133,155,289,27,40,71,24,10,38,37,53,91,0,0,0,230,258,489,268,333,597,9,8,11,12,14,26,0,0,0,16,20,38,125,102,222,27,21,46,1037,1068,2098
SAL50023,0,0,0,4,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,8,0,12
SAL50024,49,38,88,155,164,321,41,45,81,13,13,29,211,225,432,126,100,218,45,37,79,21,36,57,189,170,358,5,5,8,4,3,13,15,4,27,10,26,32,0,0,0,33,40,79,81,80,156,17,18,30,9,11,25,25,35,55,0,0,0,130,136,264,168,179,342,0,12,10,12,19,24,0,0,0,15,25,34,42,52,96,13,14,23,666,704,1373
SAL50025,4,4,6,9,15,19,3,0,8,6,3,8,17,25,40,11,14,23,9,8,17,9,3,15,27,29,51,0,0,0,0,0,3,4,4,3,0,0,0,0,0,0,0,7,12,0,5,5,0,0,0,0,0,0,3,0,3,0,0,0,3,8,9,3,10,17,0,0,0,0,0,0,0,0,0,0,0,0,11,14,23,0,0,0,66,74,145
SAL50026,100,102,203,364,369,739,44,47,91,56,47,103,467,467,933,308,232,544,27,25,54,59,60,118,394,324,715,29,41,69,20,43,62,33,29,65,28,70,103,0,3,3,110,195,301,27,62,90,24,37,67,4,18,25,24,50,74,0,0,0,88,167,256,193,356,556,30,27,60,26,65,87,0,3,0,59,93,154,583,601,1181,6,5,10,1809,1948,3758
SAL50027,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,0,0,0,5,11,18
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,22,0,0,0,19,4,23
SAL50029,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,8,4,13
SAL50030,0,0,0,5,3,13,0,0,0,0,0,0,5,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,17
SAL50031,15,10,23,28,25,55,36,31,63,15,11,26,79,69,145,25,20,47,37,29,62,17,18,35,73,65,138,8,14,23,3,6,12,7,3,9,8,19,30,0,0,0,31,42,76,13,44,58,8,11,26,10,6,12,16,25,44,0,0,0,44,94,137,71,140,215,16,3,19,9,15,18,0,0,0,18,16,37,158,179,334,32,7,34,442,485,925
SAL50032,30,19,50,101,104,202,18,21,36,8,15,22,125,140,264,46,57,104,18,12,35,16,10,27,78,79,163,4,0,4,0,7,10,12,5,17,13,13,26,0,0,0,29,28,56,14,29,43,14,18,29,7,5,16,6,21,30,0,0,0,47,69,114,71,96,171,4,0,5,4,8,11,0,0,0,5,12,21,42,43,84,0,3,6,360,396,755
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,13,15,28,25,23,50,10,17,27,4,6,16,36,48,85,25,22,50,8,4,11,3,5,6,37,32,69,5,6,6,0,3,6,4,4,4,3,12,15,0,0,0,17,24,37,17,12,26,4,10,7,0,3,4,5,6,14,0,0,0,26,25,55,42,47,88,3,4,9,3,5,11,0,0,0,9,6,12,59,40,99,0,0,0,194,194,389
SAL50035,45,62,106,169,155,326,94,114,210,18,9,27,282,281,559,57,59,118,154,317,467,57,57,117,270,433,703,5,13,23,3,9,12,15,9,26,12,24,32,0,0,0,39,56,98,98,127,235,22,14,37,20,18,38,37,52,90,0,0,0,179,221,400,222,273,496,5,3,14,25,9,32,0,0,0,28,18,49,65,67,128,13,5,14,920,1135,2054
SAL50036,85,80,161,402,387,785,45,45,87,46,50,99,500,478,973,295,269,565,92,112,201,94,80,178,479,459,941,26,20,44,15,25,39,47,19,69,23,55,76,0,0,0,114,119,233,123,170,294,35,46,82,22,27,47,32,57,89,0,0,0,208,303,519,322,423,745,7,7,11,22,28,56,0,0,0,32,32,69,83,77,159,10,12,20,1513,1563,3076
SAL50037,107,101,200,450,452,898,33,42,76,23,29,49,509,523,1024,181,139,320,63,73,137,55,46,98,303,254,553,11,17,25,6,20,25,17,6,23,17,50,62,0,0,0,45,92,137,69,75,144,19,36,49,15,14,27,27,51,74,0,0,0,125,172,298,171,268,439,6,11,12,19,32,50,0,0,0,28,41,65,57,59,111,6,8,11,1164,1244,2410
SAL50038,9,8,16,22,24,44,0,0,7,3,6,4,24,26,52,18,21,44,0,3,3,3,0,0,21,25,48,0,0,0,0,5,5,5,0,5,4,9,12,0,0,0,9,10,16,0,3,3,0,0,0,0,0,0,5,3,6,0,0,0,5,7,4,12,14,26,0,0,0,0,5,5,0,0,0,0,5,5,46,46,95,13,0,13,127,123,250
SAL50039,171,140,319,664,648,1312,115,122,239,70,62,132,849,838,1688,453,501,959,134,140,270,55,73,125,641,714,1360,26,33,61,5,36,39,64,40,104,48,111,160,6,0,6,149,224,368,16,46,66,7,47,53,5,16,21,39,89,130,0,0,0,66,198,264,216,420,634,19,13,32,41,46,90,0,0,0,60,65,126,268,248,513,6,10,15,2205,2445,4652
SAL50040,186,184,366,548,581,1129,112,122,235,129,131,255,784,831,1620,288,264,553,122,101,217,163,149,309,578,511,1085,31,38,67,22,45,63,38,37,73,55,88,143,0,0,0,146,206,357,77,119,194,22,58,74,15,31,45,50,81,139,0,0,0,164,290,449,312,501,811,23,17,41,44,82,125,0,0,0,61,103,167,170,165,340,9,13,22,2103,2299,4405
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50042,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL50043,0,0,3,0,5,5,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,15,0,0,0,12,11,18
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6
SAL50045,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,7
SAL50046,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
SAL50048,5,0,5,6,6,8,0,0,0,0,0,0,4,6,8,0,0,4,0,0,0,0,0,0,0,0,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,11,8,20,3,0,11,38,17,52
SAL50049,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,0,0,0,6,9,13
SAL50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,0,0,0,7,6,10
SAL50051,7,11,19,56,44,98,4,4,12,3,0,3,63,52,115,31,25,59,9,3,9,6,0,6,36,30,71,0,0,0,0,0,0,4,4,7,0,9,6,0,0,0,7,11,21,0,0,0,0,3,4,0,0,0,5,5,7,0,0,0,0,11,11,6,23,34,0,0,0,0,0,0,0,0,0,0,3,3,71,65,137,0,0,0,194,184,376
SAL50052,0,0,0,0,4,4,0,0,4,0,0,0,0,4,9,0,7,8,0,0,0,0,0,0,0,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0,0,0,21,20,41
SAL50053,75,78,156,214,226,449,115,104,221,23,24,45,353,357,713,143,131,269,96,103,199,28,37,67,271,268,541,20,27,45,34,50,82,15,7,28,53,74,122,3,0,3,121,159,280,76,127,204,45,56,103,17,26,45,31,70,105,0,0,0,175,277,452,301,443,737,28,22,50,27,46,74,0,0,0,52,69,122,229,308,543,7,15,22,1292,1535,2824
SAL50054,495,422,919,1803,1727,3526,265,243,509,241,252,499,2313,2226,4538,1011,1036,2053,240,284,531,253,252,507,1514,1587,3094,81,74,158,43,94,133,130,93,222,126,270,401,0,0,0,382,530,920,188,262,451,58,184,239,28,62,90,125,256,382,0,0,0,396,767,1167,786,1301,2091,67,71,142,89,171,264,3,0,4,162,246,404,608,697,1309,13,36,49,5890,6514,12403
SAL50055,138,149,283,406,351,755,121,97,213,88,69,151,607,516,1124,239,200,443,69,61,132,38,40,77,349,305,652,58,53,113,80,110,196,25,28,49,70,157,230,0,0,0,234,353,591,123,119,245,95,98,197,23,32,52,45,74,119,0,0,0,288,319,605,529,679,1205,50,53,97,46,63,111,0,0,0,93,118,212,617,568,1188,9,23,34,2342,2357,4699
SAL50056,0,0,4,16,14,28,0,0,0,3,3,3,18,20,35,8,9,17,0,0,0,7,0,7,18,9,21,0,0,0,0,3,3,3,3,3,0,6,6,0,0,0,3,11,15,0,0,3,0,4,4,0,0,0,0,4,7,0,0,0,3,7,9,5,15,21,0,0,0,0,0,0,0,0,0,0,0,4,17,8,34,0,0,3,61,63,119
SAL50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50059,0,0,0,3,0,5,0,0,0,0,0,0,3,0,5,0,0,0,0,0,4,0,0,0,3,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,10,13,20
