SAL_CODE_2021,Median_age_persons,Med_mort_repaymnt_monthly,Med_tot_psnl_incom_weekly,Median_rent_weekly,Med_tot_family_inc_weekly,Avge_numbr_prsons_per_bedroom,Med_tot_hh_incom_weekly,Average_household_size
SAL50387,49,1896,819,300,2488,0.7,2070,2.6
SAL50388,48,980,979,150,1946,0.7,1333,2.1
SAL50389,39,2172,952,400,2640,0.7,2484,3
SAL50390,44,2100,917,420,2725,0.7,2382,2.7
SAL50391,61,2167,530,200,1125,0.6,1062,1.8
SAL50392,44,0,1562,0,3250,0.7,3250,3
SAL50393,50,0,949,0,2083,0.7,1437,2.5
SAL50394,44,897,2333,0,4499,0.6,3749,2.4
SAL50395,54,0,966,669,2499,0.9,1124,1.4
SAL50396,42,1842,625,350,1739,0.7,1464,2.6
SAL50397,30,2000,1007,360,2216,0.8,2132,3
SAL50398,46,0,899,88,1375,1.3,1708,2.8
SAL50399,39,1941,707,195,1821,0.7,1511,2.5
SAL50400,36,2011,930,390,2802,0.8,2643,3
SAL50401,53,1900,697,250,1406,0.7,1281,2.2
SAL50402,42,1975,665,125,1375,0.9,1291,2.8
SAL50403,57,1387,769,277,1449,0.8,1240,2
SAL50404,48,1377,567,300,1342,0.7,936,2.1
SAL50405,39,1638,832,186,1942,0.9,1674,2.5
SAL50406,37,0,1687,0,3749,0.8,3250,3.3
SAL50407,54,1342,596,350,1406,0.8,1474,2.6
SAL50408,38,3000,1050,0,2749,0.9,2374,3.1
SAL50409,42,2000,783,340,2257,0.7,1679,2.4
SAL50410,25,0,725,0,3374,0.8,1625,3
SAL50411,48,1867,943,168,2113,0.7,1786,2.5
SAL50412,43,1310,870,210,2166,0.9,1812,2.4
SAL50413,44,0,1062,615,3250,1.5,3250,6
SAL50414,32,1300,900,300,1875,0.8,1812,2.9
SAL50415,34,2340,1286,350,2937,0.9,2632,2.8
SAL50416,52,1600,607,275,1600,0.7,1096,2.3
SAL50417,36,0,1218,0,2583,0.7,2250,2.8
SAL50418,51,0,1375,0,2750,0.7,2750,1.5
SAL50419,44,1480,624,300,1554,0.7,1274,2.4
SAL50420,45,792,575,0,2125,0.8,1499,2.7
SAL50421,51,1192,977,190,2625,0.7,2416,2.5
SAL50422,0,0,0,0,0,0,0,0
SAL50423,36,2300,1139,400,3038,0.8,2301,2.4
SAL50424,47,672,741,170,1359,0.6,1125,2.1
SAL50425,36,3250,749,300,1625,0.9,1458,2.9
SAL50426,32,1733,906,330,2380,0.7,2118,2.8
SAL50427,47,0,612,0,1125,3,2374,3.5
SAL50428,46,1560,1031,245,1125,1,2100,2.4
SAL50429,35,0,1031,200,1875,0.8,1187,2.8
SAL50430,46,217,866,0,2125,0.8,2124,2.9
SAL50431,52,1550,579,310,1524,0.6,1194,2.2
SAL50432,60,0,962,0,1625,0.6,1625,2.6
SAL50433,51,2167,966,1500,2499,0.6,2499,2.2
SAL50434,59,0,1292,0,3750,0.7,3750,2.7
SAL50435,50,1728,703,312,1875,0.7,1521,2.5
SAL50436,17,1621,247,400,2250,0.6,2031,2.3
SAL50437,50,500,704,150,1517,0.6,1139,2
SAL50438,41,2208,940,460,2817,0.7,2389,2.8
SAL50439,0,0,0,0,0,0,0,0
SAL50440,26,0,0,0,0,1.1,0,4.5
SAL50441,40,1885,871,450,2040,0.7,1763,2.6
SAL50442,40,1733,1171,180,1024,1.3,1983,2.7
SAL50443,49,825,519,0,1166,0.7,1062,2.3
SAL50444,38,998,287,185,250,2,450,4
SAL50445,54,0,1031,180,2250,0.8,2125,2.2
SAL50446,49,1733,625,270,1833,0.8,1333,2.4
SAL50447,61,3754,1614,3500,4062,0.5,2874,2.1
SAL50448,52,1154,466,150,1125,1,849,2.1
SAL50449,45,0,1083,0,1437,0.7,1458,2.8
SAL50450,48,1900,1050,46,2124,0.8,1687,2.3
SAL50451,37,0,825,300,1812,0.8,1791,2.8
SAL50452,46,1472,672,300,1603,0.7,1194,2.1
SAL50453,31,1733,795,350,1969,0.8,1827,2.9
SAL50454,51,1498,662,262,2083,0.8,1326,2.6
SAL50455,48,1517,933,138,2083,0.7,2125,2.4
SAL50456,35,0,724,0,2374,0.9,2374,3.5
SAL50457,44,2600,1048,420,3178,0.8,2270,2.5
SAL50458,59,910,987,280,1437,1.4,1916,4
SAL50459,44,0,1100,600,1937,0.6,1812,2
SAL50460,54,0,350,0,0,0,1024,0
SAL50461,52,0,1949,0,4624,0.6,4624,2
SAL50462,60,1500,619,238,1375,0.6,1042,1.8
SAL50463,43,0,575,0,1374,0.8,1374,2.5
SAL50464,36,1950,1167,410,2563,1,2003,1.8
SAL50465,49,1950,846,175,1937,0.7,1718,2.6
SAL50466,50,810,706,130,1312,0.6,899,1.8
SAL50467,63,755,555,250,885,1.1,711,1.4
SAL50468,34,2073,1032,350,2705,0.8,2097,2.4
SAL50469,55,750,612,0,1374,0.7,1374,2.5
SAL50470,38,0,725,0,1937,0.8,1937,3.3
SAL50471,48,4333,862,385,2083,0.7,2035,2.5
SAL50472,40,1517,715,340,1837,0.7,1485,2.5
SAL50473,38,1733,770,338,2033,0.7,1654,2.5
SAL50474,41,1950,858,390,2344,0.7,2015,2.6
