SAL_CODE_2021,P_Oth_svc_15_19_yr,P_Oth_svc_20_24_yr,P_Oth_svc_25_34_yr,P_Oth_svc_35_44_yr,P_Oth_svc_45_54_yr,P_Oth_svc_55_64_yr,P_Oth_svc_65_74_yr,P_Oth_svc_75_84_yr,P_Oth_svc_85_yr_over,P_Oth_svc_Tot,P_Inad_desc_Ns_15_19,P_Inad_desc_Ns_20_24,P_Inad_desc_Ns_25_34,P_Inad_desc_Ns_35_44,P_Inad_desc_Ns_45_54,P_Inad_desc_Ns_55_64,P_Inad_desc_Ns_65_74,P_Inad_desc_Ns_75_84,P_Inad_desc_Ns_85_yr_over,P_Inad_desc_Ns_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
SAL50133,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6,13,3,0,0,35
SAL50134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,10,3,0,0,20
SAL50135,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,7,4,6,3,0,0,26
SAL50136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,17
SAL50137,0,0,11,8,5,5,0,0,0,29,0,3,5,0,5,4,0,3,0,20,13,45,146,191,192,184,43,7,0,821
SAL50138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,0,0,0,18
SAL50139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,10,0,0,25
SAL50140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,13,29,6,6,0,64
SAL50141,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,0,7,0,0,22
SAL50142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,12,29,21,7,0,0,83
SAL50143,0,0,4,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9,0,19,20,31,12,0,0,0,85
SAL50144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,11,21,15,3,0,0,63
SAL50146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,3,0,0,0,16
SAL50147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,12,11,10,0,0,0,55
SAL50148,8,12,14,11,18,14,9,0,0,82,4,11,21,21,16,19,7,4,0,105,189,270,398,582,645,462,125,16,0,2691
SAL50149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,4,0,0,11
SAL50150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,13,14,4,3,0,55
SAL50152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,4,0,0,0,19
SAL50153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,6,4,4,0,26
SAL50154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,5,0,0,0,0,13
SAL50156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,12
SAL50157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,7,10,15,7,5,0,56
SAL50158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,9,5,0,0,32
SAL50159,9,20,34,17,12,19,0,0,0,108,11,8,37,29,28,21,11,0,0,152,115,215,474,462,459,429,110,8,0,2276
SAL50160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,9,14,0,0,33
SAL50161,5,0,0,6,0,3,0,0,0,9,0,0,3,4,11,3,0,0,0,15,21,21,40,63,76,86,26,3,0,340
SAL50162,0,0,0,3,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,4,26,17,6,48,64,51,18,0,0,231
SAL50163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,4,3,14,5,5,0,0,30
SAL50164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,4,0,0,0,40
SAL50165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,4,9,6,9,8,4,0,51
SAL50166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,3,0,14
SAL50167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,10,7,3,0,0,44
SAL50168,0,4,4,0,3,8,4,0,0,18,0,0,7,10,0,4,0,0,0,15,22,34,77,67,83,52,27,3,0,361
SAL50169,0,3,0,5,5,5,0,0,0,17,0,3,0,9,10,9,0,0,0,29,38,34,74,134,133,137,30,5,0,582
SAL50170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,10,4,7,0,0,0,0,19
SAL50171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,0,22
SAL50172,0,0,0,4,5,4,0,0,0,13,0,0,3,5,4,0,7,0,0,18,12,30,43,64,72,86,28,16,0,348
SAL50173,10,22,100,39,21,7,0,0,0,207,12,21,90,86,30,12,0,0,0,256,184,387,1969,1389,555,250,35,0,0,4763
SAL50174,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,3,5,0,9,15,16,13,10,0,0,63
SAL50175,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,16,3,0,0,23
SAL50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,0,0,0,11
SAL50177,0,0,0,0,5,7,0,0,0,6,0,0,0,0,0,4,0,0,0,6,3,18,35,35,40,53,32,0,0,217
SAL50178,0,8,8,3,3,7,5,0,0,37,3,9,8,7,3,6,0,0,0,41,65,112,223,205,238,149,41,5,0,1040
SAL50179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50180,4,0,10,0,10,7,7,0,0,36,0,3,3,3,3,10,0,0,0,36,63,57,172,211,317,295,110,14,0,1252
SAL50181,0,0,3,6,4,0,0,0,0,24,5,0,0,8,11,10,4,0,0,41,44,49,64,109,143,108,32,4,0,559
SAL50182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,13
SAL50183,6,10,10,16,19,14,3,0,0,71,0,5,8,15,17,11,3,0,0,58,136,109,269,381,417,311,139,10,0,1779
SAL50184,3,0,0,7,7,4,0,0,0,23,0,0,5,10,10,0,0,0,0,22,41,29,57,118,115,72,10,0,0,439
SAL50185,0,0,0,0,7,4,0,0,0,10,0,0,3,6,4,4,3,0,0,19,14,21,84,63,89,87,27,0,0,391
SAL50186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
SAL50187,3,6,18,19,8,0,0,0,0,56,0,10,19,13,14,4,0,0,0,59,78,129,261,278,219,151,18,0,0,1137
SAL50188,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,3,7,20,13,39,22,16,6,0,127
SAL50189,0,0,0,4,0,0,3,0,0,7,0,0,8,0,3,0,0,0,0,14,8,15,50,49,62,59,28,4,0,285
SAL50190,4,8,13,15,20,18,9,0,0,89,8,9,31,37,26,16,3,0,0,134,98,134,439,432,415,366,153,17,0,2055
SAL50191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,15,11,16,12,4,0,0,72
SAL50192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,11,13,18,8,3,0,74
SAL50193,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5,5,13,31,17,14,10,0,0,88
SAL50194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,6,5,14,16,27,10,0,0,80
SAL50196,0,0,0,5,0,7,0,0,0,9,0,0,3,4,0,4,0,0,0,10,9,21,52,72,59,58,24,4,0,301
