SAL_CODE_2021,Separate_house_Dwellings,Separate_house_Persons,sd_rw_tce_hse_th_wth_1_sty_Dw,sd_row_tce_hse_th_wth_1_sty_P,sd_rw_tce_hs_th_wth_2m_sty_Dw,sd_rw_tce_hs_th_wth_2m_stys_P,sd_row_tce_hse_th_wth_Tot_Dwg,sd_row_tce_hse_th_with_Tot_P,Flt_apart_In_1_2_stry_blck_D,Flt_apart_In_1_2_stry_blck_P,Flt_apart_In_a_3_stry_blck_D,Flt_apart_In_a_3_stry_blck_P,Flt_apart_In_4_8_stry_blck_D,Flt_apart_In_4_8_stry_blck_P,Flt_apart_In_9m_stry_blck_D,Flt_apart_In_9m_stry_blck_P,Flt_apart_Attachd_to_a_hse_D,Flt_apart_Attachd_to_a_hse_P,Flat_apartment_Tot_Dwe,Flat_apartment_Tot_Per,Oth_dwg_Caravan_D,Oth_dwg_Caravan_P,Oth_dwg_Cabin_hboat_D,Oth_dwg_Cabin_hboat_P,Oth_dwg_improv_hme_tnt_so_D,Oth_dwg_improv_hme_tnt_so_P,Oth_dwg_Hse_flt_att_shp_off_D,Oth_dwg_Hse_flt_att_shp_off_P,Other_dwelling_Tot_Dwellings,Other_dwelling_Tot_Persons,Dwelling_structure_ns_Dwgs,Dwelling_structure_ns_Persons,Tot_occupie_private_dwgs_Dwgs,Tot_occupie_private_dwgs_Psns,Unoccupied_private_dwgs_Dwgs,Unoccupied_private_dwgs_Psns,Total_Dwellings,Total_Persons
SAL50046,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,22,0,..,9,22
SAL50047,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0,..,7,8
SAL50048,53,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,58,132,18,..,70,132
SAL50049,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,0,..,13,18
SAL50050,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,47,10,..,31,47
SAL50051,465,1212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,474,1222,63,..,536,1222
SAL50052,60,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,139,11,..,69,139
SAL50053,2512,6323,2011,3690,233,501,2243,4192,20,30,0,0,0,0,0,0,3,13,24,39,0,0,0,0,0,0,0,0,0,0,4,5,4783,10560,368,..,5153,10560
SAL50054,12251,35319,318,562,102,163,421,720,0,0,39,52,0,0,0,0,7,13,47,68,36,63,26,30,3,7,53,75,117,172,8,17,12845,36304,816,..,13660,36304
SAL50055,3862,9748,1514,3262,146,340,1663,3600,179,289,0,0,0,0,0,0,8,6,183,300,0,0,0,0,4,3,0,0,4,3,10,14,5715,13664,573,..,6290,13664
SAL50056,263,538,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,3,3,9,12,0,3,271,554,82,..,358,554
SAL50057,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,21,0,..,13,21
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,3,7,3,3,4,14,0,..,4,14
SAL50059,42,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,45,79,15,..,58,79
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,..,4,3
SAL50061,5985,17488,284,452,70,135,344,585,0,0,0,0,0,0,0,0,10,25,10,25,0,0,0,0,3,3,0,0,3,3,3,4,6349,18102,290,..,6646,18102
SAL50062,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,4,..,20,29
SAL50063,33,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,36,57,3,..,44,57
SAL50064,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,56,3,..,28,56
SAL50065,25,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,69,9,..,33,69
SAL50066,132,334,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,6,3,4,6,140,357,13,..,152,357
SAL50067,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,19,0,..,10,19
SAL50068,450,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,4,10,0,0,0,0,0,3,0,0,0,3,0,0,455,1335,38,..,490,1335
SAL50069,3679,10792,152,300,16,33,167,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3851,11131,179,..,4026,11131
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL50071,23,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,26,68,0,..,28,68
SAL50072,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,5,..,13,16
SAL50073,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,3,..,6,16
SAL50074,18,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,43,3,..,21,43
SAL50075,313,877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,880,28,..,333,880
SAL50076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,9,0,..,7,9
SAL50077,107,296,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,114,302,9,..,125,302
SAL50078,3404,8407,736,1275,160,312,889,1582,194,286,24,38,58,90,0,0,4,4,279,417,0,0,0,0,3,6,0,0,3,6,10,24,4586,10432,396,..,4984,10432
SAL50079,1125,3286,138,282,32,82,177,366,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1299,3658,76,..,1375,3658
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL50081,1300,4094,37,82,22,34,60,114,16,32,0,0,57,102,0,0,0,0,75,133,140,295,85,146,0,0,0,0,229,440,0,3,1666,4782,212,..,1880,4782
SAL50082,1254,3086,0,9,12,23,20,30,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,0,3,0,3,1277,3127,122,..,1407,3127
SAL50083,5019,12349,867,1461,160,336,1030,1798,133,211,94,166,15,17,0,0,9,10,251,405,0,0,0,0,5,0,0,0,7,8,4,4,6298,14567,637,..,6937,14567
SAL50084,524,1133,137,180,9,7,145,190,10,17,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,0,0,5,0,5,3,10,686,1347,104,..,787,1347
SAL50085,56,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,56,117,26,..,83,117
SAL50086,1706,4233,273,495,115,233,388,725,12,19,52,86,0,0,0,0,13,26,79,133,0,0,0,0,5,5,0,0,6,4,6,9,2171,5099,217,..,2392,5099
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL50088,26,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,57,6,..,29,57
SAL50089,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,17,41,0,..,17,41
SAL50090,2713,7512,328,778,160,316,484,1095,19,29,163,279,0,0,0,0,4,8,186,326,0,0,0,0,3,0,0,0,3,0,5,13,3386,8949,269,..,3662,8949
SAL50091,2005,5098,232,470,17,35,249,504,3,3,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,0,3,10,2263,5614,164,..,2423,5614
SAL50092,960,2897,0,6,0,0,0,6,0,0,0,0,0,0,0,0,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,7,970,2914,51,..,1022,2914
SAL50093,3039,8349,273,504,16,17,287,521,31,37,0,0,0,0,0,0,6,11,43,52,0,0,0,0,0,0,0,0,0,0,0,4,3370,8926,199,..,3573,8926
SAL50094,46,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,111,0,..,45,111
SAL50095,11,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,21,3,..,19,21
SAL50096,20,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,55,0,..,19,55
SAL50097,43,103,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,45,116,6,..,52,116
SAL50098,2725,7904,108,206,42,61,148,268,127,177,17,27,0,0,0,0,0,4,142,210,0,3,0,0,0,0,0,0,0,3,3,10,3015,8393,149,..,3169,8393
SAL50099,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,33,6,..,15,33
SAL50100,34,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,39,104,7,..,44,104
SAL50101,57,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,146,6,..,69,146
SAL50102,1508,3773,81,148,0,0,81,148,0,0,0,0,0,0,0,0,8,20,8,20,0,6,0,0,0,0,0,0,0,6,0,0,1596,3944,87,..,1690,3944
SAL50103,89,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,93,270,13,..,102,270
SAL50104,559,1240,76,147,14,16,87,164,0,0,22,32,0,0,0,0,0,0,22,32,0,0,0,0,0,0,10,14,9,12,7,11,681,1454,76,..,752,1454
SAL50105,2264,5362,283,506,300,602,587,1109,145,254,6,8,18,39,0,0,7,11,180,310,0,0,0,0,3,3,0,0,7,4,5,4,3040,6786,380,..,3418,6786
SAL50106,84,173,6,8,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,4,0,0,96,186,50,..,143,186
SAL50107,58,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,63,149,3,..,63,149
SAL50108,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,4,..,16,28
SAL50109,57,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,144,9,..,69,144
SAL50110,1687,5740,22,49,3,10,27,64,0,0,25,35,0,0,0,0,4,13,30,49,0,0,0,0,0,0,0,0,0,0,0,3,1746,5851,80,..,1828,5851
SAL50111,1286,3329,1299,2997,397,992,1701,3990,324,432,51,76,114,136,0,0,0,0,495,641,0,0,0,0,4,7,0,0,3,5,6,15,3492,7979,454,..,3952,7979
SAL50112,518,1126,54,83,38,74,98,152,34,53,15,24,0,0,0,0,0,0,48,73,0,0,0,0,0,4,0,0,0,4,11,9,676,1372,153,..,822,1372
SAL50113,18,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,38,0,..,15,38
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL50115,1995,6011,5,14,9,13,16,25,10,10,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,2017,6054,130,..,2152,6054
SAL50116,487,1020,15,20,0,0,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,6,6,6,11,0,0,513,1055,141,..,650,1055
SAL50117,1924,5132,324,498,36,56,359,554,0,0,0,0,0,0,0,0,5,14,5,14,0,0,0,0,3,4,0,0,3,4,14,13,2307,5709,147,..,2455,5709
SAL50118,228,662,0,0,0,0,0,0,3,13,0,0,0,0,0,0,4,5,8,13,0,0,0,0,4,7,0,0,4,7,0,0,241,680,12,..,256,680
SAL50119,1883,4871,679,1190,109,230,785,1418,127,151,25,33,0,0,0,0,0,3,155,184,0,0,0,0,7,3,0,0,7,3,21,45,2842,6518,233,..,3074,6518
SAL50120,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,..,9,20
SAL50121,49,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27,37,56,4,4,0,0,62,83,0,4,114,209,10,..,122,209
SAL50122,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,0,..,4,18
SAL50123,474,1403,67,125,27,49,93,168,11,21,0,0,0,0,0,0,0,0,11,21,3,6,0,0,0,5,8,20,16,22,8,11,594,1625,68,..,660,1625
SAL50124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SAL50125,22,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,60,4,..,27,60
SAL50126,449,1037,0,3,0,3,4,6,14,27,0,0,0,0,0,0,0,0,17,29,4,5,4,3,0,0,0,0,8,9,5,0,482,1083,102,..,581,1083
SAL50127,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,9,0,..,3,9
SAL50128,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,..,0,4
SAL50129,522,1194,4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,12,20,4,4,0,0,0,0,15,28,0,0,537,1220,201,..,741,1220
SAL50130,20,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,50,5,..,27,50
SAL50131,32,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,88,5,..,41,88
SAL50132,408,954,126,198,36,60,161,261,21,23,0,0,0,0,0,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,0,0,587,1234,88,..,668,1234
SAL50133,24,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,29,0,0,0,0,0,0,18,29,0,0,42,84,4,..,42,84
SAL50134,16,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,41,0,..,20,41
SAL50135,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,39,7,..,19,39
SAL50136,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,40,16,..,32,40
SAL50137,426,1035,28,40,0,0,28,40,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,0,3,0,0,7,12,3,3,463,1092,123,..,585,1092
SAL50138,15,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,33,0,..,16,33
SAL50139,14,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,42,0,..,18,42
SAL50140,54,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,55,105,17,..,71,105
SAL50141,18,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,52,9,..,21,52
SAL50142,87,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,84,210,6,..,100,210
SAL50143,47,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,9,26,18,33,10,16,72,194,6,..,75,194
SAL50144,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,..,4,9
SAL50145,56,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,56,133,8,..,59,133
SAL50146,11,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,30,7,..,20,30
SAL50147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,6,0,..,7,6
SAL50148,1479,4187,524,948,94,201,614,1152,21,20,15,23,52,88,0,0,0,0,85,128,0,0,0,0,0,0,0,0,0,0,0,5,2180,5470,224,..,2407,5470
SAL50149,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,7,..,15,18
