SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL50057,0,0,0,4,0,3,7,0,0,21
SAL50058,0,0,0,0,3,0,6,0,0,14
SAL50059,10,6,4,13,9,17,15,5,3,79
SAL50060,0,0,0,0,0,0,0,0,0,3
SAL50061,3540,2591,2305,2182,2425,2702,1498,652,190,18092
SAL50062,7,0,0,10,0,5,4,7,0,29
SAL50063,0,5,0,8,6,11,20,12,0,57
SAL50064,13,0,3,5,6,10,11,3,0,56
SAL50065,4,5,8,3,11,20,8,0,0,69
SAL50066,89,26,33,50,52,51,36,32,0,359
SAL50067,0,85,213,185,220,130,19,0,0,848
SAL50068,203,207,158,142,199,208,143,61,18,1338
SAL50069,3111,1435,2180,1967,1191,732,367,107,18,11112
SAL50070,0,0,0,0,0,0,0,0,0,0
SAL50071,19,3,7,12,17,3,3,4,0,68
SAL50072,0,0,0,0,6,4,5,0,0,16
SAL50073,0,5,0,0,3,0,3,0,0,16
SAL50074,8,0,8,7,0,10,10,0,0,45
SAL50075,136,130,65,94,141,134,103,56,13,876
SAL50076,0,7,64,80,92,45,6,0,0,298
SAL50077,51,37,17,36,46,43,43,29,3,304
SAL50078,1881,1054,1379,1574,1447,1347,1037,544,264,10527
SAL50079,700,493,348,497,527,433,392,239,101,3739
SAL50080,0,0,0,0,0,0,0,0,0,0
SAL50081,1380,459,774,916,646,390,197,44,0,4813
SAL50082,643,360,339,369,385,378,347,239,74,3129
SAL50083,2617,1456,2277,2349,2040,1718,1300,737,431,14916
SAL50084,200,115,196,166,199,196,154,95,40,1362
SAL50085,18,3,11,19,24,23,14,5,3,117
SAL50086,916,517,579,717,747,638,542,318,139,5123
SAL50087,0,0,0,0,0,0,0,0,0,0
SAL50088,12,4,0,6,7,14,4,0,0,57
SAL50089,3,11,6,7,7,0,0,0,0,41
SAL50090,1767,1155,1697,1537,1001,714,630,320,97,8924
SAL50091,1077,605,743,890,782,665,483,262,113,5614
SAL50092,570,411,218,362,483,444,261,141,30,2914
SAL50093,1741,1122,1160,1194,1092,1232,914,343,108,8918
SAL50094,21,20,7,18,14,14,9,3,5,111
SAL50095,15,12,52,37,25,26,32,6,0,198
SAL50096,12,4,4,5,9,4,5,6,0,55
SAL50097,22,4,8,10,16,20,22,8,0,116
SAL50098,1968,1074,1303,1384,1161,799,473,165,57,8387
SAL50099,12,0,6,0,0,8,0,0,0,33
SAL50100,14,15,16,0,17,18,14,0,0,104
SAL50101,30,10,8,19,35,20,14,4,0,146
SAL50102,802,419,600,633,474,503,359,121,42,3943
SAL50103,35,43,15,16,38,63,39,19,3,271
SAL50104,236,159,209,207,186,210,156,56,27,1451
SAL50105,1076,860,1460,1115,863,719,555,263,120,7033
SAL50106,36,10,21,27,28,38,16,10,9,193
SAL50107,27,15,10,18,32,25,10,10,0,150
SAL50108,7,5,6,3,0,5,4,0,0,28
SAL50109,36,16,12,22,14,18,22,10,0,144
SAL50110,1417,885,847,952,769,562,283,107,22,5835
SAL50111,910,1915,2118,1052,589,478,549,750,673,9043
SAL50112,215,163,162,183,197,205,177,83,28,1422
SAL50113,8,0,7,4,9,6,4,0,0,38
SAL50114,0,0,0,0,0,0,0,0,0,0
SAL50115,1746,764,945,1163,730,375,216,86,12,6039
SAL50116,134,70,73,110,118,168,231,124,46,1061
SAL50117,967,688,616,664,788,831,612,373,177,5712
SAL50118,112,93,42,71,114,114,78,36,13,680
SAL50119,1061,794,617,783,941,918,794,478,261,6643
SAL50120,0,5,0,0,6,0,4,0,0,20
SAL50121,30,18,10,19,41,38,43,18,0,209
SAL50122,3,0,3,3,0,0,6,0,0,18
SAL50123,416,150,319,299,169,164,70,19,7,1616
SAL50124,0,0,0,0,0,0,0,0,0,0
SAL50125,9,5,11,3,12,8,0,4,0,60
SAL50126,217,114,79,114,150,192,179,98,29,1172
SAL50127,0,0,3,4,0,0,0,0,0,9
SAL50128,0,0,0,0,0,0,0,0,0,4
SAL50129,222,109,132,167,171,192,171,53,14,1223
SAL50130,7,0,7,4,9,14,3,0,0,50
SAL50131,10,15,3,6,15,7,19,0,0,88
SAL50132,181,123,115,135,175,189,205,161,104,1388
SAL50133,15,0,3,7,6,23,20,8,6,84
SAL50134,4,3,5,0,5,10,7,6,0,41
SAL50135,7,3,6,10,4,7,3,0,0,39
SAL50136,6,3,6,0,0,14,5,3,0,40
SAL50137,275,102,202,235,234,247,132,54,13,1498
SAL50138,11,0,0,9,4,10,0,0,0,33
SAL50139,3,0,3,0,9,14,3,0,0,42
SAL50140,9,8,4,5,11,33,28,9,3,108
SAL50141,18,0,0,8,17,0,13,0,0,52
SAL50142,34,21,7,13,39,47,35,15,0,210
SAL50143,54,22,29,28,36,19,9,4,0,199
SAL50144,3,0,0,0,0,0,0,0,0,9
SAL50145,18,18,0,20,21,23,24,5,0,133
SAL50146,3,0,7,0,9,8,0,3,0,30
SAL50147,0,5,29,22,26,20,3,0,0,118
SAL50148,1004,711,469,709,750,662,540,404,303,5549
SAL50149,3,0,4,3,3,4,4,0,0,18
SAL50150,0,0,0,0,0,0,0,0,0,0
SAL50151,16,3,8,10,20,29,28,20,3,131
SAL50152,7,5,4,0,12,7,3,0,0,45
SAL50153,4,0,3,0,4,6,4,4,0,35
SAL50154,0,0,0,0,0,0,0,0,0,10
SAL50155,9,4,0,3,5,4,4,0,0,36
SAL50156,9,0,4,6,0,3,6,0,0,28
SAL50157,13,10,5,7,21,21,23,9,0,111
SAL50158,12,0,8,10,8,9,13,6,0,62
SAL50159,1102,572,763,706,640,699,411,112,22,5026
SAL50160,9,3,0,8,6,9,19,0,0,57
SAL50161,104,65,59,89,102,168,191,75,15,859
SAL50162,94,51,12,58,79,74,58,27,6,455
SAL50163,19,3,4,10,16,8,7,5,0,68
SAL50164,18,0,4,12,17,12,8,4,0,85
SAL50165,11,0,8,12,6,18,30,8,5,106
SAL50166,5,0,0,6,0,4,3,3,0,31
SAL50167,23,0,7,13,10,10,13,0,0,81
SAL50168,126,69,83,76,90,74,72,43,15,653
SAL50169,259,105,95,162,165,214,149,76,10,1239
SAL50170,8,4,10,4,6,0,0,0,0,28
SAL50171,14,5,4,5,3,7,4,0,0,37
SAL50172,159,65,67,97,111,156,126,97,30,907
SAL50173,2433,873,2382,1638,654,346,144,42,0,8512
SAL50174,27,10,18,24,14,27,13,11,0,141
SAL50175,9,0,4,3,4,16,10,3,0,42
SAL50176,3,0,7,3,4,3,0,0,0,28
SAL50177,59,24,39,38,51,80,81,34,4,426
SAL50178,414,291,278,264,312,235,183,88,58,2132
SAL50179,0,0,0,0,0,0,0,0,0,0
SAL50180,485,236,231,282,410,489,575,258,77,3064
SAL50181,195,132,70,138,168,143,105,33,7,983
SAL50182,5,5,0,5,3,6,6,0,0,25
SAL50183,676,353,338,478,517,526,691,492,385,4464
SAL50184,211,94,66,131,116,81,18,0,0,724
SAL50185,206,91,139,111,146,142,125,58,13,1038
SAL50186,0,0,0,0,0,3,0,3,0,20
SAL50187,819,392,460,428,342,264,169,55,11,2941
SAL50188,43,30,23,17,46,37,37,10,4,240
SAL50189,123,53,66,77,99,107,91,69,38,725
SAL50190,811,528,761,669,660,665,587,209,44,4930
SAL50191,18,8,15,11,16,14,7,4,0,101
SAL50192,40,15,22,21,21,44,34,14,0,210
SAL50193,46,4,16,34,26,22,19,0,0,175
SAL50194,0,0,0,0,0,0,0,0,0,0
SAL50195,26,11,7,17,21,57,86,19,0,250
SAL50196,143,57,80,95,81,89,113,62,22,741
SAL50197,221,148,127,124,172,159,140,77,17,1179
SAL50198,3,0,0,5,3,3,4,4,0,17
SAL50199,4,8,0,0,12,15,7,5,0,53
SAL50200,638,409,722,710,506,385,128,27,0,3527
SAL50201,1494,841,591,1082,952,822,1049,667,368,7865
SAL50202,0,0,0,0,0,0,0,0,0,0
SAL50203,13,6,9,11,17,7,10,0,0,77
SAL50204,31,9,10,24,17,39,39,15,0,179
SAL50205,3,0,6,0,11,7,9,5,0,35
SAL50206,0,0,0,0,0,0,0,0,0,6
SAL50207,1057,760,679,628,809,703,518,197,35,5388
SAL50208,0,0,0,0,0,0,3,0,0,9
SAL50209,8,0,6,4,3,14,7,3,0,37
SAL50210,439,380,497,516,621,675,556,279,167,4136
SAL50211,11,0,5,4,0,3,0,0,0,22
SAL50212,5,5,0,4,3,9,0,4,0,29
SAL50213,10,3,0,16,6,0,7,4,0,55
SAL50214,10,0,3,8,5,8,10,0,5,50
SAL50215,8,0,0,3,0,9,8,0,0,28
SAL50216,0,0,0,0,0,0,0,0,0,0
SAL50217,199,75,69,125,100,93,68,35,4,766
SAL50218,0,0,0,3,0,0,0,3,0,11
SAL50219,8,28,129,93,46,25,9,9,0,346
SAL50220,0,0,0,0,0,0,0,0,0,3
SAL50221,861,547,313,550,730,562,284,65,8,3922
SAL50222,78,22,30,54,60,31,37,15,0,335
SAL50223,20,12,6,17,20,8,11,3,0,102
SAL50224,8,3,3,0,0,0,0,0,0,20
SAL50225,0,0,0,0,6,0,5,0,0,11
SAL50226,298,382,685,568,551,506,340,145,32,3509
SAL50227,113,80,178,116,67,52,24,18,0,638
SAL50228,183,172,191,171,224,292,358,219,82,1892
SAL50229,3186,2058,1833,1911,1850,1063,730,324,68,13026
SAL50230,5429,1995,3277,2999,1831,1334,835,368,117,18193
SAL50231,1514,722,1281,1160,1162,1430,1511,534,49,9365
SAL50232,4,3,12,3,0,6,4,0,0,42
SAL50233,0,0,0,0,4,3,0,0,0,6
SAL50234,48,11,25,26,24,23,24,11,3,193
SAL50235,293,178,215,207,252,200,201,257,164,1964
SAL50236,5,5,3,0,4,10,11,7,0,45
SAL50237,0,0,0,0,5,0,3,0,0,9
SAL50238,136,79,94,61,51,48,23,0,0,493
SAL50239,4,23,9,0,0,0,0,0,0,38
SAL50240,910,555,569,582,493,552,451,188,58,4353
SAL50241,8,5,8,10,5,0,0,0,0,38
SAL50242,0,0,6,0,0,3,5,0,0,12
SAL50243,11,6,6,9,13,12,3,9,0,71
SAL50244,9,0,0,0,3,5,0,0,0,24
SAL50245,6713,4958,4285,5331,4804,3853,2568,1049,414,33972
SAL50246,1055,1007,2075,1020,521,464,356,180,66,6746
SAL50247,0,0,0,0,0,0,0,0,0,4
SAL50248,70,41,56,49,71,104,106,23,9,531
SAL50249,0,0,0,4,0,0,0,0,0,11
SAL50250,23,13,36,23,38,60,86,24,0,301
SAL50251,526,268,236,310,365,314,292,138,39,2471
SAL50252,13,16,5,7,23,27,17,15,0,127
SAL50253,0,19,63,65,46,27,21,0,0,241
SAL50254,0,3,0,4,4,3,7,8,0,26
SAL50255,78,50,50,52,65,71,43,9,6,435
SAL50256,4,0,0,3,6,3,4,0,0,27
SAL50257,0,0,0,0,0,0,0,0,0,3
SAL50258,17,8,13,10,15,26,11,7,6,107
SAL50259,19,13,7,6,23,18,23,3,3,120
SAL50260,237,168,101,139,215,137,96,36,3,1130
SAL50261,862,613,702,605,603,668,511,312,171,5038
SAL50262,1574,723,445,976,942,763,967,471,189,7054
SAL50263,976,767,1399,1054,765,644,591,270,121,6596
SAL50264,20,3,8,14,8,13,28,11,0,99
SAL50265,127,104,67,62,97,110,109,50,16,737
SAL50266,62,32,43,64,44,65,70,31,10,413
SAL50267,43,50,93,72,56,93,115,62,19,597
SAL50268,0,0,0,0,0,0,0,0,0,0
SAL50269,1560,1049,680,993,1172,837,464,188,37,6980
SAL50270,9,5,0,7,9,6,9,3,0,44
SAL50271,21,4,12,10,9,10,0,0,0,63
SAL50272,20,12,13,17,14,13,3,0,0,90
SAL50273,826,452,467,502,452,426,394,232,60,3814
SAL50274,119,291,533,418,281,190,95,35,9,1986
SAL50275,8,33,73,60,74,59,3,0,0,316
SAL50276,21,17,21,18,16,35,22,12,0,174
SAL50277,1896,720,1243,1369,855,644,419,172,36,7348
SAL50278,62,108,106,84,102,113,134,89,51,845
SAL50279,66,22,58,42,53,102,118,46,17,519
SAL50280,26,12,22,19,27,40,30,8,0,183
SAL50281,249,154,147,186,188,199,159,61,9,1348
SAL50282,0,5,0,4,6,5,0,0,0,14
SAL50283,8,4,8,0,12,6,6,3,0,57
SAL50284,18,4,18,18,19,27,14,8,0,134
SAL50285,15,7,6,11,15,18,15,15,4,107
SAL50286,10,5,4,11,12,5,10,9,0,66
SAL50287,20,0,6,12,13,6,13,6,0,68
SAL50288,0,10,7,3,13,10,8,7,0,54
SAL50289,0,9,65,38,41,28,4,0,0,181
SAL50290,302,205,169,199,273,307,189,68,21,1737
SAL50291,189,104,91,112,169,171,118,42,9,1010
SAL50292,12,0,0,9,0,3,4,4,0,33
SAL50293,681,464,357,508,520,429,327,201,56,3545
SAL50294,1214,968,368,561,1075,962,606,556,303,6617
SAL50295,50,22,31,31,44,60,56,16,4,312
SAL50296,1315,1229,1037,960,1121,1020,974,876,448,8990
SAL50297,2981,1719,2377,2115,1684,1405,825,352,68,13518
SAL50298,0,0,0,0,0,0,0,0,0,3
SAL50299,11,0,7,6,11,43,53,27,0,160
SAL50300,0,0,0,0,0,0,0,0,0,0
SAL50301,1521,1166,1708,1283,990,818,595,349,187,8620
SAL50302,6,3,3,5,5,5,3,6,0,39
SAL50303,0,0,0,0,0,0,0,0,0,0
SAL50304,155,273,451,205,156,115,81,29,6,1472
SAL50305,4,6,13,6,6,6,0,0,0,38
SAL50306,6,9,3,0,3,14,7,3,3,37
SAL50307,25,5,0,13,9,13,18,4,0,99
SAL50308,0,4,0,5,3,0,5,0,0,15
SAL50309,279,221,326,337,287,194,169,80,38,1943
SAL50310,1367,779,811,843,916,1027,973,506,167,7381
SAL50311,10,8,3,6,14,6,9,0,0,52
SAL50312,143,79,87,89,85,79,52,42,18,661
SAL50313,27,26,21,21,28,35,39,13,0,205
SAL50314,7,3,0,7,3,4,11,0,0,39
SAL50315,3,0,6,0,4,6,0,3,0,17
SAL50316,1948,1880,2681,2068,1514,1498,1496,897,629,14617
SAL50317,65,25,19,38,28,34,35,12,0,250
SAL50318,578,466,250,409,552,675,431,178,53,3596
SAL50319,0,4,0,0,4,5,0,6,0,16
SAL50320,752,441,387,407,452,536,640,431,162,4200
SAL50321,845,596,476,603,733,782,706,369,104,5210
SAL50322,98,68,51,63,98,106,66,28,12,591
SAL50323,4,14,36,54,48,34,0,0,0,201
SAL50324,922,619,1075,846,685,528,467,368,94,5591
SAL50325,361,215,149,239,297,211,146,60,30,1722
SAL50326,5,3,0,0,3,0,0,3,0,18
SAL50327,121,73,126,134,151,173,139,28,4,956
SAL50328,0,0,0,0,0,0,5,0,0,13
SAL50329,1170,758,839,699,817,931,782,437,165,6599
SAL50330,101,53,36,54,56,52,49,21,7,419
SAL50331,37,14,17,18,25,11,4,0,0,126
SAL50332,12,0,3,9,5,11,12,5,3,54
SAL50333,23,7,9,17,19,31,23,5,0,130
SAL50334,69,41,27,48,115,142,128,50,6,626
SAL50335,20,19,21,21,20,42,33,14,0,186
SAL50336,4,0,0,0,0,0,0,0,0,8
SAL50337,12,3,12,3,16,7,0,0,4,65
SAL50338,137,72,156,145,77,184,229,71,5,1070
SAL50339,0,0,0,0,3,4,0,0,0,13
SAL50340,97,57,78,66,77,86,115,60,35,672
SAL50341,27,28,74,69,62,45,14,3,0,311
SAL50342,0,4,11,3,0,15,7,0,0,39
SAL50343,1210,974,819,794,1055,1000,851,521,202,7417
SAL50344,10,3,11,6,13,6,4,0,0,51
SAL50345,0,3,7,0,5,3,0,0,0,19
SAL50346,7,0,3,8,9,10,10,0,0,51
SAL50347,641,154,212,473,351,271,166,68,23,2355
SAL50348,5,0,0,0,8,3,0,3,0,17
SAL50349,4,3,3,8,6,6,0,0,3,36
SAL50350,1315,606,1212,998,722,600,527,263,62,6306
SAL50351,6,4,7,3,4,7,3,4,0,39
SAL50352,100,37,35,57,61,78,57,38,4,465
SAL50353,303,1918,731,355,145,153,247,182,56,4083
SAL50354,36,26,24,27,35,38,43,17,3,250
SAL50355,28,10,8,13,17,31,17,10,0,145
SAL50356,6,4,5,4,16,22,18,3,0,82
SAL50357,68,24,45,38,57,92,81,27,7,433
SAL50358,11,0,7,3,3,7,0,0,0,23
SAL50359,8,13,24,17,38,70,80,26,0,282
SAL50360,3,0,0,0,0,3,6,0,0,21
SAL50361,21,6,23,18,6,9,0,0,0,83
SAL50362,0,0,0,0,0,5,0,5,0,16
SAL50363,0,56,182,140,96,50,9,0,0,541
SAL50364,149,214,102,85,87,87,74,43,23,864
SAL50365,10,4,5,6,12,11,10,3,0,57
SAL50366,3,3,0,3,0,8,0,0,0,12
SAL50367,1209,988,769,779,1064,980,528,264,63,6652
SAL50368,23,15,20,13,22,29,20,7,0,152
SAL50369,9,0,0,3,4,5,0,3,0,29
SAL50370,0,17,36,37,35,33,10,0,0,170
SAL50371,272,216,171,221,220,170,137,87,17,1503
SAL50372,13,14,14,9,42,52,37,15,3,188
SAL50373,6,3,4,0,4,14,13,0,5,57
SAL50374,810,640,248,452,637,556,532,306,86,4268
SAL50375,193,75,119,130,86,111,73,52,25,857
SAL50376,2423,1330,1171,1407,1359,891,563,275,42,9457
SAL50377,20,24,16,13,27,26,12,0,3,139
SAL50378,363,106,148,241,226,174,78,30,0,1353
SAL50379,0,0,0,0,0,0,0,0,0,5
SAL50380,421,178,260,258,198,245,198,39,11,1812
SAL50381,12,0,4,3,3,0,0,3,0,26
SAL50382,45,25,35,30,40,53,34,26,0,296
SAL50383,3,0,7,6,14,5,5,4,4,36
SAL50384,1633,1219,695,1140,1224,672,382,212,52,7238
SAL50385,0,0,0,0,3,5,3,4,0,8
SAL50386,121,70,64,61,77,66,56,43,10,565
SAL50387,94,76,54,58,123,128,71,26,10,648
SAL50388,65,21,28,45,47,68,42,26,12,355
SAL50389,316,190,169,191,218,230,152,58,13,1537
SAL50390,750,373,226,474,549,504,426,237,51,3589
SAL50391,3,0,0,3,5,9,12,0,0,32
SAL50392,0,4,0,4,6,0,0,0,0,11
SAL50393,3,0,4,0,10,3,0,0,0,27
SAL50394,3,0,0,0,3,5,3,0,0,21
SAL50395,0,0,0,0,8,3,0,0,0,11
SAL50396,1432,673,625,795,819,794,974,466,56,6633
SAL50397,1464,579,1322,1122,478,241,137,27,10,5379
SAL50398,4,6,11,4,3,6,9,0,0,43
SAL50399,78,40,21,40,46,64,26,9,0,323
SAL50400,221,120,99,116,149,117,58,12,6,894
SAL50401,6,3,0,7,15,6,21,4,0,59
SAL50402,24,4,5,16,11,15,8,0,0,84
SAL50403,283,108,276,229,242,499,583,199,18,2441
SAL50404,438,285,202,315,339,375,406,263,116,2732
SAL50405,687,385,628,469,499,576,482,127,26,3876
SAL50406,3,0,0,4,0,0,0,0,0,20
SAL50407,15,4,5,6,13,12,16,6,0,77
SAL50408,8,5,0,5,5,10,4,0,0,31
SAL50409,3713,2772,2916,3052,3249,2999,2473,1821,790,23783
SAL50410,3,4,5,0,4,0,0,0,0,8
SAL50411,32,10,9,25,32,33,23,6,0,179
SAL50412,41,9,14,24,30,26,19,4,0,164
SAL50413,5,3,0,9,5,4,9,0,0,43
SAL50414,6,15,17,8,6,10,0,0,0,70
SAL50415,887,301,546,621,474,348,169,48,7,3405
SAL50416,220,112,123,169,169,274,266,133,20,1485
SAL50417,14,0,6,11,5,15,0,0,0,57
SAL50418,0,0,0,0,0,5,0,0,0,7
SAL50419,552,296,274,344,340,397,382,250,99,2921
SAL50420,13,0,10,5,3,13,11,0,0,52
SAL50421,10,11,7,5,15,18,13,5,0,84
SAL50422,0,0,0,0,0,0,0,0,0,0
SAL50423,1698,1043,1433,1417,1231,990,634,328,148,8921
SAL50424,77,40,27,53,61,46,82,34,10,428
SAL50425,17,3,7,7,3,7,7,0,0,52
SAL50426,385,178,234,191,210,144,121,40,7,1512
SAL50427,3,0,0,0,3,0,4,0,0,10
SAL50428,36,8,16,30,25,34,32,0,0,182
SAL50429,10,0,5,6,9,4,0,0,0,33
SAL50430,12,0,6,9,16,5,5,0,0,56
SAL50431,899,651,570,585,777,962,1078,762,328,6617
SAL50432,5,0,0,4,0,5,3,6,0,23
SAL50433,9,0,3,4,15,11,8,3,0,51
SAL50434,0,0,4,0,4,3,0,4,0,16
SAL50435,42,29,23,23,35,55,36,20,4,265
SAL50436,23,107,12,11,19,35,18,4,3,243
SAL50437,41,14,30,24,44,49,43,26,6,281
SAL50438,3456,1686,1152,2215,2244,1697,1851,982,318,15594
SAL50439,0,0,0,0,0,0,0,0,0,0
SAL50440,6,0,5,0,0,3,0,0,0,9
SAL50441,1393,461,629,962,823,630,738,369,93,6093
SAL50442,106,43,103,118,74,122,74,3,0,637
SAL50443,7,7,5,3,13,5,12,6,0,57
SAL50444,0,0,0,0,4,0,0,0,0,6
SAL50445,3,0,4,5,0,5,3,5,0,29
SAL50446,90,42,48,54,75,80,79,36,16,516
SAL50447,11,5,11,9,9,16,31,12,3,107
SAL50448,3,0,0,7,11,6,3,6,0,39
SAL50449,6,0,0,4,4,4,0,3,0,32
SAL50450,15,4,10,7,17,11,7,8,0,84
SAL50451,17,0,3,13,5,3,9,4,0,47
SAL50452,580,418,455,425,483,507,493,367,130,3859
SAL50453,1366,842,1469,1041,636,528,331,130,44,6377
SAL50454,192,78,90,114,110,166,190,119,13,1081
SAL50455,3,9,0,4,6,7,3,0,0,31
SAL50456,5,0,0,0,0,0,0,0,0,9
SAL50457,1362,895,710,893,1156,1046,813,463,259,7605
SAL50458,6,4,5,6,7,27,25,4,0,85
SAL50459,3,10,3,0,12,7,4,0,0,44
SAL50460,0,0,0,0,4,0,0,0,0,3
SAL50461,0,3,0,0,4,0,0,0,0,7
SAL50462,0,5,0,10,3,11,19,6,0,50
SAL50463,3,0,0,3,0,3,3,0,0,17
SAL50464,939,1287,3600,2285,1499,1424,1001,371,108,12511
SAL50465,37,16,22,19,35,41,30,6,0,198
SAL50466,0,3,0,0,8,0,3,0,0,19
SAL50467,20,7,15,18,30,91,101,42,11,342
SAL50468,1728,1251,2213,1764,1359,1002,646,292,111,10370
SAL50469,5,0,3,7,6,11,0,6,0,22
SAL50470,15,0,3,5,11,4,5,0,0,49
SAL50471,23,11,12,12,20,29,17,3,3,121
SAL50472,1652,944,1022,1022,1011,930,830,626,302,8344
SAL50473,667,392,548,537,429,420,365,196,60,3628
SAL50474,894,444,514,635,543,624,527,268,93,4548
SAL50475,23,0,13,10,7,16,5,0,0,71
SAL50476,1033,419,821,541,355,206,143,47,0,3562
SAL50477,39,34,32,34,39,186,317,94,5,782
SAL50478,0,3,0,0,6,3,3,0,0,21
SAL50479,5,0,0,0,0,0,7,0,0,11
SAL50480,27,14,7,16,19,24,17,0,0,135
SAL50481,51,24,28,27,48,71,63,21,0,339
SAL50482,6437,3242,3367,3738,2961,1893,1199,790,332,23964
SAL50483,4,5,6,0,8,3,18,6,0,53
SAL50484,622,367,622,596,444,350,241,188,139,3570
SAL50485,0,9,0,0,11,7,5,0,0,28
SAL50486,16,28,19,18,30,62,85,63,49,371
SAL50487,14,8,10,27,24,32,30,15,0,161
SAL50488,0,0,0,0,0,0,0,0,0,0
SAL50489,0,0,0,0,0,5,0,0,0,6
SAL50490,0,0,0,0,0,0,0,0,0,3
SAL50491,614,375,399,390,433,635,1067,935,259,5102
SAL50492,288,203,303,259,298,373,291,275,153,2439
SAL50493,0,0,0,0,0,0,0,0,0,0
SAL50494,5,3,0,7,12,19,9,0,0,54
SAL50495,0,0,0,0,0,0,0,0,0,0
SAL50496,0,0,0,6,0,3,6,0,0,18
SAL50497,682,386,754,627,549,718,878,341,41,4984
SAL50498,37,27,43,22,37,99,123,21,0,411
SAL50499,7,7,4,3,10,10,10,3,0,53
SAL50500,791,521,476,493,654,819,860,452,128,5198
SAL50501,29,10,19,18,38,40,29,23,3,210
SAL50502,718,466,570,604,487,477,541,294,153,4319
SAL50503,3,4,0,0,4,4,5,3,0,25
SAL50504,0,0,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0,0,0
SAL50507,0,0,0,0,3,0,11,0,0,16
SAL50508,251,167,261,206,214,234,161,38,4,1542
SAL50509,0,4,0,0,0,0,0,0,0,0
SAL50510,1879,1150,517,1027,1380,1178,722,395,161,8419
SAL50511,0,0,0,0,0,0,0,0,0,0
SAL50512,37,17,34,29,36,52,35,11,3,252
SAL50513,13,7,28,49,23,17,10,5,0,146
