SAL_CODE_2021,Num_mot_veh_per_dwg_None_Dwgs,Nu_mo_veh_pe_dw_1_mo_veh_Dwgs,Nu_mo_ve_pe_dw_2_mot_veh_Dwgs,Nu_mo_ve_pe_dw_3_mot_veh_Dwgs,Nu_mo_ve_pe_dw_4_mo_veh_Dwgs,Num_mot_veh_per_dwg_Tot_Dwgs,Num_mot_veh_ns_Dwgs,Total_Dwellings
SAL50123,15,175,184,79,61,511,82,594
SAL50124,0,0,0,0,0,0,0,0
SAL50125,0,7,5,3,8,19,0,22
SAL50126,12,109,162,91,59,435,42,482
SAL50127,4,0,0,0,0,8,0,3
SAL50128,0,0,0,0,0,0,0,0
SAL50129,4,155,241,80,35,511,29,537
SAL50130,0,0,7,4,9,18,6,22
SAL50131,0,8,16,8,4,29,9,34
SAL50132,30,235,203,64,34,564,28,587
SAL50133,0,18,16,0,4,44,0,42
SAL50134,0,5,6,4,3,18,3,16
SAL50135,0,5,0,5,3,15,0,17
SAL50136,0,3,4,5,4,13,4,17
SAL50137,10,137,159,72,34,414,48,463
SAL50138,0,3,0,0,3,12,3,15
SAL50139,0,3,4,3,4,16,0,18
SAL50140,0,16,21,10,4,52,4,55
SAL50141,0,0,9,6,0,11,3,18
SAL50142,0,8,31,19,17,73,13,84
SAL50143,0,13,18,14,6,55,18,72
SAL50144,0,0,0,0,0,4,0,4
SAL50145,0,9,14,8,11,51,5,56
SAL50146,0,3,0,3,0,11,3,11
SAL50147,0,0,3,0,0,7,0,7
SAL50148,127,760,838,279,121,2131,54,2180
SAL50149,0,5,4,0,0,6,0,6
SAL50150,0,0,0,0,0,0,0,0
SAL50151,3,21,20,11,10,60,4,68
SAL50152,0,4,6,3,4,19,3,21
SAL50153,0,3,4,5,4,16,0,17
SAL50154,0,3,3,0,0,4,0,7
SAL50155,0,3,8,6,0,20,0,20
SAL50156,0,0,5,3,0,9,0,7
SAL50157,0,8,20,12,3,45,4,49
SAL50158,0,3,13,3,6,25,5,31
SAL50159,104,586,606,255,148,1690,379,2066
SAL50160,0,3,9,3,3,21,6,26
SAL50161,3,124,163,62,36,391,15,406
SAL50162,0,20,71,36,21,150,5,155
SAL50163,0,4,8,6,3,29,3,30
SAL50164,0,3,9,6,8,31,5,30
SAL50165,0,7,15,14,10,42,5,52
SAL50166,0,4,4,3,6,12,0,12
SAL50167,0,3,11,6,3,28,0,30
SAL50168,6,71,110,48,27,254,3,260
SAL50169,3,120,173,98,68,457,41,497
SAL50170,0,5,3,0,0,12,0,12
SAL50171,0,0,0,3,8,8,0,14
SAL50172,18,121,127,54,45,363,45,411
SAL50173,33,811,1492,362,142,2841,66,2908
SAL50174,0,11,21,12,4,35,14,47
SAL50175,0,0,8,0,0,18,0,18
SAL50176,0,0,4,0,6,11,0,12
SAL50177,0,67,78,32,16,194,8,200
SAL50178,64,344,295,93,47,845,35,878
SAL50179,0,0,0,0,0,0,0,0
SAL50180,49,476,493,175,95,1287,93,1380
SAL50181,0,29,131,84,71,322,9,327
SAL50182,0,6,3,0,3,12,0,12
SAL50183,70,638,648,188,79,1623,78,1704
SAL50184,0,31,101,48,41,222,3,225
SAL50185,49,159,131,23,8,365,80,439
SAL50186,0,4,3,0,0,5,0,11
SAL50187,59,332,373,118,77,961,64,1026
SAL50188,0,20,28,26,17,86,9,94
SAL50189,15,82,98,43,30,270,32,299
SAL50190,183,564,368,134,86,1344,271,1613
SAL50191,0,3,12,15,8,36,0,42
SAL50192,0,30,31,10,12,87,14,98
SAL50193,0,10,12,12,20,54,11,62
SAL50194,0,0,0,0,0,0,0,0
SAL50195,3,66,29,6,3,114,7,121
SAL50196,10,96,102,37,28,269,30,291
SAL50197,9,134,167,82,46,441,36,474
SAL50198,0,0,5,3,3,11,0,11
SAL50199,0,0,13,3,6,17,5,21
SAL50200,41,258,384,156,95,943,185,1126
SAL50201,123,999,1231,339,165,2857,67,2931
SAL50202,0,0,0,0,0,0,0,0
SAL50203,0,0,3,12,13,26,0,26
SAL50204,4,30,30,11,7,79,5,84
SAL50205,3,10,7,0,4,26,0,20
SAL50206,0,0,0,0,0,3,0,3
SAL50207,32,398,694,378,344,1852,115,1961
SAL50208,0,0,0,0,0,6,0,6
SAL50209,0,0,3,7,3,13,0,13
SAL50210,109,797,635,153,60,1744,142,1883
SAL50211,0,0,0,0,0,7,0,6
SAL50212,0,5,4,0,0,7,5,14
SAL50213,0,0,5,5,7,16,3,20
SAL50214,0,3,9,3,0,21,0,21
SAL50215,0,0,4,3,5,13,0,13
SAL50216,0,0,0,0,0,0,0,0
SAL50217,0,52,116,64,40,272,17,292
SAL50218,0,0,0,0,0,8,0,6
SAL50219,0,5,7,0,5,16,0,14
SAL50220,0,0,0,0,0,0,0,0
SAL50221,10,193,675,240,142,1259,12,1278
SAL50222,0,25,52,15,11,102,14,115
SAL50223,0,6,9,10,7,35,8,36
SAL50224,0,0,6,0,0,3,0,6
SAL50225,6,0,0,0,0,3,0,3
SAL50226,91,654,448,85,23,1297,74,1373
SAL50227,0,61,157,27,15,262,0,265
SAL50228,89,426,256,70,27,860,102,964
SAL50229,221,1836,1762,556,229,4601,192,4796
SAL50230,84,1568,2744,1008,536,5943,198,6142
SAL50231,141,1199,831,288,126,2581,265,2853
SAL50232,0,6,6,3,7,17,0,17
SAL50233,0,5,0,0,0,4,0,4
SAL50234,3,22,32,14,9,76,10,82
SAL50235,94,403,209,74,42,815,63,876
SAL50236,0,0,13,7,3,23,0,23
SAL50237,0,0,4,0,0,3,0,3
SAL50238,58,50,18,3,6,133,17,154
SAL50239,0,0,0,0,0,4,0,6
SAL50240,66,611,598,202,120,1603,98,1708
SAL50241,0,0,6,0,0,12,0,14
SAL50242,0,6,3,0,0,7,0,7
SAL50243,0,5,3,8,9,25,0,25
SAL50244,0,0,0,0,0,4,0,7
SAL50245,146,2517,4722,1930,1090,10402,239,10643
SAL50246,225,1132,863,243,96,2554,221,2772
SAL50247,0,0,0,0,0,0,0,0
SAL50248,6,114,94,31,15,255,12,271
SAL50249,0,3,0,0,0,4,0,4
SAL50250,0,92,17,9,0,121,6,123
SAL50251,28,292,377,198,81,977,51,1022
SAL50252,0,6,14,10,14,47,3,54
SAL50253,0,8,0,0,0,8,5,14
SAL50254,0,0,0,3,4,8,3,11
SAL50255,0,18,39,34,39,127,10,143
SAL50256,0,6,0,6,0,10,4,13
SAL50257,0,0,0,0,0,0,0,0
SAL50258,0,15,21,4,5,52,0,52
SAL50259,0,13,12,6,9,44,0,48
SAL50260,0,32,123,91,108,357,9,366
SAL50261,229,1006,693,204,69,2205,195,2404
SAL50262,29,578,1278,364,197,2456,33,2491
SAL50263,251,1214,1018,260,98,2845,128,2968
SAL50264,0,8,11,7,3,36,6,40
SAL50265,0,32,90,56,52,223,0,223
SAL50266,4,56,64,22,13,163,35,198
SAL50267,8,118,39,8,4,184,13,198
SAL50268,0,0,0,0,0,0,0,0
SAL50269,39,494,1034,440,270,2286,49,2330
SAL50270,0,0,7,3,6,17,0,18
SAL50271,0,4,0,4,9,19,0,19
SAL50272,0,8,15,5,6,35,3,37
SAL50273,36,477,623,206,108,1450,126,1578
SAL50274,3,27,75,66,73,247,14,266
SAL50275,0,5,0,7,0,6,0,6
SAL50276,0,20,18,8,19,67,5,73
SAL50277,42,661,1172,381,172,2424,94,2517
SAL50278,39,222,89,23,12,377,34,408
SAL50279,6,77,98,32,10,227,18,245
SAL50280,0,20,18,10,13,62,15,77
SAL50281,13,155,200,67,48,484,50,533
SAL50282,0,0,0,6,4,5,0,10
SAL50283,0,3,6,5,7,22,0,22
SAL50284,0,7,16,12,6,41,4,50
SAL50285,0,9,11,4,6,37,8,44
SAL50286,0,9,12,6,0,22,5,29
SAL50287,0,4,8,0,5,25,4,29
SAL50288,3,15,0,6,3,22,10,31
SAL50289,0,0,0,0,0,0,3,4
SAL50290,0,133,236,153,126,647,29,677
SAL50291,3,62,152,71,76,359,23,391
SAL50292,0,0,4,0,4,9,3,9
SAL50293,34,491,578,163,67,1334,31,1365
SAL50294,87,493,1010,418,292,2301,58,2359
SAL50295,0,38,49,28,19,134,8,141
SAL50296,259,1735,1356,321,139,3811,182,3992
SAL50297,213,1913,2029,625,230,5011,229,5240
SAL50298,0,0,0,0,0,3,0,3
SAL50299,0,47,14,0,3,71,9,78
SAL50300,0,0,0,0,0,0,0,0
SAL50301,260,1344,1193,355,183,3335,279,3614
SAL50302,0,0,4,8,0,13,0,15
SAL50303,0,0,0,0,0,0,0,0
SAL50304,68,444,197,33,18,753,50,803
SAL50305,0,6,0,0,0,11,0,12
SAL50306,0,0,7,3,8,18,0,17
SAL50307,0,10,13,7,6,35,4,37
SAL50308,0,0,0,0,0,4,0,4
SAL50309,11,132,197,85,34,449,20,467
SAL50310,162,981,1073,444,263,2921,254,3176
SAL50311,0,4,5,4,3,20,0,20
SAL50312,3,77,105,37,25,259,5,260
SAL50313,0,26,29,11,10,84,3,84
SAL50314,0,0,5,6,0,9,0,17
SAL50315,0,0,0,4,7,10,0,10
SAL50316,414,3059,2356,532,186,6548,272,6822
SAL50317,3,29,33,15,10,92,14,106
SAL50318,12,348,597,229,125,1308,22,1333
SAL50319,0,3,3,0,0,6,0,6
SAL50320,155,826,531,192,84,1790,119,1906
SAL50321,44,523,853,327,198,1946,110,2053
SAL50322,0,36,89,38,45,215,13,231
SAL50323,0,4,0,0,0,6,0,6
SAL50324,229,1066,868,232,101,2488,158,2647
SAL50325,21,161,246,101,59,591,9,597
SAL50326,0,4,0,0,0,3,0,5
SAL50327,19,102,85,55,23,287,77,364
SAL50328,0,0,3,0,0,3,0,4
SAL50329,164,1034,892,338,139,2563,170,2736
SAL50330,0,19,44,26,40,137,6,145
SAL50331,0,7,16,11,7,40,7,52
SAL50332,0,4,11,4,4,22,0,26
SAL50333,0,16,18,4,19,50,0,53
SAL50334,0,49,97,60,29,242,58,298
SAL50335,0,22,27,9,13,81,18,99
SAL50336,0,4,0,0,0,3,0,3
SAL50337,0,7,8,3,6,21,3,25
SAL50338,22,238,70,14,9,355,31,383
SAL50339,0,0,0,3,0,4,0,4
SAL50340,12,131,114,30,19,297,30,324
SAL50341,10,6,0,0,0,22,3,29
SAL50342,0,6,8,0,0,9,7,21
SAL50343,84,985,1229,414,211,2927,102,3025
SAL50344,0,0,4,8,4,20,3,20
SAL50345,0,3,4,0,0,10,0,10
SAL50346,0,6,11,0,5,19,3,24
SAL50347,11,201,382,134,60,783,92,871
SAL50348,0,0,0,0,3,8,0,8
SAL50349,0,0,4,0,5,12,0,13
SAL50350,80,957,1093,313,150,2597,74,2671
SAL50351,0,0,3,7,0,15,0,15
SAL50352,8,66,58,40,16,181,22,206
SAL50353,176,613,288,54,18,1145,58,1210
SAL50354,0,10,37,20,15,83,7,97
SAL50355,0,8,19,20,9,57,4,65
SAL50356,0,13,18,6,5,46,0,46
SAL50357,5,49,58,40,32,181,12,196
SAL50358,0,0,3,0,0,9,0,8
SAL50359,9,40,25,10,5,87,67,154
SAL50360,0,0,0,0,0,8,0,13
SAL50361,3,4,0,0,0,7,0,5
SAL50362,0,3,4,0,0,7,0,7
SAL50363,0,0,0,0,0,0,9,5
SAL50364,17,88,115,54,26,301,20,320
SAL50365,4,5,14,0,6,20,0,22
SAL50366,0,0,0,0,6,7,0,7
SAL50367,61,690,1021,405,216,2401,64,2473
SAL50368,0,14,25,6,8,53,3,57
SAL50369,0,4,4,7,3,15,0,15
SAL50370,0,0,0,0,0,0,0,3
SAL50371,33,266,227,55,26,613,17,631
SAL50372,0,11,24,15,22,71,14,83
SAL50373,0,9,8,4,3,19,0,19
SAL50374,25,256,664,299,180,1424,36,1451
SAL50375,6,80,118,37,23,259,42,300
SAL50376,96,974,1432,543,226,3276,123,3398
SAL50377,0,11,16,12,15,56,8,65
SAL50378,20,98,185,77,48,417,60,477
SAL50379,0,0,0,0,0,0,0,0
SAL50380,93,336,97,32,7,566,62,623
SAL50381,0,0,3,4,0,6,0,10
SAL50382,0,30,49,12,27,124,5,129
SAL50383,0,5,0,0,0,7,6,17
SAL50384,22,417,993,447,266,2135,50,2185
SAL50385,0,0,5,0,0,7,0,7
SAL50386,4,61,104,34,18,224,6,225
SAL50387,3,35,80,61,55,233,15,249
SAL50388,6,43,58,22,24,146,15,167
SAL50389,6,73,205,93,134,511,12,526
SAL50390,9,263,610,262,157,1305,34,1342
SAL50391,0,0,9,8,0,19,6,24
SAL50392,0,0,0,0,4,3,0,3
SAL50393,0,3,4,5,3,10,0,12
SAL50394,0,0,0,3,3,11,0,11
SAL50395,0,0,4,0,0,4,0,8
SAL50396,45,817,1139,368,180,2554,86,2634
SAL50397,26,539,883,247,86,1781,46,1829
SAL50398,3,8,4,0,0,15,4,22
SAL50399,6,32,40,22,17,114,9,125
SAL50400,0,50,108,66,72,300,12,308
SAL50401,0,5,5,3,7,27,3,29
SAL50402,0,10,12,6,3,35,0,32
SAL50403,38,475,181,38,37,757,195,953
SAL50404,48,536,404,95,29,1113,154,1262
SAL50405,119,482,287,89,59,1035,359,1398
SAL50406,0,0,6,0,0,8,0,8
SAL50407,0,6,5,10,10,27,6,36
SAL50408,0,0,3,0,0,10,0,9
SAL50409,599,3601,3515,1113,707,9535,329,9867
SAL50410,0,0,0,0,0,0,0,0
SAL50411,0,11,32,16,10,72,11,78
SAL50412,5,15,22,15,10,62,6,64
SAL50413,0,12,0,0,4,18,0,15
SAL50414,0,0,6,6,5,16,3,22
SAL50415,57,257,433,168,82,1000,159,1163
SAL50416,33,223,217,69,39,581,62,638
SAL50417,0,4,3,4,9,16,5,21
SAL50418,0,0,0,0,0,3,0,3
SAL50419,26,393,453,166,102,1142,61,1203
SAL50420,0,6,6,0,6,13,4,17
SAL50421,0,3,6,6,4,26,7,31
SAL50422,0,0,0,0,0,0,0,0
SAL50423,216,1249,1579,397,176,3615,139,3756
SAL50424,8,68,75,29,9,196,15,214
SAL50425,0,0,8,3,4,16,3,17
SAL50426,6,135,280,91,37,550,22,574
SAL50427,0,5,0,0,0,3,0,3
SAL50428,4,18,5,5,0,31,20,49
SAL50429,0,0,3,7,0,13,0,13
SAL50430,0,3,4,3,9,19,0,18
SAL50431,122,1217,1016,343,134,2838,112,2949
SAL50432,0,3,4,5,0,9,0,9
SAL50433,0,0,7,0,6,8,14,28
SAL50434,0,0,0,3,0,7,0,7
SAL50435,0,18,36,20,17,85,22,110
SAL50436,0,14,15,16,10,53,0,58
SAL50437,3,39,46,11,14,110,21,133
SAL50438,136,1426,2701,805,444,5519,98,5621
SAL50439,0,0,0,0,0,0,0,0
SAL50440,0,0,0,0,0,0,0,0
SAL50441,30,795,1105,263,93,2284,140,2427
SAL50442,17,111,26,4,3,162,26,191
SAL50443,0,5,5,0,8,21,6,26
SAL50444,0,0,0,0,0,0,0,0
SAL50445,0,0,3,3,4,8,0,10
SAL50446,4,62,72,34,17,203,16,214
SAL50447,0,18,14,5,3,46,5,53
SAL50448,0,3,6,3,0,18,3,17
SAL50449,0,0,3,0,8,10,0,10
SAL50450,0,6,17,15,3,39,4,41
SAL50451,0,0,9,3,0,14,3,15
SAL50452,111,739,626,196,89,1766,90,1854
SAL50453,84,697,889,280,171,2122,120,2247
SAL50454,11,169,134,40,26,383,34,421
SAL50455,0,0,3,0,3,10,7,15
SAL50456,0,0,0,4,0,4,0,3
SAL50457,124,1053,1205,375,169,2926,96,3022
SAL50458,0,30,5,4,0,39,3,41
SAL50459,0,3,3,3,3,16,4,21
SAL50460,0,0,0,0,0,4,0,4
SAL50461,0,0,0,0,0,5,0,0
SAL50462,0,4,11,0,3,21,0,28
SAL50463,0,0,0,3,5,7,0,7
SAL50464,1028,3335,1066,149,50,5621,501,6129
SAL50465,0,12,14,21,28,81,0,80
SAL50466,0,4,0,0,6,12,4,13
SAL50467,19,119,38,10,0,187,48,231
SAL50468,308,1747,1556,381,166,4156,293,4447
SAL50469,0,0,0,5,3,4,4,10
SAL50470,0,0,4,0,0,9,6,16
SAL50471,0,8,22,10,8,43,10,56
SAL50472,115,1162,1262,468,219,3222,168,3400
SAL50473,61,496,562,175,94,1380,79,1462
SAL50474,43,524,781,248,119,1722,45,1762
SAL50475,0,3,9,0,3,15,11,29
SAL50476,17,442,611,117,53,1238,53,1287
SAL50477,9,242,60,10,4,326,19,341
SAL50478,0,0,3,4,4,9,4,10
SAL50479,0,0,0,4,0,6,0,6
SAL50480,0,13,17,5,8,46,4,52
SAL50481,0,26,57,31,24,132,12,146
SAL50482,250,2727,3363,1074,574,7992,396,8391
SAL50483,4,16,5,4,3,25,0,26
SAL50484,74,511,560,120,69,1329,73,1402
SAL50485,0,0,0,0,0,0,0,0
SAL50486,4,70,45,12,3,137,10,146
SAL50487,10,38,21,5,6,86,14,96
SAL50488,0,0,0,0,0,0,0,0
SAL50489,0,0,0,0,0,0,0,0
SAL50490,0,0,0,0,0,4,0,4
SAL50491,173,1272,770,185,115,2508,74,2583
SAL50492,120,447,283,74,41,964,137,1105
SAL50493,0,0,0,0,0,0,0,0
SAL50494,0,13,9,4,4,23,3,25
SAL50495,0,0,0,0,0,0,0,0
SAL50496,0,0,4,0,5,5,0,5
SAL50497,54,726,538,176,134,1625,112,1738
SAL50498,9,120,36,4,3,180,9,192
SAL50499,0,4,3,4,4,15,3,14
SAL50500,68,900,896,275,164,2305,92,2396
SAL50501,0,15,41,16,26,89,6,95
SAL50502,82,640,696,220,95,1726,60,1786
SAL50503,0,8,0,0,0,6,0,6
SAL50504,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0
SAL50507,0,3,0,0,0,3,4,6
SAL50508,133,210,79,30,7,454,73,532
SAL50509,0,0,0,0,0,0,0,0
SAL50510,58,749,1343,477,232,2859,45,2902
SAL50511,0,0,0,0,0,0,0,0
SAL50512,0,41,43,17,10,107,13,121
SAL50513,0,10,13,4,3,28,0,29
SAL50514,0,0,0,0,0,0,0,0
SAL50515,0,0,3,0,5,13,0,13
SAL50516,0,0,0,0,0,0,0,0
SAL50517,8,67,139,69,64,345,23,369
SAL50518,213,1709,2001,709,430,5059,303,5366
SAL50519,9,18,4,0,0,34,4,34
SAL50520,3,36,47,36,26,146,18,163
SAL50521,0,4,0,0,0,11,0,16
SAL50522,494,1949,1248,278,126,4102,362,4461
SAL50523,29,197,131,59,53,467,56,526
SAL50524,0,0,0,0,0,3,0,3
SAL50525,4,53,104,66,42,272,14,284
SAL50526,0,10,6,3,6,19,0,19
SAL50527,0,4,7,10,14,32,4,41
SAL50528,3,5,0,0,0,5,4,11
SAL50529,0,0,0,0,0,0,0,0
SAL50530,6,27,10,4,5,44,5,51
SAL50531,0,19,3,0,0,26,0,29
SAL50532,6,0,0,3,0,6,0,6
SAL50533,9,93,293,190,144,728,16,747
SAL50534,60,504,579,181,83,1414,87,1499
SAL50535,0,6,8,5,7,24,3,30
SAL50536,175,615,381,120,46,1330,179,1505
SAL50537,0,0,0,3,0,3,0,5
SAL50538,12,31,7,0,0,52,17,63
SAL50539,0,26,49,16,24,116,20,143
SAL50540,19,24,6,6,0,57,0,61
SAL50541,0,0,0,0,0,0,0,5
SAL50542,6,113,339,215,239,921,54,967
SAL50543,0,4,10,10,8,29,3,31
SAL50544,0,0,4,0,0,9,0,9
SAL50545,0,0,6,0,8,15,0,17
SAL50546,0,0,0,0,0,0,0,0
SAL50547,0,0,0,0,0,0,0,0
SAL50548,9,84,140,50,29,312,18,332
SAL50549,0,3,3,6,5,10,0,10
SAL50550,234,1251,1110,385,239,3212,233,3440
SAL50551,10,75,167,67,58,373,24,397
SAL50552,14,205,433,200,134,998,20,1016
SAL50553,32,350,459,163,84,1100,46,1144
SAL50554,0,0,4,4,3,14,3,19
SAL50555,0,0,3,0,0,8,0,8
SAL50556,142,629,309,41,22,1143,66,1202
SAL50557,5,94,163,64,33,359,11,368
SAL50558,0,8,7,9,10,37,4,41
SAL50559,3,9,13,7,4,40,0,40
SAL50560,0,3,4,3,0,14,0,11
SAL50561,9,147,135,70,123,487,23,511
SAL50562,9,47,83,25,11,165,22,191
SAL50563,0,29,14,0,0,39,0,42
SAL50564,10,63,73,31,28,203,18,220
SAL50565,0,3,5,0,0,11,0,17
SAL50566,49,643,813,278,152,1933,88,2020
SAL50567,4,55,49,16,0,125,0,126
SAL50568,0,0,0,4,6,14,4,15
SAL50569,7,92,72,28,12,215,41,253
SAL50570,0,0,0,4,0,3,0,7
SAL50571,17,265,563,229,175,1245,25,1274
SAL50572,0,0,3,5,3,8,3,14
SAL50573,0,0,0,0,0,0,0,0
SAL50574,610,3136,2632,918,510,7804,515,8318
SAL50575,0,25,31,14,17,79,11,90
SAL50576,0,3,7,0,6,14,9,15
SAL50577,0,9,21,10,10,50,6,48
SAL50578,0,20,19,21,10,64,3,70
SAL50579,3,60,58,25,5,163,6,168
SAL50580,0,6,8,4,5,23,0,24
SAL50581,0,0,8,0,7,16,0,16
SAL50582,8,62,59,30,11,164,8,178
SAL50583,303,1780,1200,447,289,4018,198,4211
SAL50584,0,4,0,7,5,15,0,20
SAL50585,27,288,377,169,96,957,33,991
SAL50586,0,23,44,21,26,112,18,129
SAL50587,92,1083,1652,560,267,3649,109,3761
SAL50588,0,0,3,0,3,7,4,8
SAL50589,0,25,10,4,0,35,0,40
SAL50590,0,0,0,0,0,3,3,3
SAL50591,24,13,4,0,0,44,0,47
SAL50592,0,0,0,0,0,0,0,0
SAL50593,0,28,31,6,3,74,4,73
SAL50594,46,295,252,90,37,708,22,728
SAL50595,0,0,0,0,0,3,0,5
SAL50596,0,0,3,3,4,10,0,10
SAL50597,0,0,4,0,0,18,0,18
SAL50598,0,8,14,6,5,33,3,35
SAL50599,51,531,911,239,121,1853,42,1895
SAL50600,0,4,8,8,0,16,3,23
SAL50601,0,3,10,0,7,21,0,19
