SAL_CODE_2021,Num_pns_pres_Cen_Ngt_1_Fam_hh,Nu_pn_pre_Cen_Ngt_1_No_fam_hh,Num_pns_pres_Cen_Ngt_1_Tot,Num_pns_pres_Cen_Ngt_2_Fam_hh,Nu_pn_pre_Cen_Ngt_2_No_fam_hh,Num_pns_pres_Cen_Ngt_2_Tot,Num_pns_pres_Cen_Ngt_3_Fam_hh,Nu_pn_pre_Cen_Ngt_3_No_fam_hh,Num_pns_pres_Cen_Ngt_3_Tot,Num_pns_pres_Cen_Ngt_4_Fam_hh,Nu_pn_pre_Cen_Ngt_4_No_fam_hh,Num_pns_pres_Cen_Ngt_4_Tot,Num_pns_pres_Cen_Ngt_5_Fam_hh,Nu_pn_pre_Cen_Nt_5_Non_fam_hh,Nu_pn_pre_Cen_Ngt_5_Tot,Num_pn_pres_Cen_Ngt_6m_Fam_hh,Nu_pn_pre_Ce_Ngt_6m_No_fam_hh,Num_pns_pres_Cen_Ngt_6m_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
SAL51364,0,7,7,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8
SAL51365,12,138,146,90,40,126,44,12,56,31,10,42,8,3,14,12,4,12,186,213,397
SAL51366,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,3,0,8
SAL51367,0,5,3,3,5,7,9,0,9,0,0,0,0,0,0,0,0,0,16,9,24
SAL51368,35,500,533,459,117,577,179,29,208,146,18,160,47,0,49,20,0,21,880,675,1554
SAL51369,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,3
SAL51370,3,16,21,18,11,22,0,0,0,7,0,7,0,0,0,0,0,0,29,27,55
SAL51371,52,286,338,416,51,463,263,14,276,232,4,237,80,0,86,30,0,30,1071,360,1426
SAL51372,115,1255,1373,807,347,1155,535,123,660,475,79,557,261,44,305,204,19,229,2410,1872,4279
SAL51373,26,469,494,426,87,513,216,23,239,187,21,207,121,15,131,81,0,82,1054,608,1663
SAL51374,0,0,0,3,0,3,0,3,3,4,0,4,0,0,0,0,0,0,5,6,9
SAL51375,0,12,12,15,0,14,5,0,5,3,0,3,0,0,3,0,0,0,22,16,38
SAL51376,0,0,0,6,4,3,0,0,5,0,0,0,0,0,0,0,0,0,3,3,8
SAL51377,40,509,544,618,107,724,376,37,418,342,11,357,100,9,105,64,6,72,1538,682,2219
SAL51378,0,0,0,5,3,3,0,0,0,4,0,4,0,0,0,0,0,0,8,8,14
SAL51379,0,5,5,3,3,8,3,0,3,3,4,4,5,0,5,6,0,6,14,11,23
SAL51380,0,0,0,6,0,6,8,0,8,5,0,5,0,0,0,0,0,0,14,0,13
SAL51381,114,2175,2289,1836,346,2177,597,101,696,514,26,534,154,7,159,49,0,49,3262,2649,5908
SAL51382,3,19,18,12,8,19,12,0,13,4,0,4,0,0,0,9,0,9,45,20,66
SAL51383,0,0,0,12,4,13,6,0,6,4,0,4,0,0,0,0,0,0,18,5,21
SAL51384,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
SAL51385,0,6,13,17,3,17,6,0,9,8,0,8,3,0,3,0,0,0,34,11,48
SAL51386,0,8,8,3,0,5,0,0,4,0,0,0,0,0,0,0,0,0,10,11,19
SAL51387,0,0,3,5,0,5,0,0,0,0,0,0,0,0,0,4,0,4,7,0,9
SAL51388,0,8,8,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6
SAL51389,0,3,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6
SAL51390,50,329,378,586,70,658,202,16,218,168,9,175,67,3,71,22,3,25,1105,422,1528
SAL51391,3,7,9,17,5,23,0,3,3,7,0,7,0,0,0,0,0,0,32,12,48
SAL51392,0,3,3,10,0,10,3,0,7,5,0,5,5,0,5,0,0,0,21,4,26
SAL51393,3,135,143,79,23,100,22,0,22,20,5,23,9,0,12,4,0,4,133,164,298
SAL51394,70,446,509,870,89,960,742,28,767,1012,16,1033,435,14,455,228,7,235,3362,597,3956
SAL51395,11,274,285,214,50,262,91,20,108,60,16,77,36,12,50,38,3,40,456,377,827
SAL51396,98,1406,1503,1379,184,1561,681,41,726,523,24,552,177,7,180,85,7,86,2939,1672,4605
SAL51397,21,577,600,429,58,483,166,21,188,124,5,128,53,8,59,33,0,35,832,670,1501
SAL51398,0,27,27,7,3,8,0,0,6,0,0,0,0,0,0,0,0,0,16,23,45
SAL51399,7,15,21,37,3,40,10,3,14,12,6,13,10,0,8,4,0,4,68,26,97
SAL51400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
SAL51401,0,50,49,52,3,54,40,6,44,42,3,43,36,0,36,56,0,56,230,59,289
SAL51402,43,603,646,509,150,660,244,62,307,221,43,267,92,7,103,38,7,47,1153,880,2028
SAL51403,0,5,5,13,4,16,0,0,0,4,0,4,0,0,0,0,0,0,16,9,31
SAL51404,9,16,21,49,5,53,40,0,40,24,0,24,19,0,19,6,0,6,137,18,151
SAL51405,70,640,714,1155,71,1223,622,26,652,709,23,730,260,3,264,99,0,102,2913,772,3684
SAL51406,0,9,13,24,6,33,8,0,8,11,0,11,0,0,3,0,0,0,48,17,72
SAL51407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51408,29,146,171,313,21,340,142,4,144,144,7,150,62,0,68,30,4,29,720,178,901
SAL51409,0,5,5,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
SAL51410,22,42,63,124,11,140,75,6,79,74,0,74,27,0,27,15,0,16,332,62,401
SAL51411,9,34,39,99,4,103,39,4,43,51,0,53,18,0,18,7,0,7,233,35,270
SAL51412,0,5,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,4
SAL51413,33,361,392,305,47,359,205,15,212,189,7,198,69,0,76,43,3,44,844,438,1281
SAL51414,0,8,8,0,0,4,0,0,0,4,0,4,0,0,0,4,0,4,6,7,16
SAL51415,0,38,38,12,7,18,13,0,13,18,0,18,13,0,13,14,0,16,70,45,110
SAL51416,111,1814,1921,1340,256,1596,499,73,571,433,34,466,119,11,128,30,0,25,2535,2188,4721
SAL51417,105,838,940,1042,130,1173,752,45,792,752,13,769,266,8,272,146,0,141,3063,1032,4094
SAL51418,0,5,5,11,3,14,5,0,5,5,0,5,4,0,8,0,0,0,26,10,33
SAL51419,26,151,177,192,92,280,85,14,101,84,9,88,24,0,27,10,3,13,422,272,692
SAL51420,60,954,1016,1065,110,1180,449,33,485,340,18,358,169,4,176,82,6,85,2156,1132,3294
SAL51421,35,278,312,451,36,490,247,18,269,314,10,328,138,7,142,28,0,30,1211,351,1565
SAL51422,0,14,14,11,6,16,10,0,9,8,0,9,0,0,0,0,0,0,31,16,53
SAL51423,0,19,20,7,45,48,0,0,4,0,0,0,0,0,0,0,0,3,7,68,68
SAL51424,0,16,22,19,9,31,4,0,4,7,0,5,5,0,5,0,0,0,30,28,65
SAL51425,0,0,0,3,6,10,0,0,3,0,0,0,0,0,0,0,0,0,4,4,11
SAL51426,0,6,9,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,3,10
SAL51427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51430,0,39,45,28,10,40,9,0,10,7,0,7,4,0,4,9,0,9,61,54,117
SAL51431,0,37,37,17,9,21,5,0,0,3,0,3,0,0,0,0,0,0,28,41,70
SAL51432,0,0,0,5,0,5,4,0,4,0,0,0,0,0,0,0,0,0,6,0,6
SAL51433,0,30,30,10,3,15,12,5,17,10,0,10,11,0,11,32,0,32,81,41,125
SAL51434,0,3,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,7,10
SAL51435,89,409,492,794,42,833,615,22,631,696,15,715,314,5,313,125,0,130,2624,499,3119
SAL51436,22,129,147,187,25,210,70,3,72,75,0,71,25,3,22,12,0,12,379,163,541
SAL51437,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3
