SAL_CODE_2021,P_aged_15_yr_over_M,P_aged_15_yr_over_F,P_aged_15_yr_over_P,Lab_for_st_Empl_worked_ft_M,Lab_for_st_Empl_worked_ft_F,Lab_for_st_Empl_worked_ft_P,Lab_for_st_Empl_worked_pt_M,Lab_for_st_Empl_worked_pt_F,Lab_for_st_Empl_worked_pt_P,Lab_for_st_Empl_awy_frm_wrk_M,Lab_for_st_Empl_awy_frm_wrk_F,Lab_for_st_Empl_awy_frm_wrk_P,Lab_for_st_Unemp_lkg_fr_wrk_M,Lab_for_st_Unemp_lkg_fr_wrk_F,Lab_for_st_Unemp_lkg_fr_wrk_P,Lab_for_st_Tot_labour_force_M,Lab_for_st_Tot_labour_force_F,Lab_for_st_Tot_labour_force_P,Lab_for_st_N_the_lbour_frce_M,Lab_for_st_N_the_lbour_frce_F,Lab_for_st_N_the_lbour_frce_P,LFS_Percent_Unemployment_M,LFS_Percent_Unemployment_F,LFS_Percent_Unemployment_P,LFS_Percent_Lab_force_part_M,LFS_Percent_Lab_force_part_F,LFS_Percent_Lab_force_part_P,LFS_Percent_Emp_to_pop_M,LFS_Percent_Empl_to_pop_F,LFS_Percent_Emp_to_pop_P,High_N_sc_q_Postgrad_Deg_M,High_N_sc_q_Postgrad_Deg_F,High_N_sc_q_Postgrad_Deg_P,High_N_sc_q_Gra_Dip_Gra_Cer_M,High_N_sc_q_Gra_Dip_Gra_Cer_F,High_N_sc_q_Gra_Dip_Gra_Cer_P,High_N_sc_q_Bachelor_Deg_M,High_N_sc_q_Bachelor_Deg_F,High_N_sc_q_Bachelor_Deg_P,High_N_sc_q_Adv_Dip_Dip_M,High_N_sc_q_Adv_Dip_Dip_F,High_N_sc_q_Adv_Dip_Dip_P,High_N_sc_q_Cert3a4_Level_M,High_N_sc_q_Cert3a4_Level_F,High_N_sc_q_Cert3a4_Level_P,High_N_sc_q_Cert1a2_Level_M,High_N_sc_q_Cert1a2_Level_F,High_N_sc_q_Cert1a2_Level_P,High_N_sc_q_Certnfd_Level_M,High_N_sc_q_Certnfd_Level_F,High_N_sc_q_Certnfd_Level_P,High_N_sc_q_CertTot_Level_M,High_N_sc_q_CertTot_Level_F,High_N_sc_q_CertTot_Level_P,Mig_Lvd_same_add_1_yr_ago_M,Mig_Lvd_same_add_1_yr_ago_F,Mig_Lvd_same_add_1_yr_ago_P,Mig_Lvd_diff_add_1_yr_ago_M,Mig_Lvd_diff_add_1_yr_ago_F,Mig_Lvd_diff_add_1_yr_ago_P,Mig_Lvd_same_add_5_yr_ago_M,Mig_Lvd_same_add_5_yr_ago_F,Mig_Lvd_same_add_5_yr_ago_P,Mig_Lvd_diff_add_5_yr_ago_M,Mig_Lvd_diff_add_5_yr_ago_F,Mig_Lvd_diff_add_5_yr_ago_P
SAL50011,3272,3871,7145,1984,1212,3202,423,1232,1653,135,171,313,152,167,315,2703,2784,5485,480,985,1464,5.7,6,5.8,82.5,71.9,76.8,77.8,67.6,72.3,116,121,240,47,111,156,394,667,1058,347,524,866,1019,670,1687,51,83,137,49,94,136,1117,846,1966,3580,4011,7590,802,996,1805,1624,1756,3382,2346,2837,5187
SAL50012,7,5,16,8,4,10,0,3,3,0,0,3,0,0,0,7,3,13,0,3,3,0,0,0,100,71.4,85.7,100,71.4,85.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,3,10,12,3,3,8,0,8,5,5,3,12
SAL50013,235,234,469,112,58,170,25,70,99,18,13,26,7,7,16,160,147,309,68,85,155,4.9,4.2,4.6,68.9,62.1,65.5,65.5,59.5,62.5,0,3,3,0,3,0,11,29,35,13,22,39,87,61,151,4,4,11,5,8,14,94,78,173,246,246,498,31,28,59,200,191,392,71,63,135
SAL50014,58,50,110,26,5,32,8,10,19,0,6,7,0,3,3,31,25,59,18,16,39,0,12,5.1,58.6,49,54.1,58.6,43.1,51.4,0,0,0,0,0,0,4,13,15,0,5,8,10,3,9,0,0,0,0,0,0,10,3,9,54,41,93,8,4,11,48,37,85,14,8,19
SAL50015,9,7,7,4,0,6,3,0,6,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,100,75,90,100,75,90,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,12,0,0,0,6,3,9,0,0,0
SAL50016,202,203,411,108,48,156,41,89,130,5,11,19,7,5,5,157,149,312,39,48,82,2.5,2,2.3,78.4,73.5,76,76.5,72.1,74.3,0,4,5,4,12,15,15,23,35,12,29,43,77,34,110,3,9,9,3,7,6,84,49,135,226,218,453,26,30,56,159,153,308,84,94,177
SAL50017,34,33,67,26,11,32,3,9,13,0,0,0,0,4,4,26,22,46,7,10,14,0,10,4.3,77.1,66.7,72.3,77.1,60,69.2,0,0,0,0,0,0,8,11,15,3,0,6,6,5,12,0,0,0,0,0,0,6,9,13,41,29,65,0,3,6,30,14,41,11,14,23
SAL50018,4,5,7,5,0,3,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,0,0,0,3,5,3,0,0,0
SAL50019,125,101,222,55,16,76,14,29,44,3,3,9,7,5,7,88,50,137,30,36,71,6,7.7,6.6,67.2,53.1,61,63.2,49,57,0,0,0,0,0,0,8,16,30,6,9,16,43,8,55,6,0,10,0,0,7,46,20,66,117,93,210,25,21,44,91,63,160,46,40,81
SAL50020,23,18,37,5,0,8,3,10,16,0,0,0,0,0,0,14,12,23,5,5,9,7.7,8.3,8,68.4,66.7,67.6,63.2,61.1,62.2,0,0,0,0,0,0,0,5,5,0,0,3,7,0,8,0,0,0,0,0,0,6,0,14,17,16,37,3,0,4,18,16,31,5,5,4
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,2768,3103,5876,1297,780,2070,449,863,1314,66,76,135,71,72,138,1874,1786,3663,793,1228,2024,3.9,3.8,3.8,67.8,57.5,62.3,65.1,55.3,59.9,387,315,703,90,150,238,868,973,1843,234,314,550,285,174,461,18,36,54,22,64,93,330,277,608,2637,2917,5555,603,643,1249,1646,1837,3489,1453,1608,3060
SAL50023,23,19,47,15,8,23,0,6,8,0,0,0,0,0,0,23,14,33,5,9,6,5.3,0,3.2,73.1,63.2,68.9,69.2,63.2,66.7,0,0,0,0,0,0,0,0,0,5,0,6,9,0,11,0,0,0,0,0,0,9,3,14,31,19,44,0,0,0,21,14,37,7,0,13
SAL50024,1682,1927,3610,799,504,1298,296,598,890,48,64,109,69,48,115,1205,1221,2423,446,671,1109,5.6,4,4.8,71.6,63.1,67.1,67.5,60.6,63.8,231,189,416,49,94,137,514,658,1171,154,217,371,198,84,276,14,17,36,18,36,47,227,139,363,1754,1936,3692,308,363,668,1079,1218,2291,879,978,1857
SAL50025,224,237,459,110,67,178,24,73,97,16,9,23,7,8,15,153,155,304,59,72,133,3.2,5.2,4.2,69.1,64.7,66.8,66.8,61.3,64,4,12,14,3,8,12,20,51,66,21,21,45,77,40,120,5,7,11,6,6,14,86,55,144,228,252,479,29,27,51,168,177,345,75,91,169
SAL50026,5139,5624,10760,1746,942,2689,568,1027,1600,154,160,318,334,346,682,2809,2479,5287,1857,2655,4516,12,13.9,12.9,54.7,44.1,49.1,48.2,37.9,42.8,79,73,154,34,51,86,229,407,641,277,432,710,1241,920,2159,101,162,260,56,122,177,1400,1194,2594,4895,5193,10085,791,942,1738,3146,3258,6406,2125,2497,4625
SAL50027,20,22,44,11,3,16,0,4,4,4,5,4,0,0,0,12,10,19,6,6,14,0,0,0,52.2,47.4,50,52.2,47.4,50,0,0,0,0,0,0,0,3,3,0,0,3,5,0,6,0,0,0,0,0,0,5,4,9,19,19,40,0,0,0,17,14,32,4,0,3
SAL50028,31,12,44,6,0,3,0,3,3,3,0,4,0,0,0,9,3,12,4,5,13,0,20,8.3,21.9,35.7,26.1,21.9,28.6,23.9,0,0,5,0,0,0,4,0,7,0,3,3,3,0,3,0,0,0,0,0,0,3,0,5,16,10,25,0,0,0,7,10,18,5,3,8
SAL50029,29,19,51,23,8,31,0,6,6,0,0,0,0,0,0,25,14,44,0,4,3,0,0,0,83.3,78.9,81.6,83.3,78.9,81.6,0,0,0,0,3,3,5,0,3,3,0,9,3,3,8,0,0,0,0,0,0,9,7,9,30,18,45,4,3,12,15,17,33,13,6,17
SAL50030,31,28,55,20,4,19,7,9,20,0,0,0,0,0,0,29,12,38,5,11,14,4,0,2.5,89.3,53.6,71.4,85.7,53.6,69.6,0,0,0,0,0,0,4,3,11,0,5,0,5,0,10,0,0,0,0,0,0,5,0,8,32,31,59,0,4,9,24,23,44,6,13,22
SAL50031,1444,1393,2836,680,413,1093,174,308,480,80,45,119,43,40,80,971,803,1773,332,425,759,4.5,4.7,4.6,67.1,57.7,62.5,64.1,55,59.6,91,87,175,28,54,80,233,266,502,140,139,279,319,130,448,23,24,42,16,32,45,361,184,542,1195,1109,2298,257,274,531,747,699,1439,664,624,1284
SAL50032,992,1200,2189,498,267,763,124,325,452,42,37,76,35,32,61,694,662,1351,272,505,782,4.8,4.4,4.6,69.8,55,61.7,66.5,52.6,58.9,34,42,77,7,22,31,99,194,294,76,116,194,283,156,436,13,17,29,13,27,42,308,208,509,1087,1249,2340,140,161,297,730,863,1588,407,476,886
SAL50033,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,576,569,1140,239,145,383,84,148,238,17,17,35,21,24,42,361,340,694,173,195,362,5.6,6.8,6.2,62.5,59.6,61.1,59.1,55.6,57.3,16,34,52,16,13,29,72,120,186,46,44,88,120,59,179,13,8,24,11,18,24,143,81,229,533,543,1073,93,96,190,349,376,732,240,234,470
SAL50035,2418,2829,5251,1179,699,1882,394,883,1279,63,66,128,61,60,122,1697,1709,3411,676,1063,1739,3.5,3.6,3.6,70.2,60.5,65,67.7,58.3,62.6,235,219,448,75,119,200,637,760,1393,249,302,549,413,199,610,27,38,64,35,84,119,471,325,797,2507,2903,5413,431,499,934,1748,2007,3756,1062,1261,2326
SAL50036,3377,3656,7028,1976,1149,3126,499,1300,1799,103,124,230,144,127,276,2730,2698,5425,581,886,1467,5.4,4.7,5,80.8,73.8,77.2,76.4,70.4,73.3,200,178,377,52,139,196,515,730,1246,303,422,724,821,475,1294,68,79,145,44,85,129,927,637,1564,3800,3951,7744,480,557,1032,2686,2815,5501,1364,1473,2840
SAL50037,2157,2497,4651,1349,767,2112,287,900,1184,85,88,170,69,92,160,1780,1849,3630,340,602,939,3.9,5,4.5,82.6,74.1,78,79.4,70.4,74.5,147,155,307,49,69,116,405,606,1008,248,297,537,496,330,826,22,50,66,24,51,80,547,428,978,2688,2894,5583,395,471,865,1782,1874,3661,1028,1221,2253
SAL50038,632,684,1313,126,78,210,102,170,274,21,25,46,10,8,21,262,279,541,323,369,698,3.8,2.9,3.3,41.6,40.6,41.1,40,39.4,39.7,20,17,35,10,17,24,58,72,128,53,87,141,166,81,251,12,5,15,10,20,33,188,112,299,535,580,1121,109,112,220,377,408,788,240,271,511
SAL50039,5470,6131,11601,2928,1460,4383,566,1868,2437,224,235,457,172,182,358,3889,3742,7638,1383,2197,3577,4.4,4.9,4.7,71.1,61,65.8,68,58.1,62.7,91,108,194,44,140,188,429,760,1192,373,619,993,1878,1225,3101,116,172,292,89,158,250,2084,1566,3643,5993,6442,12439,1007,1152,2155,3858,4129,7988,2638,3034,5668
SAL50040,4613,5298,9915,2861,1807,4666,581,1636,2219,231,243,474,155,186,341,3830,3876,7705,670,1310,1986,4.1,4.8,4.5,83,73.1,77.7,79.6,69.6,74.2,144,211,355,53,146,198,520,900,1420,479,663,1145,1356,937,2294,86,104,191,77,133,212,1519,1170,2694,5271,5789,11064,917,1057,1978,2864,3134,6002,2760,3166,5925
SAL50041,0,3,9,4,3,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,3,0,3,3,5,0,0,0,3,3,5,0,0,0
SAL50042,8,0,8,7,0,3,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,80,100,87.5,80,100,87.5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,0,6,0,4,7,4,11,0,0,0,6,4,9,0,0,0
SAL50043,23,24,42,8,7,19,0,8,8,0,0,0,0,0,0,8,10,27,3,5,5,0,7.1,3.8,54.5,63.6,59.1,54.5,59.1,56.8,0,0,0,0,0,0,0,5,5,0,3,3,5,3,6,0,0,0,0,0,0,5,3,8,21,22,38,0,0,3,13,17,27,4,4,8
SAL50044,20,9,29,8,4,9,3,4,7,0,0,0,0,0,0,10,6,14,8,10,10,0,0,0,55.6,38.5,48.4,55.6,38.5,48.4,0,0,0,0,0,0,0,0,4,0,0,0,4,0,8,0,0,0,0,0,3,8,3,11,14,9,29,0,0,0,11,8,24,5,0,7
SAL50045,15,17,36,9,3,14,0,3,4,0,0,0,0,0,0,11,13,23,0,7,7,0,8.3,4.2,70.6,75,72.7,70.6,68.8,69.7,0,0,0,0,0,0,0,0,0,3,0,9,0,6,5,6,4,5,0,0,0,5,3,10,13,12,33,0,0,0,12,11,24,0,3,11
SAL50046,10,5,17,6,0,6,0,4,4,0,0,0,0,0,0,6,6,11,4,0,0,0,0,0,75,87.5,81.3,75,87.5,81.3,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,3,4,14,13,22,0,0,0,11,8,20,0,0,3
SAL50047,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,33.3,50,42.9,33.3,50,42.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0
SAL50048,92,77,169,54,30,89,8,22,27,5,0,5,0,0,6,76,59,129,3,12,19,2.7,1.8,2.3,81.3,70.5,76.3,79.1,69.2,74.6,0,0,7,0,0,0,8,15,20,12,10,25,12,6,21,0,0,0,0,0,8,17,11,24,80,65,145,16,7,23,47,42,83,39,34,72
SAL50049,8,9,20,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,3,8,8,0,0,0,37.5,20,27.8,37.5,20,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10,6,0,5,3,6,10,0,5,3
SAL50050,24,22,40,10,4,14,0,4,4,5,3,8,0,0,0,18,9,26,5,6,8,0,8.3,3.8,60.9,60,60.5,60.9,55,58.1,0,0,5,0,0,0,0,3,4,0,0,0,8,0,8,0,0,0,0,0,0,8,0,8,24,16,36,0,0,4,15,12,26,6,5,16
SAL50051,465,499,965,182,118,299,41,126,163,24,22,39,17,16,29,261,273,532,159,181,338,6.1,4.8,5.4,56.1,54.6,55.3,52.7,52,52.3,9,4,8,0,8,12,8,47,55,30,48,76,147,76,224,4,17,19,7,11,21,163,103,263,453,478,935,72,73,146,338,362,700,155,156,313
SAL50052,73,64,142,45,18,62,6,24,34,7,4,8,0,0,0,58,47,103,10,9,18,0,0,0,75.3,77.8,76.4,75.3,77.8,76.4,0,0,0,0,0,0,6,12,18,3,3,9,25,3,31,0,3,3,0,0,0,25,9,29,59,62,121,8,6,15,42,44,90,29,18,42
SAL50053,4217,4772,8989,2036,1264,3298,574,1291,1861,126,127,252,138,123,265,2877,2801,5672,1131,1754,2887,4.9,4.4,4.7,68.2,58.6,63.1,64.9,56,60.2,203,204,409,52,133,188,669,887,1553,403,455,864,939,497,1433,49,69,118,57,111,167,1039,678,1721,4091,4608,8700,669,685,1346,2651,3028,5681,1841,1996,3835
SAL50054,12134,14035,26169,7038,4052,11088,1345,4158,5500,579,588,1167,447,546,988,9409,9337,18741,2292,4184,6474,4.8,5.8,5.3,77.5,66.5,71.6,73.8,62.6,67.8,267,322,584,118,331,448,991,1889,2881,1108,1717,2830,3910,2667,6579,212,373,589,183,324,505,4301,3364,7667,13789,15024,28814,2594,2975,5568,8170,8822,16991,6715,7838,14553
SAL50055,5340,5391,10726,2195,1276,3467,897,1337,2231,200,194,396,238,236,475,3528,3042,6566,1339,1905,3242,6.8,7.7,7.3,66,56.5,61.2,61.5,52.1,56.8,255,225,479,35,84,119,591,775,1372,504,558,1065,1002,708,1712,95,89,188,84,121,203,1178,921,2097,5180,5175,10360,964,919,1885,2778,2832,5607,2847,2839,5685
SAL50056,248,256,501,79,35,117,29,60,89,11,19,31,6,4,5,128,117,242,102,132,235,2.4,3.4,2.9,50.6,46.7,48.6,49.4,45.1,47.2,13,12,21,5,9,9,24,46,68,28,42,65,68,29,98,9,7,11,4,7,10,75,40,115,230,244,474,26,31,58,145,165,308,99,106,204
SAL50057,12,9,19,4,3,7,0,6,3,0,0,0,0,0,0,7,6,8,0,3,9,16.7,0,10,66.7,40,52.6,55.6,40,47.4,0,0,0,0,0,0,0,4,4,0,0,0,4,3,4,0,0,0,0,0,0,4,0,3,4,12,18,0,0,0,4,5,11,0,3,9
SAL50058,7,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,5,10,0,100,50,12.5,20,15.4,12.5,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,5,4,8,0,0,0,0,0,0,5,4,8,3,5,10,0,0,5,4,0,7,4,0,8
SAL50059,29,38,62,14,5,18,5,14,20,0,0,5,0,0,0,21,21,37,9,11,19,0,4.5,2.6,58.6,61.1,60,58.6,58.3,58.5,0,0,0,0,0,0,3,4,7,0,3,12,7,6,15,0,0,0,0,0,0,7,6,15,29,36,62,7,6,17,18,24,40,15,15,30
SAL50060,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,33.3,0,20,33.3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,3,3,0,0,0
SAL50061,7138,7411,14552,3392,1866,5256,1101,2145,3243,240,241,484,320,287,600,5052,4532,9586,1865,2633,4498,6.3,6.2,6.3,70.8,61.2,65.9,66.3,57.3,61.7,177,185,356,68,113,177,698,941,1635,509,709,1218,1837,1008,2842,118,146,256,110,201,309,2057,1352,3408,7843,8048,15891,728,752,1481,6019,6063,12082,2099,2273,4376
SAL50062,14,10,27,6,0,8,0,7,9,4,0,6,0,0,0,9,10,16,0,0,0,0,0,0,78.6,80,79.2,78.6,80,79.2,0,0,0,0,0,0,0,0,3,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,16,28,0,0,0,11,9,23,3,0,4
SAL50063,32,22,57,11,9,13,6,4,8,0,0,0,0,0,0,16,12,26,15,14,28,5.9,0,3.7,48.6,41.7,45.8,45.7,41.7,44.1,0,0,0,0,0,0,0,0,0,4,0,6,5,0,6,0,0,0,0,0,0,5,0,7,27,24,46,6,0,7,29,21,42,8,4,11
SAL50064,23,22,48,3,3,11,3,11,11,0,0,0,0,0,0,9,12,22,9,3,13,11.1,8.3,9.5,39.1,54.5,46.7,34.8,50,42.2,0,0,0,0,0,0,0,8,9,0,3,6,5,3,12,0,0,0,0,0,0,5,3,12,19,20,41,0,0,0,15,15,33,5,6,7
SAL50065,31,29,59,16,7,21,4,11,11,5,0,7,0,0,0,18,20,42,8,10,16,5,0,2.6,62.5,64.3,63.3,59.4,64.3,61.7,0,0,0,0,0,0,0,0,6,0,0,3,13,3,17,5,0,3,0,0,0,12,5,19,31,24,59,4,0,3,20,17,41,11,10,23
SAL50066,135,139,273,65,29,89,15,48,60,8,11,20,0,0,0,87,90,174,35,41,79,1.1,1.1,1.1,64.4,62.1,63.3,63.7,61.4,62.5,0,0,3,3,3,7,6,19,26,8,19,27,40,22,72,0,0,3,0,4,6,47,33,76,153,154,310,17,14,23,93,105,199,64,51,113
SAL50067,713,133,848,231,43,276,28,6,30,20,10,31,7,0,7,283,56,343,4,7,10,2.5,3.3,2.6,39.6,45.5,40.5,38.6,43.9,39.4,8,0,10,0,0,0,26,10,36,30,10,43,105,16,122,4,0,10,0,5,5,113,19,129,227,55,281,62,14,75,136,31,165,146,40,187
SAL50068,561,569,1131,287,158,450,74,168,243,24,15,36,15,13,28,398,355,758,146,202,346,4,3.9,3.9,71.5,63.1,67.3,68.6,60.6,64.6,31,27,56,12,15,23,86,104,196,51,72,121,165,69,236,3,12,14,12,14,33,181,102,282,556,573,1130,79,77,160,378,388,768,238,240,477
SAL50069,3731,4267,8000,2178,1315,3492,513,1382,1895,184,226,407,151,169,320,3023,3095,6112,599,1049,1644,5,5.4,5.2,81,72.5,76.4,76.9,68.5,72.4,101,119,224,40,101,139,385,696,1078,302,525,827,1068,770,1839,68,106,169,57,107,170,1189,979,2171,4335,4825,9158,686,760,1446,2657,2907,5564,1944,2193,4134
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,28,26,52,17,10,22,3,8,7,0,0,4,0,0,0,25,16,42,3,4,5,0,10,4.7,88.5,80,84.3,88.5,72,80.4,0,0,0,0,0,0,4,6,12,0,7,7,8,0,9,0,0,0,0,0,0,8,0,9,37,28,61,0,4,3,25,14,40,9,12,23
