SAL_CODE_2021,P55_64_C_Own_chld_childr,P55_64_C_Oth_ch_chiln,P55_64_Ca_Ow_ch_ch_oth_ch_ch,P55_64_yr_C_for_Tot,P55_64_D_not_prov_ch_care,P55_64_U_ch_care_ns,P55_64_OS_vis,P55_64_yr_Tot,P65_74_C_Own_chld_childr,P65_74_C_Oth_ch_chiln,P65_74_Ca_Ow_ch_ch_oth_ch_ch,P65_74_yr_C_for_Tot,P65_74_D_not_prov_ch_care,P65_74_U_ch_care_ns,P65_74_OS_vis,P65_74_yr_Tot,P75_84_C_Own_chld_childr,P75_84_C_Oth_ch_chiln,P75_84_Ca_Ow_ch_ch_oth_ch_ch,P75_84_yr_C_for_Tot,P75_84_D_not_prov_ch_care,P75_84_U_ch_care_ns,P75_84_OS_vis,P75_84_yr_Tot,P85ovr_C_Own_chld_childr,P85ovr_C_Oth_ch_chiln,P85ov_Ca_Ow_ch_ch_oth_ch_ch,P85ovr_C_for_Tot,P85ovr_D_not_prov_ch_care,P85ovr_U_ch_care_ns,P85ovr_OS_vis,P85ovr_Tot,PTot_C_Own_chld_childrn,PTot_C_Oth_ch_chiln,PTot_Ca_Ow_ch_ch_oth_ch_ch,PTot_C_for_Tot,PTot_D_not_prov_ch_care,PTot_U_ch_care_ns,PTot_OS_vis,PTot_Tot
SAL50035,55,123,0,181,652,14,0,852,10,188,0,200,400,13,0,609,3,66,0,71,368,0,0,443,0,4,0,4,185,9,0,203,1135,494,59,1686,3455,107,10,5258
SAL50036,54,126,0,177,677,9,4,872,12,130,0,141,309,12,5,476,4,25,0,29,174,3,0,206,0,0,0,0,44,0,0,45,1917,489,74,2483,4401,151,20,7053
SAL50037,21,76,0,95,271,3,4,373,4,81,0,86,184,7,0,280,0,9,0,14,110,3,0,126,0,0,0,0,83,4,0,84,1724,315,83,2113,2434,103,7,4662
SAL50038,10,33,0,37,198,9,0,248,0,33,3,35,302,21,4,358,0,6,0,6,169,10,0,192,0,0,0,0,85,14,0,99,136,81,12,229,1002,83,13,1325
SAL50039,53,284,0,342,1294,66,6,1710,14,189,0,204,1095,52,0,1353,3,39,0,40,641,31,0,715,0,4,0,0,157,7,0,168,2923,858,189,3965,7198,441,13,11618
SAL50040,48,178,4,225,708,23,7,956,10,120,0,131,444,16,3,592,0,16,0,17,218,10,0,236,0,0,0,0,47,0,0,47,3123,677,100,3898,5712,305,19,9932
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,9
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,8
SAL50043,0,0,0,0,4,4,0,12,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,12,16,9,0,42
SAL50044,0,0,0,0,8,0,0,8,0,0,0,0,3,0,0,3,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,26,6,0,29
SAL50045,0,3,0,4,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,21,3,0,36
SAL50046,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,12,0,0,14,4,0,0,17
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8
SAL50048,0,0,0,0,27,0,0,22,0,6,0,6,18,4,0,25,0,0,0,0,9,0,0,10,0,0,0,0,0,0,0,0,21,4,5,26,119,23,11,176
SAL50049,0,0,0,0,6,0,0,6,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,20
SAL50050,0,0,0,0,9,0,0,11,0,0,0,0,4,0,0,7,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,7,5,0,7,25,7,0,40
SAL50051,8,21,0,24,113,11,0,149,0,17,0,17,154,15,0,187,0,0,0,0,67,4,0,71,0,0,0,0,4,0,0,4,165,67,16,246,631,91,0,965
SAL50052,0,7,0,10,20,3,0,32,0,4,0,4,7,0,0,11,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,15,14,0,26,95,17,0,142
SAL50053,46,132,0,179,867,48,3,1096,9,191,0,195,728,46,13,975,3,43,0,51,696,58,0,800,0,3,0,5,387,26,0,422,1662,541,51,2256,6265,481,22,9012
SAL50054,126,562,6,687,1980,86,14,2764,19,323,3,345,1487,76,10,1919,6,57,0,62,914,58,0,1035,0,4,0,4,159,7,0,167,7992,1854,398,10242,14874,1052,40,26215
SAL50055,51,125,3,180,847,84,13,1126,19,116,0,141,696,60,4,901,3,17,0,20,460,36,0,516,0,0,0,0,106,15,0,121,2154,516,73,2743,6972,1005,28,10757
SAL50056,7,20,0,23,77,0,0,104,0,18,0,21,111,7,0,141,0,0,0,0,45,4,0,56,0,0,0,0,13,0,0,13,58,45,10,107,361,26,3,502
SAL50057,0,0,0,0,4,0,0,3,0,4,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,10,0,0,19
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,14
SAL50059,0,0,0,0,11,0,0,17,0,4,0,4,10,0,0,15,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,3,14,7,0,19,42,8,0,62
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SAL50061,127,410,0,541,2094,65,12,2708,21,286,0,306,1142,50,6,1502,3,51,0,55,571,26,0,652,0,5,0,3,177,10,0,192,2812,1167,86,4067,9951,528,22,14574
SAL50062,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,4,6,0,9,14,3,0,27
SAL50063,0,0,0,0,11,0,0,11,0,0,0,0,20,0,0,20,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,57
SAL50064,0,0,0,0,14,0,0,10,0,0,0,0,11,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,7,31,10,0,48
SAL50065,0,4,0,3,16,0,0,20,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,11,44,4,0,59
SAL50066,0,14,0,12,31,4,0,51,0,5,0,5,31,0,0,36,0,0,0,0,28,0,0,32,0,0,0,0,0,0,0,0,65,24,0,89,161,25,0,277
SAL50067,5,5,0,13,46,72,0,130,0,0,0,0,7,9,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,18,0,75,277,497,4,849
SAL50068,15,39,0,58,151,0,0,208,0,37,0,40,93,6,0,139,0,3,0,3,57,4,0,61,0,0,0,0,18,0,0,18,202,113,11,322,784,25,0,1127
SAL50069,39,141,3,177,530,20,9,740,5,69,0,71,281,13,3,373,0,3,0,3,99,5,0,107,0,0,0,0,18,0,0,18,2528,528,108,3161,4555,281,18,8017
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,17,4,0,24,27,5,0,52
SAL50072,0,0,0,0,4,0,0,4,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,16
SAL50073,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,8,0,0,14
SAL50074,0,3,0,3,10,5,0,10,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,7,23,7,0,37
SAL50075,7,19,0,25,101,4,0,134,0,15,0,15,80,7,0,108,0,0,0,0,49,3,0,56,0,0,0,0,13,0,0,13,136,52,3,194,506,38,4,740
SAL50076,0,0,0,0,18,24,0,48,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,29,80,186,4,301
SAL50077,3,4,0,7,35,0,0,43,0,9,0,12,35,0,0,43,0,0,0,0,32,0,0,29,0,0,0,0,3,0,0,3,50,16,0,72,186,3,0,252
SAL50078,64,167,6,235,1054,66,6,1353,11,179,3,192,810,34,5,1037,6,41,0,40,468,36,0,546,0,0,0,5,247,13,0,264,1764,609,91,2463,5795,381,23,8667
SAL50079,23,70,0,96,338,0,0,438,14,120,0,137,250,9,0,395,0,26,0,32,210,0,0,239,0,3,0,3,100,0,0,101,676,284,33,988,1984,64,4,3040
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,17,59,0,73,251,68,3,396,4,19,0,23,126,53,0,197,0,0,0,0,25,12,0,44,0,0,0,0,0,0,0,0,1030,157,58,1241,1703,488,11,3447
SAL50082,16,40,0,55,306,13,0,378,0,33,0,31,302,17,0,351,0,3,0,4,224,11,0,239,0,0,0,0,67,6,0,74,516,156,20,694,1707,83,0,2489
SAL50083,96,202,4,300,1373,50,0,1724,24,237,0,265,975,54,0,1301,6,55,0,64,632,47,0,736,0,7,0,7,386,41,0,431,2648,803,124,3570,8275,456,15,12317
SAL50084,3,21,0,23,156,15,0,196,0,13,0,16,120,19,0,152,0,0,0,0,82,10,0,95,0,0,0,0,29,14,0,40,172,78,17,262,803,96,0,1157
SAL50085,0,6,0,3,18,0,0,23,0,3,0,3,13,0,0,14,0,0,0,0,5,0,0,5,0,0,0,0,3,0,0,3,17,5,0,25,58,11,0,97
SAL50086,46,81,3,129,483,26,0,638,8,108,0,113,413,13,0,542,0,31,0,34,264,15,0,317,0,4,0,4,129,3,0,139,907,335,50,1291,2729,183,7,4208
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,0,17,0,0,14,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,15,22,4,0,44
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,14,17,0,0,34
SAL50090,35,86,0,125,557,27,7,723,9,101,4,118,491,21,8,633,0,19,0,19,278,25,0,324,0,0,0,0,84,5,0,97,1521,366,49,1939,4773,445,29,7181
SAL50091,38,91,0,128,518,22,0,665,8,106,0,113,358,10,0,483,0,26,0,26,228,14,0,262,0,0,0,0,104,8,0,113,1069,320,32,1411,2986,142,6,4541
SAL50092,11,81,3,90,344,9,0,444,8,57,0,59,194,3,0,261,0,12,0,13,118,6,0,141,0,0,0,0,24,0,0,30,499,240,39,777,1511,52,0,2344
SAL50093,55,143,0,205,984,47,0,1240,8,119,0,126,757,29,3,920,0,23,0,24,298,23,0,347,0,0,0,0,94,10,0,107,1284,462,73,1819,4977,377,13,7186
SAL50094,0,7,0,6,10,0,0,14,0,0,0,0,6,0,0,9,0,0,0,0,5,0,0,3,0,0,0,0,5,0,0,5,23,13,0,38,53,0,0,93
SAL50095,0,3,0,3,16,5,0,26,0,5,0,5,18,3,0,32,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,25,10,0,40,96,49,8,193
SAL50096,0,0,0,0,4,0,0,4,0,3,0,3,4,3,0,5,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,7,5,0,3,29,12,0,47
SAL50097,0,3,0,3,14,4,0,20,0,3,0,3,20,3,0,22,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,19,9,0,28,58,9,0,92
SAL50098,38,168,0,213,569,26,0,806,8,106,0,116,349,14,5,476,0,21,0,23,139,0,0,170,0,3,0,3,48,4,0,57,1743,501,68,2313,3902,209,9,6431
SAL50099,0,0,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,15,3,0,22
SAL50100,3,4,0,3,10,3,0,18,0,0,0,0,16,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,0,22,59,6,0,84
SAL50101,0,0,0,0,14,3,0,20,0,0,0,0,19,0,0,14,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,24,3,4,33,74,11,0,116
SAL50102,18,80,0,93,396,9,0,503,0,65,0,63,284,7,0,362,0,5,0,8,107,9,0,121,0,3,0,3,33,0,0,41,772,227,38,1032,2025,85,3,3147
SAL50103,0,15,0,15,50,3,0,63,0,5,0,5,34,0,0,39,0,3,0,3,17,0,0,19,0,0,0,0,9,0,0,3,32,21,0,59,178,7,0,239
SAL50104,7,29,0,42,152,17,0,208,0,10,0,18,131,11,0,156,0,6,0,4,54,4,0,56,0,0,0,0,29,0,0,27,210,84,14,307,842,69,4,1220
SAL50105,39,74,0,110,561,46,6,724,10,77,0,89,447,25,4,563,6,17,0,25,221,9,0,263,0,3,0,3,110,5,0,120,1015,306,26,1352,4165,440,29,5980
SAL50106,0,5,0,5,29,5,0,38,0,0,0,0,17,0,0,16,0,0,0,0,10,0,0,10,0,0,0,0,9,0,0,9,25,11,0,31,110,13,0,156
SAL50107,0,7,0,7,18,0,0,25,0,5,0,5,3,0,0,10,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,23,11,0,36,80,0,0,120
SAL50108,0,0,0,0,0,0,0,5,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,8,11,0,0,21
SAL50109,0,0,0,0,18,0,0,18,0,4,0,4,13,0,0,22,0,0,0,0,10,3,0,10,0,0,0,0,0,0,0,0,17,6,4,28,69,15,0,113
SAL50110,42,75,4,123,416,19,6,562,5,43,0,49,221,13,8,288,0,7,0,8,88,9,0,107,0,0,0,0,18,0,0,22,1066,281,37,1381,2866,172,14,4428
SAL50111,21,40,4,58,378,45,6,482,0,64,0,67,412,74,4,553,5,25,0,32,532,189,3,751,0,5,0,5,369,300,0,673,791,262,23,1079,5890,1168,46,8178
SAL50112,12,29,0,42,153,12,0,205,5,27,0,31,136,13,0,177,0,6,0,6,77,3,0,83,0,0,0,0,31,0,0,28,201,101,3,308,826,69,0,1206
SAL50113,0,0,0,0,7,0,0,6,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,16,3,0,32
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,28,61,0,95,258,19,3,375,4,46,0,47,165,3,4,222,0,10,0,10,73,4,0,86,0,0,0,0,12,0,0,12,1427,270,71,1769,2359,166,11,4310
SAL50116,3,13,0,19,131,9,0,166,0,20,0,21,191,17,0,233,0,0,0,0,103,20,0,124,0,0,0,0,37,5,0,46,101,49,8,164,660,99,4,927
SAL50117,38,139,0,182,635,13,0,832,3,143,0,147,434,24,3,610,4,21,0,28,321,28,0,373,4,0,0,4,151,24,0,177,917,428,44,1381,3202,167,5,4752
SAL50118,0,20,0,20,92,7,0,114,0,21,0,24,57,0,0,78,0,0,0,0,37,0,0,36,0,0,0,0,13,0,0,13,114,59,7,180,375,20,0,565
SAL50119,66,154,0,217,676,22,3,917,7,208,4,214,546,24,4,792,3,44,0,48,382,47,0,478,0,0,0,0,231,27,0,264,1056,521,44,1620,3749,211,13,5595
SAL50120,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,20
SAL50121,0,3,0,3,26,3,0,38,0,4,0,4,41,0,0,43,0,0,0,0,16,0,0,18,0,0,0,0,0,0,0,0,22,11,0,32,134,11,0,181
SAL50122,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,5,10,0,0,14
SAL50123,8,20,0,27,112,28,0,164,0,3,0,3,55,7,0,70,0,6,0,3,15,0,0,25,0,0,0,0,7,0,0,7,301,69,20,387,649,166,9,1210
SAL50124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50125,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,11,3,0,11,30,6,0,48
SAL50126,3,30,0,34,145,17,0,192,5,17,0,24,149,16,0,179,0,6,0,3,75,12,0,98,0,0,0,0,23,7,0,29,122,73,10,202,673,84,3,965
SAL50127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9
SAL50128,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4
SAL50129,5,20,0,26,157,6,0,192,0,20,0,20,148,0,0,171,0,9,0,7,41,0,0,53,0,0,0,0,6,0,0,14,202,67,11,277,679,38,0,1000
SAL50130,0,3,0,3,13,3,0,14,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,12,22,12,0,42
SAL50131,3,0,0,5,9,3,0,7,0,0,0,0,14,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,16,55,10,0,69
SAL50132,8,25,0,30,144,18,0,189,0,34,0,34,143,28,0,205,0,3,0,3,119,37,0,161,0,0,0,0,68,36,0,104,141,93,8,242,799,169,0,1211
SAL50133,0,0,0,0,18,0,0,23,0,0,0,0,20,0,0,20,0,0,0,0,5,3,0,8,0,0,0,0,6,0,0,6,12,0,0,12,52,6,0,70
SAL50134,0,3,0,0,3,0,0,10,0,0,0,0,7,0,0,7,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,5,3,0,9,23,3,0,31
SAL50135,0,0,0,0,8,0,0,7,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,8,20,0,0,30
SAL50136,6,0,0,4,7,4,0,14,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,21,5,0,31
SAL50137,15,18,0,34,193,22,0,247,6,13,0,16,112,5,0,132,0,4,0,4,44,12,0,54,0,0,0,0,7,3,0,13,311,58,16,384,748,91,3,1223
SAL50138,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,21,0,0,25
SAL50139,0,3,0,3,8,0,0,14,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,9,24,0,0,36
SAL50140,3,0,0,8,23,0,0,33,0,0,0,0,18,0,0,28,0,0,0,0,9,0,0,9,0,0,0,0,3,0,0,3,7,0,0,10,82,8,0,100
SAL50141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,17,15,7,0,35
SAL50142,0,5,0,9,33,9,0,47,0,0,0,0,29,4,0,35,0,0,0,0,11,5,0,15,0,0,0,0,0,0,0,0,27,3,3,35,119,25,0,180
SAL50143,0,5,0,5,13,7,0,22,0,0,0,0,5,5,0,9,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,37,7,3,49,59,39,3,145
SAL50144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,6,0,0,7
SAL50145,3,0,0,3,18,0,0,23,0,0,0,0,23,3,0,24,0,0,0,0,4,4,0,5,0,0,0,0,0,0,0,0,17,4,0,23,82,9,0,111
