SA3_CODE_2021,No_bed_ne_sp_Hw_ATSIP,No_bed_ne_sp_Oth_h,No_bed_ne_sp_Tot,One_m_bn_One_ebn_Hw_ATSIP,One_m_bn_One_ebn_Oth_h,One_m_bn_One_ebn_Tot,One_m_bn_Two_ebn_Hw_ATSIP,One_m_bn_Two_ebn_Oth_h,One_m_bn_Two_ebn_Tot,One_m_bn_Thr_ebn_Hw_ATSIP,One_m_bn_Thr_ebn_Oth_h,One_m_bn_Thr_ebn_Tot,One_m_bn_Fou_m_ebn_Hw_ATSIP,One_m_bn_Fou_m_ebn_Oth_h,One_m_bn_Fou_m_ebn_Tot,One_m_bn_Tot_Hw_ATSIP,One_m_bn_Tot_Oth_h,One_m_bn_Tot_Tot,One_m_bs_One_bs_Hw_ATSIP,One_m_bs_One_bs_Oth_h,One_m_bs_One_bs_Tot,One_m_bs_Two_bs_Hw_ATSIP,One_m_bs_Two_bs_Oth_h,One_m_bs_Two_bs_Tot,One_m_bs_Thr_bs_Hw_ATSIP,One_m_bs_Thr_bs_Oth_h,One_m_bs_Thr_bs_Tot,One_m_bs_Fou_m_bs_Hw_ATSIP,One_m_bs_Fou_m_bs_Oth_h,One_m_bs_Fou_m_bs_Tot,One_m_bs_Tot_Hw_ATSIP,One_m_bs_Tot_Oth_h,One_m_bs_Tot_Tot,Tot_Hw_ATSIP,Tot_Oth_h,Tot_Tot
50502,360,11570,11933,62,1360,1428,15,203,220,0,35,43,0,11,16,77,1609,1707,419,27234,27657,266,28319,28589,41,8100,8145,12,1043,1046,738,64696,65437,1281,81328,82612
50503,319,6301,6614,91,1007,1107,28,213,240,7,44,52,11,24,31,137,1288,1430,523,19405,19929,464,25051,25513,158,12801,12956,13,946,958,1158,58203,59356,1739,69283,71023
50601,253,3324,3578,76,508,580,16,72,91,4,18,23,5,5,9,101,603,703,361,8757,9119,271,11826,12098,93,4898,4994,10,506,517,735,25987,26728,1182,31370,32549
50602,239,6108,6349,42,716,762,14,74,86,0,18,15,0,9,6,56,817,869,287,9931,10218,180,9421,9600,29,2298,2333,10,215,226,506,21865,22377,869,30074,30940
50603,148,4964,5115,38,729,766,5,139,144,4,27,33,0,7,8,47,902,951,180,9971,10147,152,10938,11087,33,5046,5078,10,742,750,375,26697,27062,619,34094,34710
50604,261,5187,5454,75,956,1026,19,226,247,9,63,69,3,14,17,106,1259,1359,374,11714,12090,334,14365,14693,102,6444,6537,14,537,550,824,33060,33870,1309,41369,42675
50605,104,1743,1850,31,214,244,5,45,49,0,16,16,0,0,0,36,275,309,184,5273,5450,144,7540,7691,70,4267,4335,9,619,629,407,17699,18105,584,20662,21248
50606,54,837,889,4,106,109,0,29,32,0,4,4,0,0,0,4,139,145,119,2414,2538,116,3372,3486,51,2329,2382,6,230,232,292,8345,8638,384,9852,10232
50607,71,2693,2763,16,183,203,3,23,26,0,3,3,0,0,0,19,209,232,90,6488,6582,49,5431,5481,12,1662,1678,0,316,315,151,13897,14056,263,17428,17690
50701,206,4742,4942,57,498,558,15,71,84,8,9,16,0,5,8,80,583,666,315,12135,12444,247,14760,15010,73,7012,7087,4,551,560,639,34458,35101,1005,41738,42742
50702,122,3222,3344,20,227,247,3,24,28,3,3,6,0,0,0,26,254,281,91,5712,5804,48,4517,4560,10,1185,1196,0,173,175,149,11587,11735,325,15795,16121
50703,135,1707,1838,41,258,305,8,55,68,6,13,13,0,0,0,55,326,386,192,4316,4513,167,5362,5528,58,2318,2374,3,173,179,420,12169,12594,657,15009,15666
50704,114,4094,4204,25,304,329,6,37,41,0,12,11,0,0,0,31,353,381,152,11853,12001,115,13164,13277,34,6966,7000,9,1065,1077,310,33048,33355,473,38986,39453
50705,259,3910,4171,53,447,500,14,67,79,4,14,17,0,3,4,71,531,600,518,12489,13008,447,16479,16925,206,10173,10378,13,709,721,1184,39850,41032,1626,46804,48428
50901,230,2638,2867,63,277,336,9,50,60,3,14,13,4,5,3,79,346,412,304,5978,6276,235,8126,8359,72,3515,3590,9,518,519,620,18137,18744,1014,22245,23262
50902,210,1860,2063,68,252,309,23,32,58,3,13,19,3,0,7,97,297,393,312,4789,5102,242,7030,7277,88,3464,3551,19,587,603,661,15870,16533,1063,19335,20393
50903,89,686,777,9,74,87,0,7,11,0,0,0,0,0,0,9,81,98,105,1710,1812,102,2535,2642,25,1133,1164,3,193,196,235,5571,5814,356,6851,7212
51001,1105,1158,2261,474,165,632,207,27,237,110,11,124,68,3,65,859,206,1058,1037,1745,2780,604,1633,2234,155,660,814,23,86,104,1819,4124,5932,4073,5971,10043
51002,327,926,1254,89,100,191,45,17,60,20,5,25,32,0,32,186,122,308,423,1722,2149,321,1533,1851,62,438,502,14,52,65,820,3745,4567,1441,5068,6508
51003,252,973,1228,56,104,156,17,10,28,4,3,11,0,0,4,77,117,199,346,2238,2583,269,2245,2515,75,705,781,4,74,82,694,5262,5961,1125,6761,7888
51101,69,651,721,10,68,75,6,6,15,0,3,3,0,0,0,16,77,93,85,1434,1521,70,1959,2025,32,863,896,0,139,142,187,4395,4584,296,5482,5777
51102,123,591,710,27,78,111,13,18,34,6,3,8,5,9,12,51,108,165,111,697,805,123,886,1006,18,289,308,4,52,52,256,1924,2171,451,2841,3291
51103,288,1510,1804,134,162,292,42,30,65,22,9,23,15,0,15,213,201,395,357,3078,3436,320,3793,4107,82,1474,1561,10,189,196,769,8534,9300,1387,10891,12275
51104,385,1753,2144,134,186,317,48,22,72,17,5,24,13,0,17,212,213,430,562,4596,5161,439,6455,6889,145,3175,3320,21,391,410,1167,14617,15780,1919,17576,19497
59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3
59999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
