SA3_CODE_2021,One_f_h_N_pe_UR_One_ATSIF,One_f_h_N_pe_UR_Two_ATSIF,One_f_h_N_pe_UR_Three_ATSIF,One_f_h_N_pe_UR_Four_ATSIF,One_f_h_N_pe_UR_Five_ATSIF,One_f_h_N_pe_UR_Six_m_ATSIF,One_f_h_Tot_ATSIF,Two_f_h_N_pe_UR_One_ATSIF,Two_f_h_N_pe_UR_Two_ATSIF,Two_f_h_N_pe_UR_Three_ATSIF,Two_f_h_N_pe_UR_Four_ATSIF,Two_f_h_N_pe_UR_Five_ATSIF,Two_f_h_N_pe_UR_Six_m_ATSIF,Two_f_h_Tot_ATSIF,Thr_m_f_h_N_pe_UR_One_ATSIF,Thr_m_f_h_N_pe_UR_Two_ATSIF,Thr_m_f_h_N_pe_UR_Three_ATSIF,Thr_m_f_h_N_pe_UR_Four_ATSIF,Thr_m_f_h_N_pe_UR_Five_ATSIF,Thr_m_f_h_N_pe_UR_Six_m_ATSIF,Thr_m_f_h_Tot_ATSIF,Tot_N_pe_UR_One_ATSIF,Tot_N_pe_UR_Two_ATSIF,Tot_N_pe_UR_Three_ATSIF,Tot_N_pe_UR_Four_ATSIF,Tot_N_pe_UR_Five_ATSIF,Tot_N_pe_UR_Six_m_ATSIF,Tot_Tot_ATSIF,One_f_h_N_pe_UR_One_Oth_f,One_f_h_N_pe_UR_Two_Oth_f,One_f_h_N_pe_UR_Three_Oth_f,One_f_h_N_pe_UR_Four_Oth_f,One_f_h_N_pe_UR_Five_Oth_f,One_f_h_N_pe_UR_Six_m_Oth_f,One_f_h_Tot_Oth_f,Two_f_h_N_pe_UR_One_Oth_f,Two_f_h_N_pe_UR_Two_Oth_f,Two_f_h_N_pe_UR_Three_Oth_f,Two_f_h_N_pe_UR_Four_Oth_f,Two_f_h_N_pe_UR_Five_Oth_f,Two_f_h_N_pe_UR_Six_m_Oth_f,Two_f_h_Tot_Oth_f,Thr_m_f_h_N_pe_UR_One_Oth_f,Thr_m_f_h_N_pe_UR_Two_Oth_f,Thr_m_f_h_N_pe_UR_Three_Oth_f,Thr_m_f_h_N_pe_UR_Four_Oth_f,Thr_m_f_h_N_pe_UR_Five_Oth_f,Thr_m_f_h_N_pe_UR_Six_m_Oth_f,Thr_m_f_h_Tot_Oth_f,Tot_N_pe_UR_One_Oth_f,Tot_N_pe_UR_Two_Oth_f,Tot_N_pe_UR_Three_Oth_f,Tot_N_pe_UR_Four_Oth_f,Tot_N_pe_UR_Five_Oth_f,Tot_N_pe_UR_Six_m_Oth_f,Tot_Tot_Oth_f
50502,..,340,200,153,72,31,803,..,..,..,19,15,24,52,..,..,..,..,..,4,4,..,340,200,171,81,61,862,..,24403,11791,11341,3542,1088,52163,..,..,..,508,568,870,1946,..,..,..,..,..,84,84,..,24403,11791,11854,4109,2036,54185
50503,..,338,360,315,187,156,1351,..,..,..,33,34,66,131,..,..,..,..,..,10,10,..,338,360,346,220,230,1487,..,19819,12552,13292,5156,2002,52815,..,..,..,805,900,1386,3087,..,..,..,..,..,134,134,..,19819,12552,14091,6058,3521,56042
50601,..,240,209,201,121,107,886,..,..,..,23,15,50,94,..,..,..,..,..,9,9,..,240,209,227,140,167,988,..,8961,5380,5617,2140,942,23032,..,..,..,338,428,611,1376,..,..,..,..,..,73,73,..,8961,5380,5955,2568,1626,24480
50602,..,203,156,74,51,33,518,..,..,..,19,10,4,38,..,..,..,..,..,0,0,..,203,156,90,57,35,551,..,9067,4087,3258,990,386,17791,..,..,..,184,139,229,559,..,..,..,..,..,25,25,..,9067,4087,3449,1129,650,18378
50603,..,138,104,89,44,27,403,..,..,..,12,3,25,41,..,..,..,..,..,4,4,..,138,104,105,50,56,450,..,9056,5539,6029,2248,823,23695,..,..,..,288,385,646,1323,..,..,..,..,..,86,86,..,9056,5539,6317,2640,1553,25103
50604,..,285,249,216,109,94,950,..,..,..,15,20,53,87,..,..,..,..,..,12,12,..,285,249,236,125,157,1054,..,11081,6985,7251,3096,1493,29908,..,..,..,430,505,1013,1953,..,..,..,..,..,130,130,..,11081,6985,7686,3606,2640,31997
50605,..,133,110,112,61,36,448,..,..,..,6,13,17,37,..,..,..,..,..,0,0,..,133,110,115,74,55,490,..,6909,3259,3316,1376,447,15318,..,..,..,212,205,262,675,..,..,..,..,..,44,44,..,6909,3259,3528,1584,754,16033
50606,..,83,66,81,48,34,322,..,..,..,0,8,13,25,..,..,..,..,..,0,0,..,83,66,79,61,52,347,..,2955,1716,1906,865,394,7836,..,..,..,132,164,290,591,..,..,..,..,..,35,35,..,2955,1716,2041,1037,716,8456
50607,..,65,29,33,14,8,161,..,..,..,5,0,3,9,..,..,..,..,..,0,0,..,65,29,35,14,12,170,..,5657,2247,2104,646,141,10797,..,..,..,69,71,80,225,..,..,..,..,..,13,13,..,5657,2247,2175,721,229,11029
50701,..,224,197,168,80,71,736,..,..,..,20,10,34,69,..,..,..,..,..,3,3,..,224,197,188,93,114,811,..,12639,7133,7171,2343,664,29946,..,..,..,360,388,524,1281,..,..,..,..,..,66,66,..,12639,7133,7533,2731,1254,31289
50702,..,85,47,39,21,11,207,..,..,..,4,4,5,10,..,..,..,..,..,0,0,..,85,47,38,27,20,215,..,5039,2095,1957,570,129,9786,..,..,..,78,77,58,213,..,..,..,..,..,0,0,..,5039,2095,2030,649,191,10005
50703,..,153,128,111,57,43,488,..,..,..,5,5,34,47,..,..,..,..,..,0,0,..,153,128,112,68,78,535,..,4109,2588,2500,1049,442,10685,..,..,..,121,168,332,616,..,..,..,..,..,45,45,..,4109,2588,2619,1210,815,11343
50704,..,115,77,80,41,14,329,..,..,..,6,4,18,27,..,..,..,..,..,0,0,..,115,77,85,42,34,357,..,12431,6005,6724,2322,529,28008,..,..,..,249,326,463,1038,..,..,..,..,..,29,29,..,12431,6005,6969,2645,1022,29071
50705,..,336,313,306,185,120,1256,..,..,..,17,34,39,88,..,..,..,..,..,0,0,..,336,313,319,221,159,1345,..,14407,7612,7512,3106,1175,33809,..,..,..,428,433,632,1490,..,..,..,..,..,78,78,..,14407,7612,7944,3533,1882,35375
50901,..,257,186,150,102,68,758,..,..,..,13,9,32,51,..,..,..,..,..,4,4,..,257,186,162,108,109,816,..,8014,2695,2519,1093,458,14781,..,..,..,137,116,236,482,..,..,..,..,..,22,22,..,8014,2695,2656,1209,717,15287
50902,..,278,184,152,85,77,779,..,..,..,18,22,35,74,..,..,..,..,..,5,5,..,278,184,172,106,122,859,..,7320,2209,1954,997,376,12858,..,..,..,160,114,238,510,..,..,..,..,..,22,22,..,7320,2209,2107,1115,633,13387
50903,..,94,60,37,29,30,252,..,..,..,11,4,0,14,..,..,..,..,..,0,0,..,94,60,42,30,31,262,..,2569,720,715,388,117,4508,..,..,..,36,27,34,99,..,..,..,..,..,4,4,..,2569,720,745,416,154,4609
51001,..,820,675,578,395,346,2811,..,..,..,99,136,469,709,..,..,..,..,..,207,207,..,820,675,680,535,1022,3724,..,1804,727,780,306,86,3698,..,..,..,32,30,62,128,..,..,..,..,..,3,3,..,1804,727,813,334,151,3831
51002,..,313,227,217,140,119,1022,..,..,..,24,32,127,174,..,..,..,..,..,63,63,..,313,227,236,168,310,1264,..,1384,762,780,354,141,3423,..,..,..,15,21,39,83,..,..,..,..,..,3,3,..,1384,762,801,383,181,3508
51003,..,249,188,198,116,73,821,..,..,..,20,11,47,75,..,..,..,..,..,3,3,..,249,188,213,131,119,895,..,1834,1027,1353,606,154,4973,..,..,..,23,27,53,107,..,..,..,..,..,8,8,..,1834,1027,1379,634,212,5086
51101,..,93,47,39,29,14,227,..,..,..,4,5,3,13,..,..,..,..,..,0,0,..,93,47,44,33,26,241,..,1892,651,652,290,111,3594,..,..,..,33,23,45,96,..,..,..,..,..,3,3,..,1892,651,693,311,154,3695
51102,..,127,64,64,27,30,304,..,..,..,0,6,14,20,..,..,..,..,..,13,13,..,127,64,67,27,57,334,..,926,315,341,125,36,1743,..,..,..,19,17,33,67,..,..,..,..,..,3,3,..,926,315,363,143,69,1816
51103,..,299,239,182,134,114,964,..,..,..,28,47,112,186,..,..,..,..,..,38,38,..,299,239,213,176,260,1186,..,3186,1575,1499,649,253,7159,..,..,..,70,60,103,229,..,..,..,..,..,3,3,..,3186,1575,1569,703,361,7394
51104,..,450,332,283,170,132,1367,..,..,..,30,40,101,173,..,..,..,..,..,23,23,..,450,332,316,208,251,1561,..,6290,2253,2002,848,284,11671,..,..,..,127,110,147,384,..,..,..,..,..,4,4,..,6290,2253,2126,957,437,12060
59797,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
59999,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0,..,0,0,0,0,0,0,..,..,..,0,0,0,0,..,..,..,..,..,0,0,..,0,0,0,0,0,0
