SA3_CODE_2021,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF,T_EI_ns_IndSt_nsP,T_EI_ns_TotM,T_EI_ns_TotF,T_EI_ns_TotP,Tot_Indig_M,Tot_Indig_F,Tot_Indig_P,Tot_NonInd_M,Tot_NonInd_F,Tot_NonInd_P,Tot_IndigStat_nsM,Tot_IndigStat_nsF,Tot_IndigStat_nsP,Tot_TotM,Tot_TotF,Tot_TotP
50903,0,25,65,94,18,11,33,146,144,281,909,834,1743,1072,988,2057,135,149,288,1565,1755,3318,923,847,1773,2618,2752,5374
51001,0,58,89,149,675,462,1141,145,111,253,2080,2138,4223,2894,2712,5608,2480,2306,4784,1659,1907,3568,2107,2163,4275,6250,6374,12628
51002,3,71,128,197,102,120,220,119,89,207,2848,1445,4289,3064,1653,4720,738,758,1495,1837,1941,3779,2858,1454,4310,5432,4153,9592
51003,0,69,110,177,219,60,278,149,101,249,2757,1802,4559,3125,1960,5080,683,520,1204,2927,2916,5842,2776,1815,4592,6388,5253,11639
51101,0,25,42,67,21,8,29,104,109,218,785,653,1442,913,767,1688,136,118,257,1445,1592,3042,801,671,1471,2382,2384,4766
51102,0,23,18,48,33,36,69,95,75,164,666,546,1207,791,653,1445,171,173,347,674,679,1357,671,561,1234,1523,1415,2938
51103,0,122,149,268,288,149,433,259,179,437,2725,1730,4455,3269,2058,5330,845,689,1531,3564,3558,7123,2744,1749,4490,7156,5996,13146
51104,0,136,192,331,260,157,423,321,249,571,3121,2457,5581,3715,2864,6575,1042,962,2004,4580,5034,9610,3159,2487,5647,8781,8484,17265
59797,0,0,0,3,0,0,0,0,0,6,191,19,214,193,20,219,0,0,0,16,9,28,191,19,214,209,28,237
59999,0,23,34,55,603,481,1082,892,362,1248,734,422,1159,2227,1260,3489,637,521,1157,1163,677,1838,736,422,1163,2535,1623,4160
