SA3_CODE_2021,M_15_19_Pvded_upaid_assist,M_15_19_No_upaid_assist_Pvded,M_15_19_upaid_assist_ns,M_15_19_Tot,M_20_24_Pvded_upaid_assist,M_20_24_No_upaid_assist_Pvded,M_20_24_upaid_assist_ns,M_20_24_Tot,M_25_34_Pvded_upaid_assist,M_25_34_No_upaid_assist_Pvded,M_25_34_upaid_assist_ns,M_25_34_Tot,M_35_44_Pvded_upaid_assist,M_35_44_No_upaid_assist_Pvded,M_35_44_upaid_assist_ns,M_35_44_Tot,M_45_54_Pvded_upaid_assist,M_45_54_No_upaid_assist_Pvded,M_45_54_upaid_assist_ns,M_45_54_Tot,M_55_64_Pvded_upaid_assist,M_55_64_No_upaid_assist_Pvded,M_55_64_upaid_assist_ns,M_55_64_Tot,M_65over_Pvded_upaid_assist,M_65ove_No_upaid_assist_Pvde,M_65over_upaid_assist_ns,M_65_and_over_Tot,M_TotPvded_upaid_assist,M_Tot_No_upaid_assist_Pvded,M_Tot_upaid_assist_ns,M_Tot_Tot,F_15_19_Pvded_upaid_assist,F_15_19_No_upaid_assist_Pvded,F_15_19_upaid_assist_ns,F_15_19_Tot,F_20_24_Pvded_upaid_assist,F_20_24_No_upaid_assist_Pvded,F_20_24_upaid_assist_ns,F_20_24_Tot,F_25_34_Pvded_upaid_assist,F_25_34_No_upaid_assist_Pvded,F_25_34_upaid_assist_ns,F_25_34_Tot,F_35_44_Pvded_upaid_assist,F_35_44_No_upaid_assist_Pvded,F_35_44_upaid_assist_ns,F_35_44_Tot,F_45_54_Pvded_upaid_assist,F_45_54_No_upaid_assist_Pvded,F_45_54_upaid_assist_ns,F_45_54_Tot,F_55_64_Pvded_upaid_assist,F_55_64_No_upaid_assist_Pvded,F_55_64_upaid_assist_ns,F_55_64_Tot,F_65over_Pvded_upaid_assist,F_65ove_No_upaid_assist_Pvd,F_65over_upaid_assist_ns,F_65_and_over_Tot,F_TotPvded_upaid_assist,F_Tot_No_upaid_assist_Pvded,F_Tot_upaid_assist_ns,F_Tot_Tot,P_15_19_Pvded_upaid_assist,P_15_19_No_upaid_assist_Pvded,P_15_19_upaid_assist_ns,P_15_19_Tot,P_20_24_Pvded_upaid_assist,P_20_24_No_upaid_assist_Pvded,P_20_24_upaid_assist_ns,P_20_24_Tot,P_25_34_Pvded_upaid_assist,P_25_34_No_upaid_assist_Pvded,P_25_34_upaid_assist_ns,P_25_34_Tot,P_35_44_Pvded_upaid_assist,P_35_44_No_upaid_assist_Pvded,P_35_44_upaid_assist_ns,P_35_44_Tot,P_45_54_Pvded_upaid_assist,P_45_54_No_upaid_assist_Pvded,P_45_54_upaid_assist_ns,P_45_54_Tot,P_55_64_Pvded_upaid_assist,P_55_64_No_upaid_assist_Pvded,P_55_64_upaid_assist_ns,P_55_64_Tot,P_65over_Pvded_upaid_assist,P_65ove_No_upaid_assist_Pvd,P_65over_upaid_assist_ns,P_65_and_over_Tot,P_TotPvded_upaid_assist,P_Tot_No_upaid_assist_Pvded,P_Tot_upaid_assist_ns,P_Tot_Tot
50502,11,102,7,115,9,102,3,115,16,173,3,200,20,92,5,117,16,96,0,119,5,75,5,89,7,40,5,54,87,692,30,812,9,79,3,92,10,108,0,125,33,171,7,215,31,136,5,173,41,125,3,164,28,89,0,118,12,61,3,82,167,761,33,959,17,184,9,207,17,208,8,237,48,348,13,411,51,232,11,291,58,213,6,283,32,165,7,208,22,107,9,138,252,1457,60,1775
50503,11,198,9,220,5,140,5,157,14,228,10,255,24,157,4,189,21,98,7,124,20,86,5,109,12,44,3,61,108,957,42,1110,14,171,10,199,18,142,7,162,58,266,13,327,47,154,5,202,35,126,7,169,27,114,9,142,7,64,11,85,199,1039,50,1289,27,369,23,418,22,284,8,315,72,494,21,587,71,311,7,393,54,227,9,292,47,191,11,253,17,114,15,143,308,1999,98,2400
50601,7,111,14,128,0,101,6,112,21,194,12,233,16,112,3,132,12,89,6,106,13,67,3,80,6,40,3,46,79,708,50,831,6,113,4,120,13,108,7,125,33,176,8,216,28,105,7,135,20,81,8,109,18,68,10,93,8,63,4,65,122,707,41,868,16,221,21,254,15,207,10,236,54,377,15,446,39,219,13,267,38,167,14,217,29,135,11,174,8,100,3,112,203,1416,85,1708
50602,7,78,0,85,13,73,3,89,9,132,3,146,8,79,0,93,3,76,3,89,6,64,14,82,0,37,6,41,45,544,36,625,3,62,5,68,10,81,0,87,30,119,3,151,14,72,3,92,19,72,10,105,23,61,5,88,7,54,15,74,100,523,33,657,7,146,6,156,17,150,4,174,36,248,11,300,28,152,3,185,23,153,12,187,26,123,15,169,10,86,19,118,149,1064,72,1281
50603,4,69,5,74,3,60,0,67,11,81,7,92,7,41,6,54,8,52,0,63,7,32,0,37,3,33,0,34,39,363,18,425,11,66,5,82,3,63,0,64,15,79,8,105,11,55,6,77,15,50,0,70,7,34,3,44,8,40,3,46,65,382,34,483,11,133,7,150,5,121,3,133,20,163,10,197,22,94,10,131,25,103,4,128,19,65,0,83,4,63,4,76,111,745,54,904
50604,6,107,30,140,13,138,56,200,23,158,156,338,14,120,89,224,20,109,42,171,7,70,10,89,13,65,8,84,91,764,381,1236,12,117,10,141,14,111,19,141,33,183,51,268,40,136,41,216,27,116,21,167,26,81,5,112,17,77,6,94,170,825,150,1144,15,222,41,279,23,241,69,342,59,345,205,609,53,254,126,434,42,226,59,333,33,152,16,202,27,143,13,180,259,1588,532,2375
50605,6,76,8,84,3,41,0,48,6,80,0,87,0,67,5,75,3,43,3,52,6,30,0,43,6,17,0,24,33,358,15,405,7,70,3,73,6,55,0,63,12,77,5,92,12,58,0,76,16,55,8,75,8,35,0,43,0,32,0,34,60,379,14,456,11,142,13,162,8,98,0,106,22,153,4,173,17,129,6,143,21,99,9,130,12,65,0,85,8,49,0,58,92,734,38,862
50606,4,26,0,30,3,24,0,34,0,41,24,65,3,36,22,64,4,25,14,37,0,11,4,17,0,12,0,12,19,177,66,263,0,41,0,51,0,30,0,30,11,59,3,71,13,41,0,52,8,27,0,37,4,22,0,20,5,9,0,6,39,220,6,262,4,71,5,77,3,55,0,67,13,94,27,132,14,81,22,111,11,48,14,73,9,27,4,40,5,18,0,27,60,397,68,523
50607,0,56,14,70,5,27,0,34,8,32,0,45,0,18,0,18,0,29,4,33,0,18,0,19,0,14,4,17,11,192,26,226,0,36,4,43,0,22,0,21,8,46,0,59,3,13,6,18,5,29,4,37,0,15,0,26,3,9,0,15,25,173,22,224,0,96,17,116,7,53,0,55,16,78,7,96,7,28,4,36,5,57,5,74,0,34,3,44,3,17,6,30,46,366,49,457
50701,6,95,4,112,7,94,0,103,10,145,3,156,12,86,3,102,22,71,3,92,11,41,4,59,5,42,0,42,75,574,19,670,6,94,7,110,9,102,0,109,20,158,10,187,26,102,0,126,23,86,0,103,17,54,0,78,12,37,7,53,108,632,27,771,11,194,11,214,13,194,0,213,35,301,11,346,38,187,7,229,36,154,3,195,32,100,7,134,10,82,8,98,180,1207,49,1436
50702,0,34,0,37,0,15,0,14,6,33,0,40,0,26,0,30,4,31,7,43,3,25,0,25,3,20,0,17,19,179,10,208,0,29,3,28,3,24,5,32,5,50,0,56,4,32,0,40,4,21,0,28,3,20,0,28,5,20,4,20,29,201,10,235,0,62,4,63,3,39,3,47,9,78,0,94,4,64,0,66,12,57,7,76,6,43,0,52,10,33,4,46,50,377,22,444
50703,4,69,25,96,6,69,85,159,4,98,213,316,4,67,126,195,15,50,45,106,5,20,7,33,3,28,4,41,36,399,510,946,6,68,6,74,7,53,5,65,22,110,0,129,26,66,0,87,17,53,0,68,5,46,0,47,5,26,0,33,78,416,12,505,10,135,30,172,13,124,94,218,27,209,214,446,22,130,126,279,24,102,51,177,14,65,7,79,12,51,7,66,119,812,523,1451
50704,0,54,7,59,5,43,0,51,3,56,4,67,4,43,0,49,8,24,3,35,10,29,0,39,3,16,0,20,34,268,16,317,3,43,9,53,3,35,5,47,5,57,9,69,11,43,5,58,16,27,0,41,16,31,3,54,3,19,0,24,57,260,33,342,3,99,11,117,9,78,5,93,8,117,11,136,18,84,4,105,18,54,6,76,23,65,9,93,11,36,0,46,90,527,42,660
50705,13,141,5,156,8,139,7,160,17,240,3,262,26,154,11,188,20,110,3,136,11,80,6,93,13,43,4,60,100,903,48,1054,20,147,4,167,18,132,6,154,39,218,9,271,33,153,3,193,47,108,0,156,19,87,0,108,11,44,11,76,184,891,42,1121,30,284,10,319,28,274,13,314,60,459,19,538,60,309,15,374,64,221,5,289,29,157,8,201,23,96,21,131,292,1795,85,2170
50901,6,110,18,140,4,82,20,105,14,122,73,205,20,87,53,156,21,82,24,127,16,91,8,122,9,54,3,60,86,637,192,916,9,111,14,135,9,50,11,66,18,110,13,138,31,79,6,122,34,113,12,153,20,77,10,104,18,78,10,103,136,614,65,817,20,220,31,269,17,130,23,167,30,232,85,346,46,171,56,275,51,199,29,279,35,167,24,224,21,133,10,166,218,1254,261,1735
50902,7,151,9,170,5,77,3,90,22,109,11,137,12,94,6,111,17,89,4,104,14,137,11,164,18,77,15,110,92,732,61,888,6,97,9,110,13,58,6,80,21,110,5,140,20,97,6,123,29,96,12,136,34,117,13,164,15,98,3,122,134,671,55,861,11,249,21,277,19,136,11,170,38,219,14,274,29,191,20,236,43,186,13,243,46,258,19,322,35,178,15,222,225,1407,111,1750
50903,0,25,4,29,0,28,5,34,8,22,0,28,6,34,0,40,6,46,0,46,7,32,0,41,6,30,0,43,33,217,16,260,5,32,3,40,0,27,0,29,6,50,0,53,9,32,4,38,14,36,4,49,10,36,0,48,10,35,0,38,50,239,15,303,7,55,9,70,8,56,8,68,11,68,0,80,15,61,6,84,17,78,7,95,16,68,4,89,14,63,7,83,79,456,30,564
51001,47,540,72,655,65,433,71,568,135,811,153,1101,123,682,133,936,93,556,89,743,54,381,50,480,28,278,29,334,544,3671,599,4815,59,527,74,651,106,452,51,609,201,865,83,1145,185,739,86,1013,168,571,48,787,104,439,34,576,46,336,35,412,868,3930,405,5200,101,1066,139,1304,169,882,120,1172,335,1676,233,2243,311,1423,212,1947,263,1129,138,1531,158,820,85,1061,75,614,61,750,1413,7596,1003,10013
51002,36,182,15,235,21,149,10,175,41,322,29,389,39,253,27,317,22,197,13,242,17,139,11,168,8,77,3,90,183,1318,107,1608,20,181,17,216,25,130,10,172,54,298,26,376,62,223,21,303,39,170,20,228,33,146,9,190,13,102,8,126,246,1253,102,1609,59,359,28,447,50,278,13,345,91,623,53,768,99,476,45,625,66,370,31,468,49,286,23,357,25,183,14,216,436,2570,208,3220
51003,7,130,8,149,12,123,29,168,21,221,65,310,25,196,51,273,15,147,30,195,23,83,16,121,3,46,4,51,111,953,207,1267,13,104,12,129,9,103,0,118,31,206,8,252,25,164,16,206,40,137,13,190,17,80,3,99,17,53,3,79,155,861,63,1070,19,240,25,283,21,228,30,283,57,428,78,558,51,360,63,481,57,281,39,382,37,167,20,216,18,104,8,136,261,1810,271,2339
51101,5,38,4,53,3,15,5,20,5,23,0,34,5,29,0,30,0,23,4,26,9,28,0,37,0,25,4,29,23,179,20,216,0,33,10,42,0,25,0,27,3,38,0,43,7,24,0,38,8,33,0,40,6,25,0,30,0,25,0,27,23,201,12,237,5,77,14,87,0,40,5,48,8,62,0,76,10,52,0,66,8,54,7,64,13,52,0,62,0,48,4,57,50,375,33,456
51102,0,37,9,45,0,22,0,29,13,40,0,54,7,38,4,50,13,60,3,76,11,54,4,68,7,54,8,64,56,315,23,390,0,44,0,46,11,29,0,42,17,52,0,65,3,36,0,42,20,55,0,78,12,46,3,69,9,56,8,74,75,318,15,415,6,82,3,89,11,56,0,65,25,91,0,123,11,75,3,91,30,112,6,150,27,102,3,135,14,106,12,135,128,628,42,801
51103,8,155,35,199,9,146,39,203,26,264,79,370,31,181,67,277,29,174,46,249,7,144,9,162,9,91,8,105,127,1162,283,1570,14,173,28,208,18,132,11,157,34,238,28,306,41,210,31,282,32,200,28,257,20,140,21,183,10,121,13,147,169,1219,157,1550,20,329,63,409,28,284,54,365,61,506,103,678,76,388,96,557,59,378,77,514,34,289,26,349,15,214,20,252,298,2382,444,3116
51104,22,201,28,252,8,151,30,193,25,239,69,337,27,185,51,268,27,194,39,259,25,170,16,210,16,127,22,161,158,1267,257,1685,10,203,23,238,20,189,13,224,50,247,21,322,76,188,31,292,58,207,19,289,44,210,16,267,20,186,19,221,281,1431,144,1855,40,408,51,491,32,342,45,416,80,492,93,659,104,374,81,558,81,396,63,547,70,379,29,481,37,308,39,388,439,2691,407,3536
59797,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,9,0,9
59999,5,11,17,28,4,25,31,61,4,26,100,124,6,33,173,212,4,26,162,189,0,14,75,95,0,6,36,46,21,136,589,749,7,17,19,42,5,23,32,61,0,22,96,124,6,17,127,151,4,19,98,118,4,7,51,61,0,4,36,40,34,105,453,597,8,23,37,68,14,46,60,119,7,48,195,247,15,46,294,356,5,38,257,306,4,19,127,156,0,15,72,84,56,243,1046,1349
