POW_SA3_CODE_2021,M_EW_FT_ATSI,M_EW_FT_NI,M_EW_FT_Isns,M_EW_FT_Total,M_EW_PT_ATSI,M_EW_PT_NI,M_EW_PT_Isns,M_EW_PT_Total,M_EW_Em_afw_ATSI,M_EW_Em_afw_NI,M_EW_Em_afw_Isns,M_EW_Em_afw_Total,M_Tot_ATSI,M_Tot_NI,M_Tot_Isns,M_Tot_Total,F_EW_FT_ATSI,F_EW_FT_NI,F_EW_FT_Isns,F_EW_FT_Total,F_EW_PT_ATSI,F_EW_PT_NI,F_EW_PT_Isns,F_EW_PT_Total,F_EW_Em_afw_ATSI,F_EW_Em_afw_NI,F_EW_Em_afw_Isns,F_EW_Em_afw_Total,F_Tot_ATSI,F_Tot_NI,F_Tot_Isns,F_Tot_Total,P_EW_FT_ATSI,P_EW_FT_NI,P_EW_FT_Isns,P_EW_FT_Total,P_EW_PT_ATSI,P_EW_PT_NI,P_EW_PT_Isns,P_EW_PT_Total,P_EW_Em_afw_ATSI,P_EW_Em_afw_NI,P_EW_Em_afw_Isns,P_EW_Em_afw_Total,P_Tot_ATSI,P_Tot_NI,P_Tot_Isns,P_Tot_Total
50701,247,22639,46,22934,71,5246,10,5332,30,1225,8,1260,352,29107,68,29528,92,8699,14,8810,123,9980,18,10114,18,1082,0,1101,231,19758,29,20022,346,31331,60,31735,194,15222,29,15447,45,2307,6,2360,583,48866,100,49546
50702,108,9925,24,10055,54,3904,15,3968,21,771,0,791,176,14600,35,14812,80,6611,13,6709,77,7649,5,7734,13,855,0,868,173,15114,27,15316,188,16533,36,16756,129,11554,22,11706,36,1620,3,1658,352,29706,62,30124
50703,148,9144,22,9315,45,1362,3,1404,19,602,0,621,205,11110,28,11339,65,2919,15,2994,70,2691,6,2770,11,416,0,431,153,6023,21,6193,213,12067,36,12314,119,4046,12,4172,31,1011,0,1049,353,17124,47,17533
50704,79,11796,15,11896,40,5105,14,5158,11,834,5,852,136,17733,33,17903,94,11297,20,11409,99,14013,24,14139,17,1664,0,1689,211,26976,48,27236,175,23097,39,23306,135,19118,41,19295,28,2503,4,2539,345,44713,85,45144
50705,185,10100,21,10305,60,3685,18,3766,25,795,12,829,271,14582,48,14901,142,7769,13,7926,177,10548,15,10739,30,1221,4,1256,346,19535,31,19922,325,17867,38,18233,240,14235,32,14505,53,2020,10,2088,617,34116,83,34820
50901,188,8738,41,8969,84,2920,26,3031,37,817,11,858,305,12474,76,12850,122,5130,17,5269,161,6522,26,6706,19,923,11,949,299,12572,56,12930,304,13867,68,14236,242,9441,49,9739,55,1740,17,1806,600,25048,134,25781
50902,213,9091,57,9364,65,2055,16,2129,37,733,14,789,320,11873,87,12285,117,4527,22,4666,150,4588,23,4758,32,728,4,763,295,9842,50,10184,335,13618,76,14034,214,6636,37,6889,66,1464,18,1552,616,21721,135,22475
50903,112,5037,30,5189,25,834,9,868,24,546,3,575,161,6415,47,6625,57,2027,10,2089,53,1865,18,1944,13,355,11,377,128,4245,39,4408,168,7060,40,7277,80,2701,30,2811,37,899,12,951,287,10666,81,11036
51001,793,4859,41,5689,347,836,12,1198,141,456,17,616,1277,6159,66,7502,752,4047,14,4812,538,1728,10,2278,142,420,14,570,1430,6195,34,7662,1547,8907,50,10505,886,2564,26,3470,285,878,23,1184,2714,12351,101,15170
51002,920,15042,52,16014,164,1266,15,1445,192,2525,23,2741,1279,18832,91,20198,447,4655,18,5118,175,1381,7,1566,118,763,8,883,740,6796,33,7567,1369,19701,69,21136,344,2642,19,3004,309,3287,27,3624,2020,25624,118,27768
51003,741,14870,52,15659,136,1376,6,1519,154,2428,12,2591,1028,18670,78,19775,327,4659,16,5008,182,2012,11,2200,89,747,9,850,597,7421,45,8056,1061,19531,75,20666,314,3388,20,3724,244,3172,26,3436,1623,26091,116,27827
51101,68,3312,18,3394,19,571,3,588,13,330,0,347,98,4208,24,4328,45,1500,6,1548,54,1541,8,1607,13,292,0,301,112,3331,17,3464,111,4814,20,4938,77,2109,16,2198,22,618,5,647,210,7541,42,7790
51102,91,1684,16,1789,24,407,5,431,19,163,0,188,136,2254,23,2411,72,1207,6,1285,54,787,3,846,10,158,0,169,136,2148,9,2294,160,2884,21,3069,78,1193,8,1275,35,323,3,355,269,4406,33,4703
51103,450,13516,54,14008,99,1457,10,1564,82,1591,15,1689,637,16564,74,17267,233,5547,16,5793,169,2683,17,2867,62,653,4,724,460,8883,38,9385,677,19058,65,19807,276,4135,25,4431,145,2246,25,2412,1102,25441,113,26655
51104,401,10669,38,11111,123,2262,16,2397,69,1129,10,1210,596,14063,68,14723,288,5324,20,5629,305,5077,24,5403,63,800,6,869,659,11193,50,11901,693,15991,58,16744,428,7336,37,7803,137,1927,19,2077,1251,25250,117,26622
59797,16,936,3,956,0,48,0,54,5,226,0,230,21,1220,7,1240,0,92,0,91,4,21,0,21,3,28,0,31,4,137,0,144,14,1023,3,1046,4,73,0,77,3,255,0,262,22,1355,7,1386
59999,516,26087,96,26692,189,11770,51,12017,135,3732,26,3895,846,41586,173,42601,121,4791,24,4938,160,10948,43,11151,60,1803,10,1876,345,17543,79,17965,636,30879,118,31634,355,22724,94,23168,201,5531,41,5769,1189,59132,244,60566
