POW_SA3_CODE_2021,Ag_For_Fish_ATSI,Ag_For_Fish_Non_Indig,Ag_For_Fish_Indig_Status_NS,Ag_For_Fish_Tot,Min_ATSI,Min_Non_Indig,Min_Indig_Status_NS,Min_Total,Mnf_ATSI,Mnf_Non_Indig,Mnf_Indig_Status_NS,Mnf_Tot,EGWWS_ATSI,EGWWS_Non_Indig,EGWWS_Indig_Status_NS,EGWWS_Tot,Const_ATSI,Const_Non_Indig,Const_Indig_Status_NS,Const_Tot,WST_ATSI,WST_Non_Indig,WST_Indig_Status_NS,WST_Tot,RetT_ATSI,RetT_Non_Indig,RetT_Indig_Status_NS,RetT_Tot,AcFd_ATSI,AcFd_Non_Indig,AcFd_Indig_Status_NS,AcFd_Tot,TPW_ATSI,TPW_Non_Indig,TPW_Indig_Status_NS,TPW_Tot,IMT_ATSI,IMT_Non_Indig,IMT_Indig_Status_NS,IMT_Tot,FinIns_ATSI,FinIns_Non_Indig,FinIns_Indig_Status_NS,FinIns_Tot,RHRE_ATSI,RHRE_Non_Indig,RHRE_Indig_Status_NS,RHRE_Tot,ProSTS_ATSI,ProSTS_Non_Indig,ProSTS_Indig_Status_NS,ProSTS_Tot,AdSup_ATSI,AdSup_Non_Indig,AdSup_Indig_Status_NS,AdSup_Tot,PubAS_ATSI,PubAS_Non_Indig,PubAS_Indig_Status_NS,PubAS_Tot,EdTrn_ATSI,EdTrn_Non_Indig,EdTrn_Indig_Status_NS,EdTrn_Tot,HltHC_SA_ATSI,HltHC_SA_Non_Indig,HltHC_SA_Indig_Status_NS,HltHC_SA_Tot,ArtsR_ATSI,ArtsR_Non_Indig,ArtsR_Indig_Status_NS,ArtsR_Tot,OthSvs_ATSI,OthSvs_Non_Indig,OthSvs_Indig_Status_NS,OthSvs_Tot,IDNS_ATSI,IDNS_Non_Indig,IDNS_Indig_Status_NS,IDNS_Tot,Tot_ATSI,Tot_Non_Indig,Tot_Indig_Status_NS,Tot_Tot
50503,0,943,5,952,14,979,0,1000,29,4140,11,4179,7,450,8,460,82,7939,23,8038,11,1568,0,1584,68,6211,8,6291,42,3837,7,3881,11,1655,7,1672,3,227,0,234,0,579,3,580,4,497,0,507,5,1958,0,1967,15,1380,3,1398,19,1620,0,1641,73,6218,17,6311,30,4989,3,5022,5,668,0,675,17,2712,6,2739,42,3047,17,3101,483,51614,123,52222
50601,5,292,0,298,9,258,0,261,3,1001,0,1007,10,133,0,139,29,1718,3,1746,8,490,0,497,54,2547,8,2603,34,1534,0,1574,8,827,4,836,0,124,3,125,5,142,0,148,0,222,0,224,7,608,0,618,12,577,0,589,18,1077,0,1101,57,3124,5,3188,54,3974,10,4035,4,224,0,232,16,920,0,939,15,1011,16,1039,336,20803,50,21189
50602,0,116,0,116,146,4856,11,5016,26,2650,3,2675,3,416,0,421,81,5026,6,5117,17,2717,4,2738,67,6212,19,6297,40,4342,4,4383,81,9541,13,9636,0,552,3,557,7,888,5,904,12,1128,0,1140,33,3565,10,3607,58,2668,3,2731,54,2621,3,2676,39,2353,4,2399,42,6077,10,6130,51,4674,5,4733,43,2063,3,2114,50,3061,29,3137,852,65517,138,66512
50603,5,293,0,299,84,2832,7,2920,67,7811,8,7885,19,1021,0,1038,73,5259,13,5348,49,5280,6,5340,78,6940,17,7029,14,2945,4,2965,53,5465,12,5527,0,416,0,423,0,535,0,535,6,1044,4,1056,19,2895,0,2917,31,1567,3,1600,57,2327,5,2388,108,7703,7,7817,93,6346,13,6453,11,734,0,744,39,3271,0,3313,64,4904,35,5001,871,69592,134,70598
50604,0,123,0,124,14,579,3,596,11,1519,8,1530,0,110,0,112,36,2757,3,2796,8,569,0,582,55,3284,7,3344,22,1686,5,1705,19,1529,8,1554,0,91,0,91,3,241,5,247,7,363,0,371,10,1150,0,1164,14,660,0,675,64,1966,5,2036,49,3571,0,3624,51,3635,4,3689,0,207,0,212,26,1625,6,1652,26,1507,3,1540,432,27171,49,27649
50605,4,264,0,267,9,470,0,480,11,1334,0,1347,0,232,0,236,26,1425,3,1458,10,602,0,615,19,1422,0,1442,9,1084,0,1097,36,2204,3,2246,0,71,0,71,0,156,0,156,0,321,0,319,4,576,0,574,13,471,0,483,9,398,0,408,24,1940,10,1970,9,1457,0,1466,0,172,0,173,8,744,9,760,9,808,0,823,197,16152,31,16384
50606,0,476,0,485,8,89,0,96,5,281,0,284,0,23,0,23,12,867,3,885,4,100,0,97,14,534,0,549,13,558,5,582,0,210,0,216,0,23,0,24,0,43,0,43,0,59,0,59,3,217,0,215,4,192,0,192,8,419,0,428,13,945,0,961,3,472,0,475,0,156,0,162,6,287,0,287,8,337,4,349,97,6278,20,6396
50607,0,85,0,85,14,469,0,483,0,112,3,113,0,33,0,33,9,680,0,683,0,76,0,76,5,819,0,823,10,1478,0,1494,6,133,0,133,0,88,0,92,4,490,0,494,3,429,0,431,8,1592,0,1606,0,381,0,386,18,1204,0,1222,36,2090,0,2135,17,2767,4,2786,0,374,0,374,4,437,0,442,11,518,3,530,143,14246,25,14419
50701,4,324,3,332,16,1434,4,1457,61,6806,12,6880,27,1495,0,1519,104,6018,18,6144,18,2219,5,2242,58,4851,8,4918,25,2398,4,2423,16,2473,7,2500,0,144,0,144,3,487,0,489,3,597,0,602,17,2472,8,2494,28,1162,0,1192,41,2011,0,2054,38,3534,8,3581,40,4396,8,4449,14,747,0,763,16,1928,3,1945,42,3346,11,3399,583,48866,100,49546
50702,0,246,0,248,0,327,0,330,5,1774,3,1782,0,103,0,104,23,1599,5,1621,9,646,6,662,26,2498,4,2531,40,3532,4,3573,17,2352,0,2378,0,278,0,281,0,326,0,326,4,503,0,503,13,1967,0,1979,7,604,0,614,46,1732,8,1783,33,2592,8,2633,71,5303,10,5384,6,697,0,704,19,1106,4,1125,27,1514,10,1553,352,29706,62,30124
50703,7,380,4,392,18,1066,9,1082,57,3536,16,3609,10,633,0,639,42,2514,7,2566,11,477,0,485,24,1032,0,1060,19,691,0,712,24,953,5,976,0,40,0,40,0,55,0,55,0,181,0,186,6,386,0,390,8,392,0,408,33,1088,4,1123,37,1203,0,1234,29,993,6,1031,4,132,0,136,10,415,0,422,29,947,3,980,353,17124,47,17533
50704,0,114,0,115,21,1232,0,1254,8,1606,7,1623,0,83,0,84,19,2291,9,2316,6,641,0,644,45,5372,13,5425,23,2851,4,2882,3,824,6,828,0,208,5,214,0,571,0,569,3,721,0,729,4,2444,0,2452,9,764,3,774,18,1547,0,1571,48,6233,8,6290,86,13337,15,13434,4,470,4,473,14,1920,7,1931,26,1486,4,1518,345,44713,85,45144
50705,0,221,0,226,9,347,5,360,23,1420,4,1449,0,87,0,86,41,2435,0,2481,18,371,0,386,85,4781,11,4878,63,2905,6,2975,10,988,0,1004,8,191,0,199,0,290,0,294,9,412,0,423,4,1008,4,1014,15,921,4,945,118,4096,4,4222,62,4810,8,4879,83,5498,10,5590,8,479,0,484,28,1535,3,1568,34,1311,7,1354,617,34116,83,34820
50901,37,3819,27,3885,3,68,0,69,39,1537,10,1581,7,241,0,250,51,1665,0,1716,11,641,4,656,64,2559,7,2634,40,1823,9,1869,20,927,4,950,3,130,5,137,7,300,0,310,0,285,0,287,14,853,9,877,10,497,0,513,54,1549,3,1607,62,2436,6,2507,87,3629,20,3735,11,242,0,257,32,949,4,983,33,901,17,951,600,25048,134,25781
50902,64,5303,46,5412,43,1515,6,1561,18,956,6,986,17,301,0,318,47,1356,9,1406,7,734,0,744,51,1511,0,1562,33,1058,11,1100,28,877,8,912,0,70,0,70,3,209,0,206,0,138,0,138,8,444,0,453,21,368,9,392,49,1551,8,1606,70,1819,6,1889,77,1831,7,1915,3,147,0,156,22,665,0,688,47,877,19,944,616,21721,135,22475
50903,22,2831,20,2870,81,1867,7,1948,13,569,4,582,0,69,0,75,13,486,4,500,0,340,3,349,19,529,10,563,22,402,0,428,8,351,0,363,0,21,0,21,0,111,0,114,0,44,0,44,6,132,0,133,9,151,6,158,23,539,8,569,18,719,0,741,25,843,9,876,0,55,0,59,9,298,0,304,11,318,13,342,287,10666,81,11036
51001,99,681,8,792,82,633,0,720,12,167,0,183,35,152,0,190,128,806,9,950,3,124,0,130,129,958,3,1094,88,1268,12,1366,69,798,10,888,28,77,0,111,15,71,0,90,8,162,0,166,61,317,0,371,118,437,4,564,286,1074,7,1366,530,1467,6,2000,576,2064,14,2649,94,186,0,282,116,430,0,544,230,465,11,703,2714,12351,101,15170
51002,28,116,0,145,1102,14192,46,15344,23,471,0,491,18,278,0,298,107,2135,12,2252,10,543,0,555,41,626,7,672,58,1068,5,1127,62,1359,14,1428,3,35,0,35,3,32,0,35,11,288,0,301,25,330,0,348,42,731,0,768,77,583,4,666,97,731,0,833,132,861,0,1000,36,67,0,96,48,487,0,536,109,708,14,831,2020,25624,118,27768
51003,8,100,6,105,866,11757,47,12664,13,478,5,491,24,339,3,370,114,3163,11,3288,9,378,0,389,37,772,4,812,60,1535,5,1601,37,1110,5,1154,6,60,0,64,0,52,0,48,14,370,0,378,12,503,0,517,99,841,4,951,45,895,3,942,78,1084,4,1168,69,991,3,1059,11,100,0,112,36,515,4,551,81,1059,14,1158,1623,26091,116,27827
51101,17,1350,8,1370,24,745,8,772,4,180,0,186,8,78,0,84,20,555,5,578,0,259,6,264,26,591,6,620,15,479,3,497,16,573,0,595,0,20,0,20,0,77,0,77,0,82,0,82,0,184,0,185,3,133,3,136,5,342,4,348,19,607,0,626,26,633,0,655,3,41,0,48,8,323,4,331,16,297,8,317,210,7541,42,7790
51102,13,500,0,513,28,247,0,281,4,84,0,86,4,62,0,67,12,314,0,328,0,45,0,44,20,395,4,419,9,634,4,642,3,281,8,295,5,3,0,7,0,25,0,25,0,65,0,64,5,178,0,187,15,217,0,231,29,357,0,389,25,295,5,321,51,319,0,371,11,69,0,75,9,131,0,136,27,183,4,210,269,4406,33,4703
51103,17,88,0,104,353,11385,44,11781,36,1155,0,1192,18,214,0,229,65,1394,5,1466,10,486,5,498,61,1224,5,1288,41,1250,3,1297,25,1033,0,1067,5,59,0,65,5,92,0,99,13,333,0,346,19,617,0,638,26,496,4,522,109,943,0,1059,90,1286,4,1379,100,1572,8,1675,26,145,0,169,41,783,9,829,58,878,26,957,1102,25441,113,26655
51104,36,1964,12,2017,142,4236,15,4398,28,813,0,839,14,206,0,221,94,1806,4,1904,7,539,0,550,107,2190,11,2306,87,1760,9,1857,46,1341,7,1396,4,105,0,107,10,217,0,225,0,216,0,218,33,741,7,779,41,524,6,570,103,1453,3,1557,167,2252,8,2430,195,3013,9,3214,10,157,0,168,36,873,6,915,90,841,7,943,1251,25250,117,26622
59797,0,31,0,27,10,505,0,509,4,54,0,57,0,31,0,33,3,154,3,159,0,8,0,8,4,90,0,89,6,69,0,73,0,120,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,3,68,0,66,0,17,0,17,0,0,0,0,0,6,0,3,0,0,0,0,0,3,0,3,0,164,0,167,22,1355,7,1386
59999,30,1441,18,1491,294,5239,27,5550,8,1165,4,1175,6,418,0,426,317,18207,64,18594,8,796,0,808,32,1568,3,1603,14,1144,0,1162,50,4313,15,4378,8,502,0,506,0,453,0,454,3,425,0,427,31,2399,7,2436,108,5979,21,6104,28,1175,3,1209,40,2019,6,2063,73,5661,20,5747,14,802,0,820,31,2450,17,2503,89,2978,45,3109,1189,59132,244,60566
