POW_SA3_CODE_2021,P_OthSvs_H_0,P_OthSvs_H_1_19,P_OthSvs_H_20_29,P_OthSvs_H_30_34,P_OthSvs_H_35_39,P_OthSvs_H_40_44,P_OthSvs_H_45_49,P_OthSvs_H_50ov,P_OthSvs_H_NS,P_OthSvs_H_Tot,P_IDNS_H_0,P_IDNS_H_1_19,P_IDNS_H_20_29,P_IDNS_H_30_34,P_IDNS_H_35_39,P_IDNS_H_40_44,P_IDNS_H_45_49,P_IDNS_H_50ov,P_IDNS_H_NS,P_IDNS_H_Tot,P_Tot_H_0,P_Tot_H_1_19,P_Tot_H_20_29,P_Tot_H_30_34,P_Tot_H_35_39,P_Tot_H_40_44,P_Tot_H_45_49,P_Tot_H_50ov,P_Tot_H_NS,P_Tot_H_Tot
50604,37,269,176,114,333,346,125,226,27,1652,23,184,149,78,283,321,82,194,224,1540,972,4551,3747,2202,5379,5303,1661,3354,484,27649
50605,18,127,97,61,151,138,56,92,9,760,18,89,65,52,164,165,35,114,118,823,531,2703,1951,1249,2776,3181,1242,2475,274,16384
50606,8,74,43,27,34,41,13,36,9,287,19,51,33,20,61,46,13,43,55,349,264,1220,851,573,956,1115,404,872,139,6396
50607,18,102,73,31,75,70,16,46,7,442,16,85,61,37,67,100,23,49,103,530,545,2713,2213,1296,2688,2473,748,1554,195,14419
50701,59,346,248,177,331,358,123,285,17,1945,92,325,242,174,690,801,226,497,350,3399,1630,6830,5308,3310,9167,11423,3593,7552,736,49546
50702,33,219,155,95,198,232,72,116,15,1125,50,219,180,109,245,338,69,161,178,1553,1256,5013,4063,2632,5820,5787,1797,3354,399,30124
50703,15,72,49,35,80,69,34,72,3,422,34,69,53,36,168,214,93,194,135,980,757,1743,1443,980,3163,4049,1737,3361,293,17533
50704,57,354,296,182,384,367,101,165,29,1931,48,245,150,86,188,277,55,178,291,1518,1934,8571,6491,4233,8272,8164,2292,4586,608,45144
50705,45,308,257,141,270,272,79,169,15,1568,62,182,122,83,206,267,49,161,238,1354,1514,6508,4940,3054,6219,6193,1798,4023,576,34820
50901,40,149,108,76,188,222,60,124,10,983,68,154,106,62,94,133,34,115,185,951,1304,4195,3283,2263,4060,4602,1737,3841,503,25781
50902,27,108,66,39,93,162,63,119,14,688,50,127,89,45,99,139,54,143,183,944,1070,2964,2396,1521,2917,3929,1612,5573,480,22475
50903,12,38,31,18,40,86,24,58,3,304,21,36,24,21,37,57,21,46,83,342,715,1151,1020,640,1182,1854,849,3388,232,11036
51001,14,56,45,37,104,107,40,129,5,544,36,60,36,24,110,84,31,117,201,703,792,1286,1127,1056,3059,2900,1024,3519,396,15170
51002,32,55,24,18,69,66,37,228,10,536,60,76,33,23,65,93,32,226,219,831,2963,1342,1060,610,1987,2256,2088,14800,660,27768
51003,22,74,34,31,68,78,50,187,9,551,83,76,41,27,85,138,75,445,189,1158,2887,1643,1239,840,2077,3063,2163,13366,552,27827
51101,18,39,30,24,47,84,35,50,4,331,18,45,20,11,40,41,17,61,60,317,471,956,737,506,972,1328,528,2110,177,7790
51102,6,22,13,7,23,33,6,25,3,136,11,27,20,0,27,33,16,33,49,210,226,486,459,332,820,927,309,1016,136,4703
51103,35,60,58,36,107,136,65,321,11,829,45,79,69,45,90,148,48,224,219,957,1811,1851,1637,946,2664,3380,2329,11432,604,26655
51104,26,113,95,62,162,210,52,186,14,915,41,125,80,56,110,138,47,165,177,943,1577,3283,2643,1873,3680,4114,1782,7168,502,26622
59797,0,0,0,0,0,0,0,6,0,3,26,4,4,0,3,6,5,110,8,167,235,39,21,17,40,63,31,905,27,1386
59999,146,629,380,219,293,353,98,352,33,2503,254,515,290,196,330,456,117,433,505,3109,4409,11147,7411,4605,6534,10124,3133,11844,1359,60566
