POW_SA3_CODE_2021,P_40_44_OM_UIE,P_40_44_CFW,P_40_44_ES_NS,P_40_44_Total,P_45_49_E,P_45_49_OM_IE,P_45_49_OM_UIE,P_45_49_CFW,P_45_49_ES_NS,P_45_49_Total,P_50_54_E,P_50_54_OM_IE,P_50_54_OM_UIE,P_50_54_CFW,P_50_54_ES_NS,P_50_54_Total,P_55_59_E,P_55_59_OM_IE,P_55_59_OM_UIE,P_55_59_CFW,P_55_59_ES_NS,P_55_59_Total,P_60_64_E,P_60_64_OM_IE,P_60_64_OM_UIE,P_60_64_CFW,P_60_64_ES_NS,P_60_64_Total,P_65_69_E,P_65_69_OM_IE,P_65_69_OM_UIE,P_65_69_CFW,P_65_69_ES_NS,P_65_69_Total,P_70_74_E,P_70_74_OM_IE,P_70_74_OM_UIE,P_70_74_CFW,P_70_74_ES_NS,P_70_74_Total,P_75ov_E,P_75ov_OM_IE,P_75ov_OM_UIE,P_75ov_CFW,P_75ov_ES_NS,P_75ov_Total,P_Total_E,P_Total_OM_IE,P_Total_OM_UIE,P_Total_CFW,P_Total_ES_NS,P_Total_Total
50605,160,29,9,1657,1359,141,184,28,8,1716,1335,152,195,29,5,1722,1136,180,186,36,7,1545,915,142,159,27,10,1252,408,92,102,36,5,638,121,52,52,27,3,265,49,23,30,17,6,118,13258,1253,1493,287,84,16384
50606,78,9,8,597,388,60,87,21,3,559,380,83,107,23,4,600,350,73,102,13,14,554,274,61,65,31,6,438,98,32,58,15,3,203,33,11,20,12,4,91,9,12,16,18,0,55,4732,550,850,216,48,6396
50607,112,12,3,1438,1147,165,114,11,0,1440,1114,176,134,18,3,1448,944,159,136,12,5,1264,733,162,127,19,8,1045,366,93,95,19,3,588,139,73,62,19,3,295,44,27,25,23,3,124,11768,1303,1107,172,65,14419
50701,378,68,15,5448,4317,416,377,57,35,5201,3979,405,391,57,19,4850,3313,425,391,63,26,4216,2297,302,284,60,15,2964,978,156,139,46,11,1321,223,90,73,27,4,423,78,47,36,22,6,193,42595,3079,3132,519,216,49546
50702,220,10,15,2995,2419,318,283,27,6,3052,2424,340,274,37,16,3090,2117,305,272,42,16,2755,1670,220,235,44,15,2189,723,154,174,32,7,1096,248,85,86,24,6,452,72,44,51,34,5,199,25225,2231,2216,317,128,30124
50703,109,25,14,2067,1874,79,105,15,12,2078,1793,76,85,19,11,1983,1551,67,86,7,9,1714,1081,58,65,9,8,1220,422,30,37,3,4,495,90,18,16,8,3,133,22,9,5,3,4,43,15959,534,822,133,84,17533
50704,336,35,19,4708,3727,436,352,47,16,4574,3613,402,384,60,27,4486,3211,362,333,50,24,3978,2366,323,320,52,23,3078,1060,188,243,50,8,1554,323,115,133,59,4,624,88,70,64,38,11,274,38634,2851,2989,491,174,45144
50705,302,33,11,3463,2832,230,360,43,15,3477,2674,252,357,44,19,3339,2497,222,293,52,20,3075,1599,147,237,38,12,2034,622,74,119,26,9,858,163,29,55,22,5,268,69,15,24,18,0,118,30042,1608,2638,369,164,34820
50901,308,79,29,2501,2001,204,363,96,24,2677,2191,230,368,97,46,2933,2034,247,425,126,43,2871,1732,191,406,136,42,2501,692,152,325,130,27,1322,225,73,178,148,29,656,87,31,134,103,26,378,19561,1669,3120,1094,334,25781
50902,196,78,18,2032,1601,247,241,90,39,2215,1777,290,298,130,30,2518,1671,282,378,169,44,2542,1538,264,356,191,27,2381,647,157,298,162,33,1286,205,105,170,144,23,644,75,62,119,164,28,450,16273,2042,2500,1333,318,22475
50903,112,34,9,1048,838,119,130,61,8,1159,919,128,156,73,17,1297,837,127,174,75,16,1233,687,107,180,89,13,1083,301,76,121,94,10,603,77,57,98,77,6,312,35,39,67,72,16,233,7964,953,1266,709,145,11036
51001,64,14,28,1565,1249,88,82,24,12,1461,1332,114,89,12,14,1565,1134,107,87,19,14,1355,875,82,94,13,10,1073,453,42,50,16,11,566,114,21,29,13,9,181,32,13,12,14,5,72,13468,752,647,154,147,15170
51002,45,9,14,3300,2967,63,57,5,9,3100,2779,78,36,4,14,2915,2316,69,26,10,10,2429,1526,33,26,12,16,1606,522,24,10,5,6,568,95,9,15,0,4,122,23,9,0,0,6,31,26704,498,358,66,136,27768
51003,51,9,15,3434,3228,72,48,10,12,3377,2878,73,49,10,15,3025,2333,78,44,8,15,2477,1493,55,31,5,5,1587,484,19,24,5,3,534,98,6,7,6,0,113,17,0,5,3,4,36,26598,581,448,89,111,27827
51101,69,21,3,742,622,79,105,35,13,853,638,98,114,35,23,902,573,84,123,30,11,821,453,59,89,39,18,655,188,38,49,32,9,311,37,12,34,19,3,109,18,11,28,30,10,97,6030,575,776,298,110,7790
51102,48,7,9,442,354,62,52,12,15,497,355,81,51,4,4,503,351,49,47,11,4,466,277,38,60,14,6,391,99,21,34,16,0,181,35,7,16,12,5,78,3,8,16,7,4,30,3721,385,415,109,74,4703
51103,63,13,13,2803,2599,140,60,15,13,2820,2480,136,83,22,17,2735,2213,136,81,18,16,2471,1572,97,82,14,16,1779,593,48,53,16,11,719,133,17,23,11,5,189,31,17,7,15,9,75,24835,909,623,157,131,26655
51104,170,48,8,2617,2355,214,205,55,15,2834,2405,225,257,79,19,2977,2216,217,264,88,17,2797,1685,194,269,109,25,2275,683,125,175,94,19,1105,200,56,79,74,14,418,68,44,62,75,14,263,22326,1539,1843,740,175,26622
59797,0,0,3,189,189,0,3,0,0,196,219,0,0,0,0,223,143,5,0,0,0,149,58,3,0,0,0,61,22,0,0,0,0,25,3,3,0,0,0,8,0,0,0,0,0,0,1334,16,17,4,11,1386
59999,1844,75,58,6109,3328,697,2010,86,77,6199,3325,674,2220,95,91,6396,2818,629,2198,105,89,5847,2180,481,1846,122,83,4703,985,278,991,116,62,2433,366,135,401,93,28,1015,123,68,193,94,40,516,36070,5347,17340,1043,767,60566
