POW_SA3_CODE_2021,TPW_Oth_tspt_P,TPW_PstCour_PU_D_Svc_M,TPW_PstCour_PU_D_Svc_F,TPW_PstCour_PU_D_Svc_P,TPW_Tspt_supt_Svs_M,TPW_Tspt_supt_Svs_F,TPW_Tspt_supt_Svs_P,TPW_Wh_storage_Svs_M,TPW_Wh_storage_Svs_F,TPW_Wh_storage_Svs_P,TPW_Tot_M,TPW_Tot_F,TPW_Tot_P,IMT_IMT_nfd_M,IMT_IMT_nfd_F,IMT_IMT_nfd_P,IMT_PubExc_InetMusP_M,IMT_PubExc_InetMusP_F,IMT_PubExc_InetMusP_P,IMT_MotionP_SR_Act_M,IMT_MotionP_SR_Act_F,IMT_MotionP_SR_Act_P,IMT_Brdcast_ex_Inet_M,IMT_Brdcast_ex_Inet_F,IMT_Brdcast_ex_Inet_P,IMT_InetPub_brdcast_M,IMT_InetPub_brdcast_F,IMT_InetPub_brdcast_P,IMT_Tel_Svs_M,IMT_Tel_Svs_F,IMT_Tel_Svs_P,IMT_ISP_WSP_DP_svce_M,IMT_ISP_WSP_DP_svce_F,IMT_ISP_WSP_DP_svce_P,IMT_Lib_and_oth_IS_M,IMT_Lib_and_oth_IS_F,IMT_Lib_and_oth_IS_P,IMT_Tot_M,IMT_Tot_F,IMT_Tot_P,FinIns_FinIns_nfd_M,FinIns_FinIns_nfd_F,FinIns_FinIns_nfd_P,FinIns_Finance_M,FinIns_Finance_F,FinIns_Finance_P,FinIns_Ins_and_super_funds_M,FinIns_Ins_and_super_funds_F,FinIns_Ins_and_super_funds_P,FinIns_Aux_FinIns_Svs_M,FinIns_Aux_FinIns_Svs_F,FinIns_Aux_FinIns_Svs_P,FinIns_Tot_M,FinIns_Tot_F,FinIns_Tot_P,RHRE_RHRE_nfd_M,RHRE_RHRE_nfd_F,RHRE_RHRE_nfd_P,RHRE_RHSvc_ex_RealE_M,RHRE_RHSvc_ex_RealE_F,RHRE_RHSvc_ex_RealE_P,RHRE_POps_and_RE_svs_M,RHRE_POps_and_RE_svs_F,RHRE_POps_and_RE_svs_P,RHRE_Tot_M,RHRE_Tot_F,RHRE_Tot_P,ProSTS_ProSTS_nfd_M,ProSTS_ProSTS_nfd_F,ProSTS_ProSTS_nfd_P,ProSTS_ProSTS_ex_CSD_RS_M,ProSTS_ProSTS_ex_CSD_RS_F,ProSTS_ProSTS_ex_CSD_RS_P,ProSTS_CSD_RS_M,ProSTS_CSD_RS_F,ProSTS_CSD_RS_P,ProSTS_Tot_M,ProSTS_Tot_F,ProSTS_Tot_P,AdSup_AdSup_nfd_M,AdSup_AdSup_nfd_F,AdSup_AdSup_nfd_P,AdSup_Admin_Svs_M,AdSup_Admin_Svs_F,AdSup_Admin_Svs_P,AdSup_BldCln_PC_oth_Svc_M,AdSup_BldCln_PC_oth_Svc_F,AdSup_BldCln_PC_oth_Svc_P,AdSup_Tot_M,AdSup_Tot_F,AdSup_Tot_P,PubAS_PubAS_nfd_M,PubAS_PubAS_nfd_F,PubAS_PubAS_nfd_P,PubAS_PubAdm_M,PubAS_PubAdm_F,PubAS_PubAdm_P,PubAS_Defen_M,PubAS_Defen_F,PubAS_Defen_P,PubAS_PO_S_and_R_Svs_M,PubAS_PO_S_and_R_Svs_F,PubAS_PO_S_and_R_Svs_P,PubAS_Tot_M,PubAS_Tot_F,PubAS_Tot_P,EdTrn_EdTrn_nfd_M,EdTrn_EdTrn_nfd_F,EdTrn_EdTrn_nfd_P,EdTrn_PreSch_and_Sch_ed_M,EdTrn_PreSch_and_Sch_ed_F,EdTrn_PreSch_and_Sch_ed_P,EdTrn_Tertiary_ed_M,EdTrn_Tertiary_ed_F,EdTrn_Tertiary_ed_P,EdTrn_AdultCom_andOthEd_M,EdTrn_AdultCom_andOthEd_F,EdTrn_AdultCom_andOthEd_P,EdTrn_Tot_M,EdTrn_Tot_F,EdTrn_Tot_P,HC_SA_HC_SA_nfd_M,HC_SA_HC_SA_nfd_F,HC_SA_HC_SA_nfd_P,HC_SA_Hospitals_M,HC_SA_Hospitals_F,HC_SA_Hospitals_P,HC_SA_Med_oth_HCS_M,HC_SA_Med_oth_HCS_F,HC_SA_Med_oth_HCS_P,HC_SA_Resident_CS_M,HC_SA_Resident_CS_F,HC_SA_Resident_CS_P,HC_SA_Soc_assis_Svs_M,HC_SA_Soc_assis_Svs_F,HC_SA_Soc_assis_Svs_P,HC_SA_Tot_M,HC_SA_Tot_F,HC_SA_Tot_P,ArtsR_ArtsR_nfd_M,ArtsR_ArtsR_nfd_F,ArtsR_ArtsR_nfd_P,ArtsR_Heritage_ac_M,ArtsR_Heritage_ac_F,ArtsR_Heritage_ac_P,ArtsR_Creative_PAA_M,ArtsR_Creative_PAA_F,ArtsR_Creative_PAA_P,ArtsR_Sports_rec_ac_M,ArtsR_Sports_rec_ac_F,ArtsR_Sports_rec_ac_P,ArtsR_Gambling_ac_M,ArtsR_Gambling_ac_F,ArtsR_Gambling_ac_P,ArtsR_Tot_M,ArtsR_Tot_F,ArtsR_Tot_P,OthSvs_OthSvs_nfd_M,OthSvs_OthSvs_nfd_F,OthSvs_OthSvs_nfd_P,OthSvs_Repair_maintenanc_M,OthSvs_Repair_maintenanc_F,OthSvs_Repair_maintenanc_P,OthSvs_Personal_OthSvs_M,OthSvs_Personal_OthSvs_F,OthSvs_Personal_OthSvs_P,OthSvs_PriHES_UG_SPA_HOU_M,OthSvs_PriHES_UG_SPA_HOU_F,OthSvs_PriHES_UG_SPA_HOU_P,OthSvs_Tot_M,OthSvs_Tot_F,OthSvs_Tot_P,Inad_des_M,Inad_des_F,Inad_des_P,Industry_of_em_NS_M,Industry_of_em_NS_F,Industry_of_em_NS_P,Tot_M,Tot_F,Tot_P
50502,14,364,123,481,104,26,134,83,44,126,1317,321,1640,26,11,39,159,119,279,69,44,114,267,261,529,4,3,5,204,67,274,86,39,128,4,13,18,829,558,1385,51,37,85,228,231,453,56,110,170,442,428,868,780,805,1578,3,4,0,126,79,201,453,627,1083,579,711,1286,31,9,38,2501,2075,4578,926,267,1193,3453,2352,5808,0,6,9,491,710,1197,708,656,1368,1202,1372,2574,6,0,3,1419,1752,3170,26,12,38,613,261,879,2061,2029,4092,70,136,204,1171,4503,5673,281,373,659,287,505,797,1812,5515,7333,43,120,167,168,842,1013,930,3390,4319,468,2234,2700,692,2444,3135,2306,9030,11339,14,12,25,21,11,30,81,82,160,339,300,645,239,193,429,691,592,1293,0,0,0,1296,258,1553,528,1350,1880,0,30,31,1825,1631,3462,1952,1120,3068,511,367,873,38437,39555,77993
50503,3,288,109,394,61,13,70,95,33,129,1327,343,1672,3,0,3,0,8,12,12,5,17,6,0,5,6,7,9,103,34,138,18,9,31,3,17,19,158,78,234,20,9,28,85,166,248,49,74,123,93,90,179,238,340,580,0,0,4,107,51,158,128,217,344,237,267,507,4,0,5,816,857,1671,205,82,287,1028,937,1967,0,3,10,127,195,320,594,481,1078,719,681,1398,4,0,3,449,510,957,5,34,37,487,154,639,944,697,1641,24,64,90,1016,4563,5578,37,46,89,165,391,556,1241,5068,6311,19,72,87,21,68,88,381,1279,1656,188,1201,1383,321,1486,1805,922,4102,5022,5,12,17,28,25,53,42,58,97,220,246,464,20,15,36,318,355,675,3,0,3,1130,238,1374,322,1032,1358,4,4,6,1458,1281,2739,1728,811,2537,327,235,564,27603,24616,52222
50601,5,113,64,179,3,4,10,28,16,37,630,207,836,3,6,3,9,16,27,17,17,35,0,0,0,0,0,0,25,7,35,14,0,14,0,7,6,71,54,125,0,4,7,22,49,70,3,15,23,30,21,48,51,91,148,0,0,0,49,15,65,66,92,156,116,111,224,0,0,4,216,316,531,60,23,81,278,344,618,0,3,3,55,124,181,226,184,403,280,307,589,0,0,4,303,411,713,9,0,8,264,113,377,577,525,1101,5,20,30,559,2377,2932,21,49,67,41,117,153,625,2561,3188,9,64,72,317,1365,1687,182,713,896,63,393,455,109,821,927,683,3351,4035,0,3,4,12,13,27,21,25,48,42,91,132,4,10,12,82,142,232,0,0,0,353,88,435,97,400,496,0,0,0,445,487,939,480,287,766,154,126,277,9185,12008,21189
50602,18,1081,412,1494,1553,675,2227,398,93,484,6909,2729,9636,6,4,8,11,15,22,51,34,85,18,7,24,0,4,7,221,58,279,78,30,114,6,14,19,391,166,557,8,11,22,209,210,420,41,84,129,169,166,334,429,472,904,0,3,8,288,157,445,269,416,684,564,579,1140,11,10,13,1620,1113,2737,712,146,853,2336,1267,3607,0,0,0,820,870,1695,500,537,1035,1325,1408,2731,4,0,5,575,714,1290,19,7,18,945,423,1365,1537,1136,2676,46,55,101,300,1406,1704,160,144,303,124,165,288,625,1770,2399,37,100,134,25,74,96,863,1584,2443,370,1471,1838,325,1283,1612,1625,4511,6130,24,26,47,16,16,39,51,50,103,755,742,1497,1648,1400,3048,2490,2238,4733,0,0,0,966,196,1167,286,657,940,0,8,8,1250,858,2114,1624,770,2392,443,307,750,39282,27233,66512
50603,20,1016,365,1380,176,63,245,499,135,639,4363,1162,5527,13,3,15,17,18,33,60,60,114,9,8,15,0,0,0,119,39,157,49,21,67,6,8,15,272,156,423,13,7,16,84,139,224,55,48,102,115,73,196,268,266,535,3,5,0,399,159,557,217,282,490,615,441,1056,10,6,17,1447,969,2419,363,123,481,1816,1097,2917,0,0,0,396,335,729,498,364,868,900,701,1600,5,9,10,619,763,1385,4,0,3,651,338,992,1281,1111,2388,48,85,136,559,2245,2804,1821,2591,4411,176,285,464,2611,5209,7817,40,80,123,210,640,858,382,1347,1729,345,1342,1684,574,1497,2062,1548,4903,6453,14,12,25,43,48,94,15,23,44,273,278,552,14,21,41,361,384,744,0,0,0,1807,335,2146,361,798,1161,0,3,3,2170,1140,3313,3000,1168,4173,488,347,831,41849,28747,70598
50604,5,128,61,189,111,19,131,62,30,92,1288,263,1554,0,0,0,0,0,6,7,5,11,0,0,7,0,0,0,39,17,56,9,3,6,0,3,3,64,29,91,3,0,4,30,74,100,43,21,63,41,36,76,115,133,247,0,0,0,135,38,169,79,124,203,213,158,371,0,3,3,580,479,1058,81,28,107,656,506,1164,0,0,0,72,99,177,285,218,500,359,318,675,4,0,4,327,416,743,0,0,6,829,456,1283,1158,876,2036,11,28,39,545,2508,3051,152,139,292,100,136,240,811,2810,3624,11,50,56,13,91,106,238,1044,1282,125,814,935,252,1058,1308,634,3057,3689,0,0,0,13,7,22,21,17,36,44,81,124,7,15,23,87,120,212,0,0,0,781,139,924,197,534,734,0,0,0,977,676,1652,834,345,1179,200,155,358,14282,13368,27649
50605,10,208,66,273,196,44,237,146,54,196,1788,461,2246,0,0,3,10,9,14,0,0,3,7,0,11,0,0,0,10,6,14,4,5,9,5,16,18,35,32,71,3,0,7,49,36,84,4,6,17,23,27,48,88,69,156,0,6,7,97,39,135,70,113,177,165,152,319,3,3,6,225,271,494,49,26,77,281,303,574,0,0,0,120,85,204,162,120,282,283,202,483,0,0,0,108,144,254,0,0,0,103,46,150,214,192,408,16,18,31,344,1427,1768,11,6,19,36,114,151,409,1564,1970,4,25,30,7,82,96,100,451,554,45,313,360,77,354,428,234,1227,1466,0,0,0,10,12,20,15,28,42,39,62,100,0,4,7,64,106,173,0,0,0,296,67,365,103,291,391,0,0,0,400,361,760,423,190,614,116,86,209,8944,7436,16384
50606,0,19,14,36,4,0,4,8,0,8,153,62,216,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,15,5,21,0,0,0,0,0,0,15,8,24,0,3,3,3,10,15,0,4,3,6,15,14,14,26,43,0,0,0,9,12,18,15,37,44,14,45,59,0,0,0,57,125,183,20,10,28,82,139,215,0,0,0,9,13,26,103,68,168,112,81,192,0,0,0,104,83,188,0,0,0,175,64,235,275,150,428,4,14,17,134,707,840,3,4,4,21,78,99,161,796,961,0,13,17,0,3,5,34,143,177,7,81,95,20,172,188,66,411,475,0,0,0,8,3,17,4,7,14,50,71,122,3,0,3,73,85,162,0,0,0,77,30,108,29,152,177,0,0,0,104,182,287,147,110,257,62,27,93,3045,3352,6396
50607,0,24,16,43,9,7,10,0,0,5,89,45,133,0,0,3,7,23,30,11,6,19,13,16,29,0,0,0,3,4,7,4,0,0,0,0,0,38,48,92,17,8,26,34,36,77,21,35,51,164,178,345,241,260,494,0,0,0,8,9,13,168,258,420,171,261,431,5,3,9,759,668,1420,134,39,170,903,700,1606,0,0,0,93,116,207,80,99,172,171,213,386,0,0,4,485,586,1069,14,16,31,82,33,117,583,638,1222,16,43,57,524,1259,1780,29,38,71,58,168,226,628,1513,2135,11,32,38,48,225,266,236,794,1034,138,717,856,140,454,591,561,2224,2786,0,3,3,73,144,217,19,28,50,59,42,101,3,0,8,160,217,374,0,0,0,27,17,49,102,286,391,0,3,3,132,312,442,206,185,389,79,64,143,6019,8401,14419
50701,67,217,77,296,194,69,263,371,125,493,1912,586,2500,4,5,8,6,6,13,16,8,23,7,0,14,0,3,3,45,15,56,13,5,18,3,6,5,95,50,144,10,12,20,46,125,174,13,52,65,125,111,230,199,293,489,3,0,3,142,53,194,168,242,403,305,292,602,5,3,9,1386,897,2281,159,40,201,1557,939,2494,0,3,3,214,211,424,413,346,761,629,561,1192,0,0,0,337,406,741,300,85,385,586,342,925,1222,836,2054,69,83,148,406,2271,2674,150,111,262,201,297,491,826,2753,3581,24,56,84,19,73,90,500,1441,1943,130,858,981,217,1128,1348,889,3565,4449,10,15,25,11,9,20,38,41,75,305,323,629,3,13,17,364,397,763,0,0,0,876,185,1064,201,666,869,0,13,13,1083,867,1945,2067,789,2858,326,218,546,29528,20022,49546
