SAL_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SAL50012,3,8,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,10,17
SAL50013,70,141,3,13,7,40,3,18,24,104,42,175,4,15,7,22,18,52,27,90,66,266,0,6,0,0,4,13,9,30,15,47,0,6,0,6,3,7,8,14,20,61,0,0,161,471
SAL50014,20,43,0,0,0,3,0,0,6,21,5,28,0,7,0,0,0,5,0,5,8,32,0,0,0,0,0,0,5,4,5,4,0,0,0,0,0,5,0,5,6,6,0,0,37,84
SAL50015,5,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
SAL50016,67,135,3,18,11,53,3,27,38,143,59,239,4,20,0,9,13,42,21,67,74,310,0,0,0,0,0,0,4,16,4,16,0,0,3,3,0,3,3,6,14,24,0,3,156,473
SAL50017,5,16,0,0,0,0,0,0,5,21,5,21,0,0,3,5,3,6,3,9,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,46
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50019,35,61,5,8,7,29,0,0,16,70,25,104,3,5,0,9,12,29,16,42,37,148,0,0,0,0,0,0,0,4,0,4,0,5,0,6,0,3,4,10,5,12,0,0,79,223
SAL50020,8,11,0,0,0,5,0,4,3,10,6,17,0,0,0,0,0,0,0,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,33
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,898,1765,3,26,110,484,15,65,449,1745,577,2322,48,208,120,419,174,533,344,1159,917,3482,0,9,12,52,0,0,87,217,106,274,9,38,26,55,78,162,112,253,220,528,29,65,2063,5838
SAL50023,13,23,0,0,0,7,0,0,0,9,4,12,0,0,0,0,3,6,3,6,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,42
SAL50024,455,903,6,35,70,305,8,46,349,1352,437,1741,32,131,86,291,107,340,223,766,658,2511,0,3,20,51,3,6,56,131,75,193,6,22,21,49,72,165,105,234,177,423,26,45,1317,3881
SAL50025,96,186,5,18,12,38,4,17,32,132,51,206,3,19,7,11,15,41,20,64,67,272,0,0,0,5,0,0,5,15,8,22,0,0,0,0,12,26,12,26,15,41,0,0,185,503
SAL50026,1193,2370,22,120,90,468,37,181,561,2167,711,2928,25,118,47,144,201,631,273,891,993,3822,23,87,60,219,40,162,420,1148,538,1619,29,89,73,158,375,801,468,1046,1007,2664,86,191,3275,9053
SAL50027,7,6,0,0,0,4,0,0,4,11,6,13,0,3,0,6,0,0,0,5,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,13,34
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
SAL50029,5,12,0,0,0,5,0,0,3,16,9,24,0,0,0,0,0,5,0,5,9,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,43
SAL50030,7,12,0,0,0,3,0,6,4,16,3,23,0,0,0,0,0,12,0,12,9,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,22,55
SAL50031,430,844,0,23,24,108,4,11,145,545,176,687,15,78,31,104,51,168,108,348,284,1037,0,0,7,15,4,6,22,61,30,87,3,20,13,36,28,65,45,121,75,206,28,64,824,2153
SAL50032,311,616,0,20,29,123,8,44,213,801,252,990,12,59,22,66,59,180,96,306,351,1293,7,21,4,14,0,4,63,169,72,212,4,9,13,34,45,90,58,136,133,345,6,16,803,2272
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,128,255,0,0,18,84,3,11,79,288,101,387,8,38,11,33,23,72,42,145,142,532,0,0,3,15,0,0,27,57,29,84,0,11,8,17,30,66,36,89,70,174,12,25,357,981
SAL50035,686,1353,13,86,110,499,11,50,450,1772,585,2400,61,265,130,460,152,479,346,1204,928,3605,0,0,19,48,0,13,61,168,84,235,19,51,30,49,77,165,120,261,202,502,16,31,1834,5492
SAL50036,683,1331,26,147,184,814,34,143,739,2810,986,3915,120,504,164,589,234,774,521,1865,1505,5784,9,33,32,95,17,55,145,386,195,569,26,77,41,91,101,208,163,380,357,949,36,63,2580,8129
SAL50037,422,844,11,58,118,512,29,112,805,3120,955,3799,42,183,77,263,85,260,206,703,1161,4500,0,0,18,65,5,30,122,308,146,407,4,24,17,31,50,110,73,167,220,577,25,54,1829,5972
SAL50038,264,514,0,3,10,26,4,8,50,180,58,220,0,6,7,19,27,73,34,98,93,318,0,0,0,3,0,5,19,39,18,47,0,5,4,3,11,31,16,41,40,86,0,7,395,921
SAL50039,1724,3376,42,245,215,988,65,290,1213,4665,1537,6184,76,278,113,328,273,828,455,1445,1995,7626,11,41,68,230,32,119,339,928,448,1318,39,111,49,111,169,359,259,579,707,1900,35,78,4468,12985
SAL50040,1155,2244,43,238,201,890,54,249,1401,5266,1692,6643,60,246,129,457,215,670,406,1372,2095,8022,7,27,63,217,42,139,304,796,411,1183,27,83,39,97,160,345,232,523,639,1706,38,90,3933,12064
SAL50041,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL50042,0,0,0,0,0,0,0,0,6,10,6,10,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
SAL50043,9,13,0,0,3,4,0,4,0,14,4,22,0,4,0,0,0,0,0,4,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34
SAL50044,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
SAL50045,4,16,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,5,5,6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29
SAL50046,4,5,0,0,0,0,0,0,8,17,8,17,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,22
SAL50047,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5
SAL50048,15,32,0,0,0,0,0,0,13,36,12,41,0,0,0,3,0,11,3,9,12,48,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,5,0,3,0,0,31,90
SAL50049,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,7,0,7,3,11,0,0,4,16
SAL50050,11,20,0,0,0,0,0,0,4,13,4,13,0,0,0,0,0,5,0,5,4,14,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,6,10,0,0,16,38
SAL50051,166,321,4,23,15,58,9,28,70,274,96,386,8,26,0,9,31,96,39,136,140,525,0,7,0,7,0,0,16,47,19,60,0,0,9,16,24,51,29,65,52,127,6,8,354,976
SAL50052,23,36,4,14,0,3,0,0,6,19,6,39,3,3,0,11,8,10,10,32,20,67,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,4,4,4,4,0,0,41,108
SAL50053,1173,2329,8,56,95,432,10,49,677,2502,796,3042,48,205,85,310,205,649,340,1160,1137,4205,5,18,36,106,9,21,179,424,222,570,20,51,48,113,218,459,280,614,499,1187,65,138,2882,7869
SAL50054,3160,6111,115,602,582,2678,186,856,3473,13204,4352,17344,202,839,299,970,585,1834,1092,3643,5444,20988,23,111,143,495,69,244,832,2271,1069,3119,66,213,122,275,332,709,520,1200,1588,4321,93,189,10280,31603
SAL50055,1070,2147,11,75,101,512,19,78,958,3648,1086,4320,31,141,50,176,131,407,214,722,1302,5041,16,85,49,176,27,105,360,989,453,1354,25,91,92,208,288,626,405,928,866,2279,111,234,3348,9704
SAL50056,103,201,0,0,10,42,0,0,24,79,32,125,3,14,4,4,3,16,10,28,41,149,0,0,0,0,0,0,3,15,3,15,0,0,3,3,0,5,7,13,11,35,0,0,155,382
SAL50057,9,9,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13
SAL50058,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL50059,14,27,0,6,0,0,0,4,5,16,8,24,0,0,0,0,0,5,0,5,8,27,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,4,3,3,0,0,24,57
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,1600,3191,65,436,238,1142,73,350,1067,4231,1456,6160,186,809,202,675,627,2049,1015,3537,2473,9689,30,138,55,216,40,143,345,957,463,1454,62,231,80,194,350,796,490,1214,959,2662,83,175,5109,15727
SAL50062,5,12,0,0,0,0,0,0,4,8,4,8,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23
SAL50063,12,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,5,9,0,0,15,27
SAL50064,9,21,0,0,0,0,0,0,0,10,0,11,0,6,0,0,0,0,5,5,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,34
SAL50065,11,26,0,0,0,0,0,0,3,13,3,13,0,0,0,4,3,10,4,9,10,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,55
SAL50066,46,91,0,0,7,29,0,0,25,108,33,139,0,0,6,7,9,28,11,37,49,169,0,0,0,6,0,0,0,3,6,13,0,3,0,3,3,10,8,16,9,27,0,0,100,296
SAL50067,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14
SAL50068,171,348,3,25,23,90,7,33,73,282,106,429,15,75,23,78,49,166,89,312,192,739,0,0,3,17,0,0,10,23,12,39,3,12,0,0,15,35,17,48,33,85,8,11,402,1182
SAL50069,725,1414,28,194,148,661,61,269,1105,4243,1342,5372,75,307,80,278,170,536,327,1117,1671,6484,17,84,53,190,37,131,296,759,397,1166,26,84,61,135,165,369,248,584,651,1751,43,103,3090,9757
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,6,16,0,4,3,9,0,3,8,20,8,28,0,0,0,4,0,7,0,7,12,36,0,0,0,0,0,0,4,11,4,11,0,0,0,0,0,0,0,0,4,11,0,0,21,57
SAL50072,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11
SAL50073,3,4,0,0,0,4,0,0,0,0,6,6,0,0,0,3,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13
SAL50074,4,12,0,0,0,0,0,0,3,14,3,14,0,0,0,0,0,3,0,3,3,23,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0,0,12,29
SAL50075,95,189,0,3,16,82,7,35,35,141,63,259,10,47,21,54,37,112,69,214,129,477,0,0,5,8,0,6,14,41,17,54,0,4,0,6,14,30,18,34,30,91,0,3,258,750
SAL50076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50077,44,91,0,8,0,11,0,4,12,53,19,79,3,10,5,17,9,22,15,48,34,130,0,3,0,0,0,0,5,17,7,23,0,0,0,4,10,11,8,15,11,37,0,0,96,261
SAL50078,1156,2282,14,91,94,402,19,86,758,2819,887,3404,57,221,108,339,200,620,361,1187,1245,4586,0,10,28,84,14,55,182,426,224,579,19,51,39,82,177,376,232,508,457,1087,62,131,2914,8084
SAL50079,365,737,8,43,75,324,6,24,260,1023,342,1413,36,160,65,251,114,346,215,755,563,2167,0,0,14,36,3,10,37,91,52,138,6,32,16,40,43,97,68,168,121,304,12,23,1062,3233
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,295,562,15,79,69,314,19,75,467,1868,566,2339,8,41,35,101,44,127,83,270,651,2607,5,6,8,35,4,11,43,121,60,177,0,3,8,18,13,26,23,44,82,229,4,12,1037,3410
SAL50082,425,838,13,58,33,137,4,38,194,772,242,1008,11,54,27,88,57,176,102,312,341,1322,0,0,20,54,7,24,66,185,89,270,3,21,12,24,47,99,65,144,155,408,14,27,934,2594
SAL50083,1704,3335,18,103,173,759,19,77,1168,4242,1376,5183,88,346,153,507,232,744,473,1592,1850,6773,5,21,40,136,11,34,187,468,240,653,19,63,58,132,213,459,291,656,531,1308,70,150,4158,11561
SAL50084,145,289,0,5,7,33,0,4,79,283,91,323,4,17,4,17,13,47,27,82,110,401,0,0,0,5,5,12,28,56,27,76,3,14,8,8,31,69,38,92,70,164,5,8,336,862
SAL50085,16,32,0,4,5,13,0,0,9,23,10,38,0,0,7,3,0,6,4,9,15,43,0,0,0,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,3,6,0,0,33,84
SAL50086,554,1086,4,22,63,279,7,36,361,1347,440,1679,31,133,54,171,97,297,177,601,610,2282,0,16,14,32,8,30,108,241,126,309,4,11,27,60,109,221,138,285,268,603,24,47,1446,4014
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,4,11,0,0,0,0,0,0,7,17,7,17,0,3,0,3,0,0,6,12,4,23,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,14,38
SAL50089,7,10,0,0,0,3,0,0,5,16,3,19,0,6,0,0,0,0,0,6,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,33
SAL50090,815,1642,29,153,60,298,29,148,704,2684,826,3287,57,241,57,190,177,553,286,978,1110,4269,11,31,23,88,12,41,123,339,168,499,19,56,28,67,157,350,204,473,371,974,63,130,2360,7015
SAL50091,581,1145,8,25,58,284,15,47,454,1678,528,2039,28,126,65,241,114,357,216,723,747,2764,5,12,17,44,7,28,95,232,117,315,13,29,22,64,109,222,140,317,260,640,31,64,1616,4608
SAL50092,379,741,17,112,43,200,20,104,180,739,268,1161,26,109,36,120,121,378,181,610,450,1771,0,0,8,21,0,3,26,65,33,95,4,11,6,13,19,45,24,61,61,155,11,13,891,2689
SAL50093,803,1598,24,159,91,435,35,167,502,2036,659,2800,60,261,82,290,271,876,414,1428,1073,4229,6,47,22,84,25,92,182,514,235,739,24,64,30,68,217,493,268,624,505,1365,54,108,2433,7292
SAL50094,8,26,3,11,0,7,0,0,10,33,13,47,0,0,0,10,7,6,3,15,16,66,0,0,0,4,0,0,0,0,0,4,0,5,0,3,0,0,4,8,4,10,0,0,32,99
SAL50095,9,11,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,17
SAL50096,3,9,0,5,0,6,0,0,0,0,3,11,0,0,0,4,0,0,0,9,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,11,33
SAL50097,19,32,0,0,0,0,0,0,9,29,9,29,0,0,0,4,5,17,7,25,17,58,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,33,92
SAL50098,763,1500,29,147,119,526,45,184,734,2780,919,3638,59,262,83,279,192,639,333,1172,1259,4812,3,18,27,105,11,44,156,425,206,584,28,84,32,73,109,239,172,402,373,981,26,51,2413,7345
SAL50099,3,9,0,0,0,0,0,0,5,12,5,12,0,0,0,0,0,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,5,26
SAL50100,15,20,0,6,0,0,0,0,4,31,7,35,0,0,0,0,4,10,4,10,11,42,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,6,0,8,6,11,0,0,26,74
SAL50101,21,45,0,10,0,9,0,3,13,38,15,63,0,0,0,4,0,0,5,5,18,69,0,0,0,6,0,0,0,3,0,8,0,0,0,0,0,0,0,0,3,7,0,0,46,124
SAL50102,452,880,4,27,36,172,20,74,318,1175,386,1450,21,94,32,107,93,289,142,491,528,1942,0,3,18,54,4,23,63,165,89,250,10,31,16,37,78,158,106,227,195,476,17,37,1189,3336
SAL50103,32,68,4,11,7,17,0,8,11,40,14,72,4,17,3,19,13,36,26,75,37,148,0,0,0,0,0,3,0,4,3,5,0,9,0,0,4,4,9,13,7,25,0,0,78,239
SAL50104,151,293,5,13,13,35,4,17,81,292,100,363,0,5,3,19,33,99,42,125,138,490,3,9,8,17,3,7,33,90,46,125,3,10,9,14,47,95,58,119,101,245,20,31,401,1061
SAL50105,728,1433,11,60,40,192,16,86,400,1485,467,1817,24,97,47,139,103,325,170,561,637,2380,5,8,18,81,5,13,94,270,125,374,15,47,28,61,126,283,162,385,288,758,66,137,1712,4706
SAL50106,23,46,0,0,0,0,0,0,13,36,11,41,0,0,4,3,6,11,3,15,19,54,0,0,0,6,0,3,4,4,7,9,0,0,0,0,5,10,5,10,9,16,0,0,44,120
SAL50107,16,36,0,0,5,11,0,10,8,36,15,55,0,5,0,5,9,23,6,27,26,85,0,0,0,8,0,0,0,0,0,8,0,0,0,0,0,3,0,3,0,6,0,0,45,128
SAL50108,0,3,0,0,0,0,0,0,3,8,3,8,0,0,0,0,0,5,0,5,7,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5,0,0,7,21
SAL50109,18,34,0,4,0,5,0,11,8,29,11,44,0,0,0,0,3,17,3,17,14,59,0,0,0,0,0,0,5,10,5,10,0,0,0,0,0,0,0,0,5,10,0,0,37,106
SAL50110,372,752,29,185,113,568,28,141,461,1841,633,2736,55,261,87,296,149,484,289,1036,925,3774,5,42,23,83,13,57,83,248,125,425,16,50,18,44,73,167,106,257,233,683,20,42,1544,5239
SAL50111,694,1399,0,20,28,136,7,42,352,1304,391,1503,18,66,31,115,58,183,108,367,500,1871,7,32,18,60,10,23,92,265,120,380,9,30,20,43,87,187,118,265,236,646,99,213,1534,4130
SAL50112,185,365,0,0,8,36,0,4,69,257,77,299,3,18,10,30,18,55,31,107,110,403,4,18,6,18,4,7,34,81,48,128,5,8,7,14,24,49,38,74,80,197,4,13,380,980
SAL50113,8,10,0,0,0,0,0,0,3,14,3,14,0,0,0,0,0,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,10,32
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,382,749,25,141,87,428,25,102,625,2394,761,3066,36,184,59,185,90,279,185,649,943,3709,4,26,17,75,18,61,130,366,167,526,8,24,14,33,78,175,105,233,265,760,19,40,1615,5261
SAL50116,152,304,3,17,5,35,0,8,42,168,58,226,0,6,10,27,20,70,36,101,86,325,0,0,0,0,0,0,13,33,14,34,0,0,4,10,17,40,23,45,38,78,8,17,291,724
SAL50117,695,1362,9,47,60,287,12,57,347,1314,438,1701,62,239,74,244,159,511,294,997,728,2700,0,5,21,74,9,29,93,239,122,348,14,37,32,75,93,209,136,316,262,672,20,42,1705,4775
SAL50118,89,175,0,3,15,77,4,13,41,157,61,254,7,36,5,29,28,99,45,161,109,410,0,0,0,0,0,6,4,11,6,15,0,8,0,0,6,8,7,12,10,31,6,4,216,625
SAL50119,780,1531,3,23,88,397,13,62,412,1581,514,2058,68,272,113,400,137,417,319,1092,838,3152,0,0,14,36,5,15,72,170,90,222,11,35,38,85,75,157,123,279,215,500,32,64,1858,5244
SAL50120,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,3,7,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14
