SAL_CODE_2021,One_method_Train_M,One_method_Train_F,One_method_Train_P,One_method_Bus_M,One_method_Bus_F,One_method_Bus_P,One_method_Ferry_M,One_method_Ferry_F,One_method_Ferry_P,One_met_Tram_or_lt_rail_M,One_met_Tram_or_lt_rail_F,One_met_Tram_or_lt_rail_P,One_met_Taxi_or_Rideshare_M,One_met_Taxi_or_Rideshare_F,One_met_Taxi_or_Rideshare_P,One_method_Car_as_driver_M,One_method_Car_as_driver_F,One_method_Car_as_driver_P,One_method_Car_as_passenger_M,One_method_Car_as_passenger_F,One_method_Car_as_passenger_P,One_method_Truck_M,One_method_Truck_F,One_method_Truck_P,One_method_Motorbike_scootr_M,One_method_Motorbike_scootr_F,One_method_Motorbike_scootr_P,One_method_Bicycle_M,One_method_Bicycle_F,One_method_Bicycle_P,One_method_Other_M,One_method_Other_F,One_method_Other_P,One_method_Walked_only_M,One_method_Walked_only_F,One_method_Walked_only_P,One_method_Tot_one_method_M,One_method_Tot_one_method_F,One_method_Tot_one_method_P,Two_methods_Train_Bus_M,Two_methods_Train_Bus_F,Two_methods_Train_Bus_P,Two_methods_Train_Ferry_M,Two_methods_Train_Ferry_F,Two_methods_Train_Ferry_P,Two_mt_trn_Trm_or_lt_rail_M,Two_mt_trn_Trm_or_lt_rail_F,Two_mt_trn_Trm_or_lt_rail_P,Two_methods_Trn_Car_as_drvr_M,Two_methods_Trn_Car_as_drvr_F,Two_methods_Trn_Car_as_drvr_P,Two_methods_Trn_Car_as_pass_M,Two_methods_Trn_Car_as_pass_F,Two_methods_Trn_Car_as_pass_P,Two_methods_Train_Other_M,Two_methods_Train_Other_F,Two_methods_Train_Other_P,Two_methods_Train_Tot_M,Two_methods_Train_Tot_F,Two_methods_Train_Tot_P,Two_methods_Bus_Ferry_M,Two_methods_Bus_Ferry_F,Two_methods_Bus_Ferry_P,Two_mth_Bu_Trm_or_lt_rail_M,Two_mth_Bu_Trm_or_lt_rail_F,Two_mth_Bu_Trm_or_lt_rail_P,Two_methods_Bus_Car_as_drvr_M,Two_methods_Bus_Car_as_drvr_F,Two_methods_Bus_Car_as_drvr_P,Two_methods_Bus_Car_as_pass_M,Two_methods_Bus_Car_as_pass_F,Two_methods_Bus_Car_as_pass_P,Two_methods_Bus_Other_M,Two_methods_Bus_Other_F,Two_methods_Bus_Other_P,Two_methods_Bus_Tot_M,Two_methods_Bus_Tot_F,Two_methods_Bus_Tot_P,Two_methds_Othr_two_methds_M,Two_methds_Othr_two_methds_F,Two_methds_Othr_two_methds_P,Two_methods_Tot_two_methods_M,Two_methods_Tot_two_methods_F,Two_methods_Tot_two_methods_P,Three_meth_Tr_2_oth_meth_M,Three_meth_Tr_2_oth_meth_F,Three_meth_Tr_2_oth_meth_P,Three_met_Bs_2_ot_met_ex_tr_M,Three_met_Bs_2_ot_met_ex_tr_F,Three_met_Bs_2_ot_met_ex_tr_P,Three_meth_Othr_three_meth_M,Three_meth_Othr_three_meth_F,Three_meth_Othr_three_meth_P,Three_meth_Tot_three_meth_M,Three_meth_Tot_three_meth_F,Three_meth_Tot_three_meth_P,Worked_home_M,Worked_home_F,Worked_home_P,Did_not_go_to_work_M,Did_not_go_to_work_F,Did_not_go_to_work_P,Method_travel_to_work_ns_M,Method_travel_to_work_ns_F,Method_travel_to_work_ns_P,Tot_M,Tot_F,Tot_P
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,17,9,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,21,0,4,6,0,0,0,34,25,54
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,9
SAL50016,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,98,96,195,6,5,12,3,0,3,0,0,0,0,0,0,4,0,4,3,4,7,118,112,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,32,27,16,45,0,0,3,163,150,315
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,9,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,13,0,0,4,0,0,0,27,18,44
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3
SAL50019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,24,71,3,0,7,4,0,4,0,0,0,0,0,0,0,0,0,6,6,4,63,30,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,20,10,5,19,0,3,3,84,52,133
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,4,3,0,0,0,10,12,29
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,15,11,26,126,100,226,0,0,0,0,0,0,8,0,7,1157,955,2110,52,106,150,7,0,7,7,0,7,30,8,40,20,6,19,25,31,56,1439,1214,2658,25,35,61,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,32,38,64,0,0,0,0,0,0,0,0,4,0,6,3,3,4,6,3,8,15,3,4,5,42,48,92,3,3,8,0,0,5,0,0,0,6,3,11,214,247,463,138,221,365,8,5,12,1853,1743,3594
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,0,4,0,0,0,0,0,0,0,0,0,5,0,5,5,0,4,15,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,22,14,31
SAL50024,7,4,12,86,58,142,0,0,0,0,0,0,3,4,5,697,643,1339,33,61,100,9,0,9,3,0,3,28,10,33,9,3,15,22,19,45,894,810,1704,17,23,43,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,21,32,49,0,0,0,0,0,0,3,0,4,0,0,3,0,0,0,8,5,9,4,0,8,35,37,64,0,4,0,0,0,0,0,0,0,5,4,4,141,134,273,94,182,279,0,4,4,1167,1162,2325
SAL50025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,105,203,12,4,14,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,114,110,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,10,9,22,22,24,45,0,0,6,153,145,297
SAL50026,72,72,142,34,15,51,0,0,0,0,0,0,15,9,21,1725,1404,3127,146,114,262,18,4,29,9,0,9,14,3,13,54,23,76,41,45,83,2134,1683,3815,16,35,47,0,0,0,0,0,0,6,11,18,0,3,6,4,3,7,24,58,84,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,4,10,27,13,34,57,65,118,5,12,21,0,0,0,0,0,0,12,15,23,63,79,146,236,306,536,26,17,44,2527,2165,4686
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,16,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,12,6,25
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,6,7
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,17,0,0,0,0,0,0,23,16,36
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,11,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,10,18,0,0,3,0,0,0,22,15,39
SAL50031,7,5,14,58,33,91,0,0,0,0,0,0,0,7,11,523,458,988,32,41,76,3,0,3,4,0,7,4,0,4,28,10,33,10,13,17,674,576,1245,0,0,4,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,9,5,15,0,0,0,0,0,0,0,3,3,0,4,4,6,4,3,3,9,9,10,0,10,18,11,33,0,0,0,6,0,6,0,0,0,6,0,3,68,80,149,83,86,172,3,3,9,856,756,1612
SAL50032,17,11,28,12,4,19,0,0,0,0,0,0,0,4,3,455,424,883,25,25,51,3,0,3,0,0,0,0,0,0,16,0,15,10,0,12,545,477,1022,8,3,18,0,0,0,0,0,0,10,10,21,0,0,0,0,0,0,26,14,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,12,35,20,53,0,0,3,0,0,0,0,0,0,3,0,3,33,55,84,66,94,158,4,0,0,683,644,1332
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,15,16,37,5,6,13,0,0,0,0,0,0,0,0,0,198,176,374,13,25,42,0,0,0,0,0,0,8,4,3,9,0,16,0,5,3,259,230,490,0,6,9,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,4,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,7,13,0,0,3,0,0,0,0,0,0,3,0,3,30,21,51,45,53,102,0,0,0,347,315,664
SAL50035,3,0,5,72,53,127,0,0,0,0,0,0,5,0,9,1103,1024,2129,47,68,115,7,0,9,6,0,10,31,0,35,24,3,25,13,28,36,1329,1178,2507,26,14,32,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,30,16,42,0,0,0,0,0,0,9,7,8,3,3,3,0,0,0,5,3,16,8,11,18,43,28,72,0,0,0,0,0,0,0,0,0,6,0,4,163,211,372,156,222,381,5,7,6,1698,1651,3343
SAL50036,118,107,225,30,14,50,0,0,0,0,0,0,0,9,9,1767,1604,3363,126,128,254,27,0,27,8,0,12,10,0,9,46,12,54,18,16,35,2161,1892,4058,32,43,79,0,0,0,0,0,0,27,23,49,3,9,17,0,3,0,69,83,147,0,0,0,0,0,0,6,0,6,0,4,3,5,0,4,9,7,10,21,5,27,96,93,185,19,19,34,0,0,0,3,0,3,22,18,43,127,224,355,263,368,634,6,5,13,2682,2603,5282
SAL50037,88,71,161,29,7,35,0,0,0,0,0,0,3,0,0,1141,1050,2195,65,75,145,5,0,5,0,0,0,8,0,7,34,14,43,4,18,22,1381,1236,2619,24,34,58,0,0,0,0,0,0,37,31,65,5,5,7,5,0,5,68,70,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,16,88,74,158,13,12,27,6,0,6,0,0,0,15,12,30,129,164,296,158,270,425,4,0,4,1778,1755,3537
SAL50038,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,145,154,303,9,17,27,9,0,9,0,0,0,0,4,5,8,0,8,7,10,19,183,185,369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,27,31,59,30,35,63,0,9,10,245,256,506
SAL50039,4,0,0,132,35,166,0,0,0,0,0,0,4,12,10,2624,2553,5179,215,196,418,33,0,39,10,0,16,27,5,29,79,15,90,37,33,71,3170,2849,6017,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,53,4,55,3,8,7,9,0,9,64,6,74,42,17,55,112,25,133,0,0,5,6,0,6,3,0,3,11,4,14,88,192,280,522,561,1079,18,10,24,3912,3636,7549
SAL50040,20,14,34,69,20,92,0,0,0,0,0,0,6,8,17,2697,2562,5255,155,171,329,29,0,29,19,0,16,9,5,13,121,31,154,28,28,57,3151,2851,6001,19,20,39,0,0,0,0,0,0,31,47,78,0,0,6,0,0,0,57,70,124,0,0,0,0,0,0,3,0,3,6,4,11,3,3,12,15,15,29,32,23,56,105,105,206,13,7,21,4,0,4,0,0,0,15,13,26,145,268,415,419,487,909,11,19,33,3844,3738,7580
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,9
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,11
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,14,14,25
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,0,0,4,0,0,0,17,13,25
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,5,8,17
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
