SAL_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SAL51403,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,8,3,5,5,0,0,34
SAL51404,5,0,0,0,3,3,0,0,0,11,0,0,0,0,10,8,5,0,0,27,21,21,19,46,82,60,14,0,0,270
SAL51405,14,16,33,30,49,30,17,3,0,190,9,24,47,61,62,38,20,3,0,256,279,468,963,1187,1199,903,286,36,0,5319
SAL51406,0,0,0,3,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,8,5,3,6,14,16,23,3,3,0,79
SAL51407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51408,3,9,3,16,9,12,4,0,0,51,5,6,9,9,17,8,4,0,0,53,83,99,200,213,313,261,74,4,0,1251
SAL51409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SAL51410,4,5,4,10,19,6,0,0,0,42,5,6,0,6,7,4,0,0,0,29,65,52,83,98,180,136,21,0,0,643
SAL51411,0,0,0,0,3,0,0,0,0,8,0,0,0,7,0,8,0,0,0,12,39,25,32,82,117,87,32,0,0,415
SAL51412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,4
SAL51413,0,9,23,19,16,9,0,0,0,69,7,9,12,18,16,7,4,0,0,69,93,113,365,351,311,179,50,0,0,1469
SAL51414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,8
SAL51415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,11,17,14,10,3,0,0,56
SAL51416,10,11,34,32,28,11,6,3,0,130,7,10,63,40,36,35,3,11,0,207,173,448,1553,1164,934,812,369,70,8,5534
SAL51417,12,36,56,41,46,29,3,0,0,225,15,28,80,78,57,27,8,0,0,294,321,559,1606,1746,1266,659,133,9,0,6295
SAL51418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,11,14,15,4,0,0,58
SAL51419,0,3,11,0,10,3,0,0,0,29,0,0,7,6,3,4,0,0,0,23,43,67,178,152,156,129,23,5,0,759
SAL51420,4,24,51,41,32,31,8,4,0,190,15,16,43,39,59,45,14,0,3,223,204,342,704,660,767,753,214,14,3,3655
SAL51421,3,9,10,5,4,13,7,0,0,45,6,6,10,19,14,12,0,0,0,69,151,180,389,437,555,391,158,30,0,2293
SAL51422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,10,21,14,9,0,0,76
SAL51423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,13,15,14,0,0,0,53
SAL51424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,5,6,14,7,0,0,55
SAL51425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,5,0,0,0,8
SAL51426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,3,0,0,19
SAL51427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL51429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51430,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,5,0,7,10,9,13,26,7,0,0,71
SAL51431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,5,4,8,5,5,0,26
SAL51432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,3,5,0,0,20
SAL51433,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,3,10,27,12,12,10,6,0,0,79
SAL51434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11
SAL51435,13,20,57,69,62,28,0,0,0,246,9,31,44,68,53,22,4,3,0,228,392,462,846,1379,1282,619,130,9,0,5120
SAL51436,3,3,5,3,3,5,0,0,0,29,0,0,0,4,4,10,3,0,0,22,50,55,110,140,158,159,58,6,0,732
SAL51437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5
SAL51438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,3,4,0,0,25
SAL51439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,13,12,7,0,0,44
SAL51440,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,4,36,101,87,44,39,3,0,0,320
SAL51441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,15,5,0,4,3,0,33
SAL51442,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,4,8,13,14,21,19,11,3,3,99
SAL51443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,7,6,0,0,17
SAL51444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,9,5,3,0,0,30
SAL51445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51446,4,7,27,32,32,20,6,0,0,132,9,13,27,27,37,24,8,0,0,142,269,233,436,696,786,561,128,6,0,3118
SAL51447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,0,3,5,18,3,4,0,44
SAL51448,22,49,117,109,103,76,21,4,0,501,27,61,132,130,117,104,27,3,0,601,630,1005,2151,2474,2295,1813,533,37,0,10944
SAL51449,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,4,6,17,31,19,25,11,0,0,122
SAL51450,0,0,0,4,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,3,6,0,4,10,11,6,5,0,0,52
SAL51451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4
SAL51452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,6,4,0,0,0,21
SAL51453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,6,3,0,0,29
SAL51454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,10
SAL51456,3,6,9,13,6,0,0,0,0,36,8,10,10,9,13,0,0,0,0,47,70,73,352,479,289,186,32,3,0,1487
SAL51457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12
SAL51458,0,4,0,3,4,4,0,0,0,19,0,0,3,0,5,13,3,0,0,27,21,31,67,84,101,149,41,3,0,498
SAL51459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,3,0,0,0,12
SAL51460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,5,0,0,13
SAL51462,0,0,3,0,0,5,0,0,0,3,5,0,0,5,0,0,0,0,0,7,10,7,22,32,32,53,15,3,3,179
SAL51463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,3,3,7,0,0,0,38
SAL51464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6
SAL51465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51466,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,8,7,11,11,3,3,0,38
SAL51467,6,15,33,21,9,14,3,0,0,94,0,13,44,32,13,8,0,0,0,108,68,222,1008,652,275,168,52,0,0,2447
SAL51468,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,4,6,3,9,18,11,19,6,6,0,76
SAL51469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51470,5,3,7,6,10,5,3,0,0,40,5,9,4,11,15,13,0,0,0,56,125,142,174,285,369,264,104,15,0,1477
SAL51471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,5,5,3,4,0,22
SAL51472,5,11,47,45,20,21,13,3,0,175,4,17,79,47,27,20,4,0,0,192,95,346,1626,1078,642,481,152,14,0,4436
SAL51473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,9
SAL51474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,10,10,11,5,0,0,46
SAL51475,0,11,16,11,11,11,0,0,0,66,0,4,8,13,17,9,0,0,0,54,69,116,308,342,422,288,56,9,0,1596
SAL51476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,6,0,0,0,32
SAL51477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,18
SAL51478,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,0,0,0,14,9,13,34,47,42,30,21,5,0,210
SAL51479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,4,4,0,0,0,14
SAL51480,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,4,5,9,18,21,18,14,0,0,91
SAL51481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51482,0,0,3,3,3,5,4,0,0,18,0,4,0,0,8,0,0,0,0,14,12,16,31,32,73,53,43,3,0,264
SAL51483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,4,7,8,0,0,34
SAL51484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,19,8,0,0,0,73
SAL51485,3,6,5,13,13,4,3,0,0,43,4,0,11,8,3,8,3,0,0,38,69,90,157,210,215,166,48,3,0,953
SAL51486,7,6,7,6,3,3,3,0,0,30,5,0,9,5,4,0,0,0,0,27,39,48,120,109,108,95,21,4,0,551
SAL51487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,4,8,3,0,0,30
SAL51489,3,3,7,22,20,4,3,0,0,61,0,0,0,7,8,7,0,4,0,30,127,68,172,394,338,244,52,10,0,1400
SAL51490,9,24,51,42,14,27,16,0,0,187,7,24,81,58,43,15,6,0,0,238,166,612,1784,1347,837,610,208,18,0,5591
SAL51491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51492,0,0,4,9,6,3,0,0,0,17,0,0,0,4,12,3,0,0,0,21,35,32,74,101,97,69,14,0,0,414
SAL51493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51494,0,5,9,5,3,8,0,0,0,30,4,0,6,4,6,0,0,0,0,19,43,57,134,137,129,135,33,0,0,677
SAL51495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,14,7,9,14,3,0,0,56
SAL51496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,8,8,3,0,0,0,18
