SAL_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SAL50318,8,345,588,229,125,1299,11,1310
SAL50319,0,3,3,0,0,6,0,6
SAL50320,152,822,525,190,84,1774,51,1825
SAL50321,44,497,848,327,198,1912,11,1924
SAL50322,0,36,89,38,48,210,0,210
SAL50323,0,0,0,0,0,0,0,0
SAL50324,221,1054,861,232,101,2467,46,2515
SAL50325,18,157,245,103,59,583,0,583
SAL50326,0,0,0,0,0,0,0,0
SAL50327,18,89,82,55,23,273,12,283
SAL50328,0,0,3,0,0,3,0,3
SAL50329,164,1017,887,330,139,2539,45,2587
SAL50330,0,21,41,26,36,132,7,135
SAL50331,0,8,11,11,7,37,0,37
SAL50332,0,4,11,4,4,22,0,25
SAL50333,0,16,18,4,19,49,0,49
SAL50334,0,51,95,60,32,237,9,244
SAL50335,0,23,27,9,13,73,0,74
SAL50336,0,0,0,0,0,0,0,0
SAL50337,0,0,8,3,6,22,0,22
SAL50338,6,35,13,0,7,63,0,64
SAL50339,0,0,0,0,0,6,0,6
SAL50340,6,121,114,29,19,289,11,297
SAL50341,3,8,0,0,0,21,0,20
SAL50342,0,0,0,0,0,0,0,0
SAL50343,80,953,1211,417,208,2867,24,2892
SAL50344,0,0,4,8,4,20,0,20
SAL50345,0,3,4,0,0,10,0,10
SAL50346,0,4,11,0,5,21,0,21
SAL50347,11,181,375,139,59,761,15,769
SAL50348,0,0,0,0,3,8,0,8
SAL50349,0,0,4,0,3,12,0,12
SAL50350,80,951,1092,311,148,2578,27,2611
SAL50351,0,0,3,7,0,15,0,15
SAL50352,8,64,58,40,16,177,0,184
SAL50353,171,604,288,54,17,1127,12,1139
SAL50354,0,10,37,20,15,83,0,89
SAL50355,0,8,19,20,9,57,0,57
SAL50356,0,12,14,6,5,37,0,37
SAL50357,5,46,58,40,32,178,0,183
SAL50358,0,0,3,0,0,9,0,8
SAL50359,0,20,23,11,5,58,12,66
SAL50360,0,0,0,0,0,8,0,8
SAL50361,3,4,0,0,0,7,0,8
SAL50362,0,4,4,0,0,9,0,9
SAL50363,0,0,0,0,0,0,0,0
SAL50364,17,84,113,54,24,288,0,293
SAL50365,4,0,14,0,6,18,0,18
SAL50366,0,0,0,0,6,7,0,7
SAL50367,63,690,1025,403,216,2396,17,2415
SAL50368,0,14,25,6,8,53,0,53
SAL50369,0,4,4,7,3,15,0,15
SAL50370,0,0,0,0,0,0,0,0
SAL50371,33,262,227,55,25,605,0,605
SAL50372,0,11,24,15,16,67,0,70
SAL50373,0,7,6,4,3,19,0,19
SAL50374,25,245,659,299,180,1407,18,1423
SAL50375,6,74,114,33,23,251,5,256
SAL50376,93,957,1429,535,226,3242,35,3277
SAL50377,0,11,16,12,16,54,0,54
SAL50378,7,72,175,73,48,376,8,388
SAL50379,0,0,0,0,0,0,0,0
SAL50380,73,138,54,19,0,289,15,306
SAL50381,0,0,3,4,0,6,0,10
SAL50382,0,22,49,17,28,116,0,116
SAL50383,0,5,0,0,0,7,0,7
SAL50384,22,414,985,443,261,2128,20,2149
SAL50385,0,0,5,0,0,7,0,7
SAL50386,4,60,102,34,18,223,0,222
SAL50387,3,31,80,67,55,229,0,237
SAL50388,3,41,58,22,25,144,0,144
SAL50389,6,73,205,93,136,512,0,513
SAL50390,10,256,612,263,157,1291,11,1305
SAL50391,0,0,9,8,0,19,0,19
SAL50392,0,0,0,0,4,3,0,3
SAL50393,0,3,4,5,3,10,0,10
SAL50394,0,0,0,3,3,11,0,11
SAL50395,0,3,4,0,0,3,0,3
SAL50396,42,798,1128,372,180,2523,31,2546
SAL50397,26,533,878,247,86,1775,9,1781
SAL50398,0,0,3,0,0,8,0,8
SAL50399,6,32,36,22,17,110,0,114
SAL50400,0,47,108,67,72,298,0,296
SAL50401,0,5,5,3,7,27,0,27
SAL50402,0,10,12,6,3,35,0,32
SAL50403,25,131,98,30,28,304,13,318
SAL50404,44,504,394,95,29,1063,18,1080
SAL50405,110,314,225,79,59,786,37,827
SAL50406,0,0,6,0,0,8,0,8
SAL50407,0,6,5,10,5,26,0,26
SAL50408,0,0,3,0,0,10,0,10
SAL50409,594,3562,3506,1110,707,9473,107,9579
SAL50410,0,0,0,0,0,0,0,0
SAL50411,0,13,25,20,10,68,0,69
SAL50412,5,14,22,15,10,57,0,57
SAL50413,0,0,0,0,0,0,0,0
SAL50414,0,0,6,6,5,16,0,23
SAL50415,55,234,422,163,80,963,15,981
SAL50416,21,204,199,69,37,538,10,547
SAL50417,0,4,3,4,9,17,0,17
SAL50418,0,0,0,0,0,4,0,4
SAL50419,30,383,446,162,99,1123,12,1136
SAL50420,0,6,6,0,6,13,0,13
SAL50421,0,3,6,6,4,26,0,26
SAL50422,0,0,0,0,0,0,0,0
SAL50423,213,1244,1565,400,176,3597,30,3629
SAL50424,4,67,69,28,9,182,5,186
SAL50425,0,0,8,3,4,16,0,16
SAL50426,6,129,274,91,37,542,5,545
SAL50427,0,0,0,0,0,0,0,0
SAL50428,0,0,0,0,0,3,4,10
SAL50429,0,0,3,7,0,13,0,13
SAL50430,0,3,4,3,9,19,0,19
SAL50431,124,1201,1017,338,130,2810,40,2853
SAL50432,0,3,4,5,0,6,0,6
SAL50433,0,0,7,0,6,8,0,8
SAL50434,0,0,0,3,0,7,0,7
SAL50435,0,18,36,20,17,88,0,90
SAL50436,0,9,15,16,10,59,0,57
SAL50437,3,37,46,11,14,106,6,116
SAL50438,130,1417,2700,807,440,5494,50,5543
SAL50439,0,0,0,0,0,0,0,0
SAL50440,0,0,0,0,0,0,0,0
SAL50441,23,739,1074,253,96,2183,43,2222
SAL50442,8,11,6,4,4,32,0,34
SAL50443,0,7,5,0,8,22,0,21
SAL50444,0,0,0,0,0,0,0,0
SAL50445,0,0,3,3,4,8,0,8
SAL50446,7,57,72,36,17,191,0,190
SAL50447,0,13,14,5,3,32,3,33
SAL50448,0,5,6,3,0,17,0,22
SAL50449,0,0,3,0,8,10,0,10
SAL50450,0,7,17,15,3,34,0,34
SAL50451,0,0,9,3,0,16,0,16
SAL50452,107,727,624,197,89,1747,16,1762
SAL50453,85,694,887,280,171,2113,47,2158
SAL50454,15,75,120,38,24,272,4,273
SAL50455,0,0,5,0,3,10,0,10
SAL50456,0,0,0,4,0,4,0,4
SAL50457,124,1037,1197,371,168,2897,19,2913
SAL50458,0,3,0,0,0,3,0,4
SAL50459,0,8,8,3,3,14,0,14
SAL50460,0,0,0,0,0,0,0,0
SAL50461,0,0,0,0,0,5,0,5
SAL50462,0,3,11,0,3,20,0,20
SAL50463,0,0,0,3,5,7,0,7
SAL50464,986,3253,1047,147,50,5484,82,5564
SAL50465,0,12,14,21,28,81,0,80
SAL50466,0,4,0,0,6,12,0,12
SAL50467,18,105,25,10,0,164,9,172
SAL50468,303,1735,1546,377,166,4120,50,4172
SAL50469,0,0,0,5,3,4,0,4
SAL50470,0,0,4,0,0,9,0,9
SAL50471,0,5,22,10,8,42,0,43
SAL50472,111,1134,1255,465,219,3185,39,3223
SAL50473,59,492,560,175,93,1375,20,1396
SAL50474,43,521,777,245,119,1714,16,1730
SAL50475,0,3,9,0,3,15,0,15
SAL50476,9,444,604,117,53,1237,4,1237
SAL50477,0,21,5,4,0,27,0,27
SAL50478,0,0,3,4,4,9,0,9
SAL50479,0,0,0,4,0,5,0,5
SAL50480,0,13,17,5,8,46,3,52
SAL50481,0,26,57,31,24,134,3,132
SAL50482,246,2707,3361,1067,574,7952,107,8056
SAL50483,0,0,4,4,3,7,0,7
SAL50484,71,511,557,120,69,1325,24,1352
SAL50485,0,0,0,0,0,0,0,0
SAL50486,0,51,44,12,7,109,4,111
SAL50487,5,24,24,5,8,56,0,56
SAL50488,0,0,0,0,0,0,0,0
SAL50489,0,0,0,0,0,0,0,0
SAL50490,0,0,0,0,0,4,0,4
SAL50491,166,1255,756,185,111,2474,46,2522
SAL50492,117,399,263,71,36,889,22,910
SAL50493,0,0,0,0,0,0,0,0
SAL50494,0,5,9,0,3,14,0,14
SAL50495,0,0,0,0,0,0,0,0
SAL50496,0,0,4,0,5,5,0,5
SAL50497,16,299,382,155,122,975,22,992
SAL50498,0,8,9,0,0,19,0,21
SAL50499,0,4,3,0,4,13,0,13
SAL50500,62,874,883,270,166,2257,31,2288
SAL50501,0,9,38,16,26,83,0,83
SAL50502,79,633,696,214,95,1713,11,1729
SAL50503,0,0,0,0,0,0,0,0
SAL50504,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0
SAL50507,0,0,0,0,0,3,0,3
SAL50508,125,136,64,27,7,351,8,358
SAL50509,0,0,0,0,0,0,0,0
SAL50510,51,743,1342,473,232,2840,4,2846
SAL50511,0,0,0,0,0,0,0,0
SAL50512,0,31,35,17,9,100,4,108
SAL50513,0,10,13,4,3,28,0,29
SAL50514,0,0,0,0,0,0,0,0
SAL50515,0,0,3,0,5,13,0,13
SAL50516,0,0,0,0,0,0,0,0
SAL50517,8,67,139,69,60,342,9,350
SAL50518,205,1682,1999,703,428,5014,81,5096
SAL50519,3,5,5,0,0,10,0,11
SAL50520,3,37,45,36,23,142,0,144
SAL50521,0,0,0,0,0,0,0,0
SAL50522,477,1898,1237,278,122,4009,59,4068
SAL50523,29,189,124,59,53,453,11,465
SAL50524,0,0,0,0,0,3,0,3
SAL50525,4,53,96,67,42,267,6,271
SAL50526,0,10,6,3,6,19,0,19
SAL50527,0,4,7,10,14,32,0,39
SAL50528,0,0,0,0,0,0,0,0
SAL50529,0,0,0,0,0,0,0,0
SAL50530,0,10,11,4,5,26,0,26
SAL50531,0,11,4,0,0,22,0,20
SAL50532,0,0,0,3,0,4,0,4
SAL50533,8,88,290,185,144,717,4,723
SAL50534,55,497,569,183,85,1390,18,1406
SAL50535,0,6,8,5,7,24,0,31
SAL50536,158,571,373,114,46,1257,25,1284
SAL50537,0,0,0,3,0,3,0,5
SAL50538,6,11,0,0,0,23,0,22
SAL50539,0,23,49,16,24,113,0,119
SAL50540,18,22,3,4,0,51,0,51
SAL50541,0,0,0,0,0,0,0,0
SAL50542,5,110,344,216,231,907,11,916
SAL50543,0,4,10,10,8,29,0,30
SAL50544,0,0,4,0,0,9,0,9
SAL50545,0,0,6,0,8,15,0,15
SAL50546,0,0,0,0,0,0,0,0
SAL50547,0,0,0,0,0,0,0,0
SAL50548,9,79,134,50,27,309,8,319
SAL50549,0,3,3,6,5,12,0,12
SAL50550,230,1236,1109,382,236,3190,71,3269
SAL50551,10,73,167,67,58,371,7,378
SAL50552,14,210,429,201,134,988,9,995
SAL50553,32,347,461,163,84,1091,18,1109
SAL50554,0,0,4,4,3,14,0,14
SAL50555,0,0,3,0,0,8,0,8
SAL50556,140,623,309,41,22,1123,15,1141
SAL50557,3,87,158,64,33,351,0,350
SAL50558,0,4,7,9,10,40,0,40
SAL50559,0,9,13,7,3,40,0,40
SAL50560,0,3,4,3,0,9,0,9
SAL50561,9,149,135,70,122,481,8,491
SAL50562,7,39,82,25,11,161,5,167
SAL50563,0,0,0,0,0,8,0,8
SAL50564,9,57,71,31,28,196,6,197
SAL50565,0,0,7,0,0,9,0,9
SAL50566,44,639,813,278,152,1924,30,1953
SAL50567,4,48,44,16,0,116,0,118
SAL50568,0,0,0,4,6,14,0,14
SAL50569,6,86,72,28,12,208,9,225
SAL50570,0,0,0,4,0,3,0,3
SAL50571,17,259,562,230,175,1235,10,1248
SAL50572,0,0,3,5,3,8,0,8
SAL50573,0,0,0,0,0,0,0,0
SAL50574,601,3110,2620,913,509,7754,131,7885
SAL50575,0,19,27,14,17,71,5,74
SAL50576,0,0,7,0,6,11,0,11
SAL50577,0,7,21,10,10,48,0,48
SAL50578,0,20,19,21,10,64,0,64
SAL50579,5,55,51,25,5,144,0,145
SAL50580,0,6,8,4,5,23,0,23
SAL50581,0,0,8,0,7,16,0,16
SAL50582,8,54,61,30,11,160,0,158
SAL50583,296,1770,1195,443,287,3984,62,4053
SAL50584,0,4,0,7,5,15,0,15
SAL50585,27,285,375,167,96,949,12,959
SAL50586,0,23,44,21,26,113,0,114
SAL50587,88,1075,1646,560,266,3631,23,3656
SAL50588,0,0,5,0,3,5,0,5
SAL50589,0,9,4,4,0,18,0,25
SAL50590,0,0,0,0,0,3,3,3
SAL50591,24,12,4,0,0,44,0,44
SAL50592,0,0,0,0,0,0,0,0
SAL50593,0,26,30,6,3,62,0,62
SAL50594,46,290,249,90,37,705,0,706
SAL50595,0,0,0,0,0,3,0,3
SAL50596,0,0,3,3,4,10,0,10
SAL50597,0,0,7,0,0,16,0,16
SAL50598,0,8,14,6,5,33,0,33
SAL50599,49,489,898,239,119,1791,10,1807
SAL50600,0,4,8,8,0,16,0,16
SAL50601,0,3,10,0,7,17,0,17
SAL50602,189,150,63,11,7,417,33,444
SAL50603,163,1765,2212,771,365,5264,43,5314
SAL50604,0,27,25,25,22,96,0,96
SAL50605,0,4,12,0,0,19,0,15
SAL50606,0,0,0,0,0,5,0,5
SAL50607,66,586,896,262,155,1966,20,1981
