SAL_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SAL50044,54,500,749,327,2499,0.7,1625,1.4
SAL50045,52,2167,820,0,1875,0.8,2583,3
SAL50046,30,0,687,0,1625,0.8,1625,3.6
SAL50047,51,7800,1291,0,2749,0.8,2749,3
SAL50048,44,750,968,210,1812,0.7,1583,2.4
SAL50049,60,0,474,50,1125,1.1,1125,2.3
SAL50050,49,2366,900,400,1458,0.8,2124,2.6
SAL50051,44,1800,697,310,1701,0.8,1531,2.7
SAL50052,49,2383,715,250,1968,0.7,1562,2.4
SAL50053,39,1756,804,340,2043,0.7,1537,2.2
SAL50054,31,1900,941,360,2291,0.8,2096,2.9
SAL50055,32,1482,713,310,1490,0.8,1299,2.4
SAL50056,58,1348,540,250,1271,0.8,944,2
SAL50057,64,1083,866,0,2749,0.6,1499,1.9
SAL50058,68,0,374,0,725,1.5,725,1.5
SAL50059,53,1729,746,250,1875,0.6,1792,2.2
SAL50060,29,0,900,0,0,0.5,0,2
SAL50061,37,1703,716,350,1916,0.8,1726,2.9
SAL50062,53,0,875,0,1937,0.6,1812,2.2
SAL50063,65,442,453,145,900,0.6,675,1.5
SAL50064,56,705,675,0,2083,0.8,1375,2.4
SAL50065,53,1084,1069,0,2062,0.8,1874,2.5
SAL50066,39,1959,958,263,2250,0.7,2087,2.7
SAL50067,40,0,2241,65,474,0.7,474,2.1
SAL50068,42,2100,860,450,2750,0.7,2507,3
SAL50069,30,1800,913,360,2116,0.8,1956,3
SAL50070,0,0,0,0,0,0,0,0
SAL50071,46,2000,1208,346,2750,0.9,1875,2.9
SAL50072,62,0,850,50,2125,0.7,1999,2.2
SAL50073,44,0,1062,169,1874,0.6,2083,2.3
SAL50074,56,2405,634,310,1343,0.9,1375,3
SAL50075,45,2167,708,323,2433,0.8,2110,3
SAL50076,41,0,2167,0,0,0.5,0,1
SAL50077,49,2800,782,353,2100,0.7,2089,2.7
SAL50078,40,1850,910,330,2367,0.7,1772,2.3
SAL50079,41,2200,852,420,2630,0.8,2284,2.9
SAL50080,0,0,0,0,0,0,0,0
SAL50081,31,2200,1665,315,3750,0.8,3390,3
SAL50082,42,1517,707,350,1613,0.7,1350,2.5
SAL50083,39,2000,1015,350,2679,0.8,2037,2.4
SAL50084,45,1300,735,200,1868,0.7,1177,2
SAL50085,47,650,911,155,1875,0.7,1468,2.5
SAL50086,42,2300,885,350,2488,0.8,1837,2.4
SAL50087,51,0,1375,40,0,0.3,1375,1
SAL50088,47,1550,769,200,2125,0.6,1687,2.3
SAL50089,37,0,1093,0,2374,0.7,1875,2.4
SAL50090,34,1733,796,340,1958,0.8,1667,2.7
SAL50091,39,2167,929,360,2596,0.8,2072,2.5
SAL50092,42,2492,967,370,2801,0.8,2722,3.1
SAL50093,38,1517,651,320,1680,0.8,1426,2.7
SAL50094,39,2086,778,300,2299,0.7,1562,2.7
SAL50095,29,2200,783,40,1125,0.7,1375,2.2
SAL50096,46,1434,524,0,1624,0.9,1625,2.8
SAL50097,49,2383,949,138,2062,0.8,1562,2.7
SAL50098,34,2080,984,385,2427,0.8,2206,2.8
SAL50099,36,0,949,125,1958,0.9,1916,3.3
SAL50100,46,2877,890,300,2374,0.8,2062,2.8
SAL50101,45,1517,725,400,1854,0.8,1562,2.6
SAL50102,37,1863,857,370,2175,0.7,1905,2.5
SAL50103,54,2184,691,500,2208,0.7,1850,2.8
SAL50104,40,1500,727,300,1630,0.7,1313,2.2
SAL50105,36,1733,865,350,2062,0.8,1557,2.3
SAL50106,47,675,891,110,1812,0.6,1339,2.1
SAL50107,44,1950,850,300,2812,0.8,1624,2.6
SAL50108,35,3059,849,175,2249,0.8,1687,2.4
SAL50109,43,1733,825,233,1708,0.7,1395,2.5
SAL50110,32,1800,781,418,2109,0.8,2077,3.4
SAL50111,32,1555,618,320,1576,0.8,1212,2.3
SAL50112,45,1517,868,250,1916,0.7,1441,2
SAL50113,39,9999,1083,0,2549,0.7,1937,2.3
SAL50114,0,0,0,0,0,0,0,0
SAL50115,31,1686,887,350,2136,0.8,1997,3.1
SAL50116,57,975,520,200,1303,0.7,935,2.1
SAL50117,44,1800,805,400,2227,0.7,1825,2.5
SAL50118,48,2600,809,350,2393,0.8,2241,2.9
SAL50119,45,2383,990,360,2907,0.7,2007,2.3
SAL50120,56,1108,366,250,900,0.8,1124,2.3
SAL50121,56,1559,610,175,1531,0.9,919,1.9
SAL50122,42,0,812,0,1624,0.7,1624,2.8
SAL50123,32,2403,1319,300,2847,0.9,2438,2.7
SAL50124,0,0,0,0,0,0,0,0
SAL50125,34,0,1178,200,2125,0.8,1875,2.8
SAL50126,49,1688,655,300,1739,0.7,1375,2.4
SAL50127,24,0,1875,250,0,0.5,1875,1
SAL50128,55,0,1374,0,2250,0.6,2250,3
SAL50129,45,1820,809,300,2036,0.7,1754,2.4
SAL50130,48,0,979,160,2124,0.6,1625,2.4
SAL50131,45,2167,767,330,2250,0.7,1666,2.6
SAL50132,52,1733,853,260,2125,0.7,1359,2.1
SAL50133,57,728,537,213,1224,1,1083,2.1
SAL50134,50,2419,900,200,1624,0.6,1416,2.1
SAL50135,43,900,762,185,2249,0.9,1624,2.8
SAL50136,55,600,966,125,3166,0.7,1687,2.4
SAL50137,40,1517,838,280,2150,0.7,1722,2.5
SAL50138,43,1734,1125,180,2624,0.7,1875,2.6
SAL50139,59,250,574,150,1166,0.8,1541,2.2
SAL50140,56,540,670,130,1874,0.7,1458,2.1
SAL50141,40,750,450,0,1375,1.3,1375,3.6
SAL50142,51,1250,612,285,1708,0.8,1416,2.5
SAL50143,37,2502,1771,850,3416,0.9,3444,3.1
SAL50144,45,0,1625,0,2999,0.5,1875,2
SAL50145,48,1760,661,225,1924,0.9,1542,2.5
SAL50146,45,0,966,140,1624,0.6,1812,2.3
SAL50147,43,0,2227,250,725,0.2,1649,1.5
SAL50148,43,2500,847,410,2571,0.7,1991,2.6
SAL50149,54,1300,1375,0,2250,0.9,2125,2.4
SAL50150,0,0,0,0,0,0,0,0
SAL50151,55,650,612,145,1199,0.7,900,2
SAL50152,48,1192,749,250,2124,0.8,1375,2.4
SAL50153,53,2000,1041,0,1875,0.7,1812,2.1
SAL50154,40,0,549,0,0,1,225,2
SAL50155,49,477,483,225,687,0.7,725,2.3
SAL50156,40,0,824,50,1875,0.7,1812,2.3
SAL50157,53,1657,725,260,1812,0.8,1333,2.2
SAL50158,50,750,949,70,1875,0.7,1375,2.2
SAL50159,35,1302,1019,300,2337,0.8,1968,2.4
SAL50160,52,674,1062,200,1874,0.7,1562,2.3
SAL50161,56,1733,599,280,1391,0.7,1174,2.2
SAL50162,46,1950,776,480,2353,0.7,2166,2.9
SAL50163,49,1588,687,100,1812,0.9,1125,2.3
SAL50164,48,1000,575,275,1583,0.7,1593,2.6
SAL50165,59,2708,550,150,1166,0.7,1042,2.2
SAL50166,52,462,933,100,3625,0.6,1437,2.4
SAL50167,40,1042,1018,215,1875,0.9,1875,3
SAL50168,41,1975,933,395,2571,0.7,2159,2.5
SAL50169,46,1733,745,320,2005,0.8,1609,2.6
SAL50170,32,0,1333,0,1875,0.7,1708,2.5
SAL50171,32,910,1041,213,1499,0.8,1499,3
SAL50172,51,1088,633,220,1419,0.7,1102,2.2
SAL50173,29,1928,1059,370,2256,0.8,2155,3
SAL50174,46,2450,858,375,1924,0.8,1774,2.6
SAL50175,58,2383,634,0,1375,0.7,1187,2.4
SAL50176,42,1127,724,510,1375,0.7,1208,2
SAL50177,53,1508,742,220,1432,0.8,1210,2.1
SAL50178,38,2100,785,350,2426,0.8,1707,2.5
SAL50179,46,0,0,0,0,0.3,0,1
SAL50180,52,1400,580,300,1462,0.7,1082,2.2
SAL50181,43,2675,1002,623,2989,0.8,2901,3.1
SAL50182,59,3018,342,0,899,0.9,1124,2.2
SAL50183,53,1733,632,370,1562,0.7,1232,2.3
SAL50184,34,2200,1508,320,3524,0.8,3557,3.3
SAL50185,39,1300,814,208,2055,0.8,1411,2.2
SAL50186,53,1950,575,125,1999,0.9,900,1.8
SAL50187,30,1438,620,300,1542,0.8,1396,2.9
SAL50188,50,1767,743,200,2055,0.8,1812,2.7
SAL50189,51,1300,547,200,1567,0.7,1189,2.2
SAL50190,36,1950,967,300,2281,1,1802,2.5
SAL50191,41,0,1025,150,2285,0.7,2281,2.6
SAL50192,50,782,506,200,1328,0.6,942,2.1
SAL50193,38,1625,1095,150,2562,0.8,2125,2.7
SAL50194,0,0,0,0,0,0,0,0
SAL50195,50,1311,680,250,1449,1,1333,2.4
SAL50196,49,737,746,160,1699,0.7,1236,2.4
SAL50197,44,1398,612,250,1660,0.8,1333,2.5
SAL50198,49,0,900,100,2250,0.9,2250,2.5
SAL50199,51,1733,1025,230,1718,0.7,1674,2.1
SAL50200,33,1810,1409,388,3198,0.9,2812,2.6
SAL50201,44,2167,756,420,2378,0.8,1880,2.7
SAL50202,0,0,0,0,0,0,0,0
SAL50203,43,1580,979,0,2208,0.9,2125,2.9
SAL50204,48,2167,841,255,2374,1,1781,2.3
SAL50205,52,0,599,0,2749,0.7,724,1.8
SAL50206,60,0,724,0,900,0.7,1374,2
SAL50207,38,1950,869,350,2105,0.7,1912,2.8
SAL50208,72,0,2124,0,4750,0.6,3874,2
SAL50209,48,542,1542,50,3624,1,3624,3.1
SAL50210,49,1733,923,330,2198,0.7,1614,2
SAL50211,30,0,866,0,1562,0.8,1875,3.3
SAL50212,46,0,1312,0,3124,0.8,3374,2.7
SAL50213,39,3000,1312,0,3125,0.8,1812,3.1
SAL50214,40,1083,1196,0,2750,0.7,2333,2.5
SAL50215,54,0,1083,0,2250,0.9,1874,2.9
SAL50216,0,0,0,0,0,0,0,0
SAL50217,38,1742,918,298,2333,0.8,2086,2.8
SAL50218,71,2011,1062,288,2999,0.5,1062,1.5
SAL50219,35,867,556,275,1062,0.6,725,2
SAL50220,36,0,2374,0,3750,0.3,3750,2
SAL50221,40,2890,1153,650,3488,0.8,3439,3.2
SAL50222,42,1934,843,360,2181,0.9,2134,2.9
SAL50223,43,1237,762,120,1833,0.7,1208,2.7
SAL50224,31,1400,687,50,1625,0.6,1187,2.8
SAL50225,43,0,0,0,0,0,0,1
SAL50226,38,2167,1132,430,2431,0.9,1975,2
SAL50227,32,2199,1433,480,2963,0.7,2742,2.5
SAL50228,56,1635,624,320,1362,0.7,949,1.9
SAL50229,32,1733,785,340,1992,0.8,1710,2.8
SAL50230,31,1898,947,380,2184,0.8,2059,3
SAL50231,34,2167,1166,371,2563,0.9,2181,2.7
SAL50232,51,0,624,150,1749,0.8,1437,2.8
SAL50233,60,0,900,0,0,1,900,1
SAL50234,39,521,909,185,2250,0.8,1458,2.4
SAL50235,48,1300,498,250,1345,0.7,953,2.1
SAL50236,63,1083,575,180,1625,0.7,1374,2
SAL50237,58,975,749,0,1374,0.7,1375,2.3
SAL50238,28,543,317,75,850,1.1,963,3.3
SAL50239,20,0,1224,0,2874,1.2,4749,4
SAL50240,37,1300,610,280,1475,0.7,1279,2.6
SAL50241,29,640,1062,150,2666,0.7,2583,2.8
SAL50242,43,0,1062,0,1999,0.5,1999,2
SAL50243,37,1000,769,88,1625,0.8,1812,2.8
SAL50244,15,2383,612,200,3250,1.1,2499,4.5
SAL50245,37,2000,830,425,2376,0.8,2277,3.1
SAL50246,30,1512,781,350,1789,0.9,1558,2.5
SAL50247,57,0,1500,170,2250,0.5,2250,2
SAL50248,51,1630,783,280,2103,0.8,1380,2
SAL50249,53,0,949,122,1625,0.6,1375,1.3
SAL50250,28,3900,1091,150,1625,0.6,725,1.6
SAL50251,42,1498,703,320,1735,0.7,1425,2.5
SAL50252,52,2167,790,375,1474,0.8,1458,2.5
SAL50253,31,0,1481,420,0,0.3,900,1
SAL50254,57,0,725,200,1875,0.7,2124,2.4
SAL50255,44,2600,693,300,2441,0.8,2307,3.1
SAL50256,52,0,1531,150,2250,0.7,1708,2.3
SAL50257,0,0,0,0,0,0,0,0
SAL50258,45,2383,900,373,2100,0.8,1625,2.5
SAL50259,50,1544,575,233,1437,0.7,1187,2.5
SAL50260,40,2383,953,500,2795,0.8,2645,3.1
SAL50261,40,1261,592,270,1335,0.7,1018,2.1
SAL50262,43,2340,969,450,2856,0.7,2442,2.8
SAL50263,36,1900,963,340,2375,0.7,1766,2.2
SAL50264,53,1800,522,300,1437,0.8,1218,2.5
SAL50265,46,2162,850,345,2486,0.8,2345,3
SAL50266,43,867,823,150,1875,0.7,1350,2
SAL50267,39,2034,893,210,1803,0.9,1350,2
SAL50268,52,0,725,0,0,0.1,725,1
SAL50269,37,2017,938,440,2583,0.8,2455,3.1
SAL50270,52,1679,1149,0,2250,0.8,2125,2.7
SAL50271,40,607,1196,150,2312,1,2187,3.2
SAL50272,34,0,1325,210,2833,0.7,2333,2.7
SAL50273,38,1717,833,300,2067,0.7,1612,2.4
SAL50274,36,2300,808,428,2336,0.8,2284,3
SAL50275,34,0,1458,208,2250,0.6,1999,2.2
SAL50276,50,1733,614,300,2036,0.8,1609,2.5
SAL50277,33,2000,980,390,2423,0.8,2266,3
SAL50278,53,1295,598,290,1295,0.7,823,1.7
SAL50279,55,1427,628,300,1401,0.6,1044,2
SAL50280,48,1533,725,222,1937,0.9,1399,2.4
SAL50281,41,1950,766,355,2077,0.8,1812,2.6
SAL50282,50,1300,962,0,2624,1,2250,2.3
SAL50283,52,1600,762,200,1437,0.7,1275,2.4
SAL50284,49,1900,885,310,2083,0.8,1583,2.3
SAL50285,49,1813,890,225,2250,0.7,1875,2.5
SAL50286,49,1400,706,230,1937,0.7,1687,2.3
SAL50287,43,0,1062,150,2125,0.7,1874,2.8
SAL50288,53,1042,537,0,1249,1.1,866,2.3
SAL50289,35,0,2866,0,0,0,0,0
SAL50290,44,1950,818,380,2313,0.7,1971,2.7
SAL50291,44,2000,828,335,2233,0.8,1972,2.7
SAL50292,43,3000,1031,150,2125,1,2125,3.4
SAL50293,41,2600,1015,365,2898,0.8,2314,2.6
SAL50294,47,4000,1228,750,4592,0.7,3700,2.8
SAL50295,50,1500,627,220,1604,0.8,1333,2.3
SAL50296,44,2800,1115,460,3154,0.8,2068,2.2
SAL50297,34,1733,828,350,2011,0.7,1761,2.6
SAL50298,32,0,1187,0,1375,0.9,1375,3.5
SAL50299,68,0,474,0,900,1,824,1.8
SAL50300,0,0,0,0,0,0,0,0
SAL50301,34,1700,812,340,1897,0.8,1520,2.4
SAL50302,43,5758,695,0,2083,0.7,1749,2.6
SAL50303,0,0,0,0,0,0,0,0
SAL50304,31,1517,1020,355,2049,0.9,1626,1.9
SAL50305,29,0,1062,100,0,0.1,1125,1
SAL50306,55,2700,1224,200,2750,0.6,2624,2.2
SAL50307,48,2167,725,350,1625,0.8,1699,2.8
SAL50308,45,0,724,250,2499,1.1,2499,5
SAL50309,38,1556,776,370,2139,0.7,1899,2.7
SAL50310,43,1263,574,250,1524,0.7,1177,2.3
SAL50311,48,1690,900,220,1937,0.8,1792,2.5
SAL50312,40,1478,735,323,1875,0.8,1509,2.5
SAL50313,52,1750,808,320,1708,0.7,1388,2.3
SAL50314,48,921,675,0,1749,0.8,725,2.5
SAL50315,53,0,850,0,1875,0.7,1624,2.3
SAL50316,38,2041,1001,350,2550,0.7,1780,2.1
SAL50317,41,1083,870,150,1468,0.8,1328,2.5
SAL50318,47,2167,948,415,2664,0.7,2304,2.7
SAL50319,51,0,1333,150,3249,0.8,1875,2.1
SAL50320,48,1300,487,240,1147,0.7,845,2.2
SAL50321,47,2500,870,430,2635,0.7,2182,2.6
SAL50322,46,1900,589,300,1761,0.8,1518,2.6
SAL50323,35,2200,2357,0,2250,1,2250,3.5
SAL50324,37,1600,772,300,1975,0.7,1378,2.1
SAL50325,40,2600,1192,350,4166,0.8,3229,2.8
SAL50326,45,0,725,0,1375,0.6,1375,3
SAL50327,49,927,760,250,1850,0.7,1260,2.1
SAL50328,60,0,1100,0,2250,0.6,2499,2.2
SAL50329,42,1313,596,300,1498,0.7,1207,2.4
SAL50330,38,2000,767,270,2125,0.8,2159,3.1
SAL50331,34,0,1196,0,2541,0.8,2166,2.8
SAL50332,51,100,971,250,1875,0.6,1666,2.2
SAL50333,52,1867,706,370,1708,0.8,1410,2.3
SAL50334,55,1400,620,330,1833,0.7,1399,2.2
SAL50335,49,625,741,150,1687,0.7,1300,2.1
SAL50336,0,0,0,0,0,0,0,0
SAL50337,46,1810,675,273,1812,0.7,1437,2.5
SAL50338,33,3390,871,160,2349,1.4,1166,2
SAL50339,54,0,450,120,1149,1,1125,2.3
SAL50340,50,867,771,185,1775,0.7,1157,2
SAL50341,35,0,1702,57,674,0.9,739,3
SAL50342,24,2104,824,0,2124,1.3,2124,2
SAL50343,44,3925,1458,550,4593,0.8,3351,2.5
SAL50344,34,1800,812,270,1812,0.8,1812,2.8
SAL50345,34,1667,1125,0,2124,0.6,1749,1.7
SAL50346,52,1797,780,225,2583,0.9,1625,2.1
SAL50347,39,1950,876,390,2128,0.8,1925,2.8
SAL50348,49,0,1333,0,2750,0.7,1625,3
SAL50349,47,694,1024,145,2750,0.8,1437,2.7
SAL50350,35,1733,927,375,2155,0.7,1792,2.4
SAL50351,35,0,1069,0,2624,0.9,2124,2.5
SAL50352,44,719,705,174,1518,0.7,1166,2.3
SAL50353,24,1941,435,350,1976,1,1368,2
SAL50354,48,2184,893,280,2250,0.8,2208,2.6
SAL50355,50,1733,855,302,2041,0.8,1812,2.6
SAL50356,56,1100,678,68,1875,0.7,1474,2.2
SAL50357,52,1300,614,280,1319,0.7,1187,2.3
SAL50358,39,1517,1624,0,1875,1.2,1874,2.6
SAL50359,63,725,517,100,1333,0.6,693,1.5
SAL50360,55,2004,762,200,2374,0.8,1437,2.2
SAL50361,33,0,341,150,850,1.9,849,3
SAL50362,64,825,899,260,1874,0.6,1375,1.8
SAL50363,31,0,2375,0,0,0,0,0
SAL50364,35,1246,672,200,2052,0.7,1573,2.3
SAL50365,47,2000,837,205,1916,0.8,1875,2.4
SAL50366,54,824,1031,0,1937,0.8,1937,2.3
SAL50367,40,2000,883,400,2456,0.7,2214,2.8
SAL50368,48,1670,741,250,2025,0.9,1781,2.5
SAL50369,51,1733,875,300,1125,0.7,1062,2.4
SAL50370,42,0,2458,0,0,0,0,0
SAL50371,39,2800,957,295,3109,0.9,2134,2.4
SAL50372,55,1733,622,215,1187,0.8,1166,2.3
SAL50373,60,944,537,550,1875,0.6,725,2.2
SAL50374,45,5000,1403,802,4861,0.7,4672,3
SAL50375,36,1083,992,231,2206,0.8,1887,2.6
SAL50376,34,1733,885,350,2286,0.8,2066,2.9
SAL50377,43,1950,1071,175,2583,0.8,2100,2.5
SAL50378,35,2383,1698,480,3941,0.9,3664,2.9
SAL50379,0,0,0,0,0,0,0,0
SAL50380,30,2970,416,120,1042,1.2,1078,3
SAL50381,27,716,1375,225,2625,0.8,2624,3.1
SAL50382,48,1591,980,205,2187,0.7,1875,2.4
SAL50383,52,1083,725,0,3249,0.5,1625,1.6
SAL50384,35,2000,810,460,2475,0.8,2403,3.4
SAL50385,63,500,762,0,2083,0.6,2083,1.8
SAL50386,41,1625,751,285,1960,0.7,1701,2.5
SAL50387,49,1896,826,300,2488,0.7,2083,2.6
SAL50388,49,980,953,151,1946,0.7,1321,2.1
SAL50389,39,2172,969,400,2640,0.7,2480,3
SAL50390,44,2100,938,420,2725,0.7,2388,2.7
SAL50391,57,2167,575,200,1125,0.6,1062,1.8
SAL50392,46,0,1375,0,3250,0.7,3250,3
SAL50393,50,0,1025,0,2083,0.7,1437,2.5
SAL50394,46,897,2250,0,4499,0.6,3749,2.4
SAL50395,53,0,1062,669,2499,0.9,966,1.4
SAL50396,43,1842,643,350,1739,0.7,1469,2.6
SAL50397,30,2000,1021,360,2216,0.8,2133,3
SAL50398,36,0,575,88,1375,1.3,1625,2.8
SAL50399,38,1941,705,195,1821,0.7,1511,2.5
SAL50400,37,2021,975,390,2802,0.8,2671,3
SAL50401,53,1900,734,250,1406,0.7,1281,2.2
SAL50402,41,1975,680,125,1375,0.9,1291,2.8
SAL50403,48,1387,754,220,1449,0.8,1021,2
SAL50404,49,1377,577,300,1342,0.7,975,2.1
SAL50405,35,1638,855,180,1942,0.9,1713,2.5
SAL50406,31,0,1625,0,3749,0.8,3250,3.3
SAL50407,54,1342,628,350,1406,0.8,1449,2.6
SAL50408,40,3000,1024,0,2749,0.9,2374,3.1
SAL50409,43,2000,789,340,2257,0.7,1684,2.4
SAL50410,30,0,1199,0,3374,0.8,1625,3
SAL50411,47,1733,900,168,2113,0.7,1821,2.5
SAL50412,44,1310,822,210,2166,0.9,1833,2.4
SAL50413,18,0,1012,0,3250,1.5,3250,6
SAL50414,32,1300,917,300,1875,0.8,1875,2.9
SAL50415,34,2343,1355,350,2937,0.9,2659,2.8
SAL50416,51,1600,600,268,1600,0.7,1092,2.3
SAL50417,36,0,1125,0,2583,0.7,2250,2.8
SAL50418,60,0,1312,0,2750,0.7,1699,1.5
SAL50419,46,1486,627,300,1554,0.7,1279,2.4
SAL50420,42,792,724,0,2125,0.8,1499,2.7
SAL50421,51,1192,1031,190,2625,0.7,2416,2.5
SAL50422,0,0,0,0,0,0,0,0
SAL50423,37,2300,1159,400,3038,0.8,2305,2.4
SAL50424,46,672,685,170,1359,0.6,1103,2.1
SAL50425,36,3250,749,300,1625,0.9,1458,2.9
SAL50426,33,1733,960,330,2380,0.7,2134,2.8
SAL50427,46,0,575,0,1125,3,1125,3.5
SAL50428,39,0,966,600,1125,1,1125,2.4
SAL50429,34,0,1062,200,1875,0.8,1187,2.8
SAL50430,46,217,866,0,2125,0.8,2124,2.9
SAL50431,53,1530,590,310,1524,0.6,1193,2.2
SAL50432,62,0,1100,0,1625,0.6,1874,2.6
SAL50433,51,2167,966,1500,2499,0.6,2499,2.2
SAL50434,45,0,1291,0,3750,0.7,3750,2.7
SAL50435,51,1723,729,312,1875,0.7,1521,2.5
SAL50436,37,1621,583,400,2250,0.6,1974,2.3
SAL50437,49,500,704,150,1517,0.6,1146,2
SAL50438,42,2208,951,460,2817,0.7,2394,2.8
SAL50439,0,0,0,0,0,0,0,0
SAL50440,34,0,0,0,0,1.1,0,4.5
SAL50441,41,1885,883,450,2040,0.7,1738,2.6
SAL50442,32,0,809,136,1024,1.3,1187,2.7
SAL50443,49,825,518,0,1166,0.7,1031,2.3
SAL50444,38,998,287,185,250,2,450,4
SAL50445,52,0,1062,180,2250,0.8,2125,2.2
SAL50446,49,1733,632,274,1833,0.8,1343,2.4
SAL50447,63,3754,1545,650,4062,0.5,2749,2.1
SAL50448,52,1154,474,150,1125,1,850,2.1
SAL50449,45,0,1083,0,1437,0.7,1458,2.8
SAL50450,46,1900,1021,46,2124,0.8,1562,2.3
SAL50451,42,0,825,300,1812,0.8,1792,2.8
SAL50452,47,1470,679,300,1603,0.7,1193,2.1
SAL50453,31,1733,801,350,1969,0.8,1828,2.9
SAL50454,38,1545,822,262,2083,0.8,1763,2.6
SAL50455,56,1517,939,138,2083,0.7,2166,2.4
SAL50456,35,0,724,0,2374,0.9,2374,3.5
SAL50457,44,2600,1075,420,3178,0.8,2288,2.5
SAL50458,34,0,850,0,1437,1.4,2250,4
SAL50459,44,0,1208,350,1937,0.6,1625,2
SAL50460,0,0,0,0,0,0,0,0
SAL50461,52,0,1949,0,4624,0.6,4624,2
SAL50462,61,1500,630,238,1375,0.6,1166,1.8
SAL50463,40,0,537,0,1374,0.8,1374,2.5
SAL50464,35,1950,1174,410,2563,1,2005,1.8
SAL50465,47,1950,873,175,1937,0.7,1718,2.6
SAL50466,50,810,687,130,1312,0.6,899,1.8
SAL50467,63,754,536,250,885,1.1,665,1.4
SAL50468,35,2073,1048,350,2705,0.8,2100,2.4
SAL50469,55,750,758,0,1374,0.7,1374,2.5
SAL50470,39,0,833,0,1937,0.8,1937,3.3
SAL50471,49,4333,828,320,2083,0.7,1949,2.5
SAL50472,41,1517,717,340,1837,0.7,1485,2.5
SAL50473,38,1733,788,340,2033,0.7,1664,2.5
SAL50474,41,1950,869,390,2344,0.7,2016,2.6
SAL50475,32,1430,833,0,2124,0.9,1625,2.9
SAL50476,29,1950,1004,350,2151,0.8,2024,2.9
SAL50477,38,2167,938,0,1624,1.4,1208,2
SAL50478,52,2080,1437,150,3250,0.6,3249,2.5
SAL50479,37,0,724,0,1749,0.7,1749,2.5
SAL50480,46,2167,700,300,1812,0.7,1375,2.6
SAL50481,51,1506,647,250,1470,0.8,1433,2.5
SAL50482,32,1833,840,350,2065,0.8,1846,2.9
SAL50483,48,1701,1025,0,1874,0.6,2083,2.2
SAL50484,37,1842,812,340,2209,0.8,1805,2.5
SAL50485,40,0,1125,0,0,0,0,0
SAL50486,71,1625,609,300,1937,0.6,1055,1.6
SAL50487,52,867,463,150,880,0.6,762,2.1
SAL50488,68,0,0,0,0,0,0,0
SAL50489,58,0,1062,0,1999,0.6,1999,2
SAL50490,46,0,1375,0,4750,0.5,1375,1.7
