SAL_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SAL50032,9,23,36,154,252,409,0,0,0,20,29,48,0,0,0,217,309,530,0,9,7,6,3,16,4,5,5,0,0,0,0,0,0,6,5,10,10,3,12,14,28,38,16,35,48,0,3,7,0,3,7,12,21,37,46,60,110,0,3,4,514,771,1283,29,22,55,23,27,48,0,0,0,0,0,0,26,26,48,13,10,29,41,35,78,638,569,1202,6,7,10,0,0,0,643,575,1214,81,58,137,1334,1515,2850
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL50034,12,22,31,62,71,129,0,0,0,4,4,10,0,0,0,113,125,243,0,4,0,10,8,19,5,4,11,0,3,3,0,0,0,4,4,6,9,7,19,5,4,9,9,8,11,0,0,0,0,0,0,7,9,17,18,29,41,0,0,6,246,273,517,8,10,23,5,6,11,0,0,0,0,0,0,0,0,0,4,12,10,4,12,10,356,313,662,3,0,3,0,0,3,359,315,669,75,55,133,705,685,1395
SAL50035,36,45,80,350,444,801,0,0,0,38,41,84,10,13,23,1027,1282,2308,0,4,10,29,34,63,10,8,14,0,0,0,9,12,22,3,3,3,0,10,10,26,29,50,30,44,75,0,0,6,0,3,4,74,81,154,60,54,119,0,0,0,1669,2078,3746,17,20,37,18,25,41,0,0,0,0,0,0,7,3,15,9,19,30,12,24,38,1235,1165,2407,6,10,16,5,0,7,1253,1181,2428,147,120,265,3145,3490,6638
SAL50036,100,123,226,411,496,906,0,0,0,89,95,190,3,3,7,856,993,1845,4,5,3,25,29,48,16,18,35,0,5,7,11,16,26,0,9,8,32,49,81,68,70,140,70,56,124,3,3,8,9,5,11,43,61,102,142,179,321,3,10,12,1792,2091,3880,77,73,148,60,71,136,3,7,7,0,0,0,25,15,41,9,16,30,36,35,69,2285,2142,4422,24,12,34,6,4,11,2309,2155,4470,188,166,354,4572,4719,9287
SAL50037,57,85,140,216,278,494,0,0,0,52,54,102,0,0,0,646,783,1433,11,9,17,20,20,47,10,15,20,0,4,4,9,10,17,0,0,0,27,32,58,61,55,115,40,43,84,0,0,5,5,3,8,20,45,60,116,133,247,0,6,9,1234,1483,2711,167,165,330,77,63,138,0,4,4,0,0,0,14,20,32,19,18,41,34,37,71,1542,1499,3046,12,10,21,0,0,3,1561,1508,3065,164,157,317,3289,3500,6786
SAL50038,0,8,8,140,143,277,0,0,0,3,10,19,0,0,0,75,85,165,0,0,0,0,3,4,0,0,3,0,0,0,3,3,9,0,0,0,0,3,5,0,0,0,11,6,16,0,0,0,3,0,3,20,37,62,15,22,39,0,0,0,276,323,598,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,6,6,0,5,8,356,349,708,3,0,3,0,0,0,354,349,704,73,69,139,708,754,1463
SAL50039,33,65,98,779,1019,1801,0,0,0,140,158,300,0,0,0,1262,1435,2693,7,17,27,17,18,30,73,95,165,30,35,67,14,13,22,0,0,0,26,37,58,28,50,76,96,113,209,0,8,8,17,19,33,108,165,282,256,292,548,6,18,25,2865,3482,6349,59,50,106,57,56,107,0,4,5,0,0,0,11,8,24,24,23,45,36,34,68,4173,4012,8183,17,14,33,13,14,30,4203,4042,8244,564,436,1001,7819,8169,15988
SAL50040,66,105,170,562,762,1317,0,0,0,84,107,188,0,0,0,1179,1331,2513,11,15,22,55,51,108,28,33,62,19,27,41,6,18,27,12,11,18,52,49,100,137,164,303,59,75,133,15,17,28,13,17,30,48,52,91,292,346,641,7,13,19,2565,3087,5657,311,320,634,151,151,306,12,12,18,0,0,0,188,170,354,24,37,61,208,209,412,3001,3033,6036,21,15,35,11,21,24,3030,3061,6090,426,294,719,6771,7226,13998
SAL50041,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5
SAL50042,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,4,4,4,0,0,0,4,8,12
SAL50043,0,0,0,6,6,4,0,0,0,0,0,0,0,0,0,4,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,9,12,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,22,0,0,0,0,0,0,12,10,22,10,9,21,33,28,56
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,11,0,0,0,0,0,0,7,8,11,0,0,0,9,7,17
SAL50045,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,11,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,18,0,0,0,0,0,0,4,14,18,0,0,4,16,23,37
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,21,0,0,0,0,0,0,10,10,21,0,0,0,12,10,25
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,7,6,0,0,4,5,4,11
SAL50048,0,0,0,12,8,22,0,0,0,4,0,5,0,0,0,18,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,4,7,0,0,5,7,0,10,0,0,0,47,23,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,30,74,0,0,0,0,0,0,41,30,73,17,12,28,108,68,173
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,0,0,0,0,0,4,6,4,6,7,12,9,17,26
SAL50050,0,0,0,5,8,8,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,20,0,0,0,0,0,0,16,4,20,3,0,6,29,21,54
SAL50051,3,5,11,84,100,183,0,0,0,3,12,15,0,0,0,79,85,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,11,10,0,0,0,0,0,0,11,15,22,17,19,38,0,0,0,202,240,441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,335,313,649,4,0,8,0,0,0,342,321,665,86,70,160,635,641,1276
