SAL_CODE_2021,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,non_sch_qual_PostGrad_Dgre_M,non_sch_qual_PostGrad_Dgre_F,non_sch_qual_PostGrad_Dgre_P,non_sch_qual_Gr_Dip_Gr_Crt_M,non_sch_qual_Gr_Dip_Gr_Crt_F,non_sch_qual_Gr_Dip_Gr_Crt_P,non_sch_qual_Bchelr_Degree_M,non_sch_qual_Bchelr_Degree_F,non_sch_qual_Bchelr_Degree_P,non_sch_qual_Advnd_Dip_Dip_M,non_sch_qual_Advnd_Dip_Dip_F,non_sch_qual_Advnd_Dip_Dip_P,non_sch_qual_Cert3a4_Level_M,non_sch_qual_Cert3a4_Level_F,non_sch_qual_Cert3a4_Level_P,non_sch_qual_Cert1a2_Level_M,non_sch_qual_Cert1a2_Level_F,non_sch_qual_Cert1a2_Level_P,non_sch_qual_Certnfd_Level_M,non_sch_qual_Certnfd_Level_F,non_sch_qual_Certnfd_Level_P,non_sch_qual_CertTot_Level_M,non_sch_qual_CertTot_Level_F,non_sch_qual_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SAL50011,3549,3937,7482,2114,1240,3349,439,1237,1678,149,177,324,157,165,322,2857,2817,5675,479,998,1477,5.5,5.9,5.7,80.5,71.6,75.8,76.1,67.4,71.5,116,125,241,52,107,155,399,667,1070,364,523,888,1094,681,1778,59,87,147,48,98,142,1206,863,2065,3715,4043,7758,828,1015,1843,1693,1774,3468,2448,2863,5312
SAL50012,9,5,17,8,4,8,0,3,3,0,0,3,0,0,0,9,3,15,0,3,3,0,0,0,100,71.4,86.7,100,71.4,86.7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,4,7,10,13,3,3,8,8,8,6,5,3,12
SAL50013,251,238,490,121,59,180,25,68,98,20,15,32,3,7,10,168,147,315,75,90,161,4.1,4.1,4.1,67.6,61.9,64.8,64.8,59.4,62.2,0,0,0,0,3,0,6,27,38,20,22,40,95,64,156,4,6,15,5,8,14,104,82,184,262,251,511,31,30,61,208,198,411,72,66,141
SAL50014,49,41,94,27,5,29,8,10,19,0,6,6,0,0,0,34,22,55,14,18,27,0,4.3,1.8,61.5,53.5,57.9,61.5,51.2,56.8,0,0,0,0,0,0,0,9,8,0,5,4,6,3,13,0,0,0,0,0,0,6,3,13,51,38,89,9,4,12,51,31,75,8,9,20
SAL50015,3,7,11,6,0,7,3,0,6,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,100,75,88.9,100,75,88.9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,15,0,0,0,6,3,11,0,0,0
SAL50016,226,217,437,113,46,162,42,90,133,10,14,21,3,5,5,167,151,325,39,51,94,1.8,1.9,1.9,74.9,72,73.5,73.5,70.6,72.1,0,4,7,4,7,12,15,24,37,12,29,43,85,40,124,3,9,9,3,7,6,93,56,145,239,231,470,29,29,59,167,161,322,88,94,184
SAL50017,34,23,60,24,8,33,0,9,4,0,0,3,0,0,3,26,17,46,3,5,11,3.7,5.9,4.5,81.8,68,75.9,78.8,64,72.4,0,0,0,0,0,0,6,10,13,0,0,5,3,0,6,0,0,0,0,0,0,3,7,12,34,22,54,0,4,4,23,13,37,10,12,24
SAL50018,3,5,3,3,0,3,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,0,0,0,3,5,3,0,0,0
SAL50019,131,98,232,63,15,83,14,28,42,3,3,9,5,5,6,87,52,138,31,38,72,4.5,7.7,5.7,68.5,52,61.3,65.4,48,57.8,0,0,0,0,0,0,10,13,27,5,9,15,42,8,58,3,0,9,0,4,3,53,18,68,123,95,221,21,21,44,99,67,169,44,39,81
SAL50020,21,20,43,3,0,10,3,8,11,0,0,0,0,0,0,17,15,23,3,4,9,7.1,7.7,7.4,63.6,65,64.3,59.1,60,59.5,0,0,0,0,0,0,0,5,5,4,0,3,7,0,8,0,0,0,0,0,0,6,0,14,21,21,41,3,0,4,18,15,35,0,5,9
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,2861,3172,6039,1327,793,2122,455,871,1323,69,81,151,74,67,142,1923,1809,3736,826,1261,2085,3.8,3.8,3.8,67.3,57,61.9,64.8,54.9,59.6,399,321,716,90,150,248,892,990,1884,248,328,568,298,180,482,16,34,55,27,71,96,344,286,627,2718,2969,5687,606,655,1258,1714,1869,3581,1470,1637,3106
SAL50023,29,19,46,15,8,27,0,6,8,0,0,0,0,0,0,22,14,29,5,9,6,5,0,3.1,74.1,63.2,69.6,70.4,63.2,67.4,0,0,0,0,0,0,0,0,0,5,0,6,9,0,11,0,0,0,0,0,0,9,3,14,30,19,46,0,0,0,21,14,37,7,0,13
SAL50024,1749,1964,3709,820,500,1320,290,594,888,56,66,115,68,49,119,1233,1215,2446,460,687,1146,5.5,4.1,4.8,70.5,61.8,65.9,66.6,59.3,62.7,234,183,410,47,96,140,528,664,1192,159,229,385,205,86,289,20,17,38,11,34,50,233,137,375,1791,1960,3744,315,359,667,1108,1236,2346,890,973,1871
SAL50025,226,243,469,111,65,171,28,69,95,16,11,29,7,5,13,158,154,306,58,78,134,3.2,4.6,3.9,68.4,63.7,66,66.2,60.8,63.5,4,12,14,3,8,12,20,48,66,17,21,43,81,47,126,0,9,8,3,4,15,87,61,145,231,257,484,27,23,49,164,183,350,79,83,165
SAL50026,5242,5706,10948,1796,960,2758,574,1034,1604,167,168,333,325,355,681,2857,2520,5371,1878,2684,4557,11.5,14.1,12.7,54.4,44.2,49.1,48.2,37.9,42.8,75,76,154,34,54,89,227,417,643,282,441,730,1273,932,2206,107,164,275,60,121,180,1440,1218,2663,4973,5273,10248,800,936,1736,3185,3283,6472,2175,2534,4706
SAL50027,22,20,39,15,3,11,0,4,4,4,5,4,0,0,0,12,6,25,8,8,11,0,0,0,56.5,47.1,52.5,56.5,47.1,52.5,0,0,0,0,0,0,0,3,3,0,0,3,6,0,3,0,0,3,0,0,0,5,3,6,18,13,38,0,0,0,14,13,29,4,0,3
SAL50028,11,4,13,3,0,4,0,0,0,0,0,0,0,0,0,3,6,7,6,0,5,0,0,0,20,66.7,30.8,20,66.7,30.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,0,0,0,0,0,6,6,0,5
SAL50029,27,19,49,23,12,31,0,6,6,0,0,0,0,0,0,20,16,39,0,3,3,4.3,0,2.5,85.2,81,83.3,81.5,81,81.3,0,0,0,0,3,3,4,3,7,0,0,0,3,3,5,0,0,0,0,0,0,0,7,8,27,20,51,3,3,6,19,14,31,7,3,18
SAL50030,26,30,54,17,4,22,7,10,18,0,0,0,0,0,0,23,15,39,0,12,13,4,0,2.4,92.6,55.2,73.2,88.9,55.2,71.4,0,0,0,0,0,0,4,3,10,0,4,9,7,4,10,0,0,0,0,0,0,7,3,8,34,30,63,0,0,6,24,23,45,7,11,18
SAL50031,1354,1376,2739,638,409,1040,171,301,468,51,52,99,41,39,80,897,796,1690,314,415,728,4.7,4.8,4.7,66.2,57.5,61.8,63.1,54.8,58.9,95,80,171,28,50,77,227,263,491,134,140,276,270,132,393,21,15,39,15,32,42,306,180,482,1108,1094,2207,247,264,514,700,698,1400,612,603,1216
SAL50032,1051,1227,2282,517,275,795,128,323,457,39,38,84,32,32,64,724,671,1391,282,509,797,4.7,4.3,4.5,68.4,54.8,61.1,65.2,52.4,58.3,33,42,75,7,25,34,105,198,306,79,120,198,298,159,454,12,17,32,15,27,48,321,209,535,1117,1273,2393,140,163,301,747,882,1631,419,478,899
SAL50033,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,596,569,1168,246,148,394,82,147,230,20,18,34,20,23,43,370,339,707,177,192,365,6,6.5,6.2,62.1,59.1,60.6,58.4,55.2,56.9,20,42,54,16,13,29,77,126,200,47,43,95,122,59,176,13,8,24,4,18,23,142,83,228,540,544,1084,96,94,188,358,376,732,246,233,483
SAL50035,2533,2834,5371,1222,697,1918,406,882,1286,63,71,135,62,55,118,1755,1707,3461,684,1053,1735,3.5,3.4,3.4,69.2,60.3,64.5,66.8,58.2,62.3,239,218,458,78,125,203,657,760,1421,256,306,563,428,198,623,29,36,67,35,86,119,488,322,809,2568,2872,5443,444,497,944,1785,1965,3750,1097,1267,2361
SAL50036,3534,3711,7244,2052,1160,3216,512,1308,1824,107,132,241,149,127,277,2825,2727,5555,587,894,1484,5.2,4.7,5,80,73.5,76.7,75.8,70.1,72.9,209,176,383,60,145,201,527,742,1262,311,438,748,868,481,1344,66,75,142,40,85,127,974,637,1616,3895,3982,7878,494,563,1059,2762,2853,5613,1397,1478,2879
SAL50037,2268,2529,4791,1396,771,2171,291,901,1194,86,84,174,68,98,166,1847,1856,3700,333,610,946,3.7,5.2,4.5,81.6,73.4,77.3,78.5,69.6,73.8,153,162,317,48,69,120,416,610,1019,261,290,557,515,332,852,25,48,73,30,51,84,570,436,1009,2744,2914,5661,400,470,874,1821,1888,3712,1057,1233,2290
SAL50038,636,682,1321,124,77,201,97,155,256,24,24,47,10,5,13,254,264,515,331,374,702,3.2,2.3,2.7,39.6,38.9,39.2,38.3,38,38.2,24,13,37,12,16,22,45,70,112,49,84,135,174,83,256,10,9,19,13,23,31,198,109,302,525,577,1100,114,110,224,367,402,771,252,271,520
SAL50039,5889,6373,12258,3060,1486,4548,597,1886,2483,256,260,519,172,175,350,4085,3814,7898,1461,2305,3771,4.2,4.7,4.4,69.4,59.9,64.4,66.5,57.1,61.6,94,108,195,59,143,202,431,766,1192,398,641,1038,2038,1254,3296,119,184,300,89,174,257,2250,1607,3856,6269,6626,12895,1017,1135,2155,4052,4265,8317,2725,3077,5798
SAL50040,4903,5396,10298,3004,1843,4846,606,1644,2245,237,253,491,155,186,345,4002,3925,7928,671,1320,1994,3.9,4.8,4.3,81.6,72.7,77,78.5,69.2,73.6,152,217,366,54,149,200,535,913,1445,498,680,1175,1430,941,2371,90,110,195,82,132,212,1597,1183,2781,5426,5828,11257,944,1072,2018,2951,3154,6107,2840,3206,6043
SAL50041,0,3,9,4,3,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,4,3,0,3,3,5,0,0,0,3,3,5,0,0,0
SAL50042,5,4,8,0,0,0,0,0,0,0,3,3,0,0,0,0,4,11,0,0,0,0,0,0,80,100,87.5,80,100,87.5,0,0,0,0,0,0,0,0,4,0,0,0,6,0,4,0,0,0,0,0,0,6,0,4,4,4,14,0,0,0,5,4,10,0,0,0
SAL50043,24,24,45,14,7,17,0,7,7,0,0,0,0,0,0,14,13,31,3,0,0,0,6.7,3.4,60.9,68.2,64.4,60.9,63.6,62.2,0,0,0,0,0,0,0,5,5,0,3,3,3,3,7,0,0,0,0,0,0,3,3,7,17,19,38,0,0,3,14,17,28,0,3,3
SAL50044,11,7,19,3,4,8,3,4,7,0,0,0,0,0,0,7,6,13,0,0,4,0,0,0,72.7,71.4,72.2,72.7,71.4,72.2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,6,0,4,9,7,17,0,0,0,9,3,7,3,0,4
SAL50045,18,16,34,10,3,16,0,4,4,0,0,0,0,3,3,17,13,26,0,4,5,0,15.4,7.7,76.5,76.5,76.5,76.5,64.7,70.6,0,0,0,0,0,0,0,0,0,3,0,9,0,4,8,6,4,5,0,0,0,4,7,10,18,19,32,0,0,0,11,7,21,0,7,15
SAL50046,8,7,13,6,0,8,0,4,4,0,0,0,0,0,0,5,8,17,0,0,3,0,0,0,87.5,85.7,86.7,87.5,85.7,86.7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,12,10,25,0,0,0,11,5,15,0,0,3
SAL50047,5,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,4,0,0,0,25,50,37.5,25,50,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,0,0,0,3,7,11,0,0,0
SAL50048,87,64,150,50,26,71,10,19,26,5,0,8,0,0,6,63,43,104,4,9,17,3.1,2.3,2.8,76.5,68.3,73,74.1,66.7,70.9,0,0,0,0,0,0,4,11,15,0,3,9,15,6,23,0,0,0,0,0,8,17,7,27,72,47,125,11,8,15,40,32,75,36,21,57
SAL50049,8,12,22,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,3,9,7,0,0,0,37.5,16.7,25,37.5,16.7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,15,6,0,5,3,7,11,0,5,3
SAL50050,21,21,42,4,4,13,4,3,7,5,3,8,0,0,0,13,11,29,5,6,8,0,9.1,4,58.3,57.9,58.1,58.3,52.6,55.8,0,0,5,0,0,0,0,6,9,0,0,0,12,0,12,0,0,0,0,0,0,12,0,12,23,16,40,0,0,4,14,11,26,8,5,16
SAL50051,501,524,1023,199,125,324,44,132,172,27,22,46,21,12,29,284,281,568,165,183,347,6,4.2,5.1,56.2,54.4,55.3,52.8,52.1,52.4,9,4,10,0,10,10,8,42,54,25,53,84,162,75,238,4,17,19,8,10,20,180,103,279,479,502,975,76,64,141,365,372,731,163,163,327
SAL50052,65,63,126,41,15,58,6,24,33,6,4,12,0,0,0,52,43,97,9,11,23,0,0,0,80.3,75.4,78,80.3,75.4,78,0,0,0,0,0,0,5,12,16,0,3,0,24,10,26,0,3,3,0,0,0,24,8,27,62,62,124,3,6,12,46,48,93,19,19,34
SAL50053,4288,4845,9133,2043,1276,3323,574,1290,1868,130,130,260,143,122,265,2895,2818,5714,1146,1773,2926,4.9,4.4,4.7,67.5,58.2,62.6,64.2,55.6,59.7,209,204,411,54,135,186,678,890,1571,407,464,872,960,508,1460,51,73,125,53,114,164,1065,683,1751,4130,4638,8773,669,705,1373,2666,3053,5722,1863,2032,3895
SAL50054,13217,14355,27574,7536,4168,11703,1378,4167,5544,616,610,1234,449,547,992,9984,9491,19473,2345,4249,6594,4.5,5.8,5.1,75.5,66.1,70.6,72.1,62.3,67,283,322,604,118,340,464,1030,1927,2954,1179,1743,2918,4227,2726,6945,222,376,601,185,327,515,4634,3429,8066,14330,15203,29530,2685,3032,5711,8542,8939,17486,6966,7952,14918
SAL50055,5485,5461,10943,2245,1306,3559,894,1341,2240,214,194,411,236,240,477,3591,3086,6680,1355,1917,3276,6.6,7.8,7.2,65.5,56.5,61,61.2,52.2,56.7,259,226,486,35,86,124,614,781,1397,507,566,1072,1028,720,1746,96,98,194,81,120,206,1208,939,2148,5254,5238,10490,983,924,1905,2822,2856,5680,2880,2867,5748
SAL50056,245,254,499,80,40,123,31,60,87,10,17,25,4,4,6,120,113,240,102,126,231,3.3,3.4,3.3,50,46.1,48,48.4,44.5,46.4,16,7,20,5,10,14,20,48,70,26,37,62,69,29,105,4,8,12,4,7,10,75,48,122,226,242,473,23,31,54,150,163,315,98,95,196
SAL50057,8,9,18,7,3,9,0,6,3,0,0,0,0,0,0,7,6,15,0,3,9,14.3,0,9.1,70,40,55,60,40,50,0,0,0,0,0,0,0,4,4,0,0,0,4,3,4,0,0,0,0,0,0,4,0,3,4,12,18,0,0,0,4,5,11,5,3,4
SAL50058,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,0,0,8
SAL50059,37,41,76,13,6,25,6,14,18,0,8,9,0,3,3,20,27,47,9,15,23,0,7.7,4.3,57.1,60.5,59,57.1,55.8,56.4,3,0,4,0,0,0,3,5,8,0,3,12,9,4,12,0,0,0,0,0,0,9,4,16,33,35,69,7,8,16,16,32,48,16,16,33
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,7395,7522,14916,3491,1877,5372,1111,2162,3275,258,257,516,326,286,611,5191,4578,9768,1884,2662,4544,6.2,6.2,6.2,70.2,60.8,65.5,65.8,57,61.4,181,182,361,68,114,182,707,955,1664,524,711,1239,1896,1027,2928,122,140,259,107,204,317,2127,1376,3496,7982,8112,16093,745,761,1505,6135,6133,12269,2134,2271,4405
SAL50062,14,13,26,9,0,10,0,7,10,4,0,6,0,0,0,10,8,16,0,0,5,0,0,0,78.6,69.2,74.1,78.6,69.2,74.1,0,0,0,0,0,0,0,4,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,13,27,3,0,0,12,12,26,0,0,0
SAL50063,39,19,58,9,4,17,6,4,8,0,0,0,5,0,5,15,8,26,21,14,31,11.8,0,8,47.2,38.1,43.9,41.7,38.1,40.4,0,0,0,0,0,0,0,0,0,4,0,4,4,0,10,0,0,0,0,0,0,4,0,10,27,18,48,6,0,5,25,19,45,8,0,12
SAL50064,26,28,45,3,6,9,3,11,11,0,0,0,0,0,0,9,10,19,12,9,15,11.1,7.7,9.1,37.5,54.2,45.8,33.3,50,41.7,0,0,0,0,0,0,0,8,9,0,3,3,5,3,12,0,0,0,0,0,0,5,0,10,22,22,43,0,0,0,15,12,35,7,5,10
SAL50065,33,25,52,17,5,25,4,11,11,3,0,3,0,0,3,17,15,39,8,5,14,5,5.9,5.4,64.5,73.9,68.5,61.3,69.6,64.8,0,0,0,0,0,0,0,0,6,0,0,3,8,3,15,5,0,3,0,0,0,13,5,16,30,25,54,4,0,3,23,15,38,9,9,19
SAL50066,149,140,291,75,27,102,9,47,54,7,9,19,4,3,6,99,88,181,35,46,82,2.1,2.3,2.2,64.4,61.5,63,63.1,60.1,61.6,0,0,3,3,3,7,10,17,27,8,16,24,51,28,72,0,0,3,0,4,4,48,30,81,166,158,319,13,15,28,97,102,205,64,52,120
SAL50067,235,43,275,71,16,86,5,0,5,8,0,9,6,0,4,94,17,110,4,8,9,5.4,10,6.2,39.6,47.6,40.8,37.4,42.9,38.3,0,0,0,0,0,0,7,3,15,10,3,18,24,10,34,3,0,4,0,0,0,28,9,38,78,18,92,24,9,27,38,6,42,51,17,73
SAL50068,592,580,1174,296,161,459,76,164,241,27,21,40,15,13,28,409,360,773,151,203,363,3.9,3.9,3.9,69.3,62.3,65.8,66.6,59.9,63.3,31,28,55,10,16,26,89,104,193,49,73,129,170,74,246,4,9,14,9,16,33,189,96,287,574,575,1150,81,74,157,390,391,778,241,243,485
SAL50069,3908,4317,8221,2273,1336,3607,519,1385,1907,191,226,411,147,166,315,3122,3121,6242,590,1052,1646,4.7,5.5,5.1,79.9,72.3,75.9,76.2,68.4,72.1,100,117,225,42,101,147,395,694,1093,318,524,842,1111,768,1880,70,103,178,58,111,170,1238,985,2220,4431,4851,9276,703,765,1472,2726,2918,5642,1979,2213,4196
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,24,26,51,18,7,30,3,8,12,0,0,3,0,0,0,21,20,40,5,3,13,0,10,5,76.9,71.4,74.1,76.9,64.3,70.4,0,0,0,0,0,0,4,6,12,0,4,9,7,3,13,0,0,0,0,0,0,7,5,8,32,25,61,4,5,8,23,22,43,12,4,16
SAL50072,12,7,17,7,0,7,0,0,0,0,0,0,0,0,0,7,4,9,0,4,4,0,0,0,77.8,60,71.4,77.8,60,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,7,9,0,0,0,6,3,7,6,0,0
