SAL_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,9,6,4,14,0,44
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL50019,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,5,0,0,6,10,5,17,19,11,13,31,9,23,3,133
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,4,0,29
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,8,20,11,14,18,20,7,23,5,118,7,30,18,11,22,38,4,24,27,173,102,647,436,242,503,759,248,602,46,3594
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,3,3,0,13,0,31
SAL50024,0,19,11,6,4,8,3,4,0,55,0,16,13,7,13,14,3,18,9,95,95,434,290,171,396,459,135,327,24,2325
SAL50025,0,0,5,0,0,0,0,10,4,16,0,0,3,0,3,3,0,0,4,15,21,34,36,25,36,61,21,51,6,297
SAL50026,6,25,20,20,45,45,15,22,4,198,12,23,27,18,47,61,13,38,76,314,200,643,555,407,1045,873,277,565,130,4686
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,25
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,5,26,0,36
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,3,3,3,15,0,39
SAL50031,3,4,9,0,17,9,9,15,0,62,5,6,8,6,20,17,6,10,4,75,85,187,191,96,276,342,111,314,19,1612
SAL50032,5,6,5,5,17,8,0,3,0,53,0,3,0,4,16,10,6,7,14,65,54,177,163,120,294,240,94,174,25,1332
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,0,4,0,0,10,0,6,0,0,19,0,6,0,0,6,7,4,4,0,29,33,107,80,45,133,132,48,82,5,664
SAL50035,0,21,10,9,10,10,4,10,0,83,0,25,17,6,10,31,7,24,8,131,106,640,407,238,450,668,230,572,26,3343
SAL50036,9,37,20,19,27,41,17,22,0,198,3,25,19,9,52,55,20,36,33,245,189,832,605,383,997,1125,354,741,56,5282
SAL50037,3,29,20,16,18,19,10,13,0,121,5,18,14,9,19,47,12,28,25,177,139,498,423,270,690,783,237,467,37,3537
SAL50038,0,0,7,0,0,5,0,0,0,12,4,8,6,0,0,3,0,4,3,21,41,119,87,49,52,66,11,67,8,506
SAL50039,21,61,34,30,47,46,18,47,4,292,10,32,14,13,45,45,18,55,49,278,409,1089,832,570,1207,1390,542,1407,107,7549
SAL50040,13,45,46,26,71,68,19,46,0,341,10,14,26,22,76,57,13,31,64,315,350,908,808,532,1593,1535,520,1202,140,7580
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,9
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,11
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,13,0,25
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,13
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,12,0,25
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,17
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50048,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,6,3,12,5,4,15,23,3,35,7,102
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,3,6,21
SAL50051,6,0,4,0,3,11,3,3,0,40,0,6,0,0,7,5,0,3,0,30,31,80,50,37,90,87,28,115,10,539
SAL50052,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,3,10,8,15,4,9,16,16,10,20,6,97
SAL50053,4,42,31,19,59,58,14,22,0,249,4,29,22,17,41,57,10,21,41,242,182,753,670,439,1151,1165,336,670,80,5446
SAL50054,18,125,101,54,134,124,55,90,9,712,29,71,60,33,131,175,51,125,134,822,915,2326,1952,1268,3418,3682,1203,3404,319,18478
SAL50055,4,60,56,17,55,64,23,26,3,312,7,45,56,29,96,68,17,39,120,473,216,871,868,506,1396,1157,318,681,190,6202
SAL50056,0,4,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,4,7,19,42,30,16,32,37,16,45,8,230
SAL50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,4,6,0,6,0,11,0,42
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,10,87,79,38,103,90,28,42,17,494,18,84,40,45,120,110,14,48,82,564,322,1377,1164,735,2001,1754,501,1113,192,9154
SAL50062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,4,0,0,8,0,16
SAL50063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,12,0,24
SAL50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,3,3,0,3,0,19
SAL50065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,9,8,8,4,6,0,37
SAL50066,0,0,3,0,0,5,0,0,0,14,0,0,0,0,0,0,0,0,4,6,13,24,20,15,21,35,6,40,11,182
SAL50067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,5,0,6,3,79,4,106
SAL50068,0,8,3,3,5,15,0,9,0,52,0,11,6,5,5,5,0,3,6,45,28,115,74,52,114,170,49,126,14,742
SAL50069,13,48,22,21,66,65,27,37,4,293,14,32,13,19,64,73,17,38,64,331,278,798,668,441,1293,1189,341,786,132,5924
SAL50070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,0,4,10,0,10,0,39
SAL50072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9
SAL50073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,12
SAL50074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,8,0,4,0,20
SAL50075,0,5,0,5,9,6,0,0,0,21,0,5,0,0,0,0,0,3,0,7,27,80,53,36,81,64,19,85,7,448
SAL50076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8
SAL50077,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,5,0,11,5,34,17,11,23,33,10,24,5,164
SAL50078,3,38,27,15,42,31,8,21,0,187,10,31,21,18,42,50,18,30,27,254,216,763,729,471,1067,1181,409,757,47,5641
SAL50079,0,14,8,8,17,10,0,3,0,68,4,14,3,9,10,14,3,4,3,62,55,345,216,162,332,390,110,255,17,1877
SAL50080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50081,4,17,3,6,15,11,10,36,0,92,6,5,7,0,6,29,7,45,15,127,126,232,166,119,308,476,239,644,33,2347
SAL50082,4,13,6,3,15,16,0,4,0,60,3,7,12,0,9,7,4,9,7,57,74,242,183,140,305,261,94,185,15,1496
SAL50083,10,45,40,30,45,71,13,27,3,285,13,34,31,14,66,78,17,27,44,323,359,1103,998,624,1657,1742,603,1183,109,8368
SAL50084,0,3,4,5,9,5,0,4,0,18,0,0,0,5,0,4,0,0,0,18,50,87,81,60,114,117,44,93,8,655
SAL50085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,4,5,10,7,31,0,67
SAL50086,0,16,15,16,17,22,5,17,3,108,7,15,16,12,17,18,11,13,19,121,141,451,377,239,389,487,176,406,36,2693
SAL50087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,5,0,10,4,30
SAL50089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,9,4,14,0,40
SAL50090,5,28,23,11,54,57,7,24,0,216,3,30,25,12,43,47,7,29,56,262,151,579,559,314,1069,982,228,532,109,4524
SAL50091,4,20,17,15,23,26,17,3,0,118,5,11,9,3,31,22,11,17,5,118,135,455,365,224,567,613,249,385,17,2999
SAL50092,4,11,12,3,9,11,6,13,0,64,0,15,11,3,13,12,6,7,15,86,65,246,177,120,250,338,119,299,27,1630
SAL50093,10,42,23,15,39,48,14,31,3,229,3,31,24,13,60,52,11,33,40,269,158,612,493,314,939,801,235,500,83,4142
SAL50094,0,3,0,0,4,4,0,0,0,9,0,0,0,0,0,3,0,0,0,10,7,16,4,9,10,9,4,15,0,70
SAL50095,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,6,7,9,8,0,6,3,41
SAL50096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,12
SAL50097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,0,0,7,0,20,3,58
SAL50098,11,50,32,21,45,39,14,31,0,243,8,19,13,11,38,46,12,32,21,209,213,647,542,341,878,1026,297,758,63,4767
SAL50099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,12
SAL50100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,0,8,9,0,22,4,64
SAL50101,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,7,14,9,4,13,12,0,10,4,69
SAL50102,6,12,6,9,23,19,4,5,4,89,8,12,3,3,11,22,3,17,11,98,110,312,255,199,412,416,140,317,28,2182
SAL50103,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,26,12,11,14,28,9,22,0,133
SAL50104,0,6,4,0,10,11,6,7,0,36,0,4,0,7,0,12,0,5,7,40,21,108,86,58,151,137,49,106,24,740
SAL50105,4,21,28,14,27,32,8,14,4,149,4,21,15,7,28,40,14,22,29,186,134,458,433,242,725,735,253,558,72,3607
SAL50106,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,5,13,10,8,16,14,9,27,0,101
SAL50107,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,5,12,17,6,7,16,4,32,0,103
SAL50108,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,14
SAL50109,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,3,23,9,29,0,79
SAL50110,5,23,22,10,35,28,4,17,0,148,3,18,25,6,47,35,14,16,41,207,91,393,396,203,679,547,173,406,72,2964
SAL50111,3,30,27,7,19,17,4,11,6,125,10,41,35,13,41,45,11,13,68,265,141,848,763,324,765,660,181,336,129,4131
SAL50112,0,3,4,4,5,4,0,4,0,30,0,8,0,0,3,7,0,5,6,31,41,127,76,56,121,141,45,115,15,736
SAL50113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,3,0,0,9,0,31
SAL50114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50115,0,13,11,11,34,28,9,16,0,119,10,20,16,8,38,36,10,28,31,184,116,372,353,237,635,586,221,498,58,3070
SAL50116,0,0,3,0,0,0,0,4,0,10,0,0,0,0,3,4,0,0,4,19,26,56,51,27,44,65,20,79,8,370
SAL50117,6,34,11,10,20,18,7,14,0,124,5,17,14,15,23,20,7,29,7,127,129,500,337,220,571,614,175,399,29,2970
SAL50118,0,0,0,3,3,5,0,0,0,11,0,4,0,0,0,3,0,0,5,13,13,59,52,30,49,81,30,61,7,373
SAL50119,0,21,22,8,14,10,7,10,0,105,11,23,18,8,21,43,10,22,12,163,157,674,447,267,520,656,242,561,33,3553
SAL50120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL50121,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,4,3,22,14,4,10,21,0,8,0,80
SAL50122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10
SAL50123,0,0,3,0,4,10,3,13,0,28,0,5,7,0,3,3,0,8,16,42,41,77,79,63,173,174,56,146,27,828
SAL50124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,4,0,8,3,18,0,38
SAL50126,0,0,0,4,0,0,4,0,0,14,0,0,4,0,3,0,4,5,0,17,32,44,59,45,71,81,41,108,6,491
SAL50127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4
SAL50129,4,7,4,3,0,0,0,4,0,18,0,3,3,0,3,0,0,6,4,20,44,86,61,50,114,109,40,135,12,643
SAL50130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,3,0,26,0,39
SAL50131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,3,7,8,0,4,3,38
SAL50132,0,0,0,5,0,0,0,3,0,16,0,0,8,0,0,6,0,0,8,26,34,82,79,49,109,112,50,100,20,639
SAL50133,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,3,9,0,6,0,8,0,13,0,36
SAL50134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,9,0,23
SAL50135,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,6,0,28
SAL50136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,5,0,21
SAL50137,0,3,4,3,4,4,3,6,0,18,0,3,3,0,0,0,0,0,3,15,42,63,60,20,45,60,45,163,15,521
SAL50138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,8,0,20
SAL50139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,8,0,10,0,25
SAL50140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,8,4,8,9,4,22,3,75
SAL50141,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,0,25
SAL50142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,12,4,11,11,15,20,5,86
SAL50143,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,10,9,7,0,12,13,13,26,3,81
SAL50144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,16,4,6,8,6,17,0,68
SAL50146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,7,0,15
SAL50147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,25
SAL50148,0,17,18,12,12,13,7,13,0,84,3,19,14,8,20,26,11,15,12,113,93,460,376,233,435,552,187,379,29,2743
SAL50149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,0,12
SAL50150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,7,3,8,10,8,19,0,58
SAL50152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,0,0,21
SAL50153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,5,0,13,0,22
SAL50154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,5,4,6,0,17
SAL50156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,6,0,0,15
SAL50157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,10,9,3,6,0,8,0,59
SAL50158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,3,3,0,14,0,42
SAL50159,3,11,7,5,14,22,8,39,0,109,3,22,12,8,9,27,6,30,25,141,87,219,201,115,304,365,184,700,62,2234
SAL50160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,3,9,4,10,0,27
SAL50161,3,9,0,5,0,0,0,6,0,13,0,0,0,5,0,0,0,4,0,15,31,64,47,25,42,57,19,81,12,366
SAL50162,0,4,0,4,3,0,0,0,0,16,0,0,0,0,0,0,0,0,3,4,12,57,29,21,33,46,6,39,3,237
SAL50163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,7,4,5,3,8,0,9,5,39
SAL50164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,3,6,0,19,0,40
SAL50165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,8,9,16,3,9,4,52
SAL50166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,22
SAL50167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,4,0,10,4,11,0,41
SAL50168,5,3,0,0,0,5,0,6,0,19,0,3,5,0,3,4,0,0,3,13,14,62,44,34,45,76,26,62,4,366
SAL50169,0,4,0,0,5,0,3,0,0,17,0,0,0,0,3,4,0,4,13,34,45,78,87,51,74,99,38,113,28,617
SAL50170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,12,0,22
SAL50171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,7,3,8,0,15
SAL50172,0,0,4,0,0,3,0,3,0,17,4,7,0,0,0,0,0,0,6,20,34,57,33,28,39,74,22,72,7,368
SAL50173,5,22,23,14,45,44,19,21,3,199,4,13,18,16,51,56,10,32,48,251,206,520,504,339,1133,1043,299,709,91,4852
SAL50174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,9,8,8,3,3,10,0,58
SAL50175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,7,0,19
SAL50176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,15
SAL50177,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,3,6,46,10,19,20,47,12,48,0,204
SAL50178,0,0,7,3,6,4,0,4,0,37,0,6,0,0,8,8,0,5,13,41,36,182,124,89,177,222,59,130,15,1040
SAL50179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50180,0,12,12,9,7,6,0,4,0,39,0,8,3,0,0,4,0,5,13,35,83,235,196,112,176,179,54,231,28,1289
SAL50181,0,3,3,0,0,5,0,4,0,17,0,7,6,3,0,10,5,8,7,42,25,90,66,37,66,111,43,131,8,573
SAL50182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,13
SAL50183,0,13,7,6,9,15,3,3,0,60,4,5,6,3,7,10,0,7,8,53,110,281,219,150,295,284,100,216,17,1670
SAL50184,0,0,4,3,3,3,3,13,0,21,0,4,4,0,6,9,0,5,0,24,23,60,31,18,57,80,31,138,8,453
SAL50185,0,0,0,0,0,6,0,3,0,10,0,0,0,0,4,4,0,3,8,21,12,28,32,22,88,74,17,62,16,354
SAL50186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3
SAL50187,3,7,9,4,5,9,3,8,0,54,0,6,7,4,12,16,6,10,13,62,39,179,131,77,259,215,78,148,20,1154
SAL50188,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,5,11,20,12,9,15,26,3,29,4,126
SAL50189,0,4,0,0,0,0,0,4,0,8,0,0,0,0,0,8,0,0,5,14,23,46,31,17,29,40,17,71,9,288
SAL50190,0,9,7,7,17,11,3,14,0,79,5,13,3,4,27,13,3,24,28,118,71,166,123,145,379,302,96,297,60,1637
SAL50191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,5,0,4,10,10,21,0,68
SAL50192,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,8,8,11,8,15,6,16,3,76
SAL50193,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,8,15,3,6,9,8,29,0,89
SAL50194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,5,11,16,5,9,0,58
SAL50196,0,0,6,0,3,0,0,4,0,9,0,0,4,0,3,0,0,0,3,8,6,31,31,14,33,49,29,99,5,298
SAL50197,0,8,0,5,0,0,4,7,0,26,0,3,0,0,6,0,3,0,7,22,31,74,63,31,66,80,26,107,23,505
SAL50198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,16
SAL50199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,3,10,0,25
SAL50200,0,7,5,5,8,12,6,26,0,61,6,3,7,7,11,10,8,36,9,94,89,133,107,76,231,287,178,493,29,1624
