SAL_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SAL50057,0,0,0,0,0,0,0,0
SAL50058,0,0,0,0,0,0,0,0
SAL50059,8,0,0,0,0,0,0,8
SAL50060,0,0,0,0,0,0,0,0
SAL50061,2046,277,95,32,9,0,9,2473
SAL50062,4,0,0,0,0,0,0,4
SAL50063,0,0,0,0,0,0,0,0
SAL50064,3,0,0,0,0,0,0,9
SAL50065,3,0,0,0,0,0,0,10
SAL50066,37,5,0,0,0,0,0,49
SAL50067,0,0,0,0,0,0,0,0
SAL50068,161,24,3,4,0,0,5,192
SAL50069,1291,253,97,17,5,0,9,1671
SAL50070,0,0,0,0,0,0,0,0
SAL50071,9,0,0,0,0,0,0,12
SAL50072,4,0,0,0,0,0,0,4
SAL50073,0,0,0,0,0,0,0,0
SAL50074,3,0,0,0,0,0,0,3
SAL50075,98,20,7,0,0,0,0,129
SAL50076,0,0,0,0,0,0,0,0
SAL50077,27,9,0,0,0,0,0,34
SAL50078,1030,158,39,8,0,0,0,1245
SAL50079,513,39,4,3,4,0,0,563
SAL50080,0,0,0,0,0,0,0,0
SAL50081,541,71,31,8,0,0,3,651
SAL50082,264,58,18,0,0,0,0,341
SAL50083,1599,194,36,8,0,0,9,1850
SAL50084,85,20,0,0,0,0,0,110
SAL50085,12,0,0,0,0,0,0,15
SAL50086,511,77,14,6,0,0,0,610
SAL50087,0,0,0,0,0,0,0,0
SAL50088,7,0,0,0,0,0,0,4
SAL50089,7,0,0,0,0,0,0,7
SAL50090,952,122,27,6,0,0,4,1110
SAL50091,648,66,21,3,0,0,0,747
SAL50092,354,66,15,5,0,0,3,450
SAL50093,880,111,43,18,4,0,13,1073
SAL50094,9,3,0,0,0,0,0,16
SAL50095,0,0,0,0,0,0,0,0
SAL50096,3,0,0,0,0,0,0,3
SAL50097,17,0,0,0,0,0,0,17
SAL50098,1017,173,48,13,0,5,4,1259
SAL50099,0,0,0,0,0,0,0,3
SAL50100,10,0,0,0,0,0,0,11
SAL50101,7,8,0,0,0,0,0,18
SAL50102,420,79,23,5,0,0,0,528
SAL50103,30,9,0,0,0,0,0,37
SAL50104,105,26,11,0,0,0,0,138
SAL50105,532,88,15,8,3,0,0,637
SAL50106,11,0,0,0,0,0,0,19
SAL50107,14,3,0,0,0,0,0,26
SAL50108,7,0,0,0,0,0,0,7
SAL50109,14,0,0,0,0,0,0,14
SAL50110,781,88,34,17,0,0,4,925
SAL50111,428,50,12,5,0,0,3,500
SAL50112,92,13,5,3,0,0,0,110
SAL50113,3,0,0,0,0,0,0,3
SAL50114,0,0,0,0,0,0,0,0
SAL50115,741,152,44,8,0,0,0,943
SAL50116,64,10,3,0,0,0,4,86
SAL50117,603,96,23,6,0,0,3,728
SAL50118,87,15,3,4,0,0,0,109
SAL50119,717,91,21,3,0,0,0,838
SAL50120,3,0,0,0,0,0,0,3
SAL50121,12,0,0,0,0,0,0,15
SAL50122,0,0,0,0,0,0,0,0
SAL50123,132,29,6,0,0,0,3,179
SAL50124,0,0,0,0,0,0,0,0
SAL50125,12,0,0,0,0,0,0,13
SAL50126,79,24,4,0,0,0,0,112
SAL50127,0,0,0,0,0,0,0,0
SAL50128,0,0,0,0,0,0,0,0
SAL50129,104,19,9,0,0,0,0,128
SAL50130,4,0,0,0,0,0,0,5
SAL50131,7,4,0,0,0,0,0,5
SAL50132,79,21,6,0,0,0,0,106
SAL50133,7,0,0,0,0,0,0,6
SAL50134,0,0,0,0,0,0,0,0
SAL50135,4,0,0,0,0,0,0,9
SAL50136,3,0,0,0,0,0,0,3
SAL50137,94,24,5,5,0,0,0,121
SAL50138,4,0,0,0,0,0,0,4
SAL50139,3,0,0,0,0,0,0,3
SAL50140,12,0,0,0,0,0,0,17
SAL50141,7,0,0,0,0,0,0,7
SAL50142,16,5,0,0,0,0,0,18
SAL50143,20,5,0,0,0,0,0,28
SAL50144,0,0,0,0,0,0,0,0
SAL50145,10,0,0,0,0,0,0,16
SAL50146,4,0,0,0,0,0,0,4
SAL50147,0,0,0,0,0,0,0,0
SAL50148,668,83,20,3,0,0,5,781
SAL50149,0,0,0,0,0,0,0,0
SAL50150,0,0,0,0,0,0,0,0
SAL50151,7,5,0,0,0,0,0,15
SAL50152,3,3,0,0,0,0,0,4
SAL50153,4,0,0,0,0,0,0,4
SAL50154,0,0,0,0,0,0,0,0
SAL50155,3,0,0,0,0,0,0,4
SAL50156,3,0,0,0,0,0,0,3
SAL50157,6,0,0,0,0,0,0,12
SAL50158,7,0,0,0,0,0,0,8
SAL50159,330,73,37,8,0,0,3,449
SAL50160,3,0,0,0,0,0,0,3
SAL50161,57,17,5,0,0,0,0,77
SAL50162,56,8,0,0,0,0,0,72
SAL50163,3,0,0,0,0,0,0,3
SAL50164,9,0,0,0,0,0,0,10
SAL50165,4,0,0,0,0,0,0,5
SAL50166,0,0,0,0,0,0,0,4
SAL50167,14,3,0,0,0,0,0,13
SAL50168,73,13,0,0,0,0,0,88
SAL50169,116,17,10,0,0,0,0,145
SAL50170,5,0,0,0,0,0,0,5
SAL50171,0,0,5,0,0,0,0,5
SAL50172,50,11,4,0,0,0,0,69
SAL50173,1148,181,58,24,0,0,0,1417
SAL50174,10,5,0,0,0,0,0,10
SAL50175,3,0,0,0,0,0,0,3
SAL50176,4,0,0,0,0,0,0,4
SAL50177,22,0,6,0,0,0,0,35
SAL50178,232,31,3,0,0,0,0,267
SAL50179,0,0,0,0,0,0,0,0
SAL50180,202,46,18,3,0,0,0,276
SAL50181,126,18,7,0,0,0,0,150
SAL50182,0,0,0,0,0,0,0,6
SAL50183,283,73,11,0,0,0,9,374
SAL50184,110,15,0,4,0,0,0,125
SAL50185,55,10,0,7,0,0,0,77
SAL50186,0,0,0,0,0,0,0,0
SAL50187,254,48,24,3,0,0,4,332
SAL50188,27,0,0,0,0,0,0,36
SAL50189,47,4,5,0,0,0,0,62
SAL50190,211,32,14,9,3,0,7,273
SAL50191,13,3,0,0,0,0,0,15
SAL50192,9,0,0,0,0,0,0,14
SAL50193,24,0,0,0,0,0,0,22
SAL50194,0,0,0,0,0,0,0,0
SAL50195,7,5,0,0,0,0,0,15
SAL50196,60,9,0,0,0,0,0,65
SAL50197,93,21,13,3,0,0,0,124
SAL50198,5,0,0,0,0,0,0,5
SAL50199,3,0,0,0,0,0,0,0
SAL50200,268,52,12,0,0,0,0,334
SAL50201,984,115,10,11,0,0,0,1127
SAL50202,0,0,0,0,0,0,0,0
SAL50203,15,0,0,0,0,0,0,15
SAL50204,13,0,0,0,0,0,0,18
SAL50205,0,0,0,0,0,0,0,0
SAL50206,0,0,0,0,0,0,0,0
SAL50207,486,140,51,9,0,0,0,691
SAL50208,0,0,0,0,0,0,0,0
SAL50209,11,0,0,0,0,0,0,11
SAL50210,241,46,3,4,0,0,0,291
SAL50211,4,0,0,0,0,0,0,3
SAL50212,0,0,0,0,0,0,0,0
SAL50213,3,0,0,0,0,0,0,8
SAL50214,4,0,0,0,0,0,0,4
SAL50215,3,0,0,0,0,0,0,3
SAL50216,0,0,0,0,0,0,0,0
SAL50217,93,17,0,0,0,0,0,117
SAL50218,0,0,0,0,0,0,0,0
SAL50219,0,0,0,0,0,0,0,0
SAL50220,0,0,0,0,0,0,0,0
SAL50221,616,98,16,0,0,0,7,732
SAL50222,35,3,3,0,0,0,0,44
SAL50223,13,0,0,0,0,0,0,13
SAL50224,0,0,0,0,0,0,0,0
SAL50225,0,0,0,0,0,0,0,0
SAL50226,164,33,4,0,0,0,3,201
SAL50227,69,20,3,0,0,0,0,88
SAL50228,78,18,3,0,0,0,0,106
SAL50229,1295,314,99,12,7,0,11,1736
SAL50230,2074,482,187,32,8,0,20,2810
SAL50231,422,68,14,4,8,0,13,531
SAL50232,4,0,0,0,0,0,0,5
SAL50233,0,0,0,0,0,0,0,0
SAL50234,16,0,3,0,0,0,0,22
SAL50235,110,24,6,0,0,0,0,145
SAL50236,0,0,0,0,0,0,0,0
SAL50237,0,0,0,0,0,0,0,0
SAL50238,32,0,0,6,0,0,0,45
SAL50239,0,0,0,0,0,0,0,0
SAL50240,345,63,22,3,0,0,7,452
SAL50241,3,0,0,0,0,0,0,3
SAL50242,0,0,0,0,0,0,0,0
SAL50243,0,0,0,0,0,0,0,4
SAL50244,4,0,0,0,0,0,0,4
SAL50245,4672,542,123,64,6,7,13,5417
SAL50246,596,51,10,8,0,0,7,673
SAL50247,0,0,0,0,0,0,0,0
SAL50248,35,8,0,0,0,0,0,46
SAL50249,0,0,0,0,0,0,0,0
SAL50250,0,0,0,0,0,0,0,0
SAL50251,194,69,11,0,0,0,3,280
SAL50252,14,0,0,0,0,0,0,12
SAL50253,0,0,0,0,0,0,0,0
SAL50254,0,0,0,0,0,0,0,0
SAL50255,51,4,7,0,0,0,0,59
SAL50256,0,0,0,0,0,0,0,0
SAL50257,0,0,0,0,0,0,0,0
SAL50258,13,3,0,0,0,0,0,19
SAL50259,12,3,0,0,0,0,0,14
SAL50260,151,21,4,0,0,0,0,178
SAL50261,247,61,33,6,4,0,3,344
SAL50262,954,111,20,3,0,0,6,1092
SAL50263,548,70,17,4,0,0,0,639
SAL50264,6,0,0,0,0,0,0,10
SAL50265,79,12,6,0,0,0,0,93
SAL50266,34,0,0,0,0,0,0,35
SAL50267,3,0,0,0,0,0,0,8
SAL50268,0,0,0,0,0,0,0,0
SAL50269,920,187,49,7,5,0,10,1176
SAL50270,6,0,0,0,0,0,0,6
SAL50271,12,0,0,0,0,0,0,12
SAL50272,17,0,0,0,0,0,0,17
SAL50273,304,67,24,5,0,0,9,406
SAL50274,96,13,4,0,0,0,0,117
SAL50275,0,0,0,0,0,0,0,0
SAL50276,15,0,0,0,0,0,0,16
SAL50277,976,128,30,18,0,0,9,1158
SAL50278,24,9,0,0,0,0,0,34
SAL50279,30,8,0,0,0,0,0,38
SAL50280,13,0,0,0,0,0,0,18
SAL50281,134,23,4,0,0,0,0,166
SAL50282,0,0,0,0,0,0,0,0
SAL50283,7,0,0,0,0,0,0,6
SAL50284,16,0,0,0,0,0,0,16
SAL50285,5,3,0,0,0,0,0,12
SAL50286,4,0,0,0,0,0,0,4
SAL50287,6,0,0,0,0,0,0,6
SAL50288,3,0,0,0,0,0,0,3
SAL50289,0,0,0,0,0,0,0,0
SAL50290,158,47,10,4,0,0,0,223
SAL50291,91,34,6,4,0,0,5,135
SAL50292,7,0,0,0,0,0,0,7
SAL50293,455,46,13,0,4,0,0,520
SAL50294,881,98,20,7,0,0,3,1001
SAL50295,19,5,0,0,0,0,0,30
SAL50296,802,74,13,4,0,0,6,900
SAL50297,1337,229,92,14,0,0,4,1681
SAL50298,0,0,0,0,0,0,0,5
SAL50299,0,0,0,0,0,0,0,0
SAL50300,0,0,0,0,0,0,0,0
SAL50301,728,108,28,10,3,0,9,894
SAL50302,9,0,0,0,0,0,0,9
SAL50303,0,0,0,0,0,0,0,0
SAL50304,85,11,5,3,0,0,0,97
SAL50305,0,0,0,0,0,0,0,0
SAL50306,0,0,0,0,0,0,0,0
SAL50307,9,0,0,0,0,0,3,13
SAL50308,0,0,0,0,0,0,0,0
SAL50309,114,23,12,0,0,0,0,151
SAL50310,486,123,56,14,6,0,6,695
SAL50311,7,0,0,0,0,0,0,12
SAL50312,68,10,4,0,0,0,0,83
SAL50313,12,7,0,0,0,0,0,18
SAL50314,0,0,0,0,0,0,0,0
SAL50315,4,0,0,0,0,0,0,4
SAL50316,1138,154,25,6,0,0,0,1317
SAL50317,22,0,4,0,0,0,0,21
SAL50318,420,69,12,3,0,0,0,512
SAL50319,5,0,0,0,0,0,0,5
SAL50320,241,69,18,9,0,0,5,332
SAL50321,614,93,18,5,0,0,0,726
SAL50322,55,8,5,0,0,0,4,66
SAL50323,0,0,0,0,0,0,0,0
SAL50324,412,67,12,8,0,0,6,509
SAL50325,256,19,4,0,0,0,0,276
SAL50326,0,0,0,0,0,0,0,0
SAL50327,35,6,0,0,0,0,0,45
SAL50328,0,0,0,0,0,0,0,0
SAL50329,418,116,39,9,3,0,5,599
SAL50330,39,15,4,0,0,0,3,61
SAL50331,17,0,0,0,0,0,0,17
SAL50332,4,0,0,0,0,0,0,4
SAL50333,10,0,0,0,0,0,0,15
SAL50334,36,14,0,0,0,0,0,49
SAL50335,11,3,0,0,0,0,0,12
SAL50336,0,0,0,0,0,0,0,0
SAL50337,9,0,0,0,0,0,0,9
SAL50338,8,0,0,0,0,0,0,7
SAL50339,0,0,0,0,0,0,0,0
SAL50340,34,10,5,0,0,0,0,54
SAL50341,6,0,0,0,0,0,0,6
SAL50342,0,0,0,0,0,0,0,0
SAL50343,798,105,20,0,0,0,3,919
SAL50344,4,3,0,0,0,0,0,11
SAL50345,0,0,0,0,0,0,0,0
SAL50346,6,0,0,0,0,0,0,3
SAL50347,268,44,12,0,3,0,0,329
SAL50348,3,0,0,0,0,0,0,3
SAL50349,3,0,0,0,0,0,0,3
SAL50350,630,112,25,0,0,0,0,769
SAL50351,5,0,0,0,0,0,0,5
SAL50352,35,8,0,0,0,0,0,37
SAL50353,158,13,6,0,0,0,0,173
SAL50354,25,4,3,0,0,0,0,32
SAL50355,14,4,0,0,0,0,0,14
SAL50356,5,3,0,0,0,0,0,9
SAL50357,26,9,4,0,0,0,0,40
SAL50358,0,0,0,0,0,0,0,4
SAL50359,3,0,0,0,0,0,0,3
SAL50360,0,0,0,0,0,0,0,0
SAL50361,0,0,0,0,0,0,0,0
SAL50362,0,0,0,0,0,0,0,0
SAL50363,0,0,0,0,0,0,0,0
SAL50364,68,4,4,0,0,0,0,86
SAL50365,6,0,0,0,0,0,0,8
SAL50366,0,0,0,0,0,0,0,0
SAL50367,811,139,31,3,5,0,0,996
SAL50368,15,3,0,0,0,0,0,19
SAL50369,6,0,0,0,0,0,0,6
SAL50370,0,0,0,0,0,0,0,0
SAL50371,186,19,4,0,0,0,0,207
SAL50372,19,8,0,0,0,0,0,19
SAL50373,6,0,0,0,0,0,0,5
SAL50374,626,46,9,4,0,0,0,683
SAL50375,81,13,0,0,0,0,0,97
SAL50376,1027,226,80,14,3,0,11,1368
SAL50377,18,0,0,0,0,0,0,19
SAL50378,163,23,5,0,0,0,0,193
SAL50379,0,0,0,0,0,0,0,0
SAL50380,74,9,6,5,0,0,5,97
SAL50381,6,0,0,0,0,0,0,6
SAL50382,23,0,0,0,0,0,0,27
SAL50383,0,0,0,0,0,0,0,0
SAL50384,1087,143,37,16,0,0,6,1290
SAL50385,0,0,0,0,0,0,0,0
SAL50386,58,13,0,0,0,0,0,71
SAL50387,77,4,0,0,0,0,0,82
SAL50388,31,0,0,0,0,0,0,34
SAL50389,180,41,13,6,0,0,0,235
SAL50390,430,74,18,3,0,0,6,533
SAL50391,0,0,0,0,0,0,0,0
SAL50392,0,0,0,0,0,0,0,0
SAL50393,3,0,0,0,0,0,0,3
SAL50394,5,0,0,0,0,0,0,5
SAL50395,0,0,0,0,0,0,0,0
SAL50396,557,196,44,6,6,0,3,814
SAL50397,749,100,36,16,0,0,0,901
SAL50398,5,0,0,0,0,0,0,5
SAL50399,27,0,0,0,0,0,0,30
SAL50400,96,34,6,3,0,0,0,144
SAL50401,3,0,0,0,0,0,0,5
SAL50402,9,0,0,0,0,0,0,14
SAL50403,33,12,0,0,0,0,0,45
SAL50404,167,21,10,0,0,0,0,198
SAL50405,139,31,9,9,0,0,3,193
SAL50406,5,0,0,0,0,0,0,5
SAL50407,6,0,0,0,0,0,0,12
SAL50408,7,0,0,0,0,0,0,6
SAL50409,2637,239,69,24,4,0,6,2979
SAL50410,4,0,0,0,0,0,0,4
SAL50411,22,0,0,0,0,0,0,26
SAL50412,12,3,0,0,0,0,0,18
SAL50413,0,0,0,0,0,0,0,0
SAL50414,4,6,0,0,0,0,0,9
SAL50415,325,68,17,4,0,0,3,415
SAL50416,92,27,8,6,0,0,0,137
SAL50417,6,0,0,0,0,0,0,10
SAL50418,0,0,0,0,0,0,0,0
SAL50419,207,51,19,3,0,0,0,275
SAL50420,0,0,0,0,0,0,0,7
SAL50421,4,0,0,0,0,0,0,4
SAL50422,0,0,0,0,0,0,0,0
SAL50423,1010,137,16,7,0,0,0,1173
SAL50424,31,0,3,0,0,0,0,34
SAL50425,5,0,0,0,0,0,0,9
SAL50426,156,58,10,0,0,0,0,220
SAL50427,0,0,0,0,0,0,0,0
SAL50428,0,0,0,0,0,0,0,0
SAL50429,8,0,0,0,0,0,0,8
SAL50430,8,0,0,0,0,0,0,10
SAL50431,379,107,31,9,0,0,3,532
SAL50432,0,0,0,0,0,0,0,0
SAL50433,0,0,0,0,0,0,0,0
SAL50434,0,0,0,0,0,0,0,0
SAL50435,11,4,0,0,0,0,0,25
SAL50436,9,3,0,0,0,0,0,17
SAL50437,12,6,4,0,0,0,0,18
SAL50438,2070,260,66,10,6,0,6,2414
SAL50439,0,0,0,0,0,0,0,0
SAL50440,5,0,0,0,0,0,0,5
SAL50441,592,123,18,3,0,0,4,741
SAL50442,4,0,0,0,0,0,0,6
SAL50443,3,0,0,0,0,0,0,3
SAL50444,0,0,0,0,0,0,0,0
SAL50445,3,0,0,0,0,0,0,3
SAL50446,38,8,4,0,0,0,3,57
SAL50447,6,0,0,0,0,0,0,6
SAL50448,0,0,0,0,0,0,0,8
SAL50449,3,0,0,0,0,0,0,4
SAL50450,7,5,0,0,0,0,0,10
SAL50451,3,0,0,0,0,0,0,3
SAL50452,258,57,9,0,0,0,3,338
SAL50453,747,83,17,16,0,0,11,877
SAL50454,57,16,5,0,0,0,0,86
SAL50455,0,0,0,0,0,0,0,0
SAL50456,0,0,0,0,0,0,0,0
SAL50457,840,126,21,0,0,0,5,987
SAL50458,0,0,0,0,0,0,0,0
SAL50459,5,0,0,0,0,0,0,5
SAL50460,0,0,0,0,0,0,0,0
SAL50461,0,0,0,0,0,0,0,0
SAL50462,0,0,0,0,0,0,0,0
SAL50463,0,0,0,0,0,0,0,0
SAL50464,530,88,9,0,0,0,0,628
SAL50465,23,0,0,0,0,0,0,28
SAL50466,0,0,0,0,0,0,0,0
SAL50467,0,0,0,0,0,0,0,5
SAL50468,965,106,22,6,0,0,3,1108
SAL50469,6,0,0,0,0,0,0,6
SAL50470,7,0,0,0,0,0,0,7
SAL50471,12,0,0,0,0,0,0,11
SAL50472,693,169,57,10,3,0,7,933
SAL50473,345,47,17,5,0,0,3,409
SAL50474,510,75,23,3,0,0,3,613
SAL50475,4,0,3,0,0,0,0,3
SAL50476,397,104,39,0,0,0,0,550
SAL50477,4,0,0,0,0,0,0,4
SAL50478,6,0,0,0,0,0,0,6
SAL50479,0,0,0,0,0,0,0,0
SAL50480,7,3,0,0,0,0,0,15
SAL50481,29,10,0,0,0,0,0,32
SAL50482,2480,568,193,45,11,8,17,3327
SAL50483,0,0,0,0,0,0,0,0
SAL50484,342,49,19,4,0,0,5,412
SAL50485,0,0,0,0,0,0,0,0
SAL50486,5,0,0,0,0,0,0,5
SAL50487,5,0,0,0,0,0,0,10
SAL50488,0,0,0,0,0,0,0,0
SAL50489,0,0,0,0,0,0,0,0
SAL50490,0,0,0,0,0,0,0,0
SAL50491,260,82,26,0,0,0,9,380
SAL50492,119,15,6,0,0,0,0,137
SAL50493,0,0,0,0,0,0,0,0
SAL50494,0,0,0,0,0,0,0,0
SAL50495,0,0,0,0,0,0,0,0
SAL50496,4,0,0,0,0,0,0,4
SAL50497,231,49,10,0,0,0,3,290
SAL50498,4,0,0,0,0,0,0,4
SAL50499,4,0,0,0,0,0,0,4
SAL50500,353,108,23,0,5,0,5,492
SAL50501,16,5,0,0,0,0,0,26
SAL50502,425,54,11,6,0,0,0,500
SAL50503,0,0,0,0,0,0,0,0
SAL50504,0,0,0,0,0,0,0,0
SAL50505,0,0,0,0,0,0,0,0
SAL50506,0,0,0,0,0,0,0,0
SAL50507,0,0,0,0,0,0,0,0
SAL50508,58,6,10,10,0,0,9,89
SAL50509,0,0,0,0,0,0,0,0
SAL50510,1287,92,27,6,0,0,4,1410
SAL50511,0,0,0,0,0,0,0,0
SAL50512,13,5,0,0,0,0,0,21
SAL50513,4,0,0,0,0,0,0,6
SAL50514,0,0,0,0,0,0,0,0
SAL50515,9,0,0,0,0,0,0,10
SAL50516,0,0,0,0,0,0,0,0
SAL50517,102,8,8,0,0,0,0,118
SAL50518,1158,234,66,17,3,0,5,1485
SAL50519,0,0,0,0,0,0,0,0
SAL50520,43,0,0,0,0,0,0,43
SAL50521,0,0,0,0,0,0,0,0
SAL50522,568,93,9,0,0,0,0,681
SAL50523,35,9,7,0,0,0,4,60
SAL50524,0,0,0,0,0,0,0,0
SAL50525,50,19,9,0,0,0,0,77
SAL50526,3,0,0,0,0,0,0,3
SAL50527,11,0,0,0,0,0,0,9
SAL50528,0,0,0,0,0,0,0,0
SAL50529,0,0,0,0,0,0,0,0
SAL50530,0,0,0,0,0,0,0,0
SAL50531,9,0,0,4,0,0,0,15
SAL50532,0,0,0,0,0,0,0,0
SAL50533,252,42,10,9,0,0,3,319
SAL50534,222,56,10,3,0,0,0,302
SAL50535,9,0,0,0,0,0,0,9
SAL50536,153,45,3,3,0,0,0,206
SAL50537,0,0,0,0,0,0,0,0
SAL50538,0,0,0,0,0,0,0,5
SAL50539,25,3,0,0,0,0,0,35
SAL50540,17,3,0,6,5,0,0,26
SAL50541,0,0,0,0,0,0,0,0
SAL50542,305,65,11,4,0,0,4,384
SAL50543,5,0,0,0,0,0,0,8
SAL50544,4,0,0,0,0,0,0,4
SAL50545,8,0,0,0,0,0,0,8
SAL50546,0,0,0,0,0,0,0,0
SAL50547,0,0,0,0,0,0,0,0
SAL50548,79,19,0,0,0,0,5,108
SAL50549,0,0,0,0,0,0,0,0
SAL50550,730,97,45,15,0,0,3,884
SAL50551,91,19,4,0,0,0,0,125
SAL50552,312,47,11,0,0,0,0,373
SAL50553,260,56,32,3,0,0,4,362
SAL50554,3,3,0,0,0,0,0,8
SAL50555,3,0,0,0,0,0,0,3
SAL50556,228,15,3,3,0,0,0,243
SAL50557,87,29,5,0,0,0,0,124
SAL50558,10,4,0,0,0,0,0,12
SAL50559,6,0,4,0,0,0,0,10
SAL50560,0,0,0,0,0,0,0,0
SAL50561,120,14,5,10,0,0,0,148
SAL50562,56,9,0,0,0,0,0,69
SAL50563,0,0,0,0,0,0,0,0
SAL50564,52,3,4,4,0,0,0,65
SAL50565,3,0,0,0,0,0,0,3
SAL50566,526,142,37,6,0,0,3,723
SAL50567,11,0,0,0,0,0,0,11
SAL50568,3,0,0,0,0,0,0,4
SAL50569,24,3,4,0,0,0,0,38
SAL50570,0,0,0,0,0,0,0,0
SAL50571,356,69,13,3,0,0,0,448
SAL50572,5,0,0,0,0,0,0,5
SAL50573,0,0,0,0,0,0,0,0
SAL50574,1778,283,108,38,5,0,19,2237
SAL50575,21,8,0,0,0,0,0,30
SAL50576,0,0,0,0,0,0,0,0
SAL50577,13,0,0,0,0,0,0,13
SAL50578,11,6,0,0,0,0,0,14
SAL50579,8,0,0,0,0,0,0,14
SAL50580,7,0,0,0,0,0,0,6
SAL50581,11,0,0,0,0,0,0,7
SAL50582,26,0,4,0,0,0,0,26
SAL50583,575,204,49,5,4,0,18,857
SAL50584,3,0,0,0,0,0,0,3
SAL50585,213,47,18,3,0,0,3,287
SAL50586,29,0,4,0,0,0,0,41
SAL50587,1062,162,47,3,0,0,11,1283
SAL50588,3,0,0,0,0,0,0,3
SAL50589,0,0,0,0,0,0,0,0
SAL50590,0,0,0,0,0,0,0,0
SAL50591,11,3,0,0,0,0,0,17
SAL50592,0,0,0,0,0,0,0,0
SAL50593,0,5,0,0,0,0,0,3
SAL50594,175,21,5,4,0,0,0,204
SAL50595,0,0,0,0,0,0,0,0
SAL50596,4,0,0,0,0,0,0,3
SAL50597,11,0,0,0,0,0,0,11
SAL50598,10,0,0,0,0,0,0,10
SAL50599,732,64,14,0,0,0,4,811
SAL50600,8,0,0,0,0,0,0,6
SAL50601,9,0,0,0,0,0,0,9
SAL50602,66,10,9,0,5,0,5,99
SAL50603,1172,356,74,13,3,0,12,1633
SAL50604,22,8,0,0,0,0,0,34
SAL50605,5,0,0,0,0,0,0,5
SAL50606,0,0,0,0,0,0,0,0
SAL50607,554,87,24,9,0,0,4,679
SAL50608,0,0,0,0,0,0,0,0
SAL50609,790,153,31,5,0,0,11,995
SAL50610,897,135,42,4,0,0,0,1091
SAL50611,266,41,22,3,0,0,0,333
SAL50612,6,0,0,0,0,0,0,7
SAL50613,1795,222,56,21,0,0,0,2094
SAL50614,3,0,0,0,0,0,0,5
SAL50615,310,44,23,3,0,0,0,382
SAL50616,7,0,0,0,0,0,0,9
SAL50617,0,0,0,0,0,0,0,0
SAL50618,41,9,3,0,0,0,0,50
