SAL_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SAL51343,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,7
SAL51344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51345,9,23,27,19,62,91,34,97,5,360,29,77,97,81,164,244,56,105,5,852,9,26,17,10,44,57,6,49,0,226,5,81,31,31,19,24,0,12,0,206,14,60,60,18,62,54,6,15,7,301,0,66,20,16,19,22,0,9,4,161,3,13,10,6,17,12,11,16,0,83,4,54,20,10,23,7,4,13,3,141,0,8,4,0,3,5,0,4,3,25,71,402,287,196,402,520,127,318,24,2349
SAL51346,6,22,20,23,39,84,42,107,0,341,43,157,130,101,137,278,97,214,10,1162,4,17,10,8,7,24,9,11,0,101,11,91,36,8,16,14,5,5,0,187,0,51,30,9,36,36,6,17,0,193,0,68,18,8,12,12,3,6,0,125,0,7,4,5,0,5,0,4,0,33,0,37,22,7,6,13,0,8,0,99,3,0,0,7,0,3,0,0,10,20,60,458,273,176,270,468,164,387,17,2264
SAL51347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51348,4,16,13,8,34,51,16,51,6,194,27,35,32,31,67,76,29,40,0,334,20,16,20,16,68,92,32,71,8,332,5,65,44,37,38,39,10,19,0,248,9,26,36,24,42,32,6,19,0,200,10,46,30,16,23,4,6,3,3,140,15,3,13,4,21,17,16,48,0,133,11,41,28,22,23,25,7,30,6,175,6,6,0,4,11,3,0,11,3,35,107,250,209,147,320,327,116,292,27,1797
SAL51349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL51350,0,0,3,0,3,3,0,3,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,10,0,3,3,0,3,0,36
SAL51351,0,5,14,3,17,12,6,18,0,73,4,19,21,10,21,25,3,9,0,115,10,17,12,3,20,23,6,34,3,119,3,18,17,6,7,7,3,10,0,79,5,7,11,6,15,6,5,8,0,62,3,18,13,3,10,9,0,0,0,62,0,6,6,0,10,7,5,15,0,41,3,14,6,4,6,12,0,12,0,64,0,0,0,0,3,0,0,0,0,7,33,103,96,39,111,93,32,99,4,621
SAL51352,8,5,9,12,28,42,14,36,0,160,6,19,18,29,78,61,28,28,0,281,13,20,23,12,62,84,21,70,6,313,13,38,27,29,47,33,6,13,0,215,17,22,29,21,62,53,12,11,0,225,6,37,27,13,24,19,9,4,0,134,10,0,7,4,21,24,8,40,9,127,9,43,13,6,35,25,10,25,4,163,0,0,3,0,4,6,0,0,12,34,79,191,163,124,358,350,107,241,33,1651
