SAL_CODE_2021,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
SAL50011,34,37,24,35,20,12,13,10,4,200,56,74,59,149,61,28,22,25,7,491,115,69,607,228,145,78,116,106,19,1474,10,4,15,18,23,16,10,17,0,117,8,9,10,28,25,15,9,10,0,100,10,14,10,5,4,3,0,4,0,42,4,5,8,21,13,4,0,7,7,80,377,865,801,642,412,201,204,221,49,3768
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6
SAL50013,0,3,0,8,4,0,0,0,0,8,0,0,4,3,0,0,3,3,0,13,8,3,52,9,14,4,14,3,0,118,0,0,4,0,3,0,4,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,4,13,32,62,20,22,3,28,10,0,198
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,3,4,0,0,0,0,21
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10
SAL50016,9,3,0,0,3,3,5,0,0,19,7,0,0,4,10,0,0,0,0,17,15,3,38,10,10,3,15,3,0,102,0,0,0,0,0,3,0,0,0,9,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,8,41,28,46,23,24,13,18,10,4,217
SAL50017,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,4,4,0,26
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,12,9,5,11,0,4,3,4,8,5,43,0,0,4,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,14,18,7,15,5,6,9,5,87
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,4,0,0,3,0,19
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,38,37,17,20,18,15,7,8,5,154,35,39,15,18,25,16,6,8,3,163,64,37,84,46,39,25,8,16,9,328,3,4,3,0,6,4,0,4,0,32,4,5,5,10,9,8,5,0,0,42,9,10,0,0,3,0,0,0,3,26,5,5,4,5,7,6,0,0,8,46,615,1296,191,166,307,145,45,61,41,2859
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,16
SAL50024,17,30,12,14,25,10,5,0,0,113,13,24,13,25,19,10,0,0,0,106,37,13,62,21,21,16,4,13,4,191,0,0,0,0,9,11,0,0,0,22,4,9,0,4,6,0,0,0,0,30,3,3,7,0,0,0,0,0,0,14,10,4,0,0,8,0,0,0,5,35,334,854,159,132,192,93,21,41,21,1843
SAL50025,3,0,3,4,3,0,0,0,0,16,0,7,3,3,0,0,0,0,0,11,9,10,41,12,10,6,14,3,8,99,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,58,57,20,15,3,12,0,9,212
SAL50026,5,31,16,30,13,10,9,8,0,121,18,31,38,90,48,21,32,31,0,316,54,46,409,268,123,71,157,149,18,1300,12,0,19,17,19,24,15,36,0,136,5,5,11,21,11,9,11,9,0,81,3,5,3,4,4,4,8,4,0,38,3,0,15,21,7,6,14,12,29,107,147,392,557,535,289,178,273,285,59,2707
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,13
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,4,0,0,3,0,23
SAL50030,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,19
SAL50031,14,11,5,8,11,0,3,4,0,65,30,18,21,15,22,8,7,3,0,123,35,19,116,46,29,10,20,10,3,284,0,0,0,5,0,6,0,0,0,25,6,6,4,0,3,6,0,4,0,28,6,5,3,3,0,0,0,0,0,17,5,4,3,4,6,3,0,0,0,36,211,397,178,117,143,61,46,32,9,1184
SAL50032,3,8,13,9,8,0,0,0,0,40,17,21,11,19,10,4,10,4,0,103,28,14,132,47,30,23,21,24,8,322,3,0,0,7,3,3,0,0,0,21,0,4,3,9,6,0,5,0,0,25,0,0,0,0,4,0,0,0,0,5,0,3,5,5,5,5,0,3,7,30,94,217,179,128,104,46,47,51,16,878
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,0,7,4,4,6,0,0,0,0,26,9,7,16,13,11,3,0,0,0,55,10,3,47,12,6,12,10,11,0,113,0,0,0,0,6,5,0,0,0,14,0,0,0,7,0,0,3,0,0,17,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,8,58,164,81,57,40,19,19,22,3,464
SAL50035,34,48,15,14,25,9,4,0,0,148,41,36,21,29,36,19,6,6,3,202,84,22,153,48,53,41,17,19,5,445,4,5,5,10,14,10,0,0,0,41,6,3,5,12,28,6,4,0,0,66,8,10,0,0,5,0,0,0,0,21,10,7,3,4,11,11,3,3,0,54,552,1030,229,167,317,147,50,54,25,2572
SAL50036,27,52,31,31,31,16,11,4,5,201,59,67,39,83,75,27,14,27,7,391,101,56,421,166,134,52,92,90,18,1126,9,9,17,18,19,17,3,12,0,103,9,7,4,13,21,10,3,0,3,84,0,10,6,9,4,0,0,0,4,34,6,22,10,8,12,3,4,3,12,76,467,1070,596,441,460,172,149,184,61,3608
SAL50037,28,29,22,14,25,10,8,0,0,132,54,57,45,54,55,18,16,26,0,320,58,45,278,113,78,34,47,41,11,714,0,5,6,3,13,9,6,8,0,49,5,4,8,18,15,3,4,7,0,56,0,10,4,0,3,0,5,3,0,30,10,14,9,4,14,5,3,5,10,63,325,904,440,284,318,112,107,111,31,2632
SAL50038,12,5,0,6,4,3,0,4,0,34,3,0,4,6,7,5,0,4,0,24,20,0,55,21,11,9,11,14,0,133,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,3,3,0,3,0,5,0,0,5,0,18,57,44,71,38,26,31,9,26,4,314
SAL50039,25,64,33,40,28,10,12,8,0,231,69,65,84,109,86,30,22,30,9,498,147,96,1028,364,259,135,290,195,45,2559,13,7,30,21,29,44,25,42,0,214,11,5,20,50,34,14,14,14,0,163,0,4,0,0,5,3,4,9,3,37,12,14,7,17,10,14,16,19,16,121,420,992,1272,685,547,284,415,353,71,5037
SAL50040,40,50,33,68,43,13,24,15,6,300,99,88,94,185,113,46,38,28,9,685,172,111,715,309,240,125,178,115,16,1983,9,3,10,29,20,19,16,29,4,148,23,4,20,31,23,17,18,14,0,158,3,10,7,4,12,5,6,0,0,52,14,14,16,18,23,9,8,11,20,127,574,1086,1003,849,673,309,370,271,65,5194
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,4,0,0,10
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,4
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,3,0,0,0,4,0,17
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50048,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,7,3,0,5,0,4,0,3,3,0,21,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,17,8,5,0,10,0,6,11,0,59
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,14
SAL50051,4,0,0,4,0,0,4,0,0,15,5,0,0,10,10,4,3,0,0,36,14,12,68,24,18,7,14,11,3,171,0,0,0,7,4,4,0,0,0,14,0,0,4,0,4,0,0,4,0,13,0,0,0,0,0,0,0,0,0,6,0,5,0,3,6,0,0,0,4,13,30,67,78,56,32,20,26,19,9,328
SAL50052,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,8,0,0,0,3,0,38
SAL50053,33,47,32,34,38,17,11,17,3,228,60,62,72,86,81,31,20,25,6,432,92,55,400,130,132,61,87,99,19,1070,5,3,13,16,22,9,8,8,0,83,10,11,12,13,27,18,0,19,0,104,5,10,6,0,7,3,0,0,0,42,6,17,18,16,15,8,6,8,18,111,448,1122,640,462,497,232,191,251,60,3909
SAL50054,90,130,96,125,92,28,34,30,17,643,241,257,226,431,261,87,76,60,19,1657,473,289,2105,849,590,234,498,388,79,5513,19,20,55,65,72,63,45,78,3,435,40,28,43,80,75,35,32,35,3,366,16,23,17,17,20,4,6,6,0,112,22,22,36,56,37,19,11,33,36,278,1352,2589,2771,1972,1434,585,803,717,179,12391
SAL50055,31,34,37,53,11,10,13,20,0,206,38,56,86,171,67,39,63,52,9,588,50,40,372,281,101,63,115,177,28,1242,3,3,19,21,15,10,11,32,4,119,8,7,14,35,11,11,21,12,0,119,0,7,3,14,6,0,10,16,5,63,6,8,17,26,12,7,19,31,21,148,264,713,667,858,380,241,416,478,100,4111
SAL50056,8,0,0,0,0,0,0,0,0,11,3,6,0,5,3,0,3,0,0,23,18,3,22,8,0,0,9,7,0,66,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,43,37,32,18,7,10,11,14,4,178
SAL50057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,8
SAL50058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50059,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,9,9,0,6,0,5,0,0,0,24
SAL50060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50061,41,76,45,42,51,15,26,22,3,310,74,70,89,136,102,55,21,31,3,583,175,100,815,332,213,120,218,186,30,2197,7,11,22,30,28,23,22,27,3,178,18,19,25,39,57,28,19,8,0,219,9,15,16,10,8,8,9,10,0,78,19,14,7,19,28,11,6,16,27,152,517,1125,1137,799,677,329,373,383,92,5440
SAL50062,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,9
SAL50063,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,10
SAL50064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,0,4,0,0,15
SAL50065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,4,0,5,0,0,16
SAL50066,0,0,0,0,0,0,0,0,0,5,0,0,3,0,4,0,6,0,0,11,4,3,18,11,9,5,9,0,0,60,0,0,0,0,0,3,0,0,0,3,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,18,26,22,17,16,10,11,5,3,117
SAL50067,0,0,0,0,0,0,5,0,0,10,0,0,0,0,0,0,3,0,0,11,0,0,15,0,0,0,11,0,3,26,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,18,5,0,0,26,0,3,59
SAL50068,4,9,6,4,8,0,0,0,0,41,13,3,14,12,9,3,0,0,0,54,27,6,68,14,13,12,17,11,5,175,0,0,0,0,0,0,0,0,0,6,6,0,3,0,3,4,0,4,0,21,9,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,5,10,85,131,103,45,58,31,30,18,10,517
