SAL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SAL50011,349,368,233,130,158,43,29,1304,132,94,31,15,16,0,0,289,108,88,25,17,14,0,0,257,256,185,69,33,40,3,5,597,4,3,0,0,0,0,0,7,844,733,361,195,233,59,31,2447,35,54,31,16,36,16,12,192,19,25,15,11,9,0,5,84,26,35,16,12,7,0,3,100,51,68,30,20,17,0,6,202,4,0,0,0,0,0,0,7,135,187,94,60,75,20,22,583,977,918,451,256,303,78,49,3031
SAL50012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3
SAL50013,0,0,0,0,0,0,0,4,0,4,4,0,3,0,0,10,0,0,6,0,3,0,0,14,17,17,16,8,16,4,0,77,0,0,0,0,0,0,0,0,17,20,22,13,24,4,0,98,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,7,0,0,0,17,0,0,0,0,0,0,0,0,4,7,3,3,0,0,0,23,23,31,25,15,29,4,0,128
SAL50014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,3,0,3,0,0,0,18
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL50016,0,0,3,0,0,0,0,19,0,5,3,0,0,0,0,13,5,8,0,0,5,0,0,15,20,24,21,16,10,0,0,92,0,0,0,0,0,0,0,0,23,31,30,24,17,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,12,23,36,33,25,20,0,0,144
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,12
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50019,3,9,0,0,6,0,0,17,3,0,0,0,5,0,0,5,3,0,0,0,0,0,0,0,7,14,5,0,0,3,0,28,0,0,0,0,0,0,0,0,17,20,9,4,9,4,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,21,5,4,8,4,0,60
SAL50020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,109,162,102,60,86,52,22,596,28,43,20,16,21,13,11,157,39,44,27,14,16,14,7,161,86,116,73,59,67,56,26,491,0,3,0,0,0,0,0,6,269,378,223,146,186,135,69,1407,7,20,15,4,14,5,7,67,3,10,8,3,6,5,0,27,4,9,4,3,4,4,0,23,6,20,18,11,17,10,4,81,0,0,0,0,0,0,0,5,18,52,42,27,34,18,13,201,281,428,266,176,227,155,77,1609
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
SAL50024,72,139,80,39,60,31,15,438,34,19,22,16,18,9,4,123,33,30,26,10,8,6,0,114,83,78,52,38,48,28,21,346,0,0,0,0,0,0,0,3,220,271,172,101,140,74,45,1022,0,8,3,11,9,3,10,38,0,4,0,4,3,0,0,19,0,0,0,4,5,3,3,12,9,11,12,13,6,3,0,53,0,5,0,3,0,0,0,5,5,28,22,27,31,7,7,136,227,297,198,126,163,86,58,1159
SAL50025,3,0,6,7,0,0,0,16,0,0,0,6,4,0,0,14,0,0,0,0,0,0,0,4,18,17,11,11,15,0,0,75,0,0,0,0,0,0,0,0,22,26,21,20,23,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,11,26,31,24,19,20,0,0,123
SAL50026,154,138,52,32,62,20,4,459,33,50,27,22,20,0,0,161,44,45,15,17,11,4,0,142,273,200,112,75,71,14,5,751,14,8,4,0,0,0,0,29,520,441,207,148,164,39,14,1537,27,29,31,12,20,11,4,127,38,25,18,15,7,4,5,124,27,29,17,13,12,6,3,102,186,175,108,78,85,17,4,655,11,14,6,5,8,0,0,48,288,278,177,120,141,37,23,1053,810,719,383,261,302,74,36,2595
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,7
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,12
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,12
SAL50031,45,40,21,12,15,17,4,153,14,10,8,0,12,3,0,50,16,9,4,0,4,0,6,35,40,44,11,13,25,10,0,151,0,0,0,0,0,0,0,0,113,99,46,28,55,27,8,385,0,6,5,0,3,0,3,14,0,0,0,0,0,0,0,0,6,3,0,0,3,0,0,11,7,8,6,5,8,3,4,42,0,0,0,0,0,0,0,4,9,14,14,5,18,8,8,68,125,117,57,31,74,34,17,453
SAL50032,79,59,29,22,20,12,9,228,22,23,13,7,8,0,0,59,13,16,6,9,6,0,0,48,53,67,20,21,14,0,3,173,0,0,0,0,0,0,0,3,166,162,64,49,48,16,10,510,11,4,5,4,3,5,0,31,0,6,8,5,0,0,0,21,4,3,0,0,3,0,0,19,11,23,17,10,10,4,3,73,0,0,0,0,0,0,0,0,26,38,34,18,21,5,3,146,192,196,97,63,67,20,20,653
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,21,9,3,0,6,9,5,47,3,9,3,3,3,0,0,26,11,9,0,0,0,0,0,23,40,28,16,10,16,11,5,120,0,0,0,0,0,0,0,0,69,60,30,15,25,17,7,210,0,0,0,0,0,0,0,6,0,0,3,3,3,0,0,11,3,3,0,0,0,0,0,3,7,3,5,0,9,0,0,33,0,0,0,0,0,0,0,0,12,10,12,4,13,0,0,55,81,66,37,23,34,13,8,271
SAL50035,57,70,45,36,33,33,16,295,38,54,33,13,30,19,4,189,40,45,32,21,35,14,9,187,155,208,118,102,142,65,40,826,0,0,0,0,0,0,0,0,286,381,227,176,242,126,64,1502,4,3,3,7,6,3,4,29,3,3,12,10,0,5,0,34,0,9,0,8,3,0,6,23,10,19,20,19,20,10,5,93,0,0,0,0,0,0,0,0,14,30,36,40,34,16,11,181,305,410,263,212,272,138,76,1673
SAL50036,161,214,116,74,100,70,34,766,30,37,23,25,41,14,9,188,82,61,34,30,57,30,12,293,202,255,198,132,170,70,23,1062,0,4,0,0,0,0,0,5,478,576,370,261,369,182,84,2317,3,24,16,5,12,9,3,77,10,12,17,9,13,3,3,69,0,7,13,8,7,5,0,41,29,48,43,40,38,14,7,215,0,5,0,0,0,0,0,4,48,93,84,70,74,25,11,407,526,663,454,326,442,208,101,2720
SAL50037,205,272,126,82,101,54,23,858,48,62,30,12,15,7,0,172,75,68,39,21,23,3,5,229,208,272,131,82,63,18,3,774,0,0,0,0,0,0,0,8,531,678,320,198,191,79,35,2035,6,15,11,11,3,4,0,47,4,12,7,3,9,0,0,37,0,3,5,3,0,0,0,16,21,55,32,17,19,5,0,154,0,0,0,0,0,0,0,3,35,81,61,37,29,13,0,259,568,761,383,230,221,88,39,2293
SAL50038,9,3,0,0,3,0,0,16,4,0,0,0,3,0,0,14,0,0,4,0,0,0,0,11,31,22,8,9,5,0,0,76,0,0,0,0,0,0,0,0,43,31,15,14,15,3,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,4,6,10,6,4,0,0,23,0,0,0,0,0,0,0,3,5,6,8,4,3,0,0,29,46,36,18,15,14,3,0,146
SAL50039,123,111,100,56,85,10,0,491,86,80,54,33,33,5,5,291,93,119,57,41,43,9,3,345,595,660,393,246,265,26,13,2198,0,3,0,5,0,0,0,7,894,974,609,371,425,49,14,3337,11,11,4,10,14,3,0,57,19,22,15,17,13,0,0,87,20,21,13,16,19,0,0,79,124,186,125,90,105,11,0,644,4,0,0,0,0,0,0,5,169,233,159,128,154,19,0,864,1060,1215,765,503,582,63,17,4200
SAL50040,486,456,237,138,156,79,35,1587,131,92,39,23,20,6,10,319,102,81,49,21,45,14,0,312,438,358,191,113,140,35,6,1281,7,3,3,0,4,0,0,23,1162,989,518,300,365,135,49,3515,42,52,31,24,30,16,9,189,15,38,19,5,16,3,0,106,20,19,19,7,10,0,0,74,70,102,65,59,55,13,0,378,3,4,4,0,0,0,0,9,149,216,139,99,111,30,10,760,1311,1208,653,394,474,166,58,4277
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,4
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,6
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50045,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,11
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0,0,0,18,0,0,0,0,0,0,0,0,14,8,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,6,0,0,0,0,20
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3
