SAL_CODE_2021,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
SAL50011,9,0,38,49,8,88,14,45,4,252,30,36,82,118,42,69,28,53,7,470,143,299,337,239,213,110,106,151,23,1622,166,332,289,179,170,64,112,84,15,1414,118,179,174,159,151,60,91,80,15,1026,54,72,82,73,71,34,50,38,0,478,7,12,15,5,8,11,10,15,0,85,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,527,930,1024,825,672,440,405,466,71,5356
SAL50012,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,15
SAL50013,0,0,10,0,0,10,0,6,0,33,0,0,6,3,5,0,0,0,0,22,0,4,15,3,0,0,8,5,0,34,5,7,18,8,5,7,11,3,0,60,4,11,27,6,8,3,14,6,0,75,7,9,9,4,5,3,15,3,0,65,0,0,0,0,0,0,4,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,32,84,22,30,17,53,35,4,303
SAL50014,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,13,9,3,0,0,4,0,0,0,0,11,11,0,0,0,6,0,0,0,0,13,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,4,3,8,0,3,0,3,54
SAL50015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,9
SAL50016,0,0,6,4,0,10,0,4,0,26,0,0,9,0,4,0,0,0,0,18,10,4,9,3,0,4,4,0,0,33,9,6,21,6,8,8,7,7,0,69,7,5,11,10,16,3,10,8,0,80,20,4,10,5,4,3,13,4,0,69,9,0,0,0,0,6,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,32,62,33,30,31,33,27,7,315
SAL50017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0,0,0,3,0,7,9,0,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,6,0,5,12,5,44
SAL50018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL50019,0,0,0,0,0,0,0,7,0,8,0,0,3,0,0,0,0,3,0,12,3,6,4,0,6,0,0,6,0,26,0,9,6,0,0,0,0,3,0,26,8,0,4,0,7,0,3,5,5,26,7,0,6,0,0,0,6,5,0,24,5,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,14,29,5,20,7,9,16,5,133
SAL50020,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,8,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,6,0,0,4,0,29
SAL50021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50022,6,0,11,34,21,67,12,33,3,184,15,76,37,64,50,50,18,21,4,342,67,299,57,46,71,25,18,30,5,614,180,335,34,36,88,29,10,9,16,736,209,271,43,24,89,46,18,15,7,735,173,215,39,34,93,37,13,21,10,638,72,116,9,16,37,16,0,9,3,289,18,21,4,5,7,3,0,0,3,59,0,0,0,0,0,0,0,0,0,3,736,1339,244,251,452,281,92,136,54,3594
SAL50023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,4,0,0,0,0,6,0,31
SAL50024,0,3,12,34,6,57,3,29,0,143,14,58,21,34,25,48,11,15,0,224,33,190,37,35,22,16,7,7,6,350,120,254,45,36,54,19,10,12,6,546,115,194,40,42,69,31,7,19,8,521,91,135,32,18,59,18,7,15,3,376,25,54,11,3,25,5,3,6,0,138,4,4,0,0,3,9,0,0,0,24,0,0,0,0,0,0,0,0,0,0,393,898,195,196,270,194,51,99,27,2325
SAL50025,0,0,3,0,3,4,0,7,0,20,0,0,0,0,0,5,0,6,0,15,0,4,10,0,4,0,0,0,0,33,11,11,19,5,6,0,3,0,0,54,9,18,18,9,4,0,10,7,4,77,13,15,17,9,4,3,9,7,4,74,3,9,3,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,58,72,31,32,13,27,19,11,297
SAL50026,3,0,33,25,14,73,11,62,10,228,12,17,114,89,46,72,60,96,8,513,61,103,199,150,115,89,147,134,24,1019,69,104,164,145,110,60,166,131,22,961,50,88,143,152,100,65,157,133,22,902,49,83,100,116,113,51,157,127,11,805,11,24,23,37,33,24,33,37,3,228,4,5,0,0,5,0,0,5,3,24,0,0,0,0,0,0,0,0,0,5,261,422,780,709,522,430,732,723,108,4686
SAL50027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,3,25
SAL50028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7
SAL50029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,4,11,3,0,0,0,0,0,0,0,16,4,0,0,0,3,0,0,0,0,3,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,0,3,8,0,0,3,0,36
SAL50030,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,11,5,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,3,0,3,0,3,6,0,39
SAL50031,0,0,6,11,4,20,0,18,0,62,8,20,25,25,21,17,10,11,0,130,44,95,52,36,29,25,14,17,4,314,48,101,48,23,31,16,20,12,5,306,70,97,43,37,58,10,18,12,5,349,78,75,40,16,66,24,19,13,4,331,25,19,23,6,9,4,7,8,0,100,6,5,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,275,413,227,167,223,113,90,89,12,1612
SAL50032,0,0,10,3,0,20,0,16,0,50,8,11,19,13,15,19,13,20,3,114,22,61,69,52,40,13,23,19,10,308,43,77,54,35,45,12,16,19,5,315,45,45,47,35,57,25,26,26,5,306,15,33,31,24,23,7,25,15,0,177,3,7,11,0,10,3,0,10,0,43,0,4,0,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,137,239,242,163,197,102,107,128,20,1332
SAL50033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL50034,0,0,4,4,0,7,0,10,0,26,0,7,16,11,6,8,6,9,0,58,23,63,24,21,10,7,3,9,3,171,19,62,21,13,10,3,7,16,0,150,15,37,22,17,21,8,10,8,0,144,12,15,16,4,6,5,5,12,3,74,5,3,6,3,3,0,3,3,0,28,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,73,182,105,71,72,48,36,72,4,664
SAL50035,3,9,23,46,16,84,11,49,4,243,12,54,30,74,51,53,4,29,0,308,60,190,53,32,48,27,10,7,9,436,154,275,49,35,84,29,19,13,4,663,231,295,76,55,136,40,12,19,13,870,137,199,40,35,109,45,14,14,11,601,40,59,11,15,34,10,9,3,3,182,13,5,0,0,6,7,4,0,0,32,3,0,0,0,0,0,0,0,0,6,651,1089,287,286,479,287,90,140,44,3343
SAL50036,6,5,46,92,28,152,20,99,8,455,16,60,103,100,58,74,36,65,4,512,90,250,154,88,113,47,44,56,22,866,190,374,178,115,173,47,61,65,20,1221,228,325,205,154,246,70,88,83,18,1418,80,122,105,65,144,46,64,45,8,678,7,26,15,10,16,8,11,27,4,125,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,617,1156,804,631,768,449,325,439,94,5282
SAL50037,7,3,16,26,5,71,4,43,3,192,6,39,35,54,34,37,16,21,5,265,64,220,137,71,86,45,38,37,16,705,175,431,182,120,171,58,52,64,14,1283,122,199,104,72,122,19,45,44,9,741,54,47,43,24,58,6,26,26,0,278,9,12,7,8,17,6,5,13,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,957,530,378,488,243,191,260,57,3537
SAL50038,0,0,0,6,0,11,0,9,0,18,0,0,4,4,0,0,0,6,0,18,5,0,22,5,0,8,3,12,0,54,9,6,20,9,13,6,4,10,0,76,19,16,21,12,13,13,5,16,5,118,25,14,20,21,20,11,10,18,3,136,14,9,6,3,7,6,4,8,0,56,6,0,0,0,0,5,0,0,0,11,0,0,0,0,0,0,0,0,3,3,87,44,89,62,54,55,27,78,7,506
SAL50039,6,5,81,80,22,193,22,151,10,555,17,34,141,80,59,54,54,100,9,561,97,242,398,153,160,100,180,191,25,1544,175,316,372,217,214,125,222,191,32,1872,173,246,271,209,215,102,219,128,26,1586,101,180,216,132,155,81,160,130,11,1163,25,44,40,30,34,15,36,28,9,252,6,3,0,0,3,0,0,5,0,19,0,0,0,0,0,0,0,0,0,5,602,1066,1517,899,865,668,887,924,122,7549
SAL50040,9,3,46,73,14,140,19,98,10,417,32,63,128,137,81,87,46,80,11,662,204,376,429,302,293,160,209,163,33,2155,268,395,354,286,322,110,220,140,27,2108,186,229,187,198,211,108,127,99,18,1365,87,85,89,104,148,53,91,59,7,715,17,17,19,16,18,21,17,16,5,140,3,3,0,0,0,0,3,3,0,12,0,0,0,0,0,0,0,0,0,0,801,1179,1244,1115,1087,665,718,662,105,7580
SAL50041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9
SAL50042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
SAL50043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,25
SAL50044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,0,13
SAL50045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,3,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,3,0,0,0,4,0,25
SAL50046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,17
SAL50047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SAL50048,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,12,0,25,5,0,0,0,0,0,0,9,0,19,12,6,3,0,4,0,3,0,0,21,11,3,3,0,5,0,0,0,0,21,3,0,0,0,0,0,6,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,28,8,13,0,10,0,8,25,0,102
SAL50049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL50050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,0,0,0,0,21
SAL50051,0,0,9,5,3,7,0,4,0,31,0,0,11,8,9,7,5,5,0,32,11,12,27,3,3,0,11,3,0,77,11,13,27,17,11,5,17,6,4,108,12,23,20,23,21,12,14,7,6,143,8,11,13,19,9,0,15,4,5,89,4,9,8,8,3,0,7,5,0,47,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,54,71,108,83,60,39,64,42,10,539
SAL50052,0,0,5,3,0,3,0,4,0,14,0,3,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,12,3,0,3,0,0,0,0,0,0,12,3,3,5,4,0,5,5,0,0,25,8,4,0,0,3,0,6,4,0,22,0,0,4,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,18,11,23,6,9,7,11,17,0,97
SAL50053,0,0,24,33,14,108,12,36,7,222,19,53,70,77,59,78,19,56,8,428,151,414,245,181,178,97,65,106,28,1479,206,374,214,113,204,76,91,87,14,1373,118,190,134,128,151,80,62,88,18,977,84,118,92,67,133,61,60,85,8,710,22,39,25,17,42,19,31,30,4,229,12,4,0,0,3,0,3,0,4,26,0,0,0,0,0,0,0,0,0,0,602,1206,802,616,790,516,342,483,94,5446
SAL50054,15,14,128,193,44,403,55,320,16,1193,75,160,324,341,149,231,114,197,31,1621,429,777,1109,689,654,308,532,388,81,4960,578,900,903,664,640,244,442,357,80,4805,476,622,642,497,481,182,341,268,60,3576,254,308,313,233,300,109,244,152,36,1956,50,60,41,33,49,31,55,34,6,351,0,5,0,0,4,0,0,6,0,20,0,0,0,0,0,0,0,0,0,0,1882,2836,3456,2648,2314,1505,1780,1727,324,18478
