SAL_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SAL51279,6,0,9,11,9,4,27,9,3,76
SAL51280,29,34,86,77,49,74,63,117,15,544
SAL51281,77,25,38,14,33,14,52,25,13,284
SAL51282,78,73,193,127,98,79,160,121,26,949
SAL51283,9,3,0,0,0,0,0,14,0,20
SAL51284,11,0,4,0,4,0,3,3,0,21
SAL51285,4,5,11,5,7,8,3,4,0,50
SAL51286,0,0,5,0,5,0,0,3,3,14
SAL51287,229,455,327,301,311,189,233,252,55,2356
SAL51288,11,5,7,3,0,4,4,6,3,47
SAL51289,39,0,8,14,4,9,7,7,0,91
SAL51290,11,6,6,0,0,0,0,6,0,24
SAL51291,0,0,0,0,0,0,0,0,0,0
SAL51292,4,0,0,4,0,0,5,5,0,19
SAL51293,22,28,26,20,17,11,10,13,4,146
SAL51294,0,0,0,0,0,0,0,0,0,0
SAL51295,0,0,0,0,0,0,0,0,0,0
SAL51296,196,262,383,328,289,165,160,244,56,2091
SAL51297,23,4,6,3,11,3,0,9,0,59
SAL51298,322,901,364,332,361,223,156,228,40,2924
SAL51299,714,1617,922,786,793,449,462,503,107,6348
SAL51300,63,45,52,39,41,27,28,31,8,334
SAL51301,635,833,1185,1001,778,501,572,805,121,6430
SAL51302,0,3,7,0,0,0,11,15,3,37
SAL51303,0,0,0,0,0,0,0,0,0,0
SAL51304,17,0,0,0,0,0,0,7,0,36
SAL51305,17,29,25,50,19,11,19,29,0,197
SAL51306,41,50,39,30,26,9,14,35,5,258
SAL51307,69,67,124,46,63,29,55,46,8,499
SAL51308,528,755,648,351,454,291,248,245,35,3552
SAL51309,22,15,20,10,10,13,7,12,4,108
SAL51310,42,6,13,10,13,0,0,17,0,98
SAL51311,4,0,0,0,0,0,0,0,0,11
SAL51312,249,599,125,139,165,114,43,53,26,1518
SAL51313,8,16,19,0,4,0,36,19,4,103
SAL51314,28,6,25,34,10,6,0,15,0,126
SAL51315,10,5,4,6,9,0,4,4,0,50
SAL51316,17,26,30,13,12,9,13,10,5,122
SAL51317,11,3,0,0,0,0,0,6,0,22
SAL51318,7,3,11,6,4,0,0,6,0,39
SAL51319,313,549,652,474,388,269,315,326,64,3346
SAL51320,48,5,3,3,4,3,4,4,4,81
SAL51321,250,502,92,111,170,84,40,61,14,1326
SAL51322,105,238,138,118,110,68,59,72,14,916
SAL51323,69,87,83,48,51,46,33,26,4,450
SAL51324,0,0,0,0,0,0,0,0,0,0
SAL51325,0,0,0,0,0,0,0,0,0,3
SAL51326,10,0,3,5,3,0,8,8,5,44
SAL51327,17,8,0,3,0,0,4,6,0,47
SAL51328,62,102,108,58,62,27,39,39,6,499
SAL51329,27,0,5,5,9,0,4,8,0,54
SAL51330,1586,3470,1355,1197,1176,687,402,562,180,10619
SAL51331,0,0,0,0,0,0,0,0,0,0
SAL51332,78,45,26,25,22,15,4,20,0,239
SAL51333,13,0,0,0,0,3,0,11,0,28
SAL51334,18,0,0,0,0,0,0,14,0,30
SAL51335,25,5,4,0,3,0,0,0,0,46
SAL51336,6,6,4,0,5,0,0,0,0,22
SAL51337,768,1101,1291,972,773,615,466,554,115,6664
SAL51338,6,14,18,13,8,10,6,17,0,97
SAL51339,142,155,284,118,167,90,133,110,50,1254
